marchandises_simplification,classification_hamburg_large,obsolete
ailes de fléaux,,non
ailes de moulins,,non
ailor,,non
ails,,non
ails à fauches,,non
ails blancs à casser,,non
aimant,,non
ains à pêcher,,non
ains et lignes à pêcher,,non
airain,,non
airain non ouvré,,non
ajustements,,non
ajustements de femme,,non
ajustements de soie,,non
alambics,,non
alambics d'étain,,non
alambics de cuivre,,non
alambics de terre,,non
albâtre,,non
albâtre et marbre brut et poli,,non
alegia,,non
alènes,,non
alibanies,,non
alizari,,non
alizari et garance,,non
alkermés,,non
allaya,,non
alleaux,,non
allemande de poil,,non
allumettes,,non
allumettes à vin,,non
allumettes de coton,,non
allumettes de mêche soufrée,,non
allumettes droguée,,non
allumettes épicée,,non
allumettes opérées et soufrées,,non
allumettes soufrées,,non
almagro ou crayon rouge,,non
almanach broché,,non
almanach en blanc,,non
almanach relié,,non
almanachs,,non
almanachs enjolivés,,non
alocir,,oui
aloès,,non
aloès cabalin,,non
aloès commun,,non
aloès moyen,,non
aloiset,,non
alose,,non
alose fumée,,non
alose salée,,non
alouettes,,non
alpargate,,non
alphabets,,non
alpiste,,non
alquifoux,,non
alquifoux et mine de plomb,Plomb,non
alquifoux et mine de plomb ou graphite,Plomb,non
alquifoux ou mine de plomb,Plomb,non
alquitra,,non
aluchiabanis,,non
alun,Alun,non
alun commun,Alun,non
alun de fer,Alun,oui
alun de roche,Alun,non
alun de Rome,Alun,non
alun de Rouen,Alun,non
alun de Surde,Alun,non
alun du Levant,Alun,non
alun en dracy,Alun,non
alun gâté,Alun,non
alvés,,non
amadou,,non
amadou et agaric amadouvier,,non
amande et pelure et prune et raisin,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amande sèche et figue sèche et raisin sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes à la praline,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes amère,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes cassée,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes courte,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes douce,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes en coque,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et figue et raisin,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et pruneau,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et raisin,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et raisin sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et raisin sec et savon,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et savon,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et sucre,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes et vert-de-gris,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes figue secs et ???,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes fraîche,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes longues,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amandes sèches,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
amaril,,non
ambrain à grande barrique,,non
ambre,,non
ambre brut,,non
ambre carabé,,non
ambre et corail,,non
ambre gris,,non
ambre jaune,,non
ambre moulu,,non
ambre vert,,non
amer,,non
amer de laine,,non
amertis,,non
ami de toillé,,non
amidon,,non
amidon en grains,,non
amidon et poudre à poudrer,,non
ammoniac,,non
ammoniac et sel,,non
ammonium,,non
amomum verum,,non
anabasse,,non
anacardes,,non
anacoste,,non
ananas,,non
ananas confit,,non
ananas planté,,non
anatomie,,non
anches de tonneaux,,non
anchois,,non
anchois et boutargue,,non
anchois et sardes,,non
anchois et sardines,,non
anchois mariné,,non
anchois mariné et salé,,non
anchois salé et mariné,,non
ancres,,non
ancres de chaudon,,non
ancres de chaudon de fer,Fer,non
ancres de fer,Fer,non
ancres et grappins de fer,Fer,non
ancres gravelée,,non
ancres vide,,non
ancres vides vieilles,,non
andolium,,non
andouilles,,non
andouillette,,non
ânes,,non
ânes et anesses,,non
ânes et ânesses,,non
ânes et mulets,,non
angélique,,non
angélique du Rozème,,non
anguilles,,non
anguilles et truites,,non
anguilles fraîches,,non
anguilles salées,,non
anille,,non
animaux,,non
animaux domestiques,,oui
anis,,non
anis et rac et rhum etc.,,non
anis et sucre,,non
anis étoilé,,non
anis vert,,non
anisette,,non
anisette au fiasque,,non
anisette de Bordeaux,,non
anneau de fer,Fer,non
anneaux de cuivre,,non
ânon,,non
anspects,,non
anspects de bois,,non
anspects de sapin,,non
antchibanis,,non
antennes et mâts de bateaux,,non
antimoine,,non
antimoine cru,,non
antimoine crû,,non
antofle,,non
antofle de girofle,,non
apiers,,non
apios,,non
apprêtée à toiler les livres,,non
apprêtée pour parchemins,,non
approvisionnement,,oui
arak,,non
araks,,non
arbalètes,,non
arbalètrie et cartes marines,,non
arbres,,non
arbres à fruits,,non
arbres à planter,,non
arbres à transformer en pompes,,oui
arbres d'auban,,non
arbres de bois,,non
arbres de chênes,,oui
arbres de sapin,,non
arbres de tilleul,,non
arbres et arbrisseaux,,non
arbres et arbrisseaux à fruits,,non
arbres et arbrisseaux sauvages,,non
arbres et arbustes,,non
arbres et plants,,non
arbres fruitiers,,non
arbres marronniers à planter,,non
arbrisseaux,,non
arbustes,,non
arcanette,,non
arcanson,,non
arcanum duplicatum,,non
archets de violons,,non
archiabanis,,non
arçons de bas de bois,,non
arçons de bois,,non
arçons de selles,,non
ardoise,,non
ardoise commune,,non
ardoise dite chérubin et à mortier,,non
ardoise dite grande voisine,,non
ardoise dite moyenne voisine,,non
ardoise dite petite voisine,,non
ardoise dite voisine,,non
ardoise en carreaux,,non
ardoise en carreaux et d'1 pied carré,,non
ardoise en livret,,non
ardoise encadrée,,non
ardoise encadrée et en livret,,non
ardoise non travaillée,,non
ardoise pour fenêtre,,non
ardoise verte,,non
ardoises,,non
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,,non
argent,,non
argent battu,,non
argent brûlé,,non
argent brut,,non
argent carragoux,,non
argent en barils,,non
argent en barres,,non
argent en lingots,,non
argent en lingots par Calais,,non
argent et d'or,,non
argent et or billon,,non
argent faux,,non
argent faux et or faux,,non
argent faux et or faux traits,,non
argent fin,,non
argent monnayé et nogat d'or,,non
argent talari,,non
argent vif,,non
argenterie,,non
argenterie épée,,non
argenterie et bijouterie,,non
argenterie et bijouterie et orfèvrerie,,non
argenterie et orfévrerie,,non
argenterie et orfèvrerie,,non
argenterie et orfèvrerie vermeil,,non
argenterie vieille,,non
argile,,oui
argile et terre pour engrais,,non
aristoloche,,non
armagnac,,oui
armement de tables,,non
armes,,non
armes à feu,,non
armes à feu de munitions,,non
armes à feu de munitions fines,,non
armes à feu et artillerie,,non
armes blanches,,non
armes de guerre,,non
armes de main,,oui
armes et artillerie artillerie en canons pierriers espingoles et mortiers,,non
armes et munitions,,non
armes lames,,non
armes piques,,oui
armes remontrances,,non
armoires,,non
armoires ayant servi,,non
armoires d'acajou,,non
armoires de bois des Indes,,non
armoires de chêne,,non
armoires de chêne ornée,,non
armoires de noyer,,non
armoires de sapin,,non
armoisin,,non
armoisin et taffetas,,oui
armure,,oui
armure de fer,Fer,non
armure vieille,,non
arpois,,non
arquebuse,,non
arrosoirs,,non
arrosoirs de bois,,non
arrosoirs de cuivre,,non
arrosoirs de fer-blanc,Fer,non
arrosoirs de sapin,,non
arsenic,,non
art de peau,,oui
artichauts,,non
artichauts confit,,non
artichauts frais,,non
artichauts mariné,,non
artichauts secs,,non
artifice,,non
artifice fusées etc.,,non
artillerie,,non
artillerie de cuivre,,oui
asa foetida,,non
asa fœtida,,non
asperge et scorsionnaire,,non
asperges,,non
asphaltum,,non
assiette,,non
assiette de Biarritz,,non
assiette de bois,,non
assiette de faïence,,non
assiette de porcelaine,,non
assiette de terre,,non
assiette et plats,,oui
assiette et plats de terre,,non
asustum,,non
attaches de cuivre,,non
attelles de colliers,,non
aube,,non
auchinoise,,non
auclimes,,non
auf,,non
auf ouvré,,non
auf travaillé,,non
augemy,,non
auges,,non
auges de carreaux,,non
augustins,,non
aurcsats,,non
aussières,,oui
autel de marbre,,non
avelanèdes,,non
avelines,,non
avelines et noisettes sèches,,non
avirons,,non
avirons brut,,non
avirons de 12 pieds,,non
avirons de 18 pieds,,non
avirons de 30 pieds,,non
avirons de 5 pieds,,non
avirons de 8 à 12 pieds,,non
avirons de bois,,non
avirons poli,,non
avoine et haricots,,non
avoine et orge,,oui
avoine et orge etc.,,non
avoine mondée,,non
avoine moulée,,non
azur,,non
azur commun,,non
azur et bleu de Prusse,,non
azur et cobalt,,non
azur fin,,non
azur gros,,non
babassis,,non
babouches,,non
babouches de maroquin,,non
bac de pierre,,non
bac de pierre bleu,,non
bâche,,oui
bacs d'1 aime,,non
bacs de pierre d'1 aime,,non
bacs de pierre de 4 aimes,,non
bacs de pierre de demi d'aime,,non
bacs de pierre de moindre classe,,non
bacs de pierre de trois-quart d'aime,,non
bacs de pierre en dessous d'1 aime,,non
bacs de pierre en dessus d'1 aime,,non
badiane,,non
badiane ou anis étoilé de la Chine,,non
baffetas,,non
baffetas blanc,,non
baffetas bleu,,non
baffetas des Indes,,non
bagage,,oui
bagarot,,non
bagues,,non
bagues à pierres fausses,,non
bagues d'argent,,non
bagues d'or,,non
bagues de cuivre,,non
bagues de laiton,,non
bagues de verre,,non
baguettes,,non
baguettes à chandelle,,non
baguettes à étoffe,,non
baguettes d'étain,,non
baguettes de bois,,non
baguettes de bois doré,,non
baguettes de cuivre,,non
baguettes de fer de fusil,Fer,non
baguettes de fusil,,non
bahuts,,non
baie de buis,,non
baie de genièvre,,non
baie de laurier,,non
baignes,,non
baignoires,,non
baignoires d'acajou,,non
baignoires de cuivre,,non
baignoires de sapin,,non
baignoires de tôle,,non
baigots,,non
bailles,,non
bailliarge,,non
bajutapau,,non
bajutapau commun,,non
bajutapau des Indes,,non
bakeliau et stockfis,,non
balais,,non
balais coupés,,non
balais de bois,,non
balais de brandes,,non
balais de bruyère,,non
balais de chanvre,,non
balais de crin,,non
balais de foyer,,non
balais de jonc,,non
balais de jonc petits,,non
balais de laine à laver les planchers,,non
balais de paille,,non
balais de paille de riz,,non
balais de palme,,non
balais de plumes,,non
balais de poil,,non
balais de riz,,non
balais de soie,,non
balais de soie de porc,,non
balais de toile,,non
balais du roi,,non
balais fins,,non
balais ou ramons,,non
balais petits,,non
balance,,non
balance à la romaine,,non
balance de bois,,non
balance de cuivre,,non
balance de fer,Fer,oui
balance et romaine,,non
balance et ses poids,,non
balance ou fléaux en fer,Fer,non
balance petit,,non
balance romaine,,non
balauste,,non
balcon de fer,Fer,non
baldaquin,,non
baleine,,non
baleine apprêtée,,non
baleine coupée,,non
baleine coupée en fanon,,non
baleine coupée et en fanon,,non
baleine de sarde,,non
baleine en fanon,,non
baleine nageoire,,oui
baleine non coupée,,non
balles,,non
balles à jouer,,non
balles d'osier,,non
balles de fer,Fer,oui
balles de fer et canons de fer,Fer,non
balles de fer uni,Fer,non
balles vides,,non
bambous,,non
banc à couper la paille,,non
banc de sapin,,non
bandages,,non
bandages de peaux,,non
bandanas des Indes,,non
bandanas et mousselines et Nankin de soeries des Indes,,non
bande de chapeau,,oui
bandeaux,,non
banderoles,,non
banderoles de cuir,,non
bandes de cabrouets de fer,Fer,non
bandes de fer,Fer,non
bandes de fer à tombereaux,Fer,non
bandes de roues de fer,Fer,non
bandoulières,,oui
bannettes d'osier,,non
bannettes de cuir,,non
bannière de Damas,,non
banquette,,non
baquelets,,non
baquets,,non
baquets de cuivre,,non
baquets de fer,Fer,non
baquets de rechange,,non
baquets de sapin,,non
baracan,,non
baracan aune,,non
baracan de laine,,non
baracan de poil,,non
barail,,non
baras,,non
barat de laine,,non
baratte,,non
barbançons,,non
barbançons de grès,,non
barbançons de terre,,non
barbe de baleine,,non
barbotines,,non
barbues,,non
barbues couvertes d'étamine,,non
barbues de grès,,non
barbues de terre,,non
barbues ouvrées et cannettesouvrées et jarres de terre ouvrées,,non
bardes,,non
barilleau,,non
barils,,non
barils à poudre,,non
barils ancres,,non
barils de chêne,,non
barils de fer,Fer,non
barils de fer-blanc et de 450 feuilles,Fer,non
barils de fer-blanc et de 600 feuilles,Fer,non
barils de sapin,,non
barils de tonnelier,,non
barils de vin de ???,,non
barils neufs,,non
barils vides,,non
barils vides de sardines,,non
baromètre,,non
barques,,non
barques démontées,,non
barques et bottes,,non
barquettes,,non
barquettes et nacelles,,non
barquettes vieilles,,non
barreau de laine,,non
barreaux,,non
barreaux de bois,,non
barreaux de bois et planches de bois,,non
barreaux de sapin,,non
barreaux de sapin de 10 pieds,,non
barreaux neufs,,non
barres,,non
barres à nègre,,non
barres d'acier,,non
barres d'anspects,,non
barres d'anspects et barres de cabestan,,non
barres d'étain,,non
barres d'étain ou blocs d'étain,,non
barres de barrique,,non
barres de bois,,non
barres de bois pour navire,,oui
barres de cabestan,,non
barres de chêne petites,,non
barres de cuivre,,non
barres de fer,Fer,non
barres de fer pour des clôtures,Fer,oui
barres de futel,,non
barres de guindeau,,non
barres de sapin,,non
barres de sapin de 3 à 4 pieds,,non
barres et verges de fer,Fer,non
barres gros,,oui
barres maître-fond,,non
barres petite,,oui
barres pour construction,,non
barrettes,,non
barrettes de cuivre,,non
barrettes de fer,Fer,non
barrettes et boucles de cuir,,oui
barriques,,non
barriques cerclées et fer,Fer,non
barriques neuves,,non
barriques vides,,non
barriques vides vieilles,,non
barriques vieilles,,non
barrois,,non
bas,,non
bas à crin d'or et de soie,,non
bas communs,,non
bas d'enfant,,oui
bas d'estame,,non
bas d'estame fins,,non
bas de bourre de soie,,non
bas de castor,,non
bas de chamois,,non
bas de coton,,non
bas de coton et bas de fil,,non
bas de coton et bas de fil et bas de soie,,non
bas de coton et bas de fil par paires,,non
bas de coton et bas de soie,,non
bas de coton et bonnets de coton,,non
bas de fil,,non
bas de fil commun,,non
bas de fil et bas de laine,,non
bas de fil et pour femme,,non
bas de fil et pour homme,,non
bas de fil par paires,,non
bas de filoselle,,non
bas de fleuret,,non
bas de laine,,non
bas de laine communs,,non
bas de laine de Jersey,,oui
bas de laine et bas de soie,,non
bas de laine et bonnets de laine,,non
bas de laine et gants de laine et bonnets de laine,,non
bas de laine fin,,non
bas de laine grossière,,non
bas de laine par paires,,non
bas de Leyden,,oui
bas de peau,,non
bas de poil,,non
bas de poil et bas de soie,,non
bas de Saint Mexant,,non
bas de Ségovie,,non
bas de soie,,non
bas de soie à coin d'argent,,non
bas de soie à coin d'or,,non
bas de soie à coin d'or et bas de soie à coin d'argent,,non
bas de soie brodé d'or,,non
bas de soie brodé d'or et bas de soie brodé d'argent,,non
bas de soie brodée,,non
bas de soie et gants de soie,,non
bas de soie pour femme,,non
bas de soie pour homme,,non
bas de soie vieux,,non
bas de toile,,non
bas des Indes de poil,,non
bas drapés,,non
bas écriers,,non
bas gants et bonnets de laine fil et coton,,non
bas grossiers,,non
bas longs,,oui
bas relief de marbre,,non
bas tricotés,,oui
bas tricotés de laine,,oui
basannes,,non
basannes apprêtées,,non
basannes de mouton,,non
basannes de mouton tannées,,non
basannes de veau,,non
basannes de veau tannées,,non
basannes tannées,,non
basin,,non
basin blanc,,non
basin blanc de 10 aunes,,non
basin blanc de 11 aunes,,non
basin blanc de fil,,non
basin brodé de soie,,non
basin brodé de soie et d'or,,non
basin clair mêlé de coton,,non
basin commun,,non
"basin de Bruges écru en pièce de 11,5 aunes",,non
basin de coton et basin de fil,,non
basin de coton et Nankin de coton,,non
basin de coton et Nankin de coton et toile de coton,,non
basin de fil,,non
basin de fil et de coton,,non
basin de Rouen,,non
basin de soie,,non
basin de Troyes,,non
basin des Indes,,non
basin en aunes,,non
basin et Nakin,,non
basin peint,,non
basin pièce de 11 aunes,,non
basin pièce de 15 aunes,,non
basin rayé,,non
basin tout coton,,non
basse,,non
basse de viole,,non
basse et bassons,,non
bassin à barbe,,non
bassin d'argent,,oui
bassin d'étain,,non
bassin de barbe,,non
bassin de cuivre,,non
bassin de cuivre jaune,,non
bassin de cuivre jaune et chaudron de cuivre jaune,,non
bassin de cuivre ouvré,,non
bassin de fer,Fer,non
bassin de laiton,,oui
bassin de marbre,,non
bassines de cuivre,,non
bassons,,non
bast et écorce d'arbre et foularde,,non
batanomes,,non
batanony,,non
bâtardes,,non
batavia,,non
bateaux,,non
bateaux à pêcher,,non
bateaux neufs,,non
bâtiments de mer,,non
bâtiments de mer et agrès,,non
bâtiments de mer et apparaux,,non
batiste,,non
batiste blanche,,non
batiste de lin et linon de lin,,non
batiste écrue,,non
batiste et de linon,,non
batiste et écrue,,non
batiste et fine,,non
batiste et linog,,non
batiste et linon,,non
batiste fine,,non
batiste grise,,non
batonge de bois,,non
bâtons,,non
bâtons à chandelle,,non
bâtons à étendre le linge,,non
bâtons à faire cercles,,non
bâtons à gaffes,,non
bâtons à lave-place,,non
bâtons à pinceaux,,non
bâtons d'éventail d'ivoire,,non
bâtons de bois,,non
bâtons de brosses à goudronner,Goudron ; de Suède,non
bâtons de cap,,non
bâtons de colliers,,non
bâtons de fer,Fer,non
bâtons de gabares,,non
bâtons de gabares de 14 à 16 pieds,,non
bâtons de pompes,,non
bâtons de sapin,,non
bâtons de sapin de 4 pieds de long,,non
bâtons gros,,oui
bâtons peints,,non
bâtons vernis,,non
bâts,,non
bâts à matelas,,non
bâts d'âne,,non
bâts de cheval,,non
bâts de mulets,,non
batterie d'airain,,non
batterie de cuisine,,non
batterie de cuisine de cuivre,,non
batterie de cuisine de fer,Fer,non
batterie de cuivre,,non
batterie de cuivre de fuine,,non
batterie de fer,Fer,non
batterie de fer-blanc,Fer,non
battes à fer,Fer,non
battoirs,,non
battoirs à lessive,,non
baudriers,,non
baudriers de cuir,,non
baumanes,,non
baume,,non
baume de benjoin,,non
baume de Copahu,,non
baume de l'Amérique,,non
baume de la Mecque,,non
baume de storax naturel,,non
baume de storax préparé en grains,,non
baume de storax préparé liquide,,non
baume de sucre,,non
baume de vie,,non
baume du Canada,,non
baume du Pérou,,non
baume et élixir,,non
baume laque,,non
baume noir,,non
baume rouge,,non
bavette,,non
bavoirs,,non
bayette,,non
bayette blanche,,non
bayette blanche aune,,non
bayette bleue,,non
bayette bleue et rouge,,non
bayette de Beauvais,,non
bayette de prise,,non
bayette des Indes,,non
bayette grosse,,non
bayette teinte,,non
bayette teinte aune,,non
bayonettes,,non
bayonnette,,non
bayoulen,,non
bazzitte,,non
bdellium,,non
beau vert broyé,,non
beaudeaux,,non
beaupré,,non
bécasses,,non
bécassines,,non
becfigues marinés,,non
bêches,,non
bêches en fer,Fer,oui
beige,,non
belinge,,non
bem ???,,non
bem à voile,,non
bem de Vimoutiers,,non
benblanc,,non
bénitier de marbre,,non
benjoin,,non
benjoin du Levant,,non
bennes,,non
bennes vides,,non
berce de fer et lit de fer,Fer,non
berceau d'enfant,,non
berceau d'osier,,non
béret,,oui
bergamotes,,non
bergamotes fraîches,,non
Bergopzoom,,non
Bergopzoom aune,,non
berline,,non
berline et harnais,,non
berline garnie de velours,,non
berline garnie de velours et crespine d'or et harnois riche,,non
berline vieille,,non
bernes,,non
bernes de laine,,non
bernes ou tapsel,,non
bestiaux,,non
bestiaux et bêtes de somme,,non
bêtes de somme,,non
bêtes principalement en mules et mulets,,non
bétilles,,non
bétilles des Indes,,non
betteraves,,non
beunne,,non
beurre,Beurre,non
beurre commun,Beurre,non
beurre d'Angleterre,Beurre,non
beurre d'Irlande,Beurre,non
beurre d'Irlande non comestible,Beurre,non
beurre d'Irlande salé,Beurre,non
beurre de cacao,,non
beurre de Dixmude,Beurre,non
beurre du pays,Beurre,non
beurre du pays salé,Beurre,non
beurre fondu,Beurre,non
beurre frais,Beurre,non
beurre salé,Beurre,non
beurreterie en bar de fil blanc,,non
beurrière,,non
bezoar,,non
bezoar du Ponent,,non
bibliothèque,,non
bidet de faïence,,non
bidet de faïence et leurs pièce,,non
bidets,,non
bidets de faïence avec leurs pieds de bois,,non
bière,,non
bière aigre,,non
bière blanche,,non
bière cidre et vinaigre,,non
bière commune du pays,,non
bière d'Angleterre,,non
bière d'Hougarde,,non
bière de Dantzig,,oui
bière de Hollande,,non
bière de Hollande et d'Angleterre,,non
bière de Liège,,non
bière de Lubek,,non
bière de Lubek pour médecine,,non
bière dite juypenbier,,non
bière dite lumay,,non
bière en bouteille,,non
bière en fût,,oui
bière en muid,,non
bière et cidre,,non
bière et cidre et vinaigre,,non
bière forte,,non
bière nautique,,oui
bière porter,,oui
bigarade,,non
bigarade fraîche,,non
bigarade zeste,,oui
bigons,,non
bigous,,non
bigues,,non
bijouterie,,non
bijouterie et perles fines,,non
bijouterie fine,,non
bijouterie fine fausse en pierres faite métal,,non
bijouterie pour montre d'argent,,non
bilardeaux,,non
billard,,non
billard vieux,,non
billes d'ivoire,,non
billes de bois,,non
billes de bois de gaïac,,non
billes de bois marbré,,non
billes de bois pour meuble,,non
billets de parchemin,,non
billles de bois,,non
billons,,non
billons de bois blanc,,non
billons de bois petits,,non
billots,,non
billots de chêne pour merrain,,non
billots de sapin,,non
billots pour merrain,,non
bimbeloterie,,non
binages à pousser,,non
birampeaux,,oui
birampeaux des Indes,,oui
birampots bleu,,non
biscuit,,non
biscuit amer,,non
biscuit au poivre,,oui
biscuit de grain froment,,oui
biscuit de mer,,non
biscuit de munition,,non
biscuits de mer,,non
biscuits de mer et pâtes d'Italie,,non
biscuits et farine et gruau et pâte,,non
bitume,,non
bitume de Judée,,non
blagues,,non
blagues de cuir,,non
blallst,,non
blanc,,non
blanc d'écaille,,non
blanc d'Espagne,,non
blanc d'Espagne craie blanche et moulue,,non
blanc de ???,,non
blanc de baleine,Blanc ; de baleine,non
blanc de céruse,,non
blanc de ferax,Fer,non
blanc de ferux,Fer,non
blanc de Herps,,non
blanc de plomb,Plomb,non
blanc de plomb et térébenthine,Plomb,non
blanc de Troyes,,non
blanc en chevron,,non
blanc simple,,non
blanchette,,non
blanchissoire,,non
blanquette,,non
blé,,non
blé avarié,,non
blé et autres grains,,non
bleu,,non
bleu calaminé,,non
bleu commun,,non
bleu d'azur,,non
bleu de Berlin,,non
bleu de paille,,non
bleu de Pierre,,non
bleu de Prusse,,non
bleu de Prusse et graine jaune,,non
bleu de Prusse et lazulite,,non
bleu de Saxe,,non
bleu de smalt,,non
bleu en encre,,non
bleu en pierres,,non
bleu fin,,non
bleu foncé,,non
bleu ordinaire,,non
bleu ou tournesol,,non
blocs,,non
blocs de cuivre jaune,,non
blocs de jonc,,non
blocs de pierre,,oui
blonde,,non
blonde d'argent,,non
blonde d'or,,non
blonde de fil,,non
blonde de soie,,non
blonde or et argent,,non
blonde visage,,non
blues d'étain,,non
bluteau de laine,,non
bluteaux,,non
bobine de cuir,,non
bocaux,,oui
bodans,,non
boëland,,non
bœuf,,non
bœuf à l'écarlate,,non
bœuf à la mode,,non
bœuf d'Irlande,,non
bœuf du pays,,non
bœuf en daube,,non
bœuf et génisses et vaches,,non
bœuf et langue salée,,non
bœuf et moutons et porcs et vaches,,non
bœuf et moutons et porcs et vaches et veaux,,non
bœuf et moutons et vaches et veaux,,non
bœuf et taureaux,,non
bœuf et vaches,,non
bœuf froment,,non
bœuf fumé,,non
bœuf fumée et salée,,non
bœuf gras,,non
bœuf illinois,,non
bœuf jeune,,non
bœuf préparé,,non
bœuf salé,,non
bœuf salé d'Irlande,,non
bœuf salé du pays,,non
bœuf taureau,,non
bœuftins et génisses,,non
bois,,non
bois à fusil,,non
bois à quart,,non
bois à tourner,,non
bois à travailler,,non
bois amer,,non
bois atamis,,non
bois au daume,,non
bois autre,,non
bois barres de guindeau,,non
bois billot,,non
bois blanc,,non
bois bordage,,non
bois bourdillon,,non
bois boway de chêne,,non
bois boway de sapin,,non
bois brandille,,non
bois bray,,non
bois brun,,non
bois cercle,,non
bois chêne,,oui
bois chêne en bloc,,oui
bois cordayer,,non
bois coudé,,oui
bois courbé,,non
bois d'acajou,,non
bois d'acajou divers,,non
bois d'aloès,,non
bois d'amarante,,non
bois d'Angeot,,non
bois d'Angola,,non
bois d'ansprete,,non
bois d'arc,,non
bois d'arc et à fusil,,non
bois d'arc et d'arbalètes,,non
bois d'arc et de flèche,,non
bois d'arc et de selles,,non
bois d'aspatton,,non
bois d'aulne,,oui
bois d'ébène,,non
bois d'ébène d'Indes,,non
bois d'ébénisterie,,non
bois d'ébénisterie et des Indes,,non
bois d'écarage,,non
bois d'érable,,non
bois d'espars,,non
bois d'esquine,,non
bois d'olivier,,non
bois d'olivier à brûler,,non
bois d'olivier pelé,,non
bois d'orignal,,non
bois d'orme,,non
bois d'ormeau,,non
bois d'osier,,non
bois de bateau,,non
bois de bordage,,non
bois de bordage de chêne,,non
bois de bordage de sapin,,non
bois de bouleau,,oui
bois de Brésil,,non
bois de Brésil en bûche,,non
bois de Brésil menu,,non
bois de Brésil moulu,,non
bois de Brésil râpé,,non
bois de brésillet,,non
bois de brochialle,,non
bois de bruyère,,non
bois de buis,,non
bois de caliatour,,oui
bois de Caliatour,,non
bois de Caliatour en bûche,,non
bois de Caliatour et moulu,,non
bois de Caliatour moulu,,non
bois de Caliatour râpé,,non
bois de Campêche,,non
bois de Campêche en buches,,non
bois de Campêche en bûches,,non
bois de Campêche en buches et moulu,,non
bois de Campêche moulu,,non
bois de Campêche pour teinture,,non
bois de Campêche râpé,,non
bois de camphre,,non
bois de canet,,non
bois de cannelle,,non
bois de Cayenne,,non
bois de cèdre,,non
