marchandises_simplification,eden_classification
impériale de laine,Lainage
jarretières et ruban de laine,Lainage
laine,Lainage
laine d'Espagne,Lainage
laine d'Espagne fine par Rouen et Marseille,Lainage
laine d'écru,Lainage
laine de chevron,Lainage
laine en laine,Lainage
laine en suint,Lainage
laine en toison,Lainage
laine filée,Lainage
laine non filée,Lainage
laine par Abbeville,Lainage
laine par Cherbourg et Granville et Morlaix,Lainage
laine peignée,Lainage
laine tressé,Lainage
lerfage de laine,Lainage
matelas de laine,Lainage
molleton de laine,Lainage
ouvrages de laine,Lainage
peluche de laine,Lainage
perpetuanne de laine,Lainage
ruban de fil et de laine,Lainage
ruban de laine,Lainage
russel de laine,Lainage
sagati de laine,Lainage
satin de laine turc,Lainage
satinette de laine,Lainage
serge de laine,Lainage
serge de laine pour ???,Lainage
sigle vis de laine,Lainage
tanier de laine,Lainage
tapis de laine,Lainage
tricots de laine,Lainage
étamine de laine,Lainage
étoffe de laine,Lainage
étoffe de laine ???,Lainage
étoffe de laine bêche,Lainage
étoffe de laine chaleur,Lainage
étoffe de laine couterie,Lainage
étoffe de laine et de poil,Lainage
étoffe de laine velverde,Lainage
étoffe de laine verlastine,Lainage
fleurs artificielles et ouvrages de modes,Modes
marchandises de mode,Modes
ouvrages de mode,Modes
faïence,"Porcelaine, Fayance, Poterie"
faïence et porcelaine et poterie,"Porcelaine, Fayance, Poterie"
faïence et poterie,"Porcelaine, Fayance, Poterie"
fer en poterie,"Porcelaine, Fayance, Poterie"
ouvrages de poterie,"Porcelaine, Fayance, Poterie"
porcelaine,"Porcelaine, Fayance, Poterie"
poterie,"Porcelaine, Fayance, Poterie"
poterie de faïence,"Porcelaine, Fayance, Poterie"
poterie de grès,"Porcelaine, Fayance, Poterie"
poterie de terre,"Porcelaine, Fayance, Poterie"
poterie de terre cuite,"Porcelaine, Fayance, Poterie"
poterie diverse,"Porcelaine, Fayance, Poterie"
étoffe de coton des Indes et de soie,Prohibé
bonneterie de coton et bonneterie de soie,Prohibé
mouchoirs de coton et soie,Prohibé
soierie et coton des Indes,Prohibé
étoffe de coton et de soie,Prohibé
harnais et selles,Sellerie
sellerie,Sellerie
selles de velours,Sellerie
gaze crêpe et mouchoirs de soie,Soie
gaze de soie,Soie
gaze de soie et crêpe de soie et mouchoirs de soie,Soie
bas de soie,Soie
blonde de soie,Soie
bonneterie de soie,Soie
dentelle de soie,Soie
filoselle et soie,Soie
galon de soie,Soie
gants de soie,Soie
gants en soie,Soie
habillement de soie,Soie
mouches de soie,Soie
mouchoirs de soie,Soie
mouchoirs des Indes de soie,Soie
parasols de soie,Soie
ruban de soie,Soie
rubannerie de soie,Soie
satin de soie,Soie
soie,Soie
soie apprêtée,Soie
soie de Chine,Soie
soie de Nankin,Soie
soie de sanglier,Soie
soie des Indes,Soie
soie à coudre,Soie
soie écrue,Soie
soierie,Soie
soierie des Indes,Soie
taffetas de soie,Soie
étoffe d'or et de soie,Soie
étoffe de soie,Soie
étoffe de soie des Indes,Soie
étoffe de soie draps,Soie
étoffe de soie et de velours,Soie
étoffe de soie à peu de soie,Soie
étoffe soie des Indes,Soie
étoffe à peu de soie,Soie
batiste,Toiles de batistes et linons 
batiste et de linon,Toiles de batistes et linons 
batiste et linog,Toiles de batistes et linons 
toile de lin linon,Toiles de batistes et linons 
toile de lin linon et Cambrai,Toiles de batistes et linons 
toile linon,Toiles de batistes et linons 
toile de chanvre de Halle,Toiles de lin et de chanvre
toile de lin d'Anvers,Toiles de lin et de chanvre
toile de lin et royale,Toiles de lin et de chanvre
toile de lin pour emballage,Toiles de lin et de chanvre
toile étroite et de lin,Toiles de lin et de chanvre
toile chanvre et de lin,Toiles de lin et de chanvre
toile de Cambrai et de lin,Toiles de lin et de chanvre
toile de Cambrai et fin et de lin,Toiles de lin et de chanvre
toile de chanvre,Toiles de lin et de chanvre
toile de chanvre ???,Toiles de lin et de chanvre
toile de chanvre blanche,Toiles de lin et de chanvre
toile de chanvre d'emballage,Toiles de lin et de chanvre
toile de chanvre et coutil,Toiles de lin et de chanvre
toile de chanvre et d'étoupes,Toiles de lin et de chanvre
toile de chanvre et de lin,Toiles de lin et de chanvre
toile de chanvre et grosse,Toiles de lin et de chanvre
toile de chanvre et à voile,Toiles de lin et de chanvre
toile de chanvre fine,Toiles de lin et de chanvre
toile de lin,Toiles de lin et de chanvre
toile de lin blanche,Toiles de lin et de chanvre
toile de lin de Saint-Quentin,Toiles de lin et de chanvre
toile de lin de Valenciennes,Toiles de lin et de chanvre
toile de lin et de chanvre,Toiles de lin et de chanvre
toile de lin lingerie,Toiles de lin et de chanvre
toile de lin toilette,Toiles de lin et de chanvre
toile fine et de lin,Toiles de lin et de chanvre
toile écrue et de lin,Toiles de lin et de chanvre
vin,Vin de France
vin Champagne,Vin de France
vin Saint-Ange,Vin de France
vin blanc,Vin de France
vin d'amont,Vin de France
vin de Beaune,Vin de France
vin de Bordeaux,Vin de France
vin de Bordeaux au muid,Vin de France
vin de Bordeaux de haut,Vin de France
vin de Bordeaux de ville,Vin de France
vin de Bordeaux en bouteilles,Vin de France
vin de Bourgogne,Vin de France
vin de Bourgogne en bouteilles,Vin de France
vin de Bourgogne en muid,Vin de France
vin de Champagne,Vin de France
vin de Champagne en bouteilles,Vin de France
vin de Champagne en muid,Vin de France
vin de Cognac,Vin de France
vin de Dijon,Vin de France
vin de France,Vin de France
vin de France de Champagne,Vin de France
vin de France en bouteilles,Vin de France
vin de Frontignan,Vin de France
vin de La Rochelle,Vin de France
vin de Languedoc,Vin de France
vin de Nantes,Vin de France
vin de Provence,Vin de France
vin de Reims,Vin de France
vin de Rhin,Vin de France
vin de Roussillon,Vin de France
vin de Ré,Vin de France
vin de Saint-Jean,Vin de France
vin de Saintonge,Vin de France
vin de haut,Vin de France
vin de la Rochelle,Vin de France
vin de liqueurs,Vin de France
vin de montagne,Vin de France
vin de ville,Vin de France
vin des Îles,Vin de France
vin divers,Vin de France
vin du Languedoc,Vin de France
vin du Roussillon,Vin de France
vin en bouteilles,Vin de France
vin français,Vin de France
vin muscat,Vin de France
vin ordinaire,Vin de France
vin rouge,Vin de France
vinaigre,Vinaigre de France
Guinée blanche,
argenterie et orfèvrerie,
armement de tables,
bois de fustet,
bois de fustet pour teinture,
bois de teinture moulu,
boulets de fer,
cendre de soudes,
chair de porc,
cire de bougie,
cuirs corroyés,
cuirs corroyés et tannés,
cuirs de bœuf apprêtés et tannés,
cuirs de cheval tannés,
fer en paquet,
fil à mèche,
glaces au tain,
graine de foin de luzerne et de trèfle,
graine de luzerne et de trèfle,
graisse salée,
huîtres en pierres,
lustres d'argent et d'or,
mâtereaux de bois,
objets à la valeur,
ouvrages d'optique,
peaux d'agneau en poil,
peaux de basannes,
pour les peintures et la teinture,
pâte de térébenthine,
rhum de prise,
sel blanc,
sel gris,
thé bou,
toile 3/4 large,
toile laistoufaire,
???,
??? brun,
??? diverses,
Bergopzoom,
Guinée,
Guinée bleue,
Nankin,
acier,
acier et fer,
agneaux,
agrès,
agrès de navire,
agrément,
aiguilles à coudre,
ajustements,
alambics,
alizari,
alquifoux,
alun,
alun de roche,
alun en dracy,
amandes,
amandes cassée,
amandes en coque,
amandes et figue et raisin,
ambre jaune,
amidon,
anchois,
anchois mariné et salé,
anis vert,
anisette,
anneaux de cuivre,
antimoine,
arbres et arbrisseaux,
arbres et arbustes,
arbres fruitiers,
arbres à planter,
arbustes,
ardoise,
ardoise verte,
argent en lingots par Calais,
argenterie,
argenterie et orfévrerie,
armes,
armes blanches,
armes à feu,
armoires,
arsenic,
auges,
auges de carreaux,
avirons de bois,
azur,
baffetas des Indes,
bajutapau,
balais,
baleine,
baleine coupée,
baleine coupée et en fanon,
baleine en fanon,
bandanas des Indes,
baracan de poil,
baras,
barres d'étain ou blocs d'étain,
barres de fer,
bas de fil,
bateaux,
batterie de cuisine,
batterie de cuivre,
batterie de cuivre de fuine,
baume,
baume de Copahu,
bayette,
bazzitte,
beige,
benjoin,
bestiaux,
beurre,
beurre commun,
beurre salé,
bijouterie,
bijouterie pour montre d'argent,
biscuit,
biscuit de mer,
blanc,
blanc de baleine,
blanc de céruse,
bleu de Pierre,
bleu de Prusse,
bleu en encre,
bleu en pierres,
blonde,
blé,
blé et autres grains,
bois,
bois d'acajou,
bois de Brésil,
bois de Campêche,
bois de Pernambouc,
bois de Sainte-Marthe,
bois de Sainte-Marthe en bûches,
bois de brésillet,
bois de chêne pour construction,
bois de cèdre,
bois de fustel,
bois de gaiac,
bois de rose,
bois de santal,
bois de sapin,
bois de teinture,
bois de teinture Nicaragua,
bois de teinture en bûches,
bois de teinture et marqueterie,
bois des Indes,
bois des Indes et des Indes rouge,
bois des Indes jaune,
bois des Indes pour teinture et de marqueterie,
bois des Indes pour teinture et marqueterie,
bois des Îles et des Indes,
bois du Honduras de teinture,
bois jaune,
bois pour brûler,
bois pour construction,
bois pour meubles,
bois pour teindre,
bois rouge,
bombes et canons,
bonneterie,
bonneterie de fil,
bonneterie de filoselle,
bonneterie de lapin de poil,
borax,
bottes de lin,
bottes et souliers,
bouchons de liège,
bouchons de liège et planches de liège,
bougie,
bougie de blanc de baleine,
bougie de cire,
boulets de canons,
boutons,
boutons d'or,
boutons de dorure d'or,
boutons de métal,
boîtes d'étain,
boîtes de fer-blanc,
brai,
brai de goudron,
brai de goudron et résine,
brai et goudron et poix et résines,
brai et goudron et résines,
brai gras,
brai résine,
brai sec,
brai sec et résines,
brebis et moutons,
brique,
brique de terre cuite,
broderie,
bronze et cuivre et laiton,
brun rouge,
burat,
bétilles des Indes,
bêtes principalement en mules et mulets,
bœuf,
bœuf et moutons et porcs et vaches et veaux,
bœuf et moutons et vaches et veaux,
bœuf fumé,
bœuf salé,
cacao,
café,
café commun,
café de Bourbon,
café de Moka,
café des Indes,
café du Bourbon,
cages d'oiseaux,
camelot de poil,
canaux,
canevettes,
cannelle,
cannes,
cannes de bambous,
canons de fer,
canons de fer de 18 et 30 livre,
cantharides,
capillaire,
caractères à imprimerie,
carreaux d'Île de France,
carreaux de marbre,
carreaux de meulage,
carreaux de pierre,
carreaux de sera,
carreaux de terre,
carreaux meulage de Brie,
carreaux moulage de Brie,
carreaux moulage de France,
carrosses,
cartes géographiques,
cartes à jouer,
carton,
cartouches,
casse,
cassia de bois,
cassia lignea,
castoreum,
cauris,
cendre,
cendre barille,
cendre bleue,
cendre cassant,
cendre d'os,
cendre de fonde,
cendre de potasse,
cendre de potasse et de vedasse,
cendre de varech,
cendre de vedasse,
cendre salicor,
cendre soudes,
cercles de bois,
cercles de bois et feuillard de bois,
cercles de fer,
cercles de fers,
cercles de jonc,
cercles à tonneaux,
chair de boucherie,
chair de bœuf,
chair de cou salé,
chair salée,
chair salée et chair de porc salée,
chaises de jonc,
chaises de paille,
chaises de poste,
chaises de poste et fauteuils de poste,
chaises et fauteuil de canne,
chandelle,
chandelle de suif,
chanvre,
chanvre cru,
chanvre divers,
chanvre en masse,
chanvre première qualité,
chapeaux,
chapeaux bordés,
chapeaux communs,
chapeaux d'écorce,
chapeaux d'écorce d'arbre,
chapeaux d'écorce de tilleul,
chapeaux de castor,
chapeaux de coupeau,
chapeaux de demi castor,
chapeaux de paille,
chapeaux à nègre,
charbon,
charbon de pierre,
charbon de terre,
chardon à drapier,
chardons,
charrue,
chaud de cuivre,
chaux vive,
chaux éteinte,
chemises,
chemises de toile,
chevaux,
chevaux anglais,
chevaux de somme,
chevaux de somme et mules et mulets,
cheveux,
chevrons,
chien,
chocolat,
choix de bœuf salée,
chouclas des Indes,
choux,
choux à planter,
châtaigne et marron frais,
châtaignes,
châtaignes sèche,
cidre,
cidre jaune,
cirage pour chaussure,
cire,
cire blanche et jaune,
cire jaune,
citrons et limons,
citrons frais et oranges fraîches,
clarifiant,
clous de cuivre,
clous de fer,
cochenille,
cochons,
colle,
colle de poisson,
colle forte,
colombine,
comestibles,
confitures,
corail brut,
cordage,
cordage de chanvre,
cordage et ficelle,
cordage neuf,
cordage vieux,
cordes à boyaux,
cordial,
cornes,
cornes de bœuf,
cornes plates ou feuilles de cornes,
cornes à faire peigner,
cornes à lanternes,
couleurs et huile,
couperon,
couperose,
couperose blanche,
couperose verte,
couteaux communs,
couteaux de traite,
coutellerie,
coutellerie commune,
couvertures,
couvertures pour nuque,
craie,
crin,
cristal,
cristal d'office,
crème de tartre,
cuir de bœufs en poil,
cuirs,
cuirs appretés,
cuirs apprétés,
cuirs apprêtés,
cuirs apprêtés de bœuf en poil,
cuirs de bœuf apprêtés,
cuirs de bœuf en poil,
cuirs de bœuf tannés,
cuirs de cheval,
cuirs de poil,
cuirs de vache,
cuirs de vache en poil,
cuirs en poil,
cuirs en poil de vache,
cuirs en poil verts,
cuirs pour bottes,
cuirs secs en poil,
cuirs tannés,
cuirs tannés de vache,
cuivre,
cuivre brut,
cuivre clous,
cuivre en chaudron,
cuivre en pain,
cuivre laminé,
cuivre vieux,
cuivrerie,
cumin,
curcuma,
câpres,
céruse,
dattes secs et prunes sèches,
denrées coloniales,
dentelle,
dentelle d'argent et d'or,
dentelle de Caen,
dentelle de fil,
dentelle de fil blanc,
dentelle de fil de Caen,
dentelle de fil de crin,
diagedum,
divers,
diverses,
dominoterie,
dorure fine,
douelles,
douelles à barils,
douelles à tonneau,
dragée,
drap,
drap callemande,
drap commun,
drap d'Abbeville,
drap d'Angleterre,
drap d'Elbeuf,
drap de Louviers,
drap de Sedan,
drap de lit,
drap et draperie,
drap et draperie casinier,
drap fin,
drap fin et draperie,
drap naturel diverse,
drap ordinaire,
drap petit,
drogue couperose,
drogue médicinale,
drogue émeri,
drogues,
drogues chimiques,
drogues chimiques et métaliques,
drogues médicinale,
drogues médicinales,
drogues médicinales ???,
drogues médicinales casse en ???,
drogues pour peintures et teinture,
drogues réunies,
eau de genièvre,
eau de rose,
eau de senlaw,
eau de senteur,
eau de senteur de la reine de Hongrie,
eau diverse,
eau forte,
eau minérale,
espars marmoyées en argent,
esprit de sel,
esprit-de-vin,
essence,
estampes,
estampes et carte géographique,
estampes et gravures,
estampes et tableaux,
farine,
farine d'avoine,
farine de grain froment,
farine et biscuit de mer,
farine et biscuit de mer et pâte d'Italie,
farine et gruau d'orge,
farine ordinaire,
faucilles et faux et fil de laiton et limes,
faux,
faux et faucilles,
fer,
fer bleu,
fer coulé,
fer coulé ou de fonte,
fer de feuilles et noir,
fer de fonte,
fer en batterie,
fer en chaudière,
fer en chou,
fer en clou,
fer en lame,
fer en marmite,
fer en plaque,
fer fondu,
fer noir et en tôle,
fer vieux,
fer à la valeur,
fer à lame,
fer-blanc,
ferblanterie,
ferraille,
feuillard de fer,
feuillard de fer ou ???,
feuillards de bois,
feuilles de cuivre,
feuilles de tabac,
figue,
figue sèche,
fil,
fil blanc à coudre,
fil d'acier,
fil d'or,
fil de chanvre et de lin,
fil de laiton et laiton,
fil divers,
fil retord,
fil à coudre,
fil à coudre de couleur,
fil à voile,
filets à pêcher,
filin,
flanelle,
fleurs aromatiques,
fleurs artificielles,
fleurs de cannelle,
fleurs de moutarde,
fleurs de poix,
fnée platte,
fonds de cuivre,
fourrure de cuivre et rozette de cuivre,
fromage,
fromage commun,
fromage de Hollande,
fruits,
fruits au vinaigre,
fruits au vinaigre cornichon,
fruits au vinaigre divers,
fruits confits,
fruits confits divers,
fruits confits en vinaigre,
fruits confits à l'eau de vie,
fruits confits à l'eau-de-vie,
fruits des Indes,
fruits en confiture,
fruits frais,
fruits moulus divers,
fruits rudes,
fruits secs,
fruits verts,
fusils,
fusils de traite,
futaille,
futaille vieille,
futailles vides,
fèves,
fèves sèches,
galle,
galon d'or,
galon dorure d'argent et d'or,
galon dorure d'or,
galon dorure d'or fin,
galon dorure fausse,
gande,
gants,
gants communs,
gants de Grenoble,
gants de cuir,
gants de peau,
gants de poil,
gants divers,
garance,
garniture de robes de femme,
gentes de fer,
gibier,
gingembre,
girofle,
gomme,
gomme arabique,
gomme copale,
gomme de gaiac,
gomme du Sénégal,
gomme gutte,
gomme laque,
gomme sandarak,
gomme thurique,
goudron,
grain avoine,
grain bled et riz,
grain divers,
grain froment,
grain froment et autres grains,
grain maïs,
grain millet,
grain orge,
grain orge germé,
grain riz,
grain seigle,
graine,
graine ???,
graine d'anis,
graine d'avignon,
graine de,
graine de chanvre,
graine de diverse,
graine de fenouil,
graine de foin,
graine de genièvre,
graine de jardin,
graine de lin,
graine de luzerne,
graine de moutarde,
graine de navette,
graine de prairie,
graine de pré,
graine de tremaine,
graine de trèfle,
graine diverse,
graine et graine de lin,
grains ails,
grains de cire,
grains de plomb,
graisse,
graisse de porc,
graisse de porc salé,
granille de cochenille,
guingan de fil,
génisses,
génisses et taureaux et vaches,
habillement,
habillement et lingerie,
habits divers,
habits pour nègre,
hardes,
hardes pour nègre,
hareng salé ou mariné,
harengs,
harengs blanc,
harengs marinées et salées et saurs,
harengs mer marinées et salées,
harengs saurs,
haricots,
harnais,
herbes gaude,
herbes pérelle,
herbes vaudes,
herbes à teindres,
histoire naturelle,
horlogerie,
horlogerie montre d'argent,
houblon,
huile de baleine,
huile de grain,
huile de graine,
huile de lin,
huile de morne,
huile de morue,
huile de navette,
huile de noix,
huile de poisson,
huile de poisson des Indes,
huile de rabette,
huile de térébenthine,
huile de vitriol,
huile dellevette,
huile et essence de térébenthine,
huile grap indigo,
huile pour France de poisson,
huile à brûler,
huîtres,
indigo,
instruments,
instruments astronomie,
instruments d'orfèvre,
instruments de chirurgie,
instruments de marine,
instruments de mathématique,
instruments de musique,
instruments de physique,
ipécacuanha,
ivoire,
ivoire dent d'éléphant,
jalap,
jambon,
jambon fumé,
jambons salés,
jaune de Naples,
joaillerie,
joncs rotin,
jus de réglisse,
laine brute,
laiton,
langues,
langues de boeuf salées,
langues de morue,
langues salées,
lard,
lard salé,
librairie,
limeneas,
limes,
lin,
lin divers,
lin peigné,
lin écru,
linge de tables,
lingerie,
lingerie en chanvre,
lingerie à nègre,
lingots de Brésil d'or reçus par l'envoi d'Angleterre,
lingots ou monnaies étrangères d'argent et d'or,
liqueurs,
liqueurs communes,
liqueurs diverse,
liqueurs et sirop,
liqueurs sirop fin,
litharge,
livres,
liège,
lunette,
lustres,
légumes,
légumes pois,
machine pour fabriquer le tabac,
machine à feu,
magnésie,
manches de liège,
manchette,
manchette brodée,
manchons de plume,
manne,
maquereau,
maquereaux salés,
marchandises,
marchandises des Indes,
marchandises exportée par les port et pays du royaume traité comme étranger,
marchandises sèches,
marchandises à l'estimation,
marchandises à la valeur,
marrons,
matelas,
matières premières,
mercerie,
mercerie en lignet et hameçon,
mercerie fine,
mercerie épingle,
mercure,
merrains,
merrains de chêne,
merrains à barriques,
merrains à fond,
meuble et effet,
meubles et miroirs,
meubles à taillandier,
meulardeaux,
meules,
meules de moulins de 4 pieds 1/2,
meules pour moulin,
meules pour moulins,
meules à aiguiser,
meules à gagne-petit,
meules à tailland ???,
meules à taillande,
meules à taillandier,
meules à taillandier de 4 à 5 pouces,
miel,
mine de plomb,
mine de plomb noire,
mine de plomb rouge,
minium,
miny,
mobilier,
mobilier vieux,
monnaies d'argent par Calais,
monnaies d'or par Calais,
monnaies de cuivre,
morue,
morue marinées et salées,
morue sèche,
morue verte,
morue verte des Îles,
mouchoirs,
mouchoirs blanc,
mouchoirs de fil,
mouchoirs de mousseline,
mouchoirs des Indes,
mouchoirs des Indes dit bandanas,
mouchoirs et mouchoirs des Indes,
mouchoirs imprimé,
moulins à blé,
moulins à café,
mousselines,
mousselines des Indes,
moutarde,
moutons,
mulets,
muscades,
musique,
mâts,
médicaments,
métal,
nacre de perles,
nacre en coquilles,
nattes,
nattes de jonc,
navet,
neganepeau,
niaals des Indes,
nicaneas,
nicanéas,
noir d'ivoire,
noir de fumée,
noisette,
noix,
noix de galle,
noix sèches,
nots et langues de morue des Îles,
objets de peu de valeur,
objets des Indes et de peu importance,
objets manufacturé réunis,
objets manufacturés,
ocre,
oignons,
olives,
olives au vinaigre,
olives salées,
opium,
or battu,
orange,
orfèvrerie,
orfèvrerie d'argent,
orfévrerie d'argent et d'or,
orge mondé,
ornements d'église,
orseille,
osier,
osserie de Dieppe,
outils,
outils de moulins,
outils de pêche,
outils de pêcheur,
outils de sécheurs,
ouvrages,
ouvrages d'industrie,
ouvrages d'industrie étrangers,
ouvrages d'opium,
ouvrages d'osier,
ouvrages d'étain,
ouvrages de bois,
ouvrages de bois doré,
ouvrages de bois simple,
ouvrages de charpentier,
ouvrages de charron,
ouvrages de charronage,
ouvrages de corail,
ouvrages de coutellerie,
ouvrages de crin,
ouvrages de cristal,
ouvrages de cuir,
ouvrages de jonc,
ouvrages de marbre,
ouvrages de menuisier,
ouvrages de mécanique,
ouvrages de papeterie,
ouvrages de peaux d'oigneaux,
ouvrages de peaux de daim,
ouvrages de peaux diverse,
ouvrages de serrurerie ressort de voiture,
ouvrages de terre,
ouvrages de terre cuite,
ouvrages de tonnelier,
ouvrages de tourneur,
ouvrages divers,
ouvrages dorés,
ouvrages en dorure fine,
ouvrages en marbre,
padoux,
pain,
pain d'épice,
panier d'osier,
papier,
papier aux armes,
papier blanc,
papier carré,
papier cartier,
papier commun,
papier corue,
papier d'emballage,
papier d'estrasse,
papier de couleurs et peint,
papier de marquis,
papier de musique,
papier de raisin,
papier doré,
papier double lys,
papier gris,
papier peint,
papier peint et de foulards,
papier pour teinture,
papier à impression,
papier à lettre,
papier à écrire,
parapluie,
parasols,
parchemins,
parfumerie,
parfumerie pommade,
parfumerie poudre à poudrer,
passementerie,
pastel,
patate,
pavés,
peaux,
peaux ???,
peaux apprêtées,
peaux apprêtées de chevreuil,
peaux apprêtées de chèvre,
peaux apprêtées de mouton,
peaux apprêtées de veau,
peaux bronzées et de veau,
peaux corroyées de veau,
peaux crues de chèvre,
peaux crues de porc,
peaux d'agneau,
peaux d'orignal,
peaux d'ours,
peaux de bouc et chèvre,
peaux de castor,
peaux de cerf,
peaux de cerf et chevreuil,
peaux de cheval passées,
peaux de chevreau,
peaux de chevreau apprêtée,
peaux de chevreau crues,
peaux de chevreuil,
peaux de chien de mer,
