simplification,type_textile
gaze à peu de soie,tissés
gourgouran,tissés
grisette,tissés
guinée,tissés
guinée blanche,tissés
guinée bleue,tissés
hamacs,tissés
indienne,tissés
indienne de coton,tissés
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,tissés
indienne de coton et siamoise de coton et toile de coton peinte,tissés
indienne de coton et toile de coton peinte,tissés
indienne peinte,tissés
lainage couvertures,tissés
laine blanche et fine et filée et teinte,tissés
lampareille de poil,tissés
liens de fil,filés
limeneas,tissés
lisières de drap,passementerie
lustrine,tissés
marègue,tissés
mignonnette,passementerie
molleton,tissés
molleton de laine,tissés
moquette,tissés
mouchoirs,tissés
mouchoirs Masulipatan,tissés
mouchoirs blancs et teints,tissés
mouchoirs d'indienne,tissés
mouchoirs de Bengale,tissés
mouchoirs de Cholet,tissés
mouchoirs de Pondichéry,tissés
mouchoirs de Rouen,tissés
mouchoirs de batiste,tissés
mouchoirs de coton,tissés
mouchoirs de coton de France,tissés
mouchoirs de coton des Indes,tissés
mouchoirs de coton et de fil,tissés
mouchoirs de coton et fil,tissés
mouchoirs de coton et fil de coton,tissés
mouchoirs de fil,tissés
mouchoirs de fil et de coton,tissés
mouchoirs de fil organdi,tissés
mouchoirs de gaze,tissés
mouchoirs de mousseline,tissés
mouchoirs de soie,tissés
mouchoirs de toile de Cholet,tissés
mouchoirs de toile peinte,tissés
mouchoirs des Indes,tissés
mouchoirs et mouchoirs des Indes,tissés
mouchoirs peints,tissés
mouchoirs romals,tissés
mousseline,tissés
mousseline de coton,tissés
mousseline de coton et Nankin,tissés
mousseline de coton et Nankin des Indes,tissés
mousseline de coton unie et brûlée,tissés
mousseline de coton unie et peinte,tissés
mousseline de coton unies et brûlées,tissés
mousseline de coton unies et peintes,tissés
neganepeau,tissés
nelis,tissés
nicanéas,tissés
nicanéas grands,tissés
nicanéas petits,tissés
ouvrages dorure fausse,tissés
ouvrages en passementerie ordinaire,passementerie
panine de soie,tissés
panne,tissés
panne de laine,tissés
panne de poil,tissés
passementerie,passementerie
passementerie de soie,passementerie
passementerie ordinaire,passementerie
peluches,tissés
percale,tissés
perpétuane,tissés
platille,tissés
polimi,tissés
prunelle de poil,passementerie
ratine,tissés
ratine fine,tissés
raze de Maroc,tissés
raze de castor,tissés
romals,tissés
ruban,passementerie
ruban commune,passementerie
ruban d'argent et d'or et de soie,passementerie
ruban de fil,passementerie
ruban de fil et de laine,passementerie
ruban de fleuret,passementerie
ruban de laine,passementerie
ruban de soie,passementerie
ruban et passementerie diverses celles de soie et dorure exceptées,passementerie
ruban ordinaire,passementerie
salemporis,tissés
salemporis blanc,tissés
salemporis bleu,tissés
sanas,tissés
satin,tissés
satin uni,tissés
sempiterne,tissés
sennes,filés
serge,tissés
serge de laine,tissés
serge drapée,tissés
serge imprimée,tissés
serge à doubler,tissés
serviettes,tissés
siamoise,tissés
siamoise commune,tissés
siamoise de coton et de fil,tissés
siamoise de coton et toile de coton peinte,tissés
siamoise à fleurs,tissés
siamoise à peu de soie,tissés
soie apprêtée,tissés
soie en rames,tissés
soie grège,tissés
soie ouvrée,tissés
soie teinte,tissés
soie à coudre,filés
soierie,tissés
soierie et dorure,tissés
soierie et dorure fine,tissés
taffetas,tissés
tapis,tissés
tapis de laine,tissés
tapisserie,tissés
tapisserie d'Aubusson,tissés
tapisserie d'Auvergne,tissés
tapisserie de Rouen,tissés
tapsel,tissés
tavelle,passementerie
tayolles de laine,tissés
tepays,tissés
toile,tissés
toile ???,tissés
toile Languenan,tissés
toile abat,tissés
toile blancard,tissés
toile blancard de Rouen,tissés
toile blanche,tissés
toile blanche de coton,tissés
toile blanche et teinte,tissés
toile blanche peinte,tissés
toile boucassine,tissés
toile bougran,tissés
toile caissie,tissés
toile canevas,tissés
toile chasselas,tissés
toile cirée,tissés
toile cirée et de crin et gommée,tissés
toile cirée et gommée,tissés
toile commune,tissés
toile commune de lin,tissés
toile cordat,tissés
toile corot,tissés
toile cottray,tissés
toile coutil,tissés
toile crue,tissés
toile crée,tissés
toile crée large,tissés
toile d'Alep,tissés
toile d'Allemagne,tissés
toile d'Antioche,tissés
toile d'Olonne,tissés
toile d'aman,tissés
toile d'antale,tissés
toile d'emballage,tissés
toile d'étoupes,tissés
toile d'étoupes de lin,tissés
toile de Beauvais,tissés
toile de Bretagne,tissés
toile de Bretagne blanche,tissés
toile de Bretagne crue,tissés
toile de Bretagne crée large,tissés
toile de Bretagne d'Olonne,tissés
toile de Bretagne de 4 fils,tissés
toile de Bretagne de ménage,tissés
toile de Bretagne diverse,tissés
toile de Bretagne entre large,tissés
toile de Bretagne gratienne,tissés
toile de Bretagne hauts brins,tissés
toile de Bretagne large,tissés
toile de Bretagne rayée,tissés
toile de Bretagne rondelette,tissés
toile de Bretagne rosconne,tissés
toile de Bretagne rousse,tissés
toile de Bretagne serpillière,tissés
toile de Bretagne à carreaux,tissés
toile de Bretagne étroite,tissés
toile de Cambrai,tissés
toile de Cholet,tissés
toile de Combourg,tissés
toile de Flandre,tissés
toile de Fougères,tissés
toile de Grenade,tissés
toile de Halle,tissés
toile de Hollande,tissés
toile de Killis,tissés
toile de Languenan,tissés
toile de Laval,tissés
toile de Léon,tissés
toile de Morlaix,tissés
toile de Mortagne,tissés
toile de Piémont,tissés
toile de Poldavie,tissés
toile de Pontivy,tissés
toile de Rouen,tissés
toile de Saintonge,tissés
toile de Suisse,tissés
toile de Vimoutiers,tissés
toile de Vitré,tissés
toile de basin,tissés
toile de brin,tissés
toile de chanvre,tissés
toile de chanvre blanche,tissés
toile de chanvre d'emballage,tissés
toile de chanvre d'étoupes,tissés
toile de chanvre de coutil,tissés
toile de chanvre et de lin,tissés
toile de coton,tissés
toile de coton des Indes,tissés
toile de coton et de fil,tissés
toile de coton et de fil à fleurs,tissés
toile de coton peinte,tissés
toile de coton à fleurs,tissés
toile de coutil,tissés
toile de crin,tissés
toile de fil de coton siamoise,tissés
toile de fil peinte et teinte,tissés
toile de lin,tissés
toile de lin blanche,tissés
toile de lin de Beauvais,tissés
toile de lin de Cholet,tissés
toile de lin de Laval,tissés
toile de lin de Rouen,tissés
toile de lin de Saint-Quentin,tissés
toile de lin de Valenciennes,tissés
toile de lin et de batiste et linon,tissés
toile de lin linon,tissés
toile de lin peinte,tissés
toile de ménage,tissés
toile embabis,tissés
toile fine,tissés
toile fine de lin,tissés
toile gratienne,tissés
toile grise,tissés
toile gros fort,tissés
toile grosse,tissés
toile grosse de lin,tissés
toile grosse en faces,tissés
toile guingans,tissés
toile guingans de Madras,tissés
toile guingans de Pondichéry,tissés
toile large,tissés
toile linon,tissés
toile manouf,tissés
toile non battue,tissés
toile peinte,tissés
toile piquée,tissés
toile ramoise,tissés
toile rayée,tissés
toile rosconne,tissés
toile rousse,tissés
toile royale,tissés
toile serpillière,tissés
toile tapsel,tissés
toile teinte,tissés
toile treillis,tissés
toile vernante,tissés
toile à bâts,tissés
toile à carreaux,tissés
toile à carreaux et de coutil,tissés
toile à matelas,tissés
toile à serviettes,tissés
toile à voile,tissés
toile écrue,tissés
toile étrangère,tissés
toile étroite,tissés
tripe de velours,tissés
tripe mêlée de soie et tripe de velours,tissés
velours,tissés
velours cramoisi,tissés
velours de coton,tissés
velours de soie,tissés
étamine,tissés
étamine d'Auvergne,tissés
étamine de Reims,tissés
étamine de laine,tissés
étamine du Mans,tissés
étoffe,tissés
étoffe au quart de soie,tissés
étoffe brochée de pure soie et unies,tissés
étoffe brochée de soie et unies,tissés
étoffe de chanvre et de fil de lin en toile,tissés
étoffe de chanvre et de lin en toile diverse,tissés
étoffe de coton,tissés
étoffe de coton et de fil,tissés
étoffe de coton et de fil mélangés,tissés
étoffe de coton et de laine,tissés
étoffe de coton et de laine et de soie mélangés,tissés
étoffe de coton et de soie,tissés
étoffe de coton et drap de coton et velours de coton,tissés
étoffe de coton et drap de coton et velours de coton et couvertures de coton,tissés
étoffe de crin,tissés
étoffe de fil et de soie,tissés
étoffe de filoselle,tissés
étoffe de fleuret,tissés
étoffe de laine,tissés
étoffe de laine et de poil,tissés
étoffe de laine et de soie,tissés
étoffe de soie,tissés
étoffe de soie au quart,tissés
étoffe de soie des Indes,tissés
étoffe de soie dorure d'argent et d'or,tissés
étoffe de soie dorure d'or,tissés
étoffe de soie et de velours d'Utrecht,tissés
étoffe de soie mi soie,tissés
étoffe de velours de soie,tissés
étoffe des Indes,tissés
étoffe dorure,tissés
étoffe dorure d'argent et d'or,tissés
étoffe dorure d'or,tissés
étoffe en dorure et galon et passementerie,tissés
étoffe en or mêlée de soie,tissés
étoffe et gaze et crêpe et tulle,tissés
étoffe et ruban de fleuret,tissés
étoffe herbage,tissés
étoffe mi soie,tissés
étoffe mêlée de soie peluches,tissés
étoffe peluches de laine,tissés
étoffe riche,tissés
étoffe riche en or et argent,tissés
étoffe à peu de soie,tissés
