"origin","nbr_occurence","origin_norm_ortho","nbr_occurence_norm_ortho","origin_province","nbr_occurence_province","remarks_origin"
"Beauvoisin",1,"Beauvoisin",1,"Dauphiné",253,"Un bureau lié à Grenoble"
"Belesine",1,"Belesine",1,"Inconnu",206,"Ce sont des toiles de Chanvre partant du Havre"
"Belle Isle",1,"Belle-Île",1,"Bretagne",1798,"DOUTES"
"Bernay",2,"Bernay",3,"Normandie",1703,
"Berri",28,"Berry",58,"Berry",59,
"Berry",30,"Berry",58,"Berry",59,
"Bidache",3,"Bidache",3,"Béarn",318,
"Bigor",1,"Bigorre",22,"Guyenne",2017,
"Bigorre",21,"Bigorre",22,"Guyenne",2017,
"Blaye",1,"Blaye",1,"Guyenne",2017,
"Bolbec",3,"Bolbec",3,"Normandie",1703,
"Bordeaux",762,"Bordeaux",762,"Guyenne",2017,
"Bordeaux Bourgogne",2,"Bordeaux Bourgogne",2,"Inconnu",206,
"Bordeaux Champagne",1,"Bordeaux Champagne",1,"Inconnu",206,
"Bordeaux d'Espagne",1,"Bordeaux d'Espagne",1,"Inconnu",206,"DOUTES"
"Bordeaux et Provence",5,"Bordeaux et Provence",5,"Inconnu",206,
"Bordeaux et Sault",10,"Bordeaux et Sault",10,"Guyenne",2017,
"Bordeaux Franche comté",2,"Bordeaux Franche comté",2,"Inconnu",206,
"Bordeaux Guyenne",1,"Bordeaux Guyenne",1,"Guyenne",2017,
"Bordeaux Languedoc",2,"Bordeaux Languedoc",2,"Inconnu",206,
"Bouillon",3,"Bouillon",3,"Monde",1066,
"Boulogne",9,"Boulogne",9,"Picardie",900,
"Boulonais",39,"Boulonais",39,"Picardie",900,
"Bourbonais",2,"Bourbonnais",6,"Bourbonnais",7,
"Bourbonnais",2,"Bourbonnais",6,"Bourbonnais",7,
"Bourbonnois",2,"Bourbonnais",6,"Bourbonnais",7,
"Bourges",1,"Bourges",1,"Berry",59,
"Bourgogne",257,"Bourgogne",257,"Bourgogne",263,
"Bournay",1,"Bernay",3,"Normandie",1703,"Exports du Havre Linge de table"
"Brême",10,"Brême",11,"Nord",238,
"Bremen",1,"Brême",11,"Nord",238,
"Brésil",4,"Brésil",4,"Amérique",232,
"Bresse",1,"Bresse",1,"Bourgogne",263,
"Bretagne",897,"Bretagne",903,"Bretagne",1798,
"Bretagne et Anjou",5,"Anjou et Bretagne",5,"Inconnu",206,
"Brie",1,"Brie",1,"Île-de-France",1897,
"Brouage",4,"Brouage",4,"Saintonge",147,
"Bureau du roy",1,"Bureau du roy",1,"Inconnu",206,
"Caen",8,"Caen",8,"Normandie",1703,
"Calais",1,"Calais",1,"Picardie",900,
"Cambraisis",2,"Cambrésis",15,"Flandre",1476,"à priori à part ???"
"Cambray",1,"Cambrésis",15,"Flandre",1476,"à priori à part ???"
"Cambresis",1,"Cambrésis",15,"Flandre",1476,"à priori à part ???"
"Cambrésis",11,"Cambrésis",15,"Flandre",1476,"à priori à part ???"
"Cap Breton",1,"Cap breton",9,"Guyenne",2017,
"Cap breton",5,"Cap breton",9,"Guyenne",2017,"île du Cape-Breton (Canada) ou dans les Landes???? -- Beaucoup de vin, donc plutôt les Landes"
"Cap français",2,"Cap français",3,"Amérique",232,"DOUTES St Domingue"
"Cap françois",1,"Cap français",3,"Amérique",232,"DOUTES St Domingue"
"Capbreton",3,"Cap breton",9,"Guyenne",2017,
"Carcassonne",24,"Carcassonne",24,"Languedoc",1541,
"Caroline",2,"Caroline",2,"Amérique",232,"Caroline du Nord;Caroline du Sud"
"Castillon",21,"Castillon",21,"Guyenne",2017,"lequel? -- Guyenne car exportations de Bordeaux"
"Castres",3,"Castres",3,"Languedoc",1541,
"Cette",13,"Cette",13,"Provence",2016,
"Chalons",1,"Chalons",1,"Inconnu",206,"en Champagne ou Chalons sur Mer ?? - exports de grains de Bayonne ???"
"Chalosse",6,"Chalosse",6,"Guyenne",2017,
"Champagne",827,"Champagne",827,"Champagne",965,
"Champagne et Rouen",1,"Champagne et Rouen",1,"Inconnu",206,
"Charente",7,"Charente",7,"Aunis",238,
"Charleville",8,"Charleville",8,"Champagne",965,
"Chartres",1,"Chartres",1,"Orléanais",54,
"Chateaubriant",5,"Châteaubriant",5,"Inconnu",206,"Exportations de Nantes de draps ?"
"Chatellerault",2,"Chatellerault",2,"Poitou",134,
"Chaumont",1,"Chaumont",1,"Champagne",965,"Surtout dans le commerce de Langres"
"Cherboug",8,"Cherbourg",16,"Normandie",1703,
"Cherbourg",8,"Cherbourg",16,"Normandie",1703,
"Chine",13,"Chine",13,"Asie",318,
"Choiseul",2,"Choiseul",2,"Champagne",965,
"Cholet",63,"Cholet",63,"Anjou",316,
"Clisson",5,"Clisson",5,"Bretagne",1798,
"Cognac",3,"Cognac",3,"Saintonge",147,
"Colmard",1,"Colmard",1,"Alsace",29,
"Colonie française",16,"Colonies françaises",29,"Outre-Mers",30,
"Colonies",1,"Colonies",1,"Outre-Mers",30,
"Colonies Espagnoles",5,"Colonies Espagnoles",5,"Amérique",232,
"Colonies francaises",4,"Colonies françaises",29,"Outre-Mers",30,
"Colonies françaises",9,"Colonies françaises",29,"Outre-Mers",30,
"Colonies françaises de l'Amérique",72,"Colonies françaises de l'Amérique",72,"Amérique",232,
"Combourg",6,"Combourg",6,"Bretagne",1798,
"Commerce français",16,"Commerce français",16,"Inconnu",206,
"Compagnie des Indes",2,"Compagnie des Indes",2,"Asie",318,
"Comté de Foix",15,"Comté de Foix",15,"Foix",28,
"Comte de Nantes",11,"Comté de Nantes",35,"Bretagne",1798,
"Comte françois",1,"Franche-comté",351,"Franche-Comté",352,
"Comte nantais",24,"Comté de Nantes",35,"Bretagne",1798,
"Cote rotie",2,"Cote rotie",2,"Lyonnais",1685,"Lyonnais ?"
"Courtray",3,"Courtray",3,"Flandre",1476,
"Couserans",1,"Couserans",13,"Foix",28,"Foix ou Guyenne ?"
"Couseraus",11,"Couserans",13,"Foix",28,"Entre Auch et Saint-Giron : Foix"
"Cousserans",1,"Couserans",13,"Foix",28,"Foix ou Guyenne ?"
"Coutances",1,"Coutances",1,"Normandie",1703,
"Croisic",1,"Le Croisic",2,"Bretagne",1798,
"Croisie",1,"Le Croisic",2,"Bretagne",1798,"Croisic??? du sel ! Le Croisic"
"Cruas?",7,"Cruas",7,"Languedoc",1541,
"D'anjou",1,"Anjou",212,"Anjou",316,
"D'Elbeuf",2,"Elbœuf",36,"Normandie",1703,
"Danemark",4,"Danemark",4,"Nord",238,
"Dantzick",2,"Dantzick",2,"Nord",238,"ville libre, non ?"
"Darnetal",1,"Darnetal",1,"Normandie",1703,
"Dauphiné",241,"Dauphiné",241,"Dauphiné",253,
"de Pays",4,"du Pays",5,"Inconnu",206,"???"
"Dieppe",18,"Dieppe",18,"Normandie",1703,
"Dinan",14,"Dinan",14,"Bretagne",1798,
"Dol",1,"Dol",1,"Bretagne",1798,"c'est Dole en Bourgogne ? Dol de Bretagne? Pois secs exports par Saint-Malo : Bretagne"
"du Mans",1,"Le Mans",30,"Maine",209,
"du Pays",1,"du Pays",5,"Flandre",1476,"???"
"du Pays de Dunkerque",20,"du Pays de Dunkerque",20,"Flandre",1476,
"Dubui",2,"Dubui",2,"Inconnu",206,"Exports de Marseille mercerie"
"Dunkerque",86,"Dunkerque",86,"Flandre",1476,
"Duris",1,"Duris",1,"Inconnu",206,"???"
"Elbeuf",5,"Elbœuf",36,"Normandie",1703,
"Elboeuf",7,"Elbœuf",36,"Normandie",1703,
"Elbœuf",22,"Elbœuf",36,"Normandie",1703,
"Espagne",48,"Espagne",48,"Espagne",62,
"Espagne et Portugal",1,"Espagne et Portugal",1,"Monde",1066,
"Etanger",3,"Étranger",1051,"Monde",1066,
"Etats-Unis",22,"Etats-Unis",26,"États-Unis de l'Amérique",32,
"Etats-Unis de l'Amérique",4,"Etats-Unis",26,"États-Unis de l'Amérique",32,
"Etranger",416,"Étranger",1051,"Monde",1066,
"Étranger",627,"Étranger",1051,"Monde",1066,
"étranger",4,"Étranger",1051,"Monde",1066,
"Etranger (de renvoi )",1,"Étranger de renvoi",2,"Monde",1066,
"Etranger (renvoi)",1,"Étranger de renvoi",2,"Monde",1066,
"Etranger!!!!",1,"Étranger",1051,"Monde",1066,
"Eveches",3,"Trois-Évêchés",8,"Lorraine",60,"en simplifiant.."
"Evêchés",2,"Trois-Évêchés",8,"Lorraine",60,"en simplifiant.."
"Fécamp",3,"Fécamp",3,"Normandie",1703,
"Ferol",2,"Férol",3,"Bretagne",1798,"En Galice ou pays de la Loire ? - exportations de toile blanche donc pays de Loire"
"Férol",1,"Férol",3,"Bretagne",1798,"En Galice ou pays de la Loire ? - exports de toile"
"Flandre",657,"Flandres",1006,"Flandre",1476,
"Flandres",349,"Flandres",1006,"Flandre",1476,
"Foire de Beaucaire",85,"Foire de Beaucaire",85,"Languedoc",1541,
"Forest",4,"Forez",114,"Lyonnais",1685,
"Foret",43,"Forez",114,"Lyonnais",1685,
"Forêt",45,"Forez",114,"Lyonnais",1685,
"Forêts",5,"Forez",114,"Lyonnais",1685,
"Forez",15,"Forez",114,"Lyonnais",1685,
"Fougères",7,"Fougères",7,"Bretagne",1798,
"Fozet",1,"Forez",114,"Lyonnais",1685,
"France",77,"France",77,"Inconnu",206,
"Franche comté",348,"Franche-comté",351,"Franche-Comté",352,
"Franche-comté",2,"Franche-comté",351,"Franche-Comté",352,
"Frontignan",2,"Frontignan",2,"Languedoc",1541,
"Galinois",1,"Galinois",1,"Inconnu",206,"???"
"Ganges",6,"Ganges",6,"Languedoc",1541,"Gange en Inde ou Ganges en Languedoc? - exports de bas de soie de Bordeaux et Marseille -- Languedoc"
"Garonne",1,"Garonne",1,"Guyenne",2017,
"Gascogne",3,"Gascogne",3,"Guyenne",2017,
"Gènes",6,"Gênes",11,"Italie",80,
"Gênes",5,"Gênes",11,"Italie",80,
"Gensac en Guyenne",2,"Guyenne",967,"Guyenne",2017,
"Gevaudan",7,"Gevaudan",7,"Languedoc",1541,
"Givel",1,"Givel",1,"Inconnu",206,"??? Givet?"
"Granville",4,"Granville",4,"Normandie",1703,
"Gravel",8,"La Gravelle",8,"Maine",209,"Exports de bas de fil via Bordeaux. Dans la liste, entre Laval et Landon. Donc le Maine ? ""La Gravelle"""
"Grenoble",2,"Grenoble",2,"Dauphiné",253,
"Gruyère",17,"Gruyère",17,"Suisse",27,"???"
"Guyanne",1,"Guyanne",1,"Amérique",232,"doute: Guyenne ou Guyane"
"Guyenne",965,"Guyenne",967,"Guyenne",2017,
"Guyenne, Langedoc, Lyon et Etranger",1,"Guyenne, Langedoc, Lyon et Etranger",1,"Inconnu",206,
"Hainault",65,"Hainaut",171,"Flandre",1476,
"hainault",1,"Hainaut",171,"Flandre",1476,
"Hainaut",99,"Hainaut",171,"Flandre",1476,
"Hairault",4,"Hainaut",171,"Flandre",1476,
"Hairrault",2,"Hainaut",171,"Flandre",1476,
"Hambourg",61,"Hambourg",61,"Nord",238,
"Harfleur",2,"Harfleur",2,"Normandie",1703,
"Harlem",3,"Harlem",3,"Hollande",340,
"Havane",4,"La Havane",4,"Amérique",232,
"Hollande",335,"Hollande",335,"Hollande",340,
"Honfleur",27,"Honfleur",27,"Normandie",1703,
"Idem (Angleterre)",2,"Angleterre",456,"Angleterre",533,
"Idem (Bretagne)",6,"Bretagne",903,"Bretagne",1798,
"Ile de France",3,"Île de France",1064,"Île-de-France",1897,"doute! colonie ou région parisienne ????"
"Ile française",2,"Îles françaises",76,"Amérique",232,
"Iles Françaises",1,"Îles françaises",76,"Amérique",232,
"Inde",5,"Indes",146,"Asie",318,
"Inde colonie française",3,"Indes colonies françaises",8,"Asie",318,
"Inde commerce français",1,"Indes commerce français",74,"Asie",318,
"Inde Lorient",1,"Inde Lorient",1,"Asie",318,"DOUTE"
"Indes",141,"Indes",146,"Asie",318,
"Indes Cnie Française",5,"Indes colonies françaises",8,"Asie",318,
"Indes commerce français",73,"Indes commerce français",74,"Asie",318,
"Indes espagnoles",9,"Indes étrangères",18,"Asie",318,
"Indes étrangères",9,"Indes étrangères",18,"Asie",318,
"Indes orientales",47,"Indes orientales",47,"Asie",318,
"Ingrandes",6,"Ingrandes",6,"Poitou",134,
"Irlande",68,"Irlande",68,"Angleterre",533,
"Irlande et Angleterre",5,"Irlande et Angleterre",5,"Angleterre",533,
"Isle de Bourbon",2,"Isle de Bourbon",2,"Asie",318,
"Isle de Fra,ce",1,"Île de France",1064,"Île-de-France",1897,
"Isle de France",943,"Île de France",1064,"Île-de-France",1897,"colonie ou région parisienne ???"
"Isle de Ré",5,"Île de Ré",12,"Aunis",238,
"Isle de Rhé",7,"Île de Ré",12,"Aunis",238,
"Isle françaises",4,"Îles françaises",76,"Amérique",232,
"Isles",49,"Îles françaises",76,"Amérique",232,
"Isles Amerique",2,"îles d'Amérique",2,"Amérique",232,
"Isles de France",117,"Île de France",1064,"Île-de-France",1897,"colonie ou région parisienne ???"
"Isles francaises",1,"Îles françaises",76,"Amérique",232,
"Isles françaises",11,"Îles françaises",76,"Amérique",232,
"Italie",4,"Italie",4,"Italie",80,
"Jouy",3,"Jouy",3,"Île-de-France",1897,"Lequel ?"
"L'aigle",3,"L'aigle",3,"Normandie",1703,
"L'Orient",33,"Lorient",85,"Bretagne",1798,
"La Marche",2,"La Marche",3,"La Marche",3,
"La Rochelle",33,"La Rochelle",33,"Aunis",238,
"Lamarche",1,"La Marche",3,"La Marche",3,
"Langen",34,"Languenan",34,"Bretagne",1798,"réfléchir à catégorie pour espace allemand!"
"Langres",6,"Langres",6,"Champagne",965,
"Languedoc",1229,"Languedoc",1238,"Languedoc",1541,
"Languedoc et Rouen",2,"Languedoc et Rouen",2,"Inconnu",206,
"Lanquedoc",9,"Languedoc",1238,"Languedoc",1541,
"Laval",67,"Laval",67,"Maine",209,
"Le Forez",1,"Forez",114,"Lyonnais",1685,
"Le Hainault",4,"Hainaut",548619,"Flandre",548619,
"Le Havre",136,"Le Havre",136,"Normandie",1703,
"Le Haynaut",1,"Hainaut",548619,"Flandre",548619,
"Le Maine",13,"Maine",94,"Maine",209,
"Le Mans",7,"Le Mans",30,"Maine",209,
"Le Perche",3,"Le Perche",4,"Normandie",1703,
"Le Puy",3,"Le Puy",3,"Languedoc",1541,"lequel ? Dentelle par Montpellier -- Languedoc à l'époque (Haute-Loire)"
"Lemaine",3,"Le Maine",3,"Maine",209,"DOUTE: MAINE? toiles exportées à Saint-Malo, donc oui"
"Les isles francaises",8,"Îles françaises",76,"Amérique",232,
"Levant",91,"Levant",91,"Levant et Barbarie",106,
"Lille",145,"Lille",146,"Flandre",1476,
"Lille et Flandres",5,"Lille et Flandres",5,"Flandre",1476,
"Lisbonne",4,"Lisbonne",4,"Portugal",9,
"Lisieux",7,"Lisieux",7,"Normandie",1703,
"Lisle",1,"Lille",146,"Flandre",1476,"Lille ?"
"Livourne",7,"Livourne",7,"Italie",80,
"Londres",4,"Londres",4,"Angleterre",533,
"Lorient",52,"Lorient",85,"Bretagne",1798,
"Lorraine",21,"Lorraine",21,"Lorraine",60,
"Louvier",13,"Louviers",46,"Normandie",1703,
"Louviers",33,"Louviers",46,"Normandie",1703,
"Lyon",939,"Lyon",939,"Lyonnais",1685,
"Lyonais",5,"Lyonnais",503,"Lyonnais",1685,
"Lyonnais",448,"Lyonnais",503,"Lyonnais",1685,
"lyonnais",19,"Lyonnais",503,"Lyonnais",1685,
"Lyonois",30,"Lyonnais",503,"Lyonnais",1685,
"Lyonoisois",1,"Lyonnais",503,"Lyonnais",1685,
"Madère",1,"Madère",1,"Espagne",62,
"Maine",79,"Maine",94,"Maine",209,
"maine",2,"Maine",94,"Maine",209,
"Malaga",7,"Malaga",7,"Espagne",62,
"Mame",5,"Mame",5,"Champagne",965,"doute"
"Mans",22,"Le Mans",30,"Maine",209,
"Marencin",8,"Marencin",8,"Guyenne",2017,
"Marennes",3,"Marennes",3,"Saintonge",147,
"Marsan",2,"Marsan",2,"Guyenne",2017,
"Marseille",1025,"Marseille",1025,"Provence",2016,
"Marseille et Bordeaux",1,"Bordeaux et Marseille",1,"Inconnu",206,
"Marseille et Hollande",2,"Hollande et Marseille",2,"Inconnu",206,
"Martinique",1,"La Martinique",1,"Amérique",232,
"Mattre",1,"Mattre",1,"Inconnu",206,"???"
"Maubeuge",1,"Maubeuge",1,"Flandre",1476,
"Mayenne",7,"Mayenne",7,"Maine",209,
"Médoc",2,"Médoc",2,"Guyenne",2017,
"Miquelon",5,"Miquelon",5,"Amérique",232,
"Monarque",1,"Monarque",1,"Inconnu",206,"???"
"Mont-marsan",1,"Mont-marsan",1,"Guyenne",2017,
"Montauban",4,"Montauban",4,"Guyenne",2017,
"Montpellier",29,"Montpellier",29,"Languedoc",1541,
"Morlaix",26,"Morlaix",26,"Bretagne",1798,
"Mortagne",22,"Mortagne",22,"Saintonge",147,
"Mouche",1,"Mouche",1,"Inconnu",206,"???"
"Moulins",1,"Moulins",1,"Bourbonnais",7,
"Nancy",1,"Nancy",1,"Lorraine",60,
"Nantes",565,"Nantes",565,"Bretagne",1798,
"Naples",37,"Naples",37,"Italie",80,
"Narbonne",2,"Narbonne",2,"Languedoc",1541,
"Naus",1,"Naus",1,"Inconnu",206,"Rouen exports etoffe peluche laine"
"Navarre",32,"Navarre",32,"Béarn",318,
"Neufchatel",1,"Neufchâtel",548619,"Suisse",548619,
"Neufchâtel",2,"Neufchâtel",2,"Suisse",27,"C'est bien du fromage"
"Neutre Kaire",5,"Neutre Kaire",5,"Inconnu",206,"Exports d'huile de grains de Dunkerque ?"
"Nevers",18,"Nevers",18,"Nivernais",34,
"Nice",4,"Nice",4,"Italie",80,
"Nîmes",60,"Nîmes",69,"Languedoc",1541,
"Nismes",9,"Nîmes",69,"Languedoc",1541,
"Nivernais",16,"Nivernais",16,"Nivernais",34,
"Nogent le Roy",1,"Nogent-le-Roi",1,"Orléanais",54,
"Nord",4,"Nord",4,"Nord",238,"???"
"Normadie",2,"Normandie",925,"Normandie",1703,
"Normandie",923,"Normandie",925,"Normandie",1703,
"Norvège",12,"Norvège",12,"Nord",238,
"Nuremberg",1,"Nuremberg",1,"Allemagne",18,
"Oléron",6,"Oléron",6,"Saintonge",147,
"Oncille",3,"Oncille",3,"Italie",80,"Oneille ? dans ce cas, royaume Piémont-Sardaigne. Oui : exportations d'huile d'olive."
"Orange",6,"Orange",6,"Monde",1066,"attention PAS France"
"Origine",3,"Origine",3,"Inconnu",206,"???"
"Orleanais",2,"Orléanais",15,"Orléanais",54,
"Orléanais",11,"Orléanais",15,"Orléanais",54,
"Orléanois",2,"Orléanais",15,"Orléanais",54,
"Orleans",6,"Orleans",37,"Orléanais",54,
"Orléans",31,"Orleans",37,"Orléanais",54,
"Ornénoir",1,"Ornénoir",1,"Inconnu",206,"Exports de toile en serge en laine Blicourt // Lille // Steecort"
"Ostende",56,"Ostende",56,"Flandre et autres états de l'Empereur",61,
"Paix Haut",1,"Pays haut",24,"Lorraine",60,
"Paris",788,"Paris",789,"Île-de-France",1897,
"paris",1,"Paris",789,"Île-de-France",1897,
"Parmesan",1,"Parmesan",1,"Italie",80,"si région de Parme, alors duché de Parme"
"Pays",1,"Pays",1,"Inconnu",206,"???"
"Pays basques",3,"Pays basque",61,"Guyenne",2017,
"Pays d'Auge",1,"Pays d'Auge",1,"Normandie",1703,
"Pays d'Aunis",12,"Aunis",156,"Aunis",238,
"Pays de Basque",1,"Pays basque",61,"Guyenne",2017,
"Pays de Basques",1,"Pays basque",61,"Guyenne",2017,
"Pays de Caux",3,"Pays de Caux",3,"Normandie",1703,
"Pays de Liège",3,"Pays de Liège",3,"Flandre et autres états de l'Empereur",61,
"Pays de Nantes",3,"Pays de Nantes",3,"Bretagne",1798,
"Pays des Basques",53,"Pays basque",61,"Guyenne",2017,
"Pays des basques",3,"Pays basque",61,"Guyenne",2017,
"Pays haut",23,"Pays haut",24,"Lorraine",60,
"Pêche française",7,"Pêches françaises",548619,"Inconnu",548619,
"Pêche françoise",1,"Pêches françaises",21,"Inconnu",206,
"Pêches Françaises",3,"Pêches françaises",21,"Inconnu",206,
"Pêches françaises",17,"Pêches françaises",21,"Inconnu",206,
"Perche",1,"Le Perche",4,"Normandie",1703,
"Perigord",2,"Périgord",10,"Guyenne",2017,
"Périgord",8,"Périgord",10,"Guyenne",2017,
"Pérou",1,"Pérou",1,"Amérique",232,
"Perse",7,"Perse",7,"Asie",318,
"Petersbourg",4,"Petersbourg",5,"Nord",238,
"Petesbourg",1,"Petersbourg",5,"Nord",238,
"Petites Isles",1,"Petites Isles",1,"Poitou",134,"attention - ports francs ?"
"Pezenas",2,"Pezenas",2,"Languedoc",1541,
"Philadelphie",1,"Philadelphie",1,"États-Unis de l'Amérique",32,
"Picardie",122,"Picardie",122,"Picardie",900,
"Piémont",4,"Piémont",4,"Italie",80,
"Poitiers",1,"Poitiers",1,"Poitou",134,
"Poitou",108,"Poitou",108,"Poitou",134,
"Pont-de-Beauvoisin",1,"Pont-de-Beauvoisin",1,"Dauphiné",253,
"Ponteau de mer",1,"Ponteau de mer",1,"Normandie",1703,"Pont-Audemer?"
"Pontivy",4,"Pontivy",4,"Bretagne",1798,
"Pontoise",5,"Pontoise",5,"Île-de-France",1897,
"Pontorson",1,"Pontorson",1,"Normandie",1703,
"Port des barques",2,"Port des barques",2,"Saintonge",147,"Drap de Silésie et Casimir ?"
"Port Vendre",1,"Port Vendres",2,"Roussillon",62,
"Port Vendres",1,"Port Vendres",2,"Roussillon",62,
"Ports",1,"Ports",1,"Inconnu",206,"???"
"Portugal",4,"Portugal",4,"Portugal",9,
"Prov",1,"Provence",962,"Provence",2016,
"Provence",961,"Provence",962,"Provence",2016,
"Prusse",4,"Prusse",4,"Nord",238,
"Quercy",13,"Quercy",14,"Guyenne",2017,
"Querey",1,"Quercy",14,"Guyenne",2017,
"Quintin",5,"Quintin",5,"Bretagne",1798,
"Rédon",7,"Rédon",7,"Bretagne",1798,
"Régie des poudres",1,"Régie des poudres",1,"Inconnu",206,
"Reims",35,"Reims",36,"Champagne",965,
"Rennes",32,"Rennes",32,"Bretagne",1798,
"Rheims",1,"Reims",36,"Champagne",965,
"Rhône",5,"Rhône",5,"Lyonnais",1685,
"Riberon",1,"Quiberon",1,"Bretagne",1798,
"Rima",2,"Rima",2,"Monde",1066,"???"
"Rochefort",28,"Rochefort",28,"Aunis",238,
"Romans",3,"Romans",3,"Dauphiné",253,
"Romilly",3,"Romilly",3,"Normandie",1703,"lequel ? exportation de cuivre du Havre. Donc Romilly sur Andelle"
"Roquefort",3,"Roquefort",3,"Guyenne",2017,"lequel ? Fromage de Bordeaux : donc Guyenne"
"Rota",2,"Rota",2,"Espagne",62,"vin de Rota ? Espagne ?"
"Roubaix",1,"Roubaix",1,"Flandre",1476,
"Rouen",433,"Rouen",433,"Normandie",1703,
"Rouergue",26,"Rouergue",26,"Languedoc",1541,
"Roussillon",60,"Roussillon",60,"Roussillon",62,
"Royal",2,"Royal",2,"Inconnu",206,"Royan? Toiles de Chanvre blanc exportées de Marseille"
"Ruffec",13,"Ruffec",13,"Poitou",134,
"Russie",42,"Russie",42,"Nord",238,
