orthographic,source_bdc,nbr_occurences_orthographic,simplification,nbr_occurences_simplification,conv_orthographic_to_simplificat,remarque_unit
barils en saumure,0,0,barils en saumure,0,1,
barils et ancre,1,1,,165428,,
barils et caisse,1,7,,165428,,
barils feuiller,1,1,barils feuiller,1,1,
barils grand modèle,1,1,barils grand modèle,1,1,
barils gros,1,3,barils gros,3,1,
barils ordinaires,1,1,barils ordinaires,1,1,
barils petit modèle,1,1,barils petit modèle,1,1,
barils petits,1,52,petits barils,52,1,
barils petits de 300,1,1,barils,7284,1,
barils simple,1,3,barils,7284,1,
barques,1,1,barriques,5209,1,nécessite le contenu et le lieu d'émission
barraux,1,1,barraux,1,1,
barreaux,1,17,barral vin de Montpellier,17,1,p57 doursther
barres,0,0,barres,0,1,
barrique,1,1,barrique,1,1,nécessite le contenu et le lieu d'émission
barriques,1,5200,barriques,5209,1,
barriques à 30 veltes,1,1,pintes,7951,240,Doursther p. 570
barriques à 400 L.,1,1,livres,260072,400,
barriques à 500 L.,1,1,livres,260072,500,
barriques d'un millier,1,1,nombre,47111,1000,
barriques de 1000 livres,1,6,livres,260072,1000,
barriques de 500 livres,1,3,livres,260072,500,
barriques en bottes,1,1,barriques en bottes,1,1,
barriques en bouteilles,1,3,barriques en bouteille,3,1,
barriques et coffres,1,2,,165428,,
barriques et grands coffres,1,5,,165428,,
barriques grosses,1,1,barriques grosses,1,1,
barriques nantaises,1,1,barriques nantaises,1,1,
barriques poids de 1000 livres,1,1,livres,260072,1000,
barriquets,1,1,barriquets,1,1,
basin double,1,1,basin double,1,1,
basses,1,1,basses,1,1,
bassines,1,1,bassines,1,1,
bassins,1,3,bassins,3,1,
bateaux,1,30,bateaux,30,1,
bâtons,1,2,bâtons,2,1,
battes,1,1,bailles,42,1,
battots,1,1,,165428,,
bazin,1,2,bazin,2,1,
bazique,1,1,bazique,1,1,
bertilles,1,1,bertilles,1,1,
bêtes,1,1,bêtes,1,1,
bichets,1,1,bichets de Lyon,1,1,p66 doursther
billes,1,17,billes,17,1,
billets,1,1,billets,1,1,
billons,1,3,billons,3,1,
bines,1,1,bines,1,1,
birges,1,1,birges,1,1,
boëtes,1,34,boîtes,136,1,
boëtes de 3 livres,1,1,livres,260072,3,
boisseau,1,1492,boisseau,1492,1,
boisseaux,1,1,boisseaux,2,1,
boîtes,1,102,boîtes,136,1,
boîtes de 3 livres,1,1,livres,260072,3,
bolliches,1,1,bolliches,1,1,
bondades,1,1,,165428,,
bonnets,1,7,pièces,24203,1,
bordage,1,1,pièces,24203,1,
botiches,1,7,botiches,7,1,
bottes,1,326,pipe,704,1,"La même chose que Pipe d'après Dourshter, p. 70"
bottes à 68 veltes,1,1,pintes,7951,544,
boucaux,1,56,boucaux,56,1,
boucaux et pipes,1,5,,165428,,
boucs,1,173,outres de peaux de boucs,173,1,"LC : Le bouc désigne une outre faite de peau de bouc (dictionnaire de l'académie 1ère édition., 1694), pour le moment je n'ai pas trouvé d'évaluation en terme de poids/capacité. Je ne crois pas qu'il y en ait en fait car j'ai compulsé pas mal d'études métrologiques locales et je n'en ai trouvé aucune qui propose d'équivalent (en général, la mesure n'est pas évoquée d'ailleurs)."
boules,1,4,boules,4,1,
bourdillons,1,1,pièces,24203,1,
bourriques,1,1,pièces,24203,1,
bout,1,1,bout,1,1,
boutades,1,11,boutades,11,1,
bouteilles,1,2108,bouteilles,2118,1,
bouteilles + muids + pintes,1,2,bouteilles et muids et pintes,27,1,
bouteilles de pinte,1,4,pintes,7951,1,
bouteilles ou le livres,1,1,bouteilles ou le livres,1,1,
bouts,1,10,bouts,10,1,"vérification dans la source, il s'agit de « bouts »"
brancard,1,1,brancard,1,1,
braques,1,1,braques,1,1,
brassées,1,8,brasses,21,1,p83 doursther = brasses ?
brasses,1,13,brasses,21,1,nécessite le contenu et le lieu d'émission
brilles,1,1,brilles,1,1,
brins,1,7,brins,7,1,
briques,1,2,briques,2,1,
bûches,1,6,bûches,6,1,???
cabas,1,23,cabas,23,1,
cabillon,1,1,cabillon,1,1,
cabillons,1,1,cabillons,1,1,
cahiers,1,1,cahiers,1,1,
caisses,1,986,caisses,1004,1,
caisses de 50 L.,1,1,livres,260072,50,
caisses ordinaires,1,1,caisses,1004,1,
caissons,1,91,caissons,91,1,
canastre,1,2,canastre,2,1,"Doursther : 1 canastre représente la 70e partie de la pipe, page 91"
canes,1,10,canes,10,1,
canevettes,1,45,canevettes,45,1,
cannades,1,1,cannades,1,1,
cannées,1,1,cannées,1,1,
cannelles,1,44,cannelles,44,1,
cannes,1,68,cannes,68,1,
cannes en carré,1,1,cannes en carré,1,1,
cannettes,1,9,canettes,9,1,
canques,1,1,canques,1,1,
caps,1,10,caps,10,1,Doursther : voir cab page 88
caques,1,5,caques,5,1,"p100 doursther : équivalent au baril, en anglais cade/cag"
caratello,1,1,caratello,1,1,
cargaisons,1,2,cargaisons,2,1,
carpes,1,6,pièces,24203,1,
carre,1,1,carre,1,1,
carreaux,1,33,carreaux,33,1,
cartes ?,1,1,cartes ?,1,1,
cartier du pied de 480 livres,1,1,livres,260072,480,
cartieres,1,4,cartieres,4,1,p103 voir quartière
cartons,1,6,cartons,6,1,
cartroles,1,1,cartroles,1,1,
casernes,1,1,casernes,1,1,
castes,1,1,castes,1,1,
cave,1,13,cave,13,1,
cavelles,1,14,cavelles,14,1,
cavettes,1,1,cavettes,1,1,
cent,1,189,pièces,24203,1,
cent au grand,1,1,cent au grand,1,1,
cent au grand compte,1,122,cent au grand compte,122,1,
cent au grand nombre,1,1,cent au grand nombre,1,1,
centaine,1,10,nombre,47111,100,
cercles,1,10,cercles,10,1,
chaises,1,3,chaises,3,1,
chaldres,1,13,chaldres,13,1,"il semble qu'il s'agisse de chaldres, une unité de mesure du charbon selon le cnrtl"
chalon,1,2,pièces,24203,1,
chanterice,1,1,chanterice,1,1,
chapeaux,1,77,chapeaux,77,1,
chardées,1,1,chardées,1,1,
charge de 300 livres,1,34,livres,260072,300,
charge de chenal,1,2,charge de chenal,2,1,
chargées,1,1,chargées,1,1,
charges,1,2837,charges,2837,1,
chariots,1,20,chariots,20,1,"Doursther : 1 chariot = 10 carreaux = 30 pieds cubes de Paris = 30*34,277 L (voir wikipédia pied cube)"
charretées,1,221,charretées,221,1,
charrettes,1,18,charettes,18,1,
chars,1,146,chars,146,1,
charte,1,2,charte,2,1,
chartils,1,2,chartils,2,1,
cheldes,1,2,cheldes,2,1,
chemises,1,7,pièces,24203,1,
chevrier,1,1,chevrier,1,1,
chevrons,1,2,chevrons,2,1,
chipons de 300 livres,1,1,livres,260072,300,
chopes,1,1,chopes,1,1,
choux,1,1,choux,1,1,
citrons,1,1,citrons,1,1,
classer,1,1,classer,1,1,
cloches,1,1,cloches,1,1,
coffre,1,30,coffres,30,1,
coffrets,1,1,coffrets,1,1,
colis,1,5,colis,5,1,
collé,1,1,collé,1,1,
communes,1,0,en nombre,5,1,
conques,1,216,conques,216,1,
coquilles,1,1,coquilles,1,1,
corde,1,68,cordes,68,1,
cordons,1,1,cordons,1,1,
cottes,1,37,cottes,37,1,
couffe,1,1,couffe,1,1,
coupes,1,30,coupes,30,1,
couples,1,3,nombre,47111,2,
coupons,1,25,coupons,25,1,
courbes,1,1,courbes,1,1,
couteaux,1,1,couteaux,1,1,
couverts,1,1,couverts,1,1,
croix,1,2,croix,2,1,
cruche,1,9,cruches,9,1,
cruchons,1,2,,165428,,
cuirs,1,1,pièces,24203,1,
cuirs entier,1,0,pièces,24203,1,
cuirs entiers,1,0,pièces,24203,1,
da ?,1,1,da ?,1,1,
dame-jeannes,1,5,pièces,24203,1,
de,1,4,en nombre,5,1,
de navire ???,1,1,de navire ???,1,1,
de selle,1,1,en nombre,5,1,
décagramme,1,1,kilogrammes,12355,.01,
décimètres,1,13,cm,13,10,
demi,1,0,nombre,47111,.5,
demi barriques,1,7,barriques,5209,.5,nécessite le contenu et le lieu d'émission
demi bottes,1,2,pipe,704,.5,"La même chose que Pipe d'après Dourshter, p. 70"
demi bouteilles,1,9,bouteilles,2118,.5,nécessite le contenu et le lieu d'émission
demi caisses,1,17,caisses,1004,.5,nécessite le contenu et le lieu d'émission
demi charge,1,6,charge,7,.5,nécessite le contenu et le lieu d'émission
demi cuirs,1,1,demi pièces,1,.5,
demi meule,1,1,meule,1,.5,nécessite le contenu et le lieu d'émission
demi pièces,1,0,pièces,24203,.5,
demi pieds,1,1,pieds,1,.5,
demi pipe,1,1,pipe,704,.5,
demi planches,1,1,demi planches,1,.5,
demi planches en barils,1,1,demi planches en barils,1,1,
demie,1,0,demi pièces,1,.5,
demie ancres,1,1,ancre,107,.5,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime
demie charge,1,4,demi charge,4,.5,D'après Doursther (France). Aussi la valeure choisie par Werner
demycs,1,0,nombre,47111,.5,
deniers,0,0,deniers,0,1,
deniers ?,1,1,deniers ?,1,1,
devants,1,2,devants,2,1,
dierons ?,1,1,dierons ?,1,1,
divers,1,21,nombre,47111,1,
données ?,1,1,données ?,1,1,
double,1,0,nombre,47111,2,
doubles cavelles,1,1,doubles cavelles,1,1,
doublures,1,1,doublures,1,1,
douelles,0,0,douelles,0,1,
dourgs,1,1,dourgs,1,1,
douzaine,1,10847,nombre,47111,12,
douzaine bonnets,1,1,nombre,47111,12,
douzaine de bas,1,2,nombre,47111,12,
douzaine de boëtes,1,2,boite,2,12,
douzaine de fiole,1,3,fioles,71,12,
douzaine de fioles,1,3,fioles,71,12,
douzaine de mouchoirs,1,1,nombre,47111,12,
douzaine de paires,1,84,nombre,47111,24,
douzaine grands,1,1,nombre,47111,12,
douzaine petits,1,1,nombre,47111,12,
draps,1,3,draps,3,1,
droits,1,13,droits,13,1,Doursther page 143
drugnes,1,1,drugnes,1,1,
E',1,1,E',1,1,
écuelles,1,2,écuelles,2,1,
émines,1,5,émines,5,1,
en,1,3,en,3,1,
en 5,1,1,nombre,47111,5,
en argent,1,1,en argent,1,1,
en bouteille,1,1,bouteilles,2118,1,nécessite le contenu et le lieu d'émission
en centaine,1,1,nombre,47111,100,
en feuilles,1,1,en feuilles,1,1,
en milliers,1,3,nombre,47111,1000,
en nombre,1,18966,nombre,47111,1,
en valeur,1,20,valeur,168,1,
encres,1,1,pièces,24203,1,
entiers,1,0,pièces,24203,1,
estimation,1,8,nombre,47111,1,
estimé,1,350,nombre,47111,1,
facs,1,1,facs,1,1,
fagots,1,12,fagots,12,1,
faix,1,271,faix,273,1,
fanègues,1,27,fanègues,27,1,nécessite le lieu d'émission
fannes,1,1,fannes,1,1,
fanons,1,1,fanons,1,1,
fardeaux,1,1,fardeaux,1,1,
fartraux,1,1,fartraux,1,1,
fau,1,1,fau,1,1,
feittots,1,1,feittots,1,1,
ferquins,1,1,ferquins,1,1,
fers,1,2,fers,2,1,
fés,1,1,fés,1,1,
feuillards,1,2,feuillards,2,1,
feuille,1,173,feuilles,225,1,
feuille double,1,1,feuilles doubles,1,1,
feuille simple,1,2,feuilles,225,1,
feuillet,1,4,feuillet,4,1,
feuillette,1,9,feuillettes,9,1,p161 doursther
fez,1,3,fez,3,1,
fils,1,1,fils,1,1,
fioles,1,65,fioles,71,1,
flacon,1,174,flacons,177,1,
fléau,1,1,fléau,1,1,
flûtes,1,5,flûtes,5,1,
fonçailles,0,0,fonçailles,0,1,
fontaine,1,1,fontaine,1,1,
fourneaux,1,2,fourneaux,2,1,
fournitures,1,113,fournitures,113,1,
fourrures,1,1,pièces,24203,1,
fours,1,6,fours,6,1,
francs,1,77,valeur,168,1,
fraques ?????,1,1,fraques ?????,1,1,
frequier,1,5,frequier,5,1,
frequin,1,46,frequin,46,1,
frequins,1,1,frequins,1,1,
fres,1,1,fres,1,1,
fromages,1,1,fromages,1,1,
fusils,1,2,fusils,3,1,
fusils de traite,1,1,fusils,3,1,
futailles,1,53,futailles,53,1,
futailles de 500 L,1,1,livres,260072,500,
futs,1,3,futs,3,1,
garbes,1,1,garbes,1,1,
garde feux,1,2,garde feux,2,1,
garnitures,1,42,garnitures,42,1,
gennes ?,1,1,gennes ?,1,1,
gerbes,1,2,gerbes,2,1,
gobelets,1,2,gobelets,2,1,
gommes,1,5,gommes,5,1,
gonnes,1,29,gonnes,29,1,"D'après le Savary, une gonne est une sorte de futaille et 1 gonne = 400 à 450 livres (quand cela concerne du saumon), ou 1 gonne = 1,25 baril (quand cela concerne de la bière ou liqueurs)"
gousses,1,1,gousses,1,1,
grains,1,1,grains,1,1,
gramme,1,105,kilogrammes,12355,.001,
grammes,1,5,kg,23,.001,
grande,1,9,pièces,24203,1,
grande caisse,1,3,grande caisse,3,1,
grande pièce,1,1,pièces,24203,1,
grandeurs,1,1,pièces,24203,1,
grandeurs diverses,1,1,pièces,24203,1,
grands,1,6,grands,6,1,
grands pièces,1,1,pièces,24203,1,
grenier,1,5,grenier,5,1,
gros,1,2,pièces,24203,1,
gros flacons,1,1,gros flacons,1,1,
grosses,1,1350,grosses,1350,144,
grosses barriques,1,6,grosses barriques,6,1,nécessite le contenu et le lieu d'émission
grosses paires,1,1,grosses paires,1,2,
grosses pièces,1,1,grosses pièces,1,1,"p175 doursther, 12 douzaines"
grosses pipes,1,1,grosses pipes,1,1,
grosseur,1,2,grosseur,2,1,
guindeau,1,1,guindeau,1,1,
habits,1,1,habits,1,1,
haches,1,1,haches,1,1,
halles,1,1,halles,1,1,
hambourg,1,10,Hambourg,10,1,
hambourg de 2 barils,1,4,barils,7284,2,
hectogrammes,1,18,kg,23,.1,
hectolitres,1,909,litres,1259,100,
horloges,1,1,horloges,1,1,
Houlle,1,1,Houlle,1,1,
huitièmes,1,2,nombre,47111,.125,Doursther page 185
huitres,1,1,huitres,1,1,
hume,1,1,hume,1,1,
incrustée d'or,1,1,pièces,24203,1,
issarions,1,2,issarions,2,1,
jarres,1,10,jarres,10,1,
jattes,1,4,jattes,4,1,
jets,1,10,jez,10,1,"Doursther page 190, 1 jez = 137,11 L"
jeux,1,4,jeux,4,1,
juments,1,1,nombre,47111,1,
jupes,1,1,jupes,1,1,
justes,1,2,jutte,19,1,"Doursther page 193, la jutte pesait environ 60kg"
jutes,1,16,jutte,19,1,"Doursther page 193, la jutte pesait environ 60kg"
juttes,1,1,jutte,19,1,"Doursther page 193, la jutte pesait environ 60kg"
kilogrammes,1,12230,kilogrammes,12355,1,
kilogrammes de l'étranger,1,11,kilogrammes,12355,1,
kilogrammes des colonies françaises,1,1,kilogrammes,12355,1,
laines,1,1,,165428,,
lames,1,1,lames,1,1,
lames d'épées,1,1,nombre,47111,1,
last,1,128,last,128,1,"nécessite le contenu et le lieu d'émission, voir Doursther page 205"
le cent,1,32,nombre,47111,100,
le mille,1,1,mille,3,1000,
le pied cube,1,8,le pied cube,8,1,
le reste,1,3,le reste,3,1,
les 180 livres,1,9,livres,260072,180,
lest,1,2,lest,2,1,
leths,1,47,leths,47,1,
liens,1,2,liens,2,1,
lingot,1,1,lingot,1,1,
lingots,1,1,,165428,,
litres,1,350,litres,1259,1,
livres,1,242416,livres,260072,1,
livres en saumure,1,1,livres,260072,1,
livres ou pièces,1,1,livres ou pièces,1,1,
livrets,1,1,livrets,1,1,
lordins,1,16,lordins,16,1,
madriers,1,7,madriers,7,1,
madures,1,1,madures,1,1,
main,1,5,main,5,1,
malles,1,40,malles,40,1,
manades,1,2,manades,2,1,
manches,1,1,manches,1,1,
mandes,1,3,maindes,3,1,
mannes,1,59,mannes,59,1,
marcs,1,685,marcs,686,1,
marcs 7 onces,1,1,onces,175,7,
marcs de Paris,1,1,marcs,686,1,
mare ?,1,1,mare ?,1,1,
mares,1,1,mares,1,1,
masses,1,54,masses,54,1,
mats,1,4,mats,4,1,
mèches,1,1,mèches,1,1,
merrain,1,2,merrain,2,1,
mesures,1,154,mesures,154,1,
mètre,1,122,mètre,122,1,
meules,1,4,meules,4,,
migères,1,6,migères,6,1,
mille,1,2,mille,3,1000,
milleroles,1,2213,millerolles,2213,1,
milliers,1,2342,nombre,47111,1000,
milliers au grand compte,1,92,milliers au grand compte,92,1,
milliers de faix,1,1,faix,273,1000,
milliers en nombre,1,8,nombre,47111,1000,
mines,1,46,mines,46,1,
minots,1,22,minots,22,1,Wikipedia
moitié,1,1,moitié,1,1,
molles,1,1,molles,1,1,
monds,1,38,monds,38,1,p298 doursther
mont,1,61,monts,61,1,
morceaux,1,9,morceaux,9,1,
mortiers,1,1,mortiers,1,1,
morues,1,1,morues,1,1,
mottes,1,2,mottes,2,1,
mouchoirs,1,1,mouchoirs,1,1,
mouts,1,1,mouts,1,1,
moutte,1,3,moutte,3,1,
movres,1,1,,165428,,
moyenne,1,4,pièces,24203,1,
moyenne pièces,1,1,pièces,24203,1,
muid de 120 livres,1,8,livres,260072,120,
"muid de 62,5 pintes",1,24,pintes,7951,62.5,
muids,1,4700,pintes,7951,280,
muids + pintes et bouteilles,1,25,bouteilles et muids et pintes,27,1,nécessite le contenu et le lieu d'émission
muids + septiers,1,1,muids + septiers,1,1,nécessite le contenu et le lieu d'émission
muids + septiers + minots,1,4,minots et muids et septiers,4,1,nécessite le contenu et le lieu d'émission
muids + septiers + minots + boisseau,1,1,muids + septiers + minots + boisseau,1,1,nécessite le contenu et le lieu d'émission
muids de Comté,1,1,,165428,,
muids de genièvre,1,0,pintes,7951,280,
muids de Paris,1,6,pintes,7951,280,
muids du Poulinguen,1,1,muids du Poulinguen,1,1,
muids en bouteilles,1,3,muids en bouteilles,3,1,
muids encerclés,1,4,muids encerclés,4,1,
muids le demi,1,1,pintes,7951,140,
muids ordinaires,1,1,pintes,7951,280,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
niasses,1,1,niasses,1,1,
nombre,1,11415,nombre,47111,1,
onces,1,173,onces,175,1,
onces estimées,1,1,onces,175,1,
ordinaire,0,0,ordinaires,0,1,
outres,1,2,outres,2,1,
ouvrée,1,1,pièces,24203,1,
pains,1,46,pains,46,1,
paires,1,2934,nombre,47111,2,
paires petites,1,1,paires petites,1,1,
palles,1,1,palles,1,1,
palme,1,2,palme,4,1,Doursther et http://aviatechno.net/unites/pieds.php
palmes,1,2,palme,4,1,Doursther et http://aviatechno.net/unites/pieds.php
panal,1,1,panal,1,1,
panaux,1,3,panaux,3,1,
panier,1,1,panier,327,1,
panier de pistolets,1,0,panier,327,1,
paniers,1,326,panier,327,1,
panneaux,1,4,panneaux,4,1,
pans,1,9,pans,9,1,
paquets,1,434,paquets,435,1,
paquets 100 faix,1,1,faix,273,100,
paquets de 1000,1,1,nombre,47111,1000,
paquets estimés,1,1,paquets,435,1,
par cube,1,1,par cube,1,1,
pasgas,1,1,pasgas,1,1,
pattes,1,1,pattes,1,1,
patz,1,1,patz,1,1,unité difficilement lisible dans la source
paumes,1,3,paumes,3,1,Doursther page 392
peaux,0,0,peaux,0,1,
peintes,1,1,pièces,24203,1,
pelaux,1,2,pelaux,2,1,
perches,1,1,perches,72,1,nécessite le lieu d'émission
pesant,1,1,pesant,1,1,
pesant 189 livres,1,0,livres,260072,189,
pesant 400 livres,1,0,livres,260072,400,
petit ballot,1,1,petit ballot,1,1,
petit sac,1,1,petit sac,1,1,
petite caisse,1,2,petite caisse,2,1,
petite pièces,1,1,petits,23,1,
petites bouteilles,1,2,petites bouteilles,2,1,
petites caisses,1,3,petites caisses,3,1,
petites cruches,1,1,petites cruches,1,1,
petits,1,22,petits,23,1,
petoltons,1,1,petoltons,1,1,
pezant,1,3,pezant,3,1,
pièce de 28,1,1,pièce de 28,1,1,
pièce de 50L,1,1,livres,260072,50,
pièce double,1,1,pièce double,1,1,
pièces,1,23942,pièces,24203,1,
pièces de 10 aunes,1,1,aunes,3,10,
pièces de 20 aulnes,1,1,aunes,3,20,
pièces de 20 aunes,1,1,aunes,3,20,
pièces fonçailles,1,2,pièces fonçailles,2,1,
pièces grosses,1,1,pièces,24203,1,
pièces pour barriques,1,1,pièces pour barriques,1,1,
pieds,1,211,pieds de roi,211,1,
pieds courants,1,1,,165428,,
pieds cubes,1,19,pieds cubes,19,1,Wikipedia
Pieriers,1,2,Pieriers,2,1,
pierre,1,6,pierres,6,1,
pilan,1,1,pilan,1,1,
pintes,1,768,pintes,7951,1,
pipe,1,374,pipe,704,1,
pipe de 2 barriques,1,1,barriques,5209,2,
pipe ordinaire,1,1,pipe,704,1,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipettes,1,1,pipettes,1,1,
pipot,1,11,baril,13,1,Dictionnaire de l'ancien Béarnais
planches,1,1,planches,1,1,
plaques,1,7,plaques,7,1,
plateaux,1,1,plateaux,1,1,
plumes,1,1,pièces,24203,1,
pochées,1,11,pochées,11,1,
poches,1,5,poches,5,1,
poële,1,1,pièces,24203,1,
poêles,1,1,pièces,24203,1,
Poenion,1,1,Poenion,1,1,
pognées,1,1,poignées,54,1,
poids,1,3,poids,3,1,
poignées,1,53,poignées,54,1,
poinçons,1,263,poinçons,263,1,
pommes,1,1,pièces,24203,1,
pommiers,1,1,pommiers,1,1,
postes,1,1,postes,1,1,
pot,1,1,pintes,7951,2,pot de 2 pintes : Doursther
potiches,1,18,potiches,18,1,
potiches petites,1,1,potiches petites,1,1,
pots,1,1537,pintes,7951,2,pot de 2 pintes : Doursther
poulets,0,0,poulets,0,1,
pour cent,1,1,nombre,47111,100,
poutre,1,2,poutres,2,1,
poutrelles,1,1,poutrelles,1,1,"vérification dans la source, il s'agit de « poutrelles »"
prises,1,4,prises,4,1,
quart,1,99,quart,99,1,
quart de barils,1,1,baril,13,.25,
quart de charge,1,1,charge,7,.25,
quartaut,1,7,quartaut,7,1,"1 quartaut correspond à environ 68 litres, source Wikipédia"
quartiers,1,47,quartiers,47,1,
quartiers mesure de blaye,1,3,quartiers mesure de blaye,3,1,
quarts,1,449,quarts,450,1,
queues,1,9,queue,9,1,"Doursther page 468, queue = pipe"
quiconir,1,1,quiconir,1,1,unité difficilement lisible dans la source
quinquets,1,1,quinquets,1,1,
quintal,1,2793,livres,260072,50,
quintaux,1,14785,livres,260072,50,
quintaux de Saint-Domingue,1,1,quintaux de Saint-Domingue,1,1,
quintaux des colonies françaises,1,4,quintaux des colonies françaises,4,1,
quintaux métriques,1,7,kilogrammes,12355,100,
quints,1,2,quint,2,1,Doursther page 468
radeaux,1,1,radeaux,1,1,
rame ou aunes,1,1,rame ou aunes,1,1,
rames,1,2051,rames,2051,1,
râpé,1,1,pièces,24203,1,
rasières,1,56,rasières,56,1,
réchauds,1,1,réchauds,1,1,
rets,1,6,retz,6,1,Doursther page 477
robes,1,3,robes,3,1,
rodes,1,71,perches,72,1,"D'après Doursther (p.466), nom de la Perche au Danemark"
rolle,1,1,rolle,1,1,
rondelles,1,1,rondelles,1,1,
rouleaux,1,68,rouleaux,68,1,
sabres,1,9,sabres,9,1,
sacs,1,211,sacs,211,1,
sacs de 2800 boisseaux,1,1,boisseaux,2,2800,
sanegues,1,2,sanegues,2,1,
sannées,1,1,sannées,1,1,"n'apparaît qu'une fois, unité difficilement lisible dans la source"
saumes,1,3,saumes,3,,
saumon,1,1,saumon,1,1,
saur,1,1,saur,1,1,
seaux,1,1,seaux,1,1,
selles,1,1,selles,1,1,
sennes,0,0,sennes,0,1,
serges,1,1,serges,1,1,
services,1,25,services,25,1,
serviettes,0,0,serviettes,0,1,
setiers,1,170,setier,170,1,
simple,1,2,simple,2,1,
sixains,1,62,nombre,47111,6,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
sixième de baril,1,1,baril,13,.1667,
sizains,1,11,nombre,47111,6,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
solives,1,1,solives,1,1,
