goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
agaric amadouvier préparé,6,,,non,0,386596
agaric brut et préparé,6,,,non,0,386596
agaric de mélèze,4,,,non,0,386596
agaric et amadouvier,0,,,oui,0,386596
agaric fin,1,,,non,0,386596
agaric gros,2,,,non,0,386596
agate,11,,,non,0,386596
agate autre que chique et ouvrages,2,,,non,,386596
agate autre que chique et ouvrée,0,,,oui,0,386596
agate brute,4,,,non,0,386596
agate chique et ouvrée,0,,,oui,0,386596
agate en pierres,1,,,non,,386596
agate fine,1,,,non,0,386596
agate montée,1,,,non,0,386596
agate ouvrée,0,,,oui,0,386596
agneaux,117,,,non,0,386596
agneaux communs,8,,,non,0,386596
agneaux en vie,5,,,non,0,386596
agneaux et cabris,1,,,non,0,386596
agneaux mérinos et métis,7,,,non,0,386596
agnelines et crottelins,1,,,non,0,386596
agobille,1,,,non,,386596
agoutals,4,,,non,0,386596
agoutals de bois,5,,,non,0,386596
agrément,15,,,non,0,386596
agrément au quart,3,,,non,0,386596
agrément d'argent,2,,,non,0,386596
agrément d'or,1,,,non,0,386596
agrément d'or et d'argent,5,,,non,0,386596
agrément de fil,9,,,non,0,386596
agrément de fil et de soie,3,,,non,0,386596
agrément de fleur,1,,,non,0,386596
agrément de soie,57,,,non,0,386596
agrément de soie et d'argent,1,,,non,0,386596
agrément de soie et fil,0,,,oui,0,386596
agrément de soie or et argent faux,1,,,non,0,386596
agréments de soie et milleret,1,,,non,0,386596
agréments et milleret,1,,,non,0,386596
agrès,12,,,non,0,386596
agrès apparaux de navire et embarcations,6,,,non,0,386596
agrès apparaux et embarcations,2,,,non,0,386596
agrès de navire,0,,,oui,0,386596
agrès de navire en voile,0,,,oui,0,386596
agrès de navire et jeux de voile,10,,,non,0,386596
agrès et apparaux,1,,,non,0,386596
agrès et apparaux d'or navire,1,,,non,,386596
agrès et bâtiments de mer,10,,,non,0,386596
agrès et embarcations,8,,,non,0,386596
agrès et voile de navire,1,,,non,0,386596
agrès et voiles de navire,0,,,oui,0,386596
aigles,1,,,non,0,386596
aigre de cèdre,9,,,non,0,386596
aigre de cidre,5,,,non,0,386596
aigre de vitriol,17,,,non,0,386596
aigrettes,10,,,non,0,386596
aigrettes de fil d'or et d'argent,1,,,non,0,386596
aigrettes de soie,1,,,non,0,386596
aigrettes de soie et argent,1,,,non,0,386596
aigrettes et bavolets,1,,,non,0,386596
aiguières d'étain,1,,,non,0,386596
aiguilles,209,,,non,0,386596
aiguilles à boîtes,1,,,non,0,386596
aiguilles à coudre,61,Hors Canada,,non,1,154386
aiguilles à coudre voiles,1,,,non,0,386596
aiguilles à ralingue,1,,,non,0,386596
aiguilles à tabac,1,,,non,0,386596
aiguilles à toile,1,,,non,0,386596
aiguilles d'emballage,2,,,non,0,386596
aiguilles de mercerie fine,1,,,non,0,386596
aiguilles epars de sapin,1,,,non,0,386596
aiguilles et épingles,1,,,non,0,386596
aiguilles et épingles de mercerie fine,3,,,non,0,386596
aiguilles et mercerie fine,2,,,non,0,386596
aiguilles grosses,1,,,non,0,386596
aiguilles pour voile,37,,,non,0,386596
aiguillettes,1,,,non,0,386596
ail,2,,,non,0,386596
ailes,4,,,non,0,386596
ailes de fléaux,1,,,non,0,386596
ailes de moulins,1,,,non,0,386596
ailor,1,,,non,0,386596
ails,204,,,non,0,386596
ails à fauches,1,,,non,0,386596
ails blancs à casser,1,,,non,0,386596
aimant,1,,,non,0,386596
ains à pêcher,43,,,non,0,386596
ains et lignes à pêcher,2,,,non,0,386596
airain,6,,,non,0,386596
airain non ouvré,4,,,non,0,386596
ajustements,37,,,non,0,386596
ajustements de femme,5,,,non,0,386596
ajustements de soie,2,,,non,0,386596
alambics,17,,,non,0,386596
alambics d'étain,16,,,non,0,386596
alambics de cuivre,2,,,non,0,386596
alambics de terre,1,,,non,0,386596
alana,2,,,non,0,386596
alazar,2,,,non,0,386596
albâtre,5,,,non,0,386596
albâtre brut,3,,,non,0,386596
albâtre et marbre brut et poli,21,,,non,0,386596
albâtre moulé poli ou sculpté,6,,,non,0,386596
alcalis autre que natron et soude,2,,,non,0,386596
alcalis salin,1,,,non,0,386596
alènes,5,,,non,0,386596
alibanies,97,,,non,0,386596
alizari,16,,,non,0,386596
alizari et garance,165,Hors Canada,,non,1,154386
alizari sèche,7,,,non,0,386596
alkermés,1,,,non,0,386596
alkermès en grains,23,,,non,0,386596
allaya,84,,,non,0,386596
alleaux,1,,,non,0,386596
allemande de poil,10,,,non,0,386596
allumettes,54,,,non,0,386596
allumettes à vin,29,,,non,0,386596
allumettes de coton,1,,,non,0,386596
allumettes de mêche soufrée,1,,,non,0,386596
allumettes droguées,3,,,non,0,386596
allumettes épicée,2,,,non,0,386596
allumettes opérées et soufrées,1,,,non,0,386596
allumettes soufrées,12,,,non,0,386596
almagro ou crayon rouge,1,,,non,0,386596
almanachs,1,,,non,0,386596
almanachs brochés,2,,,non,0,386596
almanachs en blancs,1,,,non,0,386596
almanachs enjolivés,1,,,non,0,386596
almanachs reliés,1,,,non,0,386596
aloès,229,,,non,1,386596
aloès cabalin,6,,,non,1,386596
aloès commun,1,,,non,0,386596
aloès et opium,2,,,non,0,386596
aloès hépatique,1,,,non,0,386596
aloès moyen,2,,,non,0,386596
aloiset,1,,,non,0,386596
alose,2,,,non,0,386596
alose fumée,1,,,non,0,386596
alose salée,5,,,non,0,386596
aloues,1,,,non,0,386596
alouettes,4,,,non,0,386596
alpargate,37,,,non,0,386596
alphabets,1,,,non,0,386596
alpiste,20,,,non,0,386596
alpiste et millet,9,,,non,0,386596
alquifoux,479,,,non,0,386596
alquifoux en galène,2,,,non,0,386596
alquifoux et mine de plomb,36,,,non,0,386596
alquifoux mine de plomb ou graphite,23,,,non,0,386596
alquifoux ou mine de plomb,1,,,non,0,386596
alquifoux sable plombifère,1,,,non,0,386596
alquitra,3,,,non,0,386596
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,,non,0,386596
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,,oui,0,386596
alto basses contrebasses guitare lyres violes violons,2,,,non,0,386596
alto basses contrebasses guitares lyres violes violons,0,,,oui,0,386596
alto bassons guitare violons,3,,,non,0,386596
alto bassons guitares violons,0,,,oui,0,386596
aluchiabanis,2,,,non,0,386596
alun,1872,Hors Canada,,non,1,154386
alun à cordonnier,1,,,non,0,386596
alun autre que brûlé ou calciné,2,,,non,0,386596
alun bon,2,,,non,0,386596
alun brûlé,1,,,non,0,386596
alun commun,1,,,non,0,386596
alun de glace,1,,,non,0,386596
alun de roche,5,,,non,0,386596
alun de Rome,3,,,non,0,386596
alun de Rome fin rosé,1,,,non,0,386596
alun de Rouen,2,,,non,0,386596
alun de Surde,2,,,non,0,386596
alun du Levant,1,,,non,0,386596
alun en dracy,1,,,non,0,386596
alun en rame,1,,,non,,386596
alun gâté,1,,,non,0,386596
alun ordinaire,1,,,non,0,386596
alvés,2,,,non,0,386596
amadou,225,,,non,0,386596
amadou et agaric amadouvier,7,,,non,0,386596
amandes,1207,,,non,0,386596
amandes à la praline,4,,,non,0,386596
amandes amères,1,,,non,0,386596
amandes arachis noisettes noix noyaux,2,,,non,0,386596
amandes cassée,6,,,non,0,386596
amandes cassées,384,,,non,0,386596
amandes cassées ou en coque,3,,,non,0,386596
amandes courtes,1,,,non,0,386596
amandes douces,4,,,non,0,386596
amandes en coque,300,,,non,0,386596
amandes et figue et raisin,24,Hors Canada,,non,1,154386
amandes et pelures et prunes et raisin,1,,,non,0,386596
amandes et pruneaux,2,,,non,0,386596
amandes et raisin sec,2,,,non,0,386596
amandes et raisin sec et savon,1,,,non,0,386596
amandes et savon,2,,,non,0,386596
amandes et sucre,1,,,non,0,386596
amandes et verdet,1,,,non,0,386596
amandes et vert-de-gris,0,,,oui,0,386596
amandes fraîches,1,,,non,0,386596
amandes longues,1,,,non,0,386596
amandes mondées,2,,,non,0,386596
amandes sèches,64,,,non,0,386596
amandes sèches et figue sèche et ???,9,,,non,0,386596
amandes sèches et figue sèche et raisin sec,135,,,non,0,386596
amaril,1,,,oui,0,386596
amarine,1,,,non,0,386596
ambrain à grande barrique,1,,,non,0,386596
ambre,42,,,non,1,386596
ambre blanc,1,,,non,0,386596
ambre brut,1,,,non,0,386596
ambre carabé,21,,,non,0,386596
ambre carabé jaune,2,,,non,0,386596
ambre en grains,1,,,non,,386596
ambre et corail,1,,,non,0,386596
ambre gris,36,,,non,0,386596
ambre gris castoréum civette musc,0,,,oui,0,386596
ambre jaune,72,Hors Canada,,non,1,154386
ambre moulu,2,,,non,0,386596
ameny,1,,,non,0,386596
amer,3,,,non,0,386596
amer de laine,1,,,non,0,386596
amertis,4,,,non,0,386596
ameublement,2,,,non,0,386596
ameublement de chitte,1,,,non,,386596
ami de toilé,1,,,non,0,386596
amidon,1166,,,non,1,386596
amidon alun,1,,,non,,386596
amidon en grains,1,,,non,0,386596
amidon en poudre,1,,,non,,386596
amidon et poudre à poudrer,1,,,non,0,386596
ammoniac,7,,,non,0,386596
ammoniac et sel,21,,,non,0,386596
ammonium,5,,,non,0,386596
amomum,11,,,non,0,386596
amomum et fèves de tonka et noix de ravensara,2,,,non,0,386596
amomum verum,2,,,non,0,386596
amurca,4,,,non,0,386596
anabasse,121,,,non,0,386596
anabasse ; bajutapau,3,,,non,,386596
anabasse ; corat ; nicaneas ; platille,2,,,non,,386596
anacardes,2,,,non,0,386596
anacoste,3,,,non,0,386596
ananas,1,,,non,0,386596
ananas confit,2,Hors Canada,,non,1,154386
ananas et pommes de grenade,1,,,non,0,386596
ananas planté,1,Hors Canada,,non,1,154386
anatomie,1,,,non,0,386596
anatose,3,,,non,0,386596
anches de tonneaux,2,,,non,0,386596
anchois,851,,,non,0,386596
anchois câpres et olives,10,,,non,0,386596
anchois câpres etc.,1,,,non,0,386596
anchois câpres olives,1,,,non,0,386596
anchois et boutargue,13,,,non,0,386596
anchois et câpres,5,,,non,0,386596
anchois et sardes,1,,,non,0,386596
anchois et sardines,5,,,non,0,386596
anchois mariné,6,,,non,0,386596
anchois mariné et salé,39,,,non,0,386596
anchois salé et mariné,2,,,non,0,386596
anchois salés,5,,,non,0,386596
anchois salés et marinés,9,,,non,0,386596
ancres,5,,,non,0,386596
ancres de chaudon,1,,,non,0,386596
ancres de fer,553,,,non,0,386596
ancres de fer à chaudrons,1,,,non,0,386596
ancres de fer au-dessus de 250 kilogrammes,1,,,non,0,386596
ancres de fer de 250 kilogrammes et au-dessous,1,,,non,0,386596
ancres de fer et embarcations,2,,,non,0,386596
ancres et embarcations,5,,,non,0,386596
ancres et grappins de fer,1,,,non,0,386596
ancres gravelées,1,,,non,0,386596
ancres neuves,3,,,non,0,386596
ancres vides,4,,,non,0,386596
ancres vieilles,1,,,non,,386596
ancres vieilles vides,1,,,non,0,386596
andolium,2,,,non,0,386596
andouilles,43,,,non,0,386596
andouillette,1,,,non,0,386596
ânes,174,,,non,0,386596
ânes et ânesses,9,,,non,0,386596
ânes et mulets,11,,,non,0,386596
ânesses,1,,,non,0,386596
angélique,28,,,non,0,386596
angélique du Rozème,1,,,non,0,386596
anguilles,23,Hors Canada,,non,1,154386
anguilles et truites,1,,,non,0,386596
anguilles fraîches,1,,,non,0,386596
anguilles marinées,1,,,non,0,386596
anguilles salées,22,Hors Canada,,non,1,154386
anille,1,,,non,0,386596
animaux,5,,,non,0,386596
anis,520,,,non,1,386596
anis et rac et rhum etc.,2,,,non,0,386596
anis et sucre,1,,,non,0,386596
anis étoilé,0,,,oui,0,386596
anis vert,94,,,non,0,386596
anis vert à distiller,2,,,non,0,386596
anisette,113,,,non,1,386596
anisette au fiasque,6,,,non,0,386596
anisette de Bordeaux,2,,,non,0,386596
anneau de cuivre,1,,,non,,386596
anneau de fer,2,,,non,0,386596
anneaux de cuivre,1,,,non,0,386596
anneaux de fer,1,,,non,,386596
ânon,2,,,non,0,386596
anspects,124,,,non,0,386596
anspects de 3 à 4 pieds,1,,,non,0,386596
anspects de bois,27,,,non,0,386596
anspects de sapin,1,,,non,0,386596
antale,3,,,non,0,386596
antale et cauris,1,,,non,0,386596
antchibanis,9,,,non,0,386596
antenelle,1,,,non,0,386596
antennes,2,,,non,0,386596
antennes et mâts de bateaux,1,,,non,0,386596
antimoine,221,,,non,0,386596
antimoine cru,27,,,non,0,386596
antimoine métallique et sulfuré,2,,,non,0,386596
antimoine préparé,2,,,non,0,386596
antimoine vert,1,,,non,0,386596
antofle,1,,,non,0,386596
antofle de girofle,11,,,non,0,386596
apasier,1,,,non,1,386596
apier,3,,,non,0,386596
apios,7,,,non,0,386596
apparaux et bâtiments de mer,38,,,non,0,386596
apprêtée à toiler les livres,1,,,non,0,386596
apprêtée pour parchemins,1,,,non,0,386596
arachis olives fraîches,1,,,non,0,386596
arains,6,,,non,0,386596
arak,17,,,non,0,386596
arbalètes,1,,,non,0,386596
arbalètrrie et cartes marines,1,,,non,0,386596
arbres,7,,,non,0,386596
arbres à fruits,2,,,non,0,386596
arbres à planter,142,,,non,0,386596
arbres châtaignier,4,,,non,0,386596
arbres d' ???,1,,,non,0,386596
arbres d'auban,1,,,non,0,386596
arbres de sapin,1,,,non,0,386596
arbres et arbrisseaux,25,,,non,0,386596
arbres et arbrisseaux à fruits,1,,,non,0,386596
arbres et arbrisseaux sauvages,1,,,non,0,386596
arbres et arbustes,6,,,non,0,386596
arbres et plants,1,,,non,0,386596
arbres fruitiers,87,,,non,0,386596
arbres marronniers à planter,1,,,non,0,386596
arbres nains,1,,,non,0,386596
arbres tilleul,3,,,non,0,386596
arbrisseaux,9,,,non,0,386596
arbustes,3,,,non,0,386596
arcanette,1,,,non,0,386596
arcanie,1,,,non,0,386596
arcanson,4,,,non,0,386596
arcanum duplicatum,2,,,non,0,386596
archets de violons,1,,,non,0,386596
archets et violon,1,,,non,0,386596
archiabanis,2,,,non,0,386596
arçons de bas de bois,1,,,non,0,386596
arçons de bois,1,,,non,0,386596
arçons de selles,14,,,non,0,386596
arçons démontés,1,,,non,0,386596
ardoise,365,,,non,0,386596
ardoise à piler,1,,,non,0,386596
ardoise commune,2,,,non,0,386596
ardoise dite chérubin et à mortier,1,,,non,0,386596
ardoise dite grande voisine,1,,,non,0,386596
ardoise dite moyenne voisine,1,,,non,0,386596
ardoise dite petite voisine,1,,,non,0,386596
ardoise dite voisine grande moyenne et petite,2,,,non,0,386596
ardoise en carreaux,1,,,non,0,386596
ardoise en carreaux et d'1 pied carré,1,,,non,0,386596
ardoise en carreaux ou en table,7,,,non,0,386596
ardoise en livret,1,,,non,0,386596
ardoise encadrée,1,,,non,0,386596
ardoise encadrée et en livret,1,,,non,0,386596
ardoise non travaillée,1,,,non,0,386596
ardoise pour fenêtre,6,,,non,0,386596
ardoise pour toiture,8,,,non,0,386596
ardoise pour toiture au kilogramme,1,,,non,0,386596
ardoise pour toiture au nombre,2,,,non,0,386596
ardoise verte,1,,,non,0,386596
ardoises,0,,,oui,0,386596
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Hors Canada,,non,0,154386
arelles de baleine,1,,,non,,386596
argent,11,,,non,0,386596
argent battu,1,,,non,0,386596
argent battu et en feuille,2,,,non,0,386596
argent battu filé laminé et tiré,3,,,non,0,386596
argent brisé et en lingots et en masses,1,,,non,0,386596
argent brûlé,2,Hors Canada,,non,1,154386
argent brut,1,,,non,0,386596
argent brut en lingot et en masse ouvrages détruits,2,,,non,0,386596
argent carragoux,2,,,non,0,386596
argent en barils,1,,,non,0,386596
argent en barres,3,,,non,0,386596
argent en lingots,18,,,non,0,386596
argent en lingots par Calais,1,,,non,0,386596
argent et d'or,0,,,oui,0,386596
argent et or,238,Hors Canada,,non,1,154386
argent et or billon,1,,,non,0,386596
argent faux,9,,,non,0,386596
argent faux en fil cantilles etc.,2,,,non,0,386596
argent faux et or faux,53,,,non,0,386596
argent faux et or faux traits,1,,,non,0,386596
argent fin,1,,,non,0,386596
argent monnayé et nogat d'or,4,,,non,0,386596
argent talari,0,,,oui,0,386596
argent vif,3,,,non,0,386596
argenterie,732,Hors Canada,,non,1,154386
argenterie épée,7,,,non,0,386596
argenterie et bijouterie,14,,,non,0,386596
argenterie et bijouterie et orfèvrerie,1,,,non,0,386596
argenterie et orfévrerie,0,,,oui,0,386596
argenterie et orfèvrerie,122,,,non,0,386596
argenterie et orfèvrerie vermeil,37,,,non,0,386596
argenterie neuve,4,,,non,0,386596
argenterie vieille,12,Hors Canada,,non,1,154386
argile et terre pour engrais,15,,,non,0,386596
arins,1,,,non,0,386596
aristoloche,68,,,non,0,386596
armement de tables,3,,,non,0,386596
armes,251,,,non,1,386596
armes à feu,367,,,non,0,386596
armes à feu de guerre,2,,,non,0,386596
armes à feu de guerre et de traite,1,,,non,0,386596
armes à feu de guerre portatives,2,,,non,0,386596
armes à feu de luxe,4,,,non,0,386596
armes à feu de luxe ou de traite,3,,,non,0,386596
armes à feu de munitions,2,,,non,0,386596
armes à feu de munitions fines,4,,,non,0,386596
armes à feu de traite,1,,,non,0,386596
armes à feu et artillerie,1,,,non,0,386596
armes à feu et de traite,1,,,non,0,386596
armes à feu et fusils,1,,,non,0,386596
armes armureries,1,,,non,,386596
armes autres que de guerre à feu,1,,,non,0,386596
armes autres que de guerre blanches,1,,,non,0,386596
armes blanches,201,,,non,0,386596
armes blanches de guerre,1,,,non,0,386596
armes blanches de guerre et de traite,1,,,non,0,386596
armes blanches de luxe,2,,,non,0,386596
armes blanches de luxe ou de traite,3,,,non,0,386596
armes blanches de traite,1,,,non,0,386596
armes de chasse ou de luxe à feu,2,,,non,0,386596
armes de chasse ou de luxe blanches,2,,,non,0,386596
armes de guerre,2,,,non,0,386596
armes différentes,1,,,non,0,386596
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,,non,0,386596
armes et munitions,9,,,non,0,386596
armes lames,1,,,non,0,386596
armes remontrances,1,,,non,0,386596
armoires,57,,,non,0,386596
armoires ayant servi,1,,,non,0,386596
armoires d'acajou,12,,,non,1,386596
armoires de bois,1,,,non,0,386596
armoires de bois de noyer,1,,,non,0,386596
armoires de bois de sapin peintes,1,,,non,0,386596
armoires de bois des Indes,1,,,non,0,386596
armoires de chêne,9,,,non,0,386596
armoires de chêne ornée,1,,,non,0,386596
armoires de noyer,9,,,non,0,386596
armoires de sapin,3,,,non,0,386596
armoires et commodes,1,,,non,0,386596
armoires vieilles,2,,,non,0,386596
armoisin,46,,,non,0,386596
armure de fer,1,,,non,0,386596
armure vieille,1,,,non,0,386596
arnas,1,,,non,0,386596
arpois,1,,,non,0,386596
arquebuse,1,,,non,0,386596
arrangas,1,,,non,0,386596
arrosoirs,6,,,non,0,386596
arrosoirs de bois,2,,,non,0,386596
arrosoirs de cuivre,1,,,non,0,386596
arrosoirs de fer,1,,,non,,386596
arrosoirs de fer-blanc,6,,,non,0,386596
arrosoirs de sapin,1,,,non,0,386596
arrosoirs de terre,1,,,non,0,386596
arrowroot,1,,,non,0,386596
arséniate de potasse,2,,,non,0,386596
arsenic,411,,,non,0,386596
arsenic métallique,6,,,non,0,386596
artichauts,79,,,non,0,386596
artichauts champignons et truffes,2,,,non,0,386596
artichauts confits,68,,,non,0,386596
artichauts frais,17,,,non,0,386596
artichauts marinés,2,,,non,0,386596
artichauts secs,6,,,non,0,386596
artifice,5,,,non,0,386596
artifice fusées etc.,1,,,non,0,386596
artillerie,6,,,non,0,386596
asa fœtida,123,,,non,1,386596
asperges,9,,,non,0,386596
asperges confites,1,,,non,0,386596
asperges et scorsonères,1,,,non,0,386596
asphaltum,19,,,non,0,386596
assiette,1,,,non,0,386596
assiette de Biarritz,1,,,non,0,386596
assiette de bois,1,,,non,0,386596
assiette de faïence,8,,,non,0,386596
assiette de porcelaine,3,,,non,0,386596
assiette de porcelaine des Indes,1,,,non,0,386596
assiette de terre,6,,,non,0,386596
assiette et plats de terre,1,,,non,0,386596
asustum,1,,,non,0,386596
atastes,1,,,non,0,386596
atlas,2,,,non,0,386596
atlas à la feuille d'or,1,,,non,,386596
atlas et instruments de marine,1,,,non,0,386596
atlas jaspé,1,,,non,,386596
attaches de cuivre,1,,,non,0,386596
attelles de colliers,14,,,non,0,386596
aube,1,,,non,0,386596
auchinoise,2,,,non,0,386596
auclimes,2,,,non,0,386596
auf,117,,,non,0,386596
auf ouvré,0,,,oui,0,386596
auf travaillé,0,,,oui,0,386596
auf travaillé en cordes,0,,,oui,0,386596
augemy,2,,,non,0,386596
auges,3,,,non,0,386596
auges de carreaux,2,,,non,0,386596
augustins,2,,,non,0,386596
aurcsats,1,,,non,0,386596
aurcsats étoile,1,,,non,0,386596
aussière,4,,,non,0,386596
autel de marbre,2,,,non,0,386596
avelanèdes,58,,,non,0,386596
avelines,8,,,non,0,386596
avelines et noisettes sèches,22,,,non,0,386596
avelines faînes noisettes noix,1,,,non,0,386596
avelines noisettes noix,5,,,non,0,386596
avirons,639,Hors Canada,,non,1,154386
avirons bruts,17,,,non,0,386596
avirons de 12 pieds,1,,,non,0,386596
avirons de 18 pieds,1,,,non,0,386596
avirons de 30 pieds,1,,,non,0,386596
avirons de 5 pieds,1,,,non,0,386596
avirons de 8 à 12 pieds,1,,,non,0,386596
avirons de bois,51,,,non,0,386596
avirons de bois façonné,1,,,non,0,386596
avirons de chêne,1,,,non,0,386596
avirons de sapin,1,,,non,0,386596
avirons et perches de bois,3,,,non,0,386596
avirons et rames bruts,2,,,non,0,386596
avirons et rames de bois,1,,,non,0,386596
avirons et rames de bois façonné,2,,,non,0,386596
avirons et rames façonnés,5,,,non,0,386596
avirons polis,1,,,non,0,386596
avoine,496,,,non,0,386596
avoine en gerbes,1,,,non,0,386596
avoine et haricots,1,,,non,0,386596
avoine et orge etc.,1,,,non,0,386596
avoine mondée,1,,,non,0,386596
avoine moulée,1,,,non,0,386596
azur,729,,,non,0,386596
azur commun,197,,,non,0,386596
azur et bleu de Prusse,9,,,non,0,386596
azur et cobalt,20,,,non,0,386596
azur fin,13,,,non,0,386596
azur gros,22,,,non,0,386596
babassis,1,,,non,0,386596
babouches,90,,,non,0,386596
babouches de maroquin,2,,,non,0,386596
bacs d'1 aime,1,,,non,0,386596
bacs de pierre,1,,,non,0,386596
bacs de pierre bleue,1,,,non,0,386596
bacs de pierre d'1 aime,1,,,non,0,386596
bacs de pierre de 4 aimes,1,,,non,0,386596
bacs de pierre de demi d'aime,1,,,non,0,386596
bacs de pierre de moindre classe,1,,,non,0,386596
bacs de pierre de trois-quart d'aime,1,,,non,0,386596
bacs de pierre en dessous d'1 aime,1,,,non,0,386596
bacs de pierre en dessus d'1 aime,1,,,non,0,386596
badiane,60,,,non,1,386596
badiane ou anis étoilé de la Chine,0,,,oui,0,386596
baffetas,10,,,non,0,386596
baffetas blanc,19,,,non,0,386596
baffetas bleu,26,,,non,0,386596
baffetas des Indes,2,,,non,0,386596
bagarot,1,,,non,0,386596
bagues,5,,,non,0,386596
bagues à pierres fausses,1,,,non,0,386596
bagues d'argent,2,,,non,0,386596
bagues d'or,1,,,non,0,386596
bagues de cuivre,2,,,non,0,386596
bagues de laiton,1,,,non,0,386596
bagues de verre,3,,,non,0,386596
