Inconnu,marchandises,definition,
0,aigre de cèdre,"""allaya"", tissu rayé, du Turc ""alaja"", cf. Dominique Chevallier,  ""Un exemple de résistance technique de l'artisanat syrien aux XIXe et XXe siècles. Les tissus ikatés d'Alep et de Damas"", Syria, janvier 1962, Vol.39(3/4), 300-324, en particulier p. 306.",
0,aigre de vitriol,"""Esprit de Vitriol, qu'on nomme aussi Aigre de Vitriol. C'est du Vitriol séché au soleil, ou à son défaut séché au feu […] excellent contre l'épilepsie, & contre les fièvres chaudes & malignes"", Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 2, Paris, Vve Estienne, 1748, p. 1120 [ci-après Savary, Dictionnaire 1748 2], article ""ESPRIT"", sous-section ""Esprit de Vitriol"".",
0,ail,"Selon Robert  James, Dictionnaire universel de médecine, de chirurgie, de chymie, de botanique, d'anatomie, de pharmacie et d'histoire naturelle, etc., Paris, Briasson, David l'aîné, Durand, 1746, vol. 1, article ""ALLIUM"": ""l'ail, les oignons & les poireaux [...] échauffent & atténuent le sang […] L'ail [...] passe pour avoir la vertu de fortifier l'estomac & les viscères […] & de soulager dans la colique. […] dans l'asthme et les difficultés de respirer""",
0,"aime, ame (contenant)","""Contenant; aussi Aam, Ohm, etc."", ""sorte de futaille ou mesure pour liquides, employée surtout en Allemagne, en Hollande et en Belgique"". Horace Doursther, Dictionnaire universel des poids et mesures anciens et modernes, Bruxelles, M. Hayez, 1840, article ""AIME"".",
0,ain,"Savary, Dictionnaire 1741 1, article ""AIN"", ""hameçon"". ",
0,"ajamies, jamis, à jamis, à jamin, ajamier, ajamir, ajamix, ajanis, ajami","Savary, Dictionnaire 1748 2, article ""JAMIS"", ""On appelle Toile à Jamis une espèce de toile de coton qui se tire du Levant par la voye d'Alep""également Encyclopédie, article ""Jamis toile à"". Cf. aussi Eloy Martin Corrales. Marseille, échelle des toiles levantines pour l'Espagne, XVIIe et XVIIIe siècle. Rives méditerranéennes 29, 2008. ",
0,"akia, achia","Savary, Dictionnaire 1741 1, article ""ACHIA"", ""sorte de canne qui croît dans les Indes Orientales, que l'on confit en verd dans le pays avec du fort vinaigre, du poivre quelques épices et autres ingrédients [...]."" ",
0,alana,"Savary, Dictionnaire 1741 1, article ""ALANA"": ""Espèce de craye ou de pierre tendre un peu rougeâtre, que l'on appelle autrement Tripoli. Voyez TRIPOLI"". Cf.  Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 3, Paris, Vve Estienne, 1748 [ci-après Savary, Dictionnaire 1748 3], Article ""TRIPOLI"": ""Tripoli, que l'on nomme aussi ALANA. Espéce de craye ou de pierre tendre & blanche, tirant un peu sur le rouge, qui sert à polir les ouvrages des Lapidaires, Orfèvres, Miroitiers & Ouvriers en cuivre.""",
0,"alegias, alegia, allegias, elegias","Savary, Dictionnaire 1748 2, article ""LAGIAS"", ""Toiles peintes très belles qui se fabriquent & se vendent au Royaume de Pegu"". ",
0,alènes,"""Espèce de petite verge de fer, emmanchée dans un morceau de bois rond, & dont on se sert pour percer le cuir & pour le coudre"". Dictionnaire de l'Académie française, 4e Edition (1762) [consulté dans l'édition en ligne ATILF, http://www.cnrtl.fr/definition/academie4/alène, ci-après Académie 4e éd.], article ""ALENE"".",
0,"alibanies, alibanis, alibania, alibanic, alibans","Encyclopédie ARTFL, article ""ALIBANIES"", ""toiles de coton qu'on apporte en Hollande des Indes Orientales, par les retours de la Compagnie"".",
0,"alizary, alizari, lizari, lisari, alizar","""Nom donné dans le commerce à la racine entière de la garance"", CNRTL/TLFI, article ""ALIZARI"".",
0,alkermès,"Encyclopédie ARTFL, article ""ALKERMES"", ""graine d'écarlate. Cette graine se cueille en grande quantité dans la campagne de Montpellier"". Cf. Charles-Louis Cadet de Gassicourt, Etienne Pariset, Formulaire magistral, à l'usage des élèves en médecine, en chirurgie et en pharmacie, Paris: D. Colas, 1812, p. 44, article ""ELIXIR ALKERMES DES ITALIENS"": ""Cet elixir est employé dans l'épilepsie. II est cordial et vulnéraire"". ",
0,"allaya, alaya, alatia","""allaya"", tissu rayé, du Turc ""alaja"", cf. Dominique Chevallier,  ""Un exemple de résistance technique de l'artisanat syrien aux XIXe et XXe siècles. Les tissus ikatés d'Alep et de Damas"", Syria, Janvier 1962, Vol.39 (3/4), 300-324, en particulier p. 306.",
2,alicot,Source NAVIGOCORPUS,
1,alleaux,"Absent de Savary, Dictionnaire 1741 1, de Gilles Ménage, Dictionnaire étymologique de la langue française, vol. 1, Paris: chez Briasson, 1750 [ci-après Ménage, Dictionnaire 1750 1] et de l’Encyclopédie ARTFL. Peut-être mauvaise graphie d'""aloès"".",
0,aloès,"Savary, Dictionnaire 1741 1, article ""ALOES"". ""Ce nom est commun à trois choses différentes; à un Arbre très précieux & très rare; à une drogue fort utile dans la Médecine; & à une plante, de la racine & des feuilles de laquelle on tire cette drogue, qui en est le suc. La plupart des Auteurs confondent l'arbre & la plante, sans doute à cause du peu de connoissance que l'on a de l'arbre, ans doute à cause du peu de connoissance que l’on a de l'arbre; & que la drogue que produit la plante, est bien plus connue, & d'un plus grand usage. [...]  L'Aloès, dont on se sert dans la Médecine, & que les Maréchaux employent aussi pour la guérison des chevaux, est le suc de la racine ou des feuilles de cette plante [...] purgatif violent. Il entre dans la composition de ces pilules, qu'on nomme Pilules de Francfort, ou Pilules gourmandes; & fait aussi la base de celles, qu'on appelle Pilules Angéliques""",
0,aloès cabalin,"Savary, Dictionnaire 1741 1, article ""ALOES"". L'aloès ""Cabalin est le moins bon, & ne se donne qu'aux chevaux; d'où peut-être il est appelé Cabalin"".",
1,aloiset,"Pas trouvé dans Savary, Dictionnaire 1741 1, ni dans Encyclopédie ARTFL, ni dans CNRTL/TILF. Graphie confirmée dans l'original. Peut-être ""aloès""?",
0,"alpargate, alpargatte, alpargalle, alfargate","Savary, Dictionnaire 1741 1, article ""ALPARGATES"". ""Mot espagnol, qui signifie souliers de corde"". Cf. aussi Abel Hugo, France militaire. Histoire des armées françaises de terre et de mer, Paris, Delloye, 1838, vol. 4, p. 297: esp.""alpargatas"", ""espadrille"".",
0,alquifoux,"Savary, Dictionnaire 1741 1, article ""ALQUIFOUX"",  ""Espèce de plomb minéral très pesant… utilisé par les potier"".  Aussi article ""ALQUIFOUX"", Encyclopédie ARTFL.",
0,alquitra,"""una especie de brea"", ""une espèce de goudron"", Miguel Gual Camarena, Vocabulario del comercio medieval. Colección de aranceles aduaneros de la Corona de Aragón (siglo XIII y XIV) , Tarragona, 1968, article ""ALQUITRÁ"", accessible à http://www.um.es/lexico-comercio-medieval/index.php/v/lexico/7361/alquitra",
0,alun,"Savary, Dictionnaire 1741 1, article ""ALUN"": ""Espèce de sel fossile"". CNRTL/TILF, article ""ALUN"": ""Sulfate double formé d'un sulfate de métal trivalent et d'un sulfate de métal monovalent, utilisé en médecine, en teinturerie, peausserie, etc"".",
0,amaril,"Mot néerlandais, traduction ""émeri"" (Dictionnaire Reverso Français - Néerlandais)",
0,amarine,"""Nom vulgaire du saule-osier dans le midi de la France"", CNRTL/TLFI, article ""AMARINE"".",
1,ambes,"Graphie vérifiée dans l'original, inconnu.",
0,"ambrain, ambrain à grande barrique","Terme utilisé en parfumerie pour désigner une distillation de labdanum, ou ciste; cf. https://www.fragrantica.fr/news/La-rentrée-Dossier-les-lancements-de-la-parfumerie-de-niche-N-1--1564.html pour le labdanum, et http://www.cosmetiquemag.fr/2017/01/lambre-le-gri-gri-des-parfumeurs/ pour l'essence de ciste, confirmé par http://pellwall-perfumes.blogspot.com/2013/04/ambergris-substitutes-clarification-of.html,  et https://www.chemicalbook.com/ChemicalProductProperty_EN_CB8162638.htm. À noter qu'aucune instance datant du 18e siècle n'a été trouvée; en revanche il existe ""Ambrin"", ""Qui est de la nature ou de la couleur de l'ambre"", CNRTL/TILF article ""AMBRIN"". Donc certainement un produit similaire à l'ambre, peut-être un distillat y ressemblant. Le site https://attarperfumes.net/shop/perfumetherapy/labdanum/ affirme que l'acool ambrettolide se trouve à la fois dans l'ambre gris et dans le labdanum.",
0,ambre gris,"""Substance organique molle, de couleur généralement cendrée, au parfum musqué, provenant des excrétions du cachalot et que l'on rencontre flottant sur les mers ou rejetée sur les côtes de certaines régions tropicales"". Article ""AMBRE"", CNRTL/TILF.",
0,"ambre jaune, carabé, karabé","Savary, Dictionnaire 1741 1, artticle ""AMBRE JAUNE OU KARABE"". ""espèce de gomme ou de résine d'arbre, qui se trouve ordinairement dans la Mer Baltique [...] s'employe à plusieurs sortes d'ouvrages précieux & dlicats [...] a quelque usage en Médecine"".",
0,amer,"""Amer de bœuf"", fiel de bœuf utilisé en teinturerie pour détacher. Encyclopédie ARTFL, article ""AMER""",
0,amertis,"« Toiles de coton blanche » en provenance d'Inde. M. Magnien et M. Deu, Dictionnaire des productions de la nature et de l'art qui font l'objet du Commerce de la France, Tome 1er, Paris: Ant. Bailleul, 1809, p. 56.",
0,ammoniac,"Savary, Dictionnaire 1741 1, article ""AMMONIAC"". ""Gomme […] On tire un esprit & une huile de cette gomme à qui l'on attribue de grandes vertus.""",
0,ammonium verum ,amomum verum,
0,"amomum, amomium, amomiun, amonium, amoniurum","Savary, Dictionnaire 1741 1, article ""AMOMUM RACEMOSUM"". ""Espèce de fruit que l'on rapporte des Indes […]. L'Amomum qu'on compte parmi les drogues qui servent à la Médecine & qui entre particulièrement dans la composition de la Thériaque."" Attention, l'interprétation ""Ammonium"" est impossible, le terme n'apparaissant qu'en 1814, inventé par Davy (CNRTL/TILF, article ""AMMONIUM"").",
0,amurca,"Lie d'huile, article ""LIE D'HUILE"", Encyclopédie ARTFL.",
0,"Anabase, anabasse","""Toile de fil et de coton, bleu et blanc, d'un demi pouce entre chaque raye, et de la largeur de trois quarts d'aulnes, divisé par longueurs de trois quarts d'aulne et demi"", article ""ANABASSES"", [Chambon], Traité général du commerce de l’Amérique…, 1783, vol. 2, p. 382-3. ",
0,anacarde,"""fruit, ou plutôt noyau applati"", article ""ANACARDE"", Encyclopédie ARTFL; cf. aussi Savary, Dictionnaire 1741 1, article ""ANACARDES"", ""Espèce de fèves qui sont rapportées des grandes Indes […] ces sortes de fèves sont de quelque usage en Médecine étant un bon purgatif""; ibid., les ""Anacardes antartiques [...] sont les noix d'Acajou, à qui les Epiciers-Droguistes de Paris donnent ce nom, à cause de quelque ressemblance qui se trouve entre ces deux dangereux purgatifs"".",
0,anacoste,"""Espèce d'étoffe de laine croisée, très rase [...] Elle se fait à Leyden"", Savary, Dictionnaire 1741 1, article ""ANACOSTE ou ANASCOTE"".",
0,anascote,"Anacoste: Savary, Dictionnaire 1741 1, article ""ANACOSTE ou ANASCOTE"".",
1,anatose,"Graphie vérifiée dans la source, ""anatose"" ou ""anatoze"". Rien dans CNRTL/TILF, Encyclopédie ARTFL, Savary Dictionnaire 1741 1; ""anatase"" (oxyde de titanium) impossible car décrit en 1801 alors que les sources datent de 1750.",
0,andolium,"""En Flandres, [...] morues qu'on pèche à la côte, d'une façon particuliere; on les dit supérieures aux morues fraiches, ayant une petite pointe de sel qui les rend très-agréables. C'est ce qu'on appelle l'andolium."" J[ean]-É[lie]. Bertrand, Descriptions des Arts et Métiers, faites ou approuvées par messieurs de l'Académie Royale des Sciences de Paris, vol. 10, Traité des pêches et histoire des poissons - seconde partie, Neuchâtel: Imprimerie de la Société Typographique, 1779, p. 122. ",
0,angélique,"Savary, Dictionnaire 1741 1, article ""ANGELIQUE"": ""Qu'on appelle aussi ARCHANGELIQUE ou RACINE DU S. ESPRIT; en Latin Angelica, autrement Radix Siriaca. Plante médicinale fort estimée, à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition de la thériaque"".",
0,anille,"""Fer de moulin"", article ""ANILLE"", Académie 4e éd.",
0,animée (gomme),"gomme de l'arbre ""courbaril typique"" [Hymenaea courbaril], ou ""animé ordinaire"", Cf. Xycol, La nomenclature des noms scientifiques et vernaculaires des ligneux, consulté à https://www.xycol.net/ [ci-après XYCOL]",
0,anspect,"""Levier muni à l'une de ses extrémités d'une forte ferrure plate autrefois employé dans la marine"", CNRTL/TILF, article ""ANSPECT"". ",
1,"anpect, anspecs,anspec, anspectre, ansprect (barres d'; bois d')","cf. anspect; variantes d'anspect, barres d'anspect, bois d'anspect",arrêt
0,antale, « coquillage en forme de tuyeau » (Savary) ,
0,antimoine,"Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le ».",
0,antofle de girofle,"Clou de girofle, article ""Girofle (clou de)"", Encyclopédie. ",
0,apier,"rucher, CNRTL. ",
0,"apios, appios","espèce de tithymale qui pousse plusieurs petites tiges basses, article ""Apios"", Encyclopédie. ",
0,apparaux,"Matériel fixe servant à effectuer, sur un navire, les manœuvres et les opérations de manutention, CNRTL. ",
0,arains, « armoisins ou taffetas rayés et à carreaux qui viennent des Indes » (Savary) ,
0,arcalum duplicatum,"arcanum duplicatum, ""remede secret composé de deux, savoir de l' acide vitriolique & de la base alkaline du nitre, ce qui fait un sel moyen qu' on nomme sel de duobus"". Encyclopédie, article ""Arcanum duplicatum"". ",
0,arcanette,"Nom vulgaire donné en Lorraine à la sarcelle indigène, CNRTL. ",
0,arcanson,"Résine jaunâtre, encore appelée galipot, brai sec ou colophane, CNRTL. ",
1,arcanum duplicatum,"Provient peut être du latin ? « Arcanum » signifie « arcane, secret » tandis que  ",
0,ardassine,soie fabriquée en Perse (Encyclopédie Universalis),
1,ariobadis,probablement alibanies (q.v.),
0,aristoloche,"Savary, volume 1, 1748 : « Plante qui rentre dans la composition du Thériaque » ",
0,armoisin,"Savary, volume 1, 1748 : «  Armoisin : Etoffe de soie, ou sorte de taffetas de moyenne bonté, qui se fait à Lyon et en plusieurs endroits de l'Italie. » ",
0,armoisin,"taffetas extrêmement mince, Encyclopédie, article ""Armoisin"". ",
1,arpois,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts ; 1 seule occurrence  ",
0,arquifou,"Savary, volume 1, 1748 : «  Arquifou : espèce de minéral » ",
0,arrowroot, « maranta arundinacea aussi appelée marante dictame herbe aux flèches est une plante que l'on trouve principalement en Amérique tropicale » (définition web) ,
0,arsenic,Dietz sugg is used as a pigment ,
1,arson de bois,Peut-être « Arçons » ,
1,artoloche,"aristoloche probablement: phonèmes identiques dans le même ordre, même erreur en lecture automatique dans Google",
0,asfafélida,"???//atilf.atilf.fr/ [ci-après CNRTL], Article ""Ac(c)on"", ""Embarcation à fond plat, servant à divers usages"". ",
1,aspatton (bois d'),"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, 1 seule occurrence ; écriture du copiste à étudier… 1",
0,asphalte,Liste Wallis: Appears in 1773 re exp out of time ,
0,assa fétide,"Drapiez, Dictionnaire classique des sciences naturelles, volume 1 : Sève, « L'assa Foetida est employée en médecine comme anti-spasmodique ». ",
0,asustum,"Asustum ou chaux d'airain, Savary, Dictionnaire 1, article ""Asustum"".Chez l'Auteur, 1786, article ""Pondichéry"". ",
0,"atchiabanis, antchibanis, antechiabanis, antchiabanis, anthechiabanis, antichiabanis, archiabanis, aluchiabanis","""toile de coton"", cf. Lettres historiques contenant ce qui se passe de plus important en Europe; et les reflexions necessaires sur ce sujet, vol. 66, Juillet 1724, Amsterdam, chez la Veuve de Jaq. Desbordes, p. 340 (liste de marchandises ramenées de Batavia à Amsterdam dans les navires de la Cie des Indes Orientales en septembre 1724. Peut-être une variante de ""alibanis"", mais ""alibanis"" est listé concurremment dans la même liste de ""Toiles de cotton"".",
1,atibanis,"Exporté vers la Guinée (Bordeaux sorties 1777), cf. alibanies",
1,auclimes,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, 1 seule occurrence  ",
1,aucsats,"Absent de la base de données ainsi que du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises ",
0,"auf, aeuf, auffe ou aufo, provençal, esp. alfa","Auf, aeuf, auffe ou aufo, provençal, esp. alfa: Plante de la famille des graminés dont les fibres étaient jadis utilisées dans la confection des cordages, nattes et filets. Au XVIIIe siècle les auffiers travaillent ces fibres. Fr.: spart ou sparte. Cf. Gérard Deschamps, Les filets maillants, éditions Quae, 2009, p. 189; Frédéric Mistral, Trésor dòu Felibrige. Dictionnaire provençal-français, Raphèle-les-Arles: Marcel Petit,  1878. Voir aussi Cordes d’auffe : on en emploie de trois grosseurs, qu’on distingue par les noms de liguette ou brumel, le baudou et filet prin. Ces cordes se vendent par balles. Extrait de : Description des arts et métiers, vol. 5, 1776, de l’imprimerie de la société typographique, p. 714. ",
1,"augemy, augeny: forme choisie augemy","Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, seulement 2 occurrances (une pour chaque orthographe) ",
1,augustins,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises ; 1 seule occurrene ; peut être « augustine » ? ",
1,aurcsats,"La graphie du copiste semble parfaitement lisible, mais cette marchandise n’apparaît qu’une seule fois dans la BDD, et sa signification nous est inconnue.  ",
0,"aussières, ou haussières","S’écrit en réalité « haussières » : (ou aussières d’après Wiktionary?) « Terme de marine. Cordage commis avec des torons au nombre de trois ou quatre. On dit aussi aussière, et, par corruption, hansière. » (Littré) ",
0,avelanèdes,"cosse du gland de chêne velani, article ""Avelanede"", Savary, Dictionnaire 1. ",
0,avelanèdes,"Encyclopédie Universelle : « Cupule qui entoure la base des glands du chêne velani, employée dans le tannage des cuirs et la teinture ",
0,avelines,"espèce de fruit comestible semblable à la noisette, article ""Aveline"", Savary, Dictionnaire 1. ",
0,avelines,"Wikitionary : « Variété de grosse noisette, dont on extrait une huile fine. » ",
0,azur,Cf. P.H.Wallis  : semi-precious stone ,
0,babus,Barbus (poisson)? ,
0,badiane,anis étoilé,
0,baffetas,"Savary, volume 1, 1748 : « Baffetas : Toile toute de fil de coton blanc, très grosse, qui vient des indes orientales. » ",
0,baffetas,"toile grosse de coton blanc, qui vient des Indes orientales. Article ""Baffetas"", Encyclopédie. ",
1,bagarot,"Absent des dictionnaires. Une seule occurrence dans la BDD, écriture correcte (Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv, mports, Page 4) ",
1,baie de foye,Peut-être «Baie de soie » ,
0,baigne,Baigues ou Baignes : sorte de ratine (étoffe de laine)   source supplémentaire : dictionnaire du textile (https://archive.org/stream/dictionaryoftext00harmrich/dictionaryoftext00harmrich_djvu.txt),
0,baignes,voir « baigne » ,
1,baigots,"Absent des dictionnaires, une seule occurrence ; écriture difficilement lisible, peut être une erreur du retranscripteur (Local/La Rochelle/41 ETP 270/La Rochelle - Entrées – 1726 – Page 4) ",
0,"baillarge, bailliarge","Baillarge, ""Orge de printemps à deux rangs"", Centre national de Ressources Textuelles et Lexicales, http ",
0,baille,"Savary, volume 1, 1748 : «  Baille : Moitié de tonneau en forme de bacquet» ",
0,bailliarge,Espèce d'orge qui vient de l'Angoumois ou du Poitou ,
0,"bajanes, bajannes, bajaunes, basane, bazane","Basannes ""Peau de bélier, mouton, de brebis, passée en tan"", Savary, Dictionnaire 1. Écrit parfois ""Basane"" dans l'Encyclopédie. ",
0,"bajutapau, bajutabeau, bajutapeau, majutapau, rajutapau","Bajutapaux, ""espèces de toile de coton, rayées de blanc"", Almanach général des marchands, négocians et armateurs de la France, de l'Europe et des autres parties du Monde, Paris ",
0,balaustes,"Fleurs de grenadire sauvage, Encyclopédie, article ""Balaustes"". ",
1,balfas,L’écriture paraît pourtant lisible (La Rochelle - 41 ETP 271 – 1729 – page 3) 1,
0,bambouc,"bambou, ""bois extrêmement noueux qui croît dans plusieurs endroits des Indes Orientales"", article ""Bambouc"", Encyclopédie. ",
0,bannette,"espèce de panier, article ""Bannette"", Encyclopédie. ",
0,baracan,"aussi Bouracan, ""étoffe non croisée"", article ""Bouracan"", Encyclopédie. ",
0,barbançons,"cruches ou bouteilles de grès. Cf. le décret concernant le tarif des droits d’entrées et de sorties du royaume (28 juillet=1er août 1792) « les cruches et bouteilles de grès, même celles connues sous le nom de barbançons et barbues, seront traitées comme poteries de terre », in L. Rondonneau dir., Collection générale des lois, décrets, arrêtés, sénatus-consultes, avis du Conseil d'Etat et réglements d'administration publiés depuis 1789 jusqu'au 1er avril 1814, 16 tomes en 28 volumes, Tome 3, IIe partie, Assemblée législative Mai-Septembre 1792, p. 592 et suiv. ",
0,barbe de baleine,partie du fanon des baleines ,
0,barbotine,"Savary, volume 1, 1748 : Ou Semen Contra « Graine qui sert à faire mourir les vers qui s'engendrent dans le corps humain, auxquels surtout les enfants sont fort sujets » ",
0,barbues,"cruches ou bouteilles de grès, cf. Barbançons. ",
0,barileau,"Barilleau, ""petit baril"", CNRTFL. ",
0,bariteau,étoffe de laine et fil qui sert à tamiser ,
0,barois,tous à l’export vers la Flandre. Semble correspondre à la « toile de barois (et clinchamp) ». 4,
0,baryte,"minerai friable, avec lequel on fait des sels de baryte pour toutes sortes d’industries. Voir : http://www.fossiliraptor.be/baryte.htm",
0,basin,"Savary, volume 1, 1748 : «  Basin : Etoffe croisée qui doit être fabriquée toute de fil de coton »Dictionnaire de commerce Savary, vol. 2, 1723, p. 139  [ci-après Savary, Dictionnaire 2]. ",
0,basin,"Savary, volume 1, 1748 : « Basin : Étoffe coiffée qui doit être fabriquée toute de fil de coton » ",
1,"basin, bazin"," étoffe croisée dont la chaîne est ordinairement de fil et la trame de coton, CNRTFL, Cf. aussi article ""Bazin"", Jacques Peuchet, Vocabulaire des termes de commerce, banque, manufactures, navigation marchande, finance mercantile et statistique, Paris, Chez Testut, 1801. ",
1,baspormettes,,
0,"batanoimes, batanoines, batanomic, batanomis, batanonis","Batanomes, ""toiles longues de vingt- huit pieds la pièce"", article ""Batanomes"", Encyclopédie. ",
0,batanonis,toile de lin ,
0,bâtardes,"Trois définitions cohérentes dans le Littré : 1) « Sucre produit par des sirops qui sont le résidu d'un raffinage précédent. » 2) « Terme de marine. Corde qui assemble les racages et les amarres sur le mât près de la vergue. » 3) «  Dans l'ancienne artillerie, bâtarde, sorte de canon, long d'environ neuf pieds et demi, avec trois pouces dix lignes de calibre. » ",
0,bâtier (bourre à),"attestée dans l'article ""Bourre"", Savary, Dictionnaire 1. ",
0,batiste,"Savary, volume 1, 1748 : «Nom que l'on donne à une sorte de toile de lin» ",
1,batonge (bois en),Absent des dictionnaires et de l’encyclopédie  1,
1,baudands,S’écrit peut être « baudans » (source : (La Rochelle – 41 ETP 271 – 1749 – Page 3) 1,
1,baumanes,Peut être une erreur de retranscription (voir Sources locales – Nantes – Imports – 1765 – page 12) 1,
0,baume,"Savary, volume 1, 1748 : « Espèce de gomme de grande réputation en Médecine & en Chirurgie […] remède souverain pour la guérison des plaies, & de quantité de maladies. » Se trouve aussi sous la forme latine ‘balsamum’. ",
0,baume de la mecque,"Savary, volume 1, 1748 : « Les deux principaux usages du baume blanc sont, l'un pour la santé et l'autre pour la beauté. C'est ce dernier qui proprement met le prix à cette liqueur […] pour l'embellissement du teint des Dames. » ",
0,bavette,"Littré : «  Dans l'ancienne artillerie, bâtarde, sorte de canon, long d'environ neuf pieds et demi, avec trois pouces dix lignes de calibre. » (Ou encore « En termes d'architecture, bande de plomb dont les bords des chéneaux sont couverts. ») ",
0,bavolet,"seconde pièce d'une coiffure, article ""Bavolet"", Encyclopédie. ",
0,baye de laurier,"Cf. P.H.Wallis  : Bay = Laurus. Grieve: The dried, black, aromatic berries come from Provence, Spain, Italy and Morocco. ",
0,"baye, bayette","étoffe de laine, Savary Dictionnaire 1, article ""Baye"". ",
0,bayette,"Savary, volume 1, 1748 : «  Baye : Les Anglais donnent ce nom à une étoffe de laine qu'on appelle en france Bayette » ",
1,bayoulen,"source belge, aucune occurrance dans la BDD centrale. Traduction ? ",
1,bazin,"Peut-être est-ce basin, dans ce cas 6d ",
1,bazzitte,"Absent des dictionnaires. Ecriture moyenne, peut être Bazille ? Source : National par direction – Imports – Lille – 1789 – Page 2) 1",
0,"bdellium, bedellium","Bdellium, ""gomme aromatique apportée du levant"", article ""Bdellium"", Encyclopédie. ",
0,beau vert broyé,"D’après le Littré, un « vert » peut être le « nom de certaines roches, marbres, substances. »  ou encore « différentes couleurs vertes préparées pour la peinture ou la teinture. » ",
1,beaudeaux ,"Inconnu des dictionnaires, une seule occurrence. L’écriture du copiste paraît lisible (National – Objet général – Paris – 1776) 1",
