simplification,nbr_occurences_simpl,obrien,note,nbr_occurences_obrien
"Bayonne, Dunkerque, Lorient et Petites Îles",3,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
"Bayonne, Lorient et Petites Îles",1,"Bayonne, Lorient et Petites Îles",,1
Belgique,67,Belgique,,67
Besançon,2,,,9479
Bilbao,10,,,9479
Bilbao et Cadix,3,,,9479
Brême,9,,,9479
"Brême, Lubeck, Norvège et villes hanséatiques",1,,,9479
Brésil,30,Brésil,,30
Bruges,16,,,9479
Cadix,6,,,9479
Canada,38,,,9479
Candie,5,,,9479
Cannée et Candie,3,,,9479
Cayenne et Guyane,1065,Cayenne et Guyane,,1065
Cayenne et Île Bourbon,1,,,9479
Chili,15,Chili,,15
Chine,42,Chine,,42
Chypre,17,,,9479
Clermontois,71,Clermontois,,71
Colonies anglaises,132,Colonies anglaises,,132
Colonies danoises,90,Colonies danoises,,90
Colonies des États-Unis d'Amérique,143,Colonies des États-Unis d'Amérique,,143
Colonies espagnoles,153,Colonies espagnoles,,153
Colonies françaises,2198,Colonies françaises,,2198
Colonies françaises au-delà du Cap,4,,,9479
Colonies françaises d'Amérique,358,Colonies françaises d'Amérique,,358
Colonies françaises en-deça du Cap,4,,,9479
Colonies françaises et colonies hollandaises,20,Colonies françaises et colonies hollandaises,,20
Colonies françaises et Inde,1,,,9479
Colonies françaises et Saint-Domingue,1,,,9479
Colonies françaises hors Guyane et Sénégal,3,,,9479
Colonies hollandaises,142,Colonies hollandaises,,142
Colonies portugaises,27,Colonies portugaises,,27
Colonies suédoises,57,Colonies suédoises,,57
Commerce de la Compagnie des Indes,133,,,9479
Constantinople,22,,,9479
Corse,123,Corse,,123
Courlande et Russie,143,Courlande et Russie,,143
Cuba et Porto Rico,20,Cuba et Porto Rico,,20
Danemark,12236,Danemark,,12236
Danemark et Norvège,392,Danemark et Norvège,,392
Duché de Bouillon,108,Duché de Bouillon,,108
Dunkerque,722,Dunkerque,,722
Dunkerque et Lorient,2,Dunkerque et Lorient,,2
Dunkerque et Marseille,2,Dunkerque et Marseille,,2
Dunkerque et Petites Îles,4,Dunkerque et Petites Îles,,4
"Dunkerque, Lorient et Petites Îles",3,"Dunkerque, Lorient et Petites Îles",,3
Égypte,53,Égypte,,53
Empire Ottoman,1480,Empire Ottoman,,1480
Empire Ottoman et Barbarie,2217,Empire Ottoman et Barbarie,,2217
Empire Ottoman et Levant,98,Empire Ottoman et Levant,,98
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",,1
Entrepôt,87,,,9479
Épaves et échouements,56,Épaves et échouements,,56
Espagne,60000,Espagne et ses colonies,,63673
Espagne et Portugal,1,Espagne et Portugal,,1
Espagne et ses colonies,3673,Espagne et ses colonies,,63673
Espagne par mer,2,,,9479
Espagne par terre,2,,,9479
États ?,17,États ?,,17
États de l'Empereur,4462,États de l'Empereur,,4462
États de l'Empereur par mer,2,,,9479
États de l'Empereur par terre,2,,,9479
États du roi,1,États du roi,,1
États ecclésiastiques,1620,États ecclésiastiques,,1620
États ecclésiastiques et Venise,52,États ecclésiastiques et Venise,,52
États romains,64,États romains,,64
États-Unis d'Amérique,6271,États-Unis d'Amérique,,6271
Europe,16,Europe,,16
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,,,9479
Flandre,18855,Flandre,,18855
France,16,France,,16
Franche Comté,8,Franche Comté,,8
Gênes,15327,Gênes,,15327
"Gênes, Milan, Toscane et Lucques",4,,,9479
Genève,3105,Genève,,3105
Genève et Piémont,604,Genève et Piémont,,604
Genève et Suisse,2510,Genève et Suisse,,2510
"Genève, Suisse et ses alliés",949,"Genève, Suisse et ses alliés",,949
Gibraltar,1,,,9479
Gothembourg,10,,,9479
Guadeloupe,2190,Guadeloupe,,2190
Guatemala,2,Guatemala,,2
Guernesey,2,,,9479
Guernesey et Dumbarton,1,,,9479
Guinée,10313,Guinée,,10313
Guinée et Sénégal,2992,Guinée et Sénégal,,2992
Guyane,11,Guyane,,11
Guyane anglaise,4,Guyane anglaise,,4
Guyane et Sénégal,2,,,9479
Guyane française,2,,,9479
Haïti,10,Haïti,,10
Hambourg,112,,,9479
"Hambourg, Hollande et Livourne",1,,,9479
Hollande,75861,Hollande,,75861
Hollande et Villes hanséatiques,223,Hollande et Villes hanséatiques,,223
Île Bourbon,53,Île Bourbon,,53
Île Bourbon et Inde,3,,,9479
Île de Ré,1,,,9479
Île Maurice,22,Île Maurice,,22
Îles,7104,Îles,,7104
Îles de France et de Bourbon,206,Îles de France et de Bourbon,,206
Îles de l'Amérique,134,Îles de l'Amérique,,134
Îles et Guinée,2,Îles et Guinée,,2
Îles françaises,1997,Îles françaises,,1997
Îles françaises de l'Amérique,41453,Îles françaises de l'Amérique,,41453
Inconnu,209,,,9479
Inde étrangère,18,,,9479
Indes,3467,Indes,,3467
Indes anglaises,16,Indes anglaises,,16
Indes et Moka,41,,,9479
Indes françaises,22,Indes françaises,,22
Indes hollandaises,6,Indes hollandaises,,6
Irlande,62,,,9479
Italie,38485,Italie,,38485
Levant,20597,Levant,,20597
Levant et Toscane,1,Empire Ottoman et Toscane,,1
Lisbonne,11,,,9479
Livourne,254,Livourne,,254
Lorient,227,Lorient,,227
Lorient et Marseille,1,Lorient et Marseille,,1
Lorient et Petites Îles,2,Lorient et Petites Îles,,2
Lorraine,555,Lorraine,,555
Lorraine et Trois Évêchés,1,Lorraine et Trois Évêchés,,1
Louisiane,7,Louisiane,,7
Lübeck en Norvège,1,,,9479
Marseille,2576,Marseille,,2576
Marseille et Petites Îles,1,Marseille et Petites Îles,,1
Martinique,2777,Martinique,,2777
Mecklembourg-Schwerin,4,Mecklembourg-Schwerin,,4
Mexique,9,Mexique,,9
Milanais,4,,,9479
Milanais et Toscane,602,"Milanais, Toscane et Lucques",,1710
"Milanais, Toscane et Lucques",1108,"Milanais, Toscane et Lucques",,1710
Milddelbourg,1,,,9479
Monde,4400,,,9479
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,,,9479
Monde hors Amérique,1,,,9479
Monde hors Amérique et hors Inde,5,,,9479
Monde hors Amérique et hors Inde et hors Piémont,1,,,9479
Monde hors colonies,385,,,9479
Monde hors Europe,52,,,9479
Monde hors Europe et hors colonies,1,,,9479
Monde hors Europe et hors colonies françaises et hors Inde,1,,,9479
Monde hors Europe et hors Sénégal français,2,,,9479
Monde hors Guyanne française,2,,,9479
Monde hors Pays de Gex,1,,,9479
Monds hors Ports de la Baltique,1,,,9479
Morée,11,,,9479
Nancy,2,,,9479
Nantes,1,,,9479
Naples,5517,Naples,,5517
Naples et Sicile,5019,Naples et Sicile,,5019
"Naples, Sicile et Palerme",52,"Naples, Sicile et Palerme",,52
"Naples, Sicile et Parme",394,"Naples, Sicile et Parme",,394
Nord,22408,Nord,,22408
Nord (Hanse et Russie),3881,Nord (Hanse et Russie),,3881
Norvège,80,Norvège,,80
Nouvelle-Grenade,3,Nouvelle-Grenade,,3
Pays d'Aunis,1,,,9479
Pays de Gex,20,Pays de Gex,,20
Pays de Labour,31,,,9479
Pays-Bas,1031,Pays-Bas,,1031
Pays-Bas et ses colonies,1408,Pays-Bas et ses colonies,,1408
Pêches à la Baleine,2,,,9479
Pêches à la Morue à Terre-Neuve,2,,,9479
Pêches à la Morue en Islande,1,,,9479
Pêches côtières (Hareng),2,,,9479
Pêches côtières (Maquereaux),2,,,9479
Pêches côtières (Sardines),1,,,9479
Pêches étrangères,17,,,9479
Pêches françaises,42,Pêches françaises,,42
Pérou,6,Pérou,,6
Petites Îles,464,Petites Îles,,464
Philippines,1,Philippines,,1
Piémont,1590,Piémont,,1590
Piémont et Savoie,340,Piémont et Savoie,,340
Piémont par mer,1,,,9479
Piémont par terre,1,,,9479
Poitou,1,,,9479
Pologne,305,Pologne,,305
Pologne-Genève,1,Pologne-Genève,,1
Ports de la Baltique,1,,,9479
Portugal,15123,Portugal,,15123
Prises et saisies,1305,Prises et saisies,,1305
Prusse,4649,Prusse,,4649
Prusse – par mer,2,,,9479
Riga,3,,,9479
Rio de la Plata,14,Rio de la Plata,,14
Rome et Venise,2,,,9479
Rotterdam,6,,,9479
Rouen,1,Rouen,,1
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume de Sardaigne,5658,Royaume de Sardaigne,,5658
Royaume de Sardaigne – par mer,2,,,9479
Royaume de Sardaigne – par terre,2,,,9479
Russie,6549,Russie,,6549
Saint-Domingue,5564,Saint-Domingue,,5564
Saint-Jean de Luz,9,,,9479
Saint-Thomas,11,Saint-Thomas,,11
Salonique,5,,,9479
"Salonique, Archipel et Satali",17,,,9479
Sardaigne,2040,Sardaigne,,2040
Savoie,12043,Savoie,,12043
Savoie et Piémont,11303,Savoie et Piémont,,11303
Sénégal,318,Sénégal,,318
Sénégal français,9,,,9479
Sidon,5,,,9479
Sidon et Acre,15,,,9479
Smyrne,35,,,9479
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,,,9479
Strasbourg,1,,,9479
Suède,11112,Suède et ses colonies,,11285
Suède et ses colonies,173,Suède et ses colonies,,11285
Suisse,13801,Suisse,,13801
Tobago,740,Tobago,,740
Tobago et Sainte-Lucie,2,,,9479
Toscane,636,Toscane,,636
Tripoli de Syrie,15,,,9479
Trois Évêchés,614,Trois Évêchés,,614
Turquie,34,Turquie,,34
Vénézuela,14,Vénézuela,,14
Venise,1912,Venise,,1912
Villes hanséatiques,4750,Villes hanséatiques,,4750
Voitures diverses,2,Voitures diverses,,2
Ypres,1,Ypres,,1
