marchandises_simplification,provenance_nord_américaine,details_provenance,obsolete
agrès et bâtiments de mer,,,non
agrès et embarcations,,,non
agrès et voile de navire,,,non
agrès et voiles de navire,,,oui
aigles,,,non
aigre de cèdre,,,non
aigre de cidre,,,non
aigre de vitriol,,,non
aigrettes,,,non
aigrettes de fil d'or et d'argent,,,non
aigrettes de soie,,,non
aigrettes de soie et argent,,,non
aigrettes et bavolets,,,non
aiguières d'étain,,,non
aiguilles,,,non
aiguilles à boîtes,,,non
aiguilles à coudre,Hors Amérique du Nord,,non
aiguilles à ralingue,,,non
aiguilles à tabac,,,non
aiguilles à toile,,,non
aiguilles à voile,,,non
aiguilles d'emballage,,,non
aiguilles de mercerie fine,,,non
aiguilles epars de sapin,,,non
aiguilles et épingles,,,non
aiguilles et épingles de mercerie fine,,,non
aiguilles et mercerie fine,,,non
aiguilles grosses,,,non
ail,,,non
ailes,,,non
ailes de fléaux,,,non
ailes de moulins,,,non
ailor,,,non
ails,,,non
ails à fauches,,,non
ails blancs à casser,,,non
aimant,,,non
ains à pêcher,,,non
ains et lignes à pêcher,,,non
airain,,,non
airain non ouvré,,,non
ajustements,,,non
ajustements de femme,,,non
ajustements de soie,,,non
alambics,,,non
alambics d'étain,,,non
alambics de cuivre,,,non
alambics de terre,,,non
alana,,,non
alazar,,,non
albâtre,,,non
albâtre brut,,,non
albâtre et marbre brut et poli,,,non
albâtre moulé poli ou sculpté,,,non
alcalis autre que natron et soude,,,non
alcalis salin,,,non
alènes,,,non
alibanies,,,non
alizari,,,non
alizari et garance,Hors Amérique du Nord,,non
alizari sèche,,,non
alkermés,,,non
alkermès en grains,,,non
allaya,,,non
alleaux,,,non
allemande de poil,,,non
allumettes,,,non
allumettes à vin,,,non
allumettes de coton,,,non
allumettes de mêche soufrée,,,non
allumettes droguées,,,non
allumettes épicée,,,non
allumettes opérées et soufrées,,,non
allumettes soufrées,,,non
almagro ou crayon rouge,,,non
almanachs,,,non
almanachs brochés,,,non
almanachs en blancs,,,non
almanachs enjolivés,,,non
almanachs reliés,,,non
aloès,,,non
aloès cabalin,,,non
aloès commun,,,non
aloès et opium,,,non
aloès hépatique,,,non
aloès moyen,,,non
aloiset,,,non
alose,,,non
alose fumée,,,non
alose salée,,,non
aloues,,,non
alouettes,,,non
alpargate,,,non
alphabets,,,non
alpiste,,,non
alpiste et millet,,,non
alquifoux,,,non
alquifoux en galène,,,non
alquifoux et mine de plomb,,,non
alquifoux mine de plomb ou graphite,,,non
alquifoux ou mine de plomb,,,non
alquifoux sable plombifère,,,non
alquitra,,,non
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,,,non
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,,,oui
alto basses contrebasses guitare lyres violes violons,,,non
alto basses contrebasses guitares lyres violes violons,,,oui
alto bassons guitare violons,,,non
alto bassons guitares violons,,,oui
aluchiabanis,,,non
alun,Hors Amérique du Nord,,non
alun autre que brûlé ou calciné,,,non
alun bon,,,non
alun brûlé,,,non
alun commun,,,non
alun de roche,,,non
alun de Rome,,,non
alun de Rome fin rosé,,,non
alun de Rouen,,,non
alun de Surde,,,non
alun du Levant,,,non
alun en dracy,,,non
alun gâté,,,non
alun ordinaire,,,non
alvés,,,non
amadou,,,non
amadou et agaric amadouvier,,,non
amandes,,,non
amandes à la praline,,,non
amandes amères,,,non
amandes arachis noisettes noix noyaux,,,non
amandes cassée,,,non
amandes cassées,,,non
amandes cassées ou en coque,,,non
amandes courtes,,,non
amandes douces,,,non
amandes en coque,,,non
amandes et figue et raisin,Hors Amérique du Nord,,non
amandes et pelures et prunes et raisin,,,non
amandes et pruneaux,,,non
amandes et raisin sec,,,non
amandes et raisin sec et savon,,,non
amandes et savon,,,non
amandes et sucre,,,non
amandes et verdet,,,non
amandes et vert-de-gris,,,oui
amandes fraîches,,,non
amandes longues,,,non
amandes mondées,,,non
amandes sèches,,,non
amandes sèches et figue sèche et ???,,,non
amandes sèches et figue sèche et raisin sec,,,non
amaril,,,non
ambrain à grande barrique,,,non
ambre,,,non
ambre brut,,,non
ambre carabé,,,non
ambre carabé jaune,,,non
ambre et corail,,,non
ambre gris,,,non
ambre gris castoréum civette musc,,,oui
ambre jaune,Hors Amérique du Nord,,non
ambre moulu,,,non
amer,,,non
amer de laine,,,non
amertis,,,non
ami de toilé,,,non
amidon,,,non
amidon en grains,,,non
amidon et poudre à poudrer,,,non
ammoniac,,,non
ammoniac et sel,,,non
ammonium,,,non
amomum,,,non
amomum et fèves de tonka et noix de ravensara,,,non
amomum verum,,,non
amurca,,,non
anabasse,,,non
anacardes,,,non
anacoste,,,non
ananas,,,non
ananas confit,Hors Amérique du Nord,,non
ananas et pommes de grenade,,,non
ananas planté,Hors Amérique du Nord,,non
anatomie,,,non
anches de tonneaux,,,non
anchois,,,non
anchois câpres et olives,,,non
anchois câpres etc.,,,non
anchois câpres olives,,,non
anchois et boutargue,,,non
anchois et câpres,,,non
anchois et sardes,,,non
anchois et sardines,,,non
anchois mariné,,,non
anchois mariné et salé,,,non
anchois salé et mariné,,,non
anchois salés,,,non
anchois salés et marinés,,,non
ancres,,,non
ancres de chaudon,,,non
ancres de fer,,,non
ancres de fer à chaudrons,,,non
ancres de fer au-dessus de 250 kilogrammes,,,non
ancres de fer de 250 kilogrammes et au-dessous,,,non
ancres de fer et embarcations,,,non
ancres et embarcations,,,non
ancres et grappins de fer,,,non
ancres gravelées,,,non
ancres vides,,,non
ancres vieilles vides,,,non
andolium,,,non
andouilles,,,non
andouillette,,,non
ânes,,,non
ânes et ânesses,,,non
ânes et mulets,,,non
ânesses,,,non
angélique,,,non
angélique du Rozème,,,non
anguilles,Hors Amérique du Nord,,non
anguilles et truites,,,non
anguilles fraîches,,,non
anguilles marinées,,,non
anguilles salées,Hors Amérique du Nord,,non
anille,,,non
animaux,,,non
anis,,,non
anis et rac et rhum etc.,,,non
anis et sucre,,,non
anis étoilé,,,oui
anis vert,,,non
anis vert à distiller,,,non
anisette,,,non
anisette au fiasque,,,non
anisette de Bordeaux,,,non
anneau de fer,,,non
anneaux de cuivre,,,non
ânon,,,non
anspects,,,non
anspects de 3 à 4 pieds,,,non
anspects de bois,,,non
anspects de sapin,,,non
antale,,,non
antale et cauris,,,non
antchibanis,,,non
antenelle,,,non
antennes,,,non
antennes et mâts de bateaux,,,non
antimoine,,,non
antimoine cru,,,non
antimoine métallique et sulfuré,,,non
antimoine préparé,,,non
antofle,,,non
antofle de girofle,,,non
apasier,,,non
apier,,,non
apios,,,non
apparaux et bâtiments de mer,,,non
apprêtée à toiler les livres,,,non
apprêtée pour parchemins,,,non
arachis olives fraîches,,,non
arains,,,non
arak,,,non
arbalètes,,,non
arbalètrrie et cartes marines,,,non
arbres,,,non
arbres à fruits,,,non
arbres à planter,,,non
arbres d' ???,,,non
arbres d'auban,,,non
arbres de sapin,,,non
arbres et arbrisseaux,,,non
arbres et arbrisseaux à fruits,,,non
arbres et arbrisseaux sauvages,,,non
arbres et arbustes,,,non
arbres et plants,,,non
arbres fruitiers,,,non
arbres marronniers à planter,,,non
arbres tilleul,,,non
arbrisseaux,,,non
arbustes,,,non
arcanette,,,non
arcanie,,,non
arcanson,,,non
arcanum duplicatum,,,non
archets de violons,,,non
archets et violon,,,non
archiabanis,,,non
arçons de bas de bois,,,non
arçons de bois,,,non
arçons de selles,,,non
ardoise,,,non
ardoise à piler,,,non
ardoise commune,,,non
ardoise dite chérubin et à mortier,,,non
ardoise dite grande voisine,,,non
ardoise dite moyenne voisine,,,non
ardoise dite petite voisine,,,non
ardoise dite voisine grande moyenne et petite,,,non
ardoise en carreaux,,,non
ardoise en carreaux et d'1 pied carré,,,non
ardoise en carreaux ou en table,,,non
ardoise en livret,,,non
ardoise encadrée,,,non
ardoise encadrée et en livret,,,non
ardoise non travaillée,,,non
ardoise pour fenêtre,,,non
ardoise pour toiture,,,non
ardoise pour toiture au kilogramme,,,non
ardoise pour toiture au nombre,,,non
ardoise verte,,,non
ardoises,,,oui
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,Hors Amérique du Nord,,non
argent,,,non
argent battu,,,non
argent battu et en feuille,,,non
argent battu filé laminé et tiré,,,non
argent brisé et en lingots et en masses,,,non
argent brûlé,Hors Amérique du Nord,,non
argent brut,,,non
argent brut en lingot et en masse ouvrages détruits,,,non
argent carragoux,,,non
argent en barils,,,non
argent en barres,,,non
argent en lingots,,,non
argent en lingots par Calais,,,non
argent et d'or,,,oui
argent et or,Hors Amérique du Nord,,non
argent et or billon,,,non
argent faux,,,non
argent faux en fil cantilles etc.,,,non
argent faux et or faux,,,non
argent faux et or faux traits,,,non
argent fin,,,non
argent monnayé et nogat d'or,,,non
argent talari,,,non
argent vif,,,non
argenterie,Hors Amérique du Nord,,non
argenterie épée,,,non
argenterie et bijouterie,,,non
argenterie et bijouterie et orfèvrerie,,,non
argenterie et orfévrerie,,,oui
argenterie et orfèvrerie,,,non
argenterie et orfèvrerie vermeil,,,non
argenterie neuve,,,non
argenterie vieille,Hors Amérique du Nord,,non
argile et terre pour engrais,,,non
aristoloche,,,non
armement de tables,,,non
armes,,,non
armes à feu,,,non
armes à feu de guerre,,,non
armes à feu de guerre et de traite,,,non
armes à feu de guerre portatives,,,non
armes à feu de luxe,,,non
armes à feu de luxe ou de traite,,,non
armes à feu de munitions,,,non
armes à feu de munitions fines,,,non
armes à feu de traite,,,non
armes à feu et artillerie,,,non
armes à feu et de traite,,,non
armes autres que de guerre à feu,,,non
armes autres que de guerre blanches,,,non
armes blanches,,,non
armes blanches de guerre,,,non
armes blanches de guerre et de traite,,,non
armes blanches de luxe,,,non
armes blanches de luxe ou de traite,,,non
armes blanches de traite,,,non
armes de chasse ou de luxe à feu,,,non
armes de chasse ou de luxe blanches,,,non
armes de guerre,,,non
armes et artillerie artillerie en canons pierriers espingoles et mortiers,,,non
armes et munitions,,,non
armes lames,,,non
armes remontrances,,,non
armoires,,,non
armoires ayant servi,,,non
armoires d'acajou,,,non
armoires de bois de noyer,,,non
armoires de bois des Indes,,,non
armoires de chêne,,,non
armoires de chêne ornée,,,non
armoires de noyer,,,non
armoires de sapin,,,non
armoires vieilles,,,non
armoisin,,,non
armure de fer,,,non
armure vieille,,,non
arpois,,,non
arquebuse,,,non
arrangas,,,non
arrosoirs,,,non
arrosoirs de bois,,,non
arrosoirs de cuivre,,,non
arrosoirs de fer-blanc,,,non
arrosoirs de sapin,,,non
arrowroot,,,non
arséniate de potasse,,,non
arsenic,,,non
arsenic métallique,,,non
artichauts,,,non
artichauts champignons et truffes,,,non
artichauts confits,,,non
artichauts frais,,,non
artichauts marinés,,,non
artichauts secs,,,non
artifice,,,non
artifice fusées etc.,,,non
artillerie,,,non
asa fœtida,,,non
asperges,,,non
asperges et scorsonères,,,non
asphaltum,,,non
assiette,,,non
assiette de Biarritz,,,non
assiette de bois,,,non
assiette de faïence,,,non
assiette de porcelaine,,,non
assiette de terre,,,non
assiette et plats de terre,,,non
asustum,,,non
attaches de cuivre,,,non
attelles de colliers,,,non
aube,,,non
auchinoise,,,non
auclimes,,,non
auf,,,non
auf ouvré,,,non
auf travaillé,,,non
auf travaillé en cordes,,,non
augemy,,,non
auges,,,non
auges de carreaux,,,non
augustins,,,non
aurcsats,,,non
aurcsats étoile,,,non
aussière,,,non
autel de marbre,,,non
avelanèdes,,,non
avelines,,,non
avelines et noisettes sèches,,,non
avelines faînes noisettes noix,,,non
avelines noisettes noix,,,non
avirons,Hors Amérique du Nord,,non
avirons bruts,,,non
avirons de 12 pieds,,,non
avirons de 18 pieds,,,non
avirons de 30 pieds,,,non
avirons de 5 pieds,,,non
avirons de 8 à 12 pieds,,,non
avirons de bois,,,non
avirons de bois façonné,,,non
avirons et perches de bois,,,non
avirons et rames bruts,,,non
avirons et rames de bois,,,non
avirons et rames de bois façonné,,,non
avirons et rames façonnés,,,non
avirons polis,,,non
avoine,,,non
avoine en gerbes,,,non
avoine et haricots,,,non
avoine et orge etc.,,,non
avoine mondée,,,non
avoine moulée,,,non
azur,,,non
azur commun,,,non
azur et bleu de Prusse,,,non
azur et cobalt,,,non
azur fin,,,non
azur gros,,,non
babassis,,,non
babouches,,,non
babouches de maroquin,,,non
bacs d'1 aime,,,non
bacs de pierre,,,non
bacs de pierre bleue,,,non
bacs de pierre d'1 aime,,,non
bacs de pierre de 4 aimes,,,non
bacs de pierre de demi d'aime,,,non
bacs de pierre de moindre classe,,,non
bacs de pierre de trois-quart d'aime,,,non
bacs de pierre en dessous d'1 aime,,,non
bacs de pierre en dessus d'1 aime,,,non
badiane,,,non
badiane ou anis étoilé de la Chine,,,oui
baffetas,,,non
baffetas blanc,,,non
baffetas bleu,,,non
baffetas des Indes,,,non
bagarot,,,non
bagues,,,non
bagues à pierres fausses,,,non
bagues d'argent,,,non
bagues d'or,,,non
bagues de cuivre,,,non
bagues de laiton,,,non
bagues de verre,,,non
baguettes,,,non
baguettes à chandelle,,,non
baguettes à étoffe,,,non
baguettes d'étain,,,non
baguettes de bois,,,non
baguettes de bois doré,,,non
baguettes de cuivre,,,non
baguettes de fer à fusil,,,non
baguettes de fusil,,,non
bahuts,,,non
baie de laurier,,,non
baies de buis,,,non
baies de genévrier à distiller,,,non
baies de genièvre,,,non
baignes,,,non
baignoires,Hors Amérique du Nord,,non
baignoires d'acajou,Hors Amérique du Nord,tropiques,non
baignoires de cuivre,,,non
baignoires de sapin,,,non
baignoires de tôle,,,non
baigots,,,non
baillarge,,,non
bailles,,,non
baïonnettes,,,non
bajutapau,,,non
bajutapau commun,,,non
bajutapau des Indes,,,non
bakeliau et stockfis,,,oui
balais,,,non
balais communs,,,non
balais coupés,,,non
balais de bois,,,non
balais de brandes,,,non
balais de bruyère,,,non
balais de chanvre,,,non
balais de crin,,,non
balais de foyer,,,non
balais de jonc,,,non
balais de jonc petits,,,non
balais de laine à laver les planchers,,,non
balais de millet,,,non
balais de paille,,,non
balais de paille de riz,,,non
balais de palme,,,non
balais de palme petits,,,non
balais de plumes,,,non
balais de poil,,,non
balais de riz,,,non
balais de soie,,,non
balais de soie de porc,,,non
balais de toile,,,non
balais du roi,,,non
balais fins,,,non
balais grands de palme,,,non
balais ou ramons,,,non
balais petits,,,non
balance,,,non
balance à la romaine,,,non
balance de bois,,,non
balance de cuivre,,,non
balance de cuivre jaune,,,non
balance de fer,,,non
balance et romaine,,,non
balance et ses poids,,,non
balance ou fléaux en fer,,,non
balance petite,,,non
balance romaine,,,non
balauste,,,non
balcon de fer,,,non
baleine,Hors Amérique du Nord,,non
baleine apprêtée,,,non
baleine coupée,Hors Amérique du Nord,,non
baleine coupée en fanon,,,non
baleine coupée et en fanon,,,non
baleine de sarde,,,non
baleine en fanon,Hors Amérique du Nord,,non
baleine non sciée,,,non
balles,,,non
balles à jouer,,,non
balles d'osier,,,non
balles de fer et canons de fer,,,non
balles de fer uni,,,non
balles de plomb,,,non
balles et dragées de plomb,,,non
balles vides,,,non
balustres,,,non
bambous,,,non
banastron,,,non
banc à couper la paille,,,non
banc de sapin,,,non
bandages,,,non
bandages de peaux,,,non
bandages pour soldats,,,non
bandanas des Indes,,,non
bandanas et mousselines et Nankin de soieries des Indes,,,oui
bandeaux,,,non
banderoles,,,non
banderoles de cuir,,,non
bandes de cabrouets de fer,,,non
bandes de fer,,,non
bandes de fer à tombereaux,,,non
bandes de roues de fer,,,non
bandes de tulles brodées,,,non
bandoulières garnies d'argent,,,non
bannes et bannettes d'osier,,,non
bannettes d'osier,,,non
bannettes de cuir,,,non
bannière de Damas,,,non
banquette,,,non
baquelets,,,non
baquets,,,non
baquets de cuivre,,,non
baquets de fer,,,non
baquets de rechange,,,non
baquets de sapin,,,non
baracan,,,non
baracan aune,,,non
baracan de laine,,,non
baracan de laine et de poil,,,non
baracan de poil,,,non
barail,,,oui
baras,,,non
barat de laine,,,non
baratte,,,non
barbançons,,,non
barbançons de grès,,,non
barbançons de terre,,,non
barbe de baleine,Hors Amérique du Nord,,non
barbotine,,,non
barbotines,,,oui
barbues,,,non
barbues couvertes d'étamine,,,non
barbues de grès,,,non
barbues de terre,,,non
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,,,non
bardes,,,non
barilleau,,,non
barilleau de laine,,,non
barils,,,non
barils à poudre,,,non
barils ancres,,,non
barils de chêne,,,non
barils de sapin,,,non
barils de tonnelier,,,non
barils de vin de ???,,,non
barils neufs,,,non
barils pour saler sardines,,,non
barils vides,,,non
barils vides de sardines,,,non
barois,,,non
baromètre,,,non
barques,,,non
barques démontées,,,non
barques en bottes,,,non
barquettes,,,non
barquettes et nacelles,,,non
barquettes vieilles,,,non
barreau de laine,,,non
barreaux,,,non
barreaux de bois,,,non
barreaux de bois et planches de bois,,,non
barreaux de sapin,,,non
barreaux de sapin de 10 pieds,,,non
barreaux neufs,,,non
barres,,,non
barres à nègre,,,non
barres carrées de fer étiré,,,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,,,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,,,non
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,,,non
barres carrées de fer étiré de moins de 15 millimètres,,,non
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,,,non
barres d'acier,,,oui
barres d'anspects,,,non
barres d'anspects et barres de cabestan,,,non
barres d'étain,,,non
barres d'étain ou blocs d'étain,,,non
barres de barrique,,,non
barres de bois,,,non
barres de cabestan,,,non
barres de chêne petites,,,non
barres de cuivre,,,non
barres de fer,Hors Amérique du Nord,,non
barres de fer à frire,,,non
barres de fer blanc,,,non
barres de fer étiré,,,non
barres de futel,,,non
barres de guindeau,,,non
barres de sapin,,,non
barres de sapin de 3 à 4 pieds,,,non
barres et verges de fer,,,non
barres maître-fond,,,non
barres plates de fer étiré,,,non
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,,,non
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,,,non
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,,,non
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,,,non
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,,,non
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,,,non
barres pour édifices,,,non
barres pour édifiées,,,non
barres rondes de fer étiré,,,non
barres rondes de fer étiré de 15 millimètres et plus de diamètres,,,non
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,,,non
barres rondes de fer étiré de moins de 15 millimètres de diamètres,,,non
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,,,non
barrettes,,,non
barrettes de cuivre,,,non
barrettes de fer,,,non
barriques,,,non
barriques cerclées et fer,,,non
barriques neuves,,,non
barriques vides,,,non
barriques vides vieilles,,,non
barriques vieilles,,,non
bas,,,non
bas à crin d'or et de soie,,,non
bas communs,,,non
bas d'estam,,,non
bas d'estame,,,non
bas d'estame fins,,,non
bas de bourre de soie,,,non
bas de castor,,,non
bas de chamois,,,non
bas de coton,,,non
bas de coton 1300 lignes,,,non
bas de coton en paires,,,non
bas de coton et bas de fil,,,non
bas de coton et bas de fil et bas de soie,,,non
bas de coton et bas de fil par paires,,,non
bas de coton et bas de soie,,,non
bas de coton et bonnets de coton,,,non
bas de coton et laine,,,non
bas de coton pour enfant,,,non
bas de coton pour femme,,,non
bas de coton pour homme,,,non
bas de fil,,,non
bas de fil commun,,,non
bas de fil et bas de laine,,,non
bas de fil et bonnets,,,non
bas de fil et pour femme,,,non
bas de fil et pour homme,,,non
bas de fil par paires,,,non
bas de filoselle,,,non
bas de fleuret,,,non
bas de laine,,,non
bas de laine 40 lignes,,,non
bas de laine communs,,,non
bas de laine écarlate,,,non
bas de laine et bas de soie,,,non
bas de laine et bonnets de laine,,,non
bas de laine et gants de laine et bonnets de laine,,,non
bas de laine fin,,,non
bas de laine grossière,,,non
bas de laine par paires,,,non
bas de mulet,,,non
bas de peau,,,non
bas de poil,,,non
bas de poil et bas de soie,,,non
bas de Saint-Mexant,,,non
bas de Ségovie,,,non
bas de soie,,,non
bas de soie à coins d'argent,,,non
bas de soie à coins d'or,,,non
bas de soie à coins d'or et bas de soie à coins d'argent,,,non
bas de soie brodés,,,non
bas de soie brodés d'or,,,non
bas de soie brodés d'or et bas de soie brodés d'argent,,,non
bas de soie et gants de soie,,,non
bas de soie pour femme,,,non
bas de soie pour homme,,,non
bas de soie vieux,,,non
bas de toile,,,non
bas des îles et des Indes,,,non
bas des Indes de poil,,,non
bas drapés,,,non
bas écriers,,,non
bas et bonnets de castor,,,non
bas et bonnets de fil,,,non
bas et gants de poil,,,non
bas gants et bonnets de laine fil et coton,,,non
bas grossiers,,,non
bas-relief de marbre,,,non
basanes,,,non
basanes apprêtées,,,non
basanes de mouton,,,non
basanes de mouton tannées,,,non
basanes de veau,,,non
basanes tannées,,,non
basanes tannées de veau,,,non
basannes,,,oui
basannes de mouton tannées,,,oui
basannes de veau tannées,,,oui
basannes tannées,,,oui
basin,,,non
basin blanc,,,non
basin blanc de 10 aunes,,,non
basin blanc de 11 aunes,,,non
basin blanc de fil,,,non
basin brodé,,,non
basin brodé de soie,,,non
basin brodé de soie et d'or,,,non
basin clair mêlé de coton,,,non
basin commun,,,non
"basin de Bruges écru en pièce de 11,5 aunes",,,non
basin de coton et basin de fil,,,non
basin de coton et Nankin de coton,,,oui
basin de coton et Nankin de coton et toile de coton,,,oui
basin de fil,,,non
basin de fil et de coton,,,non
basin de lin,,,non
basin de lin peint,,,non
basin de Rouen,,,non
basin de soie,,,non
basin de Troyes,,,non
basin des Indes,,,non
basin en aunes,,,non
basin et Nakin,,,oui
basin et Nankin,,,non
basin peint,,,non
basin pièces de 11 aunes,,,non
basin pièces de 15 aunes,,,non
basin rayé,,,non
basin tout coton,,,non
basin uni et Nankin uni,,,non
basse,,,non
basse de viole,,,non
basse et bassons,,,non
basse et chapeaux chinois,,,non
bassin à barbe,,,non
bassin d'étain,,,non
bassin de barbe,,,non
bassin de cuivre,Hors Amérique du Nord,,non
bassin de cuivre jaune,,,non
bassin de cuivre jaune et chaudron de cuivre jaune,,,non
bassin de fer,,,non
bassin de marbre,,,non
bassines de cuivre,,,non
bassons,,,non
bassons clarinettes,,,non
bast et écorce d'arbre et foularde,,,non
batanomes,,,non
batanony,,,non
bâtardes,,,non
batavia,,,non
bateaux,,,non
bateaux à pêcher,,,non
bateaux neufs,,,non
bâtiments de mer,,,non
bâtiments de mer et apparaux,,,oui
bâtiments de mer vieux,,,non
batiste,,,non
batiste blanche,,,non
batiste de fil,,,non
batiste de lin,,,non
batiste de lin et linon de lin,,,non
batiste écrue,,,non
batiste et fine,,,oui
batiste et linog,,,non
batiste et linon,,,non
batiste et linon de chanvre,,,non
batiste et linon de chanvre et de lin,,,non
batiste fine,,,non
batiste grise,,,non
batiste Lorient,,,non
batonge de bois,,,non
bâtons,,,non
bâtons à chandelle,,,non
bâtons à étendre le linge,,,non
bâtons à faire cercles,,,non
bâtons à gaffes,,,non
bâtons à lave-place,,,non
bâtons à pinceaux,,,non
bâtons d'éventails d'ivoire,,,non
bâtons de bois,,,non
bâtons de bois peints,,,non
bâtons de bois vernis,,,non
bâtons de brosses à goudronner,,,non
bâtons de cap,,,non
bâtons de colliers,,,non
bâtons de fer,,,non
bâtons de gabares,,,non
bâtons de gabares de 14 à 16 pieds,,,non
bâtons de gaffe,,,non
bâtons de pompes,,,non
bâtons de sapin,,,non
bâtons de sapin de 4 pieds de long,,,non
bâtons peints,,,non
bâtons vernis,,,non
bâts,,,non
bâts à matelas,,,non
bâts d'ânes,,,non
bâts de chevaux,,,non
bâts de mulets,,,non
batterie d'airain,,,non
batterie de cuisine,,,non
batterie de cuivre,,,non
batterie de cuivre à cuisine,,,non
batterie de cuivre de fuine,,,non
batterie de fer,,,non
batterie de fer à cuisine,,,non
batterie de fer-blanc,,,non
battes à fer,,,non
battoirs,,,non
battoirs à lessive,,,non
