goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
agrès,12,not a medical product,non,13,7,530318
agrès apparaux de navire et embarcations,6,not a medical product,non,6,7,530318
agrès apparaux et embarcations,2,not a medical product,non,2,7,530318
agrès de navire et jeux de voile,10,not a medical product,non,10,7,530318
agrès et apparaux,1,not a medical product,non,1,7,530318
agrès et apparaux d'or navire,1,,non,,,1431
agrès et bâtiments de mer,10,not a medical product,non,10,7,530318
agrès et embarcations,8,not a medical product,non,8,7,530318
agrès et voile de navire,1,not a medical product,non,1,7,530318
aigles,1,not a medical product,non,1,0a,530318
aigre de cèdre,9,not a medical product,non,9,5,530318
aigre de cidre,5,not a medical product,non,5,5,530318
aigre de vitriol,17,narrow medical product,non,16,5,24146
aigrettes,10,not a medical product,non,8,8,530318
aigrettes de fil d'or et d'argent,1,not a medical product,non,1,8,530318
aigrettes de soie,1,not a medical product,non,1,8,530318
aigrettes de soie et argent,1,not a medical product,non,1,8,530318
aigrettes et bavolets,1,not a medical product,non,1,8,530318
aiguières d'étain,1,not a medical product,non,1,6j,530318
aiguilles,211,not a medical product,non,192,6j,530318
aiguilles à boîtes,1,not a medical product,non,1,6j,530318
aiguilles à coudre,61,not a medical product,non,47,6j,530318
aiguilles à coudre voiles,1,not a medical product,non,,,530318
aiguilles à ralingue,1,not a medical product,non,1,7,530318
aiguilles à tabac,1,not a medical product,non,1,6j,530318
aiguilles à toile,1,not a medical product,non,1,6j,530318
aiguilles d'emballage,2,not a medical product,non,2,6j,530318
aiguilles de mercerie fine,1,not a medical product,non,1,6j,530318
aiguilles epars de sapin,1,not a medical product,non,1,9b,530318
aiguilles et épingles,1,not a medical product,non,1,6j,530318
aiguilles et épingles de mercerie fine,3,not a medical product,non,3,6j,530318
aiguilles et mercerie fine,2,not a medical product,non,2,6j,530318
aiguilles grosses,1,not a medical product,non,1,6j,530318
aiguilles pour voile,37,not a medical product,non,26,7,530318
aiguillettes,1,not a medical product,non,,,530318
ail,2,not a medical product,non,2,0a,530318
ailes,4,not a medical product,non,3,9c,530318
ailes de fléaux,1,not a medical product,non,1,6j,530318
ailes de moulins,1,not a medical product,non,1,7,530318
ailor,1,not a medical product,non,1,???,530318
ails,204,not a medical product,non,184,0a,530318
ails à fauches,1,not a medical product,non,1,9c,530318
ails blancs à casser,1,not a medical product,non,1,0a,530318
aimant,1,not a medical product,non,1,9c,530318
ains à pêcher,43,not a medical product,non,23,8,530318
ains et lignes à pêcher,2,not a medical product,non,2,8,530318
airain,6,not a medical product,non,6,6j,530318
airain non ouvré,4,not a medical product,non,4,6j,530318
ajustements,37,not a medical product,non,36,8,530318
ajustements de femme,5,not a medical product,non,4,8,530318
ajustements de soie,2,not a medical product,non,1,8,530318
alambics,17,not a medical product,non,16,7,530318
alambics d'étain,16,not a medical product,non,7,7,530318
alambics de cuivre,2,not a medical product,non,1,7,530318
alambics de terre,1,not a medical product,non,1,7,530318
alana,2,not a medical product,non,2,???,530318
alazar,2,not a medical product,non,2,???,530318
albâtre,5,not a medical product,non,5,2,530318
albâtre brut,3,not a medical product,non,3,2,530318
albâtre et marbre brut et poli,21,not a medical product,non,21,9b,530318
albâtre moulé poli ou sculpté,6,not a medical product,non,6,8,530318
alcalis autre que natron et soude,2,not a medical product,non,2,5,530318
alcalis salin,1,not a medical product,non,1,5,530318
alènes,5,not a medical product,non,5,6j,530318
alibanies,96,not a medical product,non,49,6g,530318
alizari,16,not a medical product,non,15,2,530318
alizari et garance,165,not a medical product,non,165,2,530318
alizari sèche,7,not a medical product,non,7,2,530318
alkermés,1,narrow medical product,non,1,2,24146
alkermès en grains,23,narrow medical product,non,4,2,24146
allaya,84,not a medical product,non,68,6i,530318
alleaux,1,not a medical product,non,1,???,530318
allemande de poil,10,not a medical product,non,10,6e,530318
allumettes,54,not a medical product,non,51,8,530318
allumettes à vin,29,not a medical product,non,5,8,530318
allumettes de coton,1,not a medical product,non,1,8,530318
allumettes de mêche soufrée,1,not a medical product,non,1,8,530318
allumettes droguées,3,not a medical product,non,3,8,530318
allumettes épicée,2,not a medical product,non,1,8,530318
allumettes opérées et soufrées,1,not a medical product,non,1,8,530318
allumettes soufrées,12,not a medical product,non,11,8,530318
almagro ou crayon rouge,1,not a medical product,non,1,8,530318
almanachs,1,not a medical product,non,1,8,530318
almanachs brochés,2,not a medical product,non,2,8,530318
almanachs en blancs,1,not a medical product,non,1,6c,530318
almanachs enjolivés,1,not a medical product,non,1,8,530318
almanachs reliés,1,not a medical product,non,1,8,530318
aloès,229,narrow medical product,non,208,2,24146
aloès cabalin,6,narrow medical product,non,5,2,24146
aloès commun,1,narrow medical product,non,1,2,24146
aloès et opium,2,narrow medical product,non,2,2,24146
aloès hépatique,1,narrow medical product,non,1,2,24146
aloès moyen,2,narrow medical product,non,2,2,24146
aloiset,1,not a medical product,non,1,???,530318
alose,2,not a medical product,non,1,0a,530318
alose fumée,1,not a medical product,non,1,0a,530318
alose salée,5,not a medical product,non,1,0a,530318
aloues,1,narrow medical product,non,1,???,24146
alouettes,4,not a medical product,non,3,0a,530318
alpargate,37,not a medical product,non,36,8,530318
alphabets,1,not a medical product,non,1,8,530318
alpiste,20,not a medical product,non,12,2,530318
alpiste et millet,9,not a medical product,non,9,9b,530318
alquifoux,479,not a medical product,non,414,2,530318
alquifoux en galène,2,not a medical product,non,2,2,530318
alquifoux et mine de plomb,36,not a medical product,non,36,2,530318
alquifoux mine de plomb ou graphite,23,not a medical product,non,23,2,530318
alquifoux ou mine de plomb,1,not a medical product,non,1,2,530318
alquifoux sable plombifère,1,not a medical product,non,1,2,530318
alquitra,3,not a medical product,non,3,2,530318
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,not a medical product,non,2,8,530318
alto basses contrebasses guitare lyres violes violons,2,not a medical product,non,2,8,530318
alto bassons guitare violons,3,not a medical product,non,3,8,530318
aluchiabanis,2,not a medical product,non,1,???,530318
alun,1873,narrow medical product,non,1643,5,24146
alun à cordonnier,1,narrow medical product,non,,,24146
alun autre que brûlé ou calciné,2,narrow medical product,non,2,5,24146
alun bon,2,narrow medical product,non,2,5,24146
alun brûlé,1,narrow medical product,non,1,5,24146
alun commun,1,narrow medical product,non,1,5,24146
alun de glace,1,narrow medical product,non,,,24146
alun de roche,5,narrow medical product,non,5,5,24146
alun de Rome,3,narrow medical product,non,3,5,24146
alun de Rome fin rosé,1,narrow medical product,non,1,5,24146
alun de Rouen,2,narrow medical product,non,2,5,24146
alun de Surde,2,narrow medical product,non,2,5,24146
alun du Levant,1,narrow medical product,non,1,5,24146
alun en dracy,1,narrow medical product,non,1,5,24146
alun en rame,1,,non,,,1431
alun gâté,1,narrow medical product,non,1,5,24146
alun ordinaire,1,narrow medical product,non,1,5,24146
alvés,2,not a medical product,non,1,???,530318
amadou,227,not a medical product,non,190,2,530318
amadou et agaric amadouvier,7,not a medical product,non,7,2,530318
amandes,1206,not a medical product,non,940,0a,530318
amandes à la praline,4,not a medical product,non,4,0a,530318
amandes amères,1,not a medical product,non,1,0a,530318
amandes arachis noisettes noix noyaux,2,not a medical product,non,2,0a,530318
amandes cassée,6,not a medical product,non,6,0a,530318
amandes cassées,383,not a medical product,non,338,0a,530318
amandes cassées ou en coque,3,not a medical product,non,3,0a,530318
amandes courtes,1,not a medical product,non,1,0a,530318
amandes douces,4,not a medical product,non,3,0a,530318
amandes en coque,298,not a medical product,non,269,0a,530318
amandes et figue et raisin,24,not a medical product,non,24,0a,530318
amandes et pelures et prunes et raisin,1,not a medical product,non,1,0a,530318
amandes et pruneaux,2,not a medical product,non,1,0a,530318
amandes et raisin sec,2,not a medical product,non,1,0a,530318
amandes et raisin sec et savon,1,not a medical product,non,1,0a,530318
amandes et savon,2,not a medical product,non,1,0a,530318
amandes et sucre,1,not a medical product,non,1,0a,530318
amandes et verdet,1,not a medical product,non,1,0a,530318
amandes fraîches,1,not a medical product,non,1,0a,530318
amandes longues,1,not a medical product,non,1,0a,530318
amandes mondées,2,not a medical product,non,2,0a,530318
amandes sèches,64,not a medical product,non,64,0a,530318
amandes sèches et figue sèche et ???,9,not a medical product,non,9,0a,530318
amandes sèches et figue sèche et raisin sec,135,not a medical product,non,135,0a,530318
amaril,1,not a medical product,non,1,???,530318
amarine,1,not a medical product,non,,,530318
ambrain à grande barrique,1,not a medical product,non,1,???,530318
ambre,42,not a medical product,non,37,2,530318
ambre blanc,1,not a medical product,non,,,530318
ambre brut,1,not a medical product,non,1,2,530318
ambre carabé,21,narrow medical product,non,18,2,24146
ambre carabé jaune,2,narrow medical product,non,2,2,24146
ambre en grains,1,,non,,,1431
ambre et corail,1,not a medical product,non,1,2,530318
ambre gris,36,not a medical product,non,33,2,530318
ambre jaune,72,narrow medical product,non,65,2,24146
ambre moulu,2,not a medical product,non,2,2,530318
ameny,1,narrow medical product,non,,,24146
amer,3,not a medical product,non,3,0a,530318
amer de laine,1,not a medical product,non,1,6e,530318
amertis,4,not a medical product,non,1,6g,530318
ameublement,2,not a medical product,non,,,530318
ameublement de chitte,1,not a medical product,non,,,530318
ami de toilé,1,not a medical product,non,1,???,530318
amidon,1165,not a medical product,non,1007,5,530318
amidon alun,1,,non,,,1431
amidon en grains,1,not a medical product,non,1,2,530318
amidon en poudre,1,,non,,,1431
amidon et poudre à poudrer,1,not a medical product,non,1,5,530318
ammoniac,7,narrow medical product,non,7,2,24146
ammoniac et sel,21,narrow medical product,non,21,2,24146
ammonium,5,narrow medical product,non,2,2,24146
amomum,11,narrow medical product,non,8,2,24146
amomum et fèves de tonka et noix de ravensara,2,narrow medical product,non,2,2,24146
amomum verum,2,narrow medical product,non,2,2,24146
amurca,4,not a medical product,non,4,???,530318
anabasse,120,not a medical product,non,74,???,530318
anabasse ; bajutapau,3,,non,,,1431
anabasse ; corat ; nicaneas ; platille,2,,non,,,1431
anacardes,2,narrow medical product,non,2,2,24146
anacoste,3,not a medical product,non,2,6e,530318
ananas,1,not a medical product,non,1,0b,530318
ananas confit,2,not a medical product,non,2,0b,530318
ananas et pommes de grenade,1,not a medical product,non,1,0b,530318
ananas planté,1,not a medical product,non,1,2,530318
anatomie,1,not a medical product,non,1,8,530318
anatose,3,not a medical product,non,,,530318
anches de tonneaux,2,not a medical product,non,2,6b,530318
anchois,851,not a medical product,non,717,0a,530318
anchois câpres et olives,10,not a medical product,non,4,0a,530318
anchois câpres etc.,1,not a medical product,non,1,0a,530318
anchois câpres olives,1,not a medical product,non,1,0a,530318
anchois et boutargue,13,not a medical product,non,13,0a,530318
anchois et câpres,5,not a medical product,non,1,0a,530318
anchois et sardes,1,not a medical product,non,1,0a,530318
anchois et sardines,5,not a medical product,non,5,0a,530318
anchois mariné,6,not a medical product,non,6,0a,530318
anchois mariné et salé,39,not a medical product,non,39,0a,530318
anchois salé et mariné,2,not a medical product,non,2,0a,530318
anchois salés,5,not a medical product,non,5,0a,530318
anchois salés et marinés,9,not a medical product,non,9,0a,530318
ancres,5,not a medical product,non,4,7,530318
ancres de chaudon,1,not a medical product,non,1,???,530318
ancres de fer,552,not a medical product,non,448,7,530318
ancres de fer à chaudrons,1,not a medical product,non,1,???,530318
ancres de fer au-dessus de 250 kilogrammes,1,not a medical product,non,1,7,530318
ancres de fer de 250 kilogrammes et au-dessous,1,not a medical product,non,1,7,530318
ancres de fer et embarcations,2,not a medical product,non,2,7,530318
ancres et embarcations,5,not a medical product,non,5,7,530318
ancres et grappins de fer,1,not a medical product,non,1,9b,530318
ancres gravelées,1,not a medical product,non,1,???,530318
ancres neuves,3,not a medical product,non,,,530318
ancres vides,4,not a medical product,non,3,9c,530318
ancres vieilles,1,,non,,,1431
ancres vieilles vides,1,not a medical product,non,1,9c,530318
andolium,2,not a medical product,non,1,0a,530318
andouilles,43,not a medical product,non,31,0a,530318
andouillette,1,not a medical product,non,1,0a,530318
ânes,175,not a medical product,non,161,0a,530318
ânes et ânesses,9,not a medical product,non,8,0a,530318
ânes et mulets,11,not a medical product,non,11,0a,530318
ânesses,1,not a medical product,non,1,0a,530318
angélique,28,narrow medical product,non,28,2,24146
angélique du Rozème,1,narrow medical product,non,1,2,24146
anguilles,23,not a medical product,non,21,0a,530318
anguilles et truites,1,not a medical product,non,1,0a,530318
anguilles fraîches,1,not a medical product,non,1,0a,530318
anguilles marinées,1,not a medical product,non,1,0a,530318
anguilles salées,22,not a medical product,non,19,0a,530318
anille,1,not a medical product,non,1,6j,530318
animaux,5,not a medical product,non,5,0a,530318
anis,520,not a medical product,non,423,0a,530318
anis et rac et rhum etc.,2,not a medical product,non,1,1,530318
anis et sucre,1,not a medical product,non,1,0a,530318
anis vert,93,not a medical product,non,74,0a,530318
anis vert à distiller,2,not a medical product,non,2,0a,530318
anisette,113,not a medical product,non,93,1,530318
anisette au fiasque,6,not a medical product,non,6,1,530318
anisette de Bordeaux,2,not a medical product,non,2,1,530318
anneau de cuivre,1,,non,,,1431
anneau de fer,2,not a medical product,non,2,6j,530318
anneaux de cuivre,1,not a medical product,non,1,6j,530318
anneaux de fer,1,,non,,,1431
ânon,2,not a medical product,non,2,0a,530318
anspects,124,not a medical product,non,112,7,530318
anspects de 3 à 4 pieds,1,not a medical product,non,1,7,530318
anspects de bois,27,not a medical product,non,22,7,530318
anspects de sapin,1,not a medical product,non,1,7,530318
antale,3,not a medical product,non,3,???,530318
antale et cauris,1,not a medical product,non,1,???,530318
antchibanis,9,not a medical product,non,3,???,530318
antenelle,1,not a medical product,non,1,???,530318
antennes,2,not a medical product,non,2,9c,530318
antennes et mâts de bateaux,1,not a medical product,non,1,7,530318
antimoine,221,narrow medical product,non,194,2,24146
antimoine cru,27,narrow medical product,non,26,2,24146
antimoine métallique et sulfuré,2,not a medical product,non,2,5,530318
antimoine préparé,2,narrow medical product,non,2,5,24146
antimoine vert,1,not a medical product,non,,,530318
antofle,1,not a medical product,non,1,0b,530318
antofle de girofle,11,not a medical product,non,9,0b,530318
apasier,1,not a medical product,non,1,???,530318
apier,3,not a medical product,non,3,6b,530318
apios,7,not a medical product,non,7,2,530318
apparaux et bâtiments de mer,38,not a medical product,non,38,7,530318
apprêtée à toiler les livres,1,not a medical product,non,1,6h,530318
apprêtée pour parchemins,1,not a medical product,non,1,6c,530318
arachis olives fraîches,1,not a medical product,non,1,0a,530318
arains,6,not a medical product,non,3,???,530318
arak,17,not a medical product,non,7,1,530318
arbalètes,1,not a medical product,non,1,8,530318
arbalètrrie et cartes marines,1,not a medical product,non,1,8,530318
arbres,7,not a medical product,non,6,2,530318
arbres à fruits,2,not a medical product,non,2,2,530318
arbres à planter,142,not a medical product,non,134,2,530318
arbres châtaignier,4,not a medical product,non,,,530318
arbres d' ???,1,not a medical product,non,1,2,530318
arbres d'auban,1,not a medical product,non,1,2,530318
arbres de sapin,1,not a medical product,non,1,2,530318
arbres et arbrisseaux,25,not a medical product,non,25,2,530318
arbres et arbrisseaux à fruits,1,not a medical product,non,1,2,530318
arbres et arbrisseaux sauvages,1,not a medical product,non,1,2,530318
arbres et arbustes,6,not a medical product,non,6,2,530318
arbres et plants,1,not a medical product,non,1,2,530318
arbres fruitiers,87,not a medical product,non,62,2,530318
arbres marronniers à planter,1,not a medical product,non,1,2,530318
arbres nains,1,not a medical product,non,,,530318
arbres tilleul,3,not a medical product,non,3,2,530318
arbrisseaux,9,not a medical product,non,6,2,530318
arbustes,3,not a medical product,non,3,2,530318
arcanette,1,not a medical product,non,1,0a,530318
arcanie,1,not a medical product,non,1,???,530318
arcanson,4,not a medical product,non,4,5,530318
arcanum duplicatum,2,not a medical product,non,2,???,530318
archets de violons,1,not a medical product,non,1,8,530318
archets et violon,1,not a medical product,non,1,8,530318
archiabanis,1,not a medical product,non,1,???,530318
arçons de bas de bois,1,not a medical product,non,1,7,530318
arçons de bois,1,not a medical product,non,1,7,530318
arçons de selles,14,not a medical product,non,12,7,530318
arçons démontés,1,not a medical product,non,,,530318
ardoise,364,not a medical product,non,319,2,530318
ardoise à piler,1,not a medical product,non,1,2,530318
ardoise commune,2,not a medical product,non,1,2,530318
ardoise dite chérubin et à mortier,1,not a medical product,non,1,2,530318
ardoise dite grande voisine,1,not a medical product,non,1,2,530318
ardoise dite moyenne voisine,1,not a medical product,non,1,2,530318
ardoise dite petite voisine,1,not a medical product,non,1,2,530318
ardoise dite voisine grande moyenne et petite,2,not a medical product,non,1,2,530318
ardoise en carreaux,1,not a medical product,non,1,6k,530318
ardoise en carreaux et d'1 pied carré,1,not a medical product,non,1,6k,530318
ardoise en carreaux ou en table,7,not a medical product,non,7,6k,530318
ardoise en livret,1,not a medical product,non,1,6k,530318
ardoise encadrée,1,not a medical product,non,1,6k,530318
ardoise encadrée et en livret,1,not a medical product,non,1,6k,530318
ardoise non travaillée,1,not a medical product,non,1,2,530318
ardoise pour fenêtre,6,not a medical product,non,5,2,530318
ardoise pour toiture,8,not a medical product,non,8,2,530318
ardoise pour toiture au kilogramme,1,not a medical product,non,1,2,530318
ardoise pour toiture au nombre,2,not a medical product,non,2,2,530318
ardoise verte,1,not a medical product,non,1,2,530318
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,not a medical product,non,9,9b,530318
arelles de baleine,1,,non,,,1431
argent,11,not a medical product,non,10,9a,530318
argent battu,1,not a medical product,non,1,9a,530318
argent battu et en feuille,2,not a medical product,non,2,9a,530318
argent battu filé laminé et tiré,3,not a medical product,non,3,9a,530318
argent brisé et en lingots et en masses,1,not a medical product,non,1,9a,530318
argent brûlé,2,not a medical product,non,1,9a,530318
argent brut,1,not a medical product,non,1,9a,530318
argent brut en lingot et en masse ouvrages détruits,2,not a medical product,non,2,9a,530318
argent carragoux,2,not a medical product,non,2,9a,530318
argent en barils,1,not a medical product,non,1,9a,530318
argent en barres,3,not a medical product,non,2,9a,530318
argent en lingots,18,not a medical product,non,15,9a,530318
argent en lingots par Calais,1,not a medical product,non,1,9a,530318
argent et or,238,not a medical product,non,237,9a,530318
argent et or billon,1,not a medical product,non,1,9a,530318
argent faux,9,not a medical product,non,9,8,530318
argent faux en fil cantilles etc.,2,not a medical product,non,1,8,530318
argent faux et or faux,53,not a medical product,non,53,8,530318
argent faux et or faux traits,1,not a medical product,non,1,8,530318
argent fin,1,not a medical product,non,1,9a,530318
argent monnayé et nogat d'or,4,not a medical product,non,4,9a,530318
argent talari,0,not a medical product,oui,4,9a,530318
argent vif,3,not a medical product,non,3,5,530318
argenterie,732,not a medical product,non,667,8,530318
argenterie épée,7,not a medical product,non,7,8,530318
argenterie et bijouterie,14,not a medical product,non,14,8,530318
argenterie et bijouterie et orfèvrerie,1,not a medical product,non,1,8,530318
argenterie et orfèvrerie,122,not a medical product,non,122,8,530318
argenterie et orfèvrerie vermeil,37,not a medical product,non,37,8,530318
argenterie neuve,4,not a medical product,non,1,8,530318
argenterie vieille,12,not a medical product,non,9,8,530318
argile et terre pour engrais,15,not a medical product,non,15,2,530318
arins,1,not a medical product,non,,,530318
aristoloche,68,narrow medical product,non,60,2,24146
armement de tables,3,not a medical product,non,3,8,530318
armes,251,not a medical product,non,246,8,530318
armes à feu,367,not a medical product,non,331,8,530318
armes à feu de guerre,2,not a medical product,non,2,8,530318
armes à feu de guerre et de traite,1,not a medical product,non,1,8,530318
armes à feu de guerre portatives,2,not a medical product,non,2,8,530318
armes à feu de luxe,4,not a medical product,non,4,8,530318
armes à feu de luxe ou de traite,3,not a medical product,non,3,8,530318
armes à feu de munitions,2,not a medical product,non,2,8,530318
armes à feu de munitions fines,4,not a medical product,non,4,8,530318
armes à feu de traite,1,not a medical product,non,1,8,530318
armes à feu et artillerie,1,not a medical product,non,1,8,530318
armes à feu et de traite,1,not a medical product,non,1,8,530318
armes à feu et fusils,1,not a medical product,non,,,530318
armes armureries,1,not a medical product,non,,,530318
armes autres que de guerre à feu,1,not a medical product,non,1,8,530318
armes autres que de guerre blanches,1,not a medical product,non,1,8,530318
armes blanches,201,not a medical product,non,187,8,530318
armes blanches de guerre,1,not a medical product,non,1,8,530318
armes blanches de guerre et de traite,1,not a medical product,non,1,8,530318
armes blanches de luxe,2,not a medical product,non,2,8,530318
armes blanches de luxe ou de traite,3,not a medical product,non,3,8,530318
armes blanches de traite,1,not a medical product,non,1,8,530318
armes de chasse ou de luxe à feu,2,not a medical product,non,2,8,530318
armes de chasse ou de luxe blanches,2,not a medical product,non,2,8,530318
armes de guerre,2,not a medical product,non,2,8,530318
armes différentes,1,not a medical product,non,,,530318
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,not a medical product,non,3,8,530318
armes et munitions,9,not a medical product,non,9,8,530318
armes lames,1,not a medical product,non,1,8,530318
armes remontrances,1,not a medical product,non,1,8,530318
armoires,57,not a medical product,non,49,8,530318
armoires ayant servi,1,not a medical product,non,1,8,530318
armoires d'acajou,12,not a medical product,non,6,8,530318
armoires de bois,1,not a medical product,non,,,530318
armoires de bois de noyer,1,not a medical product,non,1,8,530318
armoires de bois de sapin peintes,1,not a medical product,non,,,530318
