source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
"Angleterre, Ecosse et Irlande",1,"Angleterre, Écosse et l'Irlande",1,
"Angleterre, en vertu de licences",1,Angleterre en vertu de licences,2,
Angletterre,7,Angleterre,15161,
Anlgeterre,1,Angleterre,15161,
Archypel,1,Archipel,1,
Asie,1,Asie,1,
Autriche,1,Autriche,1,
Barbarie,21,Barbarie,28,
Barbarie dans l'Ocean,4,Barbarie dans l'Océan,4,
Barbarie dans l'Ocean et des Iles françoises de l'amerique,28,Barbarie dans l'Océan et Îles françaises d'Amérique,28,
Barbaris,2,Barbarie,28,
bayonne,64,Bayonne,379,
Bayonne,315,Bayonne,379,
Bayonne et Dunkerque,2,Bayonne et Dunkerque,2,
Bayonne et Lorien,1,Bayonne et Lorient,3,
Bayonne et Lorient,1,Bayonne et Lorient,3,
Bayonne et Petites Isles,1,Bayonne et Petites Îles,1,
"Bayonne, Petites Isles, Dunkerque et Lorient",1,"Bayonne, Dunkerque, Lorient et Petites Îles",1,
bayonneillisible,1,Bayonne et ?,1,
bayonnelorient,1,Bayonne et Lorient,3,
bayonnemarseille,3,Bayonne et Marseille,3,
Belgique,1,Belgique,1,
Besançon,1,Besançon,1,
Bilbao,1,Bilbao,1,
bouillon,2,Bouillon,108,
Bouillon,106,Bouillon,108,
Bourbon,25,Bourbon,25,
Bourbon et Caïenne,1,Bourbon-Cayenne,1,
Breme,1,Brême,2,
Bremen,1,Brême,2,
"Bremen, Lubeck, Norvège et villes anséatiques",1,"Brême, Lubeck, Norvège et villes hanséatiques",1,
Brésil,1,Brésil,1,
Bruges,1,Bruges,1,
Cadix,1,Cadix,1,
Cadix et Bilbao,1,Bilbao et Cadix,1,
Canada,1,Canada,1,
Candie,1,Candie,1,
Cannée et Candie,3,Cannée et Candie,3,
Cayenne,1,Cayenne,1,
Cayenne et Guyane,53,Cayenne-Guyane,877,
Cayenne et Guyanne,824,Cayenne-Guyane,877,
Chili,1,Chili,1,
Chine,1,Chine,2,
Chypres,12,Chypre,12,
Clermontois,71,Clermontois,71,
Colonie française de l'Amérique,239,Colonies françaises de l'Amérique,239,
Colonies,1,Colonies,1,
Colonies d'Amerique,1,Colonies d'Amérique,1,
Colonies d'Amérique et de l'Inde,1,Colonies d'Amérique et de l'Inde,2,
Colonies de l'Amérique et de l'Inde,1,Colonies d'Amérique et de l'Inde,2,
Colonies françaises,1,Colonies françaises,2,
Colonies Françaises,1,Colonies françaises,2,
Colonies françaises ; au-delà du Cap,1,Colonies françaises au-delà du Cap,2,
Colonies françaises ; en-deça du Cap,1,Colonies françaises en-deça du Cap,2,
Colonies françaises (hors Guiane et Sénégal),1,Colonies françaises hors Guyane et Sénégal,1,
Colonies françaises (hors Sénégal et Caïenne),1,Colonies françaises hors Sénégal et Cayenne,1,
Colonies françaises au-delà du Cap,1,Colonies françaises au-delà du Cap,2,
Colonies françaises d'Amérique,1,Colonies françaises d'Amérique,3,
Colonies françaises de Bourbon,1,Colonie française de Bourbon,1,
Colonies Françaises de l'Amérique,1,Colonies françaises d'Amérique,3,
Colonies Françaises des deux Indes,1,Colonies françaises des deux Indes,1,
"Colonies francaises en Amérique,Asie et afrique",1,"Colonies françaises en Amérique, Asie et Afrique",2,
"Colonies francaises en Asie,Afrique en Amérique",1,"Colonies françaises en Amérique, Asie et Afrique",2,
Colonies françaises en-deça du Cap,1,Colonies françaises en-deça du Cap,2,
Colonies françaises et Amérique,1,Colonies françaises d'Amérique,3,
Colonies françaises et hollandaises,1,Colonies françaises-hollandaises,2,
Colonies Françaises et Hollandaises,1,Colonies françaises-hollandaises,2,
Colonies françaises et pays hors d'Europe,1,Colonies françaises et pays hors d'Europe,1,
Colonies françaises et Saint Domingue,1,Colonies françaises et Saint-Domingue,1,
Commerce de la Compagnie des Indes,1,Commerce de la Compagnie des Indes,1,
Comptoirs étrangers,1,Comptoirs étrangers,1,
Comptoirs français,1,Comptoirs français,1,
Comptoirs français et étrangers,1,Comptoirs français et étrangers,1,
Constantinople,17,Constantinople,17,
Corse,123,Corse,123,
Côtes d'Afrique,1,Côtes d'Afrique,1,
"Côtes occidentales d'Afrique, Senegal, Guinée",1,"Côtes occidentales d'Afrique, Sénégal, Guinée",1,
Cuba et P.R.,1,Cube-Porto Rico,1,
d'Angleterre,307,Angleterre,15161,
D'Angleterre,10,Angleterre,15161,
d'Espagne,456,Espagne,39275,
D'Espagne,27,Espagne,39275,
d'Hollande,572,Hollande,52781,
D'hollande,159,Hollande,52781,
Danemarc,165,Danemark,5729,
Danemarck,282,Danemark,5729,
Danemarck et Norvege,10,Danemark-Norvège,274,
Danemarck et Norvège,2,Danemark-Norvège,274,
Danemarck et Norwège,1,Danemark-Norvège,274,
danemark,1,Danemark,5729,
Danemark,3077,Danemark,5729,
Danemark et Norvège,104,Danemark-Norvège,274,
danemarketnorvge,151,Danemark-Norvège,274,
Dannemarc,375,Danemark,5729,
Dannemarck,403,Danemark,5729,
Dannemarck et Norvège,4,Danemark-Norvège,274,
Dannemark,673,Danemark,5729,
Dannomarck,14,Danemark,5729,
Dannrmarc,8,Danemark,5729,
De Danemarck,17,Danemark,5729,
de Danemark,174,Danemark,5729,
De Danemark,34,Danemark,5729,
de Dannemark,18,Danemark,5729,
de Flandre,5,Danemark,5729,
de Hollande,715,Hollande,52781,
De Hollande,148,Hollande,52781,
"De l'Amérique, Isles Antilles ou Colonies françaises",1,Amérique (Antilles ou Colonies Françaises),1,
"De l'Europe, y compris le Levant et la Barbarie et les États-Unis d'Amérique",1,"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",1,
de la Flandre,4,Flandre,2619,
de la Suede,23,Suède,6434,
De la Suede,17,Suède,6434,
de la Suède,102,Suède,6434,
De Levant,49,Levant,14180,
de pêche étrangère,1,Pêche étrangère,1,
de pêche française,1,Pêche française,1,
de Portugal,99,Portugal,7273,
De Portugal,12,Portugal,7273,
de Russie,148,Russie,2322,
de Suède,78,Suède,6434,
Denmark,1,Danemark,5729,
des Etats unis de l'Amérique,12,États-Unis d'Amérique,870,
Des Iles françoises de l'Amérique et de Terre-Neuve,29,Îles françaises de l'Amérique et de Terre-Neuve,290,
des Indes,36,Indes,609,
Des Indes,1,Indes,609,
des Indes orientales,163,Indes Orientales,1564,
Des Isles,6,Îles,271,
des Isles fraçaises de l'Amerique,4,Îles françaises de l'Amérique,37468,
des Isles françaises de l'Amérique,33,Îles françaises de l'Amérique,37468,
des Isles francoises de l'Amérique,9,Îles françaises de l'Amérique,37468,
des Isles françoises de l'Amérique,145,Îles françaises de l'Amérique,37468,
Des Isles Françoises de l'Amérique & de Terreneuve,25,Îles françaises de l'Amérique et de Terre-Neuve,290,
Des Isles françoises de l'amerique et de terre neuve,236,Îles françaises de l'Amérique et de Terre-Neuve,290,
Destination inconnue,1,destination inconnue,3,
Destination Inconnue,1,destination inconnue,3,
Destinations inconnues,1,destination inconnue,3,
Deux-Siciles,1,Deux-Siciles,1,
Donnemarc,30,Danemark,5729,
Drem,1,???,183,
Drum,1,???,183,
Du levant,1,Du Levant,1,
du Nord,239,Nord,16102,
Du nord,22,Nord,16102,
Du Nord qui comprend les villes Anseatiques et la Moscovie,43,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Du Nord qui comprend les villes Anséatiques et la Moscovie,42,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Du nord qui comprend les villes hanséatiques et la moscovie,42,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Du nord qui coprend les cilles anséattiques et la Moscovie,12,Nord qui comprend les villes hanséatiques et la Moscovie,894,
du Portugal,10,Portugal,7273,
dunkerque,543,Dunkerque,716,
Dunkerque,173,Dunkerque,716,
Dunkerque et Bayonne,1,Dunkerque et Bayonne,1,
Dunkerque et Petites Isles,3,Dunkerque et Petites Îles,4,
"Dunkerque, Petites Isles, Lorient, Marseille, Bayonne, Aslace",1,"Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace",1,
dunkerquebayonnemarseille,11,"Dunkerque, Bayonne et Marseille",11,
dunkerquelorientpetitesislesb,1,"Dunkerque, Lorient et Petites Îles",1,
dunkerquemarseille,2,Dunkerque et Marseille,2,
dunkerquepetitesisles,1,Dunkerque et Petites Îles,4,
Durval,1,???,183,
Egypte,28,Egypte,28,
emperend,1,Empereur,41,
empereur,1,Empereur,41,
Empereur,13,Empereur,41,
empire d'Aurtiche,1,Empire d'Autriche,5,
empire d'Autriche,1,Empire d'Autriche,5,
Empire d'autriche,1,Empire d'Autriche,5,
Empire d'Autriche,1,Empire d'Autriche,5,
Empire de Portugal,1,Empire du Portugal,1,
Empire de Russie,1,Empire de Russie,1,
Empire de sardaigne,1,Empire de Sardaigne,2,
Empire de Sardaigne,1,Empire de Sardaigne,2,
Empire Ottoman,1,Empire Ottoman,1,
Empire ottoman et babbarie,1,Empire Ottoman et Barbarie,5,
Empire ottoman et barbarie,1,Empire Ottoman et Barbarie,5,
Empire ottoman et Barbarie,1,Empire Ottoman et Barbarie,5,
Empire Ottoman et barbarie,1,Empire Ottoman et Barbarie,5,
Empire Ottoman et Barbarie,1,Empire Ottoman et Barbarie,5,
Empire ottoman et toscane,1,Empire Ottoman et Toscane,1,
Empoire d'Autriche,1,Empire d'Autriche,5,
Empreur,1,Empereur,41,
Ensperend,1,Empereur,41,
"Entre l'étranger et les ports francs de Bayonne, Saint Jean de Luz, Lorient, Dunkerque et Marseille",1,"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,
Entrepôt et port franc de Livourne,1,Entrepôt et port franc de Livourne,1,
Entrepôts,1,Entrepôt,1,
Epaves et Echouemens,1,Épaves et échouements,3,
Epaves et échouemens,1,Épaves et échouements,3,
Epaves et Echouements,1,Épaves et échouements,3,
Espage,1,Espagne,39275,
espagne,328,Espagne,39275,
Espagne,33998,Espagne,39275,
Espagne - par mer,1,Espagne par mer,1,
Espagne - par terre,1,Espagne par terre,1,
Espagne et Indes Occidentales,87,Espagne et Indes Occidentales,87,
Espagne et les Etats dépendants,151,Espagne et les état en dépendants,191,
Espagne et les Etats en dépendants,1,Espagne et les état en dépendants,191,
Espagne-Portugal,1,Espagne-Portugal,1,
"Espagne, Canaries et Indes Occidentales",1,"Espagne, Canaries et Indes Occidentales",160,
"Espagne, Canaries et Indes Occidentalles",1,"Espagne, Canaries et Indes Occidentales",160,
"Espagne, Canaries et les Indes Occidentales",1,"Espagne, Canaries et Indes Occidentales",160,
"Espagne, Canaries et les Isles Occidentales",1,"Espagne, Canaries et Indes Occidentales",160,
"Espagne, les Canaries et les Indes Occidentales",156,"Espagne, Canaries et Indes Occidentales",160,
Espagnes,11,Espagne,39275,
Espange,1,Espagne,39275,
Etas de l'Allemagne,1,États de l'Allemagne,3,
Etat de Barbarie,143,États de Barbarie,143,
Etat de l'amerique,1,États-Unis d'Amérique,870,
Etat de l'empereur,9,États de l'Empereur,2345,
Etat de l'empreur,1,États de l'Empereur,2345,
Etat du roi de Sardaigne,13,États du roi de Sardaigne,713,
Etat ecclesiastique,1,États ecclésiastiques,179,
Etat Ecclésiastique,77,États ecclésiastiques,179,
Etat ecclesiastiques,1,États ecclésiastiques,179,
Etat Ecclesiastiques,1,États ecclésiastiques,179,
Etat eclesiastique,2,États ecclésiastiques,179,
Etat eclésiastique,2,États ecclésiastiques,179,
Etat Eclésiastique,56,États ecclésiastiques,179,
Etat éclésiastique,7,États ecclésiastiques,179,
Etat Eclesiastiques,1,États ecclésiastiques,179,
Etat eclesiatique,1,États ecclésiastiques,179,
Etat elésiastique,1,États ecclésiastiques,179,
Etat estésiatique,1,États ecclésiastiques,179,
Etat unis d'Amerique,1,États-Unis d'Amérique,870,
Etat Unis d'Amèrique,1,États-Unis d'Amérique,870,
Etat unis de l'amerique,1,États-Unis d'Amérique,870,
Etat Unis de l'Amerique,1,États-Unis d'Amérique,870,
Etat-Unis,2,États-Unis,223,
Etat***,1,États ?,1,
Etats -Unis de l'Amérique,1,États-Unis d'Amérique,870,
Etats barbares,1,Barbarie,28,
Etats d'Allemagne,1,États de l'Allemagne,3,
Etats de barbarie,2,Barbarie,28,
Etats de Barbarie,1,Barbarie,28,
etats de l empereur,1,États de l'Empereur,2345,
Etats de l'Allemagne,1,États de l'Allemagne,3,
etats de l'empereur,1,États de l'Empereur,2345,
Etats de l'empereur,212,États de l'Empereur,2345,
Etats de l'Empereur,175,États de l'Empereur,2345,
Etats de l'Empereur : Allemagne et Flandre,1,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'empereur en Allemagne et en Flandre,1,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'Empereur en Allemagne et Flandre,52,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'empereur en Allemagne et Flandres,1,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'Empereur en Allemagne et Flandres,30,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'empereur et en Allemagne et Flandre,2,États de l'Empereur : Allemagne et Flandre,89,
Etats de l'empereur ou Allemagne et Flandre,2,États de l'Empereur : Allemagne et Flandre,89,
"États de l'Empereur, en Flandre et Allemagne - par mer",1,États de l'Empereur : Allemagne et Flandre – par mer,1,
"États de l'Empereur, en Flandre et Allemagne - par terre",1,États de l'Empereur : Allemagne et Flandre – par terre,1,
etats de l'empreur,1,États de l'Empereur,2345,
Etats de l'évêque de Rome et la république de Venise,1,États de l'évêque de Rome et la république de Venise,1,
Etats de l'Inde,1,États de l'Inde,2,
États de l'Inde,1,États de l'Inde,2,
Etats de Naples,1,État de Naples,1,
Etats de rome,1,États de Rome,2,
Etats de Rome,1,États de Rome,2,
Etats des Barbarie,1,Barbarie,28,
Etats du roi,1,États du roi,1,
Etats du roi de la Sardaigne,24,États du roi de Sardaigne,713,
Etats du roi de Prusse,31,États du roi de Prusse,95,
Etats du Roi de Prusse,58,États du roi de Prusse,95,
États du Roi de Prusse,5,États du roi de Prusse,95,
Etats du roi de sardaigne,189,États du roi de Sardaigne,713,
Etats du roi de Sardaigne,240,États du roi de Sardaigne,713,
Etats du Roi de Sardaigne,153,États du roi de Sardaigne,713,
États du Roi de Sardaigne,92,États du roi de Sardaigne,713,
États du Roi de Sardaigne - par mer,1,États du Roi de Sardaigne - par mer,1,
États du Roi de Sardaigne - par terre,1,États du Roi de Sardaigne - par terre,1,
Etats du roi de Suede,1,États du roi de Suède,5,
Etats du roi de Suède,3,États du roi de Suède,5,
Etats du Roy de Prusse,1,États du roi de Prusse,95,
Etats du roy de Sardaigne,1,États du roi de Sardaigne,713,
Etats du Roy de Sardaigne,1,États du roi de Sardaigne,713,
Etats du Roy de Suède,1,États du roi de Suède,5,
Etats Ecclesiastiques,2,États ecclésiastiques,179,
etats ecclésiastiques,1,États ecclésiastiques,179,
Etats ecclésiastiques,1,États ecclésiastiques,179,
Etats Ecclésiastiques,5,États ecclésiastiques,179,
Etats écclésiastiques,1,États ecclésiastiques,179,
Etats Eclésiastique,1,États ecclésiastiques,179,
Etats eclesiastiques,1,États ecclésiastiques,179,
Etats Eclesiastiques,1,États ecclésiastiques,179,
etats eclésiastiques,1,États ecclésiastiques,179,
Etats eclésiastiques,1,États ecclésiastiques,179,
Etats réunis de l'amérique,3,États-Unis d'Amérique,870,
Etats romains,1,États romains,2,
Etats Romains,1,États romains,2,
Etats Sardes,1,États Sardes,1,
Etats unis,1,États-Unis,223,
Etats Unis,28,États-Unis,223,
Etats unis d'Amerique,1,États-Unis d'Amérique,870,
Etats Unis d'Amérique,4,États-Unis d'Amérique,870,
Etats unis d'amériques,1,États-Unis d'Amérique,870,
Etats unis de l'amerique,26,États-Unis d'Amérique,870,
Etats Unis de l'amerique,28,États-Unis d'Amérique,870,
Etats Unis de l'Amerique,51,États-Unis d'Amérique,870,
Etats unis de l'amérique,1,États-Unis d'Amérique,870,
Etats unis de l'Amérique,107,États-Unis d'Amérique,870,
Etats Unis de l'amérique,128,États-Unis d'Amérique,870,
Etats Unis de l'Amérique,123,États-Unis d'Amérique,870,
Etats-Unis,192,États-Unis,223,
Etats-Unis d'amerique,1,États-Unis d'Amérique,870,
Etats-Unis d'Amerique,1,États-Unis d'Amérique,870,
Etats-unis d'Amérique,1,États-Unis d'Amérique,870,
Etats-Unis d'amérique,1,États-Unis d'Amérique,870,
Etats-Unis d'Amérique,107,États-Unis d'Amérique,870,
États-Unis d'Amérique,14,États-Unis d'Amérique,870,
Etats-Unis de l'Amérique,127,États-Unis d'Amérique,870,
Etats-Unis; Colonies Anglaises,14,États-Unis ; colonies anglaises,14,
etatsdelempereur,1943,États de l'Empereur,2345,
etatsecclesiastiques,13,États ecclésiastiques,179,
etatsunisdamrique,126,États-Unis d'Amérique,870,
eua,1,États-Unis d'Amérique,870,
europe,1,Europe,3,
Europe,1,Europe,3,
Europe et Piémont,1,Europe et Piémont,1,
Evechés,408,Évêchés,547,
Evêchés,139,Évêchés,547,
flan,1,Flandre,2619,
Flan,1,Flandre,2619,
flanc,1,Flandre,2619,
flandre,6,Flandre,2619,
Flandre,1315,Flandre,2619,
Flandre autrichienne,2341,Flandre Autrichienne,2819,
Flandre Autrichienne,367,Flandre Autrichienne,2819,
Flandre et Etats de l'empereur,2,États de l'Empereur et Flandre,2,
Flandre Imperial,5,Flandre impériale,670,
Flandre imperiale,14,Flandre impériale,670,
Flandre Imperiale,69,Flandre impériale,670,
Flandre impériale,24,Flandre impériale,670,
Flandre Impériale,93,Flandre impériale,670,
Flandre imperialle,9,Flandre impériale,670,
Flandre Imperialle,161,Flandre impériale,670,
Flandre Impérialle,128,Flandre impériale,670,
Flandre Imperiallle,54,Flandre impériale,670,
Flandres,1232,Flandre,2619,
France,2,France,14,
france_,2,France,14,
Furde,1,Flandre,2619,
gen,1,Gênes,8186,
Gen7ve,1,Genève,506,
Gène,1,Gênes,8186,
genes,1,Gênes,8186,
Genes,7259,Gênes,8186,
GENES,1,Gênes,8186,
Génes,1,Gênes,8186,
Génés,1,Gênes,8186,
gènes,1,Gênes,8186,
Gènes,170,Gênes,8186,
Gênes,533,Gênes,8186,
"Genes, Milanes, Toscane, Lucques",4,"Gênes, Milan, Toscane et Lucques",4,
Genese,1,Genève,506,
Genèse,4,Genève,506,
geneve,1,Genève,506,
Geneve,286,Genève,506,
Genéve,2,Genève,506,
Genève,149,Genève,506,
Génêve,15,Genève,506,
Gèneve,1,Genève,506,
Geneve -Suisse,1,Genève et Suisse,946,
Genève et Genève et la Genève et la Suisse,5,Genève et Suisse,946,
Geneve et la Suisse,214,Genève et Suisse,946,
Genève et la Suisse,62,Genève et Suisse,946,
gennes,1,Gênes,8186,
Gennes,7,Gênes,8186,
Genses,1,Gênes,8186,
genveetsuisse,6,Genève et Suisse,946,
Gex,13,Gex,13,
Gherliem,1,???,183,
Gibraltar,1,Gibraltar,1,
gnes,41,Gênes,8186,
Göteborg,1,Gothembourg,1,
Grand Duché de Toscane,1,Grand-Duché de Toscane,2,
Grand-Duché de Toscane,1,Grand-Duché de Toscane,2,
Grèce,1,Grèce,1,
Grenerey et Drumptom,1,Guernesey et Dumbarton,1,
Grenezay,1,Guernesey,2,
Gressejay,1,Guernesey,2,
Guadeloupe,1,Guadeloupe,1912,
Guatemala,1,Guatemala,2,
Guatémala,1,Guatemala,2,
Guiane et Sénégal,1,Guyane et Sénégal,1,
Guiane française,1,Guyane française,1,
guinee,1,Guinée,8258,
Guinee,1,Guinée,8258,
guinée,1,Guinée,8258,
Guinée,6897,Guinée,8258,
Guinées,2,Guinée,8258,
Guinnée,1,Guinée,8258,
Guyane anglaise,1,Guyane anglaise,1,
Guynée,108,Guinée,8258,
Guynnée,49,Guinée,8258,
Haïti,1,Haïti,1,
Hambourg,1,Hambourg,1,
"Hambourg, Hollande et Livourne",1,"Hambourg, Hollande et Livourne",1,
Holande,1604,Hollande,52781,
Hollade,181,Hollande,52781,
hollande,1553,Hollande,52781,
Hollande,44088,Hollande,52781,
Holllande,1,Hollande,52781,
Ile français,5,Îles françaises,1997,
Ile français d'amérique,217,Îles françaises de l'Amérique,37468,
ile française,39,Îles françaises,1997,
Ile française des Amériques et du Canada,1314,Îles françaises de l'Amérique et du Canada,1412,
Ile Maurice,1,Île Maurice,1,
Iles,1,Îles,271,
Iles Fraçaise de l'amerique,20,Îles françaises de l'Amérique,37468,
Iles Française de l'amerique,87,Îles françaises de l'Amérique,37468,
Iles Française de l'Amerique,20,Îles françaises de l'Amérique,37468,
Iles française de l'Amérique,24,Îles françaises de l'Amérique,37468,
iles françaises de l'Amerique,14,Îles françaises de l'Amérique,37468,
Iles françaises de l'Amerique,62,Îles françaises de l'Amérique,37468,
Iles Françaises de l'amerique,21,Îles françaises de l'Amérique,37468,
Iles françaises de l'amérique,199,Îles françaises de l'Amérique,37468,
Iles françaises de l'Amérique,354,Îles françaises de l'Amérique,37468,
Iles Françaises de l'amérique,18,Îles françaises de l'Amérique,37468,
Iles Françaises de l'Amérique,241,Îles françaises de l'Amérique,37468,
Iles françaises de l'Amérique et du Canada,39,Îles françaises de l'Amérique et du Canada,1412,
Iles françaises de lamerique,15,Îles françaises de l'Amérique,37468,
Iles françoises de l'Amerique,15,Îles françaises de l'Amérique,37468,
Iles françoises de l'amériques,131,Îles françaises de l'Amérique,37468,
ilesamer,1,Îles de l'Amérique,1,
Inde,49,Indes,609,
Inde ; Comptoir étranger,1,Comptoirs étrangers de l'Inde,4,
Inde ; Comptoirs étrangers,1,Comptoirs étrangers de l'Inde,4,
Inde ; de Bourbon,1,Inde Bourbon,1,
Inde ; des comptoirs étrangers,1,Comptoirs étrangers de l'Inde,4,
Inde ; des établissements français,1,Établissements français de l'Inde,1,
Inde ; Établissements étrangers,1,Comptoirs étrangers de l'Inde,4,
Inde et Amérique,1,Inde et Amérique,1,
Inde et Bourbon,1,Inde et Bourbon,1,
Inde et Colonies françaises,1,Inde et colonies françaises,1,
"Inde, Colonies françaises et Amérique",1,"Inde, colonies françaises et Amérique",1,
indes,1,Indes,609,
Indes,242,Indes,609,
Indes anglaises,1,Indes anglaises,1,
Indes et Moka,1,Indes et Moka,1,
Indes françaises,1,Indes françaises,1,
Indes françaises de l'Amérique,217,Îles françaises de l'Amérique,37468,
Indes hollandaises,1,Indes hollandaises,1,
Indes occidentales,8,Indes Occidentales,39,
Indes Occidentales,31,Indes Occidentales,39,
Indes orientales,587,Indes Orientales,1564,
Indes Orientales,410,Indes Orientales,1564,
Indes Orientalles,1,Indes Orientales,1564,
Irlande,1,Irlande,1,
Irlande et Angleterre,1,Angleterre et Irlande,1,
Isle,1,Îles,271,
Isle de France et de Bourbon,161,Îles de France et de Bourbon,162,
Isle francoises de l'amerique,48,Îles françaises de l'Amérique,37468,
Isle françoises de l'Amérique,60,Îles françaises de l'Amérique,37468,
isles,1,Îles,271,
Isles,262,Îles,271,
Isles de française d'Amérique,27,Îles françaises de l'Amérique,37468,
Isles de France et de Bourbon,1,Îles de France et de Bourbon,162,
"Isles de France, de la Réunion et Mozambique",1,"Îles de France, de la Réunion et Mozambique",1,
Isles de françois d'Amérique,28,Îles françaises de l'Amérique,37468,
Isles de francoises de l'amerique,1293,Îles françaises de l'Amérique,37468,
Isles de l'Amérique et de Terre neuve,18,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles de Rhé,1,Île de Ré,1,
Isles et Colonies françaises,16,Îles et colonies françaises,16,
Isles et Guinee,1,Îles et Guinée,1,
Isles fraçoises de l'amerique,41,Îles françaises de l'Amérique,37468,
Isles françaises,93,Îles françaises,1997,
Isles Françaises,680,Îles françaises,1997,
Isles francaises de l'amerique,734,Îles françaises de l'Amérique,37468,
Isles Francaises de l'amérique,209,Îles françaises de l'Amérique,37468,
Isles françaises de l'amerique,749,Îles françaises de l'Amérique,37468,
Isles françaises de l'Amerique,364,Îles françaises de l'Amérique,37468,
Isles françaises de l'amérique,233,Îles françaises de l'Amérique,37468,
Isles françaises de l'Amérique,216,Îles françaises de l'Amérique,37468,
Isles Françaises de l'Amérique,259,Îles françaises de l'Amérique,37468,
Isles françaises de l'Amérique et pour Terre neuve,93,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françaises de l'ameriques,675,Îles françaises de l'Amérique,37468,
Isles francaises de Lamerique,117,Îles françaises de l'Amérique,37468,
Isles françaises et de l'amérique,185,Îles françaises de l'Amérique,37468,
Isles françois de l'Amérique,152,Îles françaises de l'Amérique,37468,
Isles françoise d'amérique,22,Îles françaises de l'Amérique,37468,
Isles françoise de l' Amerique,1369,Îles françaises de l'Amérique,37468,
Isles francoise de l'amerique,46,Îles françaises de l'Amérique,37468,
Isles françoise de l'amérique,17,Îles françaises de l'Amérique,37468,
Isles françoises,502,Îles françaises,1997,
Isles Françoises,30,Îles françaises,1997,
Isles françoises d'Amerique,16,Îles françaises de l'Amérique,37468,
Isles françoises d'amérique,33,Îles françaises de l'Amérique,37468,
Isles françoises de l'Amarique,37,Îles françaises de l'Amérique,37468,
