simplification,nbr_occurences_simpl,obsolete,luxe_dans_SITC,nbr_occurences_luxe_dans_SITC
acier en bottes pour la Compagnie des Indes,1,non,,796571
acier et clous,9,non,,796571
acier et fer,356,non,,796571
acier fondu en carreaux ou en tôle,5,non,,796571
acier fondu forgé,1,non,,796571
acier forgé,7,non,,796571
acons,1,non,,796571
acons démontés,21,non,,796571
acons démontés en gabare,2,non,,796571
acorus,5,non,,796571
acuirson,0,non,,796571
acume de cuivre,1,non,,796571
adatais,3,non,,796571
affûts,2,non,,796571
affûts de bois,1,non,,796571
affûts de canons,12,non,,796571
affûts de fer,1,non,,796571
affûts de fusils,2,non,,796571
affûts de fûts à canons,1,non,,796571
affûts et canons,1,non,,796571
agaric,156,non,,796571
agaric amadouvier,6,non,,796571
agaric amadouvier brut,4,non,,796571
agaric amadouvier brut et préparé,12,non,,796571
agaric amadouvier préparé,6,non,,796571
agaric brut et préparé,6,non,,796571
agaric de mélèze,4,non,,796571
agaric fin,1,non,,796571
agaric gros,2,non,,796571
agate,10,non,,796571
agate autre que chique et ouvrages,2,non,,796571
agate brute,4,non,,796571
agate en pierres,2,non,,796571
agate fine,1,non,,796571
agate montée,1,non,,796571
agneau,118,non,,796571
agneau commun,7,non,,796571
agneau en vie,6,non,,796571
agneau et cabris,122,non,,796571
agneau mérinos et métis,7,non,,796571
agneau mouton commun,1,non,,796571
agnelines et crottelins,36,non,,796571
agobille,4,non,,796571
agoutals,4,non,,796571
agoutals de bois,5,non,,796571
agrément,15,non,,796571
agrément au quart,3,non,,796571
agrément d'argent,2,non,,796571
agrément d'or,1,non,,796571
agrément d'or et d'argent,5,non,,796571
agrément de fil,9,non,,796571
agrément de fil et de soie,3,non,,796571
agrément de fleur,1,non,,796571
agrément de soie,57,non,haut de gamme,11978
agrément de soie et d'argent,1,non,,796571
agrément de soie or et argent faux,1,non,,796571
agrément pour robes,1,non,,796571
agréments de soie et milleret,13,non,,796571
agréments et milleret,38,non,,796571
agrès,29,non,,796571
agrès apparaux de navire et embarcations,6,non,,796571
agrès apparaux et embarcations,2,non,,796571
agrès de navire et jeux de voile,14,non,,796571
agrès et apparaux,2,non,,796571
agrès et apparaux d'or navire,1,non,,796571
agrès et bâtiments de mer,10,non,,796571
agrès et embarcations,8,non,,796571
agrès et voile de navire,1,oui,,796571
aigles,4,non,,796571
aigre de cèdre,16,non,,796571
aigre de cidre,5,non,,796571
aigre de vitriol,17,non,,796571
aigrettes,10,non,,796571
aigrettes de fil d'or et d'argent,1,non,,796571
aigrettes de soie,1,non,,796571
aigrettes de soie et argent,1,non,,796571
aigrettes de verre,1,non,,796571
aigrettes et bavolets,1,non,,796571
aiguières d'étain,1,non,,796571
aiguilles,351,non,,796571
aiguilles à boîtes,1,non,,796571
aiguilles à coudre,59,non,,796571
aiguilles à coudre voiles,1,non,,796571
aiguilles à ralingue,1,non,,796571
aiguilles à tabac,1,non,,796571
aiguilles à toile,1,non,,796571
aiguilles d'emballage,2,non,,796571
aiguilles de mercerie fine,4,non,,796571
aiguilles epars de sapin,1,non,,796571
aiguilles et épingles,1,non,,796571
aiguilles et épingles de mercerie fine,3,non,,796571
aiguilles et mercerie fine,2,non,,796571
aiguilles grosses,1,non,,796571
aiguilles pour voile,38,non,,796571
aiguillettes,1,non,,796571
aiguillettes de cuir,1,non,,796571
aiguillettes de peau,1,non,,796571
ail,2,oui,,796571
ailes,17,non,,796571
ailes de fléaux,3,non,,796571
ailes de moulins,6,non,,796571
ailor,0,non,,796571
ails,295,non,,796571
ails à fauches,1,non,,796571
ails blancs à casser,1,non,,796571
aimant,1,non,,796571
ains à pêcher,44,non,,796571
ains et lignes à pêcher,2,non,,796571
airain,7,non,,796571
airain non ouvré,4,non,,796571
ajamis,297,non,bas de gamme,17938
ajustements,37,non,,796571
ajustements de femme,5,non,,796571
ajustements de soie,2,non,,796571
alambics,17,non,,796571
alambics d'étain,17,non,,796571
alambics de cuivre,2,non,,796571
alambics de terre,1,non,,796571
alana,2,non,,796571
alazar,2,non,,796571
albâtre,5,non,,796571
albâtre brut,3,non,,796571
albâtre et marbre brut et poli,21,non,,796571
albâtre moulé poli ou sculpté,6,non,,796571
alcalis autre que natron et soudes,2,non,,796571
alcalis salin,1,non,,796571
aleine à cordonnier en acier et en fer,1,non,,796571
alènes,5,non,,796571
alènes à cordonnier en acier et en fer,1,oui,,796571
algue marine,1,non,,796571
ali,0,non,,796571
alibanies,111,non,milieu de gamme,43473
alicot,0,non,,796571
alizari,31,non,,796571
alizari et garance,167,non,,796571
alizari sèche,7,non,,796571
alkermés,1,non,,796571
alkermès en grains,25,non,,796571
allaya,90,non,milieu de gamme,43473
alleaux,1,non,,796571
allumettes,138,non,,796571
allumettes à vin,31,non,,796571
allumettes de coton,1,non,,796571
allumettes de mêche soufrée,1,non,,796571
allumettes droguées,3,non,,796571
allumettes épicée,2,non,,796571
allumettes opérées et soufrées,1,non,,796571
allumettes soufrées,13,non,,796571
almagro ou crayons rouges,2,non,,796571
almanachs,1,non,,796571
almanachs brochés,2,non,,796571
almanachs en blancs,1,non,,796571
almanachs enjolivés,2,non,,796571
almanachs reliés,1,non,,796571
aloès,262,non,,796571
aloès cabalin,5,non,,796571
aloès commun,1,non,,796571
aloès et opium,2,non,,796571
aloès hépatique,1,non,,796571
aloès moyen,2,non,,796571
aloiset,1,non,,796571
alose,8,non,,796571
alose fumée,4,non,,796571
alose salée,5,non,,796571
aloues,1,non,,796571
alouettes,5,non,,796571
alpargate,36,non,,796571
alphabets,1,non,,796571
alpiste,22,non,,796571
alpiste et millet,9,non,,796571
alquifoux,513,non,,796571
alquifoux en galène,2,non,,796571
alquifoux et mine de plomb,36,non,,796571
alquifoux mine de plomb ou graphite,23,non,,796571
alquifoux ou mine de plomb,3,non,,796571
alquifoux sable plombifère,1,non,,796571
alquitra,3,non,,796571
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,,796571
alto basses contrebasses guitare lyres violes violons,2,non,,796571
alto bassons guitare violons,3,non,,796571
alun,2507,non,,796571
alun à cordonnier,1,non,,796571
alun autre que brûlé ou calciné,2,non,,796571
alun bon,2,non,,796571
alun brûlé,1,non,,796571
alun commun,1,non,,796571
alun de glace,1,non,,796571
alun de roche,5,non,,796571
alun de Rome,3,non,,796571
alun de Rome fin rosé,1,non,,796571
alun de Rouen,2,non,,796571
alun de Surde,2,non,,796571
alun du Levant,1,non,,796571
alun en dracy,1,non,,796571
alun en rame,1,non,,796571
alun gâté,1,non,,796571
alun ordinaire,1,non,,796571
alvés,0,non,,796571
amadou,338,non,,796571
amadou et agaric amadouvier,7,non,,796571
amandes,2249,non,,796571
amandes à la praline,4,non,,796571
amandes amères,2,non,,796571
amandes arachis noisettes noix noyaux,2,non,,796571
amandes cassée,7,oui,,796571
amandes cassées,455,non,,796571
amandes cassées ou en coque,3,oui,,796571
amandes cassées ou en coques,3,non,,796571
amandes courtes,102,non,,796571
amandes douces,5,non,,796571
amandes en coque,438,oui,,796571
amandes en coques,458,non,,796571
amandes et figue et raisin,33,non,,796571
amandes et noisettes et raisins secs,2,non,,796571
amandes et noix et noisettes,100,non,,796571
amandes et pelures et prunes et raisin,0,non,,796571
amandes et pruneaux,82,non,,796571
amandes et raisin sec,17,non,,796571
amandes et raisin sec et savon,1,non,,796571
amandes et savon,13,non,,796571
amandes et sucre,25,non,,796571
amandes et verdet,33,non,,796571
amandes fraîches,1,non,,796571
amandes longues,65,non,,796571
amandes mondées,2,non,,796571
amandes sèches,64,non,,796571
amandes sèches et figue sèche et ???,0,non,,796571
amandes sèches et figue sèche et raisin sec,135,non,,796571
amarinage,10,non,,796571
amarine,1,non,,796571
ambrain à grande barrique,1,non,,796571
ambre,43,non,,796571
ambre blanc,1,non,,796571
ambre brut,19,non,,796571
ambre carabé,22,non,,796571
ambre carabé jaune,2,non,,796571
ambre en grains,1,non,,796571
ambre et corail,1,non,,796571
ambre gris,39,non,,796571
ambre jaune,88,non,,796571
ambre moulu,3,non,,796571
amer,3,non,,796571
amer de laine,1,non,,796571
amertis,4,non,,796571
ameublement,2,non,,796571
ameublement de chitte,1,non,,796571
ami de toilé,1,non,,796571
amidon,1316,non,,796571
amidon alun,1,non,,796571
amidon en grains,1,non,,796571
amidon en poudre,1,non,,796571
amidon et poudre à poudrer,132,non,,796571
ammoniac,7,non,,796571
ammoniac et sel,26,non,,796571
ammonium,1,non,,796571
amomum,16,non,,796571
amomum et fèves de tonka et noix de ravensara,2,non,,796571
amomum verum,2,non,,796571
amurca,4,non,,796571
anabasse,122,non,,796571
anabasse bajutapau,3,non,,796571
anabasse corat nicaneas platille,2,non,,796571
anacardes,2,non,,796571
anacoste,3,non,,796571
ananas,12,non,,796571
ananas confit,2,non,,796571
ananas et pommes de grenade,8,non,,796571
ananas planté,1,non,,796571
anatomie,1,non,,796571
anatose,3,non,,796571
anches de tonneaux,2,non,,796571
anchois,1178,non,,796571
anchois câpres et olives,10,non,,796571
anchois câpres etc.,1,non,,796571
anchois câpres olives,1,non,,796571
anchois et boutargue,13,non,,796571
anchois et câpres,5,non,,796571
anchois et câpres et olives,1,non,,796571
anchois et sardes,1,non,,796571
anchois et sardines,5,non,,796571
anchois mariné,10,non,,796571
anchois mariné et salé,39,non,,796571
anchois salé,2,non,,796571
anchois salé et mariné,2,non,,796571
anchois salés,4,non,,796571
anchois salés et marinés,9,non,,796571
ancres,56,non,,796571
ancres de chaudon,1,non,,796571
ancres de fer,590,non,,796571
ancres de fer à chaudrons,1,non,,796571
ancres de fer au-dessus de 250 kilogrammes,1,non,,796571
ancres de fer de 250 kilogrammes et au-dessous,1,non,,796571
ancres de fer et embarcations,2,non,,796571
ancres et embarcations,5,non,,796571
ancres et grappins de fer,1,non,,796571
ancres et ouvrages de fer,2,non,,796571
ancres gravelées,1,non,,796571
ancres neuves,3,non,,796571
ancres vides,3,non,,796571
ancres vieilles,1,non,,796571
ancres vieilles vides,1,non,,796571
andolium,5,non,,796571
andouilles,45,non,,796571
andouillette,1,non,,796571
ânes,182,non,,796571
ânes et ânesses,97,non,,796571
ânes et mulets,11,non,,796571
ânesses,1,non,,796571
angélique,29,non,,796571
angélique du Rozème,1,non,,796571
anguilles,25,non,,796571
anguilles et truites,118,non,,796571
anguilles fraîches,1,non,,796571
anguilles marinées,1,non,,796571
anguilles salées,23,non,,796571
anille,1,non,,796571
animaux,5,non,,796571
anis,589,non,,796571
anis et rac et rhum etc.,101,non,,796571
anis et sucre,1,non,,796571
anis vert,97,non,,796571
anis vert à distiller,2,non,,796571
anisette,113,non,,796571
anisette au fiasque,6,non,,796571
anisette de Bordeaux,2,non,,796571
anneau de cuivre,1,non,,796571
anneau de fer,2,non,,796571
anneaux de cuivre,1,non,,796571
anneaux de fer,1,non,,796571
ânon,2,non,,796571
anspects,118,non,,796571
anspects de 3 à 4 pieds,1,non,,796571
anspects de bois,21,non,,796571
anspects de sapin,1,non,,796571
antale,3,non,,796571
antale et cauris,1,non,,796571
antenelle,1,non,,796571
antennes,2,non,,796571
antennes et mâts de bateaux,1,non,,796571
antimoine,288,non,,796571
antimoine cru,28,non,,796571
antimoine métallique et sulfuré,2,non,,796571
antimoine préparé,2,non,,796571
antimoine vert,1,non,,796571
antofle,1,non,,796571
antofle de girofle,11,non,,796571
apasier,1,non,,796571
apier,3,non,,796571
apios,7,non,,796571
apparaux,1,non,,796571
apparaux et bâtiments de mer,38,non,,796571
apprêtée à toiler les livres,2,non,,796571
apprêtée pour parchemins,2,non,,796571
apprêts,0,non,,796571
arachis olives fraîches,1,non,,796571
arains,6,non,,796571
arak,17,non,,796571
arbalètes,7,non,,796571
arbalètrie et cartes marines,1,non,,796571
arbres,51,non,,796571
arbres à fruits,2,non,,796571
arbres à planter,144,non,,796571
arbres à planter pommiers,1,non,,796571
arbres châtaignier,4,non,,796571
arbres d' ???,1,non,,796571
arbres d'auban,1,non,,796571
arbres de sapin,1,non,,796571
arbres et arbrisseaux,25,non,,796571
arbres et arbrisseaux à fruits,134,non,,796571
arbres et arbrisseaux sauvages,138,non,,796571
arbres et arbustes,6,non,,796571
arbres et plants,1,non,,796571
arbres fruitiers,97,non,,796571
arbres marronniers à planter,1,non,,796571
arbres nains,1,non,,796571
arbres tilleul,3,non,,796571
arbrisseaux,9,non,,796571
arbustes,4,non,,796571
arcanette,1,non,,796571
arcanie,2,non,,796571
arcanson,4,non,,796571
arcanum duplicatum,2,non,,796571
archets de violons,19,non,,796571
archets et violon,1,non,,796571
arçons de bas de bois,1,non,,796571
arçons de bois,1,non,,796571
arçons de selles,24,non,,796571
arçons démontés,1,non,,796571
ardoise,387,non,,796571
ardoise à piler,1,non,,796571
ardoise commune,215,non,,796571
ardoise dite chérubin et à mortier,63,non,,796571
ardoise dite grande voisine,2,non,,796571
ardoise dite moyenne voisine,3,non,,796571
ardoise dite petite voisine,2,non,,796571
ardoise dite voisine grande moyenne et petite,7,non,,796571
ardoise en carreaux,2,non,,796571
ardoise en carreaux et d'1 pied carré,1,non,,796571
ardoise en carreaux ou en table,7,non,,796571
ardoise en livret,7,non,,796571
ardoise encadrée,2,non,,796571
ardoise encadrée et en livret,71,non,,796571
ardoise non travaillée,8,non,,796571
ardoise pour fenêtre,6,non,,796571
ardoise pour toiture,8,non,,796571
ardoise pour toiture au kilogramme,1,non,,796571
ardoise pour toiture au nombre,2,non,,796571
ardoise verte,1,non,,796571
ardoises,3,non,,796571
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,,796571
arelles de baleine,1,non,,796571
argent,12,non,,796571
argent battu,1,non,,796571
argent battu et en feuille,2,non,,796571
argent battu filé laminé et tiré,3,non,,796571
argent brisé et en lingots et en masses,1,non,,796571
argent brûlé,8,non,,796571
argent brut,1,non,,796571
argent brut en lingot et en masse ouvrages détruits,2,non,,796571
argent carragoux,2,non,,796571
argent en barils,2,non,,796571
argent en barres,17,non,,796571
argent en lingots,27,non,,796571
argent en lingots par Calais,1,non,,796571
argent et or,237,non,,796571
argent et or billon,8,non,,796571
argent et or et bijouterie,1,non,,796571
argent faux,9,non,,796571
argent faux en fil cantilles etc.,3,non,,796571
argent faux et or faux,54,non,,796571
argent faux et or faux traits,5,non,,796571
argent fin,1,non,,796571
argent monnayé et nogat d'or,4,non,,796571
argent vif,3,non,,796571
argenterie,736,non,,796571
argenterie épée,7,non,,796571
argenterie et bijouterie,21,non,,796571
argenterie et bijouterie et orfèvrerie,1,non,,796571
argenterie et orfèvrerie,122,non,,796571
argenterie et orfèvrerie vermeil,37,non,,796571
argenterie neuve,4,non,,796571
argenterie vieille,11,non,,796571
argenterie vieille en couverts,1,non,,796571
argenterie vieille et bijouterie d'argent,2,non,,796571
argile et terre pour engrais,15,non,,796571
arins,1,non,,796571
aristoloche,74,non,,796571
armement de tables,3,non,,796571
armes,349,non,,796571
armes à feu,352,non,,796571
armes à feu de guerre,2,non,,796571
armes à feu de guerre et de traite,1,non,,796571
armes à feu de guerre portatives,2,non,,796571
armes à feu de luxe,4,non,,796571
armes à feu de luxe ou de traite,3,non,,796571
armes à feu de munitions,2,non,,796571
armes à feu de munitions fines,4,non,,796571
armes à feu de traite,1,non,,796571
armes à feu et artillerie,1,non,,796571
armes à feu et de traite,1,non,,796571
armes à feu et fusils,1,non,,796571
armes armureries,1,non,,796571
armes autres que de guerre à feu,1,non,,796571
armes autres que de guerre blanches,1,non,,796571
armes blanches,190,non,,796571
armes blanches à feu et artillerie,5,oui,,796571
armes blanches de guerre,1,non,,796571
armes blanches de guerre et de traite,1,non,,796571
armes blanches de luxe,2,non,,796571
armes blanches de luxe ou de traite,3,non,,796571
armes blanches de traite,1,non,,796571
armes de chasse ou de luxe à feu,2,non,,796571
armes de chasse ou de luxe blanches,2,non,,796571
armes de guerre,2,non,,796571
armes différentes,1,non,,796571
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,non,,796571
armes et munitions,9,non,,796571
armes lames,1,non,,796571
armes remontrances,3,non,,796571
armoires,57,non,,796571
armoires ayant servi,1,non,,796571
armoires d'acajou,12,non,,796571
armoires de bois,2,non,,796571
armoires de bois de noyer,1,non,,796571
armoires de bois de sapin peintes,0,non,,796571
armoires de bois des Indes,1,non,,796571
armoires de chêne,9,non,,796571
armoires de chêne ornée,1,non,,796571
armoires de noyer,12,non,,796571
armoires de sapin,4,non,,796571
armoires et commodes,1,non,,796571
armoires vieilles,2,non,,796571
armoisin,47,non,milieu de gamme,43473
armure de fer,1,non,,796571
armure vieille,1,non,,796571
arnas,1,non,,796571
arquebuse,1,non,,796571
arrangas,1,non,,796571
arrosoirs,7,non,,796571
arrosoirs de bois,2,non,,796571
arrosoirs de cuivre,1,non,,796571
arrosoirs de fer,1,non,,796571
arrosoirs de fer-blanc,6,non,,796571
arrosoirs de sapin,1,non,,796571
arrosoirs de terre,1,non,,796571
arrowroot,1,non,,796571
arséniate de potasse,2,non,,796571
arsenic,487,non,,796571
arsenic métallique,6,non,,796571
artichauts,84,non,,796571
artichauts champignons et truffes,2,non,,796571
artichauts confits,70,non,,796571
artichauts frais,19,non,,796571
artichauts marinés,2,non,,796571
artichauts secs,7,non,,796571
artifice,5,non,,796571
artifice fusées etc.,44,non,,796571
artillerie,6,non,,796571
asa fœtida,125,non,,796571
ascrile,1,non,,796571
asperges,9,non,,796571
asperges confites,1,non,,796571
asperges et scorsonères,69,non,,796571
asphaltum,19,non,,796571
aspic en grabeau,1,non,,796571
assiette,2,non,,796571
assiette de Biarritz,1,non,,796571
assiette de bois,1,non,,796571
assiette de faïence,10,non,,796571
assiette de porcelaine,4,non,,796571
assiette de porcelaine des Indes,1,non,,796571
assiette de terre,8,non,,796571
assiette et plats de terre,1,non,,796571
asustum,1,non,,796571
atastes,1,non,,796571
atlas,4,non,,796571
atlas à la feuille d'or,1,non,,796571
atlas et instruments de marine,2,non,,796571
atlas jaspé,1,non,,796571
attaches de cuivre,1,non,,796571
attelles de colliers,14,non,,796571
aube,1,non,,796571
auchinoise,2,non,,796571
auclimes,3,non,,796571
auf,118,non,,796571
augemy,2,non,,796571
auges,3,non,,796571
auges de carreaux,2,non,,796571
augustins,2,non,,796571
aurcsats,1,non,,796571
aurcsats étoile,1,non,,796571
aussière,0,non,,796571
autel de marbre,2,non,,796571
aux travaux du Roi,6,non,,796571
avelanède,62,non,,796571
avelanèdes,59,oui,,796571
avelines,12,non,,796571
avelines et noisettes sèches,22,non,,796571
avelines faînes noisettes noix,1,non,,796571
avelines noisettes noix,5,non,,796571
avirons,675,non,,796571
avirons bruts,17,non,,796571
avirons de 12 pieds,1,non,,796571
avirons de 18 pieds,1,non,,796571
avirons de 30 pieds,1,non,,796571
avirons de 5 pieds,1,non,,796571
avirons de 8 à 12 pieds,1,non,,796571
avirons de bois,60,non,,796571
avirons de bois façonné,1,non,,796571
avirons de chêne,1,non,,796571
avirons de sapin,1,non,,796571
avirons en bois de construction,2,non,,796571
avirons et perches de bois,0,non,,796571
avirons et rames bruts,2,non,,796571
avirons et rames de bois,1,non,,796571
avirons et rames de bois façonné,2,non,,796571
avirons et rames façonnés,5,non,,796571
avirons polis,1,non,,796571
avoine,1036,non,,796571
avoine en gerbes,22,non,,796571
avoine et haricots,1,non,,796571
avoine et orge etc.,1,non,,796571
avoine mondée,1,non,,796571
avoine moulée,1,non,,796571
azur,756,non,,796571
azur commun,339,non,,796571
azur et bleu de Prusse,10,non,,796571
azur et cobalt,20,non,,796571
azur fin,14,non,,796571
azur gros,24,non,,796571
babassis,1,non,,796571
babouches,95,non,,796571
babouches de maroquin,2,non,,796571
bacs d'1 aime,1,non,,796571
bacs de pierre,4,non,,796571
bacs de pierre bleue,2,non,,796571
bacs de pierre d'1 aime,13,non,,796571
bacs de pierre de 4 aimes,2,non,,796571
bacs de pierre de demi d'aime,66,non,,796571
bacs de pierre de moindre classe,85,non,,796571
bacs de pierre de trois-quart d'aime,2,non,,796571
bacs de pierre en dessous d'1 aime,14,non,,796571
bacs de pierre en dessus d'1 aime,54,non,,796571
badiane,62,non,,796571
baffetas,10,non,,796571
baffetas blanc,20,non,milieu de gamme,43473
baffetas bleu,29,non,bas de gamme,17938
baffetas des Indes,4,non,,796571
bafs ?,0,non,,796571
bagages,5,non,,796571
bagarot,1,non,,796571
bagues,5,non,,796571
bagues à pierres fausses,1,non,,796571
bagues d'argent,2,non,,796571
bagues d'or,1,non,,796571
bagues de cuivre,2,non,,796571
bagues de laiton,1,non,,796571
bagues de verre,3,non,,796571
baguettes,6,non,,796571
baguettes à chandelle,1,non,,796571
baguettes à étoffe,2,non,,796571
baguettes d'étain,2,non,,796571
baguettes de bois,1,non,,796571
baguettes de bois doré,1,non,,796571
baguettes de cuivre,3,non,,796571
baguettes de fer à fusil,53,non,,796571
baguettes de fusil,48,non,,796571
bahuts,24,non,,796571
baie de laurier,28,non,,796571
baies de buis,1,non,,796571
baies de genévrier à distiller,2,non,,796571
baies de genièvre,9,non,,796571
baignes,3,non,,796571
baignoires,2,non,,796571
baignoires d'acajou,1,non,,796571
baignoires de cuivre,4,non,,796571
baignoires de sapin,1,non,,796571
baignoires de tôle,2,non,,796571
baigots,1,non,,796571
baillarge,9,non,,796571
bailles,1,non,,796571
baïonnettes,79,non,,796571
bais de bois de chêne,2,non,,796571
bajutapau,252,non,milieu de gamme,43473
bajutapau commun,1,non,,796571
"bajutapau, canelis, etc.",3,non,,796571
balais,155,non,,796571
balais communs,5,non,,796571
balais coupés,3,non,,796571
balais de bois,39,non,,796571
balais de brandes,1,non,,796571
balais de bruyère,12,non,,796571
balais de chanvre,1,non,,796571
balais de crin,12,non,,796571
balais de foyer,1,non,,796571
balais de jonc,51,non,,796571
balais de jonc petits,1,non,,796571
balais de laine à laver les planchers,1,non,,796571
balais de Livourne,18,non,,796571
balais de millet,2,non,,796571
balais de paille,2,non,,796571
balais de paille de riz,6,non,,796571
balais de palme,317,non,,796571
balais de palme petits,2,non,,796571
balais de plumes,3,non,,796571
balais de poil,2,non,,796571
balais de riz,6,non,,796571
balais de soie,7,non,,796571
balais de soie de porcs,18,non,,796571
balais de toile,1,non,,796571
balais du roi,1,non,,796571
balais fins,1,non,,796571
balais grands de palme,3,non,,796571
balais ou ramons,101,non,,796571
balais petits,6,non,,796571
balance,11,non,,796571
balance à la romaine,1,non,,796571
balance complète,1,non,,796571
balance de bois,1,non,,796571
balance de cuivre,8,non,,796571
balance de cuivre jaune,1,non,,796571
balance de fer,4,non,,796571
balance et poids de cuivre,1,non,,796571
balance et romaine,2,non,,796571
balance et ses poids,1,non,,796571
balance ou fléaux en fer,3,non,,796571
balance petite,1,non,,796571
balance romaine,3,non,,796571
balcon de fer,1,non,,796571
baleine,130,non,,796571
baleine apprêtée,1,non,,796571
baleine coupée,793,non,,796571
baleine coupée en fanon,12,non,,796571
baleine coupée et en fanon,12,non,,796571
baleine de sarde,18,non,,796571
baleine en fanon,290,non,,796571
baleine en fanon et de sarde,1,non,,796571
baleine non sciée,75,non,,796571
baleine taillée,2,non,,796571
balles,9,non,,796571
balles à jouer,105,non,,796571
balles d'osier,3,non,,796571
balles de fer et canons de fer,51,non,,796571
balles de fer uni,1,non,,796571
balles de jonc,1,non,,796571
balles de laine,1,non,,796571
balles de palme,1,non,,796571
balles de plomb,9,non,,796571
balles de plumes,1,non,,796571
balles et dragées de plomb,121,non,,796571
balles vides,1,non,,796571
ballons en sapin,1,non,,796571
ballots,69,non,,796571
ballots d'étoffe,1,non,,796571
ballots de joncs,1,non,,796571
ballots de toile,1,non,,796571
balustres,13,non,,796571
bamboches,1,non,,796571
bambous,3,non,,796571
bambous et joncs,2,non,,796571
bambous et joncs forts,5,non,,796571
banastron,1,non,,796571
banc à couper la paille,1,non,,796571
banc de sapin,1,non,,796571
bandages,4,non,,796571
bandages de peaux,5,non,,796571
bandages pour soldats,1,non,,796571
bandanas des Indes,1,non,,796571
bandeaux,4,non,,796571
banderoles,2,non,,796571
banderoles de cuir,2,non,,796571
bandes de cabrouets de fer,3,non,,796571
bandes de charrettes,1,non,,796571
bandes de fer,4,non,,796571
bandes de fer à tombereaux,1,non,,796571
bandes de roues de fer,1,non,,796571
bandes de tulle brodées,1,non,,796571
bandes de tulles brodées,1,oui,,796571
bandoulières garnies d'argent,1,non,,796571
bannes et bannettes d'osier,1,non,,796571
bannettes d'osier,1,non,,796571
bannettes de cuir,1,non,,796571
bannière de Damas,1,non,,796571
banquette,4,non,,796571
baquelets,0,non,,796571
baquets,2,non,,796571
baquets à jeter l'eau,1,non,,796571
baquets de cuivre,5,non,,796571
baquets de fer,1,non,,796571
baquets de rechange,1,non,,796571
baquets de sapin,2,non,,796571
baracan,218,non,bas de gamme,17938
baracan d'Abbeville,1,non,,796571
baracan de laine,15,non,,796571
baracan de laine et de poil,2,non,,796571
baracan de Lille,1,non,,796571
baracan de poil,64,non,milieu de gamme,43473
baracan de renvoi,1,non,,796571
baras,1,non,,796571
barat de laine,1,non,,796571
baratte,1,non,,796571
