exportsimports,pays_grouping,direction,marchandises_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Imports,Allemagne et Pologne (par terre),Charleville,cendre commune,barils,barils,litres,219.85,Doursther page 549
Exports,Allemagne et Pologne (par terre),Charleville,cendre de bois,barils,barils,litres,219.85,Doursther page 549
Imports,États-Unis d'Amérique,,cendre de potasse,barils,barils,litres,219.85,Doursther page 549
Exports,Nord,Nantes,cendre à orfèvre,barils,barils,litres,219.85,Doursther page 549
Imports,Colonies françaises,Rouen,cerneaux,barils,,,,Aucune information trouvée
Imports,Nord,Nantes,chair de morue,barils,,,,Aucune information trouvée
Exports,Espagne,Bayonne,chair salée,barils,,,,Aucune information trouvée
Imports,Flandre et autres états de l'Empereur,Lille,charbon de bois,barils,barils,kg,13.8888888889,Doursther page 59 et 558 (1000kg le tonneau et le baril = 1/72 tonneau)
Imports,Hollande,La Rochelle,charbon de terre,barils,barils,kg,13.8888888889,Doursther page 59 et 558 (1000kg le tonneau et le baril = 1/72 tonneau)
Exports,Colonies étrangères,Le Havre,chaux,barils,,,,Aucune information trouvée
Imports,Hollande,Nantes,choux confit,barils,,,,Aucune information trouvée
Imports,Nord,Nantes,choux marinés,barils,,,,Aucune information trouvée
Imports,Colonies françaises,Rennes,citrons confits,barils,,,,Aucune information trouvée
Exports,Nord,Nantes,citrons et limons,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Rouen,clous de fer,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,clous de fer gonds,barils,,,,Aucune information trouvée
Imports,Hollande,Marseille,cochon salé,barils,,,,Aucune information trouvée
Exports,Afrique,Nantes,coclearia,barils,,,,Aucune information trouvée
Imports,Hollande,La Rochelle,colle forte,barils,,,,Aucune information trouvée
Imports,Colonies françaises,Rouen,confitures,barils,,,,Aucune information trouvée
Exports,Italie,Montpellier,corail de jardin,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Bordeaux,cornichons,barils,,,,Aucune information trouvée
Imports,Levant et Barbarie,Marseille,coton de laine,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,couteaux,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,couteaux flamands,barils,,,,Aucune information trouvée
Exports,Angleterre,Caen,craie,barils,,,,Aucune information trouvée
Exports,Suisse,Langres,craie blanche,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,creusets,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Nantes,cuisses d'oie,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Bordeaux,câpres,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,céruse,barils,,,,Aucune information trouvée
Imports,Italie,Marseille,douelles à barils,barils,,,,Aucune information trouvée
Imports,Angleterre,Rennes,drache,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,drogue médicinale borax,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Bayonne,eau-de-vie,barils,,,,Aucune information trouvée
Exports,Angleterre,Rouen,echalote,barils,,,,Aucune information trouvée
Imports,Flandre et autres états de l'Empereur,Flandre,encre d'imprimerie,barils,,,,Aucune information trouvée
Imports,Flandre et autres états de l'Empereur,Flandre,esturgeon,barils,barils,kg,18.356249625,"Savary page 995 : les esturgeons sont conservés dans de petits barils de 25 à 50 livres pesant (on prend ici 37,5 livres)"
Imports,Nord,La Rochelle,esturgeon mariné,barils,barils,kg,18.356249625,"Savary page 995 : les esturgeons sont conservés dans de petits barils de 25 à 50 livres pesant (on prend ici 37,5 livres)"
Exports,Colonies françaises,Nantes,farine,barils,,,,
Exports,Colonies françaises,Nantes,farine de grain froment,barils,,,,
Exports,Colonies françaises,Bayonne,faïence,barils,,,,
Imports,Nord,Rouen,fer de 450 feuilles et noir,barils,,,,
Imports,Nord,Rouen,fer de 450 feuilles et noir et simple,barils,,,,
Imports,Nord,Nantes,fer double et noir,barils,,,,
Imports,Angleterre,Lorient,fer en clou,barils,,,,
Imports,Nord,La Rochelle,fer noir,barils,,,,
Imports,Hollande,Nantes,fer noir simple,barils,,,,
Imports,Nord,La Rochelle,fer roue,barils,,,,
Imports,Hollande,Rennes,fer vieux,barils,,,,
Imports,Nord,Bayonne,fer-blanc,barils,,,,
Imports,Nord,Bordeaux,fer-blanc en feuilles,barils,,,,
Imports,Nord,Rouen,fer-blanc et de 450 feuilles,barils,,,,
Imports,Nord,Rouen,fer-blanc et de 450 feuilles et simple,barils,,,,
Imports,Nord,Rouen,fer-blanc et de 600 feuilles,barils,,,,
Imports,Nord,Rouen,fer-blanc et double,barils,,,,
Imports,Nord,Rouen,fer-blanc et double et de 450 feuilles,barils,,,,
Imports,Nord,La Rochelle,fer-blanc simple,barils,,,,
Imports,Hollande,Rennes,ferraille,barils,,,,
Exports,Espagne,Bayonne,feuilles de fer,barils,,,,
Imports,Hollande,Rennes,feuilles de tabac,barils,,,,
Imports,Espagne,Rennes,figue,barils,,,,
Imports,Hollande,Rennes,fil de fer,barils,,,,
Imports,Hollande,Rennes,fil de fer ordinaire,barils,,,,
Imports,Nord,La Rochelle,fil de laine,barils,,,,
Imports,Hollande,La Rochelle,fil de laiton,barils,,,,
Imports,Hollande,Rennes,fil à ralingue,barils,,,,
Imports,Hollande,Rennes,fil à voile,barils,,,,
Exports,Nord,Rouen,fruits,barils,,,,
Exports,Colonies françaises,Nantes,fruits confits à l'eau-de-vie,barils,,,,
Exports,Nord,,fruits frais,barils,,,,
Exports,Nord,,fruits rudes,barils,,,,
Imports,Espagne,Rennes,fruits secs,barils,,,,
Exports,Espagne,Rouen,fruits verts,barils,,,,
Exports,Afrique,Bordeaux,fèves,barils,,,,
Imports,Angleterre,La Rochelle,fèves plates,barils,,,,
Exports,Hollande,Bordeaux,galipot,barils,,,,
Imports,Hollande,La Rochelle,garance blanc,barils,,,,
Exports,Italie,Marseille,garres,barils,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,genêts,barils,,,,
Exports,Colonies françaises,La Rochelle,goudron,barils,,,,
Exports,Afrique,La Rochelle,grai gras,barils,,,,
Exports,Colonies françaises,Bayonne,grain avoine,barils,,,,
Imports,Hollande,Rennes,grain de Riga,barils,,,,
Imports,Hollande,La Rochelle,grain divers,barils,,,,
Imports,Hollande,,grain froment,barils,,,,
Imports,Angleterre,La Rochelle,grain orge,barils,,,,
Imports,Angleterre,Rouen,grain riz,barils,,,,
Imports,Nord,La Rochelle,grain seigle,barils,,,,
Exports,Angleterre,Rouen,graine de genièvre,barils,,,,
Imports,Hollande,Rennes,graine de lin,barils,,,,
Imports,Angleterre,Rennes,graisse de porc,barils,,,,
Exports,Suisse,"Lyon, Grenoble et Valence",groisil,barils,,,,
Imports,Angleterre,Rouen,grosil,barils,,,,
Imports,Espagne,Marseille,harancades,barils,,,,
Exports,France,Chalons,hareng salé ou mariné,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Colonies françaises,Bayonne,harengs,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Allemagne et Pologne (par terre),Langres,harengs blanc,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Afrique,Le Havre,harengs blancs,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Imports,Italie,Marseille,harengs cade,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Espagne,Marseille,harengs fumé,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,France,Amiens,harengs pecs,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Colonies françaises,Bordeaux,harengs salé,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Imports,Nord,Rennes,harengs salés,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Suisse,,harengs saurs,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Colonies françaises,Bordeaux,harengs sec,barils,barils,pièces,1000,Savary page 1202 : les barils de harengs comprennent environ 1000 harengs
Exports,Nord,,herbes gaude,barils,,,,
Imports,Espagne,,huile d'olive,barils,,,,
Imports,Hollande,Rennes,huile de baleine,barils,,,,
Imports,Flandre et autres états de l'Empereur,Rouen,huile de graine,barils,,,,
Imports,Hollande,Rennes,huile de lin,barils,,,,
Exports,Colonies françaises,Nantes,huile de noix,barils,,,,
Imports,Espagne,Rennes,huile de poisson,barils,,,,
Imports,Angleterre,Rouen,huile de rabette,barils,,,,
Exports,Hollande,,huîtres,barils,,,,
Imports,Angleterre,Amiens,huîtres fraîches,barils,,,,
Exports,Colonies françaises,Rouen,huîtres marines,barils,,,,
Exports,Colonies françaises,Bordeaux,huîtres à la daube,barils,,,,
Exports,Colonies françaises,La Rochelle,huîtres à la daube ou huîtres marinées,barils,,,,
Imports,Espagne,La Rochelle,huîtres à mariner,barils,,,,
Imports,Colonies françaises,Nantes,igname,barils,,,,
Exports,Nord,Nantes,indigo,barils,,,,
Exports,Colonies françaises,Rouen,jambon,barils,,,,
Exports,Italie,Marseille,jarres,barils,,,,
Exports,Espagne,,lamproie,barils,,,,
Exports,Afrique,Nantes,langues,barils,,,,
Imports,Angleterre,La Rochelle,langues de bœuf,barils,,,,
Exports,Colonies françaises,Bayonne,langues de bœuf salée,barils,,,,
Imports,Hollande,Bordeaux,langues de cabillaud,barils,,,,
Imports,Colonies françaises,Rouen,langues de morue,barils,,,,
Imports,Hollande,Bordeaux,langues et noix de morue,barils,,,,
Exports,Colonies françaises,Bordeaux,langues fumées,barils,,,,
Imports,Angleterre,Nantes,langues salées,barils,,,,
Exports,Colonies françaises,Nantes,lard,barils,,,,
Exports,Colonies françaises,La Rochelle,lard salé,barils,,,,
Imports,Hollande,Rennes,ligne à pêcher,barils,,,,
Imports,Hollande,Rennes,limes de fer,barils,,,,
Exports,Colonies françaises,Marseille,linge de table,barils,,,,
Imports,Colonies françaises,La Rochelle,liqueurs,barils,,,,
Exports,Colonies françaises,La Rochelle,liqueurs à boire,barils,,,,
Imports,Nord,Nantes,luspeck,barils,,,,
Exports,Colonies françaises,Nantes,légumes,barils,,,,
Imports,Nord,,maquereau,barils,,,,
Imports,Nord,La Rochelle,maquereaux,barils,,,,
Exports,Colonies françaises,,maquereaux salés,barils,,,,
Imports,Italie,Marseille,maquet,barils,,,,
Imports,Italie,Marseille,maquets,barils,,,,
Imports,Hollande,Rennes,mercerie,barils,,,,
Imports,Espagne,Nantes,mercure,barils,,,,
Exports,Colonies françaises,Nantes,meules à aiguiser,barils,,,,
Exports,Allemagne et Pologne (par terre),Bourgogne,miel,barils,,,,
Imports,Hollande,Rennes,mine de plomb,barils,,,,
Exports,Suisse,Amiens,morue,barils,,,,
Imports,,,morue de Hollande,barils,,,,
Imports,Colonies françaises,,morue note alang,barils,,,,
Exports,Colonies françaises,Rouen,morue salée,barils,,,,
Exports,Colonies françaises,Bordeaux,morue sèche,barils,,,,
Imports,Hollande,Rennes,morue verte,barils,,,,
Imports,Hollande,La Rochelle,muscades,barils,,,,
Imports,Hollande,La Rochelle,nattes d'emballage,barils,,,,
Exports,Angleterre,Rouen,navet,barils,,,,
Imports,Nord,Bayonne,noir,barils,,,,
Imports,Hollande,Nantes,noir de fumée,barils,,,,
Exports,Angleterre,Rennes,noir à noircir,barils,,,,
Imports,Espagne,Nantes,noisette,barils,,,,
Exports,Colonies françaises,Rouen,nots de morue,barils,,,,
Imports,Colonies françaises,,nots et langues de morue,barils,,,,
Exports,Hollande,Nantes,ocre,barils,,,,
Exports,Hollande,Rouen,ocre jaune,barils,,,,
Imports,Hollande,Rouen,ocre rouge,barils,,,,
Exports,Colonies françaises,Bordeaux,olives,barils,,,,
Imports,Hollande,Rennes,ouvrages d'étain,barils,,,,
Exports,Afrique,Nantes,ouvrages de fer à nègre,barils,,,,
Imports,Espagne,Rennes,passes,barils,,,,
Imports,Espagne,Rennes,patate,barils,,,,
Exports,Colonies françaises,Rouen,peintures,barils,,,,
Exports,Colonies françaises,Bayonne,petit salé,barils,,,,
Imports,Flandre et autres états de l'Empereur,Rennes,piastres,barils,,,,
Exports,Flandre et autres états de l'Empereur,,pierres à faire chaux,barils,,,,
Exports,Angleterre,La Rochelle,pierres à fusils,barils,,,,
Exports,Indes,,plomb en grenaille,barils,,,,
Imports,Italie,Marseille,plâtre,barils,,,,
Exports,Angleterre,Rouen,poires,barils,,,,
Exports,Colonies françaises,Rouen,pois,barils,,,,
Imports,Colonies françaises,La Rochelle,pois secs,barils,,,,
Imports,Hollande,Bordeaux,pois vert,barils,,,,
Imports,France,Toulon,poisson anchois,barils,,,,
Imports,Colonies françaises,,poisson de mer morue tête,barils,,,,
Imports,Italie,Toulon,poisson de mer salé,barils,,,,
Imports,France,,poisson de mer salé anchois,barils,,,,
Exports,France,,poisson de mer salé harengs blanc,barils,,,,
Imports,Nord,,poisson de mer salé morue,barils,,,,
Imports,France,,poisson de mer salé rogue de morue,barils,,,,
Imports,Italie,Marseille,poisson de mersalé sardine,barils,,,,
Exports,Italie,,poisson frais,barils,,,,
Exports,Italie,Marseille,poisson frit,barils,,,,
Imports,Italie,Marseille,poisson salé,barils,,,,
Imports,Nord,Nantes,poisson salé maquereau,barils,,,,
Imports,France,Marseille,poisson salé mariné anchois,barils,,,,
Exports,Afrique,Bordeaux,poisson salé sardine,barils,,,,
Imports,France,Marseille,poisson sardine,barils,,,,
Imports,Nord,Rennes,poix,barils,,,,
Exports,Flandre et autres états de l'Empereur,Flandre,poix résines,barils,,,,
Exports,Angleterre,Rouen,pommes,barils,,,,
Exports,Angleterre,Caen,pommes de rainettes,barils,,,,
Imports,Hollande,La Rochelle,pommes de terre,barils,,,,
Exports,Allemagne et Pologne (par terre),Châlons,pommes et poires,barils,,,,
Exports,Colonies françaises,Bayonne,porcs salés,barils,,,,
Imports,Hollande,Nantes,poudre,barils,,,,
Exports,Espagne,Marseille,poudre à canon,barils,,,,
Imports,Hollande,Nantes,poudre à feu,barils,,,,
Imports,Hollande,Rennes,poudre à poudrer,barils,,,,
Exports,Afrique,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",poudre à tirer,barils,,,,
Exports,Afrique,,poudre à tirer d'après les états fournis par le directeur des poudres et salpêtre,barils,,,,
Exports,Nord,Nantes,pruneaux,barils,,,,
Exports,Nord,Nantes,prunes,barils,,,,
Imports,Hollande,Rennes,quincaillerie,barils,,,,
Imports,Hollande,Nantes,quincaillerie de fer,barils,,,,
Imports,Nord,,quincaillerie de fer clou,barils,,,,
Imports,Espagne,Rennes,raisin,barils,barils,kg,23,Doursther page 60
Exports,Angleterre,Rennes,raisin sec,barils,,,,
Exports,États-Unis d'Amérique,,rassades,barils,,,,
Imports,Nord,La Rochelle,rave,barils,,,,
Exports,Espagne,Bayonne,rave de morue,barils,,,,
Imports,Hollande,Nantes,rave à pêche,barils,,,,
Imports,Hollande,Nantes,rave à pêcher,barils,,,,
Imports,Nord,Nantes,rave à seches,barils,,,,
Imports,Colonies françaises,La Rochelle,rognons de rat musqué,barils,,,,
Imports,Nord,La Rochelle,rognons de stockfish,barils,,,,
Imports,Nord,,rogues,barils,,,,
Imports,Nord,,rogues de Macy,barils,,,,
Imports,Nord,Rennes,rogues de maquereau,barils,,,,
Imports,Hollande,Lorient,rogues de maquereaux,barils,,,,
Imports,Nord,La Rochelle,rogues de morue,barils,,,,
Imports,Europe,,rogues de poisson,barils,,,,
Imports,Nord,Nantes,rogues de stockfish,barils,,,,
Imports,Espagne,Bayonne,réglisse,barils,,,,
Exports,Colonies françaises,Rouen,sable à mouler,barils,,,,
Imports,Hollande,Bordeaux,sacs,barils,,,,
Imports,Hollande,Rennes,salpêtre,barils,,,,
Exports,Colonies françaises,,sandarac,barils,,,,
Imports,Hollande,Rennes,sanguine,barils,,,,
Exports,Italie,Marseille,sardines,barils,,,,
Imports,Angleterre,Montpellier,saumon,barils,barils,litres,158.98,Doursther page 60
Imports,Hollande,,saumon fumé,barils,,,,
Imports,Hollande,Marseille,saumon salé,barils,,,,
Imports,Italie,Marseille,saumure,barils,,,,
Imports,Angleterre,Bordeaux,savine,barils,,,,Doute : savine = savon ??
Exports,Colonies françaises,Rouen,sel,barils,,,,
Imports,Espagne,Marseille,sel médicinal,barils,,,,
Imports,Colonies françaises,Rouen,sirop de limon,barils,,,,
Exports,Colonies françaises,,sirop de vinaigre,barils,,,,
Imports,Nord,Rennes,soudes,barils,,,,
Imports,Hollande,Rennes,soudure,barils,,,,
Imports,Hollande,Rennes,soudure de cuivre,barils,,,,
Imports,Hollande,La Rochelle,soufre en canons,barils,,,,
Imports,Hollande,Rennes,storax,barils,,,,
Imports,Hollande,Rennes,sucre en pain,barils,,,,
Exports,Afrique,Rouen,suif,barils,,,,
Exports,Afrique,Rouen,tafia,barils,,,,
Imports,Hollande,Rennes,teinture,barils,,,,
Imports,Hollande,Rouen,terc,barils,,,,
Imports,Hollande,Bordeaux,tetes de cabillaud,barils,,,,
Imports,Espagne,La Rochelle,thon,barils,,,,
Exports,Flandre et autres états de l'Empereur,Saint-Quentin,thon mariné,barils,,,,
Imports,Italie,Marseille,thon salé,barils,,,,
Imports,Italie,Marseille,thonine,barils,,,,
Exports,Colonies françaises,Rouen,tripe d'huîtres,barils,,,,
Imports,Angleterre,,térébenthine,barils,,,,
Imports,Colonies françaises,Rouen,têtes de morue,barils,,,,
Exports,Allemagne et Pologne (par terre),,tôle de fer,barils,,,,
Imports,Hollande,Rennes,vermillon,barils,,,,
Imports,Hollande,Rouen,verres cassés,barils,,,,
Imports,Nord,Rennes,verres à boire,barils,,,,
Exports,Italie,Marseille,vin,barils,,,,
Imports,Espagne,Rennes,vin d'Espagne,barils,,,,
Exports,Angleterre,Caen,vin de Bordeaux,barils,,,,
Imports,Indes,,vin de Cap,barils,,,,
Exports,Angleterre,Caen,vin de Champagne,barils,,,,
Exports,Colonies françaises,Bayonne,vin de France,barils,,,,
Exports,Suisse,Lyon,vin de Lyon,barils,,,,
Imports,Espagne,,vin de Malaga,barils,,,,
Exports,Indes,,vin de Malvoisie,barils,,,,
Exports,Colonies françaises,La Rochelle,vin de Navarre,barils,,,,
Imports,Espagne,Rennes,vin de Pacaret,barils,,,,
Imports,Portugal,,vin de Portugal,barils,,,,
Exports,Colonies françaises,La Rochelle,vin de Prague,barils,,,,
Exports,Colonies françaises,Nantes,vin de Quercy,barils,,,,
Exports,Angleterre,,vin de Reims,barils,,,,
Imports,Nord,Bordeaux,vin de Rhin,barils,,,,
Imports,Espagne,Nantes,vin de Xérès,barils,,,,
Exports,Colonies françaises,Bayonne,vin de liqueurs,barils,,,,
Imports,Portugal,Bayonne,vin des Canaries,barils,,,,
Imports,Italie,Marseille,vin muscat,barils,,,,
Imports,Italie,Marseille,vin rouge,barils,,,,
Exports,Espagne,,vinaigre,barils,,,,
Exports,Hollande,Rouen,écume de verre,barils,,,,
Imports,Hollande,Rennes,épicerie,barils,,,,
Imports,Hollande,Rennes,étain en bloc,barils,,,,
Imports,Hollande,Caen,huile de grain,barils de 64 pots,,,,
Imports,Hollande,Caen,huile de graine,barils de 64 pots,,,,
Imports,Hollande,Bordeaux,fer-blanc,barils de grand modèle 330,barils,kg,161.5349967,
Imports,Hollande,La Rochelle,fer-blanc,barils double,,,,
Imports,Nord,Marseille,feuilles de fer,barils double,,,,
Imports,Nord,Nantes,ouvrages de fer,barils double,,,,
Imports,Hollande,Bordeaux,cabillaud,barils en saumure,,,,
Imports,Hollande,La Rochelle,fer-blanc,barils feuiller,,,,
Imports,Hollande,Bordeaux,cabillaud,barils ordinaires,,,,
Imports,Italie,Marseille,anchois,barils petits,,,,
Imports,Hollande,Bordeaux,cabillaud,barils petits,,,,
Imports,Hollande,Rennes,cendre poland,barils petits,,,,
Imports,Nord,Bordeaux,fer-blanc,barils petits,,,,
Imports,Hollande,Rennes,harengs,barils petits,,,,
Imports,Espagne,La Rochelle,harengs blanc,barils petits,,,,
Imports,Angleterre,La Rochelle,langues salées,barils petits,,,,
Imports,Nord,Bordeaux,noir de fumée,barils petits,,,,
Imports,Espagne,Bayonne,olives,barils petits,,,,
Imports,Espagne,Marseille,poisson de mersalé sardine,barils petits,,,,
Imports,Angleterre,La Rochelle,suif,barils petits,,,,
Imports,Hollande,Bordeaux,clous de fer,barils petits de 300,barils,kg,146.849997,
Imports,Hollande,La Rochelle,fer-blanc,barils simple,,,,
Exports,Colonies françaises,La Rochelle,vin de Frontignan,barques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Nord,La Rochelle,brai,barrique,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Exports,Afrique,La Rochelle,Guinée bleu et blanc,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Nord,Rennes,acier,barriques,,,,
Imports,Espagne,Marseille,anchois,barriques,,,,
Exports,Nord,Nantes,anis,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Imports,Hollande,Rennes,azur,barriques,,,,
Exports,Colonies françaises,Nantes,bandes de cabrouets de fer,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Exports,Colonies françaises,Nantes,beurre,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Exports,Indes,,beurre commun,barriques,,,,
Imports,Hollande,Bordeaux,biscuit de mer,barriques,barriques,litres,227.5,"Doursther page 60 : 1 barrique de Bordeaux = 225 à 230 litres (on va prendre 227,5 litres)"
Exports,Colonies françaises,La Rochelle,bière,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Hollande,Marseille,bière de Hollande,barriques,,,,
Imports,Hollande,Bordeaux,blanc de baleine,barriques,,,,
Imports,Hollande,La Rochelle,bois de santal,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Exports,Colonies françaises,La Rochelle,boules de terres,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Nord,Rennes,boulets de canons,barriques,,,,
Exports,Colonies françaises,Nantes,brai,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Exports,Indes,,brai de goudron,barriques,,,,
Exports,Colonies françaises,La Rochelle,brai gras,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Espagne,Nantes,brai sec,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Imports,Nord,La Rochelle,buvie,barriques,barriques,litres,228.29,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Imports,Hollande,Nantes,bœuf salé,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
Exports,Colonies françaises,Nantes,bœuf salé d'Irlande,barriques,barriques,litres,240,Doursther page 62 : 1 barrique de Nantes = 240 litres
