marchandises,marchandises_norm_ortho,mériteplusdetravail
///Industrie Etrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,
///Industrie étrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,
"///Industrie étrangère///Porcelaine, faience et poterie",industrie étrangère porcelaine faïence et poterie,
///Industrie Etrangère///Quincailleries diverses,industrie étrangère quincaillerie diverse,
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,
///Industrie Etrangère///Savons,industrie étrangère savon,
///Industrie étrangère///Savons,industrie étrangère savon,
///Industrie Etrangère///Voitures,industrie étrangère voiture,
///Industrie étrangère///Voitures,industrie étrangère voiture,
///Industrie générale///Armes,industrie générale armes,
///Industrie générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,
///Industrie Générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,
///Industrie générale///Bijouterie,industrie générale bijouterie,
///Industrie Générale///Bijouterie,industrie générale bijouterie,
///Industrie générale///Bougie,industrie générale bougie,
///Industrie Générale///Bougie,industrie générale bougie,
///Industrie générale///Cauris,industrie générale cauris,
///Industrie Générale///Cauris,industrie générale cauris,
///Industrie générale///Chandelle,industrie générale chandelle,
///Industrie Générale///Chandelles,industrie générale chandelle,
///Industrie générale///Cordages,industrie générale cordage,
///Industrie Générale///Cordages,industrie générale cordage,
///Industrie générale///Dorures fines,industrie générale dorure fine,
///Industrie Générale///Dorures fines,industrie générale dorure fine,
///Industrie générale///Esprit de vin,industrie générale esprit-de-vin,
///Industrie Générale///Esprit de vin,industrie générale esprit-de-vin,
///Industrie générale///Faience et poterie,industrie générale faïence et poterie,
///Industrie Générale///Faience et poterie,industrie générale faïence et poterie,
///Industrie générale///Gants de peau,industrie générale gants de peau,
///Industrie Générale///Gants de peau,industrie générale gants de peau,
///Industrie générale///Habillemens et lingerie,industrie générale habillement et lingerie,
///Industrie Générale///Habillements et lingeries,industrie générale habillement et lingerie,
///Industrie générale///Horlogerie,industrie générale horlogerie,
///Industrie Générale///Horlogerie,industrie générale horlogerie,
///Industrie générale///Jeux de voiles,industrie générale jeux de voile,
///Industrie Générale///Jeux de voiles,industrie générale jeux de voile,
///Industrie générale///Librairie,industrie générale librairie,
///Industrie Générale///Librairie,industrie générale librairie,
///Industrie Générale///Marchandises des indes,industrie générale marchandises des Indes,
///Industrie générale///Merceries,industrie générale mercerie,
///Industrie Générale///Merceries,industrie générale mercerie,
///Industrie générale///Meubles et glaces,industrie générale meubles et glaces,
///Industrie Générale///Meubles et glaces,industrie générale meubles et glaces,
///Industrie Générale///Ouvrages de cruivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,
///Industrie générale///Ouvrages de cuivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,
///Industrie générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,
///Industrie Générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,
///Industrie générale///Ouvrages de terre cuite,industrie générale ouvrages de terre cuite,
///Industrie générale///Ouvrages divers,industrie générale ouvrages divers,
///Industrie Générale///Ouvrages divers en bois et futailles vuides,industrie générale ouvrages divers en bois et futailles vides,
///Industrie Générale///Ouvrages en terre cuite,industrie générale ouvrages en terre cuite,
///Industrie générale///Papier pour tenture,industrie générale papier pour tenture,
///Industrie générale///Papiers à écrire,industrie générale papier à écrire,
///Industrie Générale///Papiers à écrire,industrie générale papier à écrire,
///Industrie générale///Papiers pour tenture,industrie générale papier pour tenture,
///Industrie Générale///Papiers pour tenture,industrie générale papier pour tenture,
///Industrie Générale///Parasols,industrie générale parasols,
///Industrie générale///Parfumerie,industrie générale parfumerie,
///Industrie Générale///Parfumerie,industrie générale parfumerie,
///Industrie générale///Passementerie,industrie générale passementerie,
///Industrie Générale///Passementerie,industrie générale passementerie,
///Industrie générale///Peaux et pelleteries,industrie générale peaux et pelleterie,
///Industrie Générale///Peaux et pelleteries,industrie générale peaux et pelleterie,
///Industrie générale///Porcelaine,industrie générale porcelaine,
///Industrie Générale///Porcelaine,industrie générale porcelaine,
///Industrie générale///Poudre à tirer,industrie générale poudre à tirer,
///Industrie Générale///Poudre à tirer,industrie générale poudre à tirer,
///Industrie générale///Quincaillerie,industrie générale quincaillerie,
///Industrie Générale///Quincaillerie,industrie générale quincaillerie,
///Industrie générale///Savons,industrie générale savon,
///Industrie Générale///Savons,industrie générale savon,
///Industrie générale///Tableaux et estampes,industrie générale tableaux et estampes,
///Industrie Générale///Tableaux et Estampes,industrie générale tableaux et estampes,
///Industrie générale///Verrerie,industrie générale verrerie,
///Industrie Générale///Verrerie,industrie générale verrerie,
///Matière d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,
///Matière d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,
///Matières d'Or et d'argent///Argenterie et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,
///Matières d'Or et d'argent///Argenteries et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,
///Matieres d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",matières d'or et d'argent monnaies étrangères ou lingots,
///Matières d'or et d'argent///Monnaies étrangères et lingots,matières d'or et d'argent monnaies étrangères et lingots,
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,matières d'or et d'argent monnaies étrangères ou lingots,
///Matieres d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,
///Matières d'or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,
///Métaux///Argent vif,métal argent vif,
///Métaux///Articles réunis,métal articles réunis,
///Métaux///Autres métaux,métal autre métal,
///Métaux///Cuivre,métal cuivre,
"///Métaux///Cuivre, bronze et laiton",métal cuivre bronze et laiton,
"///Métaux///Cuivre, bronze et Laiton",métal cuivre bronze et laiton,
"///Métaux///Cuivre,bronze et laiton",métal cuivre bronze et laiton,
///Métaux///Etain,métal étain,
///Métaux///Fer blanc,métal fer-blanc,
///Métaux///Fer-blanc,métal fer-blanc,
///Métaux///Fers,métal fer,
///Métaux///Fers blanc,métal fer-blanc,
///Métaux///Fers et aciers,métal fer et acier,
///Métaux///plomb,métal plomb,
///Métaux///Plomb,métal plomb,
///Objets manufacturés///Armes,objets manufacturés armes,
///Objets manufacturés///Articles réunis,objets manufacturés articles réunis,
"///Objets manufacturés///Bonneterie en fil , coton et laine",objets manufacturés bonneterie en fil coton et laine,
"///Objets manufacturés///Bonneterie en fil, coton et laine",objets manufacturés bonneterie en fil coton et laine,
///Objets manufacturés///Bonneterie ordinaire en coton et laine,objets manufacturés bonneterie ordinaire en coton et laine,
///Objets manufacturés///Bonneteries de soie,objets manufacturés bonneterie de soie,
///Objets manufacturés///Bonneteries diverses,objets manufacturés bonneterie diverse,
///Objets manufacturés///chapellerie,objets manufacturés chapellerie,
///Objets manufacturés///Chapellerie,objets manufacturés chapellerie,
///Objets manufacturés///Dentelles,objets manufacturés dentelle,
///Objets manufacturés///Dentelles de fil,objets manufacturés dentelle de fil,
///Objets manufacturés///Draperies,objets manufacturés draperie,
///Objets manufacturés///Etoffe mélangées de ces matieres,objets manufacturés étoffe mélangée de ces matières,
///Objets manufacturés///Etoffe riches,objets manufacturés étoffe riche,
///Objets manufacturés///Etoffes de coton,objets manufacturés étoffe de coton,
///Objets manufacturés///Etoffes de laine,objets manufacturés étoffe de laine,
///Objets manufacturés///Etoffes de laine et de poil,objets manufacturés étoffe de laine et de poil,
///Objets manufacturés///Etoffes de soie,objets manufacturés étoffe de soie,
///Objets manufacturés///Etoffes diverses,objets manufacturés étoffe diverse,
///Objets manufacturés///Etoffes en coton et en laine,objets manufacturés étoffe en coton et en laine,
///Objets manufacturés///Etoffes mélangées de ces matières,objets manufacturés étoffe mélangée de ces matières,
///Objets manufacturés///Etoffes riches,objets manufacturés étoffe riche,
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,
///Objets manufacturés///Mouchoirs divers en fil et coton,objets manufacturés mouchoirs divers en fil et coton,
///Objets manufacturés///Mouchoirs divers et des Indes,objets manufacturés mouchoirs divers et des Indes,
///Objets manufacturés///Mousselines,objets manufacturés mousselines,
///Objets manufacturés///Objets manufacturés réunis,objets manufacturés objets manufacturés réunis,
///Objets manufacturés///Rubannerie de soie,objets manufacturés rubannerie de soie,
///Objets manufacturés///Rubannerie ordinaire,objets manufacturés rubannerie ordinaire,
///Objets manufacturés///Rubanneries diverses,objets manufacturés rubannerie diverse,
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,
///Objets manufacturés///Toile de coton,objets manufacturés toile de coton,
///Objets manufacturés///Toile de fil et coton,objets manufacturés toile de fil et coton,
///Objets manufacturés///Toiles de coton,objets manufacturés toile de coton,
"///Objets manufacturés///Toiles de coton, mousseline et nankin",objets manufacturés toile de coton mousseline et Nankin,
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes",objets manufacturés toile de coton mousseline Nankin et des Indes,
///Objets manufacturés///Toiles de fil et coton,objets manufacturés toile de fil et coton,
///Objets manufacturés///Toiles de lin et chanvre,objets manufacturés toile de lin et chanvre,
///Objets manufacturés///Toiles de lin et de chanvre,objets manufacturés toile de lin et de chanvre,
///Objets manufacturés///Toiles diverses de lin et de chanvre,objets manufacturés toile diverse de lin et de chanvre,
///Objets manufacturés///Toiles diverses en lin et chanvre,objets manufacturés toile diverse en lin et chanvre,
"///Objets manufacturés///Toiles en coton, mousseline et nankin",objets manufacturés toile en coton mousseline et Nankin,
1///Matières première///Articles réunis,matières premières articles réunis,
1///Matières première///Coton,matières premières coton,
1///Matières première///Fil,matières premières fil,
1///Matières première///Laine,matières premières laine,
1///Matières première///Soie,matières premières soie,
1///Matières premières///Chanvre,matières premières chanvre,
1///Matières premières///Chanvre et lin,matières premières chanvre et lin,
1///Matières premières///Coton,matières premières coton,
1///Matières premières///Fil,matières premières fil,
1///Matières premières///Laine,matières premières laine,
1///Matières premières///Lin,matières premières lin,
"1///Matières premières///Poil de chevre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,
"1///Matières premières///Poil de chèvre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,
1///Matières premières///Soie,matières premières soie,
1///Matières premières///Soie et filoselle,matières premières soie et filoselle,
"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,
"1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,
"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,
"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",subsistances bestiaux en bœuf vaches porcs moutons,
"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",subsistances bestiaux en bœuf vaches veaux et moutons,
1///Subsistances///Beurre,subsistances beurre,
1///Subsistances///Bière,subsistances bière,
"1///Subsistances///Bière, cidre et vinaigre",subsistances bière cidre et vinaigre,
1///Subsistances///Biscuit de mer,subsistances biscuit de mer,
1///Subsistances///Biscuits de mer et pâtes d'Italie,subsistances biscuit de mer et pâte d'Italie,
1///Subsistances///Blé,subsistances blé,
1///Subsistances///Blé et autres grains,subsistances blé et autres grains,
1///Subsistances///Blé et autres grains comestibles,subsistances blé et autres grains comestibles,
"1///Subsistances///Blé et autres grains, comestibles",subsistances blé et autres grains comestibles,
1///Subsistances///Chairs salées,subsistances chair salée,
1///Subsistances///Eaux de vie,subsistances eau-de-vie,
1///Subsistances///Eaux-de-vie,subsistances eau-de-vie,
1///Subsistances///Farine,subsistances farine,
1///Subsistances///Farine et biscuit de mer,subsistances farine et biscuit de mer,
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie,subsistances farine et biscuit de mer et pâte d'Italie,
1///Subsistances///Farine et pâtes d'Italie,subsistances farine et pâte d'Italie,
1///Subsistances///Fromage,subsistances fromage,
1///Subsistances///Fromages,subsistances fromage,
1///Subsistances///Fruits divers,subsistances fruits divers,
"1///Subsistances///Fruits secs en amandes, figues et ...",subsistances fruits secs en amandes figue et ???,
"1///Subsistances///Fruits secs, en amandes ,figues et raisins",subsistances fruits secs en amandes figue et raisin,
"1///Subsistances///Fruits secs, en amandes, figues et raisins",subsistances fruits secs en amandes figue et raisin,
1///Subsistances///Fruits verts en Oranges et citrons,subsistances fruits verts en orange et citrons,
"1///Subsistances///Fruits verts, en oranges et citrons",subsistances fruits verts en orange et citrons,
"1///Subsistances///Fruits verts, en oranges et citrons.",subsistances fruits verts en orange et citrons,
1///Subsistances///Huile d'olive,subsistances huile d'olive,
1///Subsistances///Huile d'Olive,subsistances huile d'olive,
1///Subsistances///Légumes,subsistances légumes,
1///Subsistances///Miel,subsistances miel,
1///Subsistances///Poissons de toute sorte,subsistances poisson de toute sorte,
1///Subsistances///Poissons de toutes sortes,subsistances poisson de toute sorte,
1///Subsistances///Provisions de bouche réunies,subsistances provisions de bouche réunies,
1///Subsistances///Provisions diverses,subsistances provisions diverses,
"1///Subsistances///Provisions diverses,principalement en beurre",subsistances provisions diverses principalement en beurre,
1///Subsistances///Riz,subsistances riz,
1///Subsistances///Sel,subsistances sel,
1///Subsistances///Vin de liqueurs,subsistances vin de liqueurs,
1///Subsistances///Vins,subsistances vin,
1///Subsistances///Vins de bordeaux,subsistances vin de Bordeaux,
1///Subsistances///Vins de Bordeaux,subsistances vin de Bordeaux,
1///Subsistances///Vins de liqueur,subsistances vin de liqueurs,
1///Subsistances///Vins de liqueurs,subsistances vin de liqueurs,
1///Subsistances///Vins divers,subsistances vin divers,
2///Matières première///Articles réunis,matières premières articles réunis,
2///Matières première///Bois divers,matières premières bois divers,
"2///Matières première///Brai, goudron et résine",matières premières brai goudron et résines,
2///Matières première///Charbons,matières premières charbon,
2///Matières première///Cires jaune et blanche,matières premières cire jaune et blanche,
2///Matières première///Cuirs appretés,matières premières cuirs apprêtés,
2///Matières première///Graines de jardin,matières premières graine de jardin,
2///Matières première///Graines de trèfle,matières premières graine de trèfle,
2///Matières première///Graines diverses,matières premières graine diverse,
2///Matières première///Huile de graine,matières premières huile de graine,
2///Matières première///Pain de navette,matières premières pain de navettes,
2///Matières première///Suif,matières premières suif,
2///Matières première///Tabacs,matières premières tabac,
2///Matières premières///Articles réunis,matières premières articles réunis,
2///Matières premières///Bois de Iles,matières premières bois des Îles,
2///Matières premières///Bois des iles,matières premières bois des Îles,
2///Matières premières///Bois divers,matières premières bois divers,
"2///Matières premières///Brai, goudron et résine",matières premières brai goudron et résines,
"2///Matières premières///Brai, Goudron, Résine",matières premières brai goudron résines,
"2///Matières premières///Brai,goudron et résine",matières premières brai goudron résines,
"2///Matières premières///Bray, goudron, poix et résine",matières premières brai goudron poix et résines,
2///Matières premières///cendres Diverses,matières premières cendre diverse,
2///Matières premières///Cendres diverses,matières premières cendre diverse,
2///Matières premières///Charbon,matières premières charbon,
2///Matières premières///Charbons,matières premières charbon,
2///Matières premières///Circes blanche et jaune,matières premières cire blanche et jaune,
2///Matières premières///Cires blanche et jaune,matières premières cire blanche et jaune,
2///Matières premières///Cires blanches et jaunes,matières premières cire blanche et jaune,
2///Matières premières///Cires jaune et blanche,matières premières cire jaune et blanche,
2///Matières premières///Cires jaune et blanche fondue et en bougies,matières premières cire jaune et blanche fondue et en bougie,
2///Matières premières///Cuirs appretés,matières premières cuirs appretés,
2///Matières premières///Cuirs apprétés,matières premières cuirs apprétés,
2///Matières premières///Cuirs en poil,matières premières cuirs en poil,
2///Matières premières///Dents d'éléphant,matières premières dents d'éléphant,
"2///Matières premières///Goudron ,poix et résine",matières premières goudron poix et résines,
2///Matières premières///Graine de lin,matières premières graine de lin,
2///Matières premières///Graine de Lin,matières premières graine de lin,
2///Matières premières///Graines de diverses,matières premières graine de diverses,
2///Matières premières///Graines de jardin,matières premières graine de jardin,
2///Matières premières///Graines de trèfle,matières premières graine de trèfle,
2///Matières premières///Graines diverses,matières premières graine diverse,
2///Matières premières///Graines diverses et de lin,matières premières graine diverse et de lin,
2///Matières premières///Houblon,matières premières houblon,
2///Matières premières///Huile d'olive pour fabriques,matières premières huile d'olive pour fabrique,
2///Matières premières///Huile de graine,matières premières huile de graine,
2///Matières premières///Huile de grains,matières premières huile de grain,
2///Matières premières///Huile de poisson,matières premières huile de poisson,
2///Matières premières///Huile de poissons,matières premières huile de poisson,
2///Matières premières///Huiles d'Olive pour fabriques,matières premières huile d'olive pour fabrique,
2///Matières premières///Pain de navette,matières premières pain de navettes,
"2///Matières premières///Petasse, vedasses et gravelées",matières premières potasse vedasse et gravelée,
"2///Matières premières///Potasse, vedasse et gravelées",matières premières potasse vedasse et gravelée,
"2///Matières premières///Potasses, vedasses et gravelées",matières premières potasse vedasse et gravelée,
2///Matières premières///Soie de porc et sanglier,matières premières soie de porc et sanglier,
2///Matières premières///Soude,matières premières soudes,
2///Matières premières///Souffre et salpetre,matières premières soufre et salpêtre,
2///Matières premières///Soufre et salpetre,matières premières soufre et salpêtre,
2///Matières premières///Soufre et Salpetre,matières premières soufre et salpêtre,
2///Matières premières///Suif,matières premières suif,
2///Matières premières///Suif fondu et en chandelles,matières premières suif fondu et en chandelle,
2///Matières premières///Tabacs,matières premières tabac,
2///Subsistances///Articles réunis,subsistances articles réunis,
2///Subsistances///Cacao,subsistances cacao,
2///Subsistances///Café,subsistances café,
2///Subsistances///Chocolat,subsistances chocolat,
2///Subsistances///Liqueurs,subsistances liqueurs,
2///Subsistances///Liqueurs et sirops,subsistances liqueurs et sirop,
2///Subsistances///Liqueurs et Sirops,subsistances liqueurs et sirop,
"2///Subsistances///Provisions diverses,principalement en beurre",subsistances provisions diverses principalement en beurre,
2///Subsistances///Sirops,subsistances sirop,
2///Subsistances///Sucre,subsistances sucre,
2///Subsistances///Thé,subsistances thé,
2///Suite des matières premières///Articles réunis,suite des matières premières articles réunis,
3///Matières première///Alun,matières premières alun,
3///Matières première///Cochenille,matières premières cochenille,
3///Matières première///Drogues réunies,matières premières drogues réunies,
3///Matières première///Garance,matières premières garance,
3///Matières première///Indigo,matières premières indigo,
3///Matières première///Rocou,matières premières rocou,
3///Matières première///Verdet,matières premières verdet,
3///Matières premières///Alquifoux ou mine de plomb,matières premières alquifoux ou mine de plomb,
3///Matières premières///Alun,matières premières alun,
3///Matières premières///Azur,matières premières azur,
3///Matières premières///Céruse,matières premières céruse,
3///Matières premières///Cochenille,matières premières cochenille,
3///Matières premières///Drogues diverses réunies,matières premières drogues diverses réunies,
3///Matières premières///Drogues réunies,matières premières drogues réunies,
3///Matières premières///Garance,matières premières garance,
3///Matières premières///Indigo,matières premières indigo,
3///Matières premières///Noix de galle,matières premières noix de galle,
3///Matières premières///Noix de Galle,matières premières noix de galle,
3///Matières premières///Rocou,matières premières rocou,
3///Matières premières///Saffranum,matières premières safranum,
3///Matières premières///Verdet,matières premières verdet,
3///Subsistances///Articles réunis,subsistances articles réunis,
3///Subsistances///Canelle,subsistances cannelle,
3///Subsistances///Eiceries diverses,subsistances épicerie diverse,
3///Subsistances///Epiceries,subsistances épicerie,
3///Subsistances///Epiceries diverses,subsistances épicerie diverse,
3///Subsistances///Epiceries Diverses,subsistances épicerie diverse,
3///Subsistances///Giroffle,subsistances girofle,
3///Subsistances///Girofle,subsistances girofle,
3///Subsistances///Muscade,subsistances muscade,
3///Subsistances///Poivre,subsistances poivre,
3///Suite des matières premières///Alun,suite des matières premières alun,
3///Suite des matières premières///Azur,suite des matières premières azur,
3///Suite des matières premières///Céruse,suite des matières premières céruse,
3///Suite des matières premières///Cochenille,suite des matières premières cochenille,
3///Suite des matières premières///Drogues diverses réunies,suite des matières premières drogues diverses réunies,
3///Suite des matières premières///Garance,suite des matières premières garance,
3///Suite des matières premières///Indigo,suite des matières premières indigo,
3///Suite des matières premières///Noix de galle,suite des matières premières noix de galle,
3///Suite des matières premières///Rocou,suite des matières premières rocou,
Abacir,abassis,
Abafine,abassis,
Abassis,abassis,
abats,abats,
Abbatis de morue,abattis de morue,
Abricots confits,abricots confits,
acacia,acacia,
Acacia,acacia,
Acacia ; germanica,acacia germanica,
Acaciavera,,
Accacia,acacia,
Accorus,acorus,
Acétates ; de cuivre ; cristallisé (verdet),acétates de cuivre cristallisé (verdet),
Acétates ; de cuivre ; non cristallisé (vert-de-gris) sec,acétates de cuivre non cristallisé (vert de gris) sec,
"Acétates ; de cuivre, non cristallisé et cristallisé (verdet)",acétates de cuivre non cristallisés et cristallisés (verdet),
Acétates ; de fer,acétates de fer,
Acétates ; de plomb,acétates de plomb,
Acétates ; de plomb (sel de saturne),acétates de plomb sel de Saturne,
Acétates ; de plomb (Sel de Saturne),acétates de plomb sel de Saturne,
Acétates ; de potasse et de soude,acétates de potasse et de soude,
