simplification,product_simplification,product_revolutionempire,export_import,customs_region,partner_grouping,metric,conv_simplification_to_metric,remarks_unit
????,drap londrin,Étoffes de laine,Exports,,Levant et Barbarie,,,
????,drap petit,Étoffes de laine,Imports,,Italie,,,
????,drap petit,Étoffes de laine,Imports,,Levant et Barbarie,,,
????,espagnolette,Étoffes de laine,Exports,,Nord,,,
????,picotte,Étoffes de laine,Exports,Nantes,Amériques,,,
????,ratine,Étoffes de laine,Exports,Narbonne,Espagne,,,
????,serge de laine,Étoffes de laine,Exports,,Flandre et autres états de l'Empereur,,,
????,étoffe de soie,Étoffes de soie,Imports,,Hollande,,,
????,velours,Étoffes de soie,Imports,Marseille,Italie,,,
????,étoffe,Étoffes diverses,Exports,Divers,Afrique,,,
????,panne ordinaire,Étoffes diverses,Exports,Bordeaux,Espagne,,,
????,serge,Étoffes diverses,Exports,La Rochelle,Amériques,,,
????,siamoise,Étoffes diverses,Exports,,Afrique,,,
????,fer en ?,Fer,Imports,,Espagne,,,
????,fer noir,Fer,Imports,,Allemagne,,,
????,fil à dentelle,Fils divers,Imports,,Flandre et autres états de l'Empereur,,,
????,citron et limon,Fruits frais,Exports,Marseille,Italie,,,
????,figue,Fruits frais,Imports,Rennes,Portugal,,,
????,orange,Fruits frais,Imports,Rouen,Portugal,,,
????,noisettes et noix,Fruits secs et noix,Exports,Besançon,Suisse,,,
????,ambre,Gommes diverses,Imports,,Amériques,,,
????,graine de trèfle,"Graines de trèfle, de luzerne et de prairie",Exports,,Flandre et autres états de l'Empereur,,,
????,graine de genièvre graine comestible,Graines diverses et mélangées,Imports,Lorient,Hollande,,,
????,graine de genièvre,Graines diverses et mélangées,Exports,,Flandre et autres états de l'Empereur,,,
????,graine de genièvre,Graines diverses et mélangées,Exports,,Hollande,,,
????,graine de genièvre,Graines diverses et mélangées,Exports,,Nord,,,
????,graine de lupin,Graines diverses et mélangées,Exports,,Espagne,,,
????,graine de chanvre,Graines grasses,Exports,,Suisse,,,
????,bas de laine,Habits et lingerie,Exports,Amiens,Portugal,,,
????,casaques,Habits et lingerie,Exports,Marseille,Amériques,,,
????,huile d'olive,Huile d'olive à manger,Imports,Bayonne,Espagne,,,
????,huile de poisson,Huile de poisson,Imports,Lorient,États-Unis d'Amérique,,,
????,huile de baleine,Huiles diverses,Imports,Lorient,États-Unis d'Amérique,,,
????,huile de lin,Huiles diverses,Imports,Lorient,Hollande,,,
????,laine en côtes,Laines non transformées diverses,Imports,Flandre,Flandre et autres états de l'Empereur,,,
????,légumes,Légumes,Exports,,Afrique,,,
????,légumes,Légumes,Exports,Bordeaux,Amériques,,,
????,cartes à jouer,Librairie,Exports,,Asie,,,
????,cartes à jouer,Librairie,Exports,Montpellier,France,,,
????,cartes à jouer,Librairie,Imports,Langres,Allemagne,,,
????,cartes géographiques,Librairie,Exports,,Nord,,,
????,gerbes de lin,Lin,Imports,Flandre,Flandre et autres états de l'Empereur,,,
????,masses de lin,Lin,Imports,Flandre,Flandre et autres états de l'Empereur,,,
????,ouvrages de marbre,Marbre brut et ouvré,Exports,Charleville,Allemagne,,,
????,ouvrages de marbre,Marbre brut et ouvré,Exports,Flandre,France,,,
????,ouvrages de marbre,Marbre brut et ouvré,Imports,Charleville,Flandre et autres états de l'Empereur,,,
????,chardons à drapier,Matières premières diverses,Exports,,Hollande,,,
????,chaux,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
????,écorce de chêne,Matières premières diverses,Imports,,Flandre et autres états de l'Empereur,,,
????,écorce de chêne,Matières premières diverses,Imports,Flandre,Flandre et autres états de l'Empereur,,,
????,paille,Matières premières diverses,Exports,,Allemagne,,,
????,pierres à bâtir,Matières premières diverses,Exports,,Hollande,,,
????,pierres à bâtir,Matières premières diverses,Imports,,Allemagne,,,
????,plâtre,Matières premières diverses,Exports,,Espagne,,,
????,plâtre,Matières premières diverses,Exports,Rouen,Nord,,,
????,ramure de sapin,Matières premières diverses,Imports,,Nord,,,
????,boutons de dorure d'or,Mercerie,Exports,,Angleterre,,,
????,galon d'or,Mercerie,Exports,Nantes,Amériques,,,
????,glaces de miroirs,"Meubles, glaces et miroirs",Exports,Rennes,Afrique,,,
????,or battu,Monnaies et métaux précieux,Imports,Rennes,Hollande,,,
????,or en feuilles,Monnaies et métaux précieux,Imports,,Espagne,,,
????,or en lingot,Monnaies et métaux précieux,Imports,,Levant et Barbarie,,,
????,mousseline,"Mousseline, basin et nankin",Exports,,Angleterre,,,
????,tableaux,Objets d'art et d'histoire naturelle,Exports,,Allemagne,,,
????,tableaux,Objets d'art et d'histoire naturelle,Exports,,Espagne,,,
????,tableaux,Objets d'art et d'histoire naturelle,Imports,,Italie,,,
????,balais,"Ouvrages de bois, liège et jonc",Exports,,Italie,,,
????,boîtes de bergamotes,"Ouvrages de bois, liège et jonc",Exports,Marseille,Italie,,,
????,cabas de jonc,"Ouvrages de bois, liège et jonc",Imports,,Espagne,,,
????,cheville de bois,"Ouvrages de bois, liège et jonc",Exports,Flandre,France,,,
????,feuillards de bois,"Ouvrages de bois, liège et jonc",Exports,Nantes,Afrique,,,
????,feuillards de bois,"Ouvrages de bois, liège et jonc",Exports,Nantes,Amériques,,,
????,gaules de bois,"Ouvrages de bois, liège et jonc",Imports,Rennes,Hollande,,,
????,mâts,"Ouvrages de bois, liège et jonc",Imports,Rouen,Nord,,,
????,merrains,"Ouvrages de bois, liège et jonc",Exports,Nantes,Amériques,,,
????,merrains,"Ouvrages de bois, liège et jonc",Imports,Valenciennes,Allemagne,,,
????,merrains,"Ouvrages de bois, liège et jonc",Imports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,perches de bois pour jardin,"Ouvrages de bois, liège et jonc",Imports,Flandre,Flandre et autres états de l'Empereur,,,
????,planches de pin,"Ouvrages de bois, liège et jonc",Imports,Rennes,Espagne,,,
????,brique,Ouvrages divers et mélangés,Exports,Marseille,Angleterre,,,
????,brique,Ouvrages divers et mélangés,Exports,Marseille,Espagne,,,
????,brique,Ouvrages divers et mélangés,Exports,Marseille,France,,,
????,brique,Ouvrages divers et mélangés,Exports,Marseille,Italie,,,
????,brique,Ouvrages divers et mélangés,Exports,Marseille,Levant et Barbarie,,,
????,caves garnies,Ouvrages divers et mélangés,Imports,,Hollande,,,
????,cercles pour tonneaux,Ouvrages divers et mélangés,Exports,,Amériques,,,
????,cribles,Ouvrages divers et mélangés,Exports,Marseille,Italie,,,
????,instruments de musique,Ouvrages divers et mélangés,Exports,,Asie,,,
????,meules à taillandier,Ouvrages divers et mélangés,Exports,,Amériques,,,
????,moulins à café,Ouvrages divers et mélangés,Imports,,Hollande,,,
????,outils,Ouvrages divers et mélangés,Exports,,Asie,,,
????,ouvrages de corail,Ouvrages divers et mélangés,Imports,Marseille,Espagne,,,
????,ouvrages de corail,Ouvrages divers et mélangés,Imports,Marseille,Italie,,,
????,barres de fer,Ouvrages métalliques,Imports,Bordeaux,Espagne,,,
????,mortiers de fonte,Ouvrages métalliques,Exports,Nantes,États-Unis d'Amérique,,,
????,plaques de cuivre,Ouvrages métalliques,Imports,,Nord,,,
????,plaques de fer,Ouvrages métalliques,Imports,Rennes,Hollande,,,
????,plomb en saumon,Ouvrages métalliques,Exports,,Asie,,,
????,papier blanc,Papier,Exports,,Angleterre,,,
????,papier commun,Papier,Imports,Lorient,Hollande,,,
????,papier de musique,Papier,Exports,,Nord,,,
????,papier métallisé,Papier,Imports,,Allemagne,,,
????,papier peint,Papier,Exports,Saint-Malo,Amériques,,,
????,parfumerie musc,Parfumerie et toilette,Imports,,Flandre et autres états de l'Empereur,,,
????,parfumerie musc,Parfumerie et toilette,Imports,,Hollande,,,
????,poil pour doublage,Poils et crin,Imports,Lorient,Nord,,,
????,harengs saurs,Poissons et fruits de mer,Exports,,Suisse,,,
????,lamproies,Poissons et fruits de mer,Exports,,Espagne,,,
????,morue verte,Poissons et fruits de mer,Exports,,Asie,,,
????,morue verte,Poissons et fruits de mer,Exports,,Suisse,,,
????,poisson frais,Poissons et fruits de mer,Imports,,Flandre et autres états de l'Empereur,,,
????,poisson frais,Poissons et fruits de mer,Imports,,Italie,,,
????,sardines,Poissons et fruits de mer,Imports,,Espagne,,,
????,saumon salé,Poissons et fruits de mer,Exports,,Amériques,,,
????,saumon,Poissons et fruits de mer,Imports,Marseille,Espagne,,,
????,poivre,Poivre et piment,Imports,,Asie,,,
????,briques,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,Rouen,Amériques,,,
????,faïence,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,,Asie,,,
????,ouvrages de terre cuite,"Porcelaine, poterie, faïence et ouvrages de terre",Imports,Rouen,Hollande,,,
????,pipes à fumer de terre cuite,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,Flandre,Flandre et autres états de l'Empereur,,,
????,pipes à fumer de terre cuite,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,Flandre,France,,,
????,pipes à fumer de terre cuite,"Porcelaine, poterie, faïence et ouvrages de terre",Imports,Flandre,Hollande,,,
????,poterie de grès,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,,Afrique,,,
????,poterie de grès,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,,Amériques,,,
????,poterie de terre cuite,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,La Rochelle,Angleterre,,,
????,pots de terre,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,La Rochelle,Angleterre,,,
????,fort en diable,Produits inconnus,Exports,Rouen,Espagne,,,
????,rasorde,Produits inconnus,Exports,,Amériques,,,
????,sayessa,Produits inconnus,Exports,,Asie,,,
????,rocou,Rocou,Exports,La Rochelle,Suisse,,,
????,ruban de soie,Rubanerie et passementerie de soie,Exports,,Portugal,,,
????,sel de mer,Sel,Exports,Nantes,Afrique,,,
????,sel de mer,Sel,Exports,Nantes,Amériques,,,
????,sel,Sel,Exports,,Amériques,,,
????,sel,Sel,Exports,France,Amériques,,,
????,sel,Sel,Imports,,Espagne,,,
????,sirop de vinaigre,Sirop et mélasse,Exports,Besançon,Suisse,,,
????,soie crue,Soie,Exports,,Allemagne,,,
????,ails,Subsistances diverses et mélangées,Imports,,Espagne,,,
????,câpres,Subsistances diverses et mélangées,Exports,,Amériques,,,
????,sucre en pain,Sucre,Imports,Lorient,Angleterre,,,
????,toile de chanvre,Toiles de chanvre et de lin,Imports,,Allemagne,,,
????,cotonnades,Toiles de coton,Exports,Bordeaux,Espagne,,,
????,étoffe de coton,Toiles de coton,Imports,Lorient,Angleterre,,,
????,toile de coton non ???,Toiles de coton,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,toile à voile,Toiles diverses,Imports,Lorient,Nord,,,
????,toile d'emballage,Toiles diverses,Imports,Lorient,Nord,,,
????,toile,Toiles diverses,Imports,Lorient,Nord,,,
????,canevettes,Verrerie,Exports,Bordeaux,Angleterre,,,
????,rassades,Verrerie,Imports,Rennes,Hollande,,,
????,verres communs à vitre,Verrerie,Exports,Flandre,France,,,
????,verres communs,Verrerie,Imports,,Allemagne,,,
????,verroterie,Verrerie,Imports,Lorient,Nord,,,
????,vin de liqueurs,Vin de liqueurs,Imports,,Allemagne,,,
????,vin de liqueurs,Vin de liqueurs,Imports,,Nord,,,
????,vin d'Alicante,Vins divers,Exports,,Afrique,,,
????,vin d'Amont,Vins divers,Exports,Nantes,Allemagne,,,
????,vin d'Espagne,Vins divers,Imports,,Espagne,,,
????,vin d'Orléans,Vins divers,Exports,,Flandre et autres états de l'Empereur,,,
????,vin de Frontignan,Vins divers,Exports,,Espagne,,,
????,vin de montagne,Vins divers,Exports,,Allemagne,,,
????,vin de muscat,Vins divers,Exports,Marseille,Italie,,,
????,vin de muscat,Vins divers,Imports,Saint-Malo,France,,,
????,vin de Reims,Vins divers,Exports,,Suisse,,,
????,vin du Cap,Vins divers,Imports,,Asie,,,
????,vin du Dauphiné,Vins divers,Exports,,Italie,,,
????,vin du Dauphiné,Vins divers,Exports,,Suisse,,,
????,vin du Lyonnais,Vins divers,Exports,Lyon,Suisse,,,
????,vin du Rhin,Vins divers,Imports,,Flandre et autres états de l'Empereur,,,
????,vin du Roussillon,Vins divers,Exports,,Espagne,,,
????,vin hors,Vins divers,Exports,,Nord,,,
????,vin rouge,Vins divers,Exports,Marseille,Italie,,,
????,vin,Vins divers,Imports,Lorient,France,,,
?ans,velours,Étoffes de soie,Imports,Narbonne,Espagne,,,
#,étoffe de laine,Étoffes de laine,Exports,,Flandre et autres états de l'Empereur,,,
#,quincaillerie de fer clou,Quincaillerie,Imports,,Nord,,,
alvrames,vin du cap de Bonne Espérance,Vins divers,Exports,Rennes,Hollande,,,
alvrames,vin,Vins divers,Imports,Rennes,Asie,,,
andouilles,tabac de St. Domingue,Tabac,Imports,Rouen,Amériques,,,
arts,auf,Matières premières diverses,Exports,Marseille,Italie,,,
assortis,mâtereaux et mâts,"Ouvrages de bois, liège et jonc",Imports,Nantes,Hollande,,,
au grand compte,planches de sapin,"Ouvrages de bois, liège et jonc",Exports,Bordeaux,Amériques,,,
aune,esprit-de-vin,Drogues diverses,Exports,Montpellier,Hollande,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Angleterre,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Asie,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Hollande,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Italie,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Angleterre,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Espagne,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Hollande,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Italie,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Nord,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Nantes,Angleterre,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Nord,,,
aune,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Rennes,Angleterre,,,
aune,burat,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,casimir,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,drap et draperie casinier,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,drap,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,droguet de laine,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,étoffe de laine beige,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,étoffe de laine florentine,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,étoffe de laine orientale,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,étoffe de laine piquée,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,étoffe de laine sayali,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,flanelle de laine,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,satin de laine turc,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,serge de laine,Étoffes de laine,Imports,Amiens,Angleterre,,,
aune,fichus de gaze,Habits et lingerie,Imports,Amiens,Angleterre,,,
aune,toile de coton basin,"Mousseline, basin et nankin",Imports,Amiens,Angleterre,,,
aune,jeanette de laine,Produits inconnus,Imports,Amiens,Angleterre,,,
aunes carrées,casimir de laine,Étoffes de laine,Imports,La Rochelle,Angleterre,,,
aune,gaze,Textiles manufacturés divers et mélangés,Imports,Amiens,Angleterre,,,
aune,molleton de coton,Textiles manufacturés divers et mélangés,Imports,Amiens,Angleterre,,,
aune,toile de Bretagne de St. Georges,Toiles de chanvre et de lin,Exports,Rennes,Hollande,,,
aune,toile de Bretagne verges rayées,Toiles de chanvre et de lin,Exports,Rennes,Angleterre,,,
aune,toile de Bretagne verges serpillère,Toiles de chanvre et de lin,Exports,Rennes,Angleterre,,,
aune,toile de Bretagne,Toiles de chanvre et de lin,Exports,Nantes,Amériques,,,
aune,toile de chanvre,Toiles de chanvre et de lin,Exports,Rennes,Amériques,,,
aune,toile de chanvre,Toiles de chanvre et de lin,Imports,Amiens,France,,,
aune,drap de coton,Toiles de coton,Imports,Amiens,Angleterre,,,
aune,toile de coton rayée,Toiles de coton,Exports,Rennes,Angleterre,,,
aune,velours de coton,Toiles de coton,Imports,Amiens,Angleterre,,,
aune,toile leriote,Toiles diverses,Imports,Amiens,Angleterre,,,
aune,toile,Toiles diverses,Imports,Amiens,Angleterre,,,
baines,charbon de bois,Combustibles dont charbons et bois,Exports,Châlons,Allemagne,,,
baines,charbon de bois,Combustibles dont charbons et bois,Exports,Lyon,Suisse,,,
ballot petit,gants communs,Gants,Exports,Nantes,Nord,,,
barattes,saumon salé,Poissons et fruits de mer,Imports,Rennes,Angleterre,,,
barbançons,bière,"Bière, cidre et vinaigre",Exports,Nantes,Amériques,,,
barbots,cidre,"Bière, cidre et vinaigre",Exports,Rennes,Amériques,,,
barbues,cidre,"Bière, cidre et vinaigre",Exports,Rouen,Amériques,,,
barbues,huile de morue,Huile de poisson,Exports,Rouen,Amériques,,,
baril,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bayonne,Amériques,,,
baril,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bayonne,Espagne,,,
baril,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bayonne,Flandre et autres états de l'Empereur,,,
baril,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bayonne,Hollande,,,
baril,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bayonne,Nord,,,
barillets,cuisses d'oie,Chairs et œufs,Exports,Nantes,Amériques,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Exports,Bayonne,Amériques,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Exports,Bordeaux,Amériques,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Exports,Nantes,Amériques,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Bordeaux,Hollande,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Bordeaux,Nord,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,La Rochelle,Nord,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Marseille,Nord,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Nantes,Hollande,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Nantes,Nord,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Rennes,Hollande,,,
barillets,noir de fumée,Matières brutes et transformées pour teinture,Imports,Rouen,Nord,,,
barillets,noir pour noircir,Matières brutes et transformées pour teinture,Imports,Bordeaux,Hollande,,,
barillets,noir pour noircir,Matières brutes et transformées pour teinture,Imports,Bordeaux,Nord,,,
barillets,esturgeon,Poissons et fruits de mer,Imports,Nantes,Hollande,,,
baril,maquereaux,Poissons et fruits de mer,Imports,La Rochelle,Nord,,,
baril,saumon salé,Poissons et fruits de mer,Imports,La Rochelle,Nord,,,
barils ???,harengs fumés,Poissons et fruits de mer,Imports,Marseille,Italie,,,
barils ???,toile canevas,Toiles de chanvre et de lin,Imports,Marseille,Italie,,,
barils double,fer-blanc,Fer-blanc,Imports,Bourgogne,Allemagne,,,
barils double,fer-blanc,Fer-blanc,Imports,Châlons,Allemagne,,,
barils double,fer-blanc,Fer-blanc,Imports,La Rochelle,Hollande,,,
barils double,fer-blanc,Fer-blanc,Imports,Nantes,Nord,,,
barils double,fer-blanc,Fer-blanc,Imports,Rouen,Nord,,,
barils double,fer noir,Fer,Imports,Rouen,Nord,,,
barils double,noir de fumée,Matières brutes et transformées pour teinture,Imports,Nantes,Nord,,,
