numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale),Valeur en décimales de livres tournois,Différence,Remarques,Droits totaux indiqués,Droits unitaires,remarks pour les droits
543,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,8,Fil de cotton,Isles françoises de l'amérique,"150,00",Livres,"1,2500000","187,50","0,00",,,,
544,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,8,Foureaux de pistollet,Isles françoises de l'amérique,,VALEURS,"0,0000000","36,00","36,00",,,,
545,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,8,Fusils boucaniers,Isles françoises de l'amérique,"887,00",Nombre,"20,0000000","17740,00","0,00",,,,
546,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,8,Fermens de chirugie,Isles françoises de l'amérique,,VALEURS,"0,0000000","2300,00","2 300,00",,,,
547,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,8,Fer ouvré,Isles françoises de l'amérique,"219 250,00",Livres,"0,5000000","109625,00","0,00",,,,
548,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Fer de fonte ouvré,Isles françoises de l'amérique,"77 275,00",Livres,"0,1200000","8273,00","-1 000,00",,,,
549,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Fer blanc,Isles françoises de l'amérique,"1,00",Barils,"200,0000000","200,00","0,00",,,,
550,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Fayance,Isles françoises de l'amérique,"10 850,00",Livres,"0,5000000","5425,00","0,00",,,,
551,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Guynée Etoffe,Isles françoises de l'amérique,"2,00",Pieces,"30,0000000","60,00","0,00",,,,
552,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Galons d'or,Isles françoises de l'amérique,"50,00",Livres,"70,0000000","7000,00","3 500,00",PRIX EN MARC,,,
553,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Galon or et argent,Isles françoises de l'amérique,"6,00",Livres,"60,0000000","720,00","360,00",PRIX EN MARC,,,
554,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Gans,Isles françoises de l'amérique,"269,00",Douzaine,"9,0000000","2421,00","0,00",,,,
555,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Habits,Isles françoises de l'amérique,,VALEURS,"0,0000000","7850,00","7 850,00",,,,
556,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Habits de peau,Isles françoises de l'amérique,,VALEURS,"0,0000000","460,00","460,00",,,,
557,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Hornois de cheval,Isles françoises de l'amérique,,VALEURS,"0,0000000","505,00","505,00",,,,
558,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Linge de table ouvré,Isles françoises de l'amérique,"400,00",Livres,"1,2500000","500,00","0,00",,,,
559,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Lignes à pecher,Isles françoises de l'amérique,"3 800,00",Livres,"1,0000000","3800,00","0,00",,,,
560,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Librairie,Isles françoises de l'amérique,"968,00",Livres,"1,5000000","1452,00","0,00",,,,
561,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Mousseline,Isles françoises de l'amérique,"415,00",Auns,"4,0000000","1660,00","0,00",,,,
562,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Mercerie,Isles françoises de l'amérique,"4 913,00",Livres,"2,0000000","9827,00","1,00",,,,
563,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Meulles brodées,Isles françoises de l'amérique,,VALEURS,"0,0000000","260,00","260,00",,,,
564,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Miroirs,Isles françoises de l'amérique,,VALEURS,"0,0000000","2474,00","2 474,00",,,,
565,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Napes Ouvrées,Isles françoises de l'amérique,"61,00",Nombre,"3,0000000","183,00","0,00",,,,
566,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Outils à monuisier,Isles françoises de l'amérique,,VALEURS,"0,0000000","200,00","200,00",,,,
567,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Perruques,Isles françoises de l'amérique,"181,00",Livres,"50,0000000","9050,00","0,00",,,,
568,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Perruques de peau d'agneau,Isles françoises de l'amérique,"14,00",Douzaine,"5,0000000","70,00","0,00",,,,
569,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Peaux d'Ours à prestées,Isles françoises de l'amérique,"144,00",Nombre,"20,0000000","2880,00","0,00",,,,
570,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Peaux de maroquier,Isles françoises de l'amérique,"14,00",Douzaine,"60,0000000","840,00","0,00",,,,
571,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Papier,Isles françoises de l'amérique,"200,00",Rames,"6,0000000","1200,00","0,00",,,,
572,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Poudre à poudre,Isles françoises de l'amérique,"700,00",Livres,"0,4000000","280,00","0,00",,,,
573,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Poudre à tirer,Isles françoises de l'amérique,"26 675,00",Livres,"0,7000000","18672,50","0,00",,,,
574,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Pistolets,Isles françoises de l'amérique,"72,00",Paires,"10,0000000","720,00","0,00",,,,
575,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Plomb agrenaille,Isles françoises de l'amérique,"14 630,00",Livres,"0,5000000","7315,00","0,00",,,,
576,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Pipes a fumer,Isles françoises de l'amérique,"4 254,00",Grosses,"3,5000000","14889,00","0,00",,,,
577,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Pendules,Isles françoises de l'amérique,"3,00",Nombre,"300,0000000","900,00","0,00",,,,
578,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Parasols,Isles françoises de l'amérique,"24,00",Nombre,"3,5000000","84,00","0,00",,,,
579,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Pouliers,Isles françoises de l'amérique,,VALEURS,"0,0000000","124,00","124,00",,,,
580,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Quincaille,Isles françoises de l'amérique,"10 535,00",Livres,"0,5000000","5267,50","0,00",,,,
581,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Raie de Saint Maur,Isles françoises de l'amérique,"50,00",Auns,"8,0000000","400,00","0,00",,,,
582,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Robe de chambre,Isles françoises de l'amérique,"6,00",Nombre,"100,0000000","600,00","0,00",,,,
583,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,9,Ruban or et argent,Isles françoises de l'amérique,,VALEURS,"0,0000000","4400,00","4 400,00",,,,
584,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Ruban de Soye,Isles françoises de l'amérique,"3 000,00",Auns,"1,0000000","3000,00","0,00",,,,
585,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Ruban de Soye,Isles françoises de l'amérique,"25,00",Livres,"50,0000000","1250,00","0,00",,,,
586,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Ruban de fil,Isles françoises de l'amérique,"70,00",Livres,"6,0000000","420,00","0,00",,,,
587,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Roues ferées,Isles françoises de l'amérique,"8,00",Paires,"100,0000000","800,00","0,00",,,,
588,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Soyerie,Isles françoises de l'amérique,"300,00",Livres,"30,0000000","9000,00","0,00",,,,
589,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Salemperie,Isles françoises de l'amérique,"20,00",Pieces,"20,0000000","400,00","0,00",,,,
590,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Siamoise,Isles françoises de l'amérique,"600,00",Auns,"3,0000000","1800,00","0,00",,,,
591,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Serviettes ouvrées,Isles françoises de l'amérique,"114,00",Douzaine,"20,0000000","2280,00","0,00",,,,
592,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Sac de toile,Isles françoises de l'amérique,"2 900,00",Nombre,"1,0000000","2900,00","0,00",,,,
593,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Sangles de cheval,Isles françoises de l'amérique,"2,00",Douzaine,"7,0000000","14,00","0,00",,,,
594,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Selles de cheval,Isles françoises de l'amérique,"279,00",Nombre,"30,0000000","8370,00","0,00",,,,
595,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Selles de cheval,Isles françoises de l'amérique,,VALEURS,"0,0000000","1500,00","1 500,00",,,,
596,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Souliers de hommes,Isles françoises de l'amérique,"4 410,00",Paires,"4,5000000","19845,00","0,00",,,,
597,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Souliers de femmes,Isles françoises de l'amérique,"3 961,00",Paires,"3,5000000","13863,50","0,00",,,,
598,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Souliers brodées,Isles françoises de l'amérique,,VALEURS,"0,0000000","340,00","340,00",,,,
599,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Souffler à forge,Isles françoises de l'amérique,"1,00",Nombre,"30,0000000","30,00","0,00",,,,
600,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Savon,Isles françoises de l'amérique,"12 980,00",Livres,"1,0000000","12980,00","0,00",,,,
601,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Sabre,Isles françoises de l'amérique,"56,00",Nombre,"4,0000000","224,00","0,00",,,,
602,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Serpes,Isles françoises de l'amérique,"130,00",Nombre,"1,2500000","162,50","0,00",,,,
603,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Tapsel Etoffe,Isles françoises de l'amérique,"2,00",Pieces,"0,0000000","0,00","0,00",MANQUE LE PRIX ET LA VALEUR,,,
604,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Tabliers de taffetas,Isles françoises de l'amérique,,VALEURS,"0,0000000","144,00","144,00",,,,
605,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Tableaux sur toile,Isles françoises de l'amérique,,VALEURS,"0,0000000","750,00","750,00",,,,
606,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile Batiste,Isles françoises de l'amérique,"1 247,00",Auns,"8,0000000","9976,00","0,00",,,,
607,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile Batiste,Isles françoises de l'amérique,"100,00",Livres,"24,0000000","2400,00","0,00",,,,
608,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de lin fine,Isles françoises de l'amérique,"2 098,00",Auns,"6,0000000","12588,00","0,00",,,,
609,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de lin fine,Isles françoises de l'amérique,"800,00",Livres,"20,0000000","16000,00","0,00",,,,
610,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de chanvre,Isles françoises de l'amérique,"6 650,00",Auns,"3,0000000","19950,00","0,00",,,,
611,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toiles assorties,Isles françoises de l'amérique,"17 291,00",Auns,"5,0000000","86455,00","0,00",,,,
612,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile Roeun,Isles françoises de l'amérique,"3 695,00",Auns,"2,0000000","7390,00","0,00",,,,
613,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de Laval,Isles françoises de l'amérique,"5 749,00",Auns,"1,5000000","8623,50","0,00",,,,
614,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de Chalet,Isles françoises de l'amérique,"3 223,00",Auns,"1,2500000","4028,75","0,00",,,,
615,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile de Saintange,Isles françoises de l'amérique,"25 070,00",Auns,"1,0000000","25070,00","0,00",,,,
616,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile Rousse fine,Isles françoises de l'amérique,"1 813,00",Auns,"1,5000000","2719,50","0,00",,,,
617,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile grosse,Isles françoises de l'amérique,"18 553,00",Auns,"0,8000000","14842,40","0,00",,,,
618,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile rayée,Isles françoises de l'amérique,"850,00",Auns,"1,0000000","850,00","0,00",,,,
619,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile peinte,Isles françoises de l'amérique,"21,00",Pieces,"90,0000000","1890,00","0,00",,,,
620,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Toile à voile,Isles françoises de l'amérique,"9 860,00",Auns,"1,2500000","12325,00","0,00",,,,
621,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,10,Tabenade de bois d'or,Isles françoises de l'amérique,"1,00",Nombre,"200,0000000","200,00","0,00",,,,
622,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,11,Tables peintes,Isles françoises de l'amérique,,valeur,"0,0000000","48,00","48,00",,,,
623,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,11,Tambours,Isles françoises de l'amérique,"12,00",Nombre,"4,0000000","48,00","0,00",,,,
624,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,11,Voiles neuves,Isles françoises de l'amérique,"34,00",Jets,"1 000,0000000","34000,00","0,00",,,,
625,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1720,Exports,Bordeaux,11,Verres à boire,Isles françoises de l'amérique,"113,00",Barriques,"35,0000000","3955,00","0,00",,,,
626,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Eau de vie,Angleterre,"3 524,00",Barriques,"100,0000000","352400,00","0,00",,,,
627,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Pruneaux,Angleterre,,VALEURS,"0,0000000","262200,00","262 200,00",,,,
628,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Papier,Angleterre,"720,00",Rames,"5,0000000","3600,00","0,00",,,,
629,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Sucre brut,Angleterre,"64 000,00",Livres,"0,2500000","16000,00","0,00",,,,
630,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Sirop de sucre,Angleterre,"24 000,00",Livres,"0,1200000","2880,00","0,00",,,,
631,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Vin de ville,Angleterre,"5 364,00",Tonneaux,"350,0000000","1877400,00","0,00",,,,
632,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Vin de haut,Angleterre,"570,00",Tonneaux,"90,0000000","51300,00","0,00",,,,
633,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Vinaigre,Angleterre,"162,00",Tonneaux,"100,0000000","16200,00","0,00",,,,
634,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Amandes Cassé,Hollande,"7 700,00",Livres,"0,6500000","5005,00","0,00",,,,
635,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Cacao,Hollande,"62 135,00",Livres,"0,7500000","46605,00","3,75",,,,
636,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Gingembre,Hollande,"23 535,00",Livres,"0,2800000","6589,00","-0,80",,,,
637,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,1,Miel,Hollande,"765 600,00",Livres,"0,1300000","99528,00","0,00",,,,
638,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Pruneaux,Hollande,"2 173 000,00",Livres,"0,1000000","217300,00","0,00",,,,
639,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Sucre blanc,Hollande,"85 225,00",Livres,"0,5000000","42612,50","0,00",,,,
640,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Sucre brut,Hollande,"3 837 275,00",Livres,"0,2500000","479658,75","-479 660,00",ERREUR CALCUL,,,
641,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Sirop de sucre,Hollande,"572 800,00",Livres,"12,0000000","343680,00","-6 529 920,00",ERREUR CALCUL,,,
642,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Eau de vie,Hollande,"15 237,00",Barriques,"100,0000000","1523700,00","0,00",,,,
643,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Vin de ville,Hollande,"22 790,00",Tonneaux,"100,0000000","2279000,00","0,00",,,,
644,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Vin de haut,Hollande,"10 180,00",Tonneaux,"90,0000000","916200,00","0,00",,,,
645,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Vin de Blaye,Hollande,"1 168,00",Tonneaux,"70,0000000","81760,00","0,00",,,,
646,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Vinaigre,Hollande,"212,00",Tonneaux,"100,0000000","21200,00","0,00",,,,
647,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Amidon,Hollande,"13 000,00",Livres,"0,2000000","2600,00","0,00",,,,
648,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Camphre,Hollande,"2 000,00",Livres,"10,0000000","20000,00","0,00",,,,
649,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Galipol,Hollande,"3 260,00",Livres,"0,1400000","456,00","-0,40",,,,
650,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Graine de Lin,Hollande,"4 386,00",Boisseaux,"12,0000000","52632,00","0,00",,,,
651,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Indigo,Hollande,"30 581,00",Livres,"4,7500000","145259,00","-0,75",,,,
652,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,2,Liege,Hollande,"6 800,00",Livres,"0,3500000","1380,00","-1 000,00",,,,
653,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,3,Papier,Hollande,"38 753,00",Rames,"3,5000000","135635,00","-0,50",,,,
654,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1721,Exports,Bordeaux,3,Rocou,Hollande,"2 600,00",Livres,"1,2500000","3250,00","0,00",,,,
