numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportimport,direction,sheet,marchandises,pays,value,quantit,quantity_unit,,Remarques
13,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Amandes en coques,Hollande,0,"17 000,00",Livres,"0,2400000",
14,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Ardoises,Hollande,0,"20 000,00",pièces,"0,0120000",
15,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Armoisin,Hollande,0,"636,00",Pièces,"35,0000000",
16,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Beurre salé d'Irlande,Hollande,0,"63 530,00",Livres,"0,3000000",
17,Loïc Charles,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Beurre salé du pays,Hollande,0,"63 530,00",Livres,"0,3000000",
18,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Bled froment,Hollande,0,"465,00",Tonneaux,"100,0000000",
19,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Bled seigle,Hollande,0,"4 571,00",Tonneaux,"56,0000000",
20,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Bois d'Inde,Hollande,0,"12 400,00",Livres,"0,2500000",
21,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Bois rouge,Hollande,0,"176 550,00",Livres,"0,2200000",il est indiqué : et valent 34169 Livres 17 sous
22,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Bois rouge,Hollande,"34169,85","1,00",Valeur ,"34 169,8500000",
23,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Bougie,Hollande,0,"200,00",Livres,"2,0000000",
24,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Brosserie,Hollande,0,"115,00",Livres,"1,0000000",pas de prix unitaire indiqué
25,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Cabarets,Hollande,0,"1,00",Valeur ,"50,0000000",
26,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Caffé de bourbon,Hollande,0,"525 833,00",Livres,"1,0500000",
27,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Caffé des Isles,Hollande,0,"221 154,00",Livres,"0,7500000",
28,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Casse,Hollande,0,"3 000,00",Livres,"0,1000000",
29,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Cauris,Hollande,0,"5 241,00",Livres,"0,7500000",
30,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Chataignes,Hollande,0,"1 346,00",Boisseaux,"0,6000000",
31,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Citrons confits,Hollande,0,"200,00",Livres,"0,6000000",
32,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Confitures,Hollande,0,"50,00",Livres,"0,6000000",
33,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Cotton en laine,Hollande,0,"25 332,00",Livres,"1,5000000",
34,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Cuirs secs en poils,Hollande,0,"8 124,00",En nombre,"5,5000000",
35,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Damas divers,Hollande,0,"275,00",PIèces,"0,0000000",il est indiqué 8 Livres l'aune
36,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Eau de vie,Hollande,0,"105 642,00",Veltes,"70,0000000",
37,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Fruits cuits,Hollande,0,"935,00",Livres,"0,2500000",
38,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Garas blanc,Hollande,0,"1 280,00",Pièces,"14,0000000",
39,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Garas bleu,Hollande,0,"254,00",Pièces,"13,0000000",
40,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Gingembre confit,Hollande,0,"1 580,00",Livres,"0,6000000",
41,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Gomme du senegal,Hollande,0,"15 200,00",Livres,"0,4000000",
42,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Gourgouran,Hollande,0,"213,00",Pièces,"80,0000000",
43,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Guinée blanche,Hollande,0,"30,00",Pièces,"44,0000000",
44,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Guinée bleue,Hollande,0,"120,00",Pièces,"18,0000000",
45,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Guingas,Hollande,0,"200,00",Pièces,"8,0000000",
46,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Huille d'olive,Hollande,0,"530,00",Livres,"0,6000000",
47,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Jamavart,Hollande,0,"52,00",Pièces,"60,0000000",
48,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Indienne,Hollande,0,"130,00",Pièces,"17,0000000",
49,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Indigo,Hollande,0,"102 971,00",Livres,"3,5000000",
50,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Lampas,Hollande,0,"25,00",Pièces,"76,0000000",doute prix unitaire en partie effacé
51,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,2,Limeneas,Hollande,0,"160,00",Pièces,"18,0000000",
52,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Madriers de noier,Hollande,0,"232,00",En nombre,"15,0000000",
53,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Miel,Hollande,0,"27 850,00",Livres,"0,1500000",
54,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Mouchoirs de bengalle,Hollande,0,"100,00",Pièces,"10,0000000",
55,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Mouchoirs mazulipatan,Hollande,0,"97,00",Pièces,"24,0000000",
56,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Mouchoirs de ponlichery,Hollande,0,"412,00",PIèces,"17,0000000",
57,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Ocre,Hollande,0,"1 165,00",Bariques,"20,0000000",
58,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Ocre,Hollande,0,"200,00",Barils,"10,0000000",
59,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Orge,Hollande,0,"505,00",Tonneaux,"50,0000000",
60,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Satissoye,Hollande,0,"116,00",Pièces,"80,0000000",
61,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Peaux de mouton passées,Hollande,0,"1 800,00",Pièces,"1,0000000",
62,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Peaux de veau corroyées,Hollande,0,"8 100,00",Pièces,"2,5000000",
63,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Pekins unis,Hollande,0,"147,00",Pièces,"75,0000000",
64,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Pruneaux d'amont,Hollande,0,"42 950,00",Livres,"0,2000000",
65,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Pruneaux communs,Hollande,0,"27 500,00",Livres,"0,1250000",
66,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Pruneaux de sainte catherine,Hollande,0,"1 600,00",Livres,"0,2250000",
67,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Rats de maroc,Hollande,0,"1 450,00",Aunes,"2,2500000",
68,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Ris,Hollande,0,"415 331,00",Livres,"0,1250000",
69,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Salemporis blanc,Hollande,0,"160,00",PIèces,"18,0000000",
70,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Satins rayés et unis,Hollande,0,"168,00",Pièces,"0,0000000",il est indiqué  4 Livres l'aune
71,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Savon,Hollande,0,"1 880,00",Livres,"0,4400000",
72,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"316,00",Charges,"33,0000000",
73,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"568,00",Charges,"30,0000000",
74,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"183,00",Charges,"27,5000000",
75,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"725,00",Charges,"25,0000000",
76,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"425,00",Charges,"23,0000000",
77,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"49,00",Charges,"22,5000000",
78,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Bourgneuf,Hollande,0,"617,00",Charges,"22,0000000",
79,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel du Croisic,Hollande,0,"36,00",Muids,"33,0000000",
80,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel du Croisic,Hollande,0,"30,00",Muids,"25,0000000",
81,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel du Croisic,Hollande,0,"281,00",Muids,"24,0000000",
82,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel du Croisic,Hollande,0,"269,00",Muids,"30,0000000",
83,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel du Croisic,Hollande,0,"1 654,00",Muids,"14,0000000",
84,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Poulinguen,Hollande,0,"35,00",Muids,"24,0000000",
85,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,3,Sel de Poulinguen,Hollande,0,"263,00",Muids,"13,0000000",
86,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Sirop de Sucre,Hollande,0,"1 084 725,00",Livres,"0,0750000",
87,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Soye nankin,Hollande,0,"2 535,00",Livres,"22,0000000",
88,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Soye tanis,Hollande,0,"13 646,00",Livres,"20,0000000",
89,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Sucre brut,Hollande,0,"686 950,00",Livres,"0,3000000",
90,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Sucre en pain,Hollande,0,"2 530,00",Livres,"0,8000000",
91,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Sucre terré,Hollande,0,"861 025,00",Livres,"0,4000000",
92,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Sucre teste,Hollande,0,"63 025,00",Livres,"0,3300000",
93,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Tabac en feuille,Hollande,0,"200 484,00",Livres,"0,2300000",
94,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Tabac filé,Hollande,0,"867 327,00",Livres,"0,7500000",
95,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Tabac de Saint Domingue,Hollande,0,"5 975,00",Livres,"0,9000000",
96,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Taffia,Hollande,0,"10,00",Quarts,"0,0000000",
97,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Taffia,Hollande,0,"552,00",Veltes,"2,0689655",il est indiqué 60 Livres les 29 veltes
98,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Thés divers,Hollande,0,"16 541,00",Livres,"3,2500000",Il est indiqué et valent  3986926.13
99,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Thés divers,Hollande,3986927,"1,00",Valeur ,"3 986 926,6500000",
100,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Toilles de bretagne,Hollande,0,"30 210,00",Aunes,"1,1000000","Pas clair s'il s'agit de quantités en Aunes ou en livres, à vérifier statistiquement."
101,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Toille d'hollande de façon d'Ambourg,Hollande,0,"6 668,00",Aunes,"6,0000000","Il y a un pataquès, le nom de la marchandise est en 2 lignes et les copistes ont semble-til cru qu'il s'agissait de 2 flux de marchandises diférents, mais il n'y qu'un quantité en vis-à-vis de la dernière ligne.Par ailleurs c'est toile d'hollande (ce qui est marqué) ou d'hollone (on le trouve plus bas)??"
102,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Vin d'amont,Hollande,0,"3 436,00",Tonneaux,"140,0000000",
103,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Vin Nantois,Hollande,0,"319,00",Tonneaux,"100,0000000",
104,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Amandes cassées,Nord qui comprend les villes anseatiques et la moscovie,0,"21 980,00",Livres,"0,2000000",
105,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Arbres fruitiers,Nord qui comprend les villes anseatiques et la moscovie,0,"50,00",En nombre,"4,0000000",
106,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Armoisins,Nord qui comprend les villes anseatiques et la moscovie,0,"48,00",PIèces,"35,0000000",
107,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Armoisins,Nord qui comprend les villes anseatiques et la moscovie,0,"1,00",Valeur ,"1 660,0000000",
108,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Bas divers,Nord qui comprend les villes anseatiques et la moscovie,0,"184,00",Paires,"2,0000000",
109,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Basin blanc,Nord qui comprend les villes anseatiques et la moscovie,0,"30,00",Pièces,"25,0000000",
110,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Beurre du pays,Nord qui comprend les villes anseatiques et la moscovie,0,"14 840,00",Livres,"0,3200000",
111,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Billes d'ivoir,Nord qui comprend les villes anseatiques et la moscovie,0,"6,00",En nombre,"2,0000000",
112,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Bled froment,Nord qui comprend les villes anseatiques et la moscovie,0,"1 077,00",Tonneaux,"100,0000000",
113,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,4,Bled seigle,Nord qui comprend les villes anseatiques et la moscovie,0,"1 019,00",Tonneaux,"56,0000000",
114,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Bois jaune a teindre,Nord qui comprend les villes anseatiques et la moscovie,0,"3 350,00",Livres,"0,3000000",
115,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Bois rouge,Nord qui comprend les villes anseatiques et la moscovie,0,"1,00",Valeur ,"1 158,3000000",
116,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Boucles de tombac,Nord qui comprend les villes anseatiques et la moscovie,0,"47,00",Paires,"0,6000000",il est indiqué 24 sous la douzaine
117,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Bouteilles de cristal,Nord qui comprend les villes anseatiques et la moscovie,0,"4,00",PIèces,"1,5000000",
118,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Boutons de tombas,Nord qui comprend les villes anseatiques et la moscovie,0,"48,00",Paires,"0,2000000",il est indiqué 24 sous la douzaine
119,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Cabarets garnis,Nord qui comprend les villes anseatiques et la moscovie,0,"1,00",Valeur ,"200,0000000",
120,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Cacao,Nord qui comprend les villes anseatiques et la moscovie,0,"793,00",Livres,"0,8000000",
121,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Caffé bourbon,Nord qui comprend les villes anseatiques et la moscovie,0,"560 884,00",Livres,"1,0500000",
122,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Caffé des Isles,Nord qui comprend les villes anseatiques et la moscovie,0,"992 909,00",Livres,"0,7500000",
123,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Caffé de Moka,Nord qui comprend les villes anseatiques et la moscovie,0,"200,00",Livres,"3,5000000",
124,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Caladaris,Nord qui comprend les villes anseatiques et la moscovie,0,"100,00",PIèces,"42,0000000",
125,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Cardes a carder,Nord qui comprend les villes anseatiques et la moscovie,0,"6,00",Paires,"0,0000000",Pas de rpix unitaire
126,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Chandeliers de cuivre,Nord qui comprend les villes anseatiques et la moscovie,0,"4,00",PIèces,"1,5000000",
127,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Circahas,Nord qui comprend les villes anseatiques et la moscovie,0,"88,00",PIèces,"50,0000000",
128,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Citrons confits,Nord qui comprend les villes anseatiques et la moscovie,0,"1 170,00",Livres,"0,6000000",
129,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Confitures,Nord qui comprend les villes anseatiques et la moscovie,0,"624,00",Livres,"0,6000000",
130,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Couteaux de table,Nord qui comprend les villes anseatiques et la moscovie,0,"99,00",PIèces,"1,0000000",
131,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Cuirs de vache tanné,Nord qui comprend les villes anseatiques et la moscovie,0,"100,00",Livres,"0,8000000",
132,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Damas divers,Nord qui comprend les villes anseatiques et la moscovie,0,"116,00",PIèces,"0,0000000",Il est indiqué 8 Livres l'aune
133,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Diamans,Nord qui comprend les villes anseatiques et la moscovie,0,"1,00",Valeur ,"1 000,0000000",
134,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Dissouchay,Nord qui comprend les villes anseatiques et la moscovie,0,"40,00",PIèces,"0,0000000",pas de prix unitaire
135,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,5,Drap fin,Nord qui comprend les villes anseatiques et la moscovie,0,"3,00",PIèces,"400,0000000",
