numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,quantit,quantity_unit,bureaux,doubleaccounts
14,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,82111,livres,Poitou,0
15,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,15524,livres,Rethelois,0
16,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,148338,livres,Rouen,0
17,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,6037,livres,Tonne-Charente,0
18,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; non ouvré,1070,livres,Amiens et Soissons,0
19,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; non ouvré,293,livres,Chaalons et Troyes,0
20,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; non ouvré,11695,livres,Dijon et Chalons-sur_saone,0
21,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; non ouvré,22,livres,Poitou,0
22,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,1757,livres,Amiens et Soissons,0
23,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,40,livres,Bourges et Moulins,0
24,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,40050,livres,Caën par Mer,0
25,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,19,livres,Caën par Terre,0
26,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,1929,livres,Chaalons et Troyes,0
27,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,1400,livres,Dijon et Chalons-sur_saone,0
28,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,70,livres,"Languedoc, Provence et Roussillon",0
29,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,2,livres,"Lyon, Valence et Bresse",0
30,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,230,livres,Mayne et Anjou,0
31,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,1278,livres,Poitou,0
32,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Airain ; ouvré,13397,livres,Rethelois,0
33,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,500,livres,Bourges et Moulins,0
34,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,1227,livres,Chaalons et Troyes,0
35,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,2323,livres,La Rochelle,0
36,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,18,livres,"Languedoc, Provence et Roussillon",0
37,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,25,livres,Poitou,0
38,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,39018,livres,Rethelois,0
39,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,105,livres,Rouen,0
40,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Armes,6365,livres,Tonne-Charente,0
41,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,1601,livres,Amiens et Soissons,0
42,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,985,livres,Bourges et Moulins,0
43,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,36,livres,Caën par Mer,0
44,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,305,livres,Caën par Terre,0
45,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,18,livres,Chaalons et Troyes,0
46,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,89850,livres,Convoy de Bordeaux,0
47,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,537,livres,La Rochelle,0
48,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,5956,livres,"Languedoc, Provence et Roussillon",0
49,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,773,livres,Mayne et Anjou,0
50,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,56345,livres,Nantes,0
51,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,377,livres,Poitou,0
52,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,1228,livres,Rethelois,0
53,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,13047,livres,Rouen,0
54,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Baleine coupée,300,livres,Tonne-Charente,0
55,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,486,pièces,Amiens et Soissons,0
56,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,8,pièces,Bayonne et Arzac,0
57,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,631,pièces,Convoy de Bordeaux,0
58,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,5,pièces,"Lyon, Valence et Bresse",0
59,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,30,pièces,Nantes,0
60,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,36,pièces,Paris,0
61,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,1,pièces,Poitou,0
62,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Barracans,4,pièces,Rouen,0
63,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,1859,paires,Amiens et Soissons,0
64,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,14,paires,Bourges et Moulins,0
65,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,16,paires,Caën par Terre,0
66,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,3,paires,Chaalons et Troyes,0
67,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,2047,paires,"Languedoc, Provence et Roussillon",0
68,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,894,paires,"Lyon, Valence et Bresse",0
69,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,170,paires,Mayne et Anjou,0
70,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,10,paires,Paris,0
71,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,18,paires,Poitou,0
72,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de cotton et fil,22,paires,Rouen,0
73,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,381,paires,Amiens et Soissons,0
74,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,13612,paires,Bayonne et Arzac,0
75,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,24,paires,Bourges et Moulins,0
76,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,38784,paires,Caën par Mer,0
77,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,22,paires,Caën par Terre,0
78,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,85,paires,Chaalons et Troyes,0
79,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,92322,paires,Convoy de Bordeaux,0
80,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,135,paires,La Rochelle,0
81,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,5297,paires,"Languedoc, Provence et Roussillon",0
82,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,99,paires,"Lyon, Valence et Bresse",0
83,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,1080,paires,Mayne et Anjou,0
84,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,990,paires,Nantes,0
85,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,719,paires,Paris,0
86,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,33,paires,Poitou,0
87,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,67,paires,Rethelois,0
88,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,1731,paires,Rouen,0
89,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de laine,1038,paires,Tonne-Charente,0
90,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,525,paires,Amiens et Soissons,0
91,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,750,paires,Bayonne et Arzac,0
92,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,7,paires,Bourges et Moulins,0
93,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,400,paires,"Languedoc, Provence et Roussillon",0
94,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,27,paires,"Lyon, Valence et Bresse",0
95,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,12,paires,Mayne et Anjou,0
96,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,14,paires,Nantes,0
97,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,8,paires,Paris,0
98,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,7,paires,Poitou,0
99,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bas ; de soye,3,paires,Rouen,0
100,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,207,pièces,Amiens et Soissons,0
101,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,210,pièces,Bayonne et Arzac,0
102,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,33,pièces,Bourges et Moulins,0
103,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,1,pièces,Caën par Mer,0
104,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,130,pièces,Convoy de Bordeaux,0
105,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,411,pièces,La Rochelle,0
106,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,52,pièces,"Languedoc, Provence et Roussillon",0
107,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,1,pièces,Mayne et Anjou,0
108,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,2,pièces,Nantes,0
109,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,408,pièces,Paris,0
110,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,1,pièces,Poitou,0
111,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bayette,582,pièces,Rouen,0
112,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,504,bazannes,Amiens et Soissons,0
113,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,114,bazannes,Bourges et Moulins,0
114,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,216,bazannes,Convoy de Bordeaux,0
115,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,48,bazannes,Dijon et Chalons-sur_saone,0
116,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,20437,bazannes,"Languedoc, Provence et Roussillon",0
117,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,428,bazannes,Poitou,0
118,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazannes,576,bazannes,Tonne-Charente,0
119,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazins,76,pièces,Amiens et Soissons,0
120,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazins,243,pièces,Convoy de Bordeaux,0
121,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazins,2,pièces,Nantes,0
122,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bazins,1,pièces,Paris,0
123,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,89547,livres,Amiens et Soissons,0
124,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,6400,livres,Bayonne et Arzac,0
125,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,39365,livres,Bourges et Moulins,0
126,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,295,livres,Caën par Mer,0
127,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,18123,livres,Caën par Terre,0
128,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,30457,livres,Chaalons et Troyes,0
129,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,367422,livres,Convoy de Bordeaux,0
130,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,3795,livres,Dijon et Chalons-sur_saone,0
131,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,940647,livres,La Rochelle,0
132,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,3161,livres,"Languedoc, Provence et Roussillon",0
133,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,32414,livres,"Lyon, Valence et Bresse",0
134,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,569624,livres,Mayne et Anjou,0
135,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,266415,livres,Nantes,0
136,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,40,livres,Paris,0
137,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,47668,livres,Poitou,0
138,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,614,livres,Rethelois,0
139,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,853716,livres,Rouen,0
140,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Beurre,70649,livres,Tonne-Charente,0
141,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,5,bœufs,Amiens et Soissons,0
142,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,2274,bœufs,Chaalons et Troyes,0
143,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,115,bœufs,Dijon et Chalons-sur_saone,0
144,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,1,bœufs,La Rochelle,0
145,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,263,bœufs,"Languedoc, Provence et Roussillon",0
146,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,70,bœufs,"Lyon, Valence et Bresse",0
147,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs ; en vie,135,bœufs,Rethelois,0
148,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,2,barils,Amiens et Soissons,0
149,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,468,barils,Convoy de Bordeaux,0
150,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,42,barils,La Rochelle,0
151,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,3,barils,"Lyon, Valence et Bresse",0
152,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,1761,barils,Nantes,0
153,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bœufs et langues salées ; de toutes sortes,5,barils,Rouen,0
154,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bombazins,105,pièces,Amiens et Soissons,0
155,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bombazins,12,pièces,La Rochelle,0
156,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bombazins,12,pièces,Rouen,0
157,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bonnets ; de laine,8,bonnets,Chaalons et Troyes,0
158,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bonnets ; de laine,1045,bonnets,"Languedoc, Provence et Roussillon",0
159,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bonnets ; de laine,126,bonnets,"Lyon, Valence et Bresse",0
160,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bonnets ; de laine,12,bonnets,Mayne et Anjou,0
161,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bonnets ; de laine,8,bonnets,Poitou,0
162,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Boucassins,30,pièces,Rouen,0
163,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,370,barils,Amiens et Soissons,0
164,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,124,barils,Caën par Mer,0
165,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,135,barils,Caën par Terre,0
166,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,2790,barils,La Rochelle,0
167,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,6258,barils,Mayne et Anjou,0
168,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,7212,barils,Nantes,0
169,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,99,barils,Poitou,0
170,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,2121,barils,Rouen,0
171,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bray,2240,barils,Tonne-Charente,0
172,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Brocatelles ; de Venise,3692,livres,"Lyon, Valence et Bresse",0
173,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,3,pièces,Amiens et Soissons,0
174,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,106,pièces,Bourges et Moulins,0
175,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,73,pièces,Chaalons et Troyes,0
176,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,5847,pièces,"Lyon, Valence et Bresse",0
177,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,128,pièces,Paris,0
178,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,5,pièces,Poitou,0
179,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Burail,13,pièces,Rouen,0
180,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Bure,5,pièces,Bourges et Moulins,0
181,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,3508,pièces,Amiens et Soissons,0
182,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,6,pièces,Bayonne et Arzac,0
183,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,2,pièces,Chaalons et Troyes,0
184,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,460,pièces,Convoy de Bordeaux,0
185,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,42,pièces,La Rochelle,0
186,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Camelots ; d'Angleterre et Hollande,54,pièces,"Languedoc, Provence et Roussillon",0
