numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
15,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Bretagne,Bas de laine,Norwegue,6,livres,0,0,0,
16,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Bretagne,Bas de laine,Espagne,80,livres,0,0,0,
17,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Bretagne,Bas de laine,Portugal,700,livres,0,0,0,
18,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Paris,Bas de soye,Espagne,2,livres,0,0,0,
19,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Paris,Bas de soye,Irlande,2,livres,0,0,0,
20,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Paris,Basse de violle,Espagne,1,en nombre,0,0,0,
21,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Bazin sec fil,Hollande,80,livres,0,0,0,
22,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Beure,Espagne,490,livres,0,0,0,
23,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Beure,Espagne,70,livres,0,0,0,
24,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Irlande,Beure,Espagne,1190,livres,0,0,0,
25,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Irlande,Beure,Hollande,200,livres,0,0,0,
26,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Marseille,Borax,Hollande,580,livres,0,0,0,
27,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Bonnets de laine,Portugal,129,en nombre,0,0,0,
28,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Bonnets de laine,Espagne,770,en nombre,0,0,0,
29,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Le Mans,Bougie,Espagne,40,livres,0,0,0,
30,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Le Mans,Bougie,Portugal,50,livres,0,0,0,
31,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Paix Haut,Bouracana,Espagne,30,livres,0,0,0,
32,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Boutons de crin ,Irlande,3,livres,0,0,0,
33,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Boutons de fil et d´or,Irlande,"5,5",livres,0,0,0,
34,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Boutons de fil d'argent,Irlande,"3,75",livres,0,0,0,
35,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Boutons de fil d'argent,Espagne,"0,13",livres,0,0,0,
36,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Bayonne,Bray sec,Espagne,710,livres,0,0,0,
37,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Bayonne,Bray sec,Portugal,9769,livres,0,0,0,
38,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Bayonne,Cacao,Hambourg,1000,livres,0,0,0,
39,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Bayonne,Cacao,Livourne,2925,livres,0,0,0,
40,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles ,Cacao,Espagne,12254,livres,0,0,0,Par mer
41,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles ,Cacao,Angleterre,27,livres,0,0,0,Par mer
42,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles ,Cacao,Besançon,164,livres,0,0,0,Par terre
43,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles ,Cacao,Livourne,638,livres,0,0,0,Par terre
44,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cage a oiseaux,Espagne,12,pieces,0,0,0,Par mer en passant par Bordeaux et de là par terre
45,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Lisle,Camelot fil et soye,Espagne,30,aunes,0,0,0,
46,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Hollande,Canelle,Espagne,50,livres,0,0,0,
47,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Marseille,Câpres,Breme,20,livres,0,0,0,
48,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cartes a jouer,Hollande,248,livres,0,0,0,
49,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cartes a jouer,Irlande,330,livres,0,0,0,
50,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cartes a jouer,Espagne,170,livres,0,0,0,
51,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cartes a jouer,Flandre imperiale,52,livres,0,0,0,
52,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chaises de Paille,Espagne,513,en nombre,0,0,0,
53,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chandelle,Livourne,200,livres,0,0,0,
54,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chandelle,Espagne,345,livres,0,0,0,
55,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chandelle,Espagne,150,livres,0,0,0,
56,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Chapeaux de castor,Espagne,36,en nombre,0,0,0,
57,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Chapeaux de castor,Espagne,5,en nombre,0,0,0,
58,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Paris,Chapeaux communs,Espagne,36,en nombre,0,0,0,
59,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Hambourg,540,boisseaux,0,0,0,
60,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Hollande,2317,boisseaux,0,0,0,
61,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Flandre imperiale,1327,boisseaux,0,0,0,
62,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Breme,250,boisseaux,0,0,0,
63,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Suede,378,boisseaux,0,0,0,
64,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Portugal,100,boisseaux,0,0,0,
65,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chateignes,Irlande,144,boisseaux,0,0,0,
66,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Chaux,Espagne,2,barriques,0,0,0,
67,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cire jaune,Espagne,4875,livres,0,0,0,
68,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Nantes,Cire jaune,Hollande,3200,livres,0,0,0,
69,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles Amerique,Citrons confits,Breme,12,livres,0,0,0,
70,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,2,Isles Amerique,Citrons confits,Hambourg,1017,livres,0,0,0,
71,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Espagne et Portugal,Citrons verds,Irlande,10000,livres,0,0,0,
72,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Paris,,Espagne,1,,0,0,0,Absence de marchandise
73,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Clouds de fer,Espagne,1300,livres,0,0,0,
74,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Clouds de fer,Espagne,125,livres,0,0,0,
75,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Colle,Espagne,4880,livres,0,0,0,
76,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Commode en bois de noyer,Portugal,2,en nombre,0,0,0,
77,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Hambourg,703,livres,0,0,0,
78,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Hollande,687,livres,0,0,0,
79,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Irlande,156,livres,0,0,0,
80,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Breme,26,livres,0,0,0,
81,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Livourne,100,livres,0,0,0,
82,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Espagne,278,livres,0,0,0,
83,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Suede,42,livres,0,0,0,
84,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture,Flandre imperiale,85,livres,0,0,0,
85,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture seiche,Hambourg,30,livres,0,0,0,
86,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture seiche,Hollande,36,livres,0,0,0,
87,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture seiche,Espagne,20,livres,0,0,0,
88,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture seiche,Irlande,10,livres,0,0,0,
89,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Confiture seiche,Flandre imperiale,6,livres,0,0,0,
90,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cottonade,Irlande,2224,aunes,0,0,0,
91,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cottonade,Hollande,190,aunes,0,0,0,
92,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cottonade,Flandre imperiale,600,aunes,0,0,0,
93,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cottonade,Portugal,36,aunes,0,0,0,
94,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cottonade,Suede,16,aunes,0,0,0,
95,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Isles,Cotton ,Flandre imperiale,19687,livres,0,0,0,
96,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Isles,Cotton ,Hambourg,1769,livres,0,0,0,
97,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Isles,Cotton ,Hollande,3200,livres,0,0,0,
98,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Couetil,Irlande,15,livres,0,0,0,
99,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cotton en fil,Flandre imperiale,840,livres,0,0,0,
100,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Couvertures de laine,Espagne,8,en nombre,0,0,0,
101,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Crin,Espagne,200,livres,0,0,0,
102,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Paris,Cuillères et fourchettes de cuivre argenté,Espagne,12,boites,0,0,0,
103,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cuir en croute,Espagne,150,pieces,0,0,0,
104,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Bretagne,Cuir pour souliers,Espagne,50,pieces,0,0,0,
105,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,3,Nantes,Cuir tanné,Espagne,450,pieces,0,0,0,
106,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Isles,Cuir sec en poil,Flandre imperiale,164,en nombre,0,0,0,
107,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Irlande,Cuir verds,Flandre imperiale,500,en nombre,0,0,0,
108,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Forest,Cuir verds,Espagne,3380,livres,0,0,0,
109,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Tours,Damas,Hollande,2,livres,0,0,0,
110,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,,Dentelle grossiere,Espagne,1570,livres,0,0,0,
111,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,,Dentelle grossiere,Espagne,7400,livres,0,0,0,
112,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,,Dentelle de soye,Espagne,1,livres,0,0,0,
113,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Chateaubriant,Draps communs,Portugal,62,aunes,0,0,0,
114,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Chateaubriant,Draps communs,Portugal,4,aunes,0,0,0,
115,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Chateaubriant,Draps communs,Espagne,"32,5",aunes,0,0,0,
116,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Chateaubriant,Draps communs,Espagne,31,aunes,0,0,0,
117,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Chateaubriant,Draps communs,Irlande,4,aunes,0,0,0,
118,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Sedan,Draps ,Portugal,160,aunes,0,0,0,
119,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Hambourg,19083,veltes,0,0,0,
120,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Hollande,"34259,5",veltes,0,0,0,
121,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Irlande et Angleterre,"129680,25",veltes,0,0,0,
122,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Espagne,"5937,5",veltes,0,0,0,
123,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Flandre imperiale,93208,veltes,0,0,0,
124,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Portugal,"10308,75",veltes,0,0,0,
125,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,"Stockholm, Middelbourg, Göteborg, Andenville, Narbeck et Gherben en Suède","6722,5",veltes,0,0,0,
126,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,"Bremen, Lubeck, Norvège et villes anséatiques",19582,veltes,0,0,0,
127,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Gennes,148,veltes,0,0,0,
128,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Livorne,34,veltes,0,0,0,
129,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Comte de Nantes,Eau de vie,Danemark,290,veltes,0,0,0,
130,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Isles,Eau de citronelle,Grenerey et Drumptom,23,bouteilles,0,0,0,
131,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Montpellier,Eau de la Reine d'Hongrie,Lubeck en Norvège,16,livres,0,0,0,
132,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Montpellier,Eau de la Reine d'Hongrie,Angleterre,8,livres,0,0,0,
133,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,4,Montpellier,Eau de la Reine d'Hongrie,Suède,3,livres,0,0,0,
134,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Montpellier,Essence,Drem,12,livres,0,0,0,
135,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Nantes,Etain,Cadix,50,livres,0,0,0,
136,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Mans,Etamine,Middelbourg,130,aunes,0,0,0,
137,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Mans,Etamine,Bilbao,116,aunes,0,0,0,
138,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Mans,Etamine,Lisbonne,1200,aunes,0,0,0,
139,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Angers et Saumur,Etamine de laine,Cadix et Bilbao,14324,aunes,0,0,0,
140,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Angers et Saumur,Etamine de laine,Lisbonne,11850,aunes,0,0,0,
141,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Angers et Saumur,Etamine de laine,Livourne,3024,aunes,0,0,0,
142,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Lyon,Etoffe de soye,Bilbao,"6,5",livres,0,0,0,
143,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Tours,Etoffe de soye,Portugal,"10,5",livres,0,0,0,
144,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Paris,Evantail d'Yvoire,Bilbao,4,douzaines,0,0,0,
145,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Paris,Evantail d'Yvoire,Bilbao,1,douzaines,0,0,0,
146,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Paris,Evantail commun,Bilbao,125,livres,0,0,0,
147,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Paris,Evantail commun,Bilbao,3,douzaines,0,0,0,
148,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Anjou,Farine,Espagne,"35,1",tonneaux,0,0,0,
149,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Anjou,Farine,Espagne,32,tonneaux,0,0,0,
150,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Anjou,Farine,Espagne,10,barils,0,0,0,
151,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Pays haut,Fayence,Espagne,"211,5",douzaines,0,0,0,
152,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Pays haut,Fayence,Irlande,"29,5",douzaines,0,0,0,
153,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Pays haut,Fayence,Hollande,21,douzaines,0,0,0,
154,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Pays haut,Fayence,Flandre imperiale,10,douzaines,0,0,0,
155,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Pays haut,Fayence,Portugal,1,douzaines,0,0,0,
156,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,France,Fers,Irlande,10000,milliers,0,0,0,
157,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Espagne,Fers,Irlande,4000,milliers,0,0,0,
158,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Espagne,Fers,Irlande,6000,milliers,0,0,0,
159,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Anjou et Comte nantais,"Fèves, orge, avoine, poix, mille et autres menus grains",Livourne,702,tonneaux,0,0,0,
160,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,5,Anjou et Comte nantais,"Fèves, orge, avoine, poix, mille et autres menus grains",Livourne,20,barriques,0,0,0,
