marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
Amadou	Amadou	5	5	Espèce de mèche noire qui vient d'Allemagne (Savary)			
Amandes	Amandes	0	0a				
Amandes ; cassées	Amandes	0	0a				
Amandes ; courtes	Amandes	0	0a				
Amandes ; en coques	Amandes	0	0a				
Amandes ; longues	Amandes	0	0a				
Amandes ; courtes	Amandes	0	0a		0	0a	
Amandes ; longues	Amandes	0	0a		0	0a	
Amaril	Amaril	2	2		2	2	
Ambre	Ambre	2	2				
Ambre ; Karabé	Ambre	2	2				
Ambre ; brut	Ambre	2	2				ambre jaune en masse
Ambre ; gris	Ambre	2	2				
Ambre ; jaune	Ambre	2	2				
Ambre ; moulu	Ambre	2	2				
Ambre ; brut	Ambre	2	2	ambre jaune en masse	2	2	ambre jaune en masse
Ambre ; vert	Ambre	2	2				
Amertis	Amertis	6	6d	Toile de coton blanche			
Amidon	Amidon	5	5				
Amidon et poudre à poudrer	Amidon et poudre à poudrer	5	5		5	5	
Amomum	Amomum	2	2				
Anacardes	Anacardes	2	2				
Ananas	Ananas	0	0b				
Anatose	Anatose	2	2				
Anchois	Anchois	0	0a				
Andolium ou crockvisch	Andolium ou crockvisch	0	0a		0	0a	
Anes et anesses	Animaux	0	0a		0	0a	
Anguilles	Anguilles	0	0a		0	0a	
Angélique	Angélique	2	2				
Animaux ; domestiques	Animaux	0	0a				
Anis	Anis	0	0a				
Anisette	Anisette	1	1				
Anspects	Anspects	6	6				
Antimoine	Antimoine	6	6				
Antofle ; de girofle	Antofle ; de girofle	0	0b				
Approvisionnement	Approvisionnement	…	…				
Apretée pour parchemin	Apretée pour parchemin	2	2		2	2	
Apretée à telier les livres	Apretée à telier les livres	2	2		2	2	
Aracq	Aracq	1	1				
Arbalètes	Arbalètes	9	9		9	9	
Arbres	Arbres et arbrisseaux	2	2				
Arbres ; chênes	Arbres et arbrisseaux	2	2				
Arbres ; en plants ; de bois	Arbres et arbrisseaux	2	2				
Arbres ; en plants ; de bois ; d'auban	Arbres et arbrisseaux	2	2				
Arbres ; sauvages	Arbres et arbrisseaux	2	2				
Arbres ; à fruits	Arbres et arbrisseaux	2	2				
Arbres ; à planter	Arbres et arbrisseaux	2	2				
Arbres ; à transformer en Pompe	Arbres et arbrisseaux	2	2				
Arbres et arbrisseaux	Arbres et arbrisseaux	2	2				
Arbres et arbrisseaux ; sauvages	Arbres et arbrisseaux	2	2		2	2	
Arbres et arbrisseaux ; à fruits	Arbres et arbrisseaux	2	2		2	2	
Archets de violons	Archets de violons	8	8		8	8	
Ardoises	Ardoises	6	6				
Ardoises ; dites chérubins et à mortier	Ardoises	6	6				ardoises dites cherubins
Ardoises ; dites grandes voisines	Ardoises	6	6				
Ardoises ; dites moyennes voisines	Ardoises	6	6				
Ardoises ; dites petites voisines	Ardoises	6	6				
Ardoises ; dites voisines, grandes, moyennes et petites	Ardoises	6	6				
Ardoises ; en livrets	Ardoises	6	6				
Ardoises ; encadrées	Ardoises	6	6				
Ardoises ; encadrées et en livrets	Ardoises	6	6				ardoises en tables et livrets
Ardoises ; non travaillées	Ardoises	6	6				ardoises brutes
Ardoises ; ordinaires	Ardoises	6	6				
Ardoises ; vertes	Ardoises	6	6				
Ardoises ; dites chérubins et à mortier	Ardoises	6	6	ardoises dites cherubins	6	6	ardoises dites cherubins
Ardoises ; dites grandes voisines	Ardoises	6	6		6	6	
Ardoises ; dites moyennes voisines	Ardoises	6	6		6	6	
Ardoises ; dites petites voisines	Ardoises	6	6		6	6	
Ardoises ; dites voisines, grandes, moyennes et petites	Ardoises	6	6		6	6	
Ardoises ; en livrets	Ardoises	6	6		6	6	
Ardoises ; encadrées	Ardoises	6	6		6	6	
Ardoises ; encadrées et en livrets	Ardoises	6	6	ardoises en tables et livrets	6	6	ardoises en tables et livrets
Ardoises ; non travaillées	Ardoises	2	2	ardoises brutes	2	2	ardoises brutes
Ardoises ; ordinaires	Ardoises	6	6		6	6	
Argent ; battu	Argent ; métal	6	6				
Argent ; brut	Argent ; métal	6	6				
Argent ; brûlé	Argent ; métal	6	6				
Argent ; carragoux	Argent ; métal	6	6				
Argent ; divers	Argent ; métal	6	6				
Argent ; en barres	Argent ; métal	6	6				
Argent ; en couvert	Argent ; ouvré	6	6				
Argent ; en feuilles	Argent ; métal	6	6				
Argent ; en lingots	Argent ; métal	6	6				
Argent ; faux	Argent ; faux	6	6				
Argent ; fin	Argent ; métal	6	6				
Argent ; or ; quadruples	Monnaies	9	9a				
Argent ; or ; sequins	Monnaies	9	9a				
Argent ; or ; sequins vénitiens	Monnaies	9	9a				
Argent ; paillettes	Monnaies	9	9a				
Argent ; sequins	Monnaies	9	9a				
Argent ; talaris	Monnaies	9	9a				
Argent ; vif	Mercure	5	5				
Argent en barils	Argent ; métal	6	6		6	6	
Argent en barres	Argent ; métal	6	6		6	6	
Argent et or ; billon		9	9a				
Argent et or ; billon	Monnaies	9	9		9	9	
Argenterie	Argenterie et orfèvrerie	8	8				
Argenterie ; boucle	Argenterie et orfèvrerie	8	8				
Argenterie ; boucles	Argenterie et orfèvrerie	8	8				
Argenterie ; bugues	Argenterie et orfèvrerie	8	8				
Argenterie ; croix	Argenterie et orfèvrerie	8	8				
Argenterie ; diverse	Argenterie et orfèvrerie	8	8				
Argenterie ; épées	Argenterie et orfèvrerie	8	8				
Argenterie et orfèvrerie	Argenterie et orfèvrerie	8	8				
Argent ; brulé	Argent ; métal	6	6		9	9	
Argile		2	2				
Aristoloche	Aristoloche	2	2				
Armagnac		1	1				
Arme	Armes	9	9				
Arme ; blanche	Armes	9	9				
Arme ; blanche ; lance d'épée	Armes	9	9				
Arme ; blanche ; sabre	Armes	9	9				
Arme ; blanche ; épée	Armes	9	9				
Arme ; blanche ; sabre	Armes	9	9				
Arme ; de main	Armes	9	9				
Arme ; à feu	Armes	9	9				
Arme ; à feu ; fusil	Armes	9	9				
Arme ; à feu ; fusils	Armes	9	9				
Arme ; à feu ; fusils ; démontés	Armes	9	9				canons de fusils
Arme ; à feu ; fusils ; neufs	Armes	9	9				
Arme ; à feu ; fusils ; vieux	Armes	9	9				
Arme ; à feu ; fusils et carabines	Armes	9	9				
Arme ; à feu ; pistolet	Armes	9	9				
Arme ; à feu ; pistolets	Armes	9	9				
Armes	Armes	9	9				
Armes ; blanches	Armes	9	9				
Armes ; blanches ; diverses	Armes	9	9				
Armes ; blanches ; lances d'épées	Armes	9	9				
Armes ; blanches ; sabres	Armes	9	9				
Armes ; blanches ; épées	Armes	9	9				
Armes ; réunies	Armes	9	9				
Armes ; à feu	Armes	9	9				
Armes ; à feu ; diverses	Armes	9	9				
Armes ; à feu ; fusils	Armes	9	9				
Armes ; à feu ; pistolets	Armes	9	9				
Armes non reprises	Armes	9	9	armes non reprises au tarif	9	9	armes non reprises au tarif
Armes remontrances	Armes	9	9		9	9	
Armes, Canon et balles de fer	Armes	9	9		9	9	
Arme ; Canon et balles de fer	Armes	9	9				
Arme ; artillerie	Armes	9	9				
Arme ; pique	Armes	9	9				
Arme ; à feu ; fusil	Armes	9	9				
Armoires	Armoires	8	8				
Armoisin	Armoisin	6	6c				
Armoisin/Taffetas	Armoisin	6	6c				
Armure		9	9				
Armure ; vieilles		9	9				
Armures ; de fer		9	9				
Arpois	Arpois	…	…				
Arquifou	Arquifou	5	5				
Arrosoir	Arrosoir	6	6				
Art de peau		8	8				
Artichauts	Artichauts	0	0a				
Artichauts ; confits	Artichauts	0	0a				
Articles ; d'industrie ; réunis	Marchandises diverses	8	8				
Articles ; réunis	Marchandises diverses	8	8				
Articles ; réunis ; d'industrie	Marchandises diverses	8	8				
Artifice	Artifice	8	8	artifice	8	8	artifice
Artilleries	Artilleries	9	9				
Artilleries ; de cuivre	Artilleries	9	9				
Arçons de selle	Arçons de selle	7	7				
Arçons de selles	Arçons de selle	9	9		9	9	
Asperges	Asperges	0	0a				
Asperges et scorsionnaires	Asperges	0	0a				
Asperges et scorsionnaires	Asperges	0	0a				
Asphalte	Asphalte	2	2				
Assa fétide	Assa fétide	2	2				
Assiette ; de bois		6	6				
Assiette ; de fayence		6	6				
Assiette ; de faïence		6	6				
Assiette ; de terre		6	6				
Assiette de fayence	Assiette de fayence	6	6				
Assiettes et plats		6	6				
Attelles ; de colliers	Attelles ; de colliers	7	7				
Auges		6	6				
Avelines	Avelines	0	0a	Grosse noisette			
Avirons	Avirons	7	7				
Avoine	Avoine	0	0a				
Avoine ; en gerbe		0	0a				
Avoine, gruau	Avoine, gruau	0	0a		0	0a	
Avoine ; en jarbes	Avoine ; en jarbes	0	0a				
Babouches	Babouches	8	8				
Babus	Babus	0	0a	Barbus (poisson)?			
Bacs contenant 1 aime	Bacs contenant 1 aime	6	6		6	6	
Bacs de pierre	Bacs de pierre	6	6				
Badiane	Badiane	5	5		5	5	
Baffetas	Baffetas	6	6d	Toile grosse de coton			
Bagages		8	8				
Bagues	Bagues	8	8				
Bagues ; de cuivre	Bagues ; de cuivre	8	8				
Bagues ; de laiton	Bagues ; de laiton	8	8				
Baguettes ; de fusils	Baguettes ; de fusils	6	6				
Baguettes ; à chandelle	Baguettes ; à chandelle	6	6				
Baguettes ; étoffe	Baguettes ; étoffe	6	6				
Bahuts	Bahuts	8	8				
Baies ; de genièvre		0	0a				
Baignes	Baignes	6	6b	Baigues ou Baignes : sorte de ratine (étoffe de laine)			
Bailliarge	Bailliarge	0	0a	Espèce d'orge qui vient de l'Angoumois ou du Poitou			
Bajutapeau	Bajutapeau	6	6d	Toile de coton destinée au commerce de la Traite			
Balais	Balais	8	8				
Balais ; coupée	Balais	8	8				
Balais ; de bois	Balais	8	8				
Balais ; de bruyère	Balais	8	8				
Balais ; de crin	Balais	8	8				
Balais ; de jonc		8	8				
Balais ; de joncs	Balais	8	8				
Balais ; de palmes	Balais	8	8				
Balais ; de riz	Balais	8	8				
Balais ; de soie	Balais	8	8				
Balais ; du roi		8	8				
Balais, petits	Balais	8	8	petits balais de bruyere	6	6	petits balais de bruyere
Balance	Balance	6	6		6	6	
Balance ; en fer		6	6				
Baleine	Baleine	0	0a				
Baleine ; coupée	Baleine	0	0a				
Baleine ; de sardes	Baleine	0	0a				
Baleine ; en fanon	Baleine	0	0a				
Baleine ; nageoires		0	0a				
Balles		8	8				
Balles ; d'osier		8	8				
Balles ; en fer		8	8				
Balles ; à jouer		8	8				balles à jouer à la paume ou à la crosse
Balles d'osier	Balles d'osier	8	8				
Balles ; à jouer	Balles ; à jouer	8	8	balles à jouer à la paume ou à la crosse	8	8	balles à jouer à la paume ou à la crosse
Balustre	Balustre	8	8				
Bandeaux	Bandeaux	6	6				
Banderoles	Banderoles	8	8		8	8	
Bandes de chapeau		6	6				
Bandoulières		6	6				
Baquets de sapin	Baquets de sapin	8	8				
Bar	Poisson	0	0a				
Baracan	Baracan	6	6b	étoffe de laine			
Barbaçons ; de grès	Barbaçons ; de grès	6	6				
Barbes ; de baleine	Barbes ; de baleine	0	0a	partie du fanon des baleines			
Barbotines	Barbotines	2	2				
Barils	Barils	6	6				
Barils ; vides	Barils ; vides	6	6				
Bariteau	Bariteau	6	6b	étoffe de laine et fil qui sert à tamiser			
Baromètre	Baromètre	8	8				
Barquettes	Barquettes	6	6		7	7	
Barquettes et nacelles	Barquettes	7	7		7	7	
Barquettes vieilles	Barquettes	7	7		7	7	
Barre ; de bois		2	2				
Barreaux ; bois		2	2				
Barreaux et planches ; bois		2	2				
Barres		2	2				
Barres ; d'anspects	Barres ; de bois	2	2				
Barres ; de bois	Barres ; de bois	2	2				
Barres ; de cabestan	Barres ; de bois	2	2				
Barres ; de cabestan et d'anspect		2	2				
Barres ; de sapin	Barres ; de bois	2	2				
Barres ; en bois ; pour navire		2	2				
Barres ; petites		2	2				
Barres ; pour construction		2	2				
Barres ; pous édifiées	Barres ; de bois	2	2				
Barrettes	Barrettes	8	8				
Barriques	Barriques	6	6				
Barriques ; vides		6	6				
Barriques ; vieilles	Barriques	6	6				
Barrois	Barrois	8	8				
Bas	Bas	8	8				
Bas ; assortis	Bas	8	8				
Bas ; coton	Bas	8	8				
Bas ; coton et fil	Bas	8	8				
Bas ; d'Estame	Bas	8	8				
Bas ; d'enfants		8	8				
Bas ; de Leyden		8	8				
Bas ; de castor	Bas	8	8				
Bas ; de chamois	Bas	8	8				
Bas ; de coton	Bas	8	8				
Bas ; de fil	Bas	8	8				
Bas ; de fil et coton	Bas	8	8		8	8	
Bas ; de filoselle	Bas	8	8				
Bas ; de fleuret	Bas	8	8				
Bas ; de laine	Bas	8	8				
Bas ; de peau	Bas	8	8				
Bas ; de soie	Bas	8	8				
Bas ; de soie ; à coins d'or	Bas	8	8				
Bas ; drapés	Bas	8	8				
Bas ; en laine ; de Jersey		8	8				
Bas et bonnets de coton	Bas	8	8				
Bas ; longs		8	8				
Bas ; soie et laine	Bas	8	8				
Bas ; soie et poil	Bas	8	8				
Bas ; tricotés		8	8				
Bas et Bonneterie ; bonnet de coton		8	8				
Bas, gants et bonnets de laine	Bas, gants et bonnets de laine	8	8		8	8	
Bas, gants et bonnets de laine, fil et coton	Bas, gants et bonnets de laine, fil et coton	8	8		8	8	
Basannes	Basannes	6	6d				
Basannes ; tannées	Basannes ; tannées	6	6d				
Basin	Basin	6	6d				
Basin ; blanc	Basin	6	6d				
Basin ; en aunes	Basin	6	6d				
Basin ; peint	Basin	6	6d				
Basin ; rayé	Basin	6	6d				
Basin ; blanc	Basin	6	6d		6	6d	
Basin ; en aunes	Basin	6	6d		6	6d	
Basin ; peint	Basin	6	6d		6	6d	
Basin ; rayé	Basin	6	6d		6	6d	
Basse ; de viole	Instruments de musique	8	8				
Basses	Basses	8	8		8	8	
Basses et bassons	Instruments de musique	8	8		8	8	
Bassins ; en argent		8	8				
Bassins ; en laiton		8	8				
Bassins ; à barbe	Bassins ; à barbe	8	8				
Basson	Instruments de musique	8	8				
Bast	Bast	6	6		6	6	
Batanonis	Batanonis	6	6a	toile de lin			
Batavia	Batavia	…	…				
Bate de laurier	Bate de laurier	0	0a	Bayberrie			
Bateaux		7	7				
Bateaux ; de pêcheur	Bateaux	7	7				
Bateaux ; neufs	Bateaux	7	7				
Bateleux	Bateleux	…	…				
Batiste		6	6a				
Batiste ; blanche		6	6a				
Batiste ; grise		6	6a				
Batiste ; blanche	Batiste ; blanche	6	6a		6	6a	
Batiste ; grise	Batiste ; grise	6	6a		6	6a	
Bats ; d'ânes	Bats ; d'ânes	7	7				
Bats ; de cheval	Bats ; de cheval	7	7				
Battoirs	Battoirs	2	2				
Baudriers	Baudriers	7	7				
Baume	Baume	5	5	beaume de vie	5	5	beaume de vie
Baume ; de copabu	Baume	5	5				
Baume ; de la Mecque	Baume	5	5				
Baume ; du Pérou	Baume	5	5				
Baume ; laque	Baume	5	5				
Baye ; de laurier	Baye ; de laurier	2	2				
Bayette	Bayette	6	6b	Etoffe de laine non croisée, voir bayette			
Bayonnettes	Armes	9	9				
Bayoulen	Bayoulen	5	5		5	5	
Beaume et elixir	Baume	5	5	beaume de toute espece	5	5	beaume de toute espece
Beauverd ; broyé	Beauverd ; broyé	…	…				
Bedelin	Bedelin	2	2	Coton qui vient du Levant par Marseille			
Benjoin	Benjoin	5	5				
Bennes	Bennes	8	8		8	8	
Bennes vuides	Bennes vuides	8	8		8	8	
Berceaux ; d'enfant	Berces et Berceaux	8	8				
Berces ; d'osier	Berces et Berceaux	8	8				
Berces et lits d'enfants	Berces et Berceaux	8	8				
Berces ; d'osier	Berces et Berceaux	2	2		2	2	
Berces et lits d'enfants	Berces et Berceaux	8	8				
Bergamotes	Bergamotes	0	0a				
Bergopsum	Bergopsum	…	…				
Berline	Berline	7	7				
Berline ; vieille	Berline	7	7				
Bernes	Bernes	…	…				
Bestiaux ; agneaux	Bestiaux	0	0a				
Bestiaux ; bœufs	Bestiaux	0	0a				
Bestiaux ; bœufs, vaches, moutons, porcs	Bestiaux	0	0a				
Bestiaux ; bœufs, vaches, moutons, veaux	Bestiaux	0	0a				
Bestiaux ; chèvres et boucs	Bestiaux	0	0a				
Bestiaux ; divers	Bestiaux	0	0a				
Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux	0	0a				
Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bestiaux	0	0a				
Bestiaux ; génisses	Bestiaux	0	0a				
Bestiaux ; moutons et brebis	Bestiaux	0	0a				
Bestiaux ; porcs et porcelets	Bestiaux	0	0a				
Bestiaux ; taureaux	Bestiaux	0	0a				
Bestiaux ; vaches	Bestiaux	0	0a				
Bestiaux ; vaches ; en vie	Bestiaux	0	0a				
Bestiaux ; vaches ; tuées	Bestiaux	0	0a				
Bestiaux ; vaches, taureaux et genisses	Bestiaux	0	0a				
Bestiaux ; veaux	Bestiaux	0	0a				
Betilles	Betilles	6	6d				
Betteraves		0	0a				
Beurre	Beurre	0	0a				
Beurre ; d'Angleterre	Beurre	0	0a				
Beurre ; d'Irlande non comestible	Beurre	0	0a				
Beurre ; de Hollande et d'Angleterre	Beurre	0	0a				
Beurre ; ordinaire	Beurre	0	0a				
Beurre ; salé	Beurre	0	0a				
Beurreterie ; en bar ; de fil blanc		6	6a				
Beurre ; d'Angleterre	Beurre	0	0a		0	0a	
Beurre ; d'Irlande non comestible	Beurre	0	0a		0	0a	
Beurre ; de Hollande et d'Angleterre	Beurre	0	0a		0	0a	
Bigarade		0	0a				
Bigarades	Bigarades	0	0a				
Bigarade ; zeste		0	0a				
Bigaradier ; feuilles		0	0a				
Bijouterie	Bijouterie	8	8				
Bijouterie ; en épingles		8	8				
Bilardeaux	Bilardeaux	6	6		6	6	
Billard	Billard	8	8				
Billes ; de bois		8	8				
Billes d'ivoire	Billes d'ivoire	8	8				
Billets ; de parchemin		6	6				
Billots de sapin	Billots de sapin	2	2				
Binages à pousser		6	6				
Biscuit ; de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie	0	0a				
Biscuits	Biscuits	0	0a				
Biscuits ; amer	Biscuits	0	0a				
Biscuits ; au poivre		0	0a				
Biscuits ; de Grains ; froment		0	0a				
Biscuits ; de mer	Biscuits	0	0a				
Biscuits ; de munition	Biscuits	9	9		9	9	
Bitume ; de Judée	Bitume ; de Judée	5	5				
Bière	Bière	1	1				
Bière ; aigre	Bière	1	1				
Bière ; commune du pays	Bière	1	1				
Bière ; d'Angleterre	Bière	1	1				
Bière ; d'Hougarde	Bière	1	1				
Bière ; de Dantzig	Bière	1	1				
Bière ; de Hollande	Bière	1	1				
Bière ; de Liège	Bière	1	1				
Bière ; de Liège, d'Angleterre, etc	Bière	1	1				
Bière ; dite juypenbier	Bière	1	1				
Bière ; dite lumay	Bière	1	1				
Bière ; en fût	Bière	1	1				
Bière ; nautique	Bière	1	1				
Bière ; porter	Bière	1	1				
Bière, cidre et vinaigre	Bière	1	1				
Bière ; commune du pays	Bière	1	1		1	1	
Bière ; d'Angleterre	Bière	1	1		1	1	
Bière ; d'Hollande	Bière	1	1		1	1	
Bière ; d'hougarde	Bière	1	1				
Bière ; de liège	Bière	1	1		1	1	
Bière ; de liège, d'anglettere etc	Bière	1	1				
Bière ; dite juypenbier	Bière	1	1		1	1	
Bière ; dite lumay	Bière	1	1		1	1	
Blanc	Blanc	5	5				
Blanc ; d'Espagne	Blanc ; d'Espagne	5	5				
Blanc ; d'écaille	Blanc ; d'écaille	5	5				
Blanc ; de Troyes	Blanc ; de Troyes	5	5				
Blanc ; de baleine	Blanc ; de baleine	5	5				
Blanc ; de plomb	Blanc ; de plomb	5	5				
Blanc ; d'écaille	Blanc ; d'écaille	5	5		5	5	
Blanquette	Blanquette	1	1	Variété de bière avec un faible degré d'alcool			
Bleu	Bleu	5	5				
Bleu ; commun	Bleu	5	5				
Bleu ; de Berlin	Bleu	5	5		5	5	
Bleu ; fin	Bleu	5	5				
Bleu ; ordinaire	Bleu	5	5				
Bleu ; de paille	Bleu	5	5		5	5	
Bleu ; de smalt	Bleu	5	5				
Blocs	Blocs	2	2				
Blocs ; ???	Blocs ; ???	2	2				
Blonde ; d'argent	Blonde ; d'argent	6	6c				
Blonde ; d'or	Blonde ; d'or	6	6c	Dentelle de soie faite en auvergne			
Blonde ; de soie	Blonde ; de soie	6	6c				
Blé	Blé et autres grains	0	0a				
Blé et autres grains	Blé et autres grains	0	0a				
Blé et autres grains ; comestibles	Blé et autres grains	0	0a				
Bocaux		6	6				
Boclans	Boclans	…	…				
Boeuf ; à l'Ecarlate	Boeuf ; à l'Ecarlate	0	0a				
Boeuftins et genisses	Bestiaux	0	0a		0	0a	
Bois	Bois	2	2				
Bois ; ??	Bois	2	2				
Bois ; Sustek	Bois	2	2				
Bois ; a parquet	Bois	2	2				
Bois ; anspects	Bois	6	6				
Bois ; au daumes		2	2				
Bois ; autre	Bois	2	2				
Bois ; blanc	Bois	2	2				
Bois ; bordages	Bois	2	2				
Bois ; bordages ; de chêne	Bois	2	2				
Bois ; bordages ; de sapin	Bois	2	2				
Bois ; bourdillons	Bois	2	2				
Bois ; boway ; de chêne	Bois	2	2				
Bois ; boway ; de sapin	Bois	2	2				
Bois ; brandilles	Bois	2	2				
Bois ; brun	Bois	2	2				
Bois ; cordayer	Bois	2	2				
Bois ; coudé		2	2				
Bois ; courbé		2	2				
Bois ; d'Inde	Bois	2	2				
Bois ; d'Inde pour teinture et marqueterie ; divers	Bois ; d'Inde pour teinture et marqueterie ; divers	2	2				
Bois ; d'acajou	Bois	2	2				
Bois ; d'aloès	Bois	2	2				
Bois ; d'amarante	Bois	2	2				
Bois ; d'angeot	Bois	2	2				
Bois ; d'ansprete	Bois	6	6				
Bois ; d'arc		2	2				
Bois ; d'arc et de fusils		2	2				
Bois ; d'arcs		2	2				
Bois ; d'arcs et d'arbalètes		2	2				
Bois ; d'arcs et de selles		2	2				
Bois ; d'aspatton	Bois	2	2				
Bois ; d'aulne		2	2				
Bois ; d'esquisse		2	2				
Bois ; d'olivier	Bois	2	2				
Bois ; d'olivier ; pelé	Bois	2	2				
Bois ; d'originelle	Bois	2	2				
Bois ; d'orme	Bois	2	2				
Bois ; d'osier	Bois	2	2				
Bois ; d'ébène	Bois	2	2				
Bois ; d'érable	Bois	2	2				
Bois ; d'éventails	Bois	2	2				
Bois ; de Brésil	Bois	2	2				
Bois ; de Cayenne	Bois	2	2				
Bois ; de Honduras	Bois	2	2				
Bois ; de Jaraconda	Bois	2	2				
Bois ; de Provence, sernambue et campeche	Bois	2	2		5	5	
Bois ; de Rodes	Bois	2	2				
Bois ; de Sainte Marthe		2	2				
Bois ; de Saune	Bois	2	2				
Bois ; de Saxafras	Bois	0	0a				
Bois ; de Siramonbas	Bois	2	2				
Bois ; de St. Martin		2	2				
Bois ; de Ste Marthe	Bois	2	2				
Bois ; de bateau		2	2				
Bois ; de bois	Bois	2	2				
Bois ; de bouleau		2	2				
Bois ; de brochialle	Bois	2	2				
Bois ; de buis	Bois	2	2				
Bois ; de caliatour	Bois	2	2				
Bois ; de campêche	Bois	2	2				
Bois ; de cannelle	Bois	2	2				
Bois ; de cerisier		2	2				
Bois ; de chaises	Bois	2	2				
Bois ; de charbonnage	Bois ; à brûler	3	3				
Bois ; de charpente	Bois	2	2				
Bois ; de chêne	Bois	2	2				
Bois ; de chêne ; pour construction		2	2				
Bois ; de chêne ; scié		2	2				
Bois ; de chêne ; à poutre		2	2				
Bois ; de chêne ; à sommier		2	2				
Bois ; de chêne, carré		2	2				
Bois ; de chêne, ronde		2	2				
Bois ; de chêne ; scié	Bois	2	2				
Bois ; de chêne ; à poutre	Bois	2	2				
Bois ; de chêne ; à sommier	Bois	2	2				
Bois ; de cleippe	Bois	2	2				
Bois ; de coco	Bois	2	2				
Bois ; de construction	Bois	2	2				
Bois ; de corne		2	2				
Bois ; de couleur	Bois	2	2				
Bois ; de crabe	Bois	2	2				
Bois ; de cèdre	Bois	2	2				
Bois ; de cêdre	Bois	2	2				
Bois ; de fauteuil	Bois	2	2				
Bois ; de fayard	Bois	2	2				
Bois ; de fernambourg	Bois	2	2				
Bois ; de flèches		2	2				
Bois ; de flèches et arcs		2	2				
Bois ; de frêne		2	2				
Bois ; de fusil	Bois	2	2				
Bois ; de fustel	Bois	2	2				
Bois ; de gayac	Bois	2	2				
Bois ; de girofle	Bois	2	2				
Bois ; de gitte		2	2				
Bois ; de grenade	Bois	2	2				
Bois ; de grenadier	Bois	2	2				
Bois ; de hêtre		2	2				
Bois ; de jayat	Bois	2	2				
Bois ; de la chine	Bois	2	2				
Bois ; de lettre	Bois	2	2				
Bois ; de lin	Bois	2	2				
Bois ; de lit	Bois	2	2				
