marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Amandes"		""	""	""	""	""	""
"Amandes ; cassées"		""	""	""	""	""	""
"Amandes ; en coques"		""	""	""	""	""	""
"Amandes ; courtes"	0	"0a"	""	""	""	""	""
"Amandes ; longues"	0	"0a"	""	""	""	""	""
"Amaril"	2	"2"	""	""	""	""	""
"Ambre"		""	""	"..."	"2"	"2"	""
"Ambre ; Karabé"		""	""	""	""	""	""
"Ambre ; carabé"		""	""	"..."	"2"	"2"	""
"Ambre ; gris"		""	""	"..."	"2"	"2"	""
"Ambre ; jaune"		""	""	""	""	""	""
"Ambre ; moulu"		""	""	""	""	""	""
"Ambre ; brut"	2	"2"	"ambre jaune en masse"	""	""	""	""
"Amertis"		""	""	""	""	""	""
"Ameçons"		""	""	"..."	"6"	"6"	""
"Amidon"		""	""	""	""	""	""
"Amidon et poudre à poudrer"	5	"5"	""	""	""	""	""
"Amomum"	5	"5"	""	""	""	""	""
"Anacardes"		""	""	""	""	""	""
"Ananas"		""	""	""	""	""	""
"Anatose"		""	""	""	""	""	""
"Anchois"		""	""	""	""	""	""
"Ancres ; de fer"		""	""	"..."	"6"	"6"	""
"Andolium ou crockvisch"	0	"0a"	""	""	""	""	""
"Anes et anesses"	0	"0a"	""	""	""	""	""
"Anguilles"	0	"0a"	""	""	""	""	""
"Angélique"		""	""	""	""	""	""
"Aniec"		""	""	"..."	"0"	"0a"	""
"Anille"		""	""	"..."	"6"	"6"	"Crochet de frein"
"Anis"		""	""	"..."	"0"	"0a"	""
"Anisette"		""	""	"..."	"1"	"1"	""
"Anspects"		""	""	""	""	""	""
"Antimoine"	5	"5"	""	""	""	""	""
"Antofle ; de girofle"		""	""	""	""	""	""
"Antolphe ; de geroffle"		""	""	"..."	"2"	"2"	""
"Apretée pour parchemin"	2	"2"	""	""	""	""	""
"Apretée à telier les livres"	2	"2"	""	""	""	""	""
"Aracq"		""	""	""	""	""	""
"Arbalètes"	9	"9"	""	""	""	""	""
"Arbres ; à planter"		""	""	""	""	""	""
"Arbres et arbrisseaux"		""	""	""	""	""	""
"Arbres et arbrisseaux ; sauvages"	2	"2"	""	""	""	""	""
"Arbres et arbrisseaux ; à fruits"	2	"2"	""	""	""	""	""
"Arcenic"		""	""	"..."	"5"	"5"	""
"Archets de violons"	8	"8"	""	""	""	""	""
"Ardoises"		""	""	""	""	""	""
"Ardoises ; dites chérubins et à mortier"	6	"6"	"ardoises dites cherubins"	""	""	""	""
"Ardoises ; dites grandes voisines"	6	"6"	""	""	""	""	""
"Ardoises ; dites moyennes voisines"	6	"6"	""	""	""	""	""
"Ardoises ; dites petites voisines"	6	"6"	""	""	""	""	""
"Ardoises ; dites voisines, grandes, moyennes et petites"	6	"6"	""	""	""	""	""
"Ardoises ; en livrets"	6	"6"	""	""	""	""	""
"Ardoises ; encadrées"	6	"6"	""	""	""	""	""
"Ardoises ; encadrées et en livrets"	6	"6"	"ardoises en tables et livrets"	""	""	""	""
"Ardoises ; non travaillées"	2	"2"	"ardoises brutes"	""	""	""	""
"Ardoises ; ordinaires"	6	"6"	""	""	""	""	""
"Argent ; argent ; carragoux"		""	""	"..."	"8"	"8"	""
"Argent ; argent ; piastres"		""	""	"..."	"9"	"9"	""
"Argent ; argent ; piastres d'Espagne"		""	""	"..."	"9"	"9"	""
"Argent ; argent ; piastres du Grand Seigneur"		""	""	"..."	"9"	"9"	""
"Argent ; argent ; talaris"		""	""	"..."	"9"	"9"	""
"Argent ; battu"		""	""	""	""	""	""
"Argent ; brut"		""	""	"..."	"6"	"6"	""
"Argent ; carragoux"		""	""	""	""	""	""
"Argent ; divers"		""	""	""	""	""	""
"Argent ; en feuilles"		""	""	"..."	"6"	"6"	""
"Argent ; en lingots"	6	"6"	""	""	""	""	""
"Argent ; faux"		""	""	""	""	""	""
"Argent ; fin"		""	""	""	""	""	""
"Argent ; monnoyé"		""	""	"..."	"9"	"9"	""
"Argent ; or ; monnoyé"		""	""	"..."	"9"	"9"	""
"Argent ; or ; quadruples"		""	""	""	""	""	""
"Argent ; or ; sequins"		""	""	""	""	""	""
"Argent ; or ; sequins vénitiens"		""	""	""	""	""	""
"Argent ; sequins"		""	""	""	""	""	""
"Argent ; talaris"		""	""	""	""	""	""
"Argent ; vif"		""	""	""	""	""	""
"Argent en barils"	6	"6"	""	""	""	""	""
"Argent en barres"	6	"6"	""	""	""	""	""
"Argent et or ; billon"	9	"9"	""	""	""	""	""
"Argenterie"		""	""	""	""	""	""
"Argenterie ; boucles"		""	""	""	""	""	""
"Argenterie ; bugues"		""	""	""	""	""	""
"Argenterie ; croix"		""	""	"..."	"8"	"8"	""
"Argenterie ; diverse"		""	""	""	""	""	""
"Argenterie ; épées"		""	""	""	""	""	""
"Argenterie ; épés"		""	""	"..."	"8"	"8"	""
"Argenterie et orfèvrerie"		""	""	""	""	""	""
"Argent ; brulé"	9	"9"	""	""	""	""	""
"Aristoche"		""	""	"..."	"2"	"2"	""
"Aristoloche"		""	""	""	""	""	""
"Armes"		""	""	""	""	""	""
"Armes ; blanches"		""	""	""	""	""	""
"Armes ; blanches ; diverses"		""	""	""	""	""	""
"Armes ; blanches ; lances d'épées"		""	""	""	""	""	""
"Armes ; blanches ; sabres"		""	""	""	""	""	""
"Armes ; blanches ; épées"		""	""	""	""	""	""
"Armes ; réunies"		""	""	""	""	""	""
"Armes ; à feu"		""	""	"..."	"9"	"9"	""
"Armes ; à feu ; diverses"		""	""	""	""	""	""
"Armes ; à feu ; fusils"		""	""	""	""	""	""
"Armes ; à feu ; pistolets"		""	""	""	""	""	""
"Armes non reprises"	9	"9"	"armes non reprises au tarif"	""	""	""	""
"Armes remontrances"	9	"9"	""	""	""	""	""
"Armes, Canon et balles de fer"	9	"9"	""	""	""	""	""
"Armoires"		""	""	"..."	"8"	"8"	""
"Armoisin"		""	""	""	""	""	""
"Arpois"		""	""	""	""	""	""
"Arquifou"		""	""	""	""	""	""
"Arrosoir"		""	""	""	""	""	""
"Artichauts"		""	""	""	""	""	""
"Artichauts ; confits"		""	""	""	""	""	""
"Artichaux"		""	""	"..."	"0"	"0a"	""
"Artichaux ; confits"		""	""	"..."	"0"	"0a"	""
"Articles ; d'industrie ; réunis"		""	""	"..."	"8"	"8"	""
"Articles ; réunis"		""	""	""	""	""	""
"Articles ; réunis ; d'industrie"		""	""	""	""	""	""
"Artifice"		""	""	""	""	""	""
"Artilleries"		""	""	""	""	""	""
"Artilleries ; en canons, bombes"		""	""	"..."	"9"	"9"	""
"Arçons de selle"		""	""	"..."	"7"	"7"	""
"Arçons de selles"	9	"9"	""	""	""	""	""
"Asperges"		""	""	""	""	""	""
"Asperges et scorsionnaires"		""	""	""	""	""	""
"Asphalte"		""	""	""	""	""	""
"Asphaltum"		""	""	"..."	"5"	"5"	""
"Assa fétide"		""	""	""	""	""	""
"Assiette de fayence"	6	"6"	""	""	""	""	""
"Attelles ; de coliers"		""	""	"..."	"7"	"7"	""
"Attelles ; de colliers"		""	""	""	""	""	""
"Avelines"		""	""	""	""	""	""
"Avirons"		""	""	""	""	""	""
"Avoine"		""	""	""	""	""	""
"Avoine, gruau"	0	"0a"	""	""	""	""	""
"Avoine ; en jarbes"		""	""	""	""	""	""
"Azur"		""	""	"..."	"5"	"5"	""
"Babouches"		""	""	""	""	""	""
"Babus"		""	""	"..."	"0"	"0a"	"Barbus (poisson)?"
"Bacs contenant 1 aime"	6	"6"	""	""	""	""	""
"Bacs de pierre"		""	""	""	""	""	""
"Badiane"	5	"5"	""	""	""	""	""
"Baffetas"		""	""	""	""	""	""
"Bagues"		""	""	""	""	""	""
"Bagues ; de cuivre"		""	""	""	""	""	""
"Bagues ; de laiton"		""	""	""	""	""	""
"Bagues ; de leton"		""	""	"..."	"8"	"8"	""
"Baguettes ; de fusils"		""	""	""	""	""	""
"Baguettes ; à chandelle"		""	""	""	""	""	""
"Baguettes ; étoffe"		""	""	""	""	""	""
"Bahus"		""	""	"..."	"8"	"8"	""
"Bahuts"		""	""	""	""	""	""
"Baignes"		""	""	""	""	""	""
"Bailliarge"		""	""	""	""	""	""
"Bajutapeau"		""	""	""	""	""	""
"Balais"		""	""	""	""	""	""
"Balais ; coupée"		""	""	""	""	""	""
"Balais ; de bois"		""	""	""	""	""	""
"Balais ; de bruyère"		""	""	"..."	"8"	"8"	""
"Balais ; de crin"		""	""	""	""	""	""
"Balais ; de joncs"		""	""	""	""	""	""
"Balais ; de jongs"		""	""	"..."	"8"	"8"	""
"Balais ; de palmes"		""	""	"..."	"8"	"8"	""
"Balais ; de riz"		""	""	""	""	""	""
"Balais ; de soie"		""	""	""	""	""	""
"Balais, petits"	6	"6"	"petits balais de bruyere"	""	""	""	""
"Balance"		""	""	"..."	"8"	"8"	""
"Balaustre"		""	""	"..."	"2"	"2"	"Balaustes : fleurs de grenadier sauvage"
"Baleine"		""	""	""	""	""	""
"Baleine ; coupée"		""	""	""	""	""	""
"Baleine ; de sardes"		""	""	""	""	""	""
"Baleine ; en fanon"		""	""	""	""	""	""
"Balles d'osier"		""	""	""	""	""	""
"Balles d'ozier"		""	""	"..."	"8"	"8"	""
"Balles à jouer"		""	""	"..."	"8"	"8"	""
"Balles ; à jouer"		""	""	""	""	""	""
"Balustre"		""	""	""	""	""	""
"Bandeaux"		""	""	""	""	""	""
"Banderoles"	8	"8"	""	""	""	""	""
"Baquets de sapin"		""	""	""	""	""	""
"Baracan"		""	""	""	""	""	""
"Barbaçons ; de grez"		""	""	"..."	"2"	"2"	"Marbre de la ville ?"
"Barbaçons ; de grès"		""	""	""	""	""	""
"Barbes ; de baleine"		""	""	""	""	""	""
"Barbotines"		""	""	""	""	""	""
"Barettes"		""	""	"..."	"6"	"6"	"Petite barre métal ou bois?"
"Barils"		""	""	""	""	""	""
"Barils ; vides"		""	""	""	""	""	""
"Bariteau"		""	""	""	""	""	""
"Baromètre"		""	""	"..."	"8"	"8"	""
"Barquettes"	7	"7"	""	""	""	""	""
"Barquettes et nacelles"	7	"7"	""	""	""	""	""
"Barquettes vieilles"	7	"7"	""	""	""	""	""
"Barres ; d'anspects"		""	""	""	""	""	""
"Barres ; de bois"		""	""	""	""	""	""
"Barres ; de cabestan"		""	""	""	""	""	""
"Barres ; de sapin"		""	""	""	""	""	""
"Barres ; pous édifiées"		""	""	""	""	""	""
"Barrettes"		""	""	""	""	""	""
"Barriques"		""	""	""	""	""	""
"Barriques ; vieilles"		""	""	""	""	""	""
"Barrois"		""	""	""	""	""	""
"Bas"		""	""	""	""	""	""
"Bas ; assortis"		""	""	"..."	"8"	"8"	""
"Bas ; coton"		""	""	""	""	""	""
"Bas ; coton et fil"		""	""	""	""	""	""
"Bas ; d'Estame"		""	""	""	""	""	""
"Bas ; de castor"		""	""	""	""	""	""
"Bas ; de chamois"		""	""	"..."	"8"	"8"	""
"Bas ; de coton"		""	""	""	""	""	""
"Bas ; de fil"		""	""	"..."	"8"	"8"	""
"Bas ; de fil et coton"		""	""	""	""	""	""
"Bas ; de filoselle"		""	""	""	""	""	""
"Bas ; de filozelle"		""	""	"..."	"8"	"8"	""
"Bas ; de fleuret"		""	""	""	""	""	""
"Bas ; de laine"		""	""	""	""	""	""
"Bas ; de peau"		""	""	"..."	"8"	"8"	""
"Bas ; de soie"	8	"8"	""	""	""	""	""
"Bas ; de soie ; à coins d'or"		""	""	""	""	""	""
"Bas ; drapés"		""	""	""	""	""	""
"Bas ; et bonets de coton"		""	""	"..."	"8"	"8"	""
"Bas ; et bonnets de coton"		""	""	""	""	""	""
"Bas ; soie et laine"		""	""	""	""	""	""
"Bas ; soie et poil"		""	""	""	""	""	""
"Bas, gants et bonnets de laine"	8	"8"	""	""	""	""	""
"Bas, gants et bonnets de laine, fil et coton"	8	"8"	""	""	""	""	""
"Basannes"		""	""	""	""	""	""
"Basannes ; tannées"		""	""	""	""	""	""
"Basin"		""	""	""	""	""	""
"Basin ; blanc"	6	"6d"	""	""	""	""	""
"Basin ; en aunes"	6	"6d"	""	""	""	""	""
"Basin ; peint"	6	"6d"	""	""	""	""	""
"Basin ; rayé"	6	"6d"	""	""	""	""	""
"Basse ; de viole"		""	""	""	""	""	""
"Basse ; de violle"		""	""	"..."	"8"	"8"	""
"Basses"	8	"8"	""	""	""	""	""
"Basses et bassons"	8	"8"	""	""	""	""	""
"Bassins ; à barbe"		""	""	""	""	""	""
"Basson"		""	""	""	""	""	""
"Bast"	6	"6"	""	""	""	""	""
"Batanonis"		""	""	""	""	""	""
"Batavia"		""	""	""	""	""	""
"Bate de laurier"		""	""	"..."	"0"	"0a"	"Bayberrie"
"Bateaux ; de pêcheur"		""	""	""	""	""	""
"Bateaux ; neufs"		""	""	""	""	""	""
"Bateleux"		""	""	""	""	""	""
"Batiste ; blanche"	6	"6a"	""	""	""	""	""
"Batiste ; grise"	6	"6a"	""	""	""	""	""
"Batoirs"		""	""	"..."	"6"	"6"	""
"Batons ; de Gabares"		""	""	"..."	"6"	"6"	""
"Batons ; de Gaffes"		""	""	"..."	"6"	"6"	""
"Batons ; de colliers"		""	""	"..."	"6"	"6"	""
"Batons ; de sapin"		""	""	"..."	"6"	"6"	""
"Batons ; peints"		""	""	"..."	"6"	"6"	""
"Batons ; vernis"		""	""	"..."	"6"	"6"	""
"Batons ; à chandelle"		""	""	"..."	"6"	"6"	""
"Batons ; à lave-place"		""	""	"..."	"6"	"6"	""
"Bats ; d'asnes"		""	""	"..."	"8"	"8"	""
"Bats ; d'ânes"		""	""	""	""	""	""
"Bats ; de cheval"		""	""	""	""	""	""
"Battoirs"		""	""	""	""	""	""
"Baudriers"		""	""	""	""	""	""
"Baume"		""	""	""	""	""	""
"Baume ; de copabu"		""	""	""	""	""	""
"Baume ; de la Mecque"		""	""	""	""	""	""
"Baume ; de la meque"		""	""	"..."	"5"	"5"	""
"Baume ; du Perou"		""	""	"..."	"5"	"5"	""
"Baume ; du Pérou"		""	""	""	""	""	""
"Baume ; laque"		""	""	""	""	""	""
"Baye ; de laurier"		""	""	""	""	""	""
"Bayette"		""	""	"..."	"6"	"6b"	"Etoffe de laine non croisée, voir bayette"
"Bayonnettes"		""	""	""	""	""	""
"Bayoulen"	5	"5"	""	""	""	""	""
"Bazannes"		""	""	"..."	"6"	"6"	"Pièce de cuir travaillée"
"Bazannes ; tannées"		""	""	"..."	"6"	"6"	"Pièce de cuir travaillée"
"Bazin"		""	""	"Cotton"	"6"	"6d"	"Basin, étoffe croisée (trame : coton ; chaîne : lin/fil)- BD"
"Beaume et elixir"	5	"5"	"beaume de toute espece"	""	""	""	""
"Beauverd ; broyé"		""	""	""	""	""	""
"Beccasses"		""	""	"..."	"0"	"0a"	""
"Beccassines"		""	""	"..."	"0"	"0a"	""
"Bedelin"		""	""	"Cotton"	"2"	"2"	"Coton qui vient du Levant par Marseille"
"Benjoin"		""	""	"..."	"5"	"5"	""
"Bennes"	8	"8"	""	""	""	""	""
"Bennes vuides"	8	"8"	""	""	""	""	""
"Berceaux ; d'enfant"		""	""	""	""	""	""
"Berces ; d'osier"	2	"2"	""	""	""	""	""
"Berces ; et lits d'enfants"		""	""	""	""	""	""
"Bergamotes"		""	""	""	""	""	""
"Bergamottes"		""	""	"..."	"0"	"0a"	""
"Bergopsum"		""	""	""	""	""	""
"Berline"		""	""	"..."	"7"	"7"	""
"Berline ; vieille"		""	""	""	""	""	""
"Bernes"		""	""	""	""	""	""
"Bestiaux ; agneaux"		""	""	""	""	""	""
"Bestiaux ; bœuf"		""	""	"..."	"0"	"0a"	""
"Bestiaux ; bœufs"		""	""	""	""	""	""
"Bestiaux ; bœufs, vaches, moutons, porcs"		""	""	""	""	""	""
"Bestiaux ; bœufs, vaches, moutons, veaux"		""	""	""	""	""	""
"Bestiaux ; chèvres et boucs"		""	""	"..."	"0"	"0a"	""
"Bestiaux ; divers"		""	""	""	""	""	""
"Bestiaux ; en bœufs, vaches, porcs et moutons"		""	""	""	""	""	""
"Bestiaux ; en bœufs, vaches, veaux, porcs et moutons"		""	""	"..."	"0"	"0a"	""
"Bestiaux ; genisses"		""	""	"..."	"0"	"0a"	""
"Bestiaux ; génisses"		""	""	""	""	""	""
"Bestiaux ; moutons et brebis"		""	""	""	""	""	""
"Bestiaux ; porcs et porcelets"		""	""	""	""	""	""
"Bestiaux ; taureaux"		""	""	""	""	""	""
"Bestiaux ; vaches"		""	""	""	""	""	""
"Bestiaux ; vaches ; en vie"		""	""	""	""	""	""
"Bestiaux ; vaches ; tuées"		""	""	""	""	""	""
"Bestiaux ; vaches, taureaux et genisses"		""	""	""	""	""	""
"Bestiaux ; veaux"		""	""	""	""	""	""
"Betilles"		""	""	""	""	""	""
"Beurre"		""	""	""	""	""	""
"Beurre ; de cacao"		""	""	"Cacao"	"0"	"0b"	""
"Beurre ; ordinaire"		""	""	""	""	""	""
"Beurre ; d'Angleterre"	0	"0a"	""	""	""	""	""
"Beurre ; d'Irlande non comestible"	0	"0a"	""	""	""	""	""
"Beurre ; de Hollande et d'Angleterre"	0	"0a"	""	""	""	""	""
"Bigarades"		""	""	"..."	"0"	"0a"	""
"Bijouterie"		""	""	""	""	""	""
"Bilardeaux"	6	"6"	""	""	""	""	""
"Billard"		""	""	""	""	""	""
"Billes d'ivoire"		""	""	""	""	""	""
"Billots de sapin"		""	""	""	""	""	""
"Biscuit ; de mer et pâtes d'Italie"		""	""	""	""	""	""
"Biscuits"		""	""	"..."	"0"	"0a"	""
"Biscuits ; amer"		""	""	""	""	""	""
"Biscuits ; de mer"		""	""	""	""	""	""
"Biscuits ; de munition"	9	"9"	""	""	""	""	""
"Bitume ; de Judée"		""	""	"..."	"5"	"5"	""
"Bière"		""	""	"..."	"1"	"1"	""
"Bière, cidre et vinaigre"		""	""	"..."	"1"	"1"	""
"Bière ; commune du pays"	1	"1"	""	""	""	""	""
"Bière ; d'Angleterre"	1	"1"	""	""	""	""	""
"Bière ; d'Hollande"	1	"1"	""	""	""	""	""
"Bière ; d'hougarde"		""	""	""	""	""	""
"Bière ; de liège"	1	"1"	""	""	""	""	""
"Bière ; de liège, d'anglettere etc"		""	""	""	""	""	""
"Bière ; dite juypenbier"	1	"1"	""	""	""	""	""
"Bière ; dite lumay"	1	"1"	""	""	""	""	""
"Blanc"		""	""	""	""	""	""
"Blanc ; d'Espagne"	5	"5"	""	""	""	""	""
"Blanc ; d'ecaille"		""	""	"..."	"2"	"2"	"Plâtre"
"Blanc ; d'écaille"		""	""	""	""	""	""
"Blanc ; de Troyes"		""	""	""	""	""	""
"Blanc ; de baleine"		""	""	""	""	""	""
"Blanc ; de ceruse"		""	""	"..."	"2"	"2"	"Plâtre"
"Blanc ; de plomb"		""	""	""	""	""	""
"Blanc ; d'écaille"	5	"5"	""	""	""	""	""
"Blanquette"		""	""	""	""	""	""
"Bled ; Avoine"		""	""	"..."	"0"	"0a"	""
"Bled ; Orge"		""	""	"..."	"0"	"0a"	""
"Bled ; Sarrazin"		""	""	"..."	"0"	"0a"	""
"Bled ; Seigle"		""	""	"..."	"0"	"0a"	""
"Bled ; blé et froment"		""	""	"..."	"0"	"0a"	""
"Bled ; divers"		""	""	"..."	"0"	"0a"	""
"Bled ; et autres grains"		""	""	"..."	"0"	"0a"	""
"Bled ; froment"		""	""	"..."	"0"	"0a"	""
"Bled ; maïs"		""	""	"..."	"0"	"0a"	""
"Bled ; millot"		""	""	"..."	"0"	"0a"	""
"Bled ; méteil"		""	""	"..."	"0"	"0a"	""
"Bled ; riz"		""	""	"..."	"0"	"0a"	""
"Bled ; sarazin"		""	""	"..."	"0"	"0a"	""
"Bleu"		""	""	""	""	""	""
"Bleu ; commun"		""	""	""	""	""	""
"Bleu ; de Berlin"	5	"5"	""	""	""	""	""
"Bleu ; de Prusse"		""	""	"..."	"5"	"5"	""
"Bleu ; fin"		""	""	""	""	""	""
"Bleu ; ordinaire"		""	""	""	""	""	""
"Bleu ; de paille"	5	"5"	""	""	""	""	""
"Bleu ; de smalt"		""	""	""	""	""	""
"Blocs"		""	""	""	""	""	""
"Blocs ; ???"		""	""	""	""	""	""
"Blonde ; d'argent"		""	""	""	""	""	""
"Blonde ; d'or"		""	""	"silk fabrics"	"6"	"6"	"Dentelle de soie faite en auvergne"
"Blonde ; de soie"		""	""	""	""	""	""
"Blé"		""	""	""	""	""	""
"Blé et autres grains"		""	""	""	""	""	""
"Blé et autres grains ; comestibles"		""	""	"…"	"0"	"0a"	""
"Boclans"		""	""	""	""	""	""
"Boeuf ; à l'Ecarlate"		""	""	""	""	""	""
"Boeuf ; à la daube"		""	""	"…"	"0"	"0a"	""
"Boeuf ; à la mode"		""	""	"…"	"0"	"0a"	""
"Boeuftins et genisses"	0	"0a"	""	""	""	""	""
"Bois ; ??"		""	""	""	""	""	""
"Bois ; Sustek"		""	""	"..."	"2"	"2"	""
"Bois ; a parquet"		""	""	""	""	""	""
"Bois ; anspects"		""	""	""	""	""	""
"Bois ; autre"		""	""	""	""	""	""
"Bois ; blanc"		""	""	""	""	""	""
"Bois ; bordages"		""	""	""	""	""	""
"Bois ; bordages ; de chêne"		""	""	""	""	""	""
"Bois ; bordages ; de sapin"		""	""	"..."	"2"	"2"	""
"Bois ; bourdillons"		""	""	""	""	""	""
"Bois ; boway ; de chesne"		""	""	"..."	"2"	"2"	""
"Bois ; boway ; de chêne"		""	""	""	""	""	""
"Bois ; boway ; de sapin"		""	""	""	""	""	""
"Bois ; brandilles"		""	""	""	""	""	""
"Bois ; brun"		""	""	""	""	""	""
"Bois ; cordayer"		""	""	""	""	""	""
"Bois ; d'Inde"		""	""	""	""	""	""
"Bois ; d'Inde pour teinture et marqueterie ; divers"		""	""	""	""	""	""
"Bois ; d'acajou"		""	""	""	""	""	""
"Bois ; d'aloès"		""	""	""	""	""	""
"Bois ; d'aloës"		""	""	"..."	"2"	"2"	""
"Bois ; d'amarante"		""	""	"..."	"2"	"2"	""
"Bois ; d'angeot"		""	""	""	""	""	""
"Bois ; d'ansprete"		""	""	""	""	""	""
"Bois ; d'aspatton"		""	""	""	""	""	""
"Bois ; d'olivier"		""	""	""	""	""	""
"Bois ; d'olivier ; pelé"		""	""	""	""	""	""
"Bois ; d'originelle"		""	""	""	""	""	""
"Bois ; d'orme"		""	""	""	""	""	""
"Bois ; d'osier"		""	""	"..."	"2"	"2"	""
"Bois ; d'ébene"		""	""	"..."	"2"	"2"	""
"Bois ; d'ébène"		""	""	""	""	""	""
"Bois ; d'érable"		""	""	""	""	""	""
"Bois ; d'éventails"		""	""	""	""	""	""
"Bois ; de Brésil"		""	""	""	""	""	""
"Bois ; de Cayenne"		""	""	""	""	""	""
"Bois ; de Fondal"		""	""	"..."	"2"	"2"	""
"Bois ; de Honduras"		""	""	""	""	""	""
"Bois ; de Jaraconda"		""	""	""	""	""	""
"Bois ; de Provence, sernambue et campeche"	5	"5"	""	""	""	""	""
"Bois ; de Rodes"		""	""	""	""	""	""
"Bois ; de Saune"		""	""	""	""	""	""
"Bois ; de Saxafras"		""	""	""	""	""	""
"Bois ; de Siramonbas"		""	""	""	""	""	""
"Bois ; de Ste Marthe"		""	""	""	""	""	""
"Bois ; de bois"		""	""	""	""	""	""
"Bois ; de brochialle"		""	""	""	""	""	""
"Bois ; de buis"		""	""	""	""	""	""
"Bois ; de caliatour"		""	""	""	""	""	""
"Bois ; de campêche"		""	""	""	""	""	""
"Bois ; de canelle"		""	""	"..."	"2"	"2"	""
"Bois ; de cannelle"		""	""	""	""	""	""
"Bois ; de cedre"		""	""	"..."	"2"	"2"	""
"Bois ; de chaises"		""	""	""	""	""	""
"Bois ; de charbonnage"		""	""	"..."	"3"	"3"	""
"Bois ; de charpente"		""	""	"..."	"2"	"2"	""
"Bois ; de chêne"		""	""	""	""	""	""
"Bois ; de chêne ; scié"		""	""	""	""	""	""
"Bois ; de chêne ; à poutre"		""	""	""	""	""	""
"Bois ; de chêne ; à sommier"		""	""	""	""	""	""
"Bois ; de cleippe"		""	""	""	""	""	""
"Bois ; de coco"		""	""	"..."	"2"	"2"	""
"Bois ; de construction"		""	""	""	""	""	""
"Bois ; de couleur"		""	""	""	""	""	""
"Bois ; de crabe"		""	""	""	""	""	""
"Bois ; de cèdre"		""	""	""	""	""	""
"Bois ; de cêdre"		""	""	""	""	""	""
"Bois ; de fauteuil"		""	""	""	""	""	""
"Bois ; de fayard"		""	""	"..."	"2"	"2"	""
"Bois ; de fernambourg"		""	""	""	""	""	""
"Bois ; de fuset"		""	""	"..."	"2"	"2"	""
"Bois ; de fusil"		""	""	""	""	""	""
