marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Agrès"	"Agrès"	"7"	"7"	""		""	""	""	"Agrets"	"Agrès"	""	""	""	""	0	0	1	"matched (3)"
"Agrès ; de navires"	"Agrès"	"7"	"7"	""		""	""	""	"Agrès de navires"	"Agrès ; de navires"	""	""	""	""	0	0	1	"matched (3)"
"Aigles"	"Aigles"	"9"	"9"	""	9	"9"	""	""	"aigles"	"Aigles"	""	"arenden"	"eagles"	"guilders"	1	1	0	"matched (3)"
"Aigre ; de vitriol"	"Aigre ; de vitriol"	"5"	"5"	""		""	""	""	""	""	""	""	""	""				"master only (1)"
"Aigrettes"	"Aigrettes"	"0"	"0b"	"Peut-être « plumes d'aigrettes » d'après Savary, elles sot importées en France en provenance du Levant."		""	""	""	"Aigrettes"	"Aigrettes"	""	""	""	""	0	0	1	"matched (3)"
"Aiguilles"	"Aiguilles"	"6"	"6"	""		""	""	""	"Aiguiller"	"Aiguilles"	""	""	""	""	0	0	1	"matched (3)"
"Ailes de fleaux"	"Ailes de fleaux"	"2"	"2"	"bois par fleaux à battre grains"	2	"2"	"bois par fleaux à battre grains"	""	"ailes de fleaux"	"Ailes de fleaux"	""	"hout voor vlegels"	"wood for flails"	"pieces"	1	0	0	"matched (3)"
"Ails"	"Ails"	"0"	"0a"	""		""	""	""	"Auf"	"Ails"	""	""	""	""	0	0	1	"matched (3)"
"Ains à pêcher"	"Ains à pêcher"	"…"	"…"	""		""	""	""	"Ains à pecher"	"Ains à pêcher"	""	""	""	""	0	0	1	"matched (3)"
"Airain"	"Airain"	"6"	"6"	""		""	""	""	"Airain"	"Airain"	""	""	""	""	0	0	1	"matched (3)"
"Airain ; ouvré"	"Airain ; ouvré"	"6"	"6"	""		""	""	"..."	"Airain ; ouvré"	"Ouvrages ; d'airain"	""	""	""	""	0	0	1	"matched (3)"
"Ajamis"	"Ajamis"	"…"	"…"	""		""	""	""	"Ajamix"	"Ouvrages ; de plomb"	""	""	""	""	0	0	1	"matched (3)"
"Ajustements"	"Ajustements"	"…"	"…"	""		""	""	""	"Alambic"	"Ajustements"	""	""	""	""	0	0	1	"matched (3)"
"Alambic ; de terre"	"Alambic ; de terre"	"5"	"5"	""		""	""	""	"Alambie ; de terre"	"Alambic ; de terre"	""	""	""	""	0	0	1	"matched (3)"
"Alambics"	"Alambics"	"5"	"5"	""		""	""	""	"Alembics"	"Alambics"	""	""	""	""	0	0	1	"matched (3)"
"Alana"	"Alana"	"5"	"5"	"Probablement « Alatia », à vérifier"		""	""	""	"Alaya"	"Alana"	""	""	""	""	0	0	1	"matched (3)"
"Alatia"	"Alatia"	"5"	"5"	""	5	"5"	""	""	"alatia"	"Alatia"	""	"alatia"	"alatia"	"pounds"	1	0	0	"matched (3)"
"Albâtre"	"Albâtre"	"2"	"2"	""		""	""	""	"Albatre"	"Albâtre"	""	""	""	""	0	0	1	"matched (3)"
"Alibans"	"Alibans"	"…"	"…"	""		""	""	""	"Alibania"	"Alibans"	""	""	""	""	0	0	1	"matched (3)"
"Allumettes"	"Allumettes"	"8"	"8"	""	8	"8"	""	""	"alumettes"	"Allumettes"	""	"lucifers"	"matches"	"pounds"	1	1	0	"matched (3)"
"Almagro ou crayon rouge"	"Almagro ou crayon rouge"	"5"	"5"	""	5	"5"	""	""	"almagro ou crayon rouge"	"Almagro ou crayon rouge"	""	"kleurstoffen (rood krijt)"	"red chalk"	"guilders"	1	1	0	"matched (3)"
"Almanacs enjolivés"	"Almanacs enjolivés"	"8"	"8"	""	8	"8"	""	""	"almanacs enjolivés"	"Almanacs enjolivés"	""	"versierde almanakken"	"decorated almanacs"	"guilders"	1	0	0	"matched (3)"
"Alocir"	"Alocir"	"…"	"…"	""		""	""	""	"Alocir"	"Alocir"	""	""	""	""	0	0	1	"matched (3)"
"Alose dite elft"	"Alose dite elft"	"0"	"0a"	""	0	"0a"	""	""	"alose dite elft"	"Alose dite elft"	""	"elft"	"allis shad"	"pieces"	1	0	0	"matched (3)"
"Alose fumée"	"Alose fumée"	"0"	"0a"	""	0	"0a"	""	""	"alose fumée"	"Alose fumée"	""	"elft (gerookt)"	"smoked allis shad"	"pounds"	1	0	0	"matched (3)"
"Alouettes"	"Alouettes"	"0"	"0a"	""	0	"0a"	""	""	"alouettes"	"Alouettes"	""	"leeuweriken"	"larks"	"pieces"	1	0	0	"matched (3)"
"Aloès"	"Aloès"	"2"	"2"	""		""	""	""	"aloès"	"Aloès"	""	"aloë"	"aloe"	"pounds"	1	0	0	"matched (3)"
"Alpargate"	"Alpargate"	"8"	"8"	"espadrilles (Savary)"		""	""	""	"Alpiste"	"Alpargate"	""	""	""	""	0	0	1	"matched (3)"
"Alquitra"	"Alquitra"	"2"	"2"	"Synonyme de goudron (tiré de l'espagnol)"		""	""	""	"Alquitra"	"Alquitra"	""	""	""	""	0	0	1	"matched (3)"
"Amadou"	"Amadou"	"5"	"5"	"Espèce de mèche noire qui vient d'Allemagne (Savary)"		""	""	""	"amadou"	"Amadou"	""	"tondel"	"tinder"	"pounds"	1	1	0	"matched (3)"
"Amandes"	"Amandes"	"0"	"0a"	""		""	""	""	"Amandes"	"Amandes"	""	""	""	""	0	0	1	"matched (3)"
"Amandes ; cassées"	"Amandes"	"0"	"0a"	""		""	""	""	"amandes cassés"	"Amandes ; cassées"	"almonds"	"amandelen (stukjes)"	"almonds in pieces"	"pounds"	1	0	0	"matched (3)"
"Amandes ; en coques"	"Amandes"	"0"	"0a"	""		""	""	""	"Amandes; en coques"	"Amandes ; en coques"	""	""	""	""	0	0	1	"matched (3)"
"Amandes ; courtes"	"Amandes"	"0"	"0a"	""	0	"0a"	""	""	"amandes courtes"	"Amandes ; courtes"	"almonds"	"amandelen (korte)"	"short almonds"	"pounds"	1	1	0	"matched (3)"
"Amandes ; longues"	"Amandes"	"0"	"0a"	""	0	"0a"	""	""	"amandes longues"	"Amandes ; longues"	"almonds"	"amandelen (lange)"	"long almonds"	"pounds"	1	1	0	"matched (3)"
"Amaril"	"Amaril"	"2"	"2"	""	2	"2"	""	""	"amaril"	"Amaril"	""	"aarde (amaril)"	"amaril"	"pounds"	1	1	0	"matched (3)"
"Ambre"	"Ambre"	"2"	"2"	""		""	""	"..."	"ambre"	"Ambre"	""	""	""	""	0	0	1	"matched (3)"
"Ambre ; Karabé"	"Ambre"	"2"	"2"	""		""	""	""	"Ambre ; carabé"	"Ambre ; Karabé"	""	""	""	""	0	0	1	"matched (3)"
"Ambre ; gris"	"Ambre"	"2"	"2"	""		""	""	"..."	"Ambre ; gris"	"Ambre ; gris"	""	""	""	""	0	0	1	"matched (3)"
"Ambre ; jaune"	"Ambre"	"2"	"2"	""		""	""	""	"Ambre ; jaune"	"Ambre ; jaune"	""	""	""	""	0	0	1	"matched (3)"
"Ambre ; moulu"	"Ambre"	"2"	"2"	""		""	""	""	"Ambre ; moulu"	"Ambre ; moulu"	""	""	""	""	0	0	1	"matched (3)"
"Ambre ; brut"	"Ambre"	"2"	"2"	"ambre jaune en masse"	2	"2"	"ambre jaune en masse"	""	"ambre brut"	"Ambre ; brut"	""	"amber"	"amber"	"pounds"	1	0	0	"matched (3)"
"Amertis"	"Amertis"	"6"	"6d"	"Toile de coton blanche"		""	""	""	"Amertis"	"Amertis"	""	""	""	""	0	0	1	"matched (3)"
"Amidon"	"Amidon"	"5"	"5"	""		""	""	""	"Amidon"	"Amidon"	""	""	""	""	0	0	1	"matched (3)"
"Amidon et poudre à poudrer"	"Amidon et poudre à poudrer"	"5"	"5"	""	5	"5"	""	""	"amidon et poudre à poudrer"	"Amidon et poudre à poudrer"	"starch"	"stijfsel"	"starch"	"pounds"	1	1	0	"matched (3)"
"Amomum"	"Amomum"	"2"	"2"	""		""	""	""	"Amomum"	"Amomum"	""	""	""	""	0	0	1	"matched (3)"
"Anacardes"	"Anacardes"	"2"	"2"	""		""	""	""	"Anacardes"	"Anacardes"	""	""	""	""	0	0	1	"matched (3)"
"Ananas"	"Ananas"	"0"	"0b"	""		""	""	""	"Anabas"	"Ananas"	""	""	""	""	0	0	1	"matched (3)"
"Anatose"	"Anatose"	"2"	"2"	""		""	""	""	"Anatose"	"Anatose"	""	""	""	""	0	0	1	"matched (3)"
"Anchois"	"Anchois"	"0"	"0a"	""		""	""	""	"Anchois"	"Anchois"	""	""	""	""	0	0	1	"matched (3)"
"Andolium ou crockvisch"	"Andolium ou crockvisch"	"0"	"0a"	""	0	"0a"	""	""	"andolium"	"Andolium ou crockvisch"	""	"andolium"	"andolium"	"pieces"	1	0	0	"matched (3)"
"Anes et anesses"	"Animaux"	"0"	"0a"	""	0	"0a"	""	""	"anes et anesses"	"Anes et anesses"	""	"ezels en muildieren"	"donkeys and asses"	"pieces"	1	1	0	"matched (3)"
"Anguilles"	"Anguilles"	"0"	"0a"	""	0	"0a"	""	""	"anguilles"	"Anguilles"	""	"paling"	"eel"	"pounds"	1	0	0	"matched (3)"
"Angélique"	"Angélique"	"2"	"2"	""		""	""	""	"Angelique"	"Angélique"	""	""	""	""	0	0	1	"matched (3)"
"Anis"	"Anis"	"0"	"0a"	""		""	""	"..."	"Anis"	"Anis"	""	""	""	""	0	0	1	"matched (3)"
"Anisette"	"Anisette"	"1"	"1"	""		""	""	"..."	"Anisette"	"Anisette"	""	""	""	""	0	0	1	"matched (3)"
"Anspects"	"Anspects"	"6"	"6"	""		""	""	""	"Anspects"	"Anspects"	""	""	""	""	0	0	1	"matched (3)"
"Antimoine"	"Antimoine"	"6"	"6"	""		""	""	""	"antimoine"	"Antimoine"	""	"antimonium"	"antimony"	"pounds"	1	1	0	"matched (3)"
"Antofle ; de girofle"	"Antofle ; de girofle"	"0"	"0b"	""		""	""	""	"Apioa"	"Antofle ; de girofle"	""	""	""	""	0	0	1	"matched (3)"
"Apretée pour parchemin"	"Apretée pour parchemin"	"2"	"2"	""	2	"2"	""	""	"apretée pour parchemin"	"Apretée pour parchemin"	""	"huiden (kalveren, perkament)"	"calf hides for parchment"	"dozen"	1	0	0	"matched (3)"
"Apretée à telier les livres"	"Apretée à telier les livres"	"2"	"2"	""	2	"2"	""	""	"apretée à telier les livres"	"Apretée à telier les livres"	""	"huiden (kalveren, boekenkaften)"	"calf hides for book covers"	"pieces"	1	0	0	"matched (3)"
"Aracq"	"Aracq"	"1"	"1"	""		""	""	""	"araq"	"Aracq"	""	""	""	""	0	0	1	"matched (3)"
"Arbalètes"	"Arbalètes"	"9"	"9"	""	9	"9"	""	""	"arbalettes"	"Arbalettes"	""	"hand- en voetbogen"	"hand and foot arches"	"guilders"	1	1	0	"matched (3)"
"Arbres ; à planter"	"Arbres et arbrisseaux"	"2"	"2"	""		""	""	""	"Arbres aplanter"	"Arbres ; à planter"	""	""	""	""	0	0	1	"matched (3)"
"Arbres et arbrisseaux"	"Arbres et arbrisseaux"	"2"	"2"	""		""	""	""	"Arcanum ; du plicatum"	"Arbres et arbrisseaux"	""	""	""	""	0	0	1	"matched (3)"
"Arbres et arbrisseaux ; sauvages"	"Arbres et arbrisseaux"	"2"	"2"	""	2	"2"	""	""	"arbres et arbrisseaux sauvages"	"Arbres et arbrisseaux ; sauvages"	""	"wilde struiken"	"wild shrubs"	"guilders"	1	1	0	"matched (3)"
"Arbres et arbrisseaux ; à fruits"	"Arbres et arbrisseaux"	"2"	"2"	""	2	"2"	""	""	"arbres et arbrisseaux à fruits"	"Arbres et arbrisseaux ; à fruits"	""	"fruitbomen"	"fruit trees"	"pieces"	1	1	0	"matched (3)"
"Archets de violons"	"Archets de violons"	"8"	"8"	""	8	"8"	""	""	"archets de violons"	"Archets de violons"	""	"strijkstokken"	"violin bows"	"guilders"	1	1	0	"matched (3)"
"Ardoises"	"Ardoises"	"6"	"6"	""		""	""	""	"Ardoises"	"Ardoises"	""	""	""	""	0	0	1	"matched (3)"
"Ardoises ; dites chérubins et à mortier"	"Ardoises"	"6"	"6"	"ardoises dites cherubins"	6	"6"	"ardoises dites cherubins"	""	"ardoises dites cherubins et à mortier"	"Ardoises ; dites cherubins et à mortier"	""	"leisteen (bestrating en mortel)"	"slates called 'cherubs and mortar'"	"charretée"	1	1	0	"matched (3)"
"Ardoises ; dites grandes voisines"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises dites grandes voisines"	"Ardoises ; dites grandes voisines"	""	"leisteen (voisines, groot)"	"slate (voisines, large)"	"pieces"	1	0	0	"matched (3)"
"Ardoises ; dites moyennes voisines"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises dites moyennes voisines"	"Ardoises ; dites moyennes voisines"	""	"leisteen (voisines, middelmaat)"	"slate (voisines, medium)"	"pieces"	1	0	0	"matched (3)"
"Ardoises ; dites petites voisines"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises dites petittes voisines"	"Ardoises ; dites petittes voisines"	""	"leisteen (voisines, klein)"	"slate (voisines, small)"	"pieces"	1	0	0	"matched (3)"
"Ardoises ; dites voisines, grandes, moyennes et petites"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises dites voisines, grandes, moyennes et petites"	"Ardoises ; dites voisines, grandes, moyennes et petites"	""	"leisteen (voisines) groot, gemiddeld en klein"	"slate (voisines) large, medium and small"	"pieces"	1	0	0	"matched (3)"
"Ardoises ; en livrets"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises en livrets"	"Ardoises ; en livrets"	""	"leisteen (in boekvorm)"	"slates in booklets"	"guilders"	1	0	0	"matched (3)"
"Ardoises ; encadrées"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises encadrées"	"Ardoises ; encadrées"	""	"leisteen (ingekaderd)"	"framed slate"	"pieces"	1	0	0	"matched (3)"
"Ardoises ; encadrées et en livrets"	"Ardoises"	"6"	"6"	"ardoises en tables et livrets"	6	"6"	"ardoises en tables et livrets"	""	"ardoises encadrées et en livrets"	"Ardoises ; encadrées et en livrets"	""	"leisteen (ingekaderd en in boekvorm)"	"framed slate and booklets"	"guilders"	1	1	0	"matched (3)"
"Ardoises ; non travaillées"	"Ardoises"	"2"	"2"	"ardoises brutes"	2	"2"	"ardoises brutes"	""	"ardoises non travaillées"	"Ardoises ; non travaillées"	""	"leisteen (onbewerkt)"	"non processed slate"	"feet"	1	0	0	"matched (3)"
"Ardoises ; ordinaires"	"Ardoises"	"6"	"6"	""	6	"6"	""	""	"ardoises ordinaires"	"Ardoises ; ordinaires"	""	"leisteen (gewone)"	"ordinary slate"	"pieces"	1	1	0	"matched (3)"
"Argent ; battu"	"Argent ; métal"	"6"	"6"	""		""	""	""	"Argent ; battu"	"Argent ; battu"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; brut"	"Argent ; métal"	"6"	"6"	""		""	""	"..."	"Argent et or monnoyé ; Argent brut"	"Argent ; brut"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; carragoux"	"Argent ; métal"	"6"	"6"	""		""	""	""	"Argent ; argent ; carragoux"	"Argent ; carragoux"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; divers"	"Argent ; métal"	"6"	"6"	""		""	""	""	"Argent ; divers"	"Argent ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; en feuilles"	"Argent ; métal"	"6"	"6"	""		""	""	"..."	"Argent et or monnoyé ; Argent en feuilles"	"Argent ; en feuilles"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; en lingots"	"Argent ; métal"	"6"	"6"	""		""	""	""	"Argent ; en lingot"	"Argent ; en lingots"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; faux"	"Argent ; faux"	"6"	"6"	""		""	""	""	"argent faux en fil, cantilles, etc."	"Argent ; faux"	""	"valse zilverdraad"	"fake silver wire"	"pounds"	1	0	0	"matched (3)"
"Argent ; fin"	"Argent ; métal"	"6"	"6"	""		""	""	""	"Argent ; fin"	"Argent ; fin"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; or ; quadruples"	"Monnaies"	"9"	"9a"	""		""	""	""	"Argent ; or ; quadruples"	"Argent ; or ; quadruples"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; or ; sequins"	"Monnaies"	"9"	"9a"	""		""	""	""	"Argent ; or ; sequins"	"Argent ; or ; sequins"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; or ; sequins vénitiens"	"Monnaies"	"9"	"9a"	""		""	""	""	"Argent ; or ; sequins vénitiens"	"Argent ; or ; sequins"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; sequins"	"Monnaies"	"9"	"9a"	""		""	""	""	"Sequins"	"Argent ; or ; sequins"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; talaris"	"Monnaies"	"9"	"9a"	""		""	""	""	"Argent ; argent ; talaris"	"Argent ; talaris"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; vif"	"Mercure"	"5"	"5"	""		""	""	""	"Argent vif"	"Argent ; vif"	""	""	""	""	0	0	1	"matched (3)"
"Argent en barils"	"Argent ; métal"	"6"	"6"	""	6	"6"	""	""	"argent en barils"	"Argent en barils"	""	"zilver (in vaten met onbekende waarde)"	"silver in barrels"	"vaten"	1	0	0	"matched (3)"
"Argent en barres"	"Argent ; métal"	"6"	"6"	""	6	"6"	""	""	"argent en barres"	"Argent en barres"	""	"zilver (staven)"	"silver in bars"	"pounds"	1	0	0	"matched (3)"
"Argent et or ; billon"	"Monnaies"	"9"	"9"	""	9	"9"	""	""	"argent et or billon"	"Argent et or ; billon"	""	"goud en zilver (kwaad geld)"	"silver and gold bullion"	"mark"	1	1	0	"matched (3)"
"Argenterie"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"Argenterie"	"Argenterie"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie ; boucles"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"Argenterie ; boucles"	"Argenterie ; boucles"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie ; bugues"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"Argenterie ; bugues"	"Argenterie ; bugues"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie ; croix"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	"..."	"Argenterie ; croix"	"Argenterie ; croix"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie ; diverse"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"Argenterie ; diverse"	"Argenterie ; diverse"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie ; épées"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"Argenterie ; épés"	"Argenterie ; épées"	""	""	""	""	0	0	1	"matched (3)"
"Argenterie et orfèvrerie"	"Argenterie et orfèvrerie"	"8"	"8"	""		""	""	""	"///Matières d'Or et d'argent///Argenterie et orfévrerie"	"Argenterie et orfèvrerie"	""	""	""	""	0	0	1	"matched (3)"
"Argent ; brulé"	"Argent ; métal"	"6"	"6"	""	9	"9"	""	""	"argent brulé"	"Argent ; brulé"	""	"zilver (argent brulé)"	"silver (argent brulé)"	"ounce"	1	0	0	"matched (3)"
"Aristoloche"	"Aristoloche"	"2"	"2"	""		""	""	""	"Aristoche"	"Aristoloche"	""	""	""	""	0	0	1	"matched (3)"
"Armes"	"Armes"	"9"	"9"	""		""	""	""	"Armes"	"Armes"	""	""	""	""	0	0	0	"matched (3)"
"Armes ; blanches"	"Armes"	"9"	"9"	""		""	""	""	"Armes ; blanches"	"Armes ; blanches"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; blanches ; diverses"	"Armes"	"9"	"9"	""		""	""	""	"Armes ; blanches ; diverses"	"Armes ; blanches ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; blanches ; lances d'épées"	"Armes"	"9"	"9"	""		""	""	""	"Armes; blanches; lances d'épées"	"Armes ; blanches ; lances d'épées"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; blanches ; sabres"	"Armes"	"9"	"9"	""		""	""	""	"Armes ; blanche ; satres"	"Armes ; blanches ; sabres"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; blanches ; épées"	"Armes"	"9"	"9"	""		""	""	""	"Armes; blanches; épées"	"Armes ; blanches ; épées"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; réunies"	"Armes"	"9"	"9"	""		""	""	""	"///Objets manufacturés///Articles réunis"	"Armes ; réunies"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; à feu"	"Armes"	"9"	"9"	""		""	""	"..."	"armes à feu"	"Armes ; à feu"	""	"vuurwapens"	"fire weapons"	"cases"	1	1	0	"matched (3)"
"Armes ; à feu ; diverses"	"Armes"	"9"	"9"	""		""	""	""	"Armes ; à feu ; diverses"	"Armes ; à feu ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; à feu ; fusils"	"Armes"	"9"	"9"	""		""	""	""	"Armes ; à feu ; fusils"	"Armes ; à feu ; fusils"	""	""	""	""	0	0	1	"matched (3)"
"Armes ; à feu ; pistolets"	"Armes"	"9"	"9"	""		""	""	""	"Armes; à feu; pistolets"	"Armes ; à feu ; pistolets"	""	""	""	""	0	0	1	"matched (3)"
"Armes non reprises"	"Armes"	"9"	"9"	"armes non reprises au tarif"	9	"9"	"armes non reprises au tarif"	""	"armes non reprises"	"Armes non reprises"	""	"niet vermelde wapens"	"non comprised weaponry"	"guilders"	1	1	0	"matched (3)"
"Armes remontrances"	"Armes"	"9"	"9"	""	9	"9"	""	""	"armes remontrances"	"Armes remontrances"	""	"wapens (remontrances)"	"weaponry (remontrances)"	"pieces"	1	0	0	"matched (3)"
"Armes, Canon et balles de fer"	"Armes"	"9"	"9"	""	9	"9"	""	""	"armes, canons et balles de fer"	"Armes, Canon et balles de fer"	""	"lopen, ijzeren kogels en alle wapens in pounds aange."	"barrels, iron bullets and all weaponry indicated in pounds"	"pounds"	1	0	0	"matched (3)"
"Armoires"	"Armoires"	"8"	"8"	""		""	""	"..."	"Armoire"	"Armoires"	""	""	""	""	0	0	1	"matched (3)"
"Armoisin"	"Armoisin"	"6"	"6c"	""		""	""	""	"Armoisin"	"Armoisin"	""	""	""	""	0	0	1	"matched (3)"
"Arpois"	"Arpois"	"…"	"…"	""		""	""	""	"Arpois"	"Arpois"	""	""	""	""	0	0	1	"matched (3)"
"Arquifou"	"Arquifou"	"5"	"5"	""		""	""	""	"Arquifou"	"Arquifou"	""	""	""	""	0	0	1	"matched (3)"
"Arrosoir"	"Arrosoir"	"6"	"6"	""		""	""	""	"Arozoirs"	"Arrosoir"	""	""	""	""	0	0	1	"matched (3)"
"Artichauts"	"Artichauts"	"0"	"0a"	""		""	""	""	"Artichaux"	"Artichauts"	""	""	""	""	0	0	1	"matched (3)"
"Artichauts ; confits"	"Artichauts"	"0"	"0a"	""		""	""	""	"Artichaux Confits"	"Artichauts ; confits"	""	""	""	""	0	0	1	"matched (3)"
"Articles ; d'industrie ; réunis"	"Marchandises diverses"	"8"	"8"	""		""	""	"..."	"///Industrie Générale///Articles d'industrie réunis"	"Articles ; d'industrie ; réunis"	""	""	""	""	0	0	1	"matched (3)"
"Articles ; réunis"	"Marchandises diverses"	"8"	"8"	""		""	""	""	"///Industrie étrangère///Articles réunis"	"Articles ; réunis"	""	""	""	""	0	0	1	"matched (3)"
"Articles ; réunis ; d'industrie"	"Marchandises diverses"	"8"	"8"	""		""	""	""	"Artiffice"	"Articles ; réunis ; d'industrie"	""	""	""	""	0	0	1	"matched (3)"
"Artifice"	"Artifice"	"8"	"8"	"artifice"	8	"8"	"artifice"	""	"Artifice"	"Artifice"	""	""	""	""	0	0	1	"matched (3)"
"Artilleries"	"Artilleries"	"9"	"9"	""		""	""	""	"Artilleries"	"Artilleries"	""	""	""	""	0	0	1	"matched (3)"
"Arçons de selle"	"Arçons de selle"	"7"	"7"	""		""	""	"..."	"Arçcons de selle"	"Arçons de selle"	""	""	""	""	0	0	1	"matched (3)"
"Arçons de selles"	"Arçons de selle"	"9"	"9"	""	9	"9"	""	""	"arçons de selles"	"Arçons de selles"	""	"zadelbomen"	"saddle trees"	"pieces"	1	1	0	"matched (3)"
"Asperges"	"Asperges"	"0"	"0a"	""		""	""	""	"Asperges"	"Asperges"	""	""	""	""	0	0	1	"matched (3)"
