marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	nbr_lignes_fr
///Drogues Médicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					3
///Drogues Médicinales///Séné	Drogues ; médicinales ; Séné	Drogue ; médicinale ; séné						0	0	1	0					16
///Drogues diverses///Drogues diverses réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Réunies ; Diverses						0	0	1	0					4
///Drogues diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Réunies ; Diverses						0	0	1	0					5
///Drogues diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Gomme ; diverse						0	0	1	0					4
///Drogues diverses///Huile et essence de Térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; térébenthine ; essence et huile						0	0	1	0					45
///Drogues diverses///Huile et essence de térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; térébenthine ; essence et huile						0	0	1	0					16
///Drogues diverses///Sels chimiques	Drogues ; chimiques ; Sel divers	Drogue ; chimique ; Sel divers						0	0	1	0					6
///Drogues midicinales///Drogues réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					3
///Drogues midicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					18
///Drogues midicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					1
///Drogues midicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; manne						0	0	1	0					4
///Drogues midicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; quinquina						0	0	1	0					2
///Drogues midicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; safran						0	0	1	0					5
///Drogues midicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					3
///Drogues midicinales///Sené	Drogues ; médicinales ; Séné	Drogue ; médicinale ; séné						0	0	1	0					6
///Drogues médicinales///Drogues médicinales réunies	Drogues ; médicinales ; Diverses	Drogue ; médicinale ; Diverses						0	0	1	0					9
///Drogues médicinales///Drogues réunies	Drogues ; médicinales ; Diverses	Drogue ; médicinale ; Diverses						0	0	1	0					1
///Drogues médicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					3
///Drogues médicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					2
///Drogues médicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; manne						0	0	1	0					4
///Drogues médicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; quinquina						0	0	1	0					12
///Drogues médicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; safran						0	0	1	0					5
///Drogues médicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					10
///Drogues médicinales///Séné	Drogues ; médicinales ; Séné	Drogue ; médicinale ; séné						0	0	1	0					2
///Industrie Etrangère///Articles réunis	Industrie étrangère ; Articles ; réunis	Industrie étrangère ; divers						0	0	1	0					3
///Industrie Etrangère///Bouchons de liège	Bouchons ; de liège	Bouchons ; de liège						0	0	1	0					4
///Industrie Etrangère///Colles de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					2
///Industrie Etrangère///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					4
///Industrie Etrangère///Habillement et lingerie	Habillements et lingerie	Habit et lingerie						0	0	1	0					3
///Industrie Etrangère///Horlogeries	Horlogerie	Horlogerie						0	0	1	0					6
///Industrie Etrangère///Librairie	Librairie	Librairie						0	0	1	0					1
///Industrie Etrangère///Marbres	Marbre	Marbre						0	0	1	0					1
///Industrie Etrangère///Merceries	Mercerie	Mercerie						0	0	1	0					6
///Industrie Etrangère///Meubles et miroirs	Meubles et miroirs	Meuble et miroir						0	0	1	0					5
///Industrie Etrangère///Ouvrages de jonc	Ouvrages ; de joncs	Ouvrage ; de jonc						0	0	1	0					7
///Industrie Etrangère///Ouvrages divers	Ouvrages ; Divers	Ouvrage ; divers						0	0	1	0					1
///Industrie Etrangère///Peaux et pelleteries	Peaux et pelleteries	Pelleterie						0	0	1	0					1
///Industrie Etrangère///Plumes d'autruche	Plumes ; d'autruche	Plume ; d'autruche						0	0	1	0					2
///Industrie Etrangère///Plumes de toute sorte	Plumes ; de toute sorte	Plume ; divers						0	0	1	0					5
///Industrie Etrangère///Plumes à écrire	Plumes ; à écrire	Plume ; à écrire						0	0	1	0					10
///Industrie Etrangère///Quincailleries diverses	Quincaillerie ; Diverse	Quincaillerie						0	0	1	0					15
///Industrie Etrangère///Savons	Savon	Savon						0	0	1	0					2
///Industrie Etrangère///Voitures	Voitures	Voiture						0	0	1	0					7
///Industrie Générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis	Industrie ; divers						0	0	1	0					14
///Industrie Générale///Bijouterie	Bijouterie	Bijouterie						0	0	1	0					12
///Industrie Générale///Bougie	Bougie	Bougie						0	0	1	0					35
///Industrie Générale///Cauris	Cauris	Cauris						0	0	1	0					1
///Industrie Générale///Chandelles	Chandelles	Chandelle						0	0	1	0					2
///Industrie Générale///Cordages	Cordage	Cordage						0	0	1	0					17
///Industrie Générale///Dorures fines	Dorure ; fine	Dorure ; fine						0	0	1	0					14
///Industrie Générale///Esprit de vin	Esprit ; de vin	Esprit ; de vin						0	0	1	0					22
///Industrie Générale///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					2
///Industrie Générale///Gants de peau	Gants ; de peaux	Gants ; de peaux						0	0	1	0					37
///Industrie Générale///Habillements et lingeries	Habillements ; et lingerie	Habit et lingerie						0	0	1	0					13
///Industrie Générale///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					24
///Industrie Générale///Jeux de voiles	Jeux ; de voiles	Jeux ; de voiles						0	0	1	0					22
///Industrie Générale///Librairie	Librairie	Librairie						0	0	1	0					14
///Industrie Générale///Marchandises des indes	Marchandises ; des Indes	Marchandises ; des Indes						0	0	1	0					21
///Industrie Générale///Merceries	Mercerie	Mercerie						0	0	1	0					6
///Industrie Générale///Meubles et glaces	Meubles et miroirs	Meuble et miroir						0	0	1	0					13
///Industrie Générale///Ouvrages de cruivre doré et argenté	Ouvrages ; de cuivre ; Doré et argenté	Ouvrage ; de cuivre						0	0	1	0					26
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie	Ouvrage ; de cuir ; cordonnerie et sellerie						0	0	1	0					30
///Industrie Générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; de modes ; En fleurs artificielles	Ouvrage ; de mode ; fleurs artificielles						0	0	1	0					36
///Industrie Générale///Ouvrages divers en bois et futailles vuides	Ouvrages ; Divers ; en bois et futailles vides	Ouvrage ; divers ; en bois et futailles vides						0	0	1	0					9
///Industrie Générale///Ouvrages en terre cuite	Ouvrages ; de terre ; cuite	Ouvrage ; de terre cuite						0	0	1	0					4
///Industrie Générale///Papiers pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0					10
///Industrie Générale///Papiers à écrire	Papier ; à écrire	Papier ; à écrire						0	0	1	0					5
///Industrie Générale///Parasols	Parasols	Parasols						0	0	1	0					9
///Industrie Générale///Parfumerie	Parfumerie	Parfumerie						0	0	1	0					14
///Industrie Générale///Passementerie	Passementerie	Passementerie						0	0	1	0					35
///Industrie Générale///Peaux et pelleteries	Peaux et pelleteries	Peaux et pelleteries						0	0	1	0					20
///Industrie Générale///Porcelaine	Porcelaine	Porcelaine						0	0	1	0					12
///Industrie Générale///Poudre à tirer	Poudre ; à tirer	Poudre à tirer						0	0	1	0					12
///Industrie Générale///Quincaillerie	Quincaillerie	Quincaillerie						0	0	1	0					2
///Industrie Générale///Savons	Savon	Savon						0	0	1	0					7
///Industrie Générale///Tableaux et Estampes	Tableaux et estampes	Tableaux et estampes						0	0	1	0					16
///Industrie Générale///Verrerie	Verrerie	Verrerie						0	0	1	0					5
///Industrie générale///Armes	Armes	Arme						0	0	1	0					14
///Industrie générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis	Industrie ; divers						0	0	1	0					5
///Industrie générale///Bijouterie	Bijouterie	Bijouterie						0	0	1	0					2
///Industrie générale///Bougie	Bougie	Bougie						0	0	1	0					24
///Industrie générale///Cauris	Cauris	Cauris						0	0	1	0					2
///Industrie générale///Chandelle	Chandelles	Chandelle						0	0	1	0					1
///Industrie générale///Cordages	Cordage	Cordage						0	0	1	0					11
///Industrie générale///Dorures fines	Dorure ; fine	Dorure ; fine						0	0	1	0					21
///Industrie générale///Esprit de vin	Esprit ; de vin	Esprit ; de vin						0	0	1	0					15
///Industrie générale///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					31
///Industrie générale///Gants de peau	Gants ; de peaux	Gants ; de peaux						0	0	1	0					28
///Industrie générale///Habillemens et lingerie	Habillements ; et lingerie	Habit et lingerie						0	0	1	0					9
///Industrie générale///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					1
///Industrie générale///Jeux de voiles	Jeux ; de voiles	Jeux ; de voiles						0	0	1	0					6
///Industrie générale///Librairie	Librairie	Librairie						0	0	1	0					36
///Industrie générale///Merceries	Mercerie	Mercerie						0	0	1	0					28
///Industrie générale///Meubles et glaces	Meubles et miroirs	Meuble et miroir						0	0	1	0					1
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie	Ouvrage ; de cuir ; cordonnerie et sellerie						0	0	1	0					12
///Industrie générale///Ouvrages de cuivre doré et argenté	Ouvrages ; de cuivre ; Doré et argenté	Ouvrage ; de cuivre						0	0	1	0					19
///Industrie générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; de modes ; En fleurs artificielles	Ouvrage ; de mode ; fleurs artificielles						0	0	1	0					2
///Industrie générale///Ouvrages de terre cuite	Ouvrages ; de terre ; cuite	Ouvrage ; de terre cuite						0	0	1	0					1
///Industrie générale///Ouvrages divers	Ouvrages ; Divers	Ouvrage ; divers						0	0	1	0					3
///Industrie générale///Papier pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0					12
///Industrie générale///Papiers pour tenture	Papier ; à tenture	Papier ; à tenture						0	0	1	0					18
///Industrie générale///Papiers à écrire	Papier ; à écrire	Papier ; à écrire						0	0	1	0					16
///Industrie générale///Parfumerie	Parfumerie	Parfumerie						0	0	1	0					26
///Industrie générale///Passementerie	Passementerie	Passementerie						0	0	1	0					5
///Industrie générale///Peaux et pelleteries	Peaux et pelleteries	Peaux et pelleteries						0	0	1	0					6
///Industrie générale///Porcelaine	Porcelaine	Porcelaine						0	0	1	0					8
///Industrie générale///Poudre à tirer	Poudre ; à tirer	Poudre à tirer						0	0	1	0					6
///Industrie générale///Quincaillerie	Quincaillerie	Quincaillerie						0	0	1	0					1
///Industrie générale///Savons	Savon	Savon						0	0	1	0					6
///Industrie générale///Tableaux et estampes	Tableaux et estampes	Tableaux et estampes						0	0	1	0					4
///Industrie générale///Verrerie	Verrerie	Verrerie						0	0	1	0					10
///Industrie étrangère///Articles réunis	Industrie étrangère ; Articles ; réunis	Divers						0	0	1	0					8
///Industrie étrangère///Bouchons de liége	Bouchons ; de liège	Bouchons ; de liège						0	0	1	0					3
///Industrie étrangère///Cauris	Cauris	Cauris						0	0	1	0					11
///Industrie étrangère///Colle de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					17
///Industrie étrangère///Colles de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					3
///Industrie étrangère///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					9
///Industrie étrangère///Habillement et lingerie	Habillements ; et lingerie	Habit et lingerie						0	0	1	0					1
///Industrie étrangère///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					21
///Industrie étrangère///Librairie	Librairie	Librairie						0	0	1	0					1
///Industrie étrangère///Marbres	Marbre	Marbre						0	0	1	0					1
///Industrie étrangère///Merceries	Mercerie	Mercerie						0	0	1	0					3
///Industrie étrangère///Meubles et miroirs	Meubles et miroirs	Meuble et miroir						0	0	1	0					8
///Industrie étrangère///Ouvrages de jonc	Ouvrages ; de joncs	Ouvrage ; de jonc						0	0	1	0					6
///Industrie étrangère///Ouvrages divers	Ouvrages ; Divers	Ouvrage ; divers						0	0	1	0					14
///Industrie étrangère///Peaux et pelleteries	Peaux et pelleteries	Pelleterie						0	0	1	0					17
///Industrie étrangère///Plumes d'Autruche	Plumes ; d'autruche	Plume ; d'autruche						0	0	1	0					8
///Industrie étrangère///Plumes de toute sorte	Plumes ; de toute sorte	Plume ; divers						0	0	1	0					1
///Industrie étrangère///Plumes à écrire	Plumes ; à écrire	Plume ; à écrire						0	0	1	0					4
///Industrie étrangère///Porcelaine, faience et poterie	Porcelaine, faïence et poterie	Ouvrage ; de porcelaine, faïence et poterie						0	0	1	0					8
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...	Quincaillerie ; Divers	Quincaillerie						0	0	1	0					1
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..	Quincaillerie ; Divers	Quincaillerie						0	0	1	0					15
///Industrie étrangère///Savons	Savon	Savon						0	0	1	0					12
///Industrie étrangère///Voitures	Voitures	Voiture						0	0	1	0					2
///Matieres d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères	Monnaie ; or et argent						0	0	1	0					5
///Matieres d'Or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0					15
///Matière d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères	Monnaie ; étrangère						0	0	1	0					4
///Matière d'Or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0					3
///Matières d'Or et d'argent///Argenterie et orfévrerie	Argenterie et orfèvrerie	Argenterie et orfèvrerie						0	0	1	0					1
///Matières d'Or et d'argent///Argenteries et orfévrerie	Argenterie et orfèvrerie	Argenterie et orfèvrerie						0	0	1	0					7
///Matières d'Or et d'argent///Monnaies étrangères , ou lingots	Monnaies ; étrangères ou lingots	Monnaie ; or et argent et lingot						0	0	1	0					29
///Matières d'Or et d'argent///Monnaies étrangères ou lingots	Monnaies ; étrangères ou lingots	Monnaie ; or et argent et lingot						0	0	1	0					10
///Matières d'or et d'argent///Monnaies étrangères et lingots	Monnaies ; étrangères ou lingots	Monnaie ; or et argent et lingot						0	0	1	0					28
///Matières d'or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0					9
///Métaux///Argent vif	Argent ; vif	Argent ; vif						0	0	1	0					12
///Métaux///Articles réunis	Métaux ; Articles ; réunis	Métaux ; divers						0	0	1	0					6
///Métaux///Autres métaux	Métaux ; autres	Métaux ; divers						0	0	1	0					9
///Métaux///Cuivre	Cuivre	Cuivre						0	0	1	0					37
///Métaux///Cuivre, bronze et Laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0					3
///Métaux///Cuivre, bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0					42
///Métaux///Cuivre,bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0					18
///Métaux///Etain	Etain	Étoffe						0	0	1	0					8
///Métaux///Fer blanc	Fer ; blanc	Fer ; blanc						0	0	1	0					1
///Métaux///Fer-blanc	Fer ; blanc	Fer ; blanc						0	0	1	0					21
///Métaux///Fers	Fer	Fer						0	0	1	0					11
///Métaux///Fers blanc	Fer ; blanc	Fer ; blanc						0	0	1	0					4
///Métaux///Fers et aciers	Fer et acier	Fer et acier						0	0	1	0					5
///Métaux///Plomb	Plomb	Plomb						0	0	1	0					48
///Métaux///plomb	Plomb	Plomb						0	0	1	0					36
///Objets manufacturés///Armes	Armes	Arme						0	0	1	0					44
///Objets manufacturés///Articles réunis	Armes ; réunies	Arme						0	0	1	0					40
///Objets manufacturés///Bonneterie en fil , coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0					8
///Objets manufacturés///Bonneterie en fil, coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0					69
///Objets manufacturés///Bonneterie ordinaire en coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0					13
///Objets manufacturés///Bonneteries de soie	Bonneterie ; de soie	Bonneterie ; de soie						0	0	1	0					15
///Objets manufacturés///Bonneteries diverses	Bonneterie ; diverse	Bonneterie						0	0	1	0					26
///Objets manufacturés///Chapellerie	Chapellerie	Chapellerie						0	0	1	0					32
///Objets manufacturés///Dentelles	Dentelle	Dentelle						0	0	1	0					57
///Objets manufacturés///Dentelles de fil	Dentelle ; de fil et soie	Dentelle ; de fil et soie						0	0	1	0					34
///Objets manufacturés///Draperies	Draperie	Draperie						0	0	1	0					16
///Objets manufacturés///Etoffe mélangées de ces matieres	Étoffe ; mélangées de ces matières	Étoffe ; mélangées de ces matières						0	0	1	0					20
///Objets manufacturés///Etoffe riches	Étoffe ; riche	Étoffe ; riche						0	0	1	0					16
///Objets manufacturés///Etoffes de coton	Étoffe ; de coton	Étoffe ; de coton						0	0	1	0					39
///Objets manufacturés///Etoffes de laine	Étoffe ; de laine	Étoffe ; de laine						0	0	1	0					19
///Objets manufacturés///Etoffes de laine et de poil	Étoffe ; de laine et poil	Étoffe ; de laine et poil						0	0	1	0					28
///Objets manufacturés///Etoffes de soie	Étoffe ; de soie	Étoffe ; de soie						0	0	1	0					17
///Objets manufacturés///Etoffes diverses	Étoffe ; diverses	Étoffe						0	0	1	0					24
///Objets manufacturés///Etoffes en coton et en laine	Étoffe ; de coton et laine	Étoffe ; de coton et laine						0	0	1	0					27
///Objets manufacturés///Etoffes mélangées de ces matières	Étoffe ; mélangées de ces matières	Étoffe ; mélangées de ces matières						0	0	1	0					39
///Objets manufacturés///Etoffes riches	Étoffe ; riche	Étoffe ; riche						0	0	1	0					17
///Objets manufacturés///Gazes, crepes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et Mouchoir de soie						0	0	1	0					3
///Objets manufacturés///Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et Mouchoir de soie						0	0	1	0					12
///Objets manufacturés///Mouchoirs divers en fil et coton	Mouchoirs ; divers	Mouchoir						0	0	1	0					15
///Objets manufacturés///Mouchoirs divers et des Indes	Mouchoirs ; divers	Mouchoir						0	0	1	0					13
///Objets manufacturés///Mousselines	Mousseline	Mousseline						0	0	1	0					12
///Objets manufacturés///Objets manufacturés réunis	Objets ; manufacturés ; réunis	Objets ; manufacturés ; réunis						0	0	1	0					11
///Objets manufacturés///Rubannerie de soie	Rubanerie ; de soie	Rubanerie ; de soie						0	0	1	0					29
///Objets manufacturés///Rubannerie ordinaire	Rubanerie ; ordinaire	Rubanerie ; ordinaire						0	0	1	0					11
///Objets manufacturés///Rubanneries diverses	Rubanerie ; diverse	Rubanerie ; diverse						0	0	1	0					10
///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Mouchoir, gaze et ruban ; étoffe ; soie						0	0	1	0					27
///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Mouchoir, gaze et ruban ; étoffe ; soie						0	0	1	0					21
///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Mouchoir, gaze et ruban ; étoffe ; soie						0	0	1	0					41
///Objets manufacturés///Toile de coton	Toile ; de coton	Toile ; de coton						0	0	1	0					15
///Objets manufacturés///Toile de fil et coton	Toile ; de fil et coton	Toile ; de fil et coton						0	0	1	0					29
///Objets manufacturés///Toiles de coton	Toile ; de coton	Toile ; de coton						0	0	1	0					11
///Objets manufacturés///Toiles de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin						0	0	1	0					1
///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes	Toile ; de coton, mousseline, nankin et des indes	Toile ; de coton, mousseline, Nankin et des indes						0	0	1	0					9
///Objets manufacturés///Toiles de fil et coton	Toile ; de fil et coton	Toile ; de fil et coton						0	0	1	0					16
///Objets manufacturés///Toiles de lin et chanvre	Toile ; de lin et chanvre	Toile ; de lin et de chanvre						0	0	1	0					11
///Objets manufacturés///Toiles de lin et de chanvre	Toile ; de lin et chanvre	Toile ; de lin et de chanvre						0	0	1	0					15
///Objets manufacturés///Toiles diverses de lin et de chanvre	Toile ; de lin et chanvre ; diverse	Toile ; de lin et de chanvre						0	0	1	0					12
///Objets manufacturés///Toiles diverses en lin et chanvre	Toile ; de lin et chanvre ; diverse	Toile ; de lin et de chanvre						0	0	1	0					49
///Objets manufacturés///Toiles en coton, mousseline et nankin	Toile ; de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin						0	0	1	0					6
///Objets manufacturés///chapellerie	Chapellerie	Chapellerie						0	0	1	0					17
1///Matières première///Articles réunis	Armes ; réunies	Arme						0	0	1	0					62
1///Matières première///Coton	Coton	Coton						0	0	1	0					40
1///Matières première///Fil	Fil	Fil						0	0	1	0					71
1///Matières première///Laine	Laine	Laine						0	0	1	0					22
1///Matières première///Soie	Soie	Soie						0	0	1	0					1
1///Matières premières///Chanvre	Chanvre	Chanvre						0	0	1	0					8
1///Matières premières///Chanvre et lin	Chanvre et lin	Chanvre et lin						0	0	1	0					18
1///Matières premières///Coton	Coton	Coton						0	0	1	0					35
1///Matières premières///Fil	Fil	Fil						0	0	1	0					6
1///Matières premières///Laine	Laine	Laine						0	0	1	0					5
1///Matières premières///Lin	Lin	Lin						0	0	1	0					6
1///Matières premières///Poil de chevre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin						0	0	1	0					6
1///Matières premières///Poil de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin						0	0	1	0					6
1///Matières premières///Soie	Soie	Soie						0	0	1	0					6
1///Matières premières///Soie et filoselle	Soie ; filoselle	Soie ; filoselle						0	0	1	0					8
1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bétail ; bœuf, vaches, Porc et mouton						0	0	1	0					1
1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bétail ; bœuf, vaches, Porc et mouton						0	0	1	0					1
1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bétail ; bœuf, vaches, veaux, Porc et mouton						0	0	1	0					3
1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bétail ; bœuf, vaches, veaux, Porc et mouton						0	0	1	0					1
1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bétail ; bœuf, vaches, Porc et mouton						0	0	1	0					15
1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bétail ; bœuf, vaches, Porc et mouton						0	0	1	0					17
1///Subsistances///Beurre	Beurre	Beurre						0	0	1	0					22
1///Subsistances///Biscuit de mer	Biscuits ; de mer	Biscuits ; de mer						0	0	1	0					23
1///Subsistances///Biscuits de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie						0	0	1	0					45
1///Subsistances///Bière	Bière	Bière						0	0	1	0					34
1///Subsistances///Bière, cidre et vinaigre	Bière, cidre et vinaigre	Bière, cidre et vinaigre						0	0	1	0					44
1///Subsistances///Blé	Blé	Grains ; blé						0	0	1	0					16
1///Subsistances///Blé et autres grains	Blé et autres grains	Grains ; blé et autres grains						0	0	1	0					13
1///Subsistances///Blé et autres grains comestibles	Blé et autres grains ; comestibles	Grains ; blé et autres grains						0	0	1	0					9
1///Subsistances///Blé et autres grains, comestibles	Blé et autres grains ; comestibles	Grains ; blé et autres grains						0	0	1	0					1
1///Subsistances///Chairs salées	Chair ; salée	Chair ; salée						0	0	1	0					25
