marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
Alose dite elft	Alose dite elft	0	0a		0	0a	243
Alose fumée	Alose fumée	0	0a		0	0a	1
Alouettes	Alouettes	0	0a		0	0a	5
Alpargate	Alpargate	8	8	espadrilles (Savary)			48
Alquitra	Alquitra	2	2	Synonyme de goudron (tiré de l'espagnol)			32
Alun ; de fer	Alun	2	2				1
Amadou	Amadou	5	5	Espèce de mèche noire qui vient d'Allemagne (Savary)			27
Amandes	Amandes	0	0a				197
Amandes ; cassées	Amandes	0	0a				50
Amandes ; courtes	Amandes	0	0a		0	0a	8
Amandes ; en coques	Amandes	0	0a				165
Amandes ; longues	Amandes	0	0a		0	0a	5
Amaril	Amaril	2	2		2	2	5
Ambre	Ambre	2	2				1
Ambre ; brut	Ambre	2	2	ambre jaune en masse	2	2	0
Ambre ; gris	Ambre	2	2				8
Ambre ; jaune	Ambre	2	2				23
Ambre ; Karabé	Ambre	2	2				107
Ambre ; moulu	Ambre	2	2				1
Ambre ; vert	Ambre	2	2				0
Amertis	Amertis	6	6d	Toile de coton blanche			0
Amidon	Amidon	5	5				0
Amidon et poudre à poudrer	Amidon et poudre à poudrer	5	5		5	5	5
Amomum	Amomum	2	2				0
Anacardes	Anacardes	2	2				2
Ananas	Ananas	0	0b				2
Anatose	Anatose	2	2				1
Anchois	Anchois	0	0a				25
Andolium ou crockvisch	Andolium ou crockvisch	0	0a		0	0a	1
Anes et anesses	Animaux	0	0a		0	0a	0
Angélique	Angélique	2	2				1
Anguilles	Anguilles	0	0a		0	0a	57
Animaux ; domestiques	Animaux	0	0a				2
Anis	Anis	0	0a				112
Anisette	Anisette	1	1				2
ânons	Bétail	0	0a				2
Anspects	Anspects	6	6				4
Antimoine	Antimoine	6	6				11
Antofle ; de girofle	Antofle ; de girofle	0	0b				6
Approvisionnement	Approvisionnement	…	…				3
Apretée à telier les livres	Apretée à telier les livres	2	2		2	2	1
Apretée pour parchemin	Apretée pour parchemin	2	2		2	2	2
Aracq	Aracq	1	1				46
Arbalètes	Arbalètes	9	9		9	9	1
Arbres	Arbres et arbrisseaux	2	2				19
Arbres ; à fruits	Arbres et arbrisseaux	2	2				3
Arbres ; à planter	Arbres et arbrisseaux	2	2				246
Arbres ; à transformer en Pompe	Arbres et arbrisseaux	2	2				20
Arbres ; chênes	Arbres et arbrisseaux	2	2				3
Arbres ; en plants ; de bois	Arbres et arbrisseaux	2	2				4
Arbres ; en plants ; de bois ; d'auban	Arbres et arbrisseaux	2	2				1
Arbres ; sauvages	Arbres et arbrisseaux	2	2				13
Arbres et arbrisseaux	Arbres et arbrisseaux	2	2				
Arbres et arbrisseaux ; à fruits	Arbres et arbrisseaux	2	2		2	2	
Arbres et arbrisseaux ; sauvages	Arbres et arbrisseaux	2	2		2	2	
Archets de violons	Archets de violons	8	8		8	8	12
Arçons de selle	Arçons de selle	7	7				0
Arçons de selles	Arçons de selle	9	9		9	9	7
Ardoises	Ardoises	6	6				3
Ardoises ; dites chérubins et à mortier	Ardoises	6	6				49
Ardoises ; dites grandes voisines	Ardoises	6	6				5
Ardoises ; dites moyennes voisines	Ardoises	6	6				1
Ardoises ; dites petites voisines	Ardoises	6	6				3
Ardoises ; dites voisines, grandes, moyennes et petites	Ardoises	6	6				1
Ardoises ; en livrets	Ardoises	6	6		6	6	4
Ardoises ; encadrées	Ardoises	6	6		6	6	1
Ardoises ; encadrées et en livrets	Ardoises	6	6	ardoises en tables et livrets	6	6	4
Ardoises ; non travaillées	Ardoises	2	2	ardoises brutes	2	2	76
Ardoises ; ordinaires	Ardoises	6	6		6	6	7
Ardoises ; vertes	Ardoises	6	6				1
Argent ; battu	Argent ; métal	6	6				2
Argent ; brulé	Argent ; métal	6	6		9	9	
Argent ; brûlé	Argent ; métal	6	6				0
Argent ; brut	Argent ; métal	6	6				14
Argent ; carragoux	Argent ; métal	6	6				1
Argent ; divers	Argent ; métal	6	6				6
Argent ; en barres	Argent ; métal	6	6				1
Argent ; en couvert	Argent ; ouvré	6	6				2
Argent ; en feuilles	Argent ; métal	6	6				1
Argent ; en lingots	Argent ; métal	6	6				3
Argent ; faux	Argent ; faux	6	6				5
Argent ; fin	Argent ; métal	6	6				1
Argent ; or ; quadruples	Monnaies	9	9a				3
Argent ; or ; sequins	Monnaies	9	9a				9
Argent ; or ; sequins vénitiens	Monnaies	9	9a				5
Argent ; paillettes	Monnaies	9	9a				1
Argent ; sequins	Monnaies	9	9a				2
Argent ; talaris	Monnaies	9	9a				4
Argent ; vif	Mercure	5	5				22
Argent en barils	Argent ; métal	6	6		6	6	1
Argent en barres	Argent ; métal	6	6		6	6	
Argent et or ; billon		9	9a				0
Argenterie	Argenterie et orfèvrerie	8	8				6
Argenterie ; boucle	Argenterie et orfèvrerie	8	8				14
Argenterie ; boucles	Argenterie et orfèvrerie	8	8				
Argenterie ; bugues	Argenterie et orfèvrerie	8	8				
Argenterie ; croix	Argenterie et orfèvrerie	8	8				1
Argenterie ; diverse	Argenterie et orfèvrerie	8	8				1
Argenterie ; épées	Argenterie et orfèvrerie	8	8				0
Argenterie et orfèvrerie	Argenterie et orfèvrerie	8	8				8
Argile		2	2				2
Aristoloche	Aristoloche	2	2				3
Armagnac		1	1				1
Arme	Armes	9	9				162
Arme ; à feu	Armes	9	9				20
Arme ; à feu ; fusil	Armes	9	9				8
Arme ; à feu ; fusils	Armes	9	9				11
Arme ; à feu ; fusils ; démontés	Armes	9	9				29
Arme ; à feu ; fusils ; neufs	Armes	9	9				1
Arme ; à feu ; fusils ; vieux	Armes	9	9				1
Arme ; à feu ; fusils et carabines	Armes	9	9				1
Arme ; à feu ; pistolet	Armes	9	9				13
Arme ; à feu ; pistolets	Armes	9	9				5
Arme ; artillerie	Armes	9	9				1
Arme ; blanche	Armes	9	9				227
Arme ; blanche ; épée	Armes	9	9				3
Arme ; blanche ; lance d'épée	Armes	9	9				11
Arme ; blanche ; sabre	Armes	9	9				85
Arme ; Canon et balles de fer	Armes	9	9				1
Arme ; de main	Armes	9	9				0
Arme ; pique	Armes	9	9				1
Armes	Armes	9	9				
Armes ; à feu	Armes	9	9				
Armes ; à feu ; diverses	Armes	9	9				
Armes ; à feu ; fusils	Armes	9	9				
Armes ; à feu ; pistolets	Armes	9	9				
Armes ; blanches	Armes	9	9				
Armes ; blanches ; diverses	Armes	9	9				
Armes ; blanches ; épées	Armes	9	9				
Armes ; blanches ; lances d'épées	Armes	9	9				
Armes ; blanches ; sabres	Armes	9	9				
Armes ; réunies	Armes	9	9				
Armes non reprises	Armes	9	9	armes non reprises au tarif	9	9	
Armes remontrances	Armes	9	9		9	9	
Armes, Canon et balles de fer	Armes	9	9		9	9	
Armoires	Armoires	8	8				6
Armoisin	Armoisin	6	6c				2
Armoisin/Taffetas	Armoisin	6	6c				2
Armure		9	9				0
Armure ; vieilles		9	9				0
Armures ; de fer		9	9				2
Arpois	Arpois	…	…				1
Arquifou	Arquifou	5	5				1
Arrosoir	Arrosoir	6	6				3
Art de peau		8	8				3
Artichauts	Artichauts	0	0a				35
Artichauts ; confits	Artichauts	0	0a				4
Articles ; d'industrie ; réunis	Marchandises diverses	8	8				
Articles ; réunis	Marchandises diverses	8	8				19
Articles ; réunis ; d'industrie	Marchandises diverses	8	8				
Artifice	Artifice	8	8	artifice	8	8	7
Artilleries	Artilleries	9	9				35
Artilleries ; de cuivre	Artilleries	9	9				2
Asperges	Asperges	0	0a				
Asperges et scorsionnaires	Asperges	0	0a				8
Asphalte	Asphalte	2	2				22
Assa fétide	Assa fétide	2	2				1
Assiette ; de bois		6	6				9
Assiette ; de faïence		6	6				1
Assiette ; de fayence		6	6				4
Assiette ; de terre		6	6				1
Assiette de fayence	Assiette de fayence	6	6				
Assiettes et plats		6	6				77
Attelles ; de colliers	Attelles ; de colliers	7	7				54
Auges		6	6				5
Avelines	Avelines	0	0a	Grosse noisette			1
Avirons	Avirons	7	7				
Avoine	Avoine	0	0a				11
Avoine ; en gerbe		0	0a				0
Avoine ; en jarbes	Avoine ; en jarbes	0	0a				
Avoine, gruau	Avoine, gruau	0	0a		0	0a	
Babouches	Babouches	8	8				4
Babus	Babus	0	0a	Barbus (poisson)?			2
Bâche		6	6a				1
Bacs contenant 1 aime	Bacs contenant 1 aime	6	6		6	6	1
Bacs de pierre	Bacs de pierre	6	6				22
Badiane	Badiane	5	5		5	5	2
Baffetas	Baffetas	6	6d	Toile grosse de coton			4
Bagages		8	8				2
Bagues	Bagues	8	8				6
Bagues ; de cuivre	Bagues ; de cuivre	8	8				1
Bagues ; de laiton	Bagues ; de laiton	8	8				11
Baguettes ; à chandelle	Baguettes ; à chandelle	6	6				0
Baguettes ; de fusils	Baguettes ; de fusils	6	6				3
Baguettes ; étoffe	Baguettes ; étoffe	6	6				1
Bahuts	Bahuts	8	8				1
Baies ; de genièvre		0	0a				0
Baignes	Baignes	6	6b	Baigues ou Baignes : sorte de ratine (étoffe de laine)			6
Bailliarge	Bailliarge	0	0a	Espèce d'orge qui vient de l'Angoumois ou du Poitou			1
Bajutapeau	Bajutapeau	6	6d	Toile de coton destinée au commerce de la Traite			
Balais	Balais	8	8				373
Balais ; coupée	Balais	8	8				14
Balais ; de bois	Balais	8	8				4
Balais ; de bruyère	Balais	8	8				106
Balais ; de crin	Balais	8	8				95
Balais ; de jonc		8	8				115
Balais ; de joncs	Balais	8	8				
Balais ; de palmes	Balais	8	8				2
Balais ; de riz	Balais	8	8				180
Balais ; de soie	Balais	8	8				3
Balais ; du roi		8	8				1
Balais, petits	Balais	8	8	petits balais de bruyere	6	6	22
Balance	Balance	6	6		6	6	4
Balance ; en fer		6	6				0
Baleine	Baleine	0	0a				1
Baleine ; coupée	Baleine	0	0a				4
Baleine ; de sardes	Baleine	0	0a				20
Baleine ; en fanon	Baleine	0	0a				10
Baleine ; nageoires		0	0a				1
Balles		8	8				1
Balles ; à jouer		8	8				2
Balles ; d'osier		8	8				2
Balles ; en fer		8	8				2
Balles d'osier	Balles d'osier	8	8				
Balustre	Balustre	8	8				0
Bandeaux	Bandeaux	6	6				1
Banderoles	Banderoles	8	8		8	8	1
Bandes de chapeau		6	6				2
Bandoulières		6	6				1
Baquets de sapin	Baquets de sapin	8	8				7
Bar	Poisson	0	0a				16
Baracan	Baracan	6	6b	étoffe de laine			
Barbaçons ; de grès	Barbaçons ; de grès	6	6				9
Barbes ; de baleine	Barbes ; de baleine	0	0a	partie du fanon des baleines			14
Barbotines	Barbotines	2	2				35
Barils	Barils	6	6				5
Barils ; vides	Barils ; vides	6	6				20
Bariteau	Bariteau	6	6b	étoffe de laine et fil qui sert à tamiser			2
Baromètre	Baromètre	8	8				34
Barquettes	Barquettes	6	6		7	7	37
Barquettes et nacelles	Barquettes	7	7		7	7	95
Barquettes vieilles	Barquettes	7	7		7	7	1
Barre ; de bois		2	2				3
Barreaux ; bois		2	2				1
Barreaux et planches ; bois		2	2				1
Barres		2	2				0
Barres ; d'anspects	Barres ; de bois	2	2				1
Barres ; de bois	Barres ; de bois	2	2				1
Barres ; de cabestan	Barres ; de bois	2	2				4
Barres ; de cabestan et d'anspect		2	2				20
Barres ; de sapin	Barres ; de bois	2	2				2
Barres ; en bois ; pour navire		2	2				1
Barres ; petites		2	2				2
Barres ; pour construction		2	2				26
Barres ; pous édifiées	Barres ; de bois	2	2				
Barrettes	Barrettes	8	8				3
Barriques	Barriques	6	6				5
Barriques ; vides		6	6				1
Barriques ; vieilles	Barriques	6	6				1
Barrois	Barrois	8	8				5
Bas	Bas	8	8				1
Bas ; assortis	Bas	8	8				1
Bas ; coton	Bas	8	8				4
Bas ; coton et fil	Bas	8	8				12
Bas ; d'enfants		8	8				2
Bas ; d'Estame	Bas	8	8				22
Bas ; de castor	Bas	8	8				12
Bas ; de chamois	Bas	8	8				4
Bas ; de coton	Bas	8	8				15
Bas ; de fil	Bas	8	8				16
Bas ; de fil et coton	Bas	8	8		8	8	26
Bas ; de filoselle	Bas	8	8				3
Bas ; de fleuret	Bas	8	8				23
Bas ; de laine	Bas	8	8				41
Bas ; de Leyden		8	8				12
Bas ; de peau	Bas	8	8				28
Bas ; de soie	Bas	8	8				26
Bas ; de soie ; à coins d'or	Bas	8	8				1
Bas ; drapés	Bas	8	8				1
Bas ; en laine ; de Jersey		8	8				8
Bas ; longs		8	8				11
Bas ; soie et laine	Bas	8	8				1
Bas ; soie et poil	Bas	8	8				1
Bas ; tricotés		8	8				18
Bas et Bonneterie ; bonnet de coton		8	8				1
Bas et bonnets de coton	Bas	8	8				
Bas, gants et bonnets de laine	Bas, gants et bonnets de laine	8	8		8	8	
Bas, gants et bonnets de laine, fil et coton	Bas, gants et bonnets de laine, fil et coton	8	8		8	8	
Basannes	Basannes	6	6d				1
Basannes ; tannées	Basannes ; tannées	6	6d				14
Basin	Basin	6	6d				2
Basin ; blanc	Basin	6	6d				17
Basin ; en aunes	Basin	6	6d				2
Basin ; peint	Basin	6	6d		6	6d	1
Basin ; rayé	Basin	6	6d		6	6d	5
Basse ; de viole	Instruments de musique	8	8				0
Basses	Basses	8	8		8	8	1
Basses et bassons	Instruments de musique	8	8		8	8	1
Bassins ; à barbe	Bassins ; à barbe	8	8				1
Bassins ; en argent		8	8				1
Bassins ; en laiton		8	8				1
Basson	Instruments de musique	8	8				2
Bast	Bast	6	6		6	6	1
Batanonis	Batanonis	6	6a	toile de lin			5
Batavia	Batavia	…	…				5
Bate de laurier	Bate de laurier	0	0a	Bayberrie			10
Bateaux		7	7				1
Bateaux ; de pêcheur	Bateaux	7	7				5
Bateaux ; neufs	Bateaux	7	7				111
Bateleux	Bateleux	…	…				2
Batiste		6	6a				6
Batiste ; blanche	Batiste ; blanche	6	6a		6	6a	1
Batiste ; grise		6	6a				1
Bâton	Bâtons	2	2				18
Bâtons	Bâtons	2	2				38
Bâtons ; à chandelle	Bâtons	2	2				36
Bâtons ; à lave-place	Bâtons	2	2				5
Bâtons ; de colliers	Bâtons	2	2				53
Bâtons ; de Gabares	Bâtons	2	2				1
Bâtons ; de Gaffes	Bâtons	2	2				2
Bâtons ; de sapin	Bâtons	2	2				2
Bâtons ; peints	Bâtons	2	2				17
Bâtons ; vernis	Bâtons	2	2				14
Bâtons à faire cercles	Bâtons	2	2		6	6	92
Bats ; d'ânes	Bats ; d'ânes	7	7				76
Bats ; de cheval	Bats ; de cheval	7	7				2
Battoirs	Battoirs	2	2				0
Baudriers	Baudriers	7	7				266
Baume	Baume	5	5	beaume de vie	5	5	33
Baume ; de copabu	Baume	5	5				5
Baume ; de la Mecque	Baume	5	5				1
Baume ; du Pérou	Baume	5	5				
Baume ; laque	Baume	5	5				196
Baye ; de laurier	Baye ; de laurier	2	2				12
Bayette	Bayette	6	6b	Etoffe de laine non croisée, voir bayette			
Bayonnettes	Armes	9	9				4
Bayoulen	Bayoulen	5	5		5	5	1
Bazzitte		…	…				1
Beaume et elixir	Baume	5	5	beaume de toute espece	5	5	1
Beauverd ; broyé	Beauverd ; broyé	…	…				1
Bécasses	Bécasses	0	0a		0	0a	4
Bécassines	Bécasses	0	0a				4
Bêches		6	6				46
Bêches ; en fer		6	6				8
Bedelin	Bedelin	2	2	Coton qui vient du Levant par Marseille			2
Benjoin	Benjoin	5	5				
Bennes	Bennes	8	8		8	8	3
Bennes vuides	Bennes vuides	8	8		8	8	1
Berceaux ; d'enfant	Berces et Berceaux	8	8				1
Berces ; d'osier	Berces et Berceaux	2	2		2	2	1
Berces et lits d'enfants	Berces et Berceaux	8	8				5
Bérets		8	8				0
Bergamotes	Bergamotes	0	0a				0
Bergopsum	Bergopsum	…	…				
Berline	Berline	7	7				1
Berline ; vieille	Berline	7	7				1
Bernes	Bernes	…	…				10
Bestiaux ; agneaux	Bestiaux	0	0a				
Bestiaux ; bœufs	Bestiaux	0	0a				
Bestiaux ; bœufs, vaches, moutons, porcs	Bestiaux	0	0a				
Bestiaux ; bœufs, vaches, moutons, veaux	Bestiaux	0	0a				
Bestiaux ; chèvres et boucs	Bestiaux	0	0a				
Bestiaux ; divers	Bestiaux	0	0a				
Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux	0	0a				
Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bestiaux	0	0a				
Bestiaux ; génisses	Bestiaux	0	0a				
Bestiaux ; moutons et brebis	Bestiaux	0	0a				
Bestiaux ; porcs et porcelets	Bestiaux	0	0a				
Bestiaux ; taureaux	Bestiaux	0	0a				
Bestiaux ; vaches	Bestiaux	0	0a				
Bestiaux ; vaches ; en vie	Bestiaux	0	0a				
Bestiaux ; vaches ; tuées	Bestiaux	0	0a				
Bestiaux ; vaches, taureaux et genisses	Bestiaux	0	0a				
Bestiaux ; veaux	Bestiaux	0	0a				
Bétail ; agneaux		0	0a				13
Bétail ; bœuf		0	0a				55
Bétail ; bœuf et génisse		0	0a				7
Bétail ; bœuf et taureaux		0	0a				1
Bétail ; bœuf, vaches, mouton, Porc		0	0a				1
Bétail ; bœuf, vaches, mouton, veaux		0	0a				22
Bétail ; bœuf, vaches, Porc et mouton		0	0a				34
Bétail ; bœuf, vaches, veaux, Porc et mouton		0	0a				4
Bétail ; brebis		0	0a				1
Bétail ; chèvres	Bétail ; chèvres	0	0a				11
Bétail ; chèvres et boucs		0	0a				41
Bétail ; divers		0	0a				1
Bétail ; génisses		0	0a				62
Bétail ; mouton		0	0a				282
Bétail ; mouton et brebis		0	0a				3
Bétail ; Porc		0	0a				1
Bétail ; Porc et porcelets		0	0a				41
Bétail ; taureaux		0	0a				8
Bétail ; vaches		0	0a				20
Bétail ; vaches ; tuées		0	0a				0
Bétail ; vaches, taureaux et génisses		0	0a				0
Bétail ; veau		0	0a				0
Bétail ; veaux		0	0a				7
Bêtes ; de somme ; chèvres		0	0a				1
Bêtes de somme		0	0a				8
Bêtes de somme ; ânes	Bestiaux	0	0a				22
Bêtes de somme ; chevaux	Bestiaux	0	0a	chevaux et mulets	0	0a	151
Bêtes de somme ; chevaux ; anglais		0	0a				10
Bêtes de somme ; divers	Bestiaux	0	0a				
Bêtes de somme ; juments	Bestiaux	0	0a				3
Bêtes de somme ; mules et mulets	Bestiaux	0	0a				24
Bêtes de somme ; mules, mulets et chevaux	Bestiaux	0	0a				16
Bêtes de somme ; mulets	Bestiaux	0	0a				9
Bêtes de somme ; poulains	Bestiaux	0	0a				39
Bêtes de somme : agneaux et cabris		0	0a				4
Bêtes de somme : agneaux et cabrits	Bestiaux	0	0a		0	0a	
Bêtes de somme : agneaux et crottelins	Bestiaux	0	0a	laine d'agnelin et escrottin	2	2	
Betilles	Betilles	6	6d				16
Betteraves		0	0a				4
Beurre	Beurre	0	0a				35
Beurre ; d'Angleterre	Beurre	0	0a		0	0a	4
Beurre ; d'Irlande non comestible	Beurre	0	0a		0	0a	1
Beurre ; de Hollande et d'Angleterre	Beurre	0	0a				1
Beurre ; ordinaire	Beurre	0	0a				3
Beurre ; salé	Beurre	0	0a				4
Beurreterie ; en bar ; de fil blanc		6	6a				1
Bézoard	Bézoard	2	2				18
Bière	Bière	1	1				62
Bière ; aigre	Bière	1	1				2
Bière ; commune du pays	Bière	1	1		1	1	3
Bière ; d'Angleterre	Bière	1	1				17
Bière ; d'Hollande	Bière	1	1		1	1	
Bière ; d'Hougarde	Bière	1	1				13
Bière ; d'hougarde	Bière	1	1				
Bière ; de Dantzig	Bière	1	1				3
Bière ; de Hollande	Bière	1	1				1
Bière ; de Liège	Bière	1	1				11
Bière ; de liège	Bière	1	1		1	1	
Bière ; de Liège, d'Angleterre, etc	Bière	1	1				17
Bière ; de liège, d'anglettere etc	Bière	1	1				
Bière ; dite juypenbier	Bière	1	1		1	1	24
Bière ; dite lumay	Bière	1	1		1	1	5
Bière ; en fût	Bière	1	1				1
Bière ; fortes		1	1				16
Bière ; nautique	Bière	1	1				9
Bière ; porter	Bière	1	1				9
Bière, cidre et vinaigre	Bière	1	1				44
Bigarade		0	0a				26
Bigarade ; zeste		0	0a				1
Bigarades	Bigarades	0	0a				
Bigaradier ; feuilles		0	0a				1
Bijouterie	Bijouterie	8	8				24
Bijouterie ; en épingles		8	8				1
Bijouterie ; pour montre d'argent		8	8				1
Bilardeaux	Bilardeaux	6	6		6	6	2
Billard	Billard	8	8				9
Billes ; de bois		8	8				1
Billes d'ivoire	Billes d'ivoire	8	8				6
Billets ; de parchemin		6	6				3
Billots de sapin	Billots de sapin	2	2				16
Binages à pousser		6	6				2
Biscuit ; de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie	0	0a				45
Biscuits	Biscuits	0	0a				8
Biscuits ; amer	Biscuits	0	0a				5
Biscuits ; au poivre		0	0a				1
Biscuits ; de Grains ; froment		0	0a				1
Biscuits ; de mer	Biscuits	0	0a				26
Biscuits ; de munition	Biscuits	9	9		9	9	1
Bitume ; de Judée	Bitume ; de Judée	5	5				3
Blanc	Blanc	5	5				1
Blanc ; d'écaille	Blanc ; d'écaille	5	5		5	5	3
Blanc ; d'Espagne	Blanc ; d'Espagne	5	5				18
Blanc ; de baleine	Blanc ; de baleine	5	5				67
Blanc ; de plomb	Blanc ; de plomb	5	5				1
Blanc ; de Troyes	Blanc ; de Troyes	5	5				4
Blanquette	Blanquette	1	1	Variété de bière avec un faible degré d'alcool			2
Blé	Blé et autres grains	0	0a				
Blé et autres grains	Blé et autres grains	0	0a				
Blé et autres grains ; comestibles	Blé et autres grains	0	0a				
Bleu	Bleu	5	5				
Bleu ; commun	Bleu	5	5				
Bleu ; de Berlin	Bleu	5	5		5	5	
Bleu ; de paille	Bleu	5	5		5	5	
Bleu ; de smalt	Bleu	5	5				
Bleu ; fin	Bleu	5	5				
Bleu ; ordinaire	Bleu	5	5				
Blocs	Blocs	2	2				5
Blocs ; ???	Blocs ; ???	2	2				
Blonde		6	6c				1
Blonde ; d'argent	Blonde ; d'argent	6	6c				2
Blonde ; d'or	Blonde ; d'or	6	6c	Dentelle de soie faite en auvergne			1
Blonde ; de soie	Blonde ; de soie	6	6c				3
Bluteaux		…	…				80
Bocaux		6	6				1
Boclans	Boclans	…	…				1
Boeuf ; à l'Ecarlate	Boeuf ; à l'Ecarlate	0	0a				
Bœuf ; à l'Ecarlate	Bœuf ; à l'Ecarlate	0	0a				
Bœuf ; à l'écarlate		0	0a				3
Bœuf ; à la daube	Bœuf ; à la daube	0	0a				14
Bœuf ; à la mode	Bœuf ; à la mode	0	0a				27
Bœuf ; en vie	Bestiaux	0	0a				
Bœuf ; fumé		0	0a				13
Bœuf ; salé	Bœuf ; salé	0	0a				23
Bœufs ; en vie	Bestiaux	0	0a				
Bœufs ; fumé	Bœufs ; fumé	0	0a				
Bœufs ; salé	Bœufs ; salé	0	0a				
Bœufs et taureaux	Bestiaux	0	0a		0	0a	
Boeuftins et genisses	Bestiaux	0	0a		0	0a	
Bois	Bois	2	2				117
Bois ; ??	Bois	2	2				
Bois ; à baril non scié	Bois	2	2		2	2	1
Bois ; à barils	Bois	2	2				7
Bois ; à barrique		2	2				38
Bois ; à bâtir	Bois	2	2				12
Bois ; à bruler	Bois ; à brûler	3	3		2	2	
Bois ; à brûler	Bois ; à brûler	2	2				155
Bois ; à cribles	Bois	2	2				1
Bois ; à faire corbin	Bois	2	2				18
Bois ; à faire des Boîte		2	2				2
Bois ; à faire des boîtes	Bois	2	2				
Bois ; à faire des étuis	Bois	2	2				2
Bois ; à faire des foureaux		2	2				1
Bois ; à faire fourreaux d'épées	Bois	2	2				10
Bois ; à faire sabots		2	2				5
Bois ; à faire sommier	Bois	2	2				4
Bois ; à faire violons	Bois	2	2				6
Bois ; à fourreau d'Epée	Bois	2	2				7
Bois ; à fusils	Bois	2	2				7
Bois ; à houblon		2	2				31
Bois ; à Meuble		2	2				11
Bois ; à meubles	Bois	2	2				
Bois ; a parquet	Bois	2	2				1
Bois ; à tamis	Bois	2	2				13
Bois ; à tapis	Bois	2	2				2
Bois ; à teindre	Bois	2	2				7
Bois ; à teindre de toutes sortes		2	2				6
Bois ; à tonneaux		2	2				5
Bois ; à tourner		2	2				1
Bois ; anspects	Bois	6	6				7
Bois ; au daumes		2	2				1
Bois ; autre	Bois	2	2				1
Bois ; blanc	Bois	2	2				4
Bois ; blanc à faire sabots	Bois	2	2		2	2	
Bois ; bordages	Bois	2	2				56
Bois ; bordages ; de chêne	Bois	2	2				14
Bois ; bordages ; de sapin	Bois	2	2				1
Bois ; bourdillons	Bois	2	2				54
Bois ; boway ; de chêne	Bois	2	2				2
Bois ; boway ; de sapin	Bois	2	2				1
Bois ; brandilles	Bois	2	2				1
Bois ; brun	Bois	2	2				3
Bois ; chêne		2	2				4
Bois ; chêne ; en bloc		2	2				4
Bois ; cordayer	Bois	2	2				1
Bois ; coudé		2	2				8
Bois ; courbé		2	2				9
