numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
20,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toiles de coton,10300,Livres,,82200,,Objets manufacturés
21,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toile de lin de toute sorte,473298,Livres,,2366500,,Objets manufacturés
22,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toile fil et coton,13100,Livres,,79000,,Objets manufacturés
23,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toiles etrangeres,,Valeur,,15000,,Objets manufacturés
24,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,"ouvrage divers en mode, peaux, porcelaine, rubans 16 onces",,Valeur,,112000,,Objets manufacturés
25,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,armes à feu,,Valeur,,58000,,Autres objets d'industrie
26,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,mercerie,48600,Livres,,103600,,Autres objets d'industrie
27,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,quincaillerie,159600,Livres,,81800,,Autres objets d'industrie
28,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,verrerie diverse,189460,Livres,,198700,,Autres objets d'industrie
29,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,eaux de vie,2435,muids,,374400,,Boissons
30,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,vin de toute sorte,1433,muids,,111600,,Boissons
31,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Droguerie diverse,,Valeur,,114000,,
32,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Objets divers en petits articles,,Valeur,,500000,,
33,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Etoffes de soye,245,pièces,,10000,,Marchandises des Indes
34,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Mousseline,2050,aunes,,20500,,Marchandises des Indes
35,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Poivre,5330,Livres,,13300,,Marchandises des Indes
36,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Porcelaine de Chine,17600,Livres,,105600,,Marchandises des Indes
37,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Thé,253400,Livres,,890100,,Marchandises des Indes
38,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Toile des Indes,1303,pièces,,22600,,Marchandises des Indes
39,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Argent Monnoyé,,Valeur,,17000,,
40,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Bois de toutes sortes,,Valeur,,99627,,Matière première
41,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Bray et Goudron,274800,Livres,,22080,,Matière première
42,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Tabac en feuille,6292640,Livres,,2891688,,Matière première
43,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Farine,44740,Livres,,8940,,Comestibles
44,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Morue Sèche,194500,Livres,,58360,,Comestibles
45,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Riz,58650,Livres,,17590,,Comestibles
46,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Sucre Terré,7967,Livres,,5970,,Comestibles
47,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Droguerie pour la teinture indigo,4769,Livres,,33380,,
48,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,6,Imports,Etats-Unis,Marchandises diverses en petits articles,,Valeur,,64000,,
49,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Métaux divers en fer plomb et cuivre,219340,Livres,,60700,,
50,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Bonneterie de fil et coton,5014,Livres,,52420,,Objets manufacturés
51,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Bonneterie de Laine,10726,Livres,,106550,,Objets manufacturés
52,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,bonneterie de soye,4938,Livres,,246900,,Objets manufacturés
53,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Chapeaux de toutes sortes,37993,nombre,,207000,,Objets manufacturés
54,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,couvertures,47700,Livres,,95400,,Objets manufacturés
55,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,draperies de toutes sortes,273050,Livres,,2126940,,Objets manufacturés
56,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Etoffes de coton,25364,Livres,,253800,,Objets manufacturés
57,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Etoffes de laine,75870,Livres,,477950,,Objets manufacturés
58,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Etoffes de soye,19198,Livres,,959380,,Objets manufacturés
59,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,gants de peau,19360,paires,,19360,,Objets manufacturés
60,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,gaze de soye,6149,Livres,,476460,,Objets manufacturés
61,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,mouchoirs divers en fil et coton,55000,nombre,,85380,,Objets manufacturés
62,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,ouvrage de modes et porcelaine,,valeur,,73000,,Objets manufacturés
63,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,papeterie diverse,47800,Livres,,61230,,Objets manufacturés
64,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,rubans de soys,2228,Livres,,111720,,Objets manufacturés
65,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toiles diverse en lin et de chanvre,98000,Livres,,275700,,Objets manufacturés
66,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toiles de lin diverse,180810,Livres,,681300,,Objets manufacturés
67,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toile de lin batiste,9980,Livres,,147850,,Objets manufacturés
68,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toile de coton,10585,Livres,,159220,,Objets manufacturés
69,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toiles peinte et indienne,41088,Livres,,466480,,Objets manufacturés
70,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toiles à voile,70500,Livres,,705000,,Objets manufacturés
71,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toile mélée,,valeur,,65200,,Objets manufacturés
72,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,cordages,155700,Livres,,80500,,autres objets d'industrie
73,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,fil de toute sorte,25000,Livres,,64330,,autres objets d'industrie
74,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,habillement et lingerie,,valeur,,312250,,autres objets d'industrie
75,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,mercerie,60570,Livres,,132560,,autres objets d'industrie
76,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,quincaillerie,130060,Livres,,78920,,autres objets d'industrie
77,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,savon,114500,Livres,,34340,,autres objets d'industrie
78,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,souliers,,valeur,,54000,,autres objets d'industrie
79,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,ustencils militaires et de guerre,,valeur,,135880,,autres objets d'industrie
80,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,verre de tout sorte,769700,Livres,,374130,,autres objets d'industrie
81,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,chairs salées de toutes sortes,228270,Livres,,72490,,comestibles et boissons
82,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,comestibles de toutes sortes,,valeur,,96760,,
83,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,eau de vie,3699,muids,,532650,,
84,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,liqueurs et Rhum,"256,32",muids,,88640,,
85,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,vins de toutes sortes,2829,muids,,222780,,
86,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,Drogues diverse pour la peinture et teinture,,valeur,,98280,,
87,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,marchandises diverse en articles de moindre valeur,,valeur,,513090,,
88,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,denrées coloniales en indigo et sucre,,valeur,,21650,,
89,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,mousseline et mouchoirs,464,pièces,,53660,,Marchandises des Indes
90,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,poivre,30090,Livres,,58850,,Marchandises des Indes
91,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,thé,103300,Livres,,291236,,Marchandises des Indes
92,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1783,7,Exports,Etats-Unis,toiles de toutes sortes,5253,pièces,,47077,,Marchandises des Indes
93,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,Bois de toutes sortes,,valeur,,57540,,Matières premières
94,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,Bray et goudron,1160200,Livres,,94190,,Matières premières
95,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,Tabac en feuilles,6433609,Livres,,3216804,,Matières premières
96,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,bled froment,390000,Livres,,39000,,Comestibles
97,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,riz,1982586,Livres,,639810,,Comestibles
98,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,drogues pour la teinture en indigo,6445,Livres,,45890,,
99,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,9,Imports,Etats-Unis,marchandises diverse en petits articles,,valeur,,91000,,
100,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Argent Monnoyé,,valeur,,30000,,
101,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Bonneterie de fil et coton,2267,Livres,,29238,,Objets manufacturés
102,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,bonneterie de soye,1996,Livres,,99780,,Objets manufacturés
103,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,chapeaux de toutes sortes,6880,nombre,,50730,,Objets manufacturés
104,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,couvertures,8780,Livres,,17530,,Objets manufacturés
105,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,dentelle de fil,,valeur,,56500,,Objets manufacturés
106,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,dentelle de soye,464,Livres,,138550,,Objets manufacturés
107,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,draperies de toutes sortes,26171,Livres,,270480,,Objets manufacturés
108,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Etoffes de coton,6362,Livres,,48100,,Objets manufacturés
109,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Etoffes de laine,6180,Livres,,50390,,Objets manufacturés
110,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Etoffes de soye,20250,Livres,,985790,,Objets manufacturés
111,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,gaze de soye,570,Livres,,44270,,Objets manufacturés
112,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,mouchoirs de fil et coton divers,,valeur,,22920,,Objets manufacturés
113,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,rubans de soye,1774,Livres,,88710,,Objets manufacturés
114,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,toiles de lin batiste,30936,aunes,,185610,,Objets manufacturés
115,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,toiles de lin et de chanvre,57860,Livres,,289300,,Objets manufacturés
116,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,toiles peinte et indienne,41040,Livres,,410400,,Objets manufacturés
117,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,toiles meslées,,valeur,,36740,,Objets manufacturés
118,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,merceries mélée,20596,Livres,,36910,,autres objets d'industrie
119,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,savon,481350,Livres,,236570,,autres objets d'industrie
120,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,chair salées,22980,Livres,,8400,,comestibles et boissons
121,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,combustibles divers,,valeur,,38436,,comestibles et boissons
122,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,sel,400000,Livres,,5000,,comestibles et boissons
123,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,eau de vie,"1576,5",muids,,227000,,comestibles et boissons
124,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,vin de toutes sortes,2021,muids,,119108,,comestibles et boissons
125,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Marchandises diverses en petits articles,,valeur,,275000,,
126,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,denrées coloniales,,valeur,,8560,,
127,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Etoffes des Indes,479,pièces,,35151,,Marchandises des Indes
128,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,mouchoirs et mousselines,1296,pièces,,59837,,Marchandises des Indes
129,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,thé,183891,Livres,,455635,,Marchandises des Indes
130,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis, toiles des Indes,10782,pièces,,164661,,Marchandises des Indes
