Numéro de ligne,Data entry by,Source,exportimports,Year,Sheet,Marchandises,Pays,Quantité,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
103,Milewski,Montbret 155101,Exports,1754,5,Anis,Espagne,,3901.20,0.00,0.00,12823.00,
104,Milewski,Montbret 155102,Exports,1754,5,Anis,Flandre,,65.40,0.00,0.00,12823.80,
105,Milewski,Montbret 155103,Exports,1754,5,Anis,Hollande,,4035.40,0.00,0.00,12823.80,
106,Milewski,Montbret 155104,Exports,1754,5,Anis,Italie,,1716.00,0.00,0.00,12823.80,
107,Milewski,Montbret 155105,Exports,1754,5,Anis,Levant,,630.00,0.00,0.00,12823.80,
108,Milewski,Montbret 155106,Exports,1754,5,Anis,Nord,,604.40,0.00,0.00,12823.80,
109,Milewski,Montbret 155107,Exports,1754,5,Anis,Savoye,,98.00,0.00,0.00,12823.80,
110,Milewski,Montbret 155108,Exports,1754,5,Anis,Suede,,135.00,0.00,0.00,12823.80,
111,Milewski,Montbret 155109,Exports,1754,5,Anis,Suisse,,1118.60,0.00,0.00,0.00,
112,Milewski,Montbret 155110,Exports,1754,5,Anisette,Isles,,450.00,0.00,0.00,0.00,
113,Saadia Mai,Montbret 155111,Exports,1754,6,Antimoine,Espagne,,46.80,0.00,0.00,933.25,
114,Saadia Mai,Montbret 155112,Exports,1754,6,Antimoine,Flandre,,17.50,0.00,0.00,933.25,
115,Saadia Mai,Montbret 155113,Exports,1754,6,Antimoine,Italie,,868.95,0.00,0.00,933.25,
116,Saadia Mai,Montbret 155114,Exports,1754,6,Arbres à planter,Angleterre,,50.00,0.00,0.00,2673.85,
117,Saadia Mai,Montbret 155115,Exports,1754,6,Arbres à planter,Danemark,,140.00,0.00,0.00,2673.85,
118,Saadia Mai,Montbret 155116,Exports,1754,6,Arbres à planter,Flandre,,498.85,0.00,0.00,2673.85,
119,Saadia Mai,Montbret 155117,Exports,1754,6,Arbres à planter,Hollande,,67.50,0.00,0.00,2673.85,
120,Saadia Mai,Montbret 155118,Exports,1754,6,Arbres à planter,Italie,,1700.00,0.00,0.00,2673.85,
121,Saadia Mai,Montbret 155119,Exports,1754,6,Arbres à planter,Nord,,117.00,0.00,0.00,2673.85,
122,Saadia Mai,Montbret 155120,Exports,1754,6,Arbres à planter,Russie,,44.00,0.00,0.00,2673.85,
123,Saadia Mai,Montbret 155121,Exports,1754,6,Arbres à planter,Suède,,44.00,0.00,0.00,2673.85,
124,Saadia Mai,Montbret 155122,Exports,1754,6,Arbres à planter,Suisse,,12.50,0.00,0.00,2673.85,
125,Saadia Mai,Montbret 155123,Exports,1754,6,Arcenic,Italie,,39.00,0.00,0.00,339.00,
126,Saadia Mai,Montbret 155124,Exports,1754,6,Arcenic,Suisse,,300.00,0.00,0.00,339.00,
127,Saadia Mai,Montbret 155125,Exports,1754,6,Ardoises,Allemagne,,4550.00,0.00,0.00,81699.50,
128,Saadia Mai,Montbret 155126,Exports,1754,6,Ardoises,Flandre,,19447.00,0.00,0.00,81699.50,
129,Saadia Mai,Montbret 155127,Exports,1754,6,Ardoises,Isles,,57702.50,0.00,0.00,81699.50,
130,Saadia Mai,Montbret 155128,Exports,1754,6,Argent Vif,Levant,,17748.00,0.00,0.00,0.00,
131,Saadia Mai,Montbret 155129,Exports,1754,6,Argenterie,Allemagne,,1289.00,0.00,0.00,208856.75,
132,Saadia Mai,Montbret 155130,Exports,1754,6,Argenterie,Angleterre,,20306.25,0.00,0.00,208856.75,
133,Saadia Mai,Montbret 155131,Exports,1754,6,Argenterie,Espagne,,5735.60,0.00,0.00,208856.75,
134,Saadia Mai,Montbret 155132,Exports,1754,6,Argenterie,Flandre,,2472.35,0.00,0.00,208856.75,
135,Saadia Mai,Montbret 155133,Exports,1754,6,Argenterie,Isles,,113460.80,0.00,0.00,208856.75,
136,Saadia Mai,Montbret 155134,Exports,1754,6,Argenterie,Italie,,59921.25,0.00,0.00,208856.75,
137,Saadia Mai,Montbret 155135,Exports,1754,6,Argenterie,Suisse,,5671.50,0.00,0.00,208856.75,
138,Saadia Mai,Montbret 155136,Exports,1754,6,Aristoloche,Italie,,300.60,0.00,0.00,0.00,
139,Saadia Mai,Montbret 155137,Exports,1754,7,Armes à feu ; Fusils,Angleterre,,100.00,298249.80,0.00,298957.80,
140,Saadia Mai,Montbret 155138,Exports,1754,7,Armes à feu ; Fusils,Espagne,,38.00,298249.80,0.00,298957.80,
141,Saadia Mai,Montbret 155139,Exports,1754,7,Armes à feu ; Fusils,Guinée,,252739.80,298249.80,0.00,298957.80,
142,Saadia Mai,Montbret 155140,Exports,1754,7,Armes à feu ; Fusils,Isles,,11472.00,298249.80,0.00,298957.80,
143,Saadia Mai,Montbret 155141,Exports,1754,7,Armes à feu ; Fusils,Italie,,33900.00,298249.80,0.00,298957.80,
144,Saadia Mai,Montbret 155142,Exports,1754,7,Armes à feu ; Pistolets,Guinée,,616.00,708.00,0.00,298957.80,
145,Saadia Mai,Montbret 155143,Exports,1754,7,Armes à feu ; Pistolets,Isles,,92.00,708.00,0.00,298957.80,
146,Saadia Mai,Montbret 155144,Exports,1754,7,Armoisin,Hollande,,33810.00,0.00,0.00,0.00,
147,Saadia Mai,Montbret 155145,Exports,1754,7,Arquifou,Angleterre,,322.50,0.00,0.00,12730.20,
148,Saadia Mai,Montbret 155146,Exports,1754,7,Arquifou,Italie,,6457.80,0.00,0.00,12730.20,
149,Saadia Mai,Montbret 155147,Exports,1754,7,Arquifou,Levant,,5295.90,0.00,0.00,12730.20,
150,Saadia Mai,Montbret 155148,Exports,1754,7,Arquifou,Nord,,636.45,0.00,0.00,12730.20,
151,Saadia Mai,Montbret 155149,Exports,1754,7,Arquifou,Savoye,,17.55,0.00,0.00,12730.20,
152,Saadia Mai,Montbret 155150,Exports,1754,7,Artichaux,isles,,22050.00,0.00,0.00,22830.00,
153,Saadia Mai,Montbret 155151,Exports,1754,7,Artichaux,Nord,,20.00,0.00,0.00,22830.00,
154,Saadia Mai,Montbret 155152,Exports,1754,7,Artichaux,Savoye,,510.00,0.00,0.00,22830.00,
155,Saadia Mai,Montbret 155153,Exports,1754,7,Artichaux,Suisse,,250.00,0.00,0.00,22830.00,
156,Saadia Mai,Montbret 155154,Exports,1754,7,Assafetida,Nord,,2777.00,0.00,0.00,0.00,
157,Saadia Mai,Montbret 155155,Exports,1754,7,Asnes,Savoye,,1863.00,0.00,0.00,0.00,
158,Saadia Mai,Montbret 155156,Exports,1754,7,Auf,Savoye,,985.00,0.00,0.00,0.00,
159,Saadia Mai,Montbret 155157,Exports,1754,7,Avirons,Hollande,,2224.00,0.00,0.00,3020.00,
160,Saadia Mai,Montbret 155158,Exports,1754,7,Avirons,Portugal,,796.00,0.00,0.00,3020.00,
161,Saadia Mai,Montbret 155159,Exports,1754,7,Avoine,Allemagne,,799.00,0.00,0.00,4783.00,
162,Saadia Mai,Montbret 155160,Exports,1754,7,Avoine,Italie,,2520.00,0.00,0.00,4783.00,
163,Saadia Mai,Montbret 155161,Exports,1754,7,Avoine,Levant,,1464.00,0.00,0.00,4783.00,
164,Saadia Mai,Montbret 155162,Exports,1754,8,Azur,Espagne,,1558.00,0.00,0.00,9649.60,
165,Saadia Mai,Montbret 155163,Exports,1754,8,Azur,Flandre,,321.60,0.00,0.00,9649.60,
166,Saadia Mai,Montbret 155164,Exports,1754,8,Azur,Hollande,,835.00,0.00,0.00,9649.60,
167,Saadia Mai,Montbret 155165,Exports,1754,8,Azur,Isles,,312.00,0.00,0.00,9649.60,
168,Saadia Mai,Montbret 155166,Exports,1754,8,Azur,Italie,,216.50,0.00,0.00,9649.60,
169,Saadia Mai,Montbret 155167,Exports,1754,8,Azur,Levant,,6244.00,0.00,0.00,9649.60,
170,Saadia Mai,Montbret 155168,Exports,1754,8,Azur,Savoye,,32.00,0.00,0.00,9649.60,
171,Saadia Mai,Montbret 155169,Exports,1754,8,Azur,Suede,,130.50,0.00,0.00,9649.60,
172,Saadia Mai,Montbret 155170,Exports,1754,8,Baffetas,Angleterre,,1500.00,0.00,0.00,74374.00,
173,Saadia Mai,Montbret 155171,Exports,1754,8,Baffetas,Guinee,,35134.00,0.00,0.00,74374.00,
174,Saadia Mai,Montbret 155172,Exports,1754,8,Baffetas,Hollande,,14800.00,0.00,0.00,74374.00,
175,Saadia Mai,Montbret 155173,Exports,1754,8,Baffetas,Nord,,22940.00,0.00,0.00,74374.00,
176,Saadia Mai,Montbret 155174,Exports,1754,8,Babus,Espagne,,250.00,0.00,0.00,0.00,
177,Saadia Mai,Montbret 155175,Exports,1754,8,Baignes,Espagne,,1890.00,0.00,0.00,1893.00,
178,Saadia Mai,Montbret 155176,Exports,1754,8,Baignes,Italie,,3.00,0.00,0.00,1893.00,
179,Saadia Mai,Montbret 155177,Exports,1754,8,Bajutapeau,Guinee,,131604.00,0.00,0.00,136404.00,
180,Saadia Mai,Montbret 155178,Exports,1754,8,Bajutapeau,Hollande,,4800.00,0.00,0.00,136404.00,
181,Saadia Mai,Montbret 155179,Exports,1754,8,Balais ; de bois,Allemagne,,48.00,0.00,0.00,682.35,
182,Saadia Mai,Montbret 155180,Exports,1754,8,Balais ; de Jong,Savoye,,106.35,0.00,0.00,682.35,
183,Saadia Mai,Montbret 155181,Exports,1754,8,Balais ; de palmes,Suisse,,528.00,0.00,0.00,682.35,
184,Saadia Mai,Montbret 155182,Exports,1754,8,Balaustres,Hollande,,0.00,0.00,0.00,0.00,
185,Saadia Mai,Montbret 155183,Exports,1754,8,Baleine ; coupee,Allemagne,,724.50,15315.00,0.00,15315.00,
186,Saadia Mai,Montbret 155184,Exports,1754,8,Baleine ; coupee,Espagne,,1135.00,15315.00,0.00,15315.00,
187,Saadia Mai,Montbret 155185,Exports,1754,8,Baleine ; coupee,Flandre,,200.00,15315.00,0.00,15315.00,
188,Saadia Mai,Montbret 155186,Exports,1754,8,Baleine ; coupee,Italie,,12110.00,15315.00,0.00,15315.00,
189,Saadia Mai,Montbret 155187,Exports,1754,8,Baleine ; coupee,Portugal,,1145.50,15315.00,0.00,15315.00,
190,Saadia Mai,Montbret 155188,Exports,1754,9,Baracan,Allemagne,,3396.00,0.00,0.00,112967.00,
191,Saadia Mai,Montbret 155189,Exports,1754,9,Baracan,Espagne,,33840.00,0.00,0.00,112967.00,
192,Saadia Mai,Montbret 155190,Exports,1754,9,Baracan,Flandre,,8016.00,0.00,0.00,112967.00,
193,Saadia Mai,Montbret 155191,Exports,1754,9,Baracan,Isles,,2000.00,0.00,0.00,112967.00,
194,Saadia Mai,Montbret 155192,Exports,1754,9,Baracan,Italie,,49215.00,0.00,0.00,112967.00,
195,Saadia Mai,Montbret 155193,Exports,1754,9,Baracan,Levant,,1890.00,0.00,0.00,112967.00,
196,Saadia Mai,Montbret 155194,Exports,1754,9,Baracan,Portugal,,1860.00,0.00,0.00,112967.00,
197,Saadia Mai,Montbret 155195,Exports,1754,9,Baracan,Savoye,,9540.00,0.00,0.00,112967.00,
198,Saadia Mai,Montbret 155196,Exports,1754,9,Baracan,Suisse,,3210.00,0.00,0.00,112967.00,
199,Saadia Mai,Montbret 155197,Exports,1754,9,Barils ; vuides,Isles,,40.00,0.00,0.00,0.00,
200,Saadia Mai,Montbret 155198,Exports,1754,9,Barois,Flandre,,408.00,0.00,0.00,0.00,
201,Saadia Mai,Montbret 155199,Exports,1754,9,Bas ; de coton,Allemagne,,560.00,26024.00,0.00,3045057.25,
202,Saadia Mai,Montbret 155200,Exports,1754,9,Bas ; de coton,Angleterre,,4755.00,26024.00,0.00,3045057.25,
203,Saadia Mai,Montbret 155201,Exports,1754,9,Bas ; de coton,Espagne,,3340.00,26024.00,0.00,3045057.25,
204,Saadia Mai,Montbret 155202,Exports,1754,9,Bas ; de coton,Flandre,,3.00,26024.00,0.00,3045057.25,
205,Saadia Mai,Montbret 155203,Exports,1754,9,Bas ; de coton,Isles,,848.00,26024.00,0.00,3045057.25,
206,Saadia Mai,Montbret 155204,Exports,1754,9,Bas ; de coton,Italie,,13938.00,26024.00,0.00,3045057.25,
207,Saadia Mai,Montbret 155205,Exports,1754,9,Bas ; de coton,Savoye,,1844.00,26024.00,0.00,3045057.25,
208,Saadia Mai,Montbret 155206,Exports,1754,9,Bas ; de coton,Suisse,,736.00,26024.00,0.00,3045057.25,
209,Saadia Mai,Montbret 155207,Exports,1754,9,Bas ; de cotons fil,Flandre,,30.00,36.00,0.00,3045057.25,
210,Saadia Mai,Montbret 155208,Exports,1754,9,Bas ; de cotons fil,Portugal,,6.00,36.00,0.00,3045057.25,
211,Saadia Mai,Montbret 155209,Exports,1754,9,Bas ; d'estames,Espagne,,103.50,0.00,0.00,3045057.25,
212,Saadia Mai,Montbret 155210,Exports,1754,9,Bas ; de fil,Espagne,,2480.00,71525.75,0.00,3045057.25,
213,Saadia Mai,Montbret 155211,Exports,1754,9,Bas ; de fil,Isles,,66501.75,71525.75,0.00,3045057.25,
214,Saadia Mai,Montbret 155212,Exports,1754,9,Bas ; de fil,Italie,,1740.00,71525.75,0.00,3045057.25,
215,Saadia Mai,Montbret 155213,Exports,1754,9,Bas ; de fil,Levant,,384.00,71525.75,0.00,3045057.25,
216,Saadia Mai,Montbret 155214,Exports,1754,9,Bas ; de fil,Portugal,,420.00,71525.75,0.00,3045057.25,
217,Saadia Mai,Montbret 155215,Exports,1754,9,Bas ; de filozelle,Angleterre,,32.00,13498.00,0.00,3045057.25,
218,Saadia Mai,Montbret 155216,Exports,1754,9,Bas ; de filozelle,Espagne,,5910.00,13498.00,0.00,3045057.25,
219,Saadia Mai,Montbret 155217,Exports,1754,9,Bas ; de filozelle,Italie,,4530.00,13498.00,0.00,3045057.25,
220,Saadia Mai,Montbret 155218,Exports,1754,9,Bas ; de filozelle,Portugal,,2260.00,13498.00,0.00,3045057.25,
221,Saadia Mai,Montbret 155219,Exports,1754,9,Bas ; de filozelle,Savoye,,142.00,13498.00,0.00,3045057.25,
222,Saadia Mai,Montbret 155220,Exports,1754,9,Bas ; de filozelle,Suisse,,624.00,13498.00,0.00,3045057.25,
223,Saadia Mai,Montbret 155221,Exports,1754,9,Bas ; de fleures,Allemagne,,111.00,760.00,0.00,3045057.25,
224,Saadia Mai,Montbret 155222,Exports,1754,9,Bas ; de fleures,Espagne,,649.00,760.00,0.00,3045057.25,
225,Saadia Mai,Montbret 155223,Exports,1754,10,Bas ; de laine,Allemagne,,8824.00,263091.50,0.00,3045057.25,
226,Saadia Mai,Montbret 155224,Exports,1754,10,Bas ; de laine,Espagne,,139749.50,263091.50,0.00,3045057.25,
227,Saadia Mai,Montbret 155225,Exports,1754,10,Bas ; de laine,Flandre,,5346.00,263091.50,0.00,3045057.25,
228,Saadia Mai,Montbret 155226,Exports,1754,10,Bas ; de laine,Isles,,2000.00,263091.50,0.00,3045057.25,
229,Saadia Mai,Montbret 155227,Exports,1754,10,Bas ; de laine,Italie,,43536.00,263091.50,0.00,3045057.25,
230,Saadia Mai,Montbret 155228,Exports,1754,10,Bas ; de laine,Levant,,1512.00,263091.50,0.00,3045057.25,
231,Saadia Mai,Montbret 155229,Exports,1754,10,Bas ; de laine,Portugal,,47622.00,263091.50,0.00,3045057.25,
232,Saadia Mai,Montbret 155230,Exports,1754,10,Bas ; de laine,Savoye,,14322.00,263091.50,0.00,3045057.25,
233,Saadia Mai,Montbret 155231,Exports,1754,10,Bas ; de laine,Suisse,,180.00,263091.50,0.00,3045057.25,
234,Saadia Mai,Montbret 155232,Exports,1754,10,Bas ; de peau,Flandre,,12.00,0.00,0.00,3045057.25,
235,Saadia Mai,Montbret 155233,Exports,1754,10,Bas ; de poil,Allemagne,,60.00,0.00,0.00,3045057.25,
236,Saadia Mai,Montbret 155234,Exports,1754,10,Bas ; de soye,Allemagne,,701030.00,2669946.50,0.00,3045057.25,
237,Saadia Mai,Montbret 155235,Exports,1754,10,Bas ; de soye,Angleterre,,43894.00,2669946.50,0.00,3045057.25,
