numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
14,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Minium,3200,livres,13000,
15,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,huile de morue,45750,livres,30000,
16,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Poivre en Grains,7760,livres,11000,
17,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Charbon de terre,1174400,livres,12000,
18,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Fer blanc,20000,livres,10000,
19,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Plomb,66100,livres,13000,
20,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Morue Seche,214000,livres,43000,
21,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,16000,
22,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Exports,Béarn,Angleterre,Eau de vie,"60,94",muids,7000,
23,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Bonneterie diverse,,valeur,26000,
24,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Draperie,,valeur,148000,
25,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Etoffes diverses,,valeur,550000,
26,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Gazes,,valeur,16000,
27,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toiles blanches,,valeur,104000,
28,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toiles de coton,,valeur,60000,
29,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toile Bazin,,valeur,248000,
30,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Poterie,,valeur,158000,
31,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Verrerie,,valeur,29000,
32,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Instruments divers,,valeur,22000,
33,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Mercerie,,valeur,38000,
34,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages de Cuivre argenté,,valeur,12000,
35,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages d'acier,,valeur,18000,
36,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages en Cuir,,valeur,27000,
37,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Quincaillerie,,valeur,119000,
38,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Sellerie en harnois,,valeur,15000,
39,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Tabac en feuilles,,valeur,13000,
40,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Voitures,,valeur,19000,
41,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Marchandise à la valeur,,valeur,82000,
42,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Chairs salées,1228319,livres,393000,
43,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Beurre,1227591,livres,1105000,
44,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,fers divers,,valeur,39000,
45,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Cuivre,33230,livres,50000,
46,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Etain,47508,livres,59000,
47,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Plomb,106973,livres,26000,
48,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Charbon de terre,86784000,livres,1248000,
49,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Bierre,,valeur,17000,
50,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Drogueries diverses,,valeur,21000,
51,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Indigo,16542,livres,187000,
52,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Baleine en fanon,15217,livres,37000,
53,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,huile de poisson,192199,livres,87000,
54,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Chevaux,20,nombre,11000,
55,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Dentelle de fil,"41,25",livres,33000,
56,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Dentelle de Soye,"138,75",livres,167000,
57,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Toile Batiste,4000,aunes,20000,
58,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Graines de Genievre,331380,livres,199000,
59,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Graines de Lin,114400,livres,46000,
60,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Papiers divers,3690,rames,40000,
61,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Peaux appretées ,4050,douzaines,90000,
62,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Liege en planches,,valeur,20000,
63,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Anchois capres &c.,,valeur,16000,
64,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,fruits Secs confits &c.,,valeur,133000,
65,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Vinaigre,"879,34",muids,25000,
66,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Eau de vie diverses,"5265,86",muids,665000,
67,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Vin divers,"14172,31",muids,3996000,
68,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Drogueries diverses,,valeur,46000,
69,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Objets divers dont le plus fort article n'excede pas 10000 livres,,valeur,74000,
70,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Indigo,3471,livres,41000,
71,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Coton en rame,693437,livres,1796000,
72,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Etoffes de laine,,valeur,25000,
73,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Fayence,,valeur,10000,
74,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Beurre,62610,livres,45000,
75,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Cuivres divers,78444,livres,113000,
76,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,fers divers,49309,livres,16000,
77,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Plomb,94890,livres,21000,
78,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Charbon de terre,3530000,livres,74000,
79,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Drogueries diverses,,valeur,25000,
80,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Baleine en fanon,15728,livres,30000,
81,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Marchandise diverse dont le plus fort article n'excede pas 10000 livres,,valeur,16000,
82,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Sel,6074676,livres,27000,
83,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Eau de vie,"9907,65",muids,1166000,
84,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Vins,"144,22",muids,6000,
85,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Graine de lin,159400,livres,16000,
86,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Coton,791,livres,2000,
87,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Marchandise diverse dont le plus fort article n'excede pas 10000 livres,,valeur,12000,
88,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Bonneterie ,,valeur,35000,
89,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Draperie de laine,,valeur,42000,
90,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etoffe de laine,,valeur,111000,
91,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etoffes de Coton,,valeur,230000,
92,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Toilles diverses,,valeur,119000,
93,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fayence,,valeur,174000,
94,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Mercerie,,valeur,24000,
95,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Boutons divers,,valeur,13000,
96,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Quincaillerie,,valeur,25000,
97,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Tabac en feuilles,96000,livres,34000,
98,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Marchandise à la valeur,,valeur,45000,
99,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Charbon de terre,6813200,livres,111000,
100,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Cuivre,174548,livres,222000,
101,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etain,8280,livres,9000,
102,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Plomb,266816,livres,59000,
103,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,fers divers,59781,livres,18000,
104,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fers de fonte,618000,livres,49000,
105,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fer blanc,47496,livres,22000,
106,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Grains Farine Fromage &c.,,valeur,21000,
107,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Bœuf Salé,115658,livres,35000,
108,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Lard Salé,498111,livres,191000,
109,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Beurre,63148,livres,39000,
110,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Diverses,,valeur,22000,
111,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Couperose,131808,livres,15000,
112,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Indigo Commun,2046,livres,13000,
113,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Poivre ,32879,livres,47000,
114,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Caffé Moka,95082,livres,285000,
115,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Laines,26617,livres,45000,
116,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 1000 livres,,valeur,39000,
117,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Dentelles de fil,31,livres,31000,
118,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Dentelles de Soye,16,livres,8000,
119,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Etoffe de Soye,,valeur,11000,
120,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Toilles diverses,34608,aunes,67000,
121,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Librairie,,valeur,11000,
122,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Cordages,,valeur,14000,
123,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Cuirs tannés ,6633,livres,12000,
124,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Tabac en feuilles,962307,livres,337000,
125,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Marchandises à la valeur,,valeur,69000,
126,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Eau de vie,"838,18",muids,121000,
127,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Eau de vie de Genievre,"153,46",muids,25000,
128,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Vins,"54,46",muids,6000,
129,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Bled froment,1547792,livres,148000,
130,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Bled méteil,185680,livres,15000,
131,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Farine,351431,livres,49000,
132,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,fruits Secs ,,valeur,20000,
133,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Sel,5408168,livres,38000,
134,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Beurre,19826,livres,13000,
135,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Savon,32835,livres,20000,
136,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Coton en laine,296374,livres,696000,
137,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Caffé,2623,livres,5000,
138,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Canelle,90,livres,400,
139,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Etoffes diverses,5,pieces,300,
140,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Mouchoirs de Soye,19,pieces,900,
141,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Mousseline,35,pieces,4000,
142,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Soye Ecrue,7,livres,400,
143,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Tapis peints,70,nombre,4000,
144,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Toilles diverses,,valeur,58000,
145,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Thés,171414,livres,268000,
146,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Bonneterie diverse,5749,livres,36000,
