numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,value,Valeur (Prix unitaire ,problem,remarks,Unverified
19,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Chaises ; de paille,Angleterre,16.00,douzaines,12.0,,,12.0000000,192,,,192.00,192.00,0.00,,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Chandelle,Angleterre,"3,881.00",livres,,8,,0.4000000,1552,,,1552.00,"1,552.40",-0.40,,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Chanvre ; peigné,Angleterre,"3,581.00",livres,,10,,0.5000000,1790,,,1790.00,"1,790.50",-0.50,,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Chapeaux,Angleterre,10.00,douzaines,60.0,,,60.0000000,600,,,600.00,600.00,0.00,,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Charbon ; de terre,Angleterre,220.00,chapeaux,,0,,0.0200000,4,,,4.00,4.40,-0.40,,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cheveux,Angleterre,90.00,livres,20.0,,,20.0000000,1800,,,1800.00,"1,800.00",0.00,,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cire ; blanche,Angleterre,764.00,livres,,30,,1.5000000,1146,,,1146.00,"1,146.00",0.00,,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cire ; jaune,Angleterre,400.00,livres,,25,,1.2500000,500,,,500.00,500.00,0.00,,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Citrons,Angleterre,150.00,milliers,15.0,,,15.0000000,2250,,,2250.00,"2,250.00",0.00,,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Clous ; de fer,Angleterre,"3,500.00",livres,,5,,0.2500000,875,,,875.00,875.00,0.00,,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cochons,Angleterre,345.00,livres,,5,,0.2500000,86,,,86.00,86.25,-0.25,,
30,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Couterie,Angleterre,"1,420.00",livres,,20,,1.0000000,1420,,,1420.00,"1,420.00",0.00,,
31,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Coton ; filé,Angleterre,"1,127.00",livres,,22,,1.1000000,1239,,,1239.00,"1,239.70",-0.70,,
32,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Coton ; en laine,Angleterre,669.00,livres,,20,,1.0000000,669,,,669.00,669.00,0.00,,
33,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Couperose,Angleterre,567.00,livres,,3,,0.1500000,85,,,85.00,85.05,-0.05,,
34,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cuirs ; de bœuf ; tannés,Angleterre,"1,782.00",livres,,12,,0.6000000,1069,,,1069.00,"1,069.20",-0.20,,
35,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Draperie ; petite,Angleterre,800.00,livres,3.0,,,3.0000000,2400,,,2400.00,"2,400.00",0.00,,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Drogueries,Angleterre,"1,124.00",livres,,20,,1.0000000,1124,,,1124.00,"1,124.00",0.00,,
37,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Eau ; de la Reine d'hongrie,Angleterre,100.00,livres,,15,,0.7500000,75,,,75.00,75.00,0.00,,
38,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Eau de vie,Angleterre,"30,420.00",livres,,5,,0.2500000,7605,,,7605.00,"7,605.00",0.00,,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Etoffe ; de soye,Angleterre,38.00,livres,40.0,,,40.0000000,1520,,,1520.00,"1,520.00",0.00,,
40,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Farine,Angleterre,"6,000.00",livres,,4,,0.2000000,1200,,,1200.00,"1,200.00",0.00,,
41,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Fayance,Angleterre,"3,110.00",livres,,10,,0.5000000,1555,,,1555.00,"1,555.00",0.00,,
42,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Fer ; en barres,Angleterre,"6,708.00",livres,,3,,0.1500000,1006,,,1006.00,"1,006.20",-0.20,,
43,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Ficelle,Angleterre,264.00,livres,,10,,0.5000000,132,,,132.00,132.00,0.00,,
44,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Fromage,Angleterre,150.00,livres,,8,,0.4000000,60,,,60.00,60.00,0.00,,
45,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Gaudron,Angleterre,"2,500.00",livres,0.1,,,0.0800000,200,,,200.00,200.00,0.00,,
46,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Huile ; de lin,Angleterre,300.00,livres,,6,,0.3000000,90,,,90.00,90.00,0.00,,
47,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Huile ; d'olive,Angleterre,"2,982.00",livres,,8,,0.4000000,1192,,,1192.00,"1,192.80",-0.80,,
48,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Indienne,Angleterre,335.00,pièces,12.0,,,12.0000000,4020,,,4020.00,"4,020.00",0.00,,
49,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Liqueurs,Angleterre,"7,625.00",livres,,20,,1.0000000,7625,,,7625.00,"7,625.00",0.00,,
50,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Lustres,Angleterre,300.00,livres,,20,,1.0000000,300,,,300.00,300.00,0.00,,
51,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Matures,Angleterre,36.00,en nombre,800.0,,,800.0000000,28800,,,28800.00,"28,800.00",0.00,,
52,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Mercerie,Angleterre,"2,630.00",livres,3.0,10,,3.5000000,9205,,,9205.00,"9,205.00",0.00,,
53,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Morue ; seche,Angleterre,"45,000.00",livres,,4,,0.2000000,9000,,,9000.00,"9,000.00",0.00,,
54,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Mouchoirs ; de soye,Angleterre,100.00,douzaines,36.0,,,36.0000000,3600,,,3600.00,"3,600.00",0.00,,
55,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Mulets,Angleterre,44.00,mulets,150.0,,,150.0000000,6600,,,6600.00,"6,600.00",0.00,,
56,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Olives,Angleterre,"1,100.00",livres,,2,,0.1000000,110,,,110.00,110.00,0.00,,
57,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Papiers ; blancs,Angleterre,787.00,livres,6.0,,,6.0000000,4722,,,4722.00,"4,722.00",0.00,,
58,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Peaux ; de chagrin,Angleterre,162.00,livres,4.0,,,4.0000000,648,,,648.00,648.00,0.00,,
59,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Peaux ; de veau ; tannées,Angleterre,"1,833.00",livres,,20,,1.0000000,1833,,,1833.00,"1,833.00",0.00,,
60,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Pierres ; a fusils,Angleterre,393.00,livres,,5,,0.2500000,98,,,98.00,98.25,-0.25,,
61,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Planches ; de sapin,Angleterre,24.00,douzaines,9.0,,,9.0000000,216,,,216.00,216.00,0.00,,
62,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Poissons ; salés,Angleterre,"1,200.00",livres,,4,,0.2000000,240,,,240.00,240.00,0.00,,
63,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Poivre,Angleterre,"2,324.00",livres,,30,,1.5000000,3486,,,3486.00,"3,486.00",0.00,,
64,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Poix,Angleterre,"1,800.00",livres,,2,,0.1000000,180,,,180.00,180.00,0.00,,
65,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Poterie ; terraille,Angleterre,600.00,douzaines,,20,,1.0000000,600,,,600.00,600.00,0.00,,
66,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Poudre ; a poudrer,Angleterre,"2,596.00",livres,,4,,0.2000000,519,,,519.00,519.20,-0.20,,
67,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Prunes,Angleterre,"1,395.00",livres,,4,,0.2000000,279,,,279.00,279.00,0.00,,
68,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Quincaille ,Angleterre,400.00,livres,,20,,1.0000000,400,,,400.00,400.00,0.00,,
69,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Raisin ; sec,Angleterre,608.00,livres,,4,,0.2000000,117,,,117.00,121.60,-4.60,,
70,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Reglisse,Angleterre,215.00,livres,0.1,,,0.0600000,12,,,12.00,12.90,-0.90,,
71,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Ris,Angleterre,"73,828.00",livres,,3,,0.1500000,11074,,,11074.00,"11,074.20",-0.20,,
72,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Saucissons,Angleterre,250.00,livres,,24,,1.2000000,300,,,300.00,300.00,0.00,,
73,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Savon,Angleterre,"47,414.00",livres,,5,,0.2500000,11853,,,11853.00,"11,853.50",-0.50,,
74,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Sirop ; de capilaire,Angleterre,"1,707.00",livres,,20,,1.0000000,1707,,,1707.00,"1,707.00",0.00,,
75,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Souffre,Angleterre,"3,685.00",livres,0.1,,,0.0800000,294,,,294.00,294.80,-0.80,,
76,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Souliers,Angleterre,100.00,douzaines,30.0,,,30.0000000,3000,,,3000.00,"3,000.00",0.00,,
77,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Sucre ; blanc,Angleterre,"38,872.00",livres,,10,,0.5000000,19436,,,19436.00,"19,436.00",0.00,,
78,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Sucre : brut,Angleterre,"1,148.00",livres,,5,,0.2500000,287,,,287.00,287.00,0.00,,
79,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Sucre ; rafiné,Angleterre,"1,150.00",livres,0.6,,,0.6000000,690,,,690.00,690.00,0.00,,
80,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Thé,Angleterre,486.00,livres,3.0,,,3.0000000,1458,,,1458.00,"1,458.00",0.00,,
81,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Toille ; blanche,Angleterre,"2,237.00",livres,5.0,,,5.0000000,11185,,,11185.00,"11,185.00",0.00,,
82,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Toille ; a voile,Angleterre,32.00,pièces,200.0,,,200.0000000,6400,,,6400.00,"6,400.00",0.00,,
83,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Velours,Angleterre,10.00,pièces,400.0,,,400.0000000,4000,,,4000.00,"4,000.00",0.00,,
84,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Verres ; communs,Angleterre,200.00,livres,,5,,0.2500000,25,,,25.00,50.00,-25.00,,
85,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Vin ; muscat,Angleterre,21.00,milleroles,40.0,,,40.0000000,840,,,840.00,840.00,0.00,,
86,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Vin ; rouge,Angleterre,"1,147.00",milleroles,12.0,,,12.0000000,23764,,,23764.00,"13,764.00","10,000.00",,
87,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Alun,Dannemarck,"16,200.00",livres,0.3,,,0.3000000,4860,,,4860.00,"4,860.00",0.00,,
88,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Amandes,Dannemarck,800.00,livres,,4,,0.2000000,160,,,160.00,160.00,0.00,,
89,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Cacao,Dannemarck,619.00,livres,,15,,0.7500000,463,,,463.00,464.25,-1.25,,
90,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,2,Caffé,Dannemarck,"62,614.00",livres,,15,,0.7500000,46960,,,46960.00,"46,960.50",-0.50,,
