numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
34,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Bas de soye,Angleterre,"100,75",Livres,40,4030,0,
35,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Bas de soye,Angleterre,212,Paires,10,2120,0,
36,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Bordeaux,Bas de soye,Angleterre,441,Douzaines,100,44100,0,
37,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Paris,Bas de soye,Angleterre,"296,5",Livres,50,14825,0,
38,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rouen,Baume,Angleterre,200,Bouteilles,1,200,0,
39,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Caen,Beuf en vie,Angleterre,6,Nombre,300,1800,0,
40,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Beurre,Angleterre,10080,Livres,"0,5",5040,0,
41,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Caen,Beurre,Angleterre,938,Livres,"0,5",469,0,
42,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rennes,Beurre,Angleterre,15600,Livres,"0,55",8580,0,
43,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rouen,Beurre,Angleterre,1525,Livres,"0,5",762,"-0,5",
44,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Bierre,Angleterre,"5,38",Barriques,50,268,"-0,75",
45,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rennes,Biscuits de mer,Angleterre,2000,Livres,"0,1",206,6,total non certain
46,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Marseille,Bled froment,Angleterre,917750,Livres,"0,1",91775,0,
47,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Caen,Bois campeche,Angleterre,46300,Livres,"0,15",6945,0,
48,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Marseille,Bois campeche,Angleterre,78470,Livres,"0,15",11770,"-0,5",
49,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Nantes,Bois campeche,Angleterre,2124,Livres,"0,5",1062,0,
50,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Rennes,Bois campeche,Angleterre,97500,Livres,"0,1",9750,0,
51,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Bordeaux,Bois de construction,Angleterre,,,,21615,0,
52,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Bordeaux,Bois merrain,Angleterre,"17,25",Milliers,330,5692,"-0,5",
53,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Nantes,Bois merrain douelles,Angleterre,3000,en nombre,"0,2",600,0,
54,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Rouen,Bois de sandal,Angleterre,81700,Livres,"0,2",16340,0,
55,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Amiens,Bois à teindre,Angleterre,795920,Livres,"0,1",79592,0,
56,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Rennes,Bray et goudron,Angleterre,98400,Livres,"0,1",9840,0,
57,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Amiens,Cartes geographiques ,Angleterre,1820,Livres,6,10920,0,
58,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,4,1777,Rouen,Chaises de poste,Angleterre,,,,9600,0,
59,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Amiens,Bois a bruler,Angleterre,4,Nombre,30,120,0,estimé
60,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bordeaux,Bonnets de coton,Angleterre,1030,Douzaines,24,24720,0,
61,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bordeaux,Bonnets de laine,Angleterre,286,Douzaines,24,6864,0,
62,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Amiens,Bougie,Angleterre,125,Livres,"2,5",312,"-0,5",
63,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Paris,Bougie,Angleterre,680,Livres,2,1360,0,
64,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rennes,Bougie,Angleterre,70,Livres,"2,5",175,0,
65,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Amiens,Boutons d'or,Angleterre,11,garnitures,45,495,0,
66,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bayonne,Bray et goudron,Angleterre,173,Barils,18,3114,0,
67,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bayonne,Bray et goudron,Angleterre,1578,Milliers,60,94680,0,
68,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bordeaux,Bray et goudron,Angleterre,444790,Livres,"0,1",44479,0,
69,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Nantes,Bray et goudron,Angleterre,115,Barils,35,4025,0,
70,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Nantes,Bray et goudron,Angleterre,32000,Livres,"0,1",3200,0,
71,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rennes,Bray et goudron,Angleterre,104,Barils,30,3120,0,
72,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rennes,Bray et goudron,Angleterre,107,Barils,35,3745,0,
73,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Bray et goudron,Angleterre,200,gones,30,6000,0,
74,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Bray et goudron,Angleterre,30452,Livres,"0,15",4567,"-0,8",
75,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bordeaux,Cacao,Angleterre,2830,Livres,"0,5",1415,0,
76,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Bordeaux,Caffé des isles,Angleterre,43473,Livres,"0,45",19427,"-135,85",quantités non certaines
77,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Marseille,Caffé des isles,Angleterre,2200,Livres,"0,75",1650,0,
78,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rennes,Caffé des isles,Angleterre,15950,Livres,"0,4",6380,0,
79,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Caffé des isles,Angleterre,1000,Livres,"0,6",600,0,
80,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Amiens,Carreaux de pierres,Angleterre,500,Nombre,"0,2",100,0,
81,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Caen,Carreaux de terre,Angleterre,2200,Nombre,"0,5",1100,0,
82,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Carreaux de terre,Angleterre,13600,Nombre,"0,5",6800,0,
83,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Amiens,Cartes geographiques ,Angleterre,760,Livres,6,4560,0,
84,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Cendre d'orphevres,Angleterre,,,,967,0,
85,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Nantes,Cendre potasse,Angleterre,1800,Livres,"0,45",810,0,
86,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Nantes,Cercles de bois,Angleterre,1063500,Nombre,"0,0375",39880,"-1,25",quantités non certaines
87,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Rouen,Cercles de bois,Angleterre,1899041,Nombre,"0,025",47476,"-0,03",
88,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,4,1777,Nantes,Ceruse,Angleterre,3400,Livres,"0,1",340,0,
89,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Chandelles,Angleterre,1310,Livres,"0,5",655,0,
90,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Nantes,Chapeaux de feutre,Angleterre,55,en nombre,5,275,0,
91,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Amiens,Charbon de terre,Angleterre,"262,75",Tonneaux,35,9196,"-0,25",
92,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Amiens,Charbon de terre,Angleterre,541,razières,3,1623,0,
93,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Bayonne,Charbon de terre,Angleterre,16156,conques,"1,2",19387,"-0,2",
94,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Bordeaux,Charbon de terre,Angleterre,"1345,25",Tonneaux,460,618700,-115,erreur de calcul
95,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Caen,Charbon de terre,Angleterre,"772,25",Tonneaux,32,23728,-984,quantités non certaines
96,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,La Rochelle,Charbon de terre,Angleterre,1981,Tonneaux,50,99050,0,
97,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,La Rochelle,Charbon de terre,Angleterre,9,muids,500,4750,250,erreur de calcul
98,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Marseille,Charbon de terre,Angleterre,300000,Livres,"0,03",9000,0,
99,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Nantes,Charbon de terre,Angleterre,39,Tonneaux,30,1170,0,
100,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rennes,Charbon de terre,Angleterre,1507,Barils,30,45210,0,
101,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Charbon de terre,Angleterre,5955,Barils,4,23822,2,
102,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Charbon de terre,Angleterre,5451,Tonneaux,32,174432,0,
103,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Charbon de terre,Angleterre,4,Greniers,4000,16000,0,
104,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Amiens,Chevaux ,Angleterre,879,Nombre,700,615300,0,
105,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Caen,Chevaux ,Angleterre,3,Nombre,250,750,0,
106,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Chevaux ,Angleterre,30,Nombre,250,7500,0,
107,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Amiens,Chiens,Angleterre,588,Nombre,10,5880,0,
108,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Chiens,Angleterre,50,Nombre,10,500,0,
109,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Caen,Cire jaune,Angleterre,75,Livres,2,150,0,
110,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Amiens,Cordages de chanvre,Angleterre,4760,Livres,"0,3",1428,0,
111,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Nantes,Cornes de beuf,Angleterre,2360,Nombre,"0,1",236,0,
112,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,5,1777,Rouen,Cornes de beuf,Angleterre,59456,Nombre,"0,1",11891,"5945,4",erreur de calcul; calcul exact avec un prix unitaire de 2£ le cent
113,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Chaises de joncs,Angleterre,101,Douzaines,31,3130,-1,
114,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Rennes,Chaises de paille,Angleterre,218,Nombre,"1,2",261,"-0,6",
115,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Chandeles,Angleterre,707,Livres,"0,5",353,"-0,5",
116,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Caen,Chandeles,Angleterre,400,Livres,"0,6",240,0,
117,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Rennes,Chandeles,Angleterre,5330,Livres,"0,6",3198,0,
118,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Chapeaux castor,Angleterre,48,Nombre,16,768,0,
119,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Bordeaux,Chapeaux divers,Angleterre,,,,13200,0,
120,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Marseille,Chapeaux poil et laine,Angleterre,250,Livres,6,1500,0,
121,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Chapeaux de soye,Angleterre,2,Douzaines,144,288,0,a oublié le 1 dans le prix (44 au lieu de 144lt)
122,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Nantes,Chataignes,Angleterre,450,Boisseaux,"1,25",562,"-0,5",
123,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Chevaux ,Angleterre,134,Nombre,200,26800,0,
124,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Rouen,Chevaux ,Angleterre,3,Nombre,150,450,0,
125,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Caen,Choux,Angleterre,7000,Nombre,"0,025",175,0,
126,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Marseille,Cloux de fer,Angleterre,3240,Livres,"0,3",972,0,
127,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Nantes,Cloux de fer,Angleterre,500,Livres,"0,25",125,0,
128,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Montpellier,Colombine,Angleterre,79000,Livres,"0,025",1975,0,
129,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Confitures,Angleterre,129,Livres,1,129,0,
130,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Rouen,Confitures,Angleterre,1439,Livres,1,1439,0,
131,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Bordeaux,Cordages de chanvre,Angleterre,31615,Livres,"0,3",9484,"-0,5",
132,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Cordons de soye,Angleterre,7,Livres,30,210,0,
133,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Amiens,Coton filé,Angleterre,25,Livres,6,150,0,
134,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Marseille,Coton en laine,Angleterre,112918,Livres,"1,5",169377,0,
135,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,5,1777,Rouen,Coton en laine,Angleterre,32754,Livres,"2,5",81885,0,
136,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,6,1777,Amiens,Couperose,Angleterre,12900,Livres,"0,075",967,"-0,5",
137,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,6,1777,Rouen,Couperose,Angleterre,11928,Livres,"0,1",1192,"-0,8",
138,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,6,1777,Nantes,Cuirs de beuf en poil,Angleterre,2703,Nombre,36,97308,0,
139,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,6,1777,Rouen,Cuivre vieux,Angleterre,405,Livres,1,405,0,
140,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,6,1777,Amiens,Estampes ,Angleterre,3269,Livres,10,32690,0,
141,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Nantes,Couvertures de laine,Angleterre,1500,Livres,2,3000,0,
142,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Montpellier,Creme de tarte,Angleterre,7730,Livres,"0,4",3092,0,
143,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Marseille,Cuirs de beuf en poil,Angleterre,637,Livres,"0,2",127,"-0,4",
144,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Rouen,Cuirs de beuf en poil,Angleterre,35,en nombre,15,525,0,
145,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Rennes,Cuirs de vache tanné,Angleterre,5600,Livres,"1,05",5880,0,
146,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,6,1777,Caen,Cuivre en batterie,Angleterre,1958,Livres,"1,75",3426,"-0,5",
