numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks
56,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Espagne,47681,,348488,,,,
57,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Flandre,5244,92.0,348488,marcs,,,
58,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Hollande,1824,32.0,348488,marcs,,,
59,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Italie,14820,260.0,348488,marcs,,,
60,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Levant,2793,49.0,348488,marcs,,,
61,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Portugal,6669,117.0,348488,marcs,,,
62,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Russie,6042,106.0,348488,marcs,,,
63,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Savoye,1767,31.0,348488,marcs,,,
64,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Isles,132322,2365.0,348488,marcs,,,
65,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Guinée,10068,181.0,348488,marcs,,,
66,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Indes,47375,845.0,348488,marcs,,,
67,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Armes ; blanches,Guinée,19950,9975.0,713214,livres,32024,,
68,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Armes ; blanches,Indes,12074,6037.0,713214,livres,32024,,
69,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Armes ; à feu,Isles,76774,76774.0,713214,livres,681190,,
70,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Armes ; à feu,Guinée,471550,471550.0,713214,livres,681190,,
71,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Armes ; à feu,Indes,132866,132866.0,713214,livres,681190,,
72,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Arquifou,Italie,1200,8000.0,41021,livres,,,
73,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Arquifou,Levant,39821,265475.0,41021,livres,,,
74,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Artichaux,Isles,10487,10487.0,13001,flacons,,,
75,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Artichaux,Indes,2514,5029.0,13001,livres,,,
76,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Assafetida,Hollande,4342,2171.0,,livres,,,
77,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Avirons,Hollande,5937,1319.0,,traques,,,
78,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Avoine,Isles,4048,80960.0,,livres,,,
79,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Azur,Espagne,2500,3500.0,34034,livres,,,
80,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Azur,Levant,1534,2558.0,34034,livres,,,
81,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Azur,Indes,30000,40000.0,34034,livres,,,
82,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Babus,Guinée,1500,500.0,,en nombre,,,
83,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Barils vuides,Guinée,2920,2920.0,,en nombre,,,
84,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de coton,Isles,81324,2259.0,3656798,douzaines,,,
85,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Allemagne,13836,1429.0,3656798,livres,211470,,
86,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Angleterre,5288,1058.0,3656798,livres,211470,,
87,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Espagne,46926,9385.0,3656798,livres,211470,,
88,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Geneve,2620,262.0,3656798,livres,211470,,
89,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Italie,2000,400.0,3656798,livres,211470,,
90,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Isles,128510,25712.0,3656798,livres,211470,,
91,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de fil et coton,Indes,12290,6145.0,3656798,paires,211470,,
92,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de filozelle,Allemagne,31470,2098.0,3656798,livres,58361,,
93,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de filozelle,Espagne,24161,1914.0,3656798,livres,58361,,
94,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de filozelle,Portugal,2730,182.0,3656798,livres,58361,,
95,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Allemagne,2244,374.0,3656798,livres,248395,,
96,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Espagne,162069,27005.0,3656798,livres,248395,,
97,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Flandre,24105,4017.0,3656798,livres,248395,,
98,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Geneve,1818,303.0,3656798,livres,248395,,
99,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Portugal,44532,7422.0,3656798,livres,248395,,
100,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Savoye,2676,446.0,3656798,livres,248395,,
101,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de laine,Suisse,10951,4129.0,3656798,paires,248395,,
102,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Allemagne,618887,13795.0,3656798,livres,3057248,,
103,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Angleterre,73960,1849.0,3656798,livres,3057248,,
104,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Danemark,1500,30.0,3656798,livres,3057248,,
105,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Espagne,1234785,29129.0,3656798,livres,3057248,,
106,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Flandre,121999,2385.0,3656798,livres,3057248,,
107,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Geneve,8425,195.0,3656798,livres,3057248,,
108,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Hollande,98655,2104.0,3656798,livres,3057248,,
109,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Italie,277570,6472.0,3656798,livres,3057248,,
110,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Naples,62890,1562.0,3656798,livres,3057248,,
111,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Genes,12220,300.0,3656798,livres,3057248,,
112,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Venise,4225,104.0,3656798,livres,3057248,,
113,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Levant,2500,50.0,3656798,livres,3057248,,
114,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,10,Bas ; de soye,Nord,1550,31.0,3656798,livres,3057248,,
115,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Portugal,125215,3020.0,3656798,livres,3057248,,
116,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Russie,6700,134.0,3656798,livres,3057248,,
117,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Savoye,22890,557.0,3656798,livres,3057248,,
118,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Suede,1050,21.0,3656798,livres,3057248,,
119,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Suisse,49200,1142.0,3656798,livres,3057248,,
120,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Isles,330627,8265.0,3656798,livres,3057248,,
121,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Bas ; de soye,Indes,2400,30.0,3656798,douzaines,3057248,,
122,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Batteaux neufs,Flandre,4920,12.0,,en nombre,,,
123,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Baudriers,Italie,3978,3617.0,,livres,,,
124,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Baume,Isles,1015,,,,,,
125,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Benjoin,Hollande,2520,1120.0,,livres,,,
126,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; à la daube,Isles,12926,12926.0,2658244,livres,,,
127,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; à l'écarlatte,Isles,1625,65.0,2658244,barils,,,
128,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; fumé,Guinée,16768,22358.0,2658244,livres,,,
129,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; salé,Espagne,4500,15000.0,2658244,livres,1738685,,
130,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; salé,Suisse,1041,2976.0,2658244,livres,1738685,,
131,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; salé,Isles,1364325,27286.0,2658244,barils,1738685,,
132,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; salé,Guinée,265348,536.0,2658244,barils,1738685,,
133,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; salé,Indes,103471,2069.0,2658244,barils,1738685,,
134,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; en vie,Allemagne,728810,7794.0,2658244,en nombre,888240,,
135,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; en vie,Angleterre,4500,15.0,2658244,en nombre,888240,,
136,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; en vie,Espagne,2800,27.0,2658244,en nombre,888240,,
137,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; en vie,Savoye,28020,233.0,2658244,en nombre,888240,,
138,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beufs ; en vie,Suisse,124110,1157.0,2658244,en nombre,888240,,
139,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Allemagne,26768,55169.0,509899,livres,,,
140,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Angleterre,22806,45325.0,509899,livres,,,
141,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Espagne,21359,40444.0,509899,livres,,,
142,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Hollande,48893,97711.0,509899,livres,,,
143,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Italie,2058,5880.0,509899,livres,,,
144,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Nord,2229,3715.0,509899,livres,,,
145,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Portugal,4096,8192.0,509899,livres,,,
146,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Savoye,20620,51550.0,509899,livres,,,
147,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Isles,320551,596942.0,509899,livres,,,
148,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Guinée,27353,45485.0,509899,livres,,,
149,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,12,Beurre,Indes,13166,24325.0,509899,livres,,,
150,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,14,Bierre,Isles,27044,987.0,48447,barriques,,,
151,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,14,Bierre,Guinée,4473,132.0,48447,barriques,,,
152,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,14,Bierre,Indes,16930,644.0,48447,barriques,,,
