simplification,categorization,note
étoffe ; Turc,étoffe,
étoffe ; Maroc,étoffe,
étoffe ; de laine ; Itaine,étoffe,
étoffe ; de laine,étoffe,
étoffe ; de fleuret et soie,étoffe,
étoffe ; de fleuret et laine,étoffe,
étoffe ; de fleuret et coton,étoffe,
étoffe ; de fleuret,étoffe,
étoffe ; de filoselle ; de soie,étoffe,
étoffe ; de filoselle,étoffe,
étoffe ; de fil et poil de chèvre,,
étoffe ; de fil et laine ; molleton,étoffe,
étoffe ; de fil et laine ; en tripe,étoffe,
étoffe ; de fil et laine,étoffe,
étoffe ; de fil et coton ; velours,étoffe,
étoffe ; de fil et coton ; en drap,étoffe,
étoffe ; de fil et coton,,
étoffe ; de fil,étoffe,
étoffe ; de coton et tapisserie,étoffe,
étoffe ; de coton et pellerie,étoffe,
étoffe ; de coton et mercerie,étoffe,
étoffe ; de coton et laine,étoffe,
étoffe ; de coton et chapeau,étoffe,
étoffe ; de coton et bonneterie,étoffe,
étoffe ; de coton ; éternelle,étoffe,
étoffe ; de coton ; velverette,étoffe,
étoffe ; de coton ; velours ; imprimé,étoffe,
étoffe ; de coton ; satinette,étoffe,
étoffe ; de coton ; molleton,étoffe,
étoffe ; de coton ; en drap ; teint,étoffe,
étoffe ; de coton ; en drap ; imprimé,étoffe,
étoffe ; de coton ; en drap,étoffe,
étoffe ; de coton ; drap ; de bourbon ; peint,étoffe,
étoffe ; de coton ; diverse,étoffe,
étoffe ; de coton ; divers,étoffe,
étoffe ; de coton ; cotonné,étoffe,
étoffe ; de coton ; brillant ; blanc,étoffe,
étoffe ; de coton,étoffe,
étoffe ; de chanvre,étoffe,
étoffe ; de castor ; raz,étoffe,
étoffe ; de capiton,étoffe,
étoffe ; de bourre de soie,étoffe,
étoffe ; de Pékin,,
étoffe ; damas,,
étoffe ; d'or,étoffe,
étoffe ; d'herbe,étoffe,
étoffe ; d'argent,étoffe,
étoffe ; crêpe,étoffe,
étoffe ; cotonnelle,étoffe,
étoffe ; cartignette,étoffe,
étoffe ; canelle,étoffe,
étoffe ; de laine ; camelot,étoffe,
étoffe ; barracan,étoffe,
étoffe ; auquan,,
étoffe ; mêlée de soie ; à ?,étoffe,
étoffe ; Lampas,,
étoffe ; Cirsaka,,
étoffe,étoffe,
étau ; de fer,,
étamine ; à pavillon,étamine,
étamine ; à passer fromage,,
étamine ; à bluteau,étamine,
étamine ; rayée,étamine,
étamine ; du Mans,étamine,
étamine ; des prise,étamine,
étamine ; de mi soie,étamine,
étamine ; de laine,étamine,
étamine ; de belzamine,,
étamine ; de Reims,étamine,
étamine ; de Noyau,étamine,
étamine ; de Nogent,étamine,
étamine ; de Acims,étamine,
étamine ; d'auvergne,étamine,
étamine ; d'Amiens,étamine,
étamine ; d'Allemagne,,
étamine ; d'agen,étamine,
étamine ; buraite,étamine,
étamine ; avec soie,,
étamine,étamine,
étamette dauphine casinette,,
étamette,,
étalchasse,,
étais en bois,,
étain ; vieux,étain,
étain ; pour soudure,étain,
étain ; fin,étain,
etain ; en verge,,
étain ; en lingot,étain,
étain ; en feuille,étain,
étain ; en cannette,,
étain ; en bloc,étain,
étain ; en bassin,,
étain ; en barre ou en bloc,étain,
étain ; en baguette,étain,
étain ; divers,étain,
étain ; des Indes,étain,
étain ; de glace,étain,
étain ; de Melac,étain,
étain ; d'Angleterre,étain,
étain ; brut,étain,
étain ; battu,étain,
étain,étain,
equipement militaire,,
équipement de navire,,
épée ; montée en argent,,
épée ; montée en acier,,
épée ; masquinée,,
épée ; de cuivre,épées,
épée ; d'argent et de cuivre,épées,
épée ; d'argent,épées,
épée ; d'acier,,
eprouvette ; de cuivre,,
épousterie,,
éponge ; commune et fine,,
éponge ; commune,,
éponge,,
épitaphe,,
épingle ; en cuivre,,
épingle ; de laiton,épingles,
épingle ; commune,,
épingle,épingles,
épicerie ; sucre ; en pain,,
épicerie ; diverse,épicerie,
épicerie ; poivre piment,épicerie,
épicerie ; poivre giroflé,épicerie,
épicerie ; poivre ; long,épicerie,
épicerie ; poivre ; en grain,épicerie,
épicerie ; mêlée,,
épicerie ; muscade,épicerie,
épicerie ; macis,épicerie,
epicerie ; huile ; de poisson,,
epicerie ; huile ; de noix,,
epicerie ; huile ; de lin et de graine,,
epicerie ; huile ; d'olive,,
épicerie ; gingembre ; cru,épicerie,
epicerie ; fine,,
épicerie ; douce,,
epicerie ; diverse,,
epicerie ; chocolat,,
épicerie ; cannelle ; fleur de,épicerie,
épicerie ; cannelle ; commune,épicerie,
éperon,,
épeautre ; en gerbe,,
grain ; épeautre,,
épart ; simple,,
épart ; bris,,
épart,planche,
emery ; rouge,,
emery ; en pierre,,
elixir,elixir,
égouttoir ; à fondre,,
égouttoir,,
églefin ; séché,,
écuelle ; de vermillon,,
écuelle ; de terre,,
ecru ; de cerise,,
ecritoire ; garni d'or,ecritoire,
ecritoire,ecritoire,
écrin ; peint,,
écrin,,
écrevisse de rivière,,
écrevisse de mer,,
écrevisse,,
écran,,
ecorce ; à tanner,écorce,
ecorce ; diverse,écorce,
ecorce ; de tilleul,écorce,
ecorce ; de soie,écorce,
ecorce ; de pin ; en poussière,écorce,
ecorce ; de grenade,écorce,
ecorce ; de cèdre,écorce,
écorce ; de citron et d'orange,,
ecorce ; de citron confit,écorce,
écorce ; de citron ; séchée,,
ecorce ; de chêne moulue,,
ecorce ; de chanvre,écorce,
écorce ; de bouleau,,
ecorce ; de bois,écorce,
écorce ; de bergamote,,
ecorce ; de chêne,écorce,
ecorce ; d'orange et de citron,écorce,
ecorce ; d'orange ; sergal,écorce,
ecorce ; d'orange,écorce,
"ecorce ; d'arbre, bast, foularde",,
ecorce ; d'arbre étoffe,ecorce,
ecorce ; d'arbre,écorce,
ecorce,écorce,
échelle,,
écharpe et gaze,,
écharpe ; de soie,,
échantillon et morceau de soie,,
echalote,echalotes,
ecarlate,,
écaille ; octomœe,écaille,
écaille ; de tortue,écaille,
écaille ; de caret,écaille,
ebénisterie,ebénisterie,
ânon,bétail,
zédoaria,zédoria,
zingar,,
zinc,zinc,
bigarade ; zeste,bigarade,
zain,métaux,
wuinnes,,
wollegoet,,
wagon ; artillerie,,
wagon,,
wagheschot ; scié en planche,,
wagheschot ; en blocq,,
végétal,végétal,
vulnéraire ; de Suisse,vulnéraires ; de suisse,
vuide Constance,,
vrille,vrilles,
voëdes,voëdes,
volant ; de camelot,volants ; de camelot,
volant,,
voiture,,
voile ; de laine,voile ; de laine,
voile,voile,
vlottes,,
drogue ; métallique ; vitriol ; de Chypre,drogues,
vitriol ; blanc,,
vis ; en fer,,
vis,,
virez,virez,
vipérine ; en racine,,
vipérine,,
violoncelle,violoncelle,
vinaigre ; ordinaire,vinaigre,
vinaigre ; de vin,,
vinaigre ; de cidre,,
vinaigre ; de bière,vinaigre,
vinaigre ; de composition,vinaigre,
vinaigre,vinaigre,
vin ; étranger,vin ; étranger,
vin ; sucré,,
vin ; rouge ; commun,vin,
vin ; rouge,vin,
vin ; ordinaire ; en miel,vin,
vin ; ordinaire,vin,
vin ; noir,vin,
vin ; jauge gros bard,vin,
vin ; Soissons,vin ; de france,
vin ; idem ; de montagne,,
vin ; idem ; de la Ferté,,
vin ; idem ; de Ville,,
vin ; idem ; de Rully,,
vin ; idem ; de Rota,,
vin ; idem ; de Reims,vin ; de france,
vin ; idem ; d'Alicante,,
vin ; idem ; Meursault,,
vin ; hors,,
vin et eau de vie,,
vin ; du Portugal,vin ; étranger,
vin ; du Languedoc,,
vin ; du Haut-Pays,,
vin ; du Fayal,vin ; étranger,
vin ; du Croisic,vin ; de france,
vin ; du Comté,,
vin ; du Cap Breton,,
vin ; du Cap,vin ; étranger,
vin ; doux,vin,
vin ; divers,vin,
vin ; dit Bleckaert,,
vin ; des Îles,,
vin ; des Canaries,,
vin ; de ville,vin ; de france,
vin ; de rivière,,
vin ; de poisson,alcool,
vin ; de montagne,,
vin ; de liqueur,,
vin ; en fût,vin,
vin ; de hors,vin ; de france,
vin ; de haut,vin ; de france,
vin ; de deviet,,
vin ; de Vienne,vin ; de france,
vin ; de Touraine,vin ; de france,
vin ; de Tinto,,
vin ; de Thiaucourt,,
vin ; de Suisse,vin ; étranger,
vin ; de St. Seau,vin ; de france,
vin ; de St. Jean,vin ; de france,
vin ; de St. Laurent,vin ; de france,
vin ; de Sicile,,
vin ; de Savoie,vin ; de france,
vin ; de Samos,,
vin ; de Ste. Foy,vin ; de france,
vin ; de Saint Jean,,
vin ; de Saint Ange,,
vin ; de Ré,vin ; de france,
vin ; de Rouys,vin ; de france,
vin ; de Rots,,
vin ; de Rota,vin ; étranger,
vin ; de Rome,,
vin ; de Rochefort,vin ; de france,
vin ; de Rivesac,vin ; de france,
vin ; du Rhin,vin ; de france,
vin ; de Ranijo,vin ; étranger,
vin ; de Querey,,
vin ; de Quercy,vin ; de france,
vin ; de Prague,,
vin ; de Portugal,,
vin ; de Poitou,,
vin ; de Picardan,vin ; de france,
vin ; de Palme,vin,
vin ; de Navarre,vin ; étranger,
vin ; de N. Jean,vin ; de france,
vin ; de Mâcon,vin ; de france,
vin ; de Murville,,
vin ; de Mursante,vin ; de france,
vin ; de Moselle,vin ; étranger,
vin ; de Mezac,vin ; de france,
vin ; de Metz,,
vin ; de Marennes,vin ; de france,
vin ; de Manheim,vin ; étranger,
vin ; de Malvoisie,vin ; étranger,
vin ; de Malaga,vin ; étranger,
vin ; de Lyon,vin ; de france,
vin ; de Lorraine,vin ; de france,
vin ; de Langres,vin ; de france,
vin ; de La Rochelle,vin ; de france,
vin ; de Haule,,
vin ; du Hainaut,vin ; de france,
vin ; de Gênes,,
vin ; de Guacy,,
vin ; de Grèce,vin ; étranger,
vin ; de Gilly,,
vin ; de Gensac,vin ; de france,
vin ; de Garonne,vin ; de france,
vin ; de Gaillac,vin ; de france,
vin ; de Frontignan,vin ; de france,
vin ; de Frontignac,,
vin ; de Provence,vin ; de france,
vin ; de France ; de Gascogne,,
vin ; de France ; de Champagne,,
vin ; de Bordeaux,,
vin ; de France ; de Bordeaux,,
vin ; de Florence,,
vin ; de Flandres,vin ; de france,
vin ; de Domé,vin,
vin ; de Dijon,,
vin ; de Dauphiné,vin ; de france,
vin ; de Coste,vin ; de france,
vin ; de Corse,,
vin ; de Constance,vin ; étranger,
vin ; de Condrieux,vin ; de france,
vin ; de Comté,vin ; de france,
vin ; de Cognac,vin ; de france,
vin ; de Clerac,vin ; de france,
vin ; de Cioutan,vin,
vin ; de Chypre,vin ; étranger,
vin ; de Chenove,vin ; étranger,
vin ; de Charente,vin ; de france,
vin ; de Champagne,vin ; de france,
vin ; de Chalons,,
vin ; de Chagny,vin ; de france,
vin ; de Cette,vin ; de france,
vin ; de Catalogne,vin ; étranger,
vin ; de Canaries,vin ; étranger,
vin ; de Cahors,vin ; de france,
vin ; de Cabreton,vin ; de france,
vin ; de Béziers,,
vin ; de Bugey,vin ; de france,
vin ; de Bretagne,vin ; de france,
vin ; de Bourgogne ; de la Ferté,vin ; de france,
vin ; de Bourgogne ; de grand,vin ; de france,
vin ; de Bourgogne ; de Tonnerre,vin ; de france,
vin ; de Bourgogne ; de Suvigny,vin ; de france,
vin ; de Bourgogne ; de Rully,vin ; de france,
vin ; de Bourgogne ; de Poutigny,vin ; de france,
vin ; de Bourgogne ; de Mursault,vin ; de france,
vin ; de Bourgogne ; de mercuray,vin ; de france,
vin ; de Bourgogne ; de Gilly,vin ; de france,
vin ; de Bourgogne ; de Gevray,vin ; de france,
vin ; de Bourgogne ; de Dijon,vin ; de france,
vin ; de Bourgogne ; de Comté,,
vin ; de Bourgogne ; de Chalons,vin ; de france,
vin ; de Bourgogne ; de Chagny,vin ; de france,
vin ; de Bourgogne ; de Chablis,,
vin ; de Bourgogne ; de Beaune,vin ; de france,
vin ; de Bourgogne ; d'Auxonne,vin ; de france,
vin ; de Bourgogne ; d'Auxerre,vin ; de france,
vin ; de Bourgogne ; d'Arbois,vin ; de france,
vin ; de Bourgogne,vin ; de france,
vin ; de Bordeaux ; de ville,,
vin ; de Castillon,vin ; de france,
vin ; de Médoc,vin ; de france,
vin ; de Bordeaux ; de Blaye,vin ; de france,
vin ; de France,vin ; de france,
vin ; de Bergerac,vin ; de france,
vin ; de Benicarlo,,
vin ; de Beaune,vin ; de france,
vin ; de Bayonne,vin ; de france,
vin ; de Barrois,vin ; de france,
vin ; de Barcelone,,
vin ; de Bar,,
vin ; de Amont,vin ; de france,
vin ; d'orange,,
vin ; d'or ; de ville,,
vin ; d'or ; de haut,,
vin ; d'or ; de Nuits,,
vin ; d'or ; de Mâcon,,
vin ; d'or ; de Dijon,,
vin ; d'or ; de Beaune,,
vin ; d'or ; d'Auxerre,,
vin ; d'aigluillon,,
vin ; d'absinthe,,
vin ; d'Orléans,vin ; de france,
vin ; d'Oléron rouge,,
vin ; d'Oléron,vin ; de france,
vin ; d'Italie,,
vin ; d'Espagne et de liqueur,,
vin ; d'Espagne ; de Xérès,vin ; étranger,
vin ; d'Espagne ; de Rota,vin ; étranger,
vin ; d'Espagne ; de Rancio,vin ; étranger,
vin ; d'Espagne ; de Pacarel,vin ; étranger,
vin ; d'Espagne ; de Navarre,vin ; étranger,
vin ; d'Espagne ; de Malaga,vin ; étranger,
vin ; d'Espagne ; de Madère,vin ; étranger,
vin ; d'Espagne ; de Madres,,
vin ; de Barcelonne,vin ; étranger,
vin ; d'Espagne ; Tinto,vin ; étranger,
vin ; d'Espagne,,
vin ; d'Auxerre,vin ; de france,
vin ; d'Aument,vin ; de france,
vin ; d'Aubagne,vin ; de france,
vin ; d'Arbois,vin ; de france,
vin ; d'Amour,vin ; de france,
vin ; d'Amont,,
vin ; d'Ambrion,,
vin ; d'Alicante,vin ; étranger,
vin ; cuit,vin,
vin ; blanc,,
vin ; Nantais,,
vin ; Malvoisie,vin ; étranger,
vin ; Dan ; de ville,vin ; de france,
vin ; de Bordeaux ; de haut,vin ; de france,
vin ; de Bourg,vin ; de france,
vin ; de Blaye,vin ; de france,
vin ; Champagne,vin ; de france,
vif d'argent,,
vieux ; oing,vieux ; oing,
viande ; salée,,
viande ; fumée,,
viande ; de mouton,,
viande ; de bœuf,,
viande ; d'agneau,,
viande,,
veste ; de toile ; brodée,,
veste ; de soie,vestes,
veste ; de drap ; brodée ; en or,,
veste,vestes,
vessie ; natatoire,,
vessie,,
vesce,,
vert moulu,,
vert,,
verrunes,verrunes,
verrerie ; diverse,,
verrerie,verrerie,
verre ; à vin,,
verre ; à boire,verre,
verre ; verroterie,verre,
verre ; à vitre,verre,
verre ; pour montre,,
verre ; pour lustre,,
ouvrage ; de verre ; en table,ouvrage ; de verre,
verre ; moulein,,
verre ; filé,,
ouvrage ; de verre ; bouteille,ouvrage ; de verre,
verre ; de montre,verre,
verre ; de mer,,
verre ; de lampe,verre,
verre ; de grin,,
verre ; de cristallin,,
verre ; de baromètre,verre,
verre ; de Venise,,
verre ; de Saint Louis,,
verre ; de Lorraine,verre,
verre ; de Hessen,,
verre ; de France,,
verre ; de Bohème,verre,
verre ; de Barrois,verre,
verre ; d'antimoine,,
verre ; d'ambre,,
verre ; d'Alsace,verre,
verre ; d'Allemagne,verre,
verre ; en table,verre,
verre ; cristallin,verre,
verre ; cassé ; en groisil,verre,
verre ; cassé,,
verre,verre,
vermillon,,
vermeille,,
verjus,verjus,
vergue ; de navire,,
vergue,ouvrages ; de bois,
verd ; rouge,verd,
verd ; distillé,verd,
verd ; de vessie,verd,
verd ; de montagne,verd,
verd ; de mer,verd,
verd ; d'eau,,
ambre ; vert,ambre,
verd ; d'Espagne,,
verd,,
vendange,,
velours ; uni,velours,
velours ; de soie,,
velours ; de gueux,velours,
velours ; de coton,velours,
velours ; de Gênes,,
velours ; d'Utrecht,velours,
velours ; avec argent,velours,
velours,velours,
veiles,,
veaux-oing,veaux-oing,
vaude,vaudes,
vatons,vatons,
vase,,
vas ; du Rhin,,
vanille,vanille,
vandes,vandes,
van ; à vanner,vans ; à vanner,
valtones,valtones,
vaisselle ; terre,,
vaisselle ; plate,,
vaisselle ; de terre,vaisselle,
vaisselle ; de bois,vaisselle,
vaisselle ; d'étain,,
vaisselle ; d'or,vaisselle,
vaisselle ; d'argent,vaisselle,
vaisselle,,
ustensile ; de ménage,,
tôle ; de cuivre,,
tôle,,
tête ; de morue,,
tête ; de clou de girofle,,
tétras ; noir,,
térébenthine ; en pâte,,
térébenthine ; de Venise,,
térébenthine ; commune,,
térébenthine,,
télescope,télescopes,
tuyau ; d'orgue,,
tutilly,tutilly,
tutie,tutie,
tutic,tutic,
turquoise,turquoise et turlutaines,
poisson ; turbot ; salé,,
poisson ; turbot,,
turbit,turbit,
tulle,,
tuile ; plate,,
toile ; de Bretagne ; de Pontivy,,
tuile ; courbée,,
tube ; long,,
trully,,
truffe ; sèche,,
truffe ; noire,,
truffe,,
tripoli,tripoli,
tripe ; sur soie,,
tripe ; de velours,,
tripe ; de laine,,
tripe ; de Lannoy,,
tripe,,
trictrac,trictrac,
tresse ; de soie,tresse,
tresse ; de laine,tresse,
tresse ; de fleuret,tresse,
tresse ; de fil,tresse,
tresse ; d'or et d'argent,tresse,
tresse ; d'or,tresse,
tresse ; d'argent,tresse,
tremille,tremille,
treillis ; d'Allemagne,treillis,
treillis,treillis,
trait ; d'or,trait ; d'or,
toutenague,métaux,
tours ; de lit ; de bourre,tours ; de lit ; de bourre,
tours,tours,
touron,,
tournesol ; en drapeau,,
tournesol,,
tournebroche,,
tourbe,,
tour ; à filer,tour ; à filer,
tour ; pour tourneur,,
tortue,tortues,
tord ; gros,,
tonneau ; à bière,,
tonneau ; vide,tonneaux,
tonneau ; en bois,,
tonneau,tonneaux,
tondelle,tondelle,
tombeau,tombeaux,
toilette ; de femme,toilettes,
toilette ; de bois,toilettes,
toilette,toilettes,
toile ; étrangère ; du Piémont,,
toile ; étrangère,,
toile ; à voile,,
toile ; à treillis,,
toile ; à tapisser,,
toile ; à tamis,,
toile ; à peindre,,
toile ; à pavillon,,
