numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,Droits totaux indiqués,doubleaccounts
41,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Pelleteries ; de blaireaux, onces, léopards, panthères, tigres, lions, loups ordinaires, zèbres, cougouards",Monde,37257,15410,en nombre,0,,,2591,
42,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Pelleteries ; Fourrures ; Peaux entières,Monde,478730,119087,en nombre,0,,,97679,
43,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Pelleteries ; Fourrures ; Dos, ventres, gorges, queues, nappes",Monde,82983,215583,en nombre,0,,,5210,
44,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chevaux ; entiers,Monde,500,1,en nombre,500,,,0,
45,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chevaux ; jumens,Monde,720,2,en nombre,360,,,0,
46,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chevaux ; hongres,Monde,344880,958,en nombre,360,,,15807,
47,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chevaux ; poulains,Monde,10760,897,en nombre,120,,,14800,
48,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Mules et mulets ; adultes,Monde,3507250,14029,en nombre,250,,,75927,
49,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Mules et mulets ; n’ayant pas encore de dents d’adultes,Monde,0,0,en nombre,0,,,0,
50,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Anes et ânesses,Monde,29800,745,en nombre,40,,,811,
51,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Moutons mérinos, et métis ; Beliers",Monde,6400,128,en nombre,50,,,14,
52,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Moutons mérinos, et métis ; Brebis et moutons",Monde,13930,398,en nombre,35,,,1328,
53,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Moutons mérinos, et métis ; Agneaux",Monde,1116,62,en nombre,18,,,34,
54,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Moutons communs ; Beliers, brebis et moutons",Monde,2096940,139796,en nombre,15,,,38444,
55,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Moutons communs ; Agneaux,Monde,24200,3025,en nombre,8,,,333,
56,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Boeufs ; gras et en chair,Monde,4066800,13556,en nombre,300,,,14923,
57,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Boeufs ; maigres,Monde,148320,824,en nombre,180,,,2719,
58,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Vaches ; grasses et en chair,Monde,1329480,7386,en nombre,180,,,4053,
59,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Vaches ; maigres,Monde,165000,1650,en nombre,100,,,2722,
60,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Taureaux,Monde,181440,756,en nombre,240,,,2488,
61,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Bouvillons, taurillons et génisses",Monde,6660,74,en nombre,90,,,103,
62,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Veaux,Monde,25476,1158,en nombre,22,,,647,
63,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Boucs et chèvres,Monde,44970,4497,en nombre,10,,,742,
64,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chevreaux,Monde,165,33,en nombre,5,,,4,
65,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Porcs ; gras,Monde,1042200,20844,en nombre,50,,,1146,
66,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Porcs ; maigres,Monde,208480,10424,en nombre,20,,,2867,
67,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Cochons de lait au-dessous de 3 mois,Monde,124280,12428,en nombre,10,,,1367,
68,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Chiens de chasse,Monde,25,1,en nombre,25,,,1,
69,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Gibier, volailles et tortues vivantes",Monde,215960,0,en nombre,0,,,594,
70,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Ruches à miel (renfermant des essaims vivants),Monde,1650,110,en nombre,15,,,30,
71,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Viandes ; salées,Monde,1033837,1292295,kg,"0,8",,,959,
72,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Viandes ; fraîches,Monde,26246,43744,kg,"0,6",,,1444,
73,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Viandes ; Gibier et volailles,Monde,48738,37491,kg,"1,3",,,1234,
74,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Viandes ; apprêtées (pâtés et extraits),Monde,5847,2228,kg,0,,,6,
75,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Peaux brutes ; Grandes ; fraîches,Monde,92,32,kg,"0,7",,,23,
76,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Peaux brutes ; Grandes ; sèches,Monde,1806,1204,kg,"1,5",,,331,
77,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Peaux brutes ; Petites ; d’agneaux et de chevreaux,Monde,177309,50660,kg,"3,5",,,11145,
78,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Peaux brutes ; Petites ; Chiens de mer, requins",Monde,1023,379,kg,"2,7",,,1,
79,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Peaux brutes ; Petites ; Autres ; Fraîches,Monde,0,0,kg,0,,,0,
80,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Peaux brutes ; Petites ; Autres ; Sèches,Monde,16929,8910,kg,"1,9",,,6850,
81,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Pelleteries ; Peaux de lièvres et de lapins, brutes",Monde,0,0,kg,0,,,0,
82,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Pelleteries ; Peaux de lièvres et de lapins, apprêtées",Monde,28345,22676,en nombre,"1,25",,,251,
83,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Pelleteries ; de castors, castorins, chameaux, chèvres, vigognes, lamas, loutres",Monde,14780,3314,en nombre,0,,,179,
84,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Pelleteries ; de blaireaux, onces, léopards, panthères, tigres, lions, loups ordinaires, zèbres, cougouards",Monde,535,38,en nombre,0,,,3,
85,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,Pelleteries ; Fourrures ; Peaux entières,Monde,351827,175011,en nombre,0,,,1671,
86,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,27,"Pelleteries ; Fourrures ; Dos, ventres, gorges, queues, nappes",Monde,51832,3517,en nombre,0,,,104,
87,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; surfines ; brutes,Monde,23061,4193,kg,"5,5",,,1060,
88,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; surfines ; lavées ; à froid,Monde,415646,37786,kg,11,,,32191,
89,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; surfines ; lavées ; à chaud,Monde,30992,2384,kg,13,,,2705,
90,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; fines; brutes,Monde,1455034,519655,kg,"2,8",,,228608,
91,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; fines; lavées ; à froid,Monde,2957539,528132,kg,"5,6",,,232386,
92,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; fines; lavées ; à chaud,Monde,516646,83330,kg,"6,2",,,47783,
93,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; communes ; brutes,Monde,4776074,3411480,kg,"1,4",,,499428,
94,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; communes ; lavées ; à froid,Monde,2349084,838959,kg,"2,8",,,308453,
95,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; communes ; lavées ; à chaud,Monde,191090,55740,kg,"3,5",,,28373,
96,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines ; teintes,Monde,1195,239,kg,5,,,194,
97,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Laines : Bourre et déchet de laines,Monde,8978,8978,kg,1,,,108,
98,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Crins ; bruts,Monde,346592,288827,kg,"1,2",,,16220,
99,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Crins ; frisés,Monde,6411,4579,kg,"1,4",,,553,
100,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Cheveux,Monde,432,54,kg,8,,,1,
101,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Poils ; de chameaux,Monde,612744,102124,kg,6,,,1161,
102,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Poils ; de porcs et sangliers,Monde,355500,88875,kg,4,,,21019,
103,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Poils ; de vaches et autres plocs,Monde,5232,10465,kg,"0,5",,,126,
104,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Poils ; propres à la chapellerie et à la filature,Monde,733974,121329,kg,6,,,1467,
105,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; blanches ; brutes,Monde,40828,680,kg,60,,,3042,
106,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; blanches ; apprêtées,Monde,188,2,kg,100,,,120,
107,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; noires ; brutes,Monde,118829,2896,kg,40,,,6655,
108,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; noires ; apprêtées,Monde,341,5,kg,70,,,21,
109,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; autres ; brutes,Monde,127836,6392,kg,20,,,7251,
110,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; de parure ; autres ; apprêtées,Monde,72,2,kg,35,,,7,
111,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; à écrire ; brutes,Monde,302928,37866,kg,8,,,18079,
112,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; à écrire ; apprêtées,Monde,106557,8880,kg,12,,,12543,
113,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,"Plumes ; à lit ; Duvet ; de cygne, d’oie, canard",Monde,9126,1492,kg,0,,,3487,
114,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; à lit ; Duvet ; d’eyder (édredon),Monde,12764,319,kg,40,,,4503,
115,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Plumes ; à lit ; autres plumes,Monde,26202,8734,kg,3,,,6290,
116,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; en cocons,Monde,20310,4062,kg,5,,,44,
117,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; grèges ; douppions,Monde,56385,1253,kg,45,,,703,
118,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; grèges ; autres de toute sorte,Monde,6445230,117186,kg,55,,,137437,
119,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; moulinées; douppions,Monde,55770,1014,kg,55,,,568,
120,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; moulinées; autres de toute sorte,Monde,16342200,233460,kg,70,,,563445,
121,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; teintes,Monde,18315,333,kg,55,,,1204,
122,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; bourre ; écrue,Monde,826908,68909,kg,12,,,831,
123,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; bourre ; filée (fleuret écru),Monde,2484625,99385,kg,25,,,98389,
124,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Soies ; bourre ; filée (fleuret teint),Monde,783,29,kg,27,,,104,
125,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Cire non ouvrée ; brune ou jaune,Monde,427351,123311,kg,0,,,15078,
126,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Cire non ouvrée ; blanche,Monde,7978,1773,kg,"4,5",,,907,
127,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Cire non ouvrée ; crasse de cire,Monde,591,169,kg,"3,6",,,20,
128,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Graisses ; suif brut,Monde,239641,299552,kg,"0,8",,,42217,
129,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Graisses ; de pied de bœuf,Monde,0,0,kg,0,,,0,
130,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Graisses ; Dégras de peaux,Monde,2226,2782,kg,"0,8",,,1514,
131,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,28,Graisses ; Autres de toute sorte,Monde,51317,51317,kg,1,,,7147,
132,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,28,Laines ; surfines ; brutes,Monde,52266,9503,kg,"5,5",,,52,
133,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Exports,,28,Laines ; surfines ; lavées ; à froid,Monde,75075,6825,kg,11,,,38,
