numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
50,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toiles batiste,372610,aunes,2226600,
51,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toile de fil et Coton Siamoise,6100,livres,32800,
52,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toile de chanvre,25000,livres,39000,
53,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Cheveux,,,15400,
54,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Cuirs apretés ,8600,livres,13900,168 en nombre
55,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Eaux et huiles spiritueuses,,,11400,
56,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Gants de Grenoble,5640,livres,67700,
57,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Gants de peaux,780,livres,9400,
58,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Librairie,4900,livres,10100,
59,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Liege en planche,145000,livres,34400,
60,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Liege en Bouchons,9765,livres,13600,
61,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Marchandises mêlées,,,33100,
62,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Mercerie meslées,17600,livres,85000,
63,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Ornemens d'Eglise,,,32000,
64,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Orfeverie et argenterie,1700,marcs,89400,
65,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Ouvrages divers,,,23000,
66,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Ouvrage de cuivre doré et argenté,,,10000,
67,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Ouvrages de Porcelaine,3390,livres,21900,
68,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Ouvrages de terre Cuite,,,140500,
69,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Papier à Ecrire,75500,livres,57000,
70,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Parfumerie,,,13500,
71,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Peaux apretées de Chevres,1510,douzaines,106000,
72,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Peaux de Chevreaux,2940,douzaines,35300,
73,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Plumes d'Autruche appretés,180,livres,14500,
74,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Savon,87900,livres,42700,
75,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bœufs ,205,nombre,28500,
76,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Moutons,2130,nombre,16000,
77,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Porcs,1110,nombre,27700,
78,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Vaches,200,nombre,12700,
79,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Chevaux,95,nombre,45800,
80,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Mulets,100,nombre,12000,
81,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Bœurre ,1435200,livres,800800,
82,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Chair de Bœuf Salée,5395600,livres,1586100,
83,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Chair de Porc,177400,livres,64200,
84,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,farine,154600,livres,26600,
85,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Poissons Salés et Saumon,98300,livres,30600,
86,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sucre en pain,158200,livres,126500,
87,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Metallique Litarge,26300,livres,10100,
88,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Pour la Peinture et la Teinture,,,18600,
89,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,alun,486400,livres,146200,
90,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Couperose,239400,livres,24700,
91,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Objets divers de moindre Valeur,,,118900,
92,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Beurre,60500,livres,35800,
93,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Chair de Porc Salée,38700,livres,13200,
94,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,farine,770300,livres,88800,
95,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,fruits cruds divers,,,16100,
96,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,fruits divers,,,14300,
97,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,fruits secs divers,,,11100,
98,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,fruits pruneaux,665200,livres,136300,
99,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,fruits Raisins,41100,livres,11700,
100,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,huile d'olive,98400,livres,53900,
101,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Legume,1538100,livres,194500,
102,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Miel,65500,livres,13100,
103,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sel,4612700,livres,41300,
104,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Volaille,13300,nombre,10400,
105,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Eaux de Vie de Vin,34098,muids,4742500,
106,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Eaux de Grain,7680,muids,1045500,
107,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Liqueurs diverses,,,15500,
108,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sirop capilaire,12100,livres,10300,
109,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sirop Melasse,41100,,9900,
110,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Vins divers,,,136700,22430 bouteilles et 560 muids
111,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Vins de Bordeaux,,,2575700,4380 bouteilles et 18930 muids
112,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Vinaigre,1590,muids,46900,
113,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Meslées,,,12300,
114,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Medecinales diverses,,,12700,
115,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Medecinales Saffran,640,livres,13000,
116,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Pour la Peinture et la Teinture,,,19700,
117,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Indigo,21730,livres,166900,
118,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; huile de therebentine,58700,livres,10300,
119,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Droguerie ; Verdet,10000,livres,14300,
120,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Argent monnoyé en Piastres,,,300000,
121,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Caffé,155700,livres,124600,
122,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Coton,277700,livres,674500,
123,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Indigo,84100,livres,835100,
124,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sucre blanc et terré,124000,livres,68200,
125,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Sucre en pain,4000,livres,4000,
126,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Caffé de Bourbon,14300,livres,12500,
127,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Coton en laine,75000,livres,75000,
128,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Thé,792100,livres,1762000,
129,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Objets divers ,,,12200,
130,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,5,Exports,Angleterre,Objets divers de moindre Valeur,,,242100,
