"marchandises","nbr_occurences_navigo_Marseille_1787"
"Vermillon",2
"Verreries",3
"Verreries ",1
"Vesse",2
"Vesses",14
"Viande de pate",13
"Viande de pâte",1
"Viande de pates",1
"Viande de patte",1
"Viande fumée",1
"Viande salée",1
"Vieux chanvre",1
"Vieux linges",1
"Vieux linges lescivés",1
"Vieux linges lessivés",1
"Vin",491
"Vin ",6
"Vin blanc",3
"Vin d'Alicante",1
"Vin de Bordeaux",4
"Vin de Cères",1
"Vin etranger",2
"Vin muscat",6
"Vin rouge",1
"Vinaigre",4
"xxx",46
"(empty)",
"Diverses Marchandises",7
"export",1
"Total Result",7073
