source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Allun,alun,alun,5,,Hors Canada,narrow medical product,Alun,Pas grain (0),not raw cotton,alum,Not coffee,Sans lien avec la porcelaine,out,Alun,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Alun,alun,alun,5,,Hors Canada,narrow medical product,Alun,Pas grain (0),not raw cotton,alum,Not coffee,Sans lien avec la porcelaine,out,Alun,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,17,1,0
Amande,amandes,amandes,0a,,Hors Canada,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits secs et noix,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,13,0,0
Amandes,amandes,amandes,0a,,Hors Canada,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits secs et noix,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,20,0,0
Amarinage,amarinage,amarinage,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Bâtiments de mer et apparaux,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Industrie française et étrangère,Manufactures,Produits manufacturés,0,10,0
Amidon,amidon,amidon,5,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,22,0
Anchois,anchois,anchois,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,4,0,0
Anchoix,anchois,anchois,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,25,0,0
Ancres,ancres,ancres,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,1,0
Ancres de fer,ancres de fer,ancres de fer,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,5,0
Anis,anis,anis,0a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Drogues médicinales diverses,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues médicinales,Manufactures,Produits manufacturés,11,0,0
Apareaux,apparaux,apparaux,7,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Apprêts,apprêts,apprêts,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,2,0
Arans Blancs,harengs blancs,harengs blancs,0a,,Pêche d'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,0,0
Ardoises,ardoise,ardoise,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Armes,armes,armes,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Armes, munitions, poudre et pierres à fusil",No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,2,0
Arquifeux,alquifoux,alquifoux,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Alquifoux, mine de plomb et graphite",No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Arquifoux [Alquifoux],alquifoux,alquifoux,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Alquifoux, mine de plomb et graphite",No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Articles de peche,articles de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Au lest,au lest,lest,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Industrie française et étrangère,Manufactures,Produits manufacturés,0,311,0
Audevie [eau de vie],eau-de-vie,eau-de-vie,1,Eau de vie de France,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,0,6
Autre (etc),autres,divers,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,26,0
Autre (etc.),autres,divers,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,29,0
Autres,autres,divers,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,1,444,0
Autres comestibles,autres comestibles,comestibles,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Subsistances diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Autres denrées,autres denrées,divers,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,1,1,0
Autres drogueries,autres drogueries,drogues,5,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,drogues,Not coffee,Sans lien avec la porcelaine,out,Drogues diverses,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,1,0,0
Autres marchandises,autres marchandises,divers,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,1,412,3
Autres marchandises anglaises,autres marchandises anglaises,marchandises anglaises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Autres marchandises permises,autres marchandises permises,marchandises permises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,14,26
Autres pour la pêche au poisson frais,autres pour la pêche au poisson frais,outils de pêche au poisson frais,6j,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Ouvrages divers et mélangés,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Autres pour la pêche aux moules,autres pour la pêche aux moules,outils de pêche aux moules,6j,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Ouvrages divers et mélangés,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,25,0
Autres pour pêche à la morue,autres pour la pêche à la morue,outils de pêche à la morue,6j,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Ouvrages divers et mélangés,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Autres ustensilles provenant de la péche,autres ustensiles provenant de la pêche,outils de pêche,6j,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,0,4
Aux sables et aux goemons,aux sables et aux goëmon,goëmon et sable,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Aux sables et goemons,aux sables et aux goëmon,goëmon et sable,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,4,0
Aux travaux [du Roi],aux travaux du Roi,aux travaux du Roi,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Divers,Unknown,Inconnus,0,1,0
Aux travaux du Roi,aux travaux du Roi,aux travaux du Roi,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Divers,Unknown,Inconnus,0,5,0
Avec son reste [reste de marchandises],reste de marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,0,9
Avelanette,avelanèdes,avelanèdes,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Avirons,avirons,avirons,7,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,9,0
Avoine,avoine,avoine,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Menus grains (3),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,40,31,14
Bagages,bagages,bagages,8,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Divers,Unknown,Inconnus,0,3,0
Baillarge,baillarge,baillarge,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,7
Balais,balais,balais,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,5,0,0
Balles de laine,balles de laine,balles de laine,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Laines non transformées diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,0,1,0
Balles de plumes,balles de plumes,balles de plumes,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Plumes brutes,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,0,1,0
Ballets,balles,balles,9c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,1,0,0
Balloterie,balloterie,ballots,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,50,0
Balloteries,balloterie,ballots,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,13,0
Ballots,ballots,ballots,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,6,0
Ballots d'étoffes,ballots d'étoffe,ballots d'étoffe,6i,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Étoffes diverses,No link with beaver,,,,Autres filés ou tissés,Other threads and fabrics,Other threads and fabrics,Objets manufacturés,Manufactures,Produits manufacturés,0,1,0
Barbes de baleine,barbe de baleine,barbe de baleine,2,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Barilles,barils,barils,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Barils,barils,barils,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Bariques vides,barriques vides,barriques vides,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Barrille,barils,barils,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Barriques,barriques,barriques,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Barriques vides,barriques vides,barriques vides,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,81,0
Barriques vuides,barriques vides,barriques vides,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Bestiaux,bestiaux,bestiaux,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Bêtes de somme,Agriculture,Produits agricoles,0,6,0
Beurre,beurre,beurre,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,66,40
Beurre en frequin,beurre en frequins,beurre en frequins,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Beurre salé,beurre salé,beurre salé,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Bierre,bière,bière,1,Bière,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,0,2
Billetes,billets,billets,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Billets,billets,billets,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Bin,,[non traité],9c,,Intraitable,,,Pas grain (0),,,,,,[non traité],No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,[vide],Unknown,Inconnus,1,0,0
Biscotes,biscottes,biscottes,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Grains transformés (5),,,,,,"Farine, gruau, biscuits et pâtes",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,0,0
Biscuit,biscuit,biscuit,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Grains transformés (5),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Farine, gruau, biscuits et pâtes",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
