numerodeligne,dataentryby,source,SourceType,year,exports/imports,sheet,marchandises,Pays,value,Sous-total,Sous-tota 2l,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
53,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Allemagne,32,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
54,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Angleterre,2439.5,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
55,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Danemark,276.2999877929688,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
56,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Flandre,667.75,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
57,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Hollande,144605.203125,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
58,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Isles,1201,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
59,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Italie,153174.59375,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
60,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Savoye,21740,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
61,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Suede,1144.5,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
62,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; en coques,Suisse,355,325635.84375,636280.8125,,,,,,,,,,,,,,,,,
63,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Ambre ; carabé,Italie,200,412.5,412.5,,,,,,,,,,,,,,,,,
64,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Ambre ; carabé,Levant,212.5,412.5,412.5,,,,,,,,,,,,,,,,,
65,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Ameçons,Isles,106.75,,,,,,,,,,,,,,,,,,,
66,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Allemagne,2214.800048828125,82178,,,,,,,,,,,,,,,,,,
67,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Angleterre,3462.10009765625,82178,,,,,,,,,,,,,,,,,,
68,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Danemark,61,82178,,,,,,,,,,,,,,,,,,
69,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Espagne,2000.900024414063,82178,,,,,,,,,,,,,,,,,,
70,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Flandre,58894.3984375,82178,,,,,,,,,,,,,,,,,,
71,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Isles,2552,82178,,,,,,,,,,,,,,,,,,
72,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Italie,10243.599609375,82178,,,,,,,,,,,,,,,,,,
73,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Levant,360.6000061035156,82178,,,,,,,,,,,,,,,,,,
74,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Savoye,53.59999847412109,82178,,,,,,,,,,,,,,,,,,
75,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amidon,Suisse,2335,82178,,,,,,,,,,,,,,,,,,
76,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anabas,Guinée,68780,,,,,,,,,,,,,,,,,,,
77,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Allemagne,52,22465,,,,,,,,,,,,,,,,,,
78,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Angleterre,175.8000030517578,22465,,,,,,,,,,,,,,,,,,
79,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Espagne,97.19999694824219,22465,,,,,,,,,,,,,,,,,,
80,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Flandre,407,22465,,,,,,,,,,,,,,,,,,
81,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Hollande,2587.60009765625,22465,,,,,,,,,,,,,,,,,,
82,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Isles,15144.5,22465,,,,,,,,,,,,,,,,,,
83,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Nord,1970.800048828125,22465,,,,,,,,,,,,,,,,,,
84,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Savoye,289.5,22465,,,,,,,,,,,,,,,,,,
85,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Suede,1665.599975585938,22465,,,,,,,,,,,,,,,,,,
86,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Anchois,Suisse,75,22465,,,,,,,,,,,,,,,,,,
87,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Ancres de fer,Espagne,400,14305,,,,,,,,,,,,,,,,,,
88,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Ancres de fer,Isles,13705,14305,,,,,,,,,,,,,,,,,,
89,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Ancres de fer,Levant,200,14305,,,,,,,,,,,,,,,,,,
90,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Andouilles,Isles,75,,,,,,,,,,,,,,,,,,,
91,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anguilles,Allemagne,600,,,,,,,,,,,,,,,,,,,
92,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Allemagne,87.5,8038.39990234375,,,,,,,,,,,,,,,,,,
93,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Angleterre,488.3999938964844,8038.39990234375,,,,,,,,,,,,,,,,,,
94,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Espagne,2682.39990234375,8038.39990234375,,,,,,,,,,,,,,,,,,
95,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Flandre,10.5,8038.39990234375,,,,,,,,,,,,,,,,,,
96,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Hollande,755.5999755859375,8038.39990234375,,,,,,,,,,,,,,,,,,
97,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Italie,2264.199951171875,8038.39990234375,,,,,,,,,,,,,,,,,,
98,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Levant,141.5,8038.39990234375,,,,,,,,,,,,,,,,,,
99,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Nord,72.40000152587891,8038.39990234375,,,,,,,,,,,,,,,,,,
100,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Savoye,1033.550048828125,8038.39990234375,,,,,,,,,,,,,,,,,,
101,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Suede,69,8038.39990234375,,,,,,,,,,,,,,,,,,
102,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anis,Suisse,433.3500061035156,8038.39990234375,,,,,,,,,,,,,,,,,,
103,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Anisette,Guinée,90,,,,,,,,,,,,,,,,,,,
104,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Antimoine,Espagne,13,264.9500122070313,,,,,,,,,,,,,,,,,,
105,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Antimoine,Flandre,52.5,264.9500122070313,,,,,,,,,,,,,,,,,,
106,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Antimoine,Italie,199.4499969482422,264.9500122070313,,,,,,,,,,,,,,,,,,
107,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Allemagne,215,6595,,,,,,,,,,,,,,,,,,
108,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Angleterre,84,6595,,,,,,,,,,,,,,,,,,
109,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Flandre,1352,6595,,,,,,,,,,,,,,,,,,
110,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Hollande,610,6595,,,,,,,,,,,,,,,,,,
111,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Italie,3574,6595,,,,,,,,,,,,,,,,,,
112,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Nord,709,6595,,,,,,,,,,,,,,,,,,
113,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arbres à planter,Russie,51,6595,,,,,,,,,,,,,,,,,,
114,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arcenic,Espagne,63,126,,,,,,,,,,,,,,,,,,
115,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,5,Arcenic,Italie,63,126,,,,,,,,,,,,,,,,,,
116,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Ardoises,Allemagne,13750,39550,,,,,,,,,,,,,,,,,,
117,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Ardoises,Flandre,1610,39550,,,,,,,,,,,,,,,,,,
118,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Ardoises,Isles,24190,39550,,,,,,,,,,,,,,,,,,
119,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argent ; vif,Espagne,16490,47515,47515,,,,,,,,,,,,,,,,,
120,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argent ; vif,Flandre,25,47515,47515,,,,,,,,,,,,,,,,,
121,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argent ; vif,Levant,31000,47515,47515,,,,,,,,,,,,,,,,,
122,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Allemagne,56715,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
123,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Angleterre,20078.25,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
124,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Danemark,5016,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
125,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Espagne,14043.349609375,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
126,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Flandre,16910.30078125,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
127,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Hollande,51699,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
128,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Isles,157651.25,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
129,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Italie,6669,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
130,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Nord,283,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
131,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Portugal,51129,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
132,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Savoye,10032,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
133,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; diverse,Suisse,8996.9501953125,399223.09375,399729.09375,,,,,,,,,,,,,,,,,
134,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; croix,Savoye,,,,,,,,,,,,,,,,,,,,
135,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Argenterie ; épées,Flandre,506,399729.09375,,,,,,,,,,,,,,,,,,
136,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Aristoloche,Hollande,107,2245,,,,,,,,,,,,,,,,,,
137,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Aristoloche,Italie,2138,2245,,,,,,,,,,,,,,,,,,
138,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; blanches,Italie,777.5,690932.5,,,,,,,,,,,,,,,,,,
139,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; diverses,Guinée,97210,177460,690155,690932.5,,,,,,,,,,,,,,,,
140,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; diverses,Isles,80250,177460,690155,690932.5,,,,,,,,,,,,,,,,
141,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; fusils,Allemagne,20308,472383,690155,690932.5,,,,,,,,,,,,,,,,
142,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; fusils,Angleterre,108,472383,690155,690932.5,,,,,,,,,,,,,,,,
143,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; fusils,Guinée,419807,472383,690155,690932.5,,,,,,,,,,,,,,,,
144,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; fusils,Isles,27360,472383,690155,690932.5,,,,,,,,,,,,,,,,
145,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; fusils,Levant,4800,472383,690155,690932.5,,,,,,,,,,,,,,,,
146,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; pistolets,Guinée,38112,40312,690155,690932.5,,,,,,,,,,,,,,,,
147,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armes ; à feu ; pistolets,Levant,2200,40312,690155,690932.5,,,,,,,,,,,,,,,,
148,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armoires,Angleterre,265,595,,,,,,,,,,,,,,,,,,
149,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armoires,Espagne,30,595,,,,,,,,,,,,,,,,,,
150,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,6,Armoires,Nord,300,595,,,,,,,,,,,,,,,,,,
151,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Arquifou,Espagne,150,3313.39990234375,,,,,,,,,,,,,,,,,,
152,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Arquifou,Italie,2085,3313.39990234375,,,,,,,,,,,,,,,,,,
153,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Arquifou,Levant,1038.300048828125,3313.39990234375,,,,,,,,,,,,,,,,,,
154,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Arquifou,Savoye,40.09999847412109,3313.39990234375,,,,,,,,,,,,,,,,,,
155,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Artichaux,Isles,11400,,,,,,,,,,,,,,,,,,,
156,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Asnes,Espagne,36,1006,,,,,,,,,,,,,,,,,,
157,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Asnes,Savoye,880,1006,,,,,,,,,,,,,,,,,,
158,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Asnes,Suisse,90,1006,,,,,,,,,,,,,,,,,,
159,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Asphaltum,Hollande,3225,,,,,,,,,,,,,,,,,,,
160,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Assafetida,Italie,452.5,,,,,,,,,,,,,,,,,,,
161,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Attaches de cuivre,Angleterre,360,,,,,,,,,,,,,,,,,,,
162,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Auf,Suisse,109.5,,,,,,,,,,,,,,,,,,,
163,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avirons,Espagne,318.5,6194.5,,,,,,,,,,,,,,,,,,
164,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avirons,Hollande,5676,6194.5,,,,,,,,,,,,,,,,,,
165,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avirons,Isles,200,6194.5,,,,,,,,,,,,,,,,,,
166,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avoine,Allemagne,2460,2776.800048828125,,,,,,,,,,,,,,,,,,
167,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avoine,Espagne,244.8000030517578,2776.800048828125,,,,,,,,,,,,,,,,,,
168,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Avoine,Italie,72,2776.800048828125,,,,,,,,,,,,,,,,,,
169,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Allemagne,540,8277.900390625,,,,,,,,,,,,,,,,,,
170,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Espagne,150,8277.900390625,,,,,,,,,,,,,,,,,,
171,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Flandre,372.3999938964844,8277.900390625,,,,,,,,,,,,,,,,,,
172,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Isles,1350,8277.900390625,,,,,,,,,,,,,,,,,,
173,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Italie,275,8277.900390625,,,,,,,,,,,,,,,,,,
174,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Levant,5588.39990234375,8277.900390625,,,,,,,,,,,,,,,,,,
175,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Azur,Savoye,2.099999904632568,8277.900390625,,,,,,,,,,,,,,,,,,
176,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,7,Babouches,Levant,10800,,,,,,,,,,,,,,,,,,,
177,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Baffetas,Guinée,12105,103861,,,,,,,,,,,,,,,,,,
178,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Baffetas,Hollande,31456,103861,,,,,,,,,,,,,,,,,,
179,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Baffetas,Nord,60300,103861,,,,,,,,,,,,,,,,,,
180,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Bahus,Espagne,120,,,,,,,,,,,,,,,,,,,
181,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Baigues,Espagne,918,,,,,,,,,,,,,,,,,,,
182,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Bajutapeau,Guinée,53635,,,,,,,,,,,,,,,,,,,
183,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Balais ; de bois,Allemagne,14,29.29999923706055,180.8000030517578,,,,,,,,,,,,,,,,,
184,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Balais ; de bois,Angleterre,15.30000019073486,29.29999923706055,180.8000030517578,,,,,,,,,,,,,,,,,
185,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,8,Balais ; de palmes,Savoye,150,151.5,180.8000030517578,,,,,,,,,,,,,,,,,
