Nom opérateur/trice,Cote du document source,Année,N° de page du PDF,Exportations/Importations,Pays d'origine,Familles de marchandises,Nom de la marchandise,Quantités marchandises,Unité de compte/quantités,Prix unitaire,Unité de compte,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Valeur en décimale de Lt,Unité de compte,Total ,Unité de compte,Remarques
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Ajamis,,,,,21366,,,21366,,57906,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Italie,,Ajamis,,,,,25578,,,25578,,57906,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Levant,,Ajamis,,,,,1008,,,1008,,57906,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Naples,,Ajamis,,,,,2925,,,2925,,57906,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Ajamis,,,,,7029,,,7029,,57906,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Ajustements,,,,,10323,,,10323,,10323,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Alun,,,,,2264,,,2264,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Alun,,,,,119,,,119,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Gènes,,Alun,,,,,600,,,600,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Hollande,,Alun,,,,,2000,,,2000,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Levant,,Alun,,,,,8863,,,8863,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Nord,,Alun,,,,,2034,,,2034,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Savoye,,Alun,,,,,2246,10,,"2246,5",,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Suède,,Alun,,,,,460,,,460,,"18586,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Amandes,,,,,680,2,,"680,1",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Amandes,,,,,1137,,,1137,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Amandes,,,,,10,,,10,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Gènes,,Amandes,,,,,47375,,,47375,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Genève,,Amandes,,,,,328,15,,"328,75",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Hollande,,Amandes,,,,,41605,2,,"41605,1",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Isles,,Amandes,,,,,12265,,,12265,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Italie,,Amandes,,,,,22316,10,,"22316,5",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Levant,,Amandes,,,,,25840,,,25840,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Naples,,Amandes,,,,,11549,,,11549,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Nord,,Amandes,,,,,101323,,,101323,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Savoye,,Amandes,,,,,58978,10,,"58978,5",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Suède,,Amandes,,,,,12735,,,12735,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Amidon,,,,,1522,,,1522,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Danemark,,Amidon,,,,,10,,,10,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Amidon,,,,,1195,,,1195,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Amidon,,,,,28393,,,28393,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Gènes,,Amidon,,,,,40,,,40,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Genève,,Amidon,,,,,521,,,521,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Amidon,,,,,875,,,875,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Levant,,Amidon,,,,,46,,,46,,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Amidon,,,,,626,4,,"626,2",,"33228,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Allemagne,,Anchoix,,,,,142,10,,"142,5",,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Anchoix,,,,,207,16,,"207,8",,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Gènes,,Anchoix,,,,,39,,,39,,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Anchoix,,,,,4277,4,,"4277,2",,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Isles,,Anchoix,,,,,80,,,80,,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Anchoix,,,,,50,,,50,,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Suède,,Anchoix,,,,,8,,,8,,"4804,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Anguilles,,,,,48,15,,"48,75",,"372,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Anguilles,,,,,324,,,324,,"372,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Allemagne,,Anis,,,,,652,16,,"652,8",,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Anis,,,,,828,,,828,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Anis,,,,,6,5,,"6,25",,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Anis,,,,,3310,,,3310,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Anis,,,,,611,,,611,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Suisse,,Anis,,,,,25,,,25,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Antimoine,,,,,30,,,30,,258,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Antimoine,,,,,180,,,180,,258,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Antimoine,,,,,48,,,48,,258,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Angleterre,,Arbres ; à planter ,,,,,72,,,72,,"1021,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Danemark,,Arbres ; à planter ,,,,,95,,,95,,"1021,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Arbres ; à planter ,,,,,323,,,323,,"1021,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Arbres ; à planter ,,,,,507,16,,"507,8",,"1021,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Arbres ; à planter ,,,,,24,,,24,,"1021,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Arcenic,,,,,40,,,40,,40,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Allemagne,,Ardoises,,,,,5500,,,5500,,20155,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Ardoises,,,,,36,,,36,,20155,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Flandre,,Ardoises,,,,,14619,,,14619,,20155,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Argent ; vif,,,,,750,,,750,,750,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Allemagne,,Argenterie,,,,,27588,,,27588,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Argenterie,,,,,102940,,,102940,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Flandre,,Argenterie,,,,,2473,,,2473,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Hollande,,Argenterie,,,,,2460,,,2460,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Italie,,Argenterie,,,,,7980,,,7980,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Portugal,,Argenterie,,,,,7500,,,7500,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Suisse,,Argenterie,,,,,7695,,,7695,,158636,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Aristoloche,,,,,50,,,50,,3187,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Hollande,,Aristoloche,,,,,2910,,,2910,,3187,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Italie,,Aristoloche,,,,,227,,,227,,3187,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Isles,,Armes ; à feu ; fusils,,,,,29960,,,29960,,"34501,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Nord,,Armes ; à feu ; fusils,,,,,100,,,100,,"34501,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Suisse,,Armes ; à feu ; fusils,,,,,4441,4,,"4441,2",,"34501,2",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Allemagne,,Armes ; à feu;  diverses ,,,,,1275,,,1275,,1875,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Armes ; à feu;  diverses ,,,,,600,,,600,,1875,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Savoye,,Armes ; blanches ; diverses ,,,,,183,10,,"183,5",,"183,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Flandre,,Armes ; blanches ; épées,,,,,213,,,213,,213,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Flandre,,Armoires,,,,,75,,,75,,165,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Portugal,,Armoires,,,,,90,,,90,,165,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Levant,,Arquifou,,,,,1245,,,1245,,1245,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Espagne,,Artichaux,,,,,225,,,225,,645,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Exportations,Hollande,,Artichaux,,,,,420,,,420,,645,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Flandre,,Artifice,,,,,245,,,245,,245,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Espagne,,Asnes,,,,,1340,,,1340,,1670,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Savoye,,Asnes,,,,,330,,,330,,1670,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Savoye,,Asperges,,,,,100,,,100,,100,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Suède,,Assafetida,,,,,195,,,195,,195,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Hollande,,Avirons,,,,,3430,,,3430,,4826,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Portugal,,Avirons,,,,,1396,,,1396,,4826,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Italie,,Avoine,,,,,300,,,300,,430,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Levant,,Avoine,,,,,60,,,60,,430,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Russie,,Avoine,,,,,70,,,70,,430,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Flandre,,Azur,,,,,218,16,,"218,8",,"218,8",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Savoye,,Babouches,,,,,20,,,20,,20,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Espagne,,Babus,,,,,60,,,60,,60,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Espagne,,Baguettes ; étoffe,,,,,1375,,,1375,,1375,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Allemagne,,Balais ; de bois,,,,,38,10,,"38,5",,"64,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,6,Exportations,Savoye,,Balais ; de jongs,,,,,26,,,26,,"64,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Baleine ; coupée,,,,,622,,,622,,1452,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Baleine ; coupée,,,,,50,,,50,,1452,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Gènes,,Baleine ; coupée,,,,,500,,,500,,1452,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Savoye,,Baleine ; coupée,,,,,280,,,280,,1452,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Balles ; d'ozier,,,,,10,,,10,,10,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Baracan,,,,,6315,,,6315,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Baracan,,,,,18495,,,18495,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Baracan,,,,,39300,,,39300,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Genève,,Baracan,,,,,810,,,810,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Hollande,,Baracan,,,,,180,,,180,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Italie,,Baracan,,,,,9795,,,9795,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Naples,,Baracan,,,,,56625,,,56625,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Portugal,,Baracan,,,,,6735,,,6735,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Savoye,,Baracan,,,,,9804,,,9804,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Suisse,,Baracan,,,,,690,,,690,,148749,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Suisse,,Bariteau,,,,,750,,,750,,750,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Barois,,,,,1296,,,1296,,1296,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Baromètre,,,,,28,,,28,,28,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Barres ; de cabestan,,,,,600,,,600,,600,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,9,Exportations,Hollande,,Bas ; de bourre ; de soye,,,,,1420,,,1420,,1420,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Portugal,,Bas ; de Chamois,,,,,12540,,,12540,,12540,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Bas ; de coton,,,,,3568,,,3568,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Angleterre,,Bas ; de coton,,,,,1440,,,1440,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Bas ; de coton,,,,,2007,,,2007,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Bas ; de coton,,,,,288,,,288,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Genève,,Bas ; de coton,,,,,1708,,,1708,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Hollande,,Bas ; de coton,,,,,3500,,,3500,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Isles,,Bas ; de coton,,,,,1474,,,1474,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Italie,,Bas ; de coton,,,,,1930,,,1930,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Naples,,Bas ; de coton,,,,,1600,,,1600,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Portugal,,Bas ; de coton,,,,,1200,,,1200,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Savoye,,Bas ; de coton,,,,,17950,,,17950,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Suisse,,Bas ; de coton,,,,,124,,,124,,36789,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Bas ; de fil,,,,,2100,,,2100,,"7639,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Hollande,,Bas ; de fil,,,,,3449,,,3449,,"7639,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Isles,,Bas ; de fil,,,,,1414,13,,"1414,65",,"7639,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Italie,,Bas ; de fil,,,,,600,,,600,,"7639,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Levant,,Bas ; de fil,,,,,76,,,76,,"7639,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Bas ; de filozelle,,,,,892,,,892,,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Bas ; de filozelle,,,,,324,,,324,,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Genève,,Bas ; de filozelle,,,,,1240,,,1240,,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Italie,,Bas ; de filozelle,,,,,1500,,,1500,,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Savoye,,Bas ; de filozelle,,,,,345,,,345,,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Suisse,,Bas ; de filozelle,,,,,145,10,,"145,5",,"4446,5",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Bas ; de fleuret,,,,,4048,,,4048,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Bas ; de fleuret,,,,,124,,,124,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Genève,,Bas ; de fleuret,,,,,352,,,352,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Hollande,,Bas ; de fleuret,,,,,80,,,80,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Portugal,,Bas ; de fleuret,,,,,9660,,,9660,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Savoye,,Bas ; de fleuret,,,,,48,,,48,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Suisse,,Bas ; de fleuret,,,,,56,,,56,,14368,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Allemagne,,Bas ; de laine,,,,,444,,,444,,263798,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Espagne,,Bas ; de laine,,,,,66202,,,66202,,263798,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,8,Exportations,Flandre,,Bas ; de laine,,,,,11242,,,11242,,263798,,
