numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte
26,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois en planches,Sénégal et Guinée,750,550,Prusse,en nombres,,0
27,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de coton,Sénégal et Guinée,590,,Rouen,,,0
28,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de laine,St Domingue,390,,Chartres,,,0
29,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de laine,Sénégal et Guinée,270,,Nantes,,,0
30,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de laine,Sénégal et Guinée,280,,Rouen,,,0
31,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de laine,Sénégal et Guinée,460,,Abbeville,,,0
32,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de fil,St Domingue,3000,,Lille,,,0
33,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bonneterie de fil,St Domingue,1500,,Rennes,,,0
34,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,La Guadeloupe,180,1800,Rochefort,livres,,0
35,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,St Domingue,300,3000,Suède,livres,,0
36,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,Sénégal et Guinée,5955,86160,Suède,livres,,0
37,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,Sénégal et Guinée,850,1500,Norvège,livres,,0
38,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,Sénégal et Guinée,780,9100,Hollande,livres,,0
39,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,St Domingue,520,5200,Bayonne,livres,,0
40,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bray gras goudron et résine,Sénégal et Guinée,304,3045,Bayonne,livres,,0
41,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Cauris,Sénégal et Guinée,9578,1179,Indes,livres,,0
42,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Cauris,Sénégal et Guinée,360,360,Hollande,livres,,0
43,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Cauris,Sénégal et Guinée,2630,2120,L'Orient,livres,,0
44,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Caves de 6 flacons,Sénégal et Guinée,1800,300,Nantes,en nombres,,0
45,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Caves de 6 flacons,Sénégal et Guinée,6860,1372,Hollande,en nombres,,0
46,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Caffé,Sénégal et Guinée,257,225,Isles françaises,livres,,0
47,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Camion à garnier voiture,St Domingue,700,8,Nantes,en nombres,,0
48,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Chapeaux de feutre communs,St Domingue,22500,15000,Rouen,livres,,0
49,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Chapeaux de feutre communs,St Domingue,320,240,St Hilaire,en nombres,,0
50,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Chapeaux de feutre communs,Sénégal et Guinée,906,723,Angleterre,en nombres,,0
51,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux de castor,St Domingue,800,80,Paris,en nombres,,0
52,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux demi castor,La Guadeloupe,2700,"21,5",Paris,douzaines,,0
53,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux de laine,St Domingue,3950,895,Honfleur,en nombres,,0
54,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux de laine,Sénégal et Guinée,600,200,Honfleur,en nombres,,0
55,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux de laine,St Domingue,600,196,Paris,en nombres,,0
56,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux de laine,Sénégal et Guinée,1880,688,Le Havre,en nombres,,0
57,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux bordés en or faux,Sénégal et Guinée,370,,Rennes,,,0
58,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chapeaux à nègres,St Domingue,128,108,St Malo,en nombres,,0
59,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Charbon de terre,St Domingue,850,60,Angleterre,,Problème pour connaître l'unité,1
60,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Charbon de terre,St Domingue,850,8750,Angleterre,livres,,2
61,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Charbon de terre,La Guadeloupe,600,10,Angleterre,tonneaux,,0
62,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Charbon de terre,Sénégal et Guinée,1402,81680,Angleterre,livres,,0
63,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cire en bougies,St Domingue,340,150,Mans,livres,,0
64,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cire en bougies,St Domingue,1744,775,Rouen,livres,,0
65,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cire en bougies,St Domingue,2500,1000,Paris,livres,,0
66,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Comestibles divers,St Domingue,631,,,,,0
67,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Comestibles divers,Sénégal et Guinée,448,,,,,0
68,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,St Domingue,14831,22050,Normandie,livres,,0
69,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,St Domingue,2996,3525,Irlande,livres,,0
70,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,La Guadeloupe,5300,10500,Irlande,livres,,0
71,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,Sénégal et Guinée,5962,7014,Irlande,livres,,0
72,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,St Domingue,2391,3628,Bretagne,livres,,0
73,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,La Martinique,150,300,Bretagne,livres,,0
74,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,Sénégal et Guinée,302,605,Bretagne,livres,,0
75,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,St Domingue,1660,2400,Cherboug,livres,,0
76,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Beurre salé,La Martinique,1992,3320,Cherboug,livres,,0
77,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Biscuits,St Domingue,168,1400,Dieppe,livres,,0
78,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Biscuits,Sénégal et Guinée,144,2400,Rochefort,livres,,0
79,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Biscuits,St Domingue,8898,38700,Honfleur,livres,,0
80,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Biscuits,Sénégal et Guinée,7794,43300,Honfleur,livres,,0
81,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Biscuits,St Domingue,1160,6600,Cherboug,livres,,0
82,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,St Domingue,1800,12000,Dieppe,livres,,0
83,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,Sénégal et Guinée,880,4400,Bordeaux,livres,,0
