numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Calcul
88,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Riz,St Domingue,6468,23100,Hollande,livres,,0,
89,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Hardes de toutes sortes,Cayenne et Guyane,280,,,,,0,
90,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Hardes de toutes sortes,Sénégal et Guinée,969,,,,,0,
91,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Huile d'olive,Cayenne et Guyane,1000,500,Marseille,bouteilles,,0,
92,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fèves,Sénégal et Guinée,6400,32,Hollande,livres,,0,
93,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fèves,Sénégal et Guinée,9058,120780,Nantes,livres,,0,
94,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Pois secs,St Domingue,800,10000,Dol,livres,,0,
95,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Librairie,St Domingue,306,202,,volumes,,0,
96,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Librairie,Cayenne et Guyane,100,50,,volumes,,0,
97,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Linge de corps (chemises communes),St Domingue,23312,9352,Bretagne,en nombre,,0,
98,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Linge de corps (chemises communes),La Martinique,625,250,Bretagne,en nombre,,0,
99,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Chemises moins communes,St Domingue,3260,815,Bretagne,en nombre,,0,
100,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Chemises moins communes,Cayenne et Guyane,800,200,Bretagne,en nombre,,0,
101,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Chemises de toile de coton,St Domingue,150,30,St Malo,en nombre,,0,
102,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Linge de table,St Domingue,216,,,,,0,
103,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Linge de table,La Martinique,72,,,,,0,
104,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Liqueurs divers,Sénégal et Guinée,3200,1600,,pintes,,0,
105,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Anisette,Cayenne et Guyane,1032,"1,1944444444",Bordeaux,muids,,0,"1,1944444444"
107,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Anisette,Sénégal et Guinée,36000,12000,Bordeaux,pintes,,0,
108,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Marchandises diverses à la valeur,St Domingue,363,,,,,0,
109,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Marchandises diverses à la valeur,Cayenne et Guyane,502,,,,,0,
110,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Marchandises diverses à la valeur,Sénégal et Guinée,239,,,,,0,
111,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mercerie mêlée,Cayenne et Guyane,1995,,,,,0,
112,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Meubles divers,St Domingue,172,,,,,0,
113,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Meubles divers,Cayenne et Guyane,48,,,,,0,
114,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Miroirs,Sénégal et Guinée,480,,Hollande,,,0,
115,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mouchoirs mazulipatan,Sénégal et Guinée,288,12,Indes,pièces,,0,
116,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mouchoirs romals,Sénégal et Guinée,579,351,Indes,en nombre,,0,
117,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mouchoirs de traitte,Sénégal et Guinée,600,20,Indes,pièces,,0,
118,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mouchoirs pitre et fil,Sénégal et Guinée,699,233,Indes,en nombre,,0,
119,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Mouchoirs de traitte,Sénégal et Guinée,"155,3333",1802,Cholet,douzaines,,0,
120,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Nacre de perle,Sénégal et Guinée,250,25,Hollande,livres,,0,
121,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Ornements d'église,Sénégal et Guinée,500,,Paris,,,0,
122,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Ouvrages de cuir (bottes),Sénégal et Guinée,990,55,,paires,,0,
123,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Souliers de cuir pour hommes,St Domingue,372,93,St Malo,paires,,0,
124,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Souliers de cuir pour hommes,Cayenne et Guyane,600,150,St Malo,paires,,0,
125,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Souliers de cuir pour femmes,Cayenne et Guyane,207,65,St Malo,paires,,0,
126,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Ouvrages de modes,Cayenne et Guyane,84,,St Malo,,,0,
127,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Ouvrages en terre cuite (pipes),Cayenne et Guyane,120,20,Hollande,grosses,,0,
128,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Ouvrages en terre cuite (pipes),Sénégal et Guinée,117,"195,5",Hollande,grosses,,0,
129,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Papier commun,Cayenne et Guyane,152,78,Fougères,rames,,0,
130,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Papier peint,Cayenne et Guyane,46,2,Paris,rames,,1,
131,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Papier peint,Cayenne et Guyane,46,8,Paris,???,Unité illisible,2,
132,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Parasols,Sénégal et Guinée,840,40,Paris,en nombre,,0,
