numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Pistolets de traitte,Sénégal et Guinée,512,64,Étranger,paires,,0,
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Pistolets de maitre,St Domingue,252,7,,paires,,0,
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,St Domingue,14347,28694,Bretagne,livres,,0,16142
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,La Martinique,250,500,Bretagne,livres,,0,16142
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,La Guadeloupe,710,1420,Bretagne,livres,,0,16142
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,Cayenne et Guyanne,835,1670,Bretagne,livres,,0,16142
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,Sénégal et Guinée,3004,6009,Bretagne,livres,,0,
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,St Domingue,10552,21104,Étranger,livres,,0,15248
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,La Martinique,3850,7701,Étranger,livres,,0,15248
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,La Guadeloupe,846,1692,Étranger,livres,,0,15248
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Beurre salé,Sénégal et Guinée,6769,13538,Étranger,livres,,0,
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,St Domingue,9584,"154,5138888889",Étranger,muids,,1,19689
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,St Domingue,9584,17941,Étranger,bouteilles,,2,19689
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,La Martinique,9932,"100,9236111111",Étranger,muids,,1,19689
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,La Martinique,9932,12505,Étranger,bouteilles,,2,19689
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,Cayenne et Guyanne,173,432,Étranger,bouteilles,,0,19689
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,Sénégal et Guinée,1892,"33,8541666667",Étranger,muids,,1,
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bierre,Sénégal et Guinée,1892,1220,Étranger,bouteilles,,2,
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,St Domingue,13880,"208,3333333333",Bretagne,muids,,1,
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bierre,St Domingue,13880,13099,Bretagne,bouteilles,,2,
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bijouterie,St Domingue,6364,,Isle de France,,,0,6684
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bijouterie,La Guadeloupe,320,,Isle de France,,,0,6684
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Biscuit,St Domingue,31324,136194,Bretagne,livres,,0,38971
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Biscuit,La Martinique,4278,18600,Bretagne,livres,,0,38971
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Biscuit,La Guadeloupe,3254,14150,Bretagne,livres,,0,38971
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Biscuit,Cayenne et Guyanne,115,500,Bretagne,livres,,0,38971
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Biscuit,Sénégal et Guinée,83717,363973,Bretagne,livres,,0,
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois Merrain,St Domingue,51825,172750,Anjou,en nombre,,0,53625
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois Merrain,La Martinique,1800,6000,Anjou,en nombre,,0,53625
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois Merrain,Sénégal et Guinée,1200,4000,Anjou,en nombre,,0,
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois feuillard,St Domingue,227333,7008,Anjou,fournitures,,0,250529
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois feuillard,La Martinique,13350,373,Anjou,fournitures,,0,250529
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois feuillard,La Guadeloupe,9702,294,Anjou,fournitures,,0,250529
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois feuillard,Cayenne et Guyanne,144,4,Anjou,fournitures,,0,250529
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois feuillard,Sénégal et Guinée,1908,53,Anjou,fournitures,,0,
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois de charpente,St Domingue,3675,,,,Pas de quantité indiquée,0,
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois de chêne en lattes,St Domingue,167,8350,,en nombre,,0,
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois d'ozier,St Domingue,10148,259,Bretagne,fournitures,,0,11004
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois d'ozier,La Martinique,856,23,Bretagne,fournitures,,0,11004
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois de sapin en planches,St Domingue,11830,9100,Étranger,en nombre,,0,12623
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois de sapin en planches,La Martinique,793,610,Étranger,en nombre,,0,12623
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bois de sapin en planches,Sénégal et Guinée,1307,1082,Étranger,en nombre,,0,
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bonneterie de fil,St Domingue,1870,187,Touraine,livres,,0,
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de fil,St Domingue,31392,654,Bretagne,douzaines,,0,33312
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de fil,La Martinique,1920,40,Bretagne,douzaines,,0,33312
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bonneterie de laine fine,St Domingue,3000,200,Isle de France,livres,,0,
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bonet de grosse laine,Sénégal et Guinée,22430,2243,Étranger,douzaines,,0,
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de soye,La Guadeloupe,2132,29,Languedoc,douzaines,,0,
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de soye,St Domingue,14940,1245,Isle de France,paires,,0,
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de soye,St Domingue,750,75,Lyonnais,paires,,0,2190
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bas de soye,La Martinique,1440,144,Lyonnais,paires,,0,2190
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bray gras et goudron,St Domingue,1440,18720,Étranger,livres,,0,1860
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bray gras et goudron,Cayenne et Guyanne,420,5460,Étranger,livres,,0,1860
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Bray gras et goudron,Sénégal et Guinée,1000,13000,Étranger,livres,,0,
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Brosserie,St Domingue,70,885,Bretagne,livres,,0,
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Caffé,Sénégal et Guinée,3410,3100,Isle de France,livres,,0,
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Caves de 6 flacons,Sénégal et Guinée,33858,5643,Étranger,en nombre,,0,
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Caves de 6 flacons,Sénégal et Guinée,27440,3920,Bretagne,en nombre,,0,
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Cauris,Sénégal et Guinée,501691,334461,Indes,livres,,0,
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Cartes à jouer,St Domingue,2057,1143,Touraine,sizains,,0,
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chairs salées diverses,St Domingue,2329,,,,Pas de quantité indiquée,0,
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chairs salées diverses,Sénégal et Guinée,1134,,,,Pas de quantité indiquée,0,
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,St Domingue,69292,247472,Étranger,livres,,0,92400
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,La Martinique,17519,62569,Étranger,livres,,0,92400
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,La Guadeloupe,5337,19061,Étranger,livres,,0,92400
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,Cayenne et Guyanne,252,900,Étranger,livres,,0,92400
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,Sénégal et Guinée,61985,221374,Étranger,livres,,0,
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,St Domingue,3215,9214,Bretagne,livres,,0,
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,Sénégal et Guinée,1732,4950,Bretagne,livres,,0,
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,St Domingue,2502,7150,Guyenne,livres,,0,
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Bœuf salé,Sénégal et Guinée,10342,29550,Guyenne,livres,,0,
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,St Domingue,3857,5934,Bretagne,livres,,0,4279
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,La Guadeloupe,422,650,Bretagne,livres,,0,4279
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,Sénégal et Guinée,195,300,Bretagne,livres,,0,
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,St Domingue,5886,8408,Pays des Basques,livres,,0,7770
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,La Martinique,1470,2100,Pays des Basques,livres,,0,7770
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,La Guadeloupe,414,591,Pays des Basques,livres,,0,7770
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Jambon fumé,Sénégal et Guinée,315,450,Pays des Basques,livres,,0,
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Langues fourées,St Domingue,547,730,Bretagne,livres,,0,
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,St Domingue,19776,56504,Étranger,livres,,0,33951
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,La Martinique,14175,40500,Étranger,livres,,0,33951
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,Sénégal et Guinée,15354,43868,Étranger,livres,,0,
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,Sénégal et Guinée,3871,9678,Guyenne,livres,,0,
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,St Domingue,15779,37570,Bretagne,livres,,0,21176
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,La Martinique,1008,2400,Bretagne,livres,,0,21176
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,La Guadeloupe,4389,10450,Bretagne,livres,,0,21176
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard salé,Sénégal et Guinée,5284,12580,Bretagne,livres,,0,
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard à larder,St Domingue,2582,3227,Bretagne,livres,,0,
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Lard à larder,Sénégal et Guinée,144,180,Bretagne,livres,,0,
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Petit salé,St Domingue,26781,55794,Bretagne,livres,,0,27923
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Petit salé,La Martinique,278,580,Bretagne,livres,,0,27923
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Petit salé,Cayenne et Guyanne,864,1800,Bretagne,livres,,0,27923
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Petit salé,Sénégal et Guinée,5014,10503,Bretagne,livres,,0,
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de laines pour nègres,St Domingue,17539,"974,4166666667",Bretagne,douzaines,,0,24205
121,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de laines pour nègres,La Martinique,5706,317,Bretagne,douzaines,,0,24205
122,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de laines pour nègres,La Guadeloupe,195,"10,8333333333",Bretagne,douzaines,,0,24205
124,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de laines pour nègres,Cayenne et Guyanne,765,"42,5",Bretagne,douzaines,,0,24205
126,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de laines pour nègres,Sénégal et Guinée,23772,"1320,6666666667",Bretagne,douzaines,,0,
128,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de poil et laine,St Domingue,10908,151,Bretagne,douzaines,,0,
129,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de poil et laine,Sénégal et Guinée,100,10,Bretagne,en nombre,,0,
130,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de poil et laine,St Domingue,18816,2352,Isle de France,en nombre,,0,
131,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de poil et laine,Sénégal et Guinée,104,13,Isle de France,en nombre,,0,
132,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,19,Chapeaux de demi-castor,St Domingue,8400,560,Lyonnais,en nombre,,0,8580
