numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Leurvaleursubtotal_1
29,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de fil en bas,La Guadeloupe,2000,70,Flandres,douzaines,,0,2472
30,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de fil en bas,Tabago,48,1,Flandres,douzaines,,0,2472
31,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de fil et coton en bas,La Martinique,72,1,Flandres,douzaines,,0,
32,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de soye,La Guadeloupe,1590,"17,75",Lyon,douzaines,,0,
34,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bijouterie,La Guadeloupe,600,,Paris,,,0,
35,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Boutons de métal,Tabago,226,31,Angleterre,grosses,,0,
36,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,St Domingue,32695,100600,Irlande,livres,,0,259047
37,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,La Martinique,198143,578900,Irlande,livres,,0,259047
38,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,La Guadeloupe,9700,30000,Irlande,livres,,0,259047
39,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,Tabago,18509,56950,Irlande,livres,,0,259047
40,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,La Guadeloupe,28,65,Flandres,livres,,0,2031
41,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées bœuf,Tabago,2003,4500,Flandres,livres,,0,2031
42,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées jambon,Tabago,1485,2970,Angleterre,livres,,0,
43,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées jambon,St Domingue,300,600,Hollande,livres,,0,375
44,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées jambon,Tabago,75,150,Hollande,livres,,0,375
45,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées lard,St Domingue,15160,37900,Angleterre,livres,,0,84076
46,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées lard,La Martinique,56100,140250,Angleterre,livres,,0,84076
47,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chairs salées lard,Tabago,12816,32040,Angleterre,livres,,0,84076
48,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Charbon de terre,St Domingue,870,145,Angleterre,razières,,0,1140
49,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Charbon de terre,La Martinique,210,35,Angleterre,razières,,0,1140
50,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Charbon de terre,La Guadeloupe,60,10,Angleterre,razières,,0,1140
51,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chapeaux,La Martinique,2160,30,Lyon,douzaines,,0,2688
52,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chapeaux,La Guadeloupe,528,88,Lyon,en nombre,,0,2688
53,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chapeaux,Tabago,192,4,Artois,douzaines,,0,
54,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chaux vive,Tabago,39,26,Dunkerque,razières,,0,
55,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Chaux éteinte,Tabago,42,24,Dunkerque,razières,,0,
56,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Cires en bougie,Tabago,1100,650,Flandres,livres,,0,
57,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Cires à cacheter,La Martinique,150,15,Paris,livres,,0,
58,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Cordage,Tabago,7420,20900,Dunkerque,livres,,0,
59,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Coutellerie,St Domingue,60,30,Flandres,livres,,0,210
60,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Coutellerie,La Martinique,150,75,Flandres,livres,,0,210
61,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Couvertures de coton,La Martinique,1300,56,Lyon,en nombre,,0,
62,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Couvertures de laine pour nègre,Tabago,6161,940,Lyon,en nombre,,0,
63,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Carreaux de pierre à paver,St Domingue,1540,22000,Hollande,en nombre,,0,4830
64,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Carreaux de pierre à paver,La Martinique,2100,30000,Hollande,en nombre,,0,4830
65,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Carreaux de pierre à paver,La Guadeloupe,700,10000,Hollande,en nombre,,0,4830
66,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Carreaux de pierre à paver,Tabago,490,7000,Hollande,en nombre,,0,4830
67,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Cuivre doré,St Domingue,1200,805,Dunkerque,en nombre,,0,1440
68,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Cuivre doré,Tabago,240,160,Dunkerque,livres,,0,1440
69,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Cuivre doré,Tabago,30,20,Angleterre,livres,,0,
70,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Dentelle,St Domingue,2550,"3,1875",Flandres,livres,,0,
72,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Dentelle,La Martinique,1200,"1,5",Flandres,livres,,0,11950
73,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Dentelle,La Guadeloupe,1800,"2,25",Flandres,livres,,0,11950
74,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Dentelle,Tabago,6400,8,Flandres,livres,,0,11950
75,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Dentelle,La Martinique,2470,6,Hainaut,livres,,0,
76,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draps,Tabago,7808,1227,Angleterre,aunes,,0,
77,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draps,La Martinique,5080,222,Sedan,aunes,,0,9385
78,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draps,La Guadeloupe,4305,155,Sedan,aunes,,0,9385
79,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draps,St Domingue,1120,50,Abbeville,aunes,,0,7220
80,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draps,La Martinique,6100,234,Abbeville,aunes,,0,7220
81,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Draperie petite,St Domingue,2600,452,Abbeville,aunes,,0,
82,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Drogue médicinale en rhubarbe composée,La Martinique,760,,Flandres,,Doute sur la marchandise,0,
83,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Drogue médicinale en rhubarbe composée,Tabago,8010,6660,Angleterre,livres,Doute sur la marchandise,0,
84,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Drogue médicinale en rhubarbe composée,Tabago,1820,1645,Dunkerque,livres,Doute sur la marchandise,0,
85,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Drogue de peinture en ocre rouge,St Domingue,280,6000,Hollande,livres,,0,
86,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes fil en laine,Tabago,488,122,Amiens,aunes,,0,
87,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes en velours d'utrecht,La Martinique,120,30,Flandres,aunes,,0,
88,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes de laine,La Martinique,3000,10,Picardie,pièces,,0,
89,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes de laine,La Guadeloupe,1020,331,Picardie,aunes,,0,
90,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes en flanelle,Tabago,245,128,Angleterre,aunes,,0,
91,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes en pluche pour nègres,Tabago,13600,7525,Angleterre,aunes,,0,
92,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes en étamine,La Guadeloupe,4000,1355,Reims,aunes,,0,
93,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes de soye,St Domingue,1630,163,Lyon,aunes,,0,
94,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Etoffes de soye et dorure,St Domingue,300,"6,5",Lyon,aunes,,0,
95,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Eaux de vie,Tabago,1960,"13,6111111111",Flandres,muids,,0,
97,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Eaux de vie,Tabago,400,"2,7777777778",Charente,muids,,0,
99,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Eaux de senteur,Tabago,150,18,Flandres,muids,,0,
100,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,St Domingue,361,2066,Flandres,livres,,0,
101,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,La Martinique,4183,23900,Flandres,livres,,0,
102,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,Tabago,4285,24494,Flandres,livres,,0,
103,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,St Domingue,4183,23900,Artois,livres,,0,17203
104,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,La Martinique,10675,61000,Artois,livres,,0,17203
105,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,La Guadeloupe,2275,13000,Artois,livres,,0,17203
106,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,Tabago,70,400,Artois,livres,,0,17203
107,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,Tabago,5950,34000,Le Havre,livres,,0,
108,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,St Domingue,1050,6000,Dunkerque,livres,,0,11043
109,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,La Martinique,7875,45000,Dunkerque,livres,,0,11043
110,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,La Guadeloupe,1838,10500,Dunkerque,livres,,0,11043
111,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine de froment,Tabago,280,1600,Dunkerque,livres,,0,11043
112,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Farine d'avoine,Tabago,35,200,Dunkerque,livres,,0,
113,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Fer coulé en chaudière,La Martinique,4540,22700,Hainaut,livres,,0,
114,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Fer coulé en chaudière,Tabago,1546,5200,Angleterre,livres,,0,
115,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,26,Fer en barres,La Martinique,300,1000,Flandres,livres,,0,
