numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
58,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de laine,Sénégal et Guinée,,2232,,,,0,32
59,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de soye,St Domingue,,297838,,336763,,0,336763
60,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de soye,La Martinique,,16176,,,,0,336763
61,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de soye,La Guadeloupe,,22461,,,,0,336763
62,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de soye,Cayenne et Guyanne,,288,,,,0,336763
63,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de soye,Sénégal et Guinée,,1440,,,,0,336763
64,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boucaniers,St Domingue,13104,624,nombre,,,0,19488
65,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boucaniers,La Martinique,4032,192,nombre,,,0,19488
66,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boucaniers,La Guadeloupe,2016,96,nombre,,,0,19488
67,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boucaniers,Cayenne et Guyanne,336,16,nombre,,,0,19488
68,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boucaniers,Sénégal et Guinée,1260,60,nombre,,,0,19488
69,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boutons divers,St Domingue,3482,,,3602,,0,3602
70,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Boutons divers,La Guadeloupe,120,,,,,0,3602
71,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bray en goudrons,St Domingue,32983,371450,livres,52226,,0,52226
72,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bray en goudrons,La Martinique,15685,182450,livres,,,0,52226
73,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bray en goudrons,La Guadeloupe,3118,34900,livres,,,0,52226
74,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bray en goudrons,Cayenne et Guyanne,440,5000,livres,,,0,52226
75,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bray en goudrons,Sénégal et Guinée,9705,32355,livres,,,0,52226
76,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Caisse a finance,St Domingue,3300,19,nombre,3500,,0,3500
77,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Caisse a finance,La Martinique,200,1,nombre,,,0,3500
78,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Caractères à imprimerie,St Domingue,2000,,,,,0,2000
79,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cartes à jouer,St Domingue,35543,10710,sizains,46472,,0,46472
80,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cartes à jouer,La Martinique,2851,364,sizains,,,0,46472
81,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cartes à jouer,La Guadeloupe,5227,1584,sizains,,,0,46472
82,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cartes à jouer,Cayenne et Guyanne,2851,864,sizains,,,0,46472
83,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cartes à jouer,Sénégal et Guinée,2851,864,sizains,,,0,46472
84,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cauris,Sénégal et Guinée,97106,80921,livres,,,0,97106
85,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cendres potasse,St Domingue,2900,5800,milliers,,,0,2900
86,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; divers,St Domingue,1782,,nombre,,,0,1782
87,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; divers,Sénégal et Guinée,42,,nombre,,,0,1782
88,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; demi castor,St Domingue,66021,5502,nombre,80541,,0,80544
89,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; demi castor,La Martinique,6492,541,nombre,,,0,80544
90,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; demi castor,La Guadeloupe,8028,669,nombre,,,0,80544
91,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; demi castor,Sénégal et Guinée,2340,780,nombre,,,0,80544
92,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de laine,St Domingue,32562,10854,nombre,39807,,0,39807
93,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de laine,La Martinique,1152,384,nombre,,,0,39807
94,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de laine,La Guadeloupe,3951,1767,nombre,,,0,39807
95,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de laine,Cayenne et Guyanne,2142,714,nombre,,,0,39807
96,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de laine,Sénégal et Guinée,2340,7080,nombre,,,0,39807
97,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; poil et laine,St Domingue,151344,25224,nombre,181230,,0,181230
98,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; poil et laine,La Martinique,12012,2002,nombre,,,0,181230
99,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; poil et laine,La Guadeloupe,17154,2859,nombre,,,0,181230
100,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; poil et laine,Cayenne et Guyanne,720,120,nombre,,,0,181230
101,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; poil et laine,Sénégal et Guinée,3462,577,nombre,,,0,181230
102,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; à nègres,St Domingue,3162,3162,nombre,3234,,0,3234
103,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; à nègres,La Guadeloupe,72,72,nombre,,Le pdf donne aussi la quantité en livres,0,3234
104,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; à nègres,Sénégal et Guinée,252,252,nombre,,Le pdf donne aussi la quantité en livres,0,3234
105,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de paille,St Domingue,9504,198,douzaines,11640,Le pdf donne aussi la quantité en livres,0,11640
106,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de paille,La Martinique,648,"13,5",douzaines,,Le pdf donne aussi la quantité en livres,0,11640
107,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de paille,La Guadeloupe,1008,21,douzaines,,Le pdf donne aussi la quantité en livres,0,11640
108,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Chapeaux ; de paille,Cayenne et Guyanne,480,10,douzaines,,Le pdf donne aussi la quantité en livres,0,11640
109,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Charbon de terre,St Domingue,5040,336000,livres,5400,,0,5580
110,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Charbon de terre,La Martinique,360,24000,livres,,,0,5580
111,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Charbon de terre,Sénégal et Guinée,6120,408000,livres,,,0,5580
112,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cire en bougie,St Domingue,143604,52465,livres,163981,,0,163981
113,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cire en bougie,La Martinique,12609,4626,livres,,Le pdf donne aussi la quantité en livres,0,163981
114,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cire en bougie,La Guadeloupe,6891,2499,livres,,Le pdf donne aussi la quantité en livres,0,163981
115,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cire en bougie,Cayenne et Guyanne,877,325,livres,,Le pdf donne aussi la quantité en livres,0,163981
116,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Cire en bougie,Sénégal et Guinée,1377,510,livres,,Le pdf donne aussi la quantité en livres,0,163981
117,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Coffres de chirurgie,St Domingue,31200,156,nombre,45800,Le pdf donne aussi la quantité en livres,0,45800
118,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Coffres de chirurgie,La Martinique,9000,48,nombre,,,0,45800
119,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Coffres de chirurgie,La Guadeloupe,4800,24,nombre,,,0,45800
120,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Coffres de chirurgie,Cayenne et Guyanne,800,4,nombre,,,0,45800
121,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Coffres de chirurgie,Sénégal et Guinée,3000,15,nombre,,,0,45800
122,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; divers,St Domingue,147455,,,207920,,0,207920
123,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; divers,La Martinique,34269,,,,,0,207920
124,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; divers,La Guadeloupe,23514,,,,,0,207920
125,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; divers,Cayenne et Guyanne,2682,,,,,0,207920
