numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Leurvaleursubtotal_1
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chairs salées diverses,Sénégal et Guinée,1812,,Guyenne,,Pas de quantité indiquée,0,
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bœuf salé,St Domingue,3620,9600,Étranger,livres,,0,
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bœuf salé,Sénégal et Guinée,8964,22410,Étranger,livres,,0,
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Jambon,St Domingue,333,550,Normandie,livres,,0,
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Jambon,Sénégal et Guinée,641,730,Étranger,livres,,0,
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Lard salé,St Domingue,4157,8966,Étranger,livres,,0,
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Lard salé,Sénégal et Guinée,3400,10021,Étranger,livres,,0,
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Lard salé,St Domingue,1800,6000,Normandie,livres,,0,
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Farine,St Domingue,200,800,Normandie,livres,,0,
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Farine,Sénégal et Guinée,1480,7400,Normandie,livres,,0,
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fromages divers,St Domingue,1345,2650,Étranger,livres,,0,
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fromages divers,Sénégal et Guinée,1074,1040,Étranger,livres,,0,
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Graines comestibles ris,Sénégal et Guinée,9131,37005,,livres,,0,
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chapeaux de castor,St Domingue,1400,7,Normandie,douzaines,,0,
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chapeaux demis castor,St Domingue,4100,"19,5",Normandie,douzaines,,0,
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chapeaux de laine,Sénégal et Guinée,1492,518,Étranger,en nombre,,0,
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chapeaux de laine,St Domingue,2600,880,Normandie,en nombre,,0,
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chapeaux de laine,Sénégal et Guinée,450,300,Normandie,en nombre,,0,
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Charbon de terre,St Domingue,340,95,Angleterre,barils,,0,
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Charbon de terre,Sénégal et Guinée,4950,1250,Angleterre,barils,,0,
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cire en bougies,St Domingue,500,200,Normandie,livres,,0,
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Corail faux,Sénégal et Guinée,800,400,Étranger,livres,,0,
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cordages,St Domingue,950,2100,,livres,,0,
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cordages,Sénégal et Guinée,3125,7500,,livres,,0,
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Coutellerie,Sénégal et Guinée,8697,,Étranger,,,0,
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Couvertures diverses,St Domingue,700,,,,Pas de quantité indiquée,0,
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Crin frise,St Domingue,500,500,,livres,,0,
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cuivre potin ouvré,St Domingue,2500,9751,,livres,,0,
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cuivre en feuille,Sénégal et Guinée,1711,1426,Étranger,livres,,0,
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Dentelles de fil,St Domingue,7000,6,Flandres,livres,,0,
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Dentelles de fil,Sénégal et Guinée,450,75,Carcassonne,aunes,,0,
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Drap,Sénégal et Guinée,1095,"111,5",Étranger,aunes,,0,
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Drap,Sénégal et Guinée,1272,212,,aunes,,0,
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Drogues pour la médecine,St Domingue,350,,,,Pas de quantité indiquée,0,
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Drogues pour la peinture,St Domingue,200,,,,Pas de quantité indiquée,0,
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Etain ouvré,Sénégal et Guinée,3260,3260,Étranger,livres,,0,
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Etoffes de coton,Sénégal et Guinée,440,,Normandie,,Pas de quantité indiquée,0,
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Etoffes de laine,Sénégal et Guinée,1210,440,Étranger,aunes,,0,
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Etoffes mêlées,Sénégal et Guinée,1006,,Normandie,,Pas de quantité indiquée,0,
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Etoupes,St Domingue,108,,,,Pas de quantité indiquée,0,
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fayence,St Domingue,11590,,Normandie,,Pas de quantité indiquée,0,
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fayence,Sénégal et Guinée,670,,Normandie,,Pas de quantité indiquée,0,
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fayence,St Domingue,4000,,Normandie,,Pas de quantité indiquée,0,
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en barres,St Domingue,640,3200,Normandie,livres,,0,
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en barres,Sénégal et Guinée,1673,9820,Normandie,livres,,0,
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en barres,St Domingue,6000,22414,Étranger,livres,,0,
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en barres,Sénégal et Guinée,6615,34325,Étranger,livres,,0,
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en ancres,St Domingue,978,2174,,livres,,0,
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en ancres,Sénégal et Guinée,623,1385,,livres,,0,
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer ouvré,St Domingue,830,830,,,,0,
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en clous,St Domingue,6750,14300,Normandie,livres,,0,
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fer en marmite,St Domingue,3340,20515,,livres,,0,
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fil de lin à coudre,St Domingue,2250,812,Flandres,livres,,0,
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fil de lin à coudre,St Domingue,310,200,Normandie,livres,,0,
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fil à voiles,St Domingue,100,100,Amiens,livres,,0,
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Fruits divers confits,Sénégal et Guinée,590,,Amiens,,Pas de quantité indiquée,0,
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Futailles vides,St Domingue,625,85,Normandie,en nombre,,0,
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Futailles vides,Sénégal et Guinée,870,1120,Normandie,douzaines,,0,
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Gants de peau,St Domingue,350,12,,,,0,
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Gaze de soye,St Domingue,600,,Valenciennes,,Pas de quantité indiquée,0,
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Glaces,St Domingue,450,120,,livres,,0,
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Habillements divers,St Domingue,920,,,,Pas de quantité indiquée,0,
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Habillements divers,Sénégal et Guinée,1800,,,,Pas de quantité indiquée,0,
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Horlogerie,St Domingue,400,,,,Pas de quantité indiquée,0,
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Huile de lin,St Domingue,112,250,,livres,,0,
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Huile d'olive,St Domingue,4669,4669,Italie,livres,,0,
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Légumes en fèves,Sénégal et Guinée,1280,12400,Normandie,livres,,0,
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Légumes en fèves,Sénégal et Guinée,5685,64900,Étranger,livres,,0,
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Légumes pois,St Domingue,1885,21250,Normandie,livres,,0,
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Légumes pois,Sénégal et Guinée,130,1000,Normandie,livres,,0,
