numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantity_unit,remarks,doubleaccounts
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Cauris,Sénégal et Guinée,79159,,Pas d'unité indiquée,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chapeaux divers communs,St Domingue,10423,en nombre,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chapeaux divers communs,La Guadeloupe,2132,en nombre,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chapeaux divers communs,Sénégal et Guinée,6832,en nombre,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles divers,St Domingue,2701,,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles divers,La Guadeloupe,1240,,,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles divers,Sénégal et Guinée,1950,,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles beurre,St Domingue,4349,livres,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles beurre,Sénégal et Guinée,4284,livres,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles bière,St Domingue,1440,muids,,0
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles bière,La Guadeloupe,432,muids,,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles bière,Sénégal et Guinée,72,muids,,0
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles farine,St Domingue,510,livres,,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles farine,Sénégal et Guinée,2040,livres,,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Comestibles ris,Sénégal et Guinée,7750,livres,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chairs salées bœuf salé,La Guadeloupe,315,livres,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chairs salées bœuf salé,Sénégal et Guinée,4200,livres,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chairs salées lard salé,St Domingue,2265,livres,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chairs salées lard salé,La Guadeloupe,1140,livres,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Chairs salées lard salé,Sénégal et Guinée,3510,livres,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Corail ouvré,Sénégal et Guinée,4137,,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Cordages,St Domingue,16200,livres,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Cuivre ouvré,St Domingue,294,,,0
36,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Cuivre ouvré,Sénégal et Guinée,3120,,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Drap de Carcassonne,Sénégal et Guinée,1050,aunes,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Eau de vie simple,St Domingue,600,muids,,0
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Eau de vie simple,Sénégal et Guinée,36012,muids,,0
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Etoffes diverses,St Domingue,24,aunes,,0
43,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Etoffes diverses,Sénégal et Guinée,12996,aunes,,0
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fayence,St Domingue,12329,,,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fayence,Sénégal et Guinée,600,,,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fer en barres,St Domingue,800,livres,,0
47,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fer en barres,La Guadeloupe,1146,livres,,0
48,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fer en barres,Sénégal et Guinée,3164,livres,,0
49,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fer en ancres,St Domingue,3362,livres,,0
50,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fer en clous,St Domingue,3744,livres,,0
51,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Fil à coudre,St Domingue,3232,livres,,0
52,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Hardes diverses,St Domingue,774,,,0
53,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Hardes diverses,Sénégal et Guinée,648,,,0
54,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Huile de lin,St Domingue,1408,livres,,0
55,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Légumes en fèves pois,St Domingue,1632,livres,,0
56,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Légumes en fèves pois,Sénégal et Guinée,169000,livres,,0
57,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Lingerie en chemises,St Domingue,20988,en nombre,,0
58,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Lingerie en chemises,La Guadeloupe,1000,en nombre,,0
59,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Lingerie en chemises,Sénégal et Guinée,2530,en nombre,,0
60,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Liqueurs,Sénégal et Guinée,1428,bouteilles,,0
61,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Marchandises à la valeur,St Domingue,5081,,,0
62,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Marchandises à la valeur,La Guadeloupe,768,,,0
63,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Marchandises à la valeur,Sénégal et Guinée,5266,,,0
64,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Mouchoirs des Indes,St Domingue,40,,,0
65,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Mouchoirs des Indes,Sénégal et Guinée,1440,pièces,,0
66,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Mouchoirs de fil de ??? de Cholet et ???,St Domingue,120,douzaines,,0
67,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Mouchoirs de fil de ??? de Cholet et ???,Sénégal et Guinée,29392,pièces,,0
68,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Mouchoirs de fil de ??? de Cholet et ???,Sénégal et Guinée,29392,douzaines,,0
69,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Ouvrages en terre cuite,St Domingue,2999,,,0
70,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Ouvrages en terre cuite,La Guadeloupe,1750,,,0
71,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Parasols,Sénégal et Guinée,1575,en nombre,,0
72,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Pipes à fumer,St Domingue,450,grosses,,0
73,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Pipes à fumer,Sénégal et Guinée,9030,grosses,,0
74,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Poisson salé en morue sèche,St Domingue,2745,livres,,0
75,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Poisson salé en morue sèche,La Guadeloupe,7524,livres,,0
76,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Poudre de traite,St Domingue,1038,livres,,0
77,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Poudre de traite,Sénégal et Guinée,8144,livres,,0
78,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Sac vides,St Domingue,6161,en nombre,,0
79,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Tabac de la ferme,St Domingue,69,balles,,0
80,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Tabac de la ferme,Sénégal et Guinée,1376,balles,,1
81,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Tabac de la ferme,Sénégal et Guinée,1376,livres,,2
82,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles des indes du commerce français,Sénégal et Guinée,32521,pièces,,1
83,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles des indes du commerce français,Sénégal et Guinée,32521,aunes,,2
84,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles des indes du commerce étranger,Sénégal et Guinée,69822,pièces,,0
85,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles indiennes ???,Sénégal et Guinée,9300,pièces,Marchandise illisible,1
86,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles indiennes ???,Sénégal et Guinée,9300,aunes,Marchandise illisible,2
87,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles divers de Bretagne,St Domingue,172779,aunes,,0
88,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles divers de Bretagne,La Guadeloupe,13380,aunes,,0
89,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles divers de Bretagne,Sénégal et Guinée,9824,aunes,,0
90,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles coutil,St Domingue,800,aunes,,0
91,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles coutil,Sénégal et Guinée,7952,aunes,,0
92,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles siamoise,Sénégal et Guinée,22135,pièces,,0
93,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles siamoise,Sénégal et Guinée,22135,aunes,,0
94,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles à voiles,St Domingue,15926,aunes,,0
95,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Toiles à voiles,La Guadeloupe,1325,aunes,,0
96,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Ustensiles pour la pêche,St Domingue,2877,,,0
97,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Vins divers,St Domingue,17184,muids,,0
99,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Vins divers,Sénégal et Guinée,13465,muids,,1
101,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,32,Vins divers,Sénégal et Guinée,13465,bouteilles,,2
