numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en lard,La Guadeloupe,2231,3719,Marseille,livres,,0,24610
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en lard,Cayenne et Guyanne,1127,1879,Marseille,livres,,0,24610
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Salaisons,St Domingue,378,378,Marseille,livres,,0,642
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Salaisons,La Martinique,264,264,Marseille,livres,,0,642
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Salaisons,Sénégal et Guinée,1200,1200,Marseille,livres,,0,
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Saucissons,St Domingue,81685,54457,Marseille,livres,,0,138897
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Saucissons,La Martinique,45625,30417,Marseille,livres,,0,138897
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Saucissons,La Guadeloupe,9567,6378,Marseille,livres,,0,138897
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Saucissons,Cayenne et Guyanne,2020,1347,Marseille,livres,,0,138897
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Saucissons,Sénégal et Guinée,120,80,Marseille,livres,,0,
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Chocolat,St Domingue,11574,5787,Marseille,livres,,0,14630
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Chocolat,La Martinique,920,460,Marseille,livres,,0,14630
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Chocolat,La Guadeloupe,2136,1068,Marseille,livres,,0,14630
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cire en bougie et cierge,St Domingue,83338,30305,Marseille,livres,,0,176062
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cire en bougie et cierge,La Martinique,66465,24242,Marseille,livres,,0,176062
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cire en bougie et cierge,La Guadeloupe,25764,9369,Marseille,livres,,0,176062
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cire en bougie et cierge,Cayenne et Guyanne,495,180,Marseille,livres,,0,176062
120,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cire blanche en pain,St Domingue,640,320,Marseille,livres,,0,
121,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Colle de poisson,St Domingue,250,50,Étranger,livres,,0,
122,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Colle forte,La Martinique,146,324,Étranger,livres,,0,
123,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Corail ouvré,St Domingue,556,,Marseille,,Pas de quantité indiquée,0,856
124,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Corail ouvré,Cayenne et Guyanne,300,,Marseille,,Pas de quantité indiquée,0,856
125,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Corail ouvré,Sénégal et Guinée,13700,,Marseille,,Pas de quantité indiquée,0,
126,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,41,Cordage de chanvre,St Domingue,5967,14918,Marseille,livres,,0,33583
