numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,La Martinique,5550,"77,0833333333",Étranger,muids,,,0,63970
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,La Guadeloupe,300,"4,1666666667",Étranger,muids,,,0,63970
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,Sénégal et Guinée,1465,"11,1111111111",Étranger,muids,,,1,
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,Sénégal et Guinée,1465,1330,Étranger,bouteilles,,,2,
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,St Domingue,188975,,Isle de France,,,Pas de quantité indiquée,0,192399
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,La Martinique,2900,,Isle de France,,,Pas de quantité indiquée,0,192399
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,La Guadeloupe,500,,Isle de France,,,Pas de quantité indiquée,0,192399
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,Cayenne et Guyanne,24,,Isle de France,,,Pas de quantité indiquée,0,192399
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,Sénégal et Guinée,8400,,Isle de France,,,Pas de quantité indiquée,0,
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bijouterie,St Domingue,8420,,Languedoc,,,Pas de quantité indiquée,0,8420
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Biscuits,St Domingue,48465,323100,Guyenne,livres,,,0,59287
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Biscuits,La Martinique,4597,30650,Guyenne,livres,,,0,59287
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Biscuits,La Guadeloupe,3525,23500,Guyenne,livres,,,0,59287
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Biscuits,Cayenne et Guyanne,2700,18000,Guyenne,livres,,,0,59287
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Biscuits,Sénégal et Guinée,21705,144700,Guyenne,livres,,,0,
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois en avirons,Sénégal et Guinée,840,120,Guyenne,en nombre,,,0,
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches,St Domingue,25800,8600,Étranger,en nombre,,,0,36336
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches,La Martinique,6600,2200,Étranger,en nombre,,,0,36336
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches,La Guadeloupe,3000,1000,Étranger,en nombre,,,0,36336
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches,Cayenne et Guyanne,936,312,Étranger,en nombre,,,0,36336
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches,Sénégal et Guinée,4200,1400,Étranger,en nombre,,,0,
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches communes,St Domingue,1692,4700,Angoumois,en nombre,,,0,2196
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches communes,La Martinique,252,700,Angoumois,en nombre,,,0,2196
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de sapin en planches communes,La Guadeloupe,252,700,Angoumois,en nombre,,,0,2196
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de pin en planches,St Domingue,9567,12756,Guyenne,en nombre,,,0,11502
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de pin en planches,La Martinique,1521,2028,Guyenne,en nombre,,,0,11502
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de pin en planches,La Guadeloupe,414,552,Guyenne,en nombre,,,0,11502
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de merrain,St Domingue,11639,5173,Guyenne,en nombre,,,0,11864
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de merrain,La Guadeloupe,225,100,Guyenne,en nombre,,,0,11864
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de merrain,St Domingue,6800,34000,Étranger,en nombre,,,0,34000
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de merrain,Sénégal et Guinée,70000,35000,Étranger,en nombre,,,0,
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois d'ozier,St Domingue,10605,2121,Guyenne,milliers,,,0,13255
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois d'ozier,La Martinique,1650,330,Guyenne,milliers,,,0,13255
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois d'ozier,La Guadeloupe,800,160,Guyenne,milliers,,,0,13255
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois d'ozier,Cayenne et Guyanne,200,40,Guyenne,milliers,,,0,13255
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois d'ozier,Sénégal et Guinée,1050,210,Guyenne,milliers,,,0,
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,St Domingue,124208,31052,Guyenne,faix,,,0,154824
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Martinique,17128,4282,Guyenne,faix,,,0,154824
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Guadeloupe,11856,2964,Guyenne,faix,,,0,154824
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,Cayenne et Guyanne,1632,408,Guyenne,faix,,,0,154824
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,Sénégal et Guinée,8800,2200,Guyenne,faix,,,0,
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,St Domingue,23576,5894,Pays d'Aunis,faix,,,0,
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,St Domingue,12328,3082,Bretagne,faix,,,0,19820
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Martinique,7492,1873,Bretagne,faix,,,0,19820
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,St Domingue,19668,4917,Languedoc,faix,,,0,23284
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Martinique,2960,740,Languedoc,faix,,,0,23284
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Guadeloupe,656,164,Languedoc,faix,,,0,23284
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,St Domingue,7468,1867,Pays des Basques,faix,,,0,12832
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Martinique,1764,441,Pays des Basques,faix,,,0,12832
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bois de feuillard,La Guadeloupe,3600,900,Pays des Basques,faix,,,0,12832
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de coton en bonets,St Domingue,70,7,Normandie,douzaines,,,0,
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de coton,La Guadeloupe,204,,Bourgogne,,,Pas de quantité indiquée,0,
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de coton en bas,St Domingue,4320,120,Bretagne,douzaines,,,0,4680
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de coton en bas,La Guadeloupe,360,10,Bretagne,douzaines,,,0,4680
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,St Domingue,1008,28,Flandres,douzaines,,,0,
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,St Domingue,7560,210,Bourgogne,douzaines,,,0,7992
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,La Guadeloupe,432,12,Bourgogne,douzaines,,,0,7992
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,St Domingue,3456,96,Bretagne,douzaines,,,0,3708
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,La Martinique,108,3,Bretagne,douzaines,,,0,3708
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en gants,La Guadeloupe,144,4,Bretagne,douzaines,,,0,3708
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,St Domingue,43584,1816,Bourgogne,douzaines,,,0,48732
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,La Martinique,1956,81,Bourgogne,douzaines,,,0,48732
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,La Guadeloupe,2688,112,Bourgogne,douzaines,,,0,48732
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,Cayenne et Guyanne,504,21,Bourgogne,douzaines,,,0,48732
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,Sénégal et Guinée,240,10,Bourgogne,douzaines,,,0,
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,St Domingue,1848,77,Mame,douzaines,,Doute sur l'origine,0,
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bonneterie de fil en bas,St Domingue,7176,299,Bretagne,douzaines,,,0,8736
