numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
48,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de fil en bas,St Domingue,3030,1212,Gènes,pièces,,0
49,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de fil en bas,La Martinique,2460,984,Gènes,pièces,,0
50,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,St Domingue,11778,3365,Nîmes,pièces,,0
51,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,La Martinique,2604,744,Nîmes,pièces,,0
52,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,Sénégal,504,144,Nîmes,pièces,,0
53,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,St Domingue,6093,1354,Marseille,pièces,,0
54,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,La Martinique,1728,384,Marseille,pièces,,0
55,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de fil,Isle de France et de Bourbon,1998,444,Marseille,pièces,,0
56,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de filozelle en bas,St Domingue,210,,Nîmes,,,0
57,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de filozelle en bas,La Martinique,92,,Nîmes,,,0
58,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de laine en bas,St Domingue,144,72,Nîmes,pièces,,0
59,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de laine en bas,La Martinique,144,72,Nîmes,pièces,,0
60,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonnet de laine,St Domingue,20,10,Castres,en nombre,,0
61,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonnet de laine,La Martinique,144,72,Castres,en nombre,,0
62,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonnet de laine,Sénégal,5240,2670,Castres,en nombre,,0
63,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de soye (en bas),St Domingue,144,12,Lyon,pièces,,0
64,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,St Domingue,24566,2048,Marseille,pièces,,0
65,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Martinique,23844,1987,Marseille,pièces,,0
66,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Guadeloupe,288,24,Marseille,pièces,,0
67,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,Cayenne et Guyanne,1728,144,Marseille,pièces,,0
68,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,Isle de France et de Bourbon,4248,354,Marseille,pièces,,0
69,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,St Domingue,40851,4529,Ganges,pièces,,0
70,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Martinique,27416,2678,Ganges,pièces,,0
71,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Guadeloupe,2784,348,Ganges,pièces,,0
72,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,St Domingue,4800,480,St Hypolite,pièces,,0
73,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,Isle de France et de Bourbon,2940,294,St Hypolite,pièces,,0
74,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,St Domingue,29200,3750,Nîmes,pièces,,0
75,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Martinique,27416,3427,Nîmes,pièces,,0
76,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,La Guadeloupe,2784,348,Nîmes,pièces,,0
77,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,Sénégal,288,36,Nîmes,pièces,,0
78,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de soye,Isle de France et de Bourbon,9360,1170,Nîmes,pièces,,0
79,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Gants de soye,St Domingue,1220,305,Nîmes,pièces,,0
80,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Gants de soye,La Martinique,96,24,Nîmes,pièces,,0
81,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bray,St Domingue,1743,19370,Arles,livres,,0
82,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bray,Cayenne et Guyanne,54,600,Arles,livres,,0
83,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bray,Isle de France et de Bourbon,391,4350,Arles,livres,,0
84,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bray,St Domingue,726,8070,Provence,livres,,0
85,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bray,La Martinique,878,9760,Provence,livres,,0
86,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Goudron,La Guadeloupe,30,300,Suède,livres,,0
87,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Goudron,Isle de France et de Bourbon,566,5660,Suède,livres,,0
88,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Cendres soude,St Domingue,4557,15190,Espagne,livres,,0
89,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Cendres soude,La Martinique,24,89,Espagne,livres,,0
90,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de castor,St Domingue,150,6,Paris,en nombre,,0
91,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de castor,La Martinique,30,1,Paris,en nombre,,0
92,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux demi-castor,St Domingue,2808,156,Marseille,en nombre,,0
93,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux demi-castor,La Martinique,1512,84,Marseille,en nombre,,0
94,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux demi-castor,Isle de France et de Bourbon,756,42,Marseille,en nombre,,0
95,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux demi-castor,St Domingue,1836,102,Lyon,en nombre,,0
96,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,St Domingue,31020,5170,Marseille,en nombre,,0
97,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,La Martinique,10296,1716,Marseille,en nombre,,0
98,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,Cayenne et Guyanne,288,48,Marseille,en nombre,,0
99,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,Sénégal,2880,480,Marseille,en nombre,,0
100,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,Isle de France et de Bourbon,3864,644,Marseille,en nombre,,0
101,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de laine,St Domingue,16776,2796,Lyon,en nombre,,0
102,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,St Domingue,931986,103554,Marseille,en nombre,,0
103,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,La Martinique,332334,36296,Marseille,en nombre,,0
104,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,La Guadeloupe,37692,4188,Marseille,en nombre,,0
105,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,Cayenne et Guyanne,20952,2328,Marseille,en nombre,,0
106,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,Isle de France et de Bourbon,15444,1716,Marseille,en nombre,,0
107,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,St Domingue,104211,11579,Lyon,en nombre,,0
108,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,La Martinique,24354,2706,Lyon,en nombre,,0
109,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,La Guadeloupe,3996,444,Lyon,en nombre,,0
110,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,Isle de France et de Bourbon,8532,948,Lyon,en nombre,,0
111,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux poil en laine,La Guadeloupe,1944,216,Angleterre,en nombre,,0
112,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de paille,La Martinique,310,155,Lyon,en nombre,,0
113,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de paille,St Domingue,2892,1446,Livourne,en nombre,,0
114,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de paille,La Martinique,2472,1236,Livourne,en nombre,,0
115,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Chapeaux de paille,La Guadeloupe,434,217,Livourne,en nombre,,0
116,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Chairs salées diverses,St Domingue,240,,,,,0
117,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Chairs salées diverses,La Martinique,700,,,,,0
118,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,St Domingue,46738,155799,Irlande,livres,,0
119,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,La Martinique,13887,46293,Irlande,livres,,0
120,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,La Guadeloupe,1386,4620,Irlande,livres,,0
121,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,Cayenne et Guyanne,300,1000,Irlande,livres,,0
122,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,Sénégal,7985,26617,Irlande,livres,,0
123,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Boeuf salé,Isle de France et de Bourbon,10134,33784,Irlande,livres,,0
124,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,St Domingue,227,421,Marseille,livres,,0
125,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,St Domingue,11020,20408,Irlande,livres,,0
126,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,La Martinique,6598,12218,Irlande,livres,,0
127,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,La Guadeloupe,702,1300,Irlande,livres,,0
128,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,Cayenne et Guyanne,1031,1910,Irlande,livres,,0
129,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,54,Cochon salé,Sénégal,1269,2350,Irlande,livres,,0
