numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,leurvaleursubtotal_1
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bêtes de somme,Possessions hollandaises,252500,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2534788
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bêtes de somme,Possessions portugaises,6898,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2534788
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bœuf salé,Possessions des Etats unis de l'Amérique,315672,,,Articles de marchandises permis par l'arrêt du 30 août 1784,453824
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bœuf salé,Possessions anglaises,94402,,,Articles de marchandises permis par l'arrêt du 30 août 1784,453824
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bœuf salé,Possessions danoises,6463,,,Articles de marchandises permis par l'arrêt du 30 août 1784,453824
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bœuf salé,Possessions espagnoles,18050,,,Articles de marchandises permis par l'arrêt du 30 août 1784,453824
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bœuf salé,Possessions hollandaises,19237,,,Articles de marchandises permis par l'arrêt du 30 août 1784,453824
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions des Etats unis de l'Amérique,171602,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions anglaises,9508,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions danoises,2535,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions espagnoles,29720,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions hollandaises,3760,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de toutes sortes,Possessions portugaises,270,,,Articles de marchandises permis par l'arrêt du 30 août 1784,217395
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions des Etats unis de l'Amérique,2727335,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions anglaises,140902,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions danoises,2733,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions espagnoles,17355,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions hollandaises,18644,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de construction,Possessions suédoises,986,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2907955
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions des Etats unis de l'Amérique,517916,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions anglaises,20160,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions danoises,1972,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions espagnoles,9543,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions hollandaises,2300,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de charonage,Possessions suédoises,814,,,Articles de marchandises permis par l'arrêt du 30 août 1784,552705
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois merains en feuillard,Possessions des Etats unis de l'Amérique,676028,,,Articles de marchandises permis par l'arrêt du 30 août 1784,710565
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois merains en feuillard,Possessions anglaises,31112,,,Articles de marchandises permis par l'arrêt du 30 août 1784,710565
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois merains en feuillard,Possessions danoises,1125,,,Articles de marchandises permis par l'arrêt du 30 août 1784,710565
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois merains en feuillard,Possessions espagnoles,2300,,,Articles de marchandises permis par l'arrêt du 30 août 1784,710565
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de marguerite,Possessions espagnoles,8940,,,Articles de marchandises permis par l'arrêt du 30 août 1784,
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de teinture,Possessions des Etats unis de l'Amérique,2040,,,Articles de marchandises permis par l'arrêt du 30 août 1784,21770
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de teinture,Possessions danoises,1260,,,Articles de marchandises permis par l'arrêt du 30 août 1784,21770
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de teinture,Possessions espagnoles,16760,,,Articles de marchandises permis par l'arrêt du 30 août 1784,21770
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bois de teinture,Possessions hollandaises,1710,,,Articles de marchandises permis par l'arrêt du 30 août 1784,21770
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Charbon de terre,Possessions des Etats unis de l'Amérique,1300,,,Articles de marchandises permis par l'arrêt du 30 août 1784,3190
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Charbon de terre,Possessions anglaises,1890,,,Articles de marchandises permis par l'arrêt du 30 août 1784,3190
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cuirs verds en poil,Possessions espagnoles,84972,,,Articles de marchandises permis par l'arrêt du 30 août 1784,86592
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cuirs verds en poil,Possessions portugaises,1620,,,Articles de marchandises permis par l'arrêt du 30 août 1784,86592
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cuirs tannés,Possessions danoises,4000,,,Articles de marchandises permis par l'arrêt du 30 août 1784,
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bray goudron et résine,Possessions des Etats unis de l'Amérique,80079,,,Articles de marchandises permis par l'arrêt du 30 août 1784,
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Grains de toutes sortes,Possessions des Etats unis de l'Amérique,54677,,,Articles de marchandises permis par l'arrêt du 30 août 1784,57952
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Grains de toutes sortes,Possessions anglaises,1875,,,Articles de marchandises permis par l'arrêt du 30 août 1784,57952
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Grains de toutes sortes,Possessions espagnoles,1400,,,Articles de marchandises permis par l'arrêt du 30 août 1784,57952
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Maïs,Possessions des Etats unis de l'Amérique,103040,,,Articles de marchandises permis par l'arrêt du 30 août 1784,240689
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Maïs,Possessions anglaises,57425,,,Articles de marchandises permis par l'arrêt du 30 août 1784,240689
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Maïs,Possessions espagnoles,78880,,,Articles de marchandises permis par l'arrêt du 30 août 1784,240689
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Maïs,Possessions hollandaises,1344,,,Articles de marchandises permis par l'arrêt du 30 août 1784,240689
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Ris,Possessions des Etats unis de l'Amérique,829195,,,Articles de marchandises permis par l'arrêt du 30 août 1784,920129
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Ris,Possessions anglaises,16629,,,Articles de marchandises permis par l'arrêt du 30 août 1784,920129
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Ris,Possessions danoises,7890,,,Articles de marchandises permis par l'arrêt du 30 août 1784,920129
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Ris,Possessions espagnoles,41950,,,Articles de marchandises permis par l'arrêt du 30 août 1784,920129
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Ris,Possessions hollandaises,24465,,,Articles de marchandises permis par l'arrêt du 30 août 1784,920129
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Légumes divers,Possessions des Etats unis de l'Amérique,258612,,,Articles de marchandises permis par l'arrêt du 30 août 1784,296311
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Légumes divers,Possessions anglaises,31139,,,Articles de marchandises permis par l'arrêt du 30 août 1784,296311
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Légumes divers,Possessions espagnoles,6560,,,Articles de marchandises permis par l'arrêt du 30 août 1784,296311
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Nègres,Possessions des Etats unis de l'Amérique,226200,279,estimés,Articles de marchandises permis par l'arrêt du 30 août 1784,4884200
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Nègres,Possessions anglaises,4500000,4500,estimés,Articles de marchandises permis par l'arrêt du 30 août 1784,4884200
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Nègres,Possessions danoises,73000,73,estimés,Articles de marchandises permis par l'arrêt du 30 août 1784,4884200
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Nègres,Possessions espagnoles,28000,28,estimés,Articles de marchandises permis par l'arrêt du 30 août 1784,4884200
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Nègres,Possessions hollandaises,57000,57,estimés,Articles de marchandises permis par l'arrêt du 30 août 1784,4884200
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Or monnoyé,Possessions anglaises,70180,,,Articles de marchandises permis par l'arrêt du 30 août 1784,397672
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Or monnoyé,Possessions danoises,4400,,,Articles de marchandises permis par l'arrêt du 30 août 1784,397672
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Or monnoyé,Possessions espagnoles,139172,,,Articles de marchandises permis par l'arrêt du 30 août 1784,397672
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Or monnoyé,Possessions hollandaises,178200,,,Articles de marchandises permis par l'arrêt du 30 août 1784,397672
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Or monnoyé,Possessions suédoises,5720,,,Articles de marchandises permis par l'arrêt du 30 août 1784,397672
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions des Etats unis de l'Amérique,204093,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions anglaises,29393,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions danoises,5279,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions espagnoles,15370,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions hollandaises,5780,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Poisson salé de toute sorte,Possessions suédoises,2522,,,Articles de marchandises permis par l'arrêt du 30 août 1784,262437
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions des Etats unis de l'Amérique,173548,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions anglaises,54025,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions danoises,14875,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions espagnoles,3075,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions hollandaises,3200,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Hareng salé,Possessions suédoises,136250,,,Articles de marchandises permis par l'arrêt du 30 août 1784,384973
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions des Etats unis de l'Amérique,1198869,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
