numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,La Guadeloupe,420,700,Languedoc,livres,,0
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,Cayenne et Guyanne,276,460,Languedoc,livres,,0
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,Sénégal et Guinée,30,50,Languedoc,livres,,0
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,St Domingue,10260,6156,Provence,livres,,0
16,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,La Martinique,567,340,Provence,livres,,0
17,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amidon,St Domingue,450,1500,Bordeaux,livres,,0
18,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amidon,La Martinique,1440,4800,Bordeaux,livres,,0
19,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amidon,La Guadeloupe,60,200,Bordeaux,livres,,0
20,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Sabres de traite,Sénégal et Guinée,3452,1726,St Etienne,en nombre,,0
21,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Sabres de traite,Sénégal et Guinée,10996,5498,Hollande,en nombre,,0
22,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Sabres de traite,Sénégal et Guinée,600,300,Angleterre,en nombre,,0
23,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Sabres de traite,St Domingue,27654,13827,Bordeaux,en nombre,,0
24,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Sabres divers,St Domingue,1200,,Duris,,,0
25,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Boulets de canon,St Domingue,24,240,Castillon,livres,,0
26,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Canons fonte de fer,St Domingue,2000,8,Angoulême,en nombre,,0
27,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Canons fonte de fer,Sénégal et Guinée,1000,6,Castillon,en nombre,,0
28,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Espingole,Sénégal et Guinée,168,10,Bordeaux,en nombre,,0
29,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,St Domingue,12420,1035,St Etienne,en nombre,,0
30,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,La Martinique,1272,106,St Etienne,en nombre,,0
31,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,La Guadeloupe,3888,324,St Etienne,en nombre,,0
32,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,Cayenne et Guyanne,480,40,St Etienne,en nombre,,0
33,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,Sénégal et Guinée,18396,1522,St Etienne,en nombre,,0
34,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,St Domingue,500,62,La Rochelle,en nombre,,0
35,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,St Domingue,150,10,Charleville,en nombre,,0
36,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,St Domingue,1404,78,Alsace,en nombre,,0
37,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse,Sénégal et Guinée,260,35,Troyes,en nombre,,0
38,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse à deux coups,St Domingue,200,4,Bordeaux,en nombre,,0
39,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse à deux coups,St Domingue,800,40,St Etienne,en nombre,,0
40,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de chasse à deux coups,Sénégal et Guinée,600,20,Paris,en nombre,,0
41,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,St Domingue,3432,572,St Etienne,en nombre,,0
42,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,La Martinique,432,72,St Etienne,en nombre,,0
43,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,16014,2669,St Etienne,en nombre,,0
44,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,9441,1049,Ostende,en nombre,,0
45,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,10800,1200,Nantes,en nombre,,0
46,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,5088,636,Hambourg,en nombre,,0
47,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,180,20,Hollande,en nombre,,0
48,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Fusils de traite,Sénégal et Guinée,1960,280,Le Havre,en nombre,,0
49,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Mortiers de fonte,La Martinique,350,7,Castillon,en nombre,,0
50,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Pierriers de fonte,Sénégal et Guinée,600,12,Angoulême,en nombre,,0
51,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Pistolets,St Domingue,1744,218,St Etienne,pairs,,0
52,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Pistolets,La Martinique,16,2,St Etienne,pairs,,0
53,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Pistolets,Sénégal et Guinée,856,107,St Etienne,pairs,,0
54,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre salé,St Domingue,602176,752720,Angleterre,livres,,0
55,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre salé,La Martinique,202200,252750,Angleterre,livres,,0
56,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre salé,La Guadeloupe,111428,139286,Angleterre,livres,,0
57,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre salé,Cayenne et Guyanne,12295,15369,Angleterre,livres,,0
58,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre salé,Sénégal et Guinée,9928,11160,Angleterre,livres,,0
59,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre,St Domingue,14602,18253,Bretagne,livres,,0
60,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre,La Martinique,4069,5087,Bretagne,livres,,0
61,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre,La Guadeloupe,1680,2100,Bretagne,livres,,0
62,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Beurre,Sénégal et Guinée,664,830,Bretagne,livres,,0
63,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,St Domingue,25927,"400,7222222222",Irlande,muids,,1
65,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,St Domingue,25927,3580,Irlande,bouteilles,,2
66,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,La Martinique,1000,"17,3611111111",Irlande,muids,,0
68,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,La Guadeloupe,1200,"20,8333333333",Irlande,muids,,0
70,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,Cayenne et Guyanne,1200,"20,8333333333",Irlande,muids,,0
72,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,Sénégal et Guinée,600,"10,4166666667",Irlande,muids,,0
74,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,St Domingue,112400,"1950,3888888889",Hollande,muids,,0
76,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,La Martinique,6800,"118,0655737705",Hollande,muids,,0
78,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bière,Sénégal et Guinée,3750,"65,1229508197",Hollande,muids,,0
80,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Biscuits,St Domingue,22501,150010,Bordeaux,livres,,0
81,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Biscuits,La Martinique,4785,31900,Bordeaux,livres,,0
82,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Biscuits,La Guadeloupe,4200,28000,Bordeaux,livres,,0
83,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Biscuits,Sénégal et Guinée,18225,121500,Bordeaux,livres,,0
84,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois en aviron,Sénégal et Guinée,270,60,Bordeaux,en nombre,,0
85,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,St Domingue,12300,4100,Russie,en nombre,,0
86,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Martinique,3000,1000,Russie,en nombre,,0
87,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Guadeloupe,1800,600,Russie,en nombre,,0
88,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,Sénégal et Guinée,1200,400,Russie,en nombre,,0
89,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches communes,St Domingue,3296,4944,Barsac,en nombre,,0
90,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de serva en planches,St Domingue,800,200,Hollande,en nombre,Doute sur le nom de la marchandise,0
91,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,St Domingue,11520,1440,Barsac,douzaines,,0
92,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Martinique,240,30,Barsac,douzaines,,0
93,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Guadeloupe,240,30,Barsac,douzaines,,0
94,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,Sénégal et Guinée,184,23,Barsac,douzaines,,0
95,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Martinique,160,20,Bordeaux,douzaines,,0
96,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Guadeloupe,24,3,Bordeaux,douzaines,,0
97,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,St Domingue,41700,13900,Russie,en nombre,,0
98,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Martinique,9900,3300,Russie,en nombre,,0
99,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,La Guadeloupe,6300,2100,Russie,en nombre,,0
100,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,Cayenne et Guyanne,2400,800,Russie,en nombre,,0
101,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois de sapin en planches,Sénégal et Guinée,3000,1000,Russie,en nombre,,0
102,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Bois merrain,St Domingue,875,2500,Prusse,en nombre,,0
103,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois osier,St Domingue,16185,3237,Bordeaux,milliers,,0
104,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois osier,La Martinique,2500,500,Bordeaux,milliers,,0
105,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois osier,La Guadeloupe,1930,386,Bordeaux,milliers,,0
106,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois osier,Cayenne et Guyanne,200,40,Bordeaux,milliers,,0
107,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois osier,Sénégal et Guinée,700,140,Bordeaux,milliers,,0
108,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,108484,27121,Bordeaux,faix,,0
109,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,11240,2810,Bordeaux,faix,,0
110,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,Cayenne et Guyanne,800,200,Bordeaux,faix,,0
111,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,Sénégal et Guinée,5200,1300,Bordeaux,faix,,0
112,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,25764,6441,Castillon,faix,,0
113,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,20676,5169,Castillon,faix,,0
114,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,5360,1340,Castillon,faix,,0
115,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,6588,1647,St Esprit,faix,Doute sur l'origine,0
116,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,1000,250,St Esprit,faix,Doute sur l'origine,0
117,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,1180,295,St Esprit,faix,Doute sur l'origine,0
118,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,5964,1491,Rédon,faix,,0
119,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,1360,340,Rédon,faix,,0
120,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,3428,857,Rédon,faix,,0
121,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,11296,2824,Aligre,faix,,0
122,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,5728,1432,Aligre,faix,,0
123,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,760,190,St Malo,faix,,0
124,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,200,50,St Malo,faix,,0
125,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,23576,5894,Périgord,faix,,0
126,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,3000,750,Périgord,faix,,0
127,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,1808,452,Périgord,faix,,0
128,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,St Domingue,34000,8500,Hollande,faix,,0
129,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Martinique,4400,1100,Hollande,faix,,0
130,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,3,Bois feuillard,La Guadeloupe,3600,900,Hollande,faix,,0
