numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée lard salé,La Martinique,4860,8100,Bretagne,livres,,0,
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée salé,St Domingue,399,758,Béarn,livres,,0,649
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée salé,St Domingue,250,500,Béarn,livres,,0,649
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée salé,La Martinique,3828,7657,Guyenne,livres,,0,
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée cuisse d'oye,St Domingue,4014,4014,Béarn,livres,,0,4914
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée cuisse d'oye,St Domingue,900,900,Béarn,livres,,0,4914
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Causse en corde,St Domingue,781,1302,Pays des Basques,livres,,0,
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chapeaux poil et laine,La Martinique,600,8,Pays des Basques,douzaines,,1,
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chapeaux poil et laine,La Martinique,600,100,Pays des Basques,livres,,2,
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Cordage,St Domingue,18220,45550,Pays des Basques,livres,,0,44444
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Cordage,La Martinique,26224,6551,Pays des Basques,livres,,0,44444
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Drogues pour peinture et teinture brun,St Domingue,2434,16230,Étranger,livres,,0,
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Drogues pour peinture et teinture ceruse,La Martinique,1200,3000,Étranger,livres,,0,
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Drogues pour peinture et teinture ocre jaune,La Martinique,750,2500,Étranger,livres,,0,
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Eau de vie simple,St Domingue,12604,"100,0277777778",Béarn,muids,,0,40425
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Eau de vie simple,La Martinique,27821,"220,7433333333",Béarn,muids,,0,40425
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Eau de vie d'endaye,St Domingue,876,"2,7016666667",Pays des Basques,muids,,1,
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Eau de vie d'endaye,St Domingue,876,77,Pays des Basques,bouteilles,,2,
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Etoupe de chanvre,St Domingue,1200,4000,Pays des Basques,livres,,0,
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Farine de froment,St Domingue,12250,49000,Béarn,livres,,0,
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Fers divers barres,St Domingue,24737,137432,Étranger,livres,,0,29237
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Fers divers barres,La Martinique,4500,25000,Étranger,livres,,0,29237
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Fers blanc,St Domingue,600,300,Pays des Basques,livres,,0,700
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Fers blanc,La Martinique,100,50,Pays des Basques,,,0,700
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Fers ouvrés,St Domingue,246,746,Pays des Basques,livres,,0,
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Futailles,St Domingue,460,92,Pays des Basques,en nombre,,0,
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Grains blés d'Inde,La Martinique,1392,11600,Béarn,livres,,0,
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,huile de lin,La Martinique,1917,4260,Étranger,livres,,0,
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Liège en bouchon,St Domingue,536,134000,Guyenne,en nombre,,0,
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Lingerie chemises,La Martinique,290,,Béarn,,Pas de quantité indiquée,0,
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Lingerie de table,St Domingue,1400,,Béarn,,Pas de quantité indiquée,0,2040
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,lingerie de table,La Martinique,640,146,Béarn,livres,,0,2040
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Liqueur,St Domingue,280,270,Béarn,pintes,,0,
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Marchandises à la valeur,St Domingue,389,,Béarn,,Pas de quantité indiquée,0,
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Marchandises à la valeur,La Martinique,231,,Béarn,,Pas de quantité indiquée,0,
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,St Domingue,700,18,Béarn,douzaines,,1,
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,St Domingue,700,66,Béarn,livres,,2,
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,La Martinique,6456,151,Béarn,douzaines,,1,
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,La Martinique,6456,415,Béarn,livres,,2,
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,La Martinique,7200,300,Anjou,douzaines,,1,
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Mouchoirs fil et coton,La Martinique,7200,750,Anjou,livres,,2,
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Orfèvrerie d'argent,St Domingue,21010,"350,375",Isle de France,marcs,,0,
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Ouvrages divers,St Domingue,690,,,,Pas de quantité indiquée,0,
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Ouvrages divers,La Martinique,590,,,,Pas de quantité indiquée,0,
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Ouvrages d'argent plaqué,St Domingue,1200,80,Isle de France,masses,,0,
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Ouvrages de cordonnier souliers,St Domingue,2312,1044,Pays des Basques,paires,,0,
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Pierres en carreaux,St Domingue,6720,820,Béarn,toises,,0,
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Pierres en carreaux,La Martinique,1818,"226,66",Béarn,toises,,0,
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Plumes d'oye,St Domingue,2700,2700,Béarn,livres,,0,3000
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Plumes d'oye,La Martinique,300,300,Béarn,livres,,0,3000
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Poisson morue sèche,St Domingue,62798,184700,Pêches françaises,livres,,0,74358
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Poisson morue sèche,La Martinique,11560,34000,Pêches françaises,livres,,0,74358
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Quincaillerie de fer,St Domingue,299,,,,,0,
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Quincaillerie de fer,St Domingue,6344,19228,Pays des Basques,livres,,0,
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Quincaillerie de fer,St Domingue,2248,6816,Béarn,livres,,0,
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Quincaillerie clous,St Domingue,1273,3860,Pays des Basques,livres,,0,1914
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Quincaillerie clous,La Martinique,641,1945,Pays des Basques,livres,,0,1914
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Suif en chandelle,St Domingue,160,200,Béarn,livres,,0,
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Suif fondu,St Domingue,509,753,Pays des Basques,livres,,0,2099
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Suif fondu,La Martinique,1590,2447,Pays des Basques,livres,,0,2099
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Suif en rame,St Domingue,600,1200,Béarn,livres,,0,
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Ustensiles de pêche,St Domingue,180,90,Bretagne,livres,,0,
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,400,"1,3194444444",Cap breton,muids,,1,
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,400,330,Cap breton,bouteilles,,2,
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,La Martinique,1338,1784,Cap breton,bouteilles,,0,
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,12626,"206,1631944444",Béarn,muids,,1,15038
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,12626,100,Béarn,bouteilles,,2,15038
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,La Martinique,2412,"34,0277777778",Béarn,muids,,1,15038
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,La Martinique,2412,791,Béarn,bouteilles,,2,15038
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,2508,"29,5138888889",Guyenne,muids,,0,3300
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,La Martinique,792,"10,4166666667",Guyenne,muids,,0,3300
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,18960,"137,1527777778",Guyenne,muids,,0,92620
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,La Martinique,73660,"514,4097222222",Guyenne,muids,,0,92620
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,7500,"182,2916666667",Languedoc,muids,,0,
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vin,St Domingue,1000,"30,3819444444",Provence,muids,,0,
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vinaigre,St Domingue,360,"8,2777777778",Béarn,muids,,0,620
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Vinaigre,La Martinique,260,"7,2916666667",Béarn,muids,,0,620
