numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,origine,quantity_unit,Leurvaleursubtotal_1,remarks,Double compte
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu pistolets de traite,Sénégal et Guinée,650,52,Nantes,paires,,,0
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu pistolets de traite,Sénégal et Guinée,1580,142,Ostende,paires,,,0
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes blanches sabres,Sénégal et Guinée,48240,21440,Hollande,en nombre,,,0
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes blanches sabres,St Domingue,275,,Angleterre,en nombre,,Pas de quantité indiquée,0
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes blanches sabres,Sénégal et Guinée,660,,Angleterre,en nombre,,Pas de quantité indiquée,0
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,St Domingue,23016,27400,Angleterre,livres,356034,,0
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,La Martinique,269388,320700,Angleterre,livres,356034,,0
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,La Guadeloupe,49602,59050,Angleterre,livres,356034,,0
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,Tabago,14028,16700,Angleterre,livres,356034,,0
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,Sénégal et Guinée,26532,31586,Angleterre,livres,,,0
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,St Domingue,166017,197640,Normandie,livres,166038,,0
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,La Martinique,21,25,Normandie,livres,166038,,0
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Beurre salé,Sénégal et Guinée,6552,7800,Normandie,livres,,,0
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bierre,St Domingue,225,"3,75",Le Havre,muids,585,,0
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bierre,La Martinique,360,6,Le Havre,muids,585,,0
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bierre,St Domingue,4099,"60,2777777778",Angleterre,muids,7854,,0
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bierre,Tabago,3755,"55,2222222222",Angleterre,muids,7854,,0
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bierre,Sénégal et Guinée,1553,"22,8402777778",Angleterre,muids,,,0
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bijouterie,St Domingue,18400,,Paris,,33010,Pas de quantité indiquée,0
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bijouterie,La Martinique,14360,,Paris,,33010,Pas de quantité indiquée,0
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bijouterie,La Guadeloupe,250,,Paris,,33010,Pas de quantité indiquée,0
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bijouterie,Tabago,2630,,Angleterre,,,,0
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Biscuit,St Domingue,15962,69400,Honfleur,livres,48185,,0
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Biscuit,La Martinique,19251,83700,Honfleur,livres,48185,,0
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Biscuit,La Guadeloupe,9660,42000,Honfleur,livres,48185,,0
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Biscuit,Tabago,3312,14400,Honfleur,livres,48185,,0
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Biscuit,Sénégal et Guinée,72611,315700,Honfleur,livres,,,0
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,St Domingue,130317,355410,Angleterre,livres,834999,,0
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,La Martinique,643269,1754370,Angleterre,livres,834999,,0
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,La Guadeloupe,55671,151830,Angleterre,livres,834999,,0
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,Tabago,5742,15660,Angleterre,livres,834999,,0
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,Sénégal et Guinée,46068,125640,Angleterre,livres,,,0
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bœuf salé,Sénégal et Guinée,2405,6660,Etats-Unis,livres,,,0
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,St Domingue,1440,4235,Dunkerque,livres,2953,,0
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,La Martinique,1513,4450,Dunkerque,livres,2953,,0
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,Sénégal et Guinée,68,200,Dunkerque,livres,,,0
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,St Domingue,5270,15500,Etats-Unis,livres,,,0
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,St Domingue,73270,215500,Angleterre,livres,168784,,0
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,La Martinique,64107,188550,Angleterre,livres,168784,,0
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,La Guadeloupe,4071,11975,Angleterre,livres,168784,,0
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,Tabago,27336,80400,Angleterre,livres,168784,,0
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Lard salé,Sénégal et Guinée,21189,62320,Angleterre,livres,,,0
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,St Domingue,820,1025,Bayonne,livres,1644,,0
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,La Martinique,480,600,Bayonne,livres,1644,,0
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,Tabago,344,430,Bayonne,livres,1644,,0
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,Sénégal et Guinée,1206,1508,Bayonne,livres,,,0
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,St Domingue,3047,3585,Cherbourg,livres,7471,,0
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,La Martinique,3319,3905,Cherbourg,livres,7471,,0
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Jambon,La Guadeloupe,1105,1300,Cherbourg,livres,7471,,0
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Cuisses d'oyes et autres chairs salées divers,St Domingue,967,,,,2702,Pas de quantité indiquée,0
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Cuisses d'oyes et autres chairs salées divers,La Martinique,793,,,,2702,Pas de quantité indiquée,0
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Cuisses d'oyes et autres chairs salées divers,Tabago,942,,,,2702,Pas de quantité indiquée,0
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Cuisses d'oyes et autres chairs salées divers,Sénégal et Guinée,1530,,,,,Pas de quantité indiquée,0
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois en cercles,St Domingue,25500,6000,Normandie,paquets,39163,,0
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois en cercles,La Martinique,7289,1715,Normandie,paquets,39163,,0
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois en cercles,La Guadeloupe,4037,950,Normandie,paquets,39163,,0
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois en cercles,Tabago,2337,550,Normandie,paquets,39163,,0
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois ozier,St Domingue,2595,865,Normandie,bottes,3942,,0
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois ozier,La Martinique,1347,449,Normandie,bottes,3942,,0
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois de sapin en planches,St Domingue,7848,4360,Norvège,bottes,11376,,0
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois de sapin en planches,La Martinique,2808,1560,Norvège,bottes,11376,,0
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bois de sapin en planches,La Guadeloupe,720,400,Norvège,bottes,11376,,0
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de coton,Tabago,2643,,Angleterre,,,Pas de quantité indiquée,0
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de coton,Sénégal et Guinée,1600,,Angleterre,,,Pas de quantité indiquée,0
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de fil,St Domingue,44832,,Bretagne,,85286,,0
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de fil,La Martinique,34608,,Bretagne,,85286,,0
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de fil,La Guadeloupe,4896,,Bretagne,,85286,,0
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de fil,Tabago,950,,Bretagne,,85286,,0
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de fil,Sénégal et Guinée,3168,,Bretagne,,,,0
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,St Domingue,2244,"3,5",Paris,livres,2853,,0
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,St Domingue,2244,226,Paris,paires,2853,,0
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,La Martinique,54,6,Paris,paires,2853,,0
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,La Guadeloupe,270,"4,5",Paris,livres,2853,,0
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,Tabago,285,"4,75",Paris,livres,2853,,0
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,Sénégal et Guinée,120,2,Paris,livres,,,0
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de soye,St Domingue,324,36,Lyon,paires,,,0
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de laine,La Martinique,2880,,Abbeville,,,Pas de quantité indiquée,0
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bonneterie de laine,Sénégal et Guinée,500,,Abbeville,,,Pas de quantité indiquée,0
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bray et goudron,St Domingue,300,4500,Suède,livres,,,0
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bray et goudron,Sénégal et Guinée,818,10400,Suède,livres,,,0
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bray sec,St Domingue,3043,20290,Bayonne,livres,3643,,0
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bray sec,Tabago,600,4000,Bayonne,livres,3643,,0
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Bray sec,Sénégal et Guinée,5100,34000,Bayonne,livres,,,0
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Caffé,Sénégal et Guinée,2040,1700,Isles françaises,livres,,,0
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Caractères d'imprimerie,La Martinique,2400,800,Paris,livres,2860,,0
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Caractères d'imprimerie,Tabago,460,370,Paris,livres,2860,,0
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cordes à carder le coton,Sénégal et Guinée,890,328,Angleterre,paires,,,0
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Caves et canevette de 6 flacons,Sénégal et Guinée,19932,3322,Hollande,en nombre,,,0
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux de castor,St Domingue,1440,72,Paris,en nombre,,,0
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux 1/2 castor,St Domingue,15216,1268,Paris,en nombre,38040,,0
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux 1/2 castor,La Martinique,16224,1352,Paris,en nombre,38040,,0
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux 1/2 castor,La Guadeloupe,6600,550,Paris,en nombre,38040,,0
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux 1/2 castor,La Martinique,2100,150,Lyon,en nombre,,,0
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux poil et laine,St Domingue,630,105,Paris,en nombre,5586,,0
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux poil et laine,La Martinique,4956,826,Paris,en nombre,5586,,0
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux communs,Tabago,6020,1204,Vitré,en nombre,,,0
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux communs,St Domingue,3900,650,Lisieux,en nombre,5700,,0
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux communs,La Martinique,1800,300,Lisieux,en nombre,5700,,0
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux à nègres,St Domingue,408,144,St Malo,en nombre,3417,,0
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux à nègres,Tabago,3009,1063,St Malo,en nombre,3417,,0
120,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux à nègres,Tabago,3519,1206,Normandie,en nombre,,,0
121,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chapeaux à nègres,Sénégal et Guinée,1781,804,Normandie,en nombre,,,0
122,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Charbon de terre,St Domingue,5773,301200,Angleterre,livres,9924,,0
123,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Charbon de terre,La Martinique,2300,120000,Angleterre,livres,9924,,0
124,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Charbon de terre,La Guadeloupe,1679,87600,Angleterre,livres,9924,,0
125,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Charbon de terre,Tabago,172,9000,Angleterre,livres,9924,,0
126,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Charbon de terre,Sénégal et Guinée,7233,377400,Angleterre,livres,,,0
127,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chaux,Tabago,2936,,Angleterre,,,Pas de quantité indiquée,0
128,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Chevaux,Tabago,800,8,Angleterre,en nombre,,,0
129,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cidre,St Domingue,1285,"32,125",Normandie,muids,2121,,0
131,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cidre,La Martinique,656,"16,4166666667",Normandie,muids,2121,,0
133,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cidre,La Guadeloupe,180,"4,5",Normandie,muids,2121,,0
134,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cire en bougie,St Domingue,13450,5380,Mans,livres,,,0
135,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cire en bougie,St Domingue,1250,500,Rouen,livres,,,0
