numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantity_unit,remarks,Double compte
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chairs salées bœuf salé,St Domingue,3150,livres,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chairs salées bœuf salé,Sénégal et Guinée,14488,livres,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chairs salées lard salé,St Domingue,1723,livres,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chairs salées lard salé,Sénégal et Guinée,4773,livres,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Corail,Sénégal et Guinée,4777,livres,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Cordages,St Domingue,3540,livres,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Cordages,Sénégal et Guinée,880,livres,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Couteaux communs,Sénégal et Guinée,1821,douzaines,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Couvertures diverses,Sénégal et Guinée,1120,en nombre,,0
36,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Cuivre,Sénégal et Guinée,22565,livres,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Drap de carcassonne,Sénégal et Guinée,1152,aunes,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Eau de vie,St Domingue,2049,muids,,0
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Eau de vie,La Martinique,192,muids,,0
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Eau de vie,Sénégal et Guinée,65553,muids,,0
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Etoffes diverses,Sénégal et Guinée,25777,???,Peut-être pièces,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Etoffes diverses,Sénégal et Guinée,25777,???,Peut-être livres,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Etoffes diverses,Sénégal et Guinée,25777,aunes,,0
47,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fayence,St Domingue,4596,,,0
48,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fayence,La Martinique,100,,,0
49,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fayence,Sénégal et Guinée,578,,,0
50,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en ancre,St Domingue,475,livres,,0
51,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en ancre,La Martinique,90,livres,,0
52,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en ancre,Sénégal et Guinée,2334,livres,,0
53,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en barre,St Domingue,315,livres,,0
54,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en barre,Sénégal et Guinée,10177,livres,,0
55,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en clous,St Domingue,9624,livres,,0
56,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en clous,La Martinique,360,livres,,0
57,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer en clous,Sénégal et Guinée,2860,livres,,0
58,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer ouvré en marmites,St Domingue,10549,livres,,0
59,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer ouvré en marmites,La Martinique,55,livres,,0
60,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fer ouvré en marmites,Sénégal et Guinée,1598,livres,,0
61,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fil à coudre,St Domingue,5200,livres,,0
62,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Fruits secs en amandes,St Domingue,3700,,,0
63,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Hardes diverses,La Martinique,30000,,,0
64,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Hardes diverses,Sénégal et Guinée,1945,,,0
65,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Huile d'olive,St Domingue,20157,livres,,0
66,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Huile d'olive,La Martinique,480,livres,,0
67,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Huile d'olive,Sénégal et Guinée,756,livres,,0
68,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Légumes divers,St Domingue,930,,,0
69,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Légumes divers,Sénégal et Guinée,7845,,,0
70,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Lingerie en chemise,St Domingue,9750,en nombre,,0
71,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Liqueurs de sirops,St Domingue,3545,muids,,0
73,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Liqueurs de sirops,Sénégal et Guinée,4131,muids,,1
75,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Liqueurs de sirops,Sénégal et Guinée,4131,bouteilles,,2
76,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Marchandises à la valeur,St Domingue,27112,,,0
77,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Marchandises à la valeur,La Martinique,4261,,,0
78,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Marchandises à la valeur,Sénégal et Guinée,18662,,,0
79,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mercerie mêlée,St Domingue,4900,,,0
80,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mercerie mêlée,La Martinique,1500,,,0
81,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mercerie mêlée,Sénégal et Guinée,974,,,0
82,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mouchoirs des Indes,St Domingue,5680,en nombre,,0
83,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mouchoirs des Indes,Sénégal et Guinée,10903,en nombre,,0
84,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mouchoirs fabriqués en France,St Domingue,16,douzaines,,0
85,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mouchoirs fabriqués en France,Sénégal et Guinée,17756,douzaines,,0
86,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mousseline de l'Inde,St Domingue,4700,aunes,,0
87,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Mousseline de l'Inde,Sénégal et Guinée,3000,,,0
