numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,calcul,quantity_unit,remarks,Double compte
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles beurre,Sénégal et Guinée,572,"13,25",???,Doute sur l'unité de mesure,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles café,Sénégal et Guinée,948,948,livres,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles farine,St Domingue,6000,40000,livres,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles farine,Sénégal et Guinée,2670,17800,livres,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles fromage,Sénégal et Guinée,1156,1927,livres,,0
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles riz,Sénégal et Guinée,16592,41481,livres,,0
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chairs salées bœuf salé,St Domingue,3405,11350,livres,,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chairs salées bœuf salé,Sénégal et Guinée,16049,53497,livres,,0
24,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chairs salées jambon,St Domingue,1671,2570,livres,,0
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chairs salées lard salé,Sénégal et Guinée,980,2450,livres,,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chairs salées langue de porc,Sénégal et Guinée,1080,1850,livres,,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Cordages,Sénégal et Guinée,1250,5000,livres,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Couteaux de traite,Sénégal et Guinée,10380,83040,en nombre,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Cuivre en planches et feuilles,Sénégal et Guinée,44609,29672,livres,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Cuivre en clous,Sénégal et Guinée,4178,2387,livres,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Cuivre ouvré,Sénégal et Guinée,2462,1539,livres,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Drap de Carcassonne,Sénégal et Guinée,76932,4274,aunes,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Drogue pour la peinture et la teinture,St Domingue,380,,,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Drogue pour la peinture et la teinture,Sénégal et Guinée,1219,,,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Eaux de vie,Sénégal et Guinée,276677,"1921,5208333333",muids ,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Etain,Sénégal et Guinée,2855,2855,livres,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Etoffes divers,Sénégal et Guinée,1790,,,,0
39,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Etoffes de laine,Sénégal et Guinée,1851,617,aunes,,0
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Etoffes mêlée coton et soye,Sénégal et Guinée,40856,8539,aunes,,0
41,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Etoffes en dorure fausse,Sénégal et Guinée,5320,532,aunes,,0
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Etoffes de soye,Sénégal et Guinée,72353,9441,aunes,,0
43,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Fers en barres,St Domingue,1794,8950,livres,,0
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Fers en barres,Sénégal et Guinée,46502,231511,livres,,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Fers feuillard,Sénégal et Guinée,31505,122991,livres,,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Fers ouvrés divers,St Domingue,7265,12643,livres,,0
47,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Fers ouvrés divers,Sénégal et Guinée,9564,21436,livres,,0
48,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Sel,St Domingue,1600,285,livres,,0
49,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Huile d'olive,Sénégal et Guinée,3800,3800,livres,,0
50,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Légumes,Sénégal et Guinée,9252,77100,livres,,0
51,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Liège en bouchons,St Domingue,72,18000,en nombre,,0
52,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Linge de table,St Domingue,1512,,,,0
53,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Linge de table,Sénégal et Guinée,560,,,,0
54,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Liqueurs anisette,St Domingue,270,270,pintes,,0
55,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Liqueurs anisette,Sénégal et Guinée,2425,"8,4201388889",muids ,,0
57,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Marchandises à la valeur,St Domingue,1769,,,,0
58,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Marchandises à la valeur,Sénégal et Guinée,3038,,,,0
59,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Mouchoirs des Indes,Sénégal et Guinée,89040,34800,en nombre,,0
60,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Mouchoirs de coton et soye de France,Sénégal et Guinée,9120,3648,en nombre,,0
61,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Ouvrages de terre cuite,Sénégal et Guinée,12945,,,,0
62,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Papier bleu d'Hollande,Sénégal et Guinée,5065,25325,livres,,0
63,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Pierre à fusil,Sénégal et Guinée,579,5787,livres,,0
64,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Pipes à fumer,Sénégal et Guinée,6432,1072,grosses,,0
65,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Plomb en saumon,Sénégal et Guinée,21513,70730,livres,,0
66,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Quincaillerie de fer,St Domingue,1207,1509,livres,,0
67,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Quincaillerie de fer,Sénégal et Guinée,880,1100,livres,,0
68,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Rassade,Sénégal et Guinée,8601,7521,,Pas d'unité indiquée,0
69,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Sacs divers,St Domingue,2000,1000,en nombre,,0
70,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Savon,Sénégal et Guinée,2200,3666,livres,,0
71,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Sucre terre,Sénégal et Guinée,1139,1582,livres,,0
72,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Toiles des Indes du commerce français,Sénégal et Guinée,695884,242540,aunes,,0
73,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Toiles des Indes du commerce étranger,Sénégal et Guinée,183220,50310,aunes,,0
74,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,28,Toiles des Indes ??? ??? ??? l'Inde,Sénégal et Guinée,193245,70507,aunes,Doute sur la marchandise,0
75,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses platille,Sénégal et Guinée,178189,178189,aunes,,0
76,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles de coton diverses,St Domingue,6525,2900,aunes,,0
77,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles de coton diverses,Sénégal et Guinée,4137,1984,aunes,,0
78,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses coutil,Sénégal et Guinée,4995,2660,aunes,,0
79,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses indiennes étrangères,Sénégal et Guinée,32250,12900,aunes,,0
80,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses indiennes françaises,Sénégal et Guinée,96448,27666,aunes,,0
81,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses peintes françaises,Sénégal et Guinée,7872,1252,aunes,,0
82,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles de fil diverses,St Domingue,25979,15812,aunes,,0
83,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles de fil diverses,Sénégal et Guinée,27639,13765,aunes,,0
84,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses siamoises fil coton,Sénégal et Guinée,28917,13770,aunes,,0
85,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses à voiles,St Domingue,700,560,aunes,,0
86,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Toiles diverses à voiles,Sénégal et Guinée,3024,1260,aunes,,0
87,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vaisselle d'argent,St Domingue,2400,40,marcs,,0
88,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Verre en bouteille,Sénégal et Guinée,1297,4324,en nombre,,0
89,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vins divers,St Domingue,7837,"52,9513888889",muids ,,1
91,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vins divers,St Domingue,7837,600,bouteilles,,2
92,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vins divers,Sénégal et Guinée,15470,"276,0208333333",muids ,,0
94,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vins de Bordeaux,St Domingue,13725,"105,9027777778",muids ,,0
96,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Vins de Bordeaux,Sénégal et Guinée,58407,447,muids ,,0
97,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Poudre à tirer,St Domingue,6187,5875,livres,,0
98,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,29,Poudre à tirer,Sénégal et Guinée,65490,86350,livres,,0
