numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,origine,quantity_unit,remarks,Double compte
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Lingerie en chemises,St Domingue,3000,,en nombre,,0
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Liqueur anisette,Sénégal et Guinée,5120,Bordeaux,muids,,0
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Marchandises à la valeur,St Domingue,444,,,,0
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Marchandises à la valeur,Sénégal et Guinée,633,,,,0
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Mouchoirs de fil,Sénégal et Guinée,48108,Cholet,pièces,,0
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,mouchoirs romals,Sénégal et Guinée,7562,Lorient,pièces,,0
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,mouchoirs romals,Sénégal et Guinée,3420,Nantes,pièces,,0
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Mouchoirs mazulipatan,Sénégal et Guinée,640,Lorient,pièces,,0
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Mouchoirs baffetas,Sénégal et Guinée,960,Lorient,pièces,,0
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,mouchoirs de soye,Sénégal et Guinée,1017,Lorient,pièces,44 pièces et 76 en nombre ?,0
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Orfèvrerie vaisselle d'argent,Sénégal et Guinée,474,Paris,marcs,,0
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Ouvrage en cuir,Sénégal et Guinée,72,Paris,,,0
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Ouvrage de terre cuite pipe,Sénégal et Guinée,1584,Hollande,grosses,,0
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Papier à doublage,Sénégal et Guinée,120,Hambourg,livres,,0
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Parapluie,Sénégal et Guinée,7350,St Malo,en nombre,,0
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Plomb à giboyer,Sénégal et Guinée,259,St Malo,livres,,0
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Morue sèche,La Martinique,25460,Miquelon,livres,,0
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Poudre de traite,Sénégal et Guinée,4263,Régie des poudres,livres,,0
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Quincaillerie de fer,Sénégal et Guinée,300,,,,0
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Sacs de toille,St Domingue,150,,en nombre,,0
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Suif fondu,St Domingue,1800,,livres,,0
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Tabac,Sénégal et Guinée,7986,Virginie,livres,,0
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Tabac du brésil acheté à Lisbonne,Sénégal et Guinée,45900,,livres,,0
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles diverses,Sénégal et Guinée,96,,,,0
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles de lin étroite,Sénégal et Guinée,3125,Quintin,aunes,,0
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles à robes,Sénégal et Guinée,26400,Cholet,pièces,,0
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles coutil,Sénégal et Guinée,24485,Rouen,pièces,,0
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles bajutapaux,Sénégal et Guinée,7416,Lorient,pièces,,0
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Toiles chasselas,Sénégal et Guinée,1920,Lorient,pièces,,0
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles chasselas,Sénégal et Guinée,2156,Nantes,pièces,,0
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles coupis,Sénégal et Guinée,600,Lorient,pièces,,0
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles chille,Sénégal et Guinée,300,Lorient,pièces,,0
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles guinée bleue,Sénégal et Guinée,2990,Lorient,pièces,,0
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles guinée bleue,Sénégal et Guinée,8220,Nantes,pièces,,0
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles guingams,Sénégal et Guinée,1540,Nantes,pièces,,0
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles limencas,Sénégal et Guinée,3762,Nantes,pièces,,0
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles néganepaux,Sénégal et Guinée,2760,Nantes,pièces,,0
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles nicanéas,Sénégal et Guinée,6670,Nantes,pièces,,0
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles platille,Sénégal et Guinée,122880,Hollande,pièces,,0
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles de coton,Sénégal et Guinée,484,Rouen,pièces,,0
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles bazin,Sénégal et Guinée,960,Rouen,pièces,,0
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles indienne,Sénégal et Guinée,15876,Nantes,pièces,,0
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles de halle de Languenan,St Domingue,5038,,aunes,,0
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Toiles siamoise fil et coton,Sénégal et Guinée,15928,Rouen,pièces,,0
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Veroterie,Sénégal et Guinée,420,Nantes,marcs,,0
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,vin,Sénégal et Guinée,12480,Provence,muids,,0
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,vin,Sénégal et Guinée,4399,Bordeaux,muids,,1
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,vin,Sénégal et Guinée,4399,Bordeaux,bouteilles,,2
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,64,Vinaigre,Sénégal et Guinée,86,Bordeaux,muids,,0
