numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,Double compte
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; bœuf salé,La Guadeloupe,2550,8500,livres,,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; bœuf salé,Sénégal et Guinée,900,3000,livres,,0
24,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; jambon,St Domingue,25975,43291,livres,,0
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; jambon,La Martinique,7320,12200,livres,,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; jambon,La Guadeloupe,6735,11242,livres,,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; porc salé,St Domingue,1224,3060,livres,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; porc salé,La Martinique,4580,11450,livres,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; porc salé,La Guadeloupe,96,240,livres,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; lard salé,St Domingue,840,2100,livres,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; lard salé,La Martinique,600,1500,livres,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; lard salé,La Guadeloupe,320,800,livres,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; cuisses d'oye,St Domingue,15348,15348,livres,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; cuisses d'oye,La Martinique,3498,3498,livres,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; cuisses d'oye,La Guadeloupe,4550,4550,livres,,0
36,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Corail ouvré,Sénégal et Guinée,4200,21,livres,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Cordages,St Domingue,13040,32600,livres,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Cordages,La Martinique,6000,15000,livres,,0
39,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Cordages,Sénégal et Guinée,800,2000,livres,,0
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Drogues pour la peinture,St Domingue,1500,,,,0
41,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Drogues pour la peinture,La Martinique,383,,,,0
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Drogues pour la peinture,La Guadeloupe,720,,,,0
43,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,St Domingue,40584,268,muids,,0
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,St Domingue,40584,184,pintes,,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,St Domingue,40584,2920,bouteilles,,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,La Martinique,10912,72,muids,,0
47,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,La Martinique,10912,400,bouteilles,,0
48,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,La Guadeloupe,2986,19,muids,,0
49,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,La Guadeloupe,2986,80,pintes,,0
50,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,La Guadeloupe,2986,210,bouteilles,,0
51,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Eau de vie,Sénégal et Guinée,2880,20,muids,,0
52,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers en barres,St Domingue,800,4000,livres,,0
53,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers en barres,La Martinique,480,2400,livres,,0
54,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers en ancres,St Domingue,5868,19560,livres,,0
55,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers en clous,St Domingue,1231,4103,livres,,0
56,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers ouvré,St Domingue,16937,56457,livres,,0
57,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers ouvré,La Martinique,4754,15845,livres,,0
58,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fers ouvré,La Guadeloupe,1428,4761,livres,,0
59,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Fusils,Sénégal et Guinée,4350,532,en nombre,,0
60,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Huile d'olive,St Domingue,3553,3553,livres,,0
61,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Lingerie diverse,St Domingue,4646,,,,0
62,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Lingerie diverse,La Martinique,380,,,,0
63,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Marchandises à la valeur,St Domingue,4883,,,,0
64,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Marchandises à la valeur,La Martinique,314,,,,0
65,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Marchandises à la valeur,La Guadeloupe,1631,,,,0
66,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Marchandises à la valeur,Sénégal et Guinée,900,,,,0
67,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Mouchoirs fil en coton,St Domingue,8524,"285,5",douzaines,,0
68,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Mouchoirs fil en coton,La Martinique,7650,140,douzaines,,0
69,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Mouchoirs fil en coton,La Guadeloupe,4500,60,douzaines,,0
70,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Mouchoirs fil en coton,Sénégal et Guinée,4800,200,douzaines,,0
71,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Pierres en carreaux,St Domingue,1848,8200,en nombre,,0
72,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Pierres en carreaux,La Martinique,640,3100,en nombre,,0
73,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Pierres en carreaux,La Guadeloupe,520,2400,en nombre,,0
74,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Plume à lit,St Domingue,3000,3000,livres,,0
75,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Plume à lit,La Martinique,1000,1000,livres,,0
76,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Souliers de cuir pour hommes,St Domingue,58869,19623,paires,,0
77,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Souliers de cuir pour hommes,La Martinique,6300,2100,paires,,0
78,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Souliers de cuir pour hommes,La Guadeloupe,2838,946,paires,,0
79,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Toiles diverses,St Domingue,3831,2855,aunes,,0
80,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Toiles diverses,La Martinique,120,40,aunes,,0
81,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Toiles diverses,Sénégal et Guinée,1582,731,aunes,,0
82,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,St Domingue,9562,"172,1875",muids,,1
84,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,St Domingue,9562,3438,bouteilles,,2
85,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,La Martinique,9383,"154,4791666667",muids,,1
87,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,La Martinique,9383,1935,bouteilles,,2
88,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,La Guadeloupe,4772,"44,0868055556",muids,,1
90,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,La Guadeloupe,4772,1437,bouteilles,,2
91,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins divers,Sénégal et Guinée,1665,"38,5416666667",muids,,0
93,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins de Bordeaux,St Domingue,9870,"114,2361111111",muids,,0
95,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vins de Bordeaux,La Martinique,3552,"41,1111111111",muids,,0
97,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vinaigre,St Domingue,120,"3,3333333333",muids,,0
99,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vinaigre,La Martinique,139,"3,8611111111",muids,,0
101,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Vinaigre,La Guadeloupe,295,"8,1944444444",muids,,0
