numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,Droits totaux indiqués,doubleaccounts
19,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Cochons de lait,Monde,,83867,en nombre,,,,"9225,37",
20,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Viandes de boucherie ; Salées ; de porc,Monde,,129706,kg,,,,"24265,49",1
21,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Viandes de boucherie ; Salées ; autres,Monde,,20857,kg,,,,"24265,49",2
22,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Substances propres à la médecine et à la parfumerie ; Cantharides (Mouches),Monde,,8799,kg,,,,"6472,89",
23,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Substances propres à la médecine et à la parfumerie ; Musc.,Monde,,27,kg,,,,"3636,18",
24,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Substances propres à la médecine et à la parfumerie ; Éponges ; communes,Monde,,21745,kg,,,,"14735,08",
25,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Substances propres à la médecine et à la parfumerie ; Éponges ; fines,Monde,,2816,kg,,,,"6291,37",
26,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Dents d'éléphant ; entières,Monde,,18365,kg,,,,"19688,23",1
27,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Dents d'éléphant ; sciées,Monde,,297,kg,,,,"19688,23",2
28,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Écaille de tortues ; carapaces,Monde,,3728,kg,,,,"11199,04",1
29,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Écaille de tortues ; Onglons,Monde,,591,kg,,,,"11199,04",2
30,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Écaille de tortues ; Rognures,Monde,,2140,kg,,,,"11199,04",3
31,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Nacre de perle ; noire,Monde,,30942,kg,,,,"7201,97",
32,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Nacre de perle ; argentée ; brute,Monde,,22843,kg,,,,"19394,8",1
33,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Nacre de perle ; argentée ; sciée,Monde,,97,kg,,,,"19394,8",2
34,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; gréges ; Douppions,Monde,,36032,kg,,,,"15134,53",1
35,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; gréges ; autres que douppions,Monde,,8677,kg,,,,"15134,53",2
36,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; moulinées ; Douppions,Monde,,1694,kg,,,,"130911,07",1
37,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; moulinées ; autres que douppions,Monde,,233314,kg,,,,"130911,07",2
38,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; Bourre. - Écrue ; en masse,Monde,,26970,kg,,,,"5018,61",1
39,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; Bourre. - Écrue ; filée ; non moulinée,Monde,,68719,kg,,,,"5018,61",2
40,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies ; Bourre. - Écrue ; filée ; moulinée,Monde,,589,kg,,,,"5018,61",3
41,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Cire jaune non ouvrée,Monde,,48402,kg,,,,"6016,15",
42,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Suif ; brut,Monde,,334237,kg,,,,"14760,54",
43,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Suif ; Chandelles,Monde,,731871,kg,,,,"3266,3",
44,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Colles ; de poissons,Monde,,3877,kg,,,,"7077,37",
45,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Colles ; forte,Monde,,431163,kg,,,,"112246,09",
46,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Laines ; fines ; lavées,Monde,,366752,kg,,,,"5445,78",1
47,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Laines ; fines ; en suint,Monde,,86995,kg,,,,"5445,78",2
48,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Laines ; communes ; sans distinction,Monde,,2974673,kg,,,,"34961,76",
49,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Crins,Monde,,16655,kg,,,,"7526,75",
50,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Soies de porcs et de sangliers,Monde,,181029,kg,,,,"42505,8",
51,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,"Plumes ; de parures, brutes ; grandes",Monde,,833,kg,,,,"4634,32",
52,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,"Plumes ; de parures, brutes ; petites",Monde,,15108,kg,,,,"16901,61",
53,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Plumes ; à écrire ; brutes,Monde,,57568,kg,,,,"27587,91",
54,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Plumes ; à écrire ; apprêtées,Monde,,6557,kg,,,,"9158,43",
55,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Plumes ; à lit ; duvet ; d'eyder ou édredon,Monde,,739,kg,,,,"10744,22",
56,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,"Plumes ; à lit ; duvet ; de cygne, d'oie et canard",Monde,,678,kg,,,,"3159,29",1
57,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Plumes ; à lit ; autres plumes,Monde,,2240,kg,,,,"3159,29",2
58,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Pelleteries ; Peaux de chinchillas et de fouines,Monde,,67950,en nombre,,,,"7474,5",
59,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Pelleteries ; Morceaux cousus de martes et petits-gris,Monde,,1298,en nombre,,,,7139,
60,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Peaux. - Brutes ; grandes ; fraîches,Monde,,280181,kg,,,,"3283,63",
61,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Peaux. - Brutes ; grandes ; sèches,Monde,,2530396,kg,,,,"217714,87",
62,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Peaux. - Brutes ; petites ; fraîches,Monde,,51908,kg,,,,"8575,58",1
63,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Peaux. - Brutes ; petites ; sèches,Monde,,677243,kg,,,,"8575,58",2
64,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,"Poissons de mer, frais, secs et salés",Monde,,355788,kg,,,,"156402,83",
65,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Rogues de morue,Monde,,1528705,kg,,,,"8407,88",
66,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Coquillages pleins ; Huîtres fraîches,Monde,,432372,en nombre,,,,"4010,32",1
67,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Coquillages pleins ; Moules,Monde,,148388,kg,,,,"4010,32",2
68,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Graisses de poissons ; de pêches françaises,Monde,,2330514,kg,,,,"25156,41",
69,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Graisses de poissons ; de pêches étrangères,Monde,,340906,kg,,,,"94190,75",
70,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Fanons de baleines bruts ; de pêches françaises,Monde,,18900,kg,,,,"43141,87",
71,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Fanons de baleines bruts ; de pêches étrangères,Monde,,126178,kg,,,,"43141,87",
72,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Corail de toutes pêches ; brut,Monde,,6025,kg,,,,"10302,96",1
73,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Corail de toutes pêches ; taillé non monté,Monde,,759,kg,,,,"10302,96",2
74,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Fromages,Monde (hors Pays de Gex),,3477372,kg,,,,"491898,65",
75,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Fromages,Pays de Gex,,12064,kg,,,,0,
76,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Beurre ; frais ou fondu,Monde,,225944,kg,,,,"9562,48",1
77,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Beurre ; salé,Monde,,22725,kg,,,,"9562,48",2
78,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Blé, froment et méteil",Monde,,68154149,kg,,,,"286050,48",1
79,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Farines de blé, froment et méteil",Monde,,83557,kg,,,,"286050,48",2
80,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Seigle, maïs et autres menus grains",Monde,,6943660,kg,,,,"31212,87",1
81,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Farine de seigle, maïs et autres menus grains",Monde,,1413766,kg,,,,"31212,87",2
82,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Avoine,Monde,,717363,kg,,,,"5129,16",1
83,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Jarosse ou vesce,Monde,,8819,kg,,,,"5129,16",2
84,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Légumes secs,Monde,,7739736,kg,,,,"26145,15",
85,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Marrons et châtaignes,Monde,,172241,kg,,,,"15694,59",
86,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Grains perlés et mondés,Monde,,44544,kg,,,,"6386,34",
87,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Riz,Monde,,8354005,kg,,,,"183011,19",
88,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Alpiste et millet,Monde,,66236,kg,,,,"3732,61",
89,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Pâtes d'Italie et autres granulées,Monde,,143040,kg,,,,"23248,25",
90,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sagou,Monde,,8310,kg,,,,"3752,3",
91,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Citrons, oranges et leurs variétés",Monde,,5070494,kg,,,,"575947,88",
92,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Carobbe ou carouge,Monde,,71934,kg,,,,"4135,7",
93,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Pommes et poires,Monde,,341375,kg,,,,"16283,27",
94,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Pistaches ; non cassées,Monde,,1906,kg,,,,"4364,33",1
95,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Pistaches ; cassées,Monde,,1443,kg,,,,"4364,33",2
96,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Divers fruits secs, tels que figues, pruneaux, etc",Monde,,706858,kg,,,,"127061,55",
97,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Noix, noisettes, avelines et faînes",Monde,,117376,kg,,,,"10704,6",
98,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Amandes en coques ou cassées,Monde,,24301,kg,,,,"5579,07",
99,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Graines de chanvre, colza, navette et oliette",Monde,,965993,kg,,,,"5813,25",
100,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Graines de lin,Monde (Hors Ports de la Baltique),,162543,kg,,,646042 kilogrammes sont venus des ports de la Baltique,"17114,08",
101,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Graines de lin,Ports de la Baltique,,646042,kg,,,,,
102,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Fruits ; à distiller,Monde,,8227,kg,,,,"3096,71",
103,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; bruts,Colonies françaises au-delà du Cap,,942994,kg,,,,"14975724,99",1
104,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; bruts,Colonies françaises en-deça du Cap,,29415550,kg,,,,"14975724,99",2
105,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; bruts ; autre que blanc,Monde (Hors Colonies),,2980579,kg,,,,"1961420,12",
106,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; bruts ; blanc,Monde (Hors Colonies),,1128680,kg,,,,"847256,18",
107,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; terrés ; des colonies françaises ; au-delà du Cap,Colonies françaises au-delà du Cap,,2781,kg,,,,"3080646,63",1
108,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; terrés ; des colonies françaises ; en-deça du Cap,Colonies françaises en-deça du Cap,,3999250,kg,,,,"3080646,63",2
109,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; terrés ; autre que blanc,Monde (Hors Colonies),,447374,kg,,,,"304467,48",
110,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucres ; terrés ; blanc,Monde (Hors Colonies),,844192,kg,,,,"964030,49",
111,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucreries ; Mélasses,Colonies françaises,,27876,kg,,,,"4907,34",
112,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucreries ; Bonbons,Monde,,3091,kg,,,,"4139,16",
113,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sucreries ; Confitures sèches ou fluides,Monde,,20217,kg,,,,"21849,7",1
114,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Sucreries ; Sirops, sans exceptions",Monde,,4103,kg,,,,"21849,7",2
115,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Cacao ; brut (fèves et coques),Monde,,467670,kg,,,,"527622,5",
116,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Cacao ; en chocolat,Monde,,3562,kg,,,,"5821,71",
117,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Café,Monde,,6628958,kg,,,,"4728221,52",
118,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Cannelle ; fine,Monde,,2986,kg,,,,"19094,97",
119,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Cannelle ; commune et cassia,Monde,,24529,kg,,,,"45444,5",
120,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Gingembre,Monde,,17931,kg,,,,"4014,27",
121,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Girofle (Clous de),Monde,,31374,kg,,,,"70224,61",
122,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Muscade ronde,Monde,,1673,kg,,,,"17916,16",
123,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Poivre et piment,Monde,,1336952,kg,,,,"1350038,48",
124,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Thé,Monde,,87536,kg,,,,"237746,15",
125,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Vanille,Monde,,854,kg,,,,"4753,2",
126,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Tabacs ; en feuilles ou en côtes,Monde,,4197610,kg,,,,"184389,32",
127,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Tabacs ; en feuilles ou en côtes,Monde,,2600314,kg,,,,0,
128,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Tabacs ; fabriqués,Monde,,2001,kg,,,Admissions sur autorisations spéciales,"21462,48",
129,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Gommes exotiques,Sénégal français,,318415,kg,,,,"35025,69",
130,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Gommes exotiques ; d'acacia, acajou, adragante et arabique",Monde,,81697,kg,,,,"19446,76",
131,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Poix ou galipot,Monde,,120495,kg,,,,"71254,46",1
132,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Brai gras et goudron,Monde,,1857469,kg,,,,"71254,46",2
133,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Assa-foetida,Monde,,3252,kg,,,,"3092,46",
