numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,Droits totaux indiqués,doubleaccounts
17,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Porcs ; de six mois et au-dessus,Monde,,34703,en nombre,,,,9471,
18,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Porcs ; au-dessous de six mois,Monde,,48085,en nombre,,,,5289,
19,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chevreaux,Monde,,1021,en nombre,,,,112,
20,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chiens de chasse,Monde,,238,en nombre,,,,131,
21,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Gibier, volailles et tortues vivantes",Monde,36757,,francs,,,,809,
22,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Ruches à miel (renfermant des essaims vivants),Monde,,398,en nombre,,,,438,
23,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Viandes ; de boucherie ; salées ; de porc, lard compris",Monde,,116257,kg,,,,18460,
24,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Viandes ; de boucherie ; salées ; autres,Monde,,4795,kg,,,,673,
25,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Viandes ; de boucherie ; fraîches,Monde,,72974,kg,,,,401,
26,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Viandes ; de gibier et de volaille,Monde,,26448,kg,,,,146,
27,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; fraîches ; grandes,Monde,,691377,kg,,,,8083,
28,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; fraîches ; petites,Monde,,26727,kg,,,,309,
29,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; fraîches ; de chien de mer,Monde,,1034,kg,,,,11,
30,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; sèches; grandes,Monde,,3218265,kg,,,,237063,
31,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; sèches; petites,Monde,,629680,kg,,,,7189,
32,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux brutes ; sèches; de chien de mer,Monde,,2119,kg,,,,36,
33,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; brutes ; de lapins et de lièvres,Monde,,201199,kg,,,,2213,
34,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; brutes ; d'agneaux et de chevreaux,Monde,,233997,kg,,,,2574,
35,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; apprêtées ; de lapins et de lièvres,Monde,,5187,en nombre,,,,63,
36,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; apprêtées ; d'agneaux et de chevreaux,Monde,,22192,en nombre,,,,504,
37,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; apprêtées ; de phoques éjarrées,Monde,,25161,en nombre,,,,13839,
38,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de chameaux,Monde,,500,en nombre,,,,660,
39,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de panthères,Monde,,335,en nombre,,,,442,
40,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de tigres,Monde,,273,en nombre,,,,361,
41,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Peaux de pelleterie ; sans distinction; d'ours, oursons, onces et lions",Monde,,4960,en nombre,,,,5723,
42,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de renards de toute sorte,Monde,,3840,en nombre,,,,1465,
43,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de chinchilia,Monde,,74338,en nombre,,,,8177,
44,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de fouines,Monde,,2375,en nombre,,,,250,
45,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de carcajoux,Monde,,1798,en nombre,,,,396,
46,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de phoques,Monde,,2718,en nombre,,,,1588,
47,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; d'agneaux dits d'Astracan,Monde,,11087,en nombre,,,,2439,
48,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de loutres,Monde,,1872,en nombre,,,,927,
49,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de loups cerviers et de bois,Monde,,1018,en nombre,,,,448,
50,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de castors,Monde,,24199,en nombre,,,,9316,
51,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de blaireaux,Monde,,12271,en nombre,,,,2025,
52,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de ratons,Monde,,2603,en nombre,,,,430,
53,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Peaux de pelleterie ; sans distinction; de pekans, vigognes, lamas, martes et cygnes",Monde,,6750,en nombre,,,,1114,
54,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de chats sauvages et domestiques,Monde,,34432,en nombre,,,,1153,
55,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Peaux de pelleterie ; sans distinction; de genettes, putois et castorins",Monde,,57030,en nombre,,,,1876,
56,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Peaux de pelleterie ; sans distinction; de grèbes, marmottes, oies et visions",Monde,,19669,en nombre,,,,1299,
57,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de petits-gris,Monde,,27475,en nombre,,,,604,
58,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; de rats musques,Monde,,29340,en nombre,,,,646,
59,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Peaux de pelleterie ; sans distinction; de bervesky, écureuils et taupes, chiens, mulots",Monde,,233,en nombre,,,,5,
60,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Peaux de pelleterie ; sans distinction; d'hermine et kulonok,Monde,,17320,en nombre,,,,714,
61,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chevaux ; Jumens,Monde,,23,en nombre,,,,380,
62,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chevaux ; Hongres,Monde (Hors Colonies),,1072,en nombre,,,,17688,
63,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chevaux ; Hongres,Colonies,,1,en nombre,,,,0,
64,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chevaux ; Poulains,Monde,,145,en nombre,,,,2393,
65,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Mules et mulets,Monde (Hors Colonies),,11319,en nombre,,,,62255,
66,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Mules et mulets,Colonies,,699,en nombre,,,,0,
67,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Anes et ânesses,Monde (Hors Colonies),,1064,en nombre,,,,1170,
68,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Anes et ânesses,Colonies,,17,en nombre,,,,0,
69,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Moutons ; Mérinos et métis. ; Béliers,Monde,,8,en nombre,,,,9,
70,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Moutons ; Mérinos et métis. ; Brebis et moutons,Monde,,200,en nombre,,,,165,
71,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Moutons ; Mérinos et métis. ; Agneaux,Monde,,49,en nombre,,,,27,
72,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Moutons ; communs ; Béliers, brebis, moutons",Monde,,47566,en nombre,,,,26161,
73,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Moutons ; communs ; Agneaux,Monde,,6580,en nombre,,,,1810,
74,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Boeufs et taureaux,Monde (Hors Colonies),,3704,en nombre,,,,24446,
75,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Boeufs et taureaux,Colonies,,1,en nombre,,,,0,
76,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Vaches et génisses,Monde (Hors Colonies),,3432,en nombre,,,,11326,
77,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Vaches et génisses,Colonies,,42,en nombre,,,,0,
78,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Génisses et bouvillons,Monde,,855,en nombre,,,,2822,
79,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chèvres,Monde,,1374,en nombre,,,,866,
80,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Veaux,Monde,,1161,en nombre,,,,2554,
81,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Porcs ; de six mois et au-dessus,Monde,,7594,en nombre,,,,16707,
82,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Porcs ; au-dessous de six mois,Monde,,21321,en nombre,,,,23453,
83,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chevreaux,Monde,,50,en nombre,,,,14,
84,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Chiens de chasse,Monde,,10,en nombre,,,,6,
85,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Gibier, volailles et tortues vivantes",Monde,220471,,francs,,,,606,
86,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Ruches à miel (renfermant des essaims vivants),Monde,,20,en nombre,,,,6,
87,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Viandes ; de boucherie ; salées ; de porc, lard compris",Monde,,238300,kg,,,,655,
88,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Viandes ; de boucherie ; salées ; autres,Monde,,67267,kg,,,,185,
89,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Viandes ; de boucherie ; fraîches,Monde,,63881,kg,,,,2108,
90,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Viandes ; de gibier et de volaille,Monde (Hors Colonies),,24917,kg,,,,822,
91,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Viandes ; de gibier et de volaille,Colonies,,6822,kg,,,,0,
92,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; fraîches ; grandes,Monde,,941,kg,,,,166,
93,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; fraîches ; petites,Monde,,9255,kg,,,,4683,
94,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; sèches; grandes,Monde,,5941,kg,,,,1634,
95,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; sèches; petites,Monde,,11806,kg,,,,9190,
96,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; sèches; petites,Monde (Hors Colonies),,1027,kg,,,,0,
97,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux brutes ; sèches; de chien de mer,Colonies,,107,kg,,,,1,
98,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; apprêtées ; de lapins et de lièvres,Monde,,17334,en nombre,,,,191,
99,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; apprêtées ; d'agneaux et de chevreaux,Monde,,8889,en nombre,,,,10,
100,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; apprêtées ; de phoques éjarrées,Monde,,47,en nombre,,,,3,
101,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Peaux de pelleterie ; sans distinction; d'ours, oursons, onces et lions",Monde,,954,en nombre,,,,105,
102,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de renards de toute sorte,Monde,,48546,en nombre,,,,163,
103,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de chinchilia,Monde,,7968,en nombre,,,,88,
104,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de fouines,Monde,,41863,en nombre,,,,461,
105,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; d'agneaux dits d'Astracan,Monde,,383,en nombre,,,,8,
106,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de loutres,Monde,,5079,en nombre,,,,279,
107,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de loups cerviers et de bois,Monde,,162,en nombre,,,,12,
108,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de blaireaux,Monde,,42,en nombre,,,,1,
109,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Peaux de pelleterie ; sans distinction; de pekans, vigognes, lamas, martes et cygnes",Monde,,4757,en nombre,,,,107,
110,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de chats sauvages et domestiques,Monde,,2851,en nombre,,,,10,
111,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Peaux de pelleterie ; sans distinction; de genettes, putois et castorins",Monde,,29315,en nombre,,,,97,
112,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Peaux de pelleterie ; sans distinction; de grèbes, marmottes, oies et visions",Monde,,1848,en nombre,,,,12,
113,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de petits-gris,Monde,,1142,en nombre,,,,3,
114,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; de rats musques,Monde,,2370,en nombre,,,,5,
115,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,"Peaux de pelleterie ; sans distinction; de bervesky, écureuils et taupes, chiens, mulots",Monde,,125,en nombre,,,,1,
116,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Exports,,5,Peaux de pelleterie ; sans distinction; d'hermine et kulonok,Monde,,600,en nombre,,,,3,
117,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,"Dos, ventres et gorges ; de petit-gris",Monde,,277779,en nombre,,,,3056,
118,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,"Dos, ventres et gorges ; de renards, martes et fouines",Monde,,52,en nombre,,,,3,
119,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Queues ; de martes et fouines,Monde,,1879,en nombre,,,,41,
120,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Queues ; de renards,Monde,,275,en nombre,,,,6,
121,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Queues ; de petit-gris,Monde,,105000,en nombre,,,,289,
122,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Queues ; de koquiky et de putois,Monde,,2440,en nombre,,,,7,
123,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Morceaux cousus ; dos et ventres de petit-gris,Monde,,1056,en nombre,,,,5808,
124,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Morceaux cousus ; hamsters,Monde,,1312,en nombre,,,,1443,
125,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Morceaux cousus ; Lièvres et lapins,Monde,,2353,en nombre,,,,2588,
126,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Morceaux cousus ; Sans indications,Monde,,79,en nombre,,,,206,
127,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Laines ; surfines ; brutes,Monde,,7103,kg,,,,1719,
128,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Laines ; surfines ; lavées à froid,Monde,,85086,kg,,,,41179,
129,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,6,Laines ; surfines ; épurées,Monde,,569,kg,,,,376,
