numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,remarks,doubleaccounts
21,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,60,Bas ; de laine,"Allemagne, Lorraine et Païs de Liege",69,23,69,paires,,,0
22,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Batons ; de colliers,"Allemagne, Lorraine et Païs de Liege",42,3,78,grosses,,,0
23,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Batons ; de colliers,"Allemagne, Lorraine et Païs de Liege",36,,78,,,,0
24,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Bazannes,"Allemagne, Lorraine et Païs de Liege",18,24,18,en nombre,,,0
25,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Bazin,"Allemagne, Lorraine et Païs de Liege",37.5,1,37.5,pièces,,,0
26,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Beufs ; en vie,"Allemagne, Lorraine et Païs de Liege",21450,143,21450,en nombre,,,0
27,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Bierre,"Allemagne, Lorraine et Païs de Liege",20,1,32,feuillettes,,,0
28,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Bierre,"Allemagne, Lorraine et Païs de Liege",12,.1254,32,tonneaux,,,0
29,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,61,Bluteaux,"Allemagne, Lorraine et Païs de Liege",10,1,10,charges,,,0
30,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,61,Boëtes,"Allemagne, Lorraine et Païs de Liege",672.5,2690,672.5,livres,,,0
31,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,61,Boëtes,"Allemagne, Lorraine et Païs de Liege",100,1,100,chariots,,,0
32,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; à barits,"Allemagne, Lorraine et Païs de Liege",1404,17550,141092.5,pièces,1404,,0
33,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; à batir,"Allemagne, Lorraine et Païs de Liege",34850,697,141092.5,chars,56970,,0
34,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; à batir,"Allemagne, Lorraine et Païs de Liege",22120,553,141092.5,charretées,56970,,0
35,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; à brûler,"Allemagne, Lorraine et Païs de Liege",3340,167,141092.5,charretées,8335,,0
36,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; à brûler,"Allemagne, Lorraine et Païs de Liege",4965,331,141092.5,charretées,8335,,0
37,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,62,Bois ; à brûler,"Allemagne, Lorraine et Païs de Liege",30,2,141092.5,charretées,8335,,0
38,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; de chêne ; scié,"Allemagne, Lorraine et Païs de Liege",45533,45533,141092.5,pièces,70527,,0
39,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; de chêne ; à somier,"Allemagne, Lorraine et Païs de Liege",1119,186,141092.5,toises,70527,,0
40,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; de chêne ; à somier,"Allemagne, Lorraine et Païs de Liege",22675,907,141092.5,pièces,70527,,0
41,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,62,Bois ; de chêne ; à poutre,"Allemagne, Lorraine et Païs de Liege",1200,12,141092.5,en nombre,70527,,0
42,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; gros,"Allemagne, Lorraine et Païs de Liege",136.5,19,141092.5,toises,136.5,,0
43,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; long,"Allemagne, Lorraine et Païs de Liege",260,13,141092.5,pièces,260,,0
44,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; ouvré,"Allemagne, Lorraine et Païs de Liege",3147.5,,141092.5,,3297.5,,0
45,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,62,Bois ; ouvré,"Allemagne, Lorraine et Païs de Liege",80,4,141092.5,charretées,3297.5,,0
46,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,62,Bois ; ouvré,"Allemagne, Lorraine et Païs de Liege",70,,141092.5,,3297.5,,0
47,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,62,Bois ; de rouage,"Allemagne, Lorraine et Païs de Liege",162.5,325,141092.5,pièces,162.5,,0
48,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,63,Bougie,"Allemagne, Lorraine et Païs de Liege",300,,300,,,,0
49,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,63,Bourre ; chiquerre,"Allemagne, Lorraine et Païs de Liege",40,200,40,livres,,,0
50,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,63,Bouteilles ; de verre,"Allemagne, Lorraine et Païs de Liege",3145.4,15717,3865.8,livres,,,0
51,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,63,Bouteilles ; de verre,"Allemagne, Lorraine et Païs de Liege",720.4,3602,3865.8,livres,,,0
52,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,63,Boutons ; de crin,"Allemagne, Lorraine et Païs de Liege",120,30,15084,livres,,,0
53,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,63,Boutons ; de crin,"Allemagne, Lorraine et Païs de Liege",1040,260,15084,livres,,,0
54,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,63,Boutons ; de crin,"Allemagne, Lorraine et Païs de Liege",12572,3143,15084,livres,,,0
55,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,63,Boutons ; de crin,"Allemagne, Lorraine et Païs de Liege",600,150,15084,livres,14332,,0
56,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,63,Boutons ; d'etaim,"Allemagne, Lorraine et Païs de Liege",16,16,15084,livres,,,0
57,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,63,Boutons ; d'etaim,"Allemagne, Lorraine et Païs de Liege",690,345,15084,livres,,,0
58,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,63,Boutons ; d'etaim,"Allemagne, Lorraine et Païs de Liege",46,23,15084,livres,752,,0
59,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,64,Briques,"Allemagne, Lorraine et Païs de Liege",333,11100,333,en nombre,,,0
60,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,64,Brochets,"Allemagne, Lorraine et Païs de Liege",366.3,293,366.3,en nombre,,,0
61,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,64,Caparassons,"Allemagne, Lorraine et Païs de Liege",450,150,450,livres,,,0
62,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Carpes,"Allemagne, Lorraine et Païs de Liege",5000,12500,5000,en nombre,,,0
63,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Carpeaux ; alvins,"Allemagne, Lorraine et Païs de Liege",250,2500,250,en nombre,,,0
64,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Carreaux ; de terre,"Allemagne, Lorraine et Païs de Liege",29,,29,,,,0
65,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,65,Cendre ; commune,"Allemagne, Lorraine et Païs de Liege",174,29,11605,barils,174,,0
66,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,65,Cendre ; de plomb,"Allemagne, Lorraine et Païs de Liege",7148,89350,11605,livres,,,0
67,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Cendre ; de plomb,"Allemagne, Lorraine et Païs de Liege",371,5300,11605,livres,7519,,0
68,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Cendre ; potasse,"Allemagne, Lorraine et Païs de Liege",3032,37900,11605,livres,,,0
69,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,65,Cendre ; potasse,"Allemagne, Lorraine et Païs de Liege",880,11000,11605,livres,3912,,0
70,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Cercles ; à tonneaux,"Allemagne, Lorraine et Païs de Liege",9414.4,376575,9414.4,en nombre,,,0
71,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Cerizes,"Allemagne, Lorraine et Païs de Liege",1632,,1632,,,,0
72,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,65,Chair ; salée,"Allemagne, Lorraine et Païs de Liege",465,1162,521.1,livres,,,0
73,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,65,Chair ; salée,"Allemagne, Lorraine et Païs de Liege",56.1,187,521.1,livres,,,0
74,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Chandelle,"Allemagne, Lorraine et Païs de Liege",228.2,507,228.2,livres,,,0
75,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Chanvre ; cru,"Allemagne, Lorraine et Païs de Liege",33.3,111,83.3,livres,,,0
76,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,66,Chanvre ; peigné,"Allemagne, Lorraine et Païs de Liege",50,100,83.3,livres,,,0
77,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Chapeaux ; de laine,"Allemagne, Lorraine et Païs de Liege",6,3,84,livres,,,0
78,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Chapeaux ; de paille,"Allemagne, Lorraine et Païs de Liege",78,104,84,livres,,,0
79,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Charbon ; de bois,"Allemagne, Lorraine et Païs de Liege",54560,1364,77868,bannes,64770,,0
80,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Charbon ; de bois,"Allemagne, Lorraine et Païs de Liege",150,5,77868,chars,64770,,0
81,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,66,Charbon ; de bois,"Allemagne, Lorraine et Païs de Liege",6620,331,77868,charretées,64770,,0
82,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,66,Charbon ; de bois,"Allemagne, Lorraine et Païs de Liege",840,21,77868,bannes,64770,,0
83,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,66,Charbon ; de bois,"Allemagne, Lorraine et Païs de Liege",2600,130,77868,charretées,64770,,0
84,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Charbon ; de terre,"Allemagne, Lorraine et Païs de Liege",1938,646,77868,barils,13098,,0
85,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Charbon ; de terre,"Allemagne, Lorraine et Païs de Liege",54,5400,77868,livres,13098,,0
86,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,67,Charbon ; de terre,"Allemagne, Lorraine et Païs de Liege",10782,1190,77868,muids,13098,,0
87,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Saint-Quentin,67,Charbon ; de terre,"Allemagne, Lorraine et Païs de Liege",144,24,77868,barils,13098,,0
88,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Saint-Quentin,67,Charbon ; de terre,"Allemagne, Lorraine et Païs de Liege",180,9000,77868,livres,13098,,0
89,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,67,Chaux,"Allemagne, Lorraine et Païs de Liege",12,2,390,poinçons,,,0
90,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,67,Chaux,"Allemagne, Lorraine et Païs de Liege",210,17,390,tonneaux,,,0
91,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Chaux,"Allemagne, Lorraine et Païs de Liege",72,6,390,tonneaux,,,0
92,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,67,Chaux,"Allemagne, Lorraine et Païs de Liege",66,6,390,charretées,,,0
93,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,67,Chaux,"Allemagne, Lorraine et Païs de Liege",30,2,390,quarts,,,0
94,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,67,Chevaux,"Allemagne, Lorraine et Païs de Liege",7000,28,15800,en nombre,,,0
95,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Chevaux,"Allemagne, Lorraine et Païs de Liege",6400,32,15800,en nombre,,,0
96,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Chevaux,"Allemagne, Lorraine et Païs de Liege",1500,10,15800,en nombre,,,0
97,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,67,Chevaux,"Allemagne, Lorraine et Païs de Liege",900,6,15800,en nombre,,,0
98,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,67,Cheveux,"Allemagne, Lorraine et Païs de Liege",2440,61,3710,livres,,,0
99,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Cheveux,"Allemagne, Lorraine et Païs de Liege",420,8,3710,livres,,,0
100,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,67,Cheveux,"Allemagne, Lorraine et Païs de Liege",850,17,3710,livres,,,0
101,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,67,Cire ; blanche,"Allemagne, Lorraine et Païs de Liege",12,6,56,livres,,,0
102,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,67,Cire ; d'Espagne,"Allemagne, Lorraine et Païs de Liege",44,11,56,livres,,,0
103,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,68,Clous ; de fer,"Allemagne, Lorraine et Païs de Liege",10,25,213255.8,livres,,,0
104,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,68,Clous ; de fer,"Allemagne, Lorraine et Païs de Liege",75,250,213255.8,livres,,,0
105,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,68,Clous ; de fer,"Allemagne, Lorraine et Païs de Liege",35112.6,425563,213255.8,livres,,,0
106,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,68,Clous ; de fer,"Allemagne, Lorraine et Païs de Liege",85859.39999999999,572396,213255.8,livres,,,0
107,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Saint-Quentin,68,Clous ; de fer,"Allemagne, Lorraine et Païs de Liege",42198.8,281325,213255.8,livres,,,0
108,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,68,Cochons ; de lait,"Allemagne, Lorraine et Païs de Liege",4,1,4,en nombre,,,0
109,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,68,Colle ; forte,"Allemagne, Lorraine et Païs de Liege",18,45,18,livres,,,0
110,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,68,Confitures,"Allemagne, Lorraine et Païs de Liege",7641.3,6113,7660,livres,,,0
111,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,68,Confitures,"Allemagne, Lorraine et Païs de Liege",19,19,7660,livres,,,0
112,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,69,Cornes ; de beuf,"Allemagne, Lorraine et Païs de Liege",210,4200,216,en nombre,,,0
113,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,69,Cornes ; à lanterne,"Allemagne, Lorraine et Païs de Liege",6,4,216,livres,,,0
114,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,69,Coton ; filé,"Allemagne, Lorraine et Païs de Liege",5148,1716,11796,livres,,,0
115,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,69,Coton ; filé,"Allemagne, Lorraine et Païs de Liege",6648,1662,11796,livres,,,0
116,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,69,Couperose,"Allemagne, Lorraine et Païs de Liege",86,1075,91,livres,,,0
117,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,69,Couperose,"Allemagne, Lorraine et Païs de Liege",5,20,91,livres,,,0
118,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,69,Coutellerie,"Allemagne, Lorraine et Païs de Liege",40,20,40,livres,,,0
119,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,70,Creusets ; de terre,"Allemagne, Lorraine et Païs de Liege",16,160,16,livres,,,0
120,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,70,Crin,"Allemagne, Lorraine et Païs de Liege",3843,5124,3843,livres,,,0
121,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,70,Cuirs ; de beuf ; tannés,"Allemagne, Lorraine et Païs de Liege",40,2,2851.8,livres,1544.5,,0
122,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,70,Cuirs ; de beuf ; tannés,"Allemagne, Lorraine et Païs de Liege",54.5,,2851.8,,1544.5,,0
123,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,70,Cuirs ; de beuf ; tannés,"Allemagne, Lorraine et Païs de Liege",1450,29,2851.8,en nombre,1544.5,,0
124,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,70,Cuirs ; de cheval ; en poil,"Allemagne, Lorraine et Païs de Liege",15,1,2851.8,en nombre,15,,0
