numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
31,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,vaches,Petites iles,5,livres,120,600,0,Bestiaux et bêtes de sommmes et autres animaux
32,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,beurre,Petites iles,738,livres,"0,75",553,"-0,5",
33,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois à bruler,Petites iles,,valeur,,126817,,marchandises en estimation
34,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois et écorce de chene et de frêne,Petites iles,,valeur,,2747,,marchandises en estimation
35,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois en perches,Petites iles,1276,pièces,,164,,marchandises en estimation
36,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois en lattes,Petites iles,11500,pièces,,138,,marchandises en estimation
37,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois de menuiserie,Petites iles,,valeur,,351,,marchandises en estimation
38,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois en cercles,Petites iles,23660,pièces,,1065,,marchandises en estimation
39,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois feuillard,Petites iles,530774,pièces,"0,032",16985,"0,23",en millier
40,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois merrain,Petites iles,43934,pièces,"0,25",10983,"-0,5",en millier
41,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bois osier,Petites iles,,valeur,,402,,marchandises en estimation
42,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,bray,Petites iles,1025,livres,"0,1",102,"-0,5",en quintal
43,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,chanvre en masse,Petites iles,30565,livres,"0,4",12226,0,en quintal
44,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,chaux,Petites iles,11,tonneaux,22,242,0,
45,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,cire blanche,Petites iles,238,livres,"2,5",595,0,
46,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,cordages,Petites iles,792,livres,"0,5",396,0,en quintal
47,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,draperie petite,Petites iles,293,aunes,2,586,0,
48,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,degras d'huille,Petites iles,500,livres,,150,,marchandises en estimation
49,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,etoffe fil et laine,Petites iles,132,aunes,"2,5",280,-50,arrondi
50,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,etoupes,Petites iles,2345,livres,"0,2",469,0,en quintal
51,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,farine,Petites iles,909110,livres,"0,25",227277,"-0,5",en quintal
52,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,fayence,Petites iles,,valeur,,135,,marchandises en estimation
53,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,fer ouvré,Petites iles,,valeur,,110,,marchandises en estimation
54,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,foin,Petites iles,"34,5",charetées,,1035,,marchandises en estimation
55,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,fruits divers prunes,Petites iles,380,livres,"0,35",133,0,en quintal
56,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,fruits secs chataignes,Petites iles,3900,livres,"0,06",234,0,en quintal
57,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,noix,Petites iles,29,poinçons,,696,,marchandises en estimation
58,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,fruits vert,Petites iles,28,charges,,224,,marchandises en estimation
59,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,grains froment,Petites iles,2332200,livres,"0,15",349830,0,en quintal
60,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,grains froment,Petites iles,124332,livres,,18650,,marchandises en estimation
61,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,avoine,Petites iles,97760,livres,"0,08",7821,"0,2",marchandises en estimation
62,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,avoine,Petites iles,40300,livres,"0,08",3224,0,marchandises en estimation
63,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,orge,Petites iles,299900,livres,"0,09",26991,0,en quintal
64,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,orge,Petites iles,501500,livres,"0,09",45135,0,marchandises en estimation
65,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,millet,Petites iles,1650,livres,"0,1",165,0,en quintal
66,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,hardes vieilles,Petites iles,,valeur,,198,,marchandises en estimation
67,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,légumes,Petites iles,5500,livres,,825,,marchandises en estimation
68,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,feves,Petites iles,23160,livres,"0,075",1637,-100,erreur de calcul
69,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Ile de France,librairie,Petites iles,,valeur,,200,,marchandises en estimation
70,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Ile de France,marchandises à la valeur,Petites iles,,valeur,,597,,marchandises en estimation
71,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Touraine,mercerie,Petites iles,100,livres,,400,,marchandises en estimation
72,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,meules,Petites iles,"2,5",pièces,,625,,marchandises en estimation
73,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,meubles,Petites iles,,valeur,,737,,marchandises en estimation
74,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,meubles,Petites iles,,valeur,,245,,marchandises en estimation
75,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,ouvrages de bois en selles et sabots,Petites iles,,valeur,,15203,,marchandises en estimation
76,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,ouvrages de bois en selles et sabots,Petites iles,,valeur,,896,,marchandises en estimation
77,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,ouvrage d'ozier,Petites iles,,valeur,,731,,marchandises en estimation
78,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,ouvrage d'ozier,Petites iles,,valeur,,760,,marchandises en estimation
79,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Aunis,ouvrage de jonc,Petites iles,,valeur,,1519,,marchandises en estimation
80,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Bretagne,poisson hareng blanc,Petites iles,6,barils,,144,,marchandises en estimation
81,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Bretagne,sardines,Petites iles,,valeur,,330,,marchandises en estimation
82,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,toile de lin,Petites iles,1217,aunes,"2,5",3042,"-0,5",
83,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Iles Françaises,mousseline,Lorient,74,aunes,6,444,0,
84,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,verges à moulins,Petites iles,5,pièces,50,250,0,
85,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,volaille,Petites iles,508,pièces,"1,5",762,0,
86,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Aunis,biscuit,Petites iles,23981,livres,"0,06",1439,"0,14",Il s'agit d'un retour
87,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Angoumois,charbon de bois,Petites iles,17400,livres,"0,03",522,0,en quintal
88,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Angoumois,eau de vie simple,Espagne,"28,67",muids,144,4140,12,10s la pinte
89,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Angoumois,eau de vie simple,Angleterre,994,muids,144,137136,-6000,"11s la pinte, erreur de calcul"
90,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Angoumois,eau de vie double,Espagne,"64,64",livres,"158,4",10239,"0,2",prix unitaire non identifiable
91,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Angoumois,eau de vie double,Angleterre,"632,31",livres,"158,4",100157,"-0,2",prix unitaire non identifiable
92,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Saintonge,etoffe flanelle de laine,Petites iles,677,aunes,,1015,,marchandises en estimation
93,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Quercy,etoffe en flanelle fil et laine,Petites iles,1093,aunes,,1639,,marchandises en estimation
94,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Aunis,graine de lin,Espagne,32000,livres,"0,1",3200,0,en quintal
95,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Saintonge,graine de lin,Espagne,62800,livres,"0,1",6280,0,en quintal
96,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Saintonge,marchandises à la valeur,Petites iles,,valeur,,170,,marchandises en estimation
97,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Saintonge,peaux de veaux apprêtées,Espagne,240,pièces,"3,5",840,0,
98,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Guyenne,vins,Dunkerque,"6,94",muids,,800,,marchandises en estimation
99,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Guyenne,vins,Espagne,"1,74",muids,,300,,marchandises en estimation
100,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Guyenne,vins,Angleterre,"1,08",muids,,187,,marchandises en estimation
101,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,7,1789,La Rochelle,Rochefort,Aunis,vinaigre,Dunkerque,"3,68",tonneaux,,120,,marchandises en estimation
