numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire,doubleaccounts
10,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; En mats et esparts,Etats du roi de Prusse,6432,268,Nombre,,,,
11,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; En mats et esparts,Russie,2880,48,Nombre,,,,
12,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de sapin,Allemagne,11865,675,Nombre,,,,
13,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de sapin,Russie,29464,9340,Nombre,,,,
14,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de chêne,Allemagne,23700,914,Nombre,,,,
15,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de chêne,Etats Unis,7440,248,Nombre,,,,
16,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Mats et matériaux,Etats du roi de Prusse,5040,42,Nombre,,,,
17,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Mats et matériaux,Russie,26462,377,Nombre,,,,
18,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Espars,Danemark,720,72,Nombre,,,,
19,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Espars,Russie,8004,427,Nombre,,,,
20,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Courbes de chêne,Etats Unis,1020,51,Nombre,,,,
21,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; plançons de chêne,Etats Unis,10290,147,Nombre,,,,
22,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Allemagne,1200,800,Nombre,,,,
23,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Danemark,25840,29560,Nombre,,,,
24,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Suede,4786,4505,Nombre,,,,
25,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Russie,7520,7850,Nombre,,,,
26,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Etats Unis,1588,800,Nombre,Conversion 800 nombre 7651,,,
27,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Bois de marine,Les 4 villes anséatiques,243251,81117,Nombre,,,,
28,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; En poutres,Danemark,984,164,Nombre,,,,
29,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Allemagne,1488,12400,Nombre,,,,
30,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Etats du roi de Prusse,576,4800,Nombre,,,,
31,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Etats Unis,9943,85610,Nombre,,,,
32,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Boîtes; De fer blanc,Angleterre,2500,50,Nombre,,,,
33,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Boîtes; D'étain,Angleterre,2000,54,Nombre,,,,
34,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Brai; Gras,Allemagne,480,7200,Livre,,,,
35,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Brai; Gras,Suede,7000,105000,Livre,,,,
36,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Brai; Gras,Etats Unis,2000,30000,Livre,,,,
37,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Brai; Goudron,Suede,12368,135200,Livre,,,,
38,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Brai; Goudron,Etats Unis,3231,36800,Livre,,,,
39,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Boutons,Angleterre,660,76,Grosse,,,,
40,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Cendre potasse,Etats Unis,8725,11,Barils,Plus 33800 Livres,,,
41,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chairs salées; Bœuf,Angleterre,7140,44,Barils,Plus ou conversion en 50 Tonneaux,,,
42,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chairs salées; Bœuf,Etats Unis,9252,154,Barils,,,,
43,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chairs salées; Lard,Angleterre,9938,,Barils,Plus 20 Tonneaux - quantitié illisible,,,
44,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chairs salées; Lard,Etats Unis,2880,40,Barils,,,,
45,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chairs salées; Graisse de porc,Angleterre,200,400,Livre,,,,
46,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chanvre,Les 4 villes anséatiques,44436,194655,Livre,,,,
47,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Chanvre,Russie,177062,536550,Livre,,,,
48,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Charbon de terre,Angleterre,6640,150,Quintal,150 quintaux et 380 barriques,,,
48,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Charbon de terre,Angleterre,6640,380,Barrique,150 quintaux et 380 barriques,,,
49,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Charbon de terre,Hollande,1480,180,Barrique,,,,
50,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Cire,Etats Unis,2213,1650,Livre,,,,
51,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Cuirs tannés,Angleterre,400,,,,,,
52,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Cuivre; En plateaux,Les 4 villes anséatiques,490,280,Livre,,,,
53,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Cuivre; En feuilles,Angleterre,331704,236083,Livre,,,,
54,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Draperie,Angleterre,13710,,,,,,
55,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Drogueries,Angleterre,800,,,,,,
56,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Bleu d'azur,Hollande,300,200,Livre,,,,
57,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Couperose,Hollande,120,600,Livre,,,,
58,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Indigo,Etats Unis,7800,1500,Livre,,,,
59,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Drogues; Peinture,Angleterre,450,,,,,,
60,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Epiceries poivre piment,Etats Unis,9000,9000,Livre,,,,
61,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Eau de vie de Genièvre,Hollande,1170,1440,Pintes,Conversion 1440 Pintes en 5 Muids,,,
62,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etain en lingots,Angleterre,900,29,Lingot,,,,
63,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes coton;,Angleterre,8771,,?,,,,
64,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes coton; Drap,Angleterre,8400,,,,,,
65,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes coton; Velours,Angleterre,11500,173,?,,,,
66,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes laine;,Angleterre,6800,,,,,,
67,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes laine; Casimir,Angleterre,4700,,,,,,
68,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Etoffes laine; Flanelle,Angleterre,350,250,Aune,,,,
69,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Farine fleur de froment,Etats Unis,41844,172715,Livre,,,,
70,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fayance,Angleterre,30000,,,,,,
71,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En barres,Hollande,24500,136475,Livre,,,,
72,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En barres,Danemark,47015,255640,Livre,,,,
73,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En barres,Suede,90428,458855,Livre,,,,
74,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En barres,Russie,9000,50000,Livre,,,,
75,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; Quarillon,Suede,916,5090,Livre,,,,
76,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; Fouillard,Hollande,490,2450,Livre,,,,
77,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; Blanc,Angleterre,2400,,,,,,
78,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; Blanc,Les 4 villes anséatiques,4590,51,Barils,,,,
79,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En tôle,Suede,1246,5664,Livre,,,,
80,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fer; En clous,Angleterre,6000,60,Barils,,,,
81,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Fromage,Hollande,22588,47400,Livre,,,,
82,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Graines; De lin,Etats Unis,17920,51200,Livre,,,,
83,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Graines; De genièvre; Graines comestibles,Hollande,600,70,?,,,,
84,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Graines; Bleu froment,Angleterre,24960,166400,Livre,,,,
85,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Graines; Ris,Angleterre,6497,28250,Livre,,,,
86,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Graines; Ris,Etats Unis,162124,732609,Livre,,,,
87,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Houblon,Les 4 villes anséatiques,777,622,Livre,,,,
88,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Huile; De poisson,Etats Unis,66630,,?,,,,
89,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Huile; De lin,Hollande,7120,840,?,,,,
90,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Huile; De baleine,Etats Unis,60440,12040,?,,,,
91,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Instruments de mathématiques,Angleterre,3000,,,,,,
92,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Légumes Pommes de terre,Angleterre,255,102,Boisseau,,,,
93,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Lin,Russie,4192,10480,Livre,,,,
94,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Marchandises diverses à la valeur,Angleterre,60,,,,,,
95,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Mercerie;,Angleterre,26600,,,,,,
96,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Mercerie;,Hollande,6700,,,,,,
97,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Mercerie; Et quincaillerie,Angleterre,1350,,,,,,
98,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,3,Mercerie; En anneaux de cuivre,Angleterre,150,100,Grosse,,,,
99,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Ouvrages de bois en manches de gaffes et livardes,Russie,1150,460,Nombre,,,,
100,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Papier; Ordinaire,Hollande,7000,7,?,,,,
101,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Papier; A lettre,Hollande,480,30,Rame,,,,
102,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Perlasse ?,Etats Unis,3555,14220,Livre,,,,
103,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Pelleterie apprêtée,Etats Unis,600,1,?,,,,
