numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
11,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,bois de sapin en planches,Petites iles,"32 946,00",pièces,"1,1500000","41 182,00","3 294,10",
12,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,charbon de terre,Angleterre,"1 400,00",barils,"0,0000000","5 950,00",,
13,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,coton,Marseille,"540,00",pintes,"1,5000000","814,00","4,00",
14,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,cuirs de beuf,Petites iles,"61,00",pièces,"12,0000000","722,00","-10,00",
15,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,eau de vie simple,Petites iles,"329,00",veltes,"3,7500000","1 234,00","0,25",9 muids et 40 pintes
16,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,eponges,Marseille,"198,00",livres,"2,2000000","436,00","0,40",arrondi
17,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,etoffes de laine diverses,Marseille,,valeur,"0,0000000","306,00",,marchandises en estimation
18,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,fromages,Hollande,"1 021,00",livres,"0,6000000","613,00","0,40",arrondi
19,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,futailles,Lorient,"107,00",pièces,"0,0000000","400,00",,marchandises en estimation
20,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,fruits verts oranges,Marseille,"13 500,00",pièces,"0,0500000","675,00","0,00",
21,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,gomme arabique,Marseille,"62,00",livres,"2,0000000","124,00","0,00",
22,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,grains comestibles bled,Petites iles,"90 000,00",livres,"0,1500000","13 500,00","0,00",en quintal
23,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,huile de poisson,Petites iles,"837,00",livres,"0,3000000","251,00","-0,10",en quintal
24,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,huile d'olive,Marseille,"18 596,00",livres,"1,0000000","18 596,00","0,00",
25,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,liège en bouchons,Marseille,"100,00",livres,"1,5000000","150,00","0,00",
26,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,lingerie,Petites iles,,valeur,"0,0000000","210,00",,marchandises en estimation
27,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,liqueurs,Petites iles,"104,00",pintes,"2,5000000","260,00","0,00",
28,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,marbre,Marseille,,valeur,"0,0000000","266,00",,marchandises en estimation
29,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,marchandises à la valeur,Petites iles,,valeur,"0,0000000","804,00",,marchandises en estimation
30,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,marchandises à la valeur,Marseille,,valeur,"0,0000000","276,00",,marchandises en estimation
31,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,meubles divers,Petites iles,,valeur,"0,0000000","305,00",,marchandises en estimation
32,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,peaux de mouton,Petites iles,"840,00",pièces,"1,0000000","840,00","0,00",
33,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,peaux de veaux en poil,Petites iles,"170,00",pièces,"2,5000000","0,00","-425,00",
34,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,peaux de veaux en poil,Lorient,"1 115,00",pièces,"2,5000000","0,00","-2 787,50",
35,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,platre,Petites iles,"10 000,00",livres,"0,0125000","125,00","0,00",en quintal
36,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,poisson salé sardines,Petites iles,"380 000,00",pièces,"0,0000000","13 680,00",,36 livres le barril
37,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,sardines salées,Petites iles,"7 000,00",livres,"0,0000000","1 800,00",,36 livres le barril
38,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,savon,Marseille,"158 572,00",livres,"0,6000000","95 143,00","-0,20",
39,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,sel,Petites iles,"4 795 075,00",livres,"0,0000000","75 306,00",,marchandises en estimation
40,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,suif fondu,Marseille,"1 450,00",livres,"0,5000000","725,00","0,00",en quintal
41,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,vins ordinaires,Marseille,"3,47",muids,"0,0000000","400,00",,3 muids et 136 pintes (M/ses estimées)
42,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,vins ordinaires,Petites iles,"69,04",muids,"0,0000000","1 995,00",,69 muids et 12 pintes (M/ses estimées)
43,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,4,1789,La Rochelle,Aligre,,vinaigre,Petites iles,"311,19",muids,"0,0000000","10 038,00",,311 muids et 55 pintes (M/ses estimées)
44,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,acier,Hollande,"32 045,00",livres,"0,3500000","11 216,00","0,25",en quintal
45,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,amandes,Marseille,"1 027,00",livres,"0,6000000","616,00","-0,20",en quintal
46,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,amidon,Dunkerque,"1 125,00",livres,"0,0000000","291,00",,25lt le quintal
47,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,amidon,Hollande,"435,00",livres,"0,0000000","109,00",,25lt le quintal
48,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,baleine,Angleterre,2540,livres,"2,0000000","5 080,00","0,00",
49,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bierre,Hollande,"1040,31",muids,"0,0000000","47 680,00",,
50,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de chêne,Bayonne,71757,pieds cubes,"0,0000000","161 453,00",,
51,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en bordage,Russie,7600,pieds cubes,"2,2500000","17 100,00","0,00",
52,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois en manches de gaffes,Russie,707,pièces,"2,5000000","1 767,00","-0,50",
53,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois en mâts,Russie,469,pièces,"0,0000000","261 500,00",,
54,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois en mâtereaux,Prusse,48,pièces,"0,0000000","2 880,00",,
55,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois en mâtereaux,Russie,220,pièces,"0,0000000","13 200,00",,
56,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de pin en planches,Bayonne,4505,pièces,"0,5000000","2 252,00","-0,50",
57,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en planches,Petites iles,23718,pièces,"0,0000000","23 718,00",,
58,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en planches,Hollande,3029,pièces,"0,0000000","3 786,00",,
59,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en planches,Suede,6644,pièces,"0,0000000","8 305,00",,
60,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en planches,Prusse,5653,pièces,"0,0000000","7 066,00",,
61,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bois de sapin en planches,Russie,43568,pièces,"0,0000000","65 352,00",,
62,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,bray et gaudron,Bayonne,277750,livres,"0,0000000","27 775,00",,
63,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,Resine,Bayonne,321424,livres,"0,0000000","32 142,00",,
64,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,broderie,Hollande,215,livres,"0,0000000","360,00",,
65,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,chanvre en rames,Prusse,4040,livres,"0,3000000","1 212,00","0,00",
66,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,charbon de terre,Angleterre,691,tonneaux,"50,0000000","34 550,00","0,00",
67,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,colle,Hollande,675,livres,"0,5000000","337,00","-0,50",
68,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuirs de beuf en vert,Angleterre,12,pièces,"15,0000000","180,00","0,00",
69,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuirs sec en poil,Suede,12,pièces,"15,0000000","180,00","0,00",
70,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuirs de beuf en vert,Petites iles,40,pièces,"15,0000000","600,00","0,00",
71,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuirs de vaches en poil,Petites iles,13,pièces,"10,0000000","130,00","0,00",
72,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuivre brut,Marseille,2474,livres,"0,0000000","1 855,00",,
73,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,cuivre brut,Angleterre,2260,livres,"0,0000000","2 260,00",,
74,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues medecinales diverses,Marseille,,valeur,"0,0000000","1 462,00",,
75,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues medecinales diverses,Bayonne,,valeur,"0,0000000","400,00",,
76,Loïc,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues medecinales diverses,Hollande,,valeur,"0,0000000","1 653,00",,
77,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,mane,Marseille,1569,livres,"2,0000000","3 138,00","0,00",
78,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,mane,Hollande,313,livres,"2,0000000","626,00","0,00",
79,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,quinquina,Marseille,188,livres,"6,0000000","1 128,00","0,00",
80,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues pour la peinture et la teinture,Marseille,,valeur,"0,0000000","120,00",,marchandises en estimation
81,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues pour la peinture et la teinture,Bayonne,,valeur,"0,0000000","355,00",,marchandises en estimation
82,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues pour la peinture et la teinture,Angleterre,,valeur,"0,0000000","12 604,00",,marchandises en estimation
83,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues pour la peinture et la teinture,Hollande,,valeur,"0,0000000","470,00",,marchandises en estimation
84,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,drogues pour la peinture et la teinture,Suede,,valeur,"0,0000000","1 172,00",,marchandises en estimation
85,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,azur,Hollande,1260,livres,"1,0000000","1 260,00","0,00",prix unitaire non lisible
86,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,ceruse,Angleterre,8660,livres,"0,3500000","3 031,00","0,00",
87,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,ceruse,Hollande,17504,livres,"0,3500000","4 126,00","-2 000,40",
88,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,couperose,Angleterre,46745,livres,"0,2000000","9 349,00","0,00",
89,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,couperose,Suede,1410,livres,"0,2000000","282,00","0,00",
90,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,inde plate,Hollande,1705,livres,"4,0000000","6 820,00","0,00",
91,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,mine de plomb,Angleterre,10675,livres,"0,3000000","3 202,00","-0,50",
92,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,eau de fleur d'orange,Marseille,80,livres,"0,0000000","120,00",,marchandises en estimation
93,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,epicerie piment,Angleterre,600,livres,"0,5000000","300,00","0,00",
94,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,etain,Angleterre,3860,livres,"1,0000000","3 860,00","0,00",
95,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,6,1789,La Rochelle,Rochefort,,farine,Angleterre,6200,livres,"0,2500000","1 550,00","0,00",
96,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,7,1789,La Rochelle,Rochefort,,fayence,Angleterre,,livres,"0,0000000","21 303,00",,
97,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,7,1789,La Rochelle,Rochefort,,fer blanc,Dunkerque,7325,livres,"0,6000000","4 395,00","0,00",
98,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,7,1789,La Rochelle,Rochefort,,fer blanc,Angleterre,13015,livres,"0,6000000","7 809,00","0,00",
99,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,7,1789,La Rochelle,Rochefort,,fer blanc,Hollande,22573,livres,"0,6000000","13 544,00","0,20",
100,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,7,1789,La Rochelle,Rochefort,,fer blanc,Quatre villes hanséatiques,19070,livres,"0,6000000","11 442,00","0,00",
