numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire
31,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cuivre; En pain,Marseille,5938,"39,59",Quintal,Unité d'origine Livre,"-0,5",150
32,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cordage d'Auffe,Marseille,27912,"1268,72",Quintal,Unité d'origine Livre,"0,16",22
33,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; mêlées,Marseille,83889,27963,Livre,,0,3
34,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Diverses gommes arabiques,Marseille,2954,2363,Livre,,"0,25","1,25"
35,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Chimiques et metalliques,Marseille,795,159,Livre,,0,5
36,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Chimiques; Eau forte,Marseille,2415,1610,Livre,,0,"1,5"
37,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Chimique; Vitriol,Marseille,1085,"15,13",Quintal,Unité d'origine Livre,"-49,75",75
38,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Odorantes; Encens,Marseille,3770,"53,87",Quintal,Unité d'origine Livre,"-0,9",70
39,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Médicinales; Diverses,Marseille,1047,,,,1047,0
40,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Drogues; Médicinales; Folicule,Marseille,2766,2766,Livre,,0,1
41,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Médicinales; Manne,Marseille,108506,54255,Livre,,-4,2
42,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Médicinales; Quinoa,Marseille,12824,1603,Livre,,0,8
43,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Médicinales; Sené,Marseille,5702,2281,Livre,,"-0,5","2,5"
44,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Médicinales; Suc de réglisse,Marseille,847,"14,11",Quintal,Unité d'origine Livre,"0,4",60
45,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Médicinales; Storax,Marseille,752,301,Livre,,"-0,5","2,5"
46,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Diverses,Marseille,847,,,,847,0
47,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Alun,Marseille,5692,"162,64",Quintal,Unité d'origine Livre,"-0,4",35
48,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Ceruse,Marseille,1633,"65,31",Quintal,Unité d'origine Livre,"0,25",25
49,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Cochenille,Marseille,19760,988,Livre,,0,20
50,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Galle,Marseille,5156,5156,Livre,,0,1
51,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Garance,Marseille,3671,"48,95",Quintal,Unité d'origine Livre,"-0,25",75
52,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Indigo,Marseille,2151,239,Livre,,0,9
53,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Tartre,Marseille,4674,"389,51",Quintal,Unité d'origine Livre,"-0,12",12
54,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Eau; de feuille d'oranger,Marseille,2741,"54,82",Quintal,Unité d'origine Livre,0,50
55,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Eau; de fleur d'orange,Marseille,4280,"35,67",Quintal,Unité d'origine Livre,"-0,4",120
56,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Epicerie; Canelle,Marseille,1800,150,Livre,,0,12
57,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Epicerie; Gingembre,Marseille,127,"5,07",Quintal,Unité d'origine Livre,"0,25",25
58,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Epicerie; Girofle,Marseille,70856,5738,Livre,,2000,12
59,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Epicerie; Piment,Marseille,4397,5863,Livre,,"-0,25","0,75"
60,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Epicerie; Poivre,Marseille,124690,"692,72",Quintal,Unité d'origine Livre,"0,4",180
61,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Eponges,Marseille,1291,"21,52",Quintal,Unité d'origine Livre,"-0,2",60
62,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Etain en verges,Marseille,11190,"124,33",Quintal,Unité d'origine Livre,"0,3",90
63,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fayance,Marseille,362,"7,25",Quintal,Unité d'origine Livre,"-0,5",50
64,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fers divers;,Marseille,763,,,,763,0
65,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fers divers; Brut,Marseille,1647,"109,82",Quintal,,"-0,3",15
66,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Divers,Marseille,121,,,,121,0
67,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Divers,Espagne,112,,,,112,0
68,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Divers,Gênes,390,,,,390,0
69,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Confits; Capres,Marseille,898,"17,96",Quintal,Unité d'origine Livre,0,50
70,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Confits; Confiture,Marseille,4912,"40,93",Quintal,Unité d'origine Livre,"0,4",120
71,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Citron,Marseille,4010,80217,Nombre,Prix unitaire pour mille en Nombre,"-0,85","0,05"
72,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Citron,Espagne,950,19000,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
73,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Citron,Sardaigne,1025,20500,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
74,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Citron,Gênes,13295,265900,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
75,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Oranges; Aigres,Gênes,3610,144400,Nombre,Prix unitaire pour mille en Nombre,0,"0,025"
76,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Espagne,6100,122000,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
77,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Sardaigne,3325,66400,Nombre,Prix unitaire pour mille en Nombre,5,"0,05"
78,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Gênes,4245,84900,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
79,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Secs; Dattes,Marseille,2349,"39,15",Quintal,Unité d'origine Livre,0,60
80,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Secs; Pistaches,Gênes,1878,939,Livre,,0,2
81,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Secs; Divers,Marseille,22342,"1489,47",Quintal,Unité d'origine Livre,"-0,05",15
82,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Secs; Noisettes,Marseille,1390,"92,64",Quintal,Unité d'origine Livre,"0,4",15
83,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Fruits; Verts,Sardaigne,3950,79000,Nombre,Prix unitaire pour mille en Nombre,0,"0,05"
84,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Grains divers; Bled,Marseille,24480,1360,Quintal,Unité d'origine Livre,0,18
85,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Grains divers; Ris,Marseille,22215,"888,61",Quintal,Unité d'origine Livre,"-0,25",25
86,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Grains divers; Ris,Sardaigne,8082,"323,3",Quintal,Unité d'origine Livre,"-0,5",25
87,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Grains divers; Ris,Gênes,400,16,Quintal,Unité d'origine Livre,0,25
88,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Graines; Longues,Marseille,331,"16,55",Quintal,Unité d'origine Livre,0,20
89,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Graines; Millet,Marseille,14412,1201,Quintal,Unité d'origine Livre,0,12
90,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Huiles; D'amande,Gênes,553,553,Livre,,0,1
91,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,4,Huiles; De baleine,Marseille,1838,"40,84",Quintal,Unité d'origine Livre,"0,2",45
92,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Huiles; De lin,Marseille,2412,"53,6",Quintal,Unité d'origine Livre,0,45
93,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Huiles; D'olive,Marseille,197226,"3287,1",Quintal,Unité d'origine Livre,0,60
94,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Huiles; D'olive,Sardaigne,531448,"8857,46",Quintal,Unité d'origine Livre,"0,4",60
95,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Huiles; D'olive,Gênes,272040,4534,Quintal,Unité d'origine Livre,0,60
96,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Huiles; De morue,Marseille,1480,"42,3",Quintal,Unité d'origine Livre,"-0,5",35
97,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Laine; De chevrons,Marseille,1328,355,Livre,,"-3,25","3,75"
98,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Laine; Lavée,Marseille,283204,"2462,64",Quintal,Unité d'origine Livre,"0,4",115
99,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,5,Laine; Serge,Marseille,232184,"3224,78",Quintal,Unité d'origine Livre,"-0,16",72
