numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
15,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Bray et résine,Espagne,498,Livres,"0,25",124,"-0,5",25 livres le quintal
16,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Huile d'olive,Espagne,6403,Livres,"0,6",3841,"-0,8",60 livres le quintal
17,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Laine lavée,Espagne,5600,Livres,"1,5",8400,0,
18,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Laine en suin,Espagne,23400,Livres,1,23400,0,
19,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Marchandises à la valeur,Espagne,,,,114,0,En valeur
20,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Bêtes de somme anes,Espagne,1,Nombre,100,100,0,
21,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Drogues pour la medecine Saffran,Espagne,84,Livres,20,1680,0,
22,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Graine de ver à soye,Espagne,100,Livres,15,1500,0,
23,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Huile d'olive,Espagne,21500,Livres,"0,5",10750,0,50 livres le quintal
24,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Laine,Espagne,34750,Livres,1,34750,0,
25,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Marchandises à la valeur,Espagne,,,,313,0,
26,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Le suif en rame,Espagne,2032,Livres,"0,4",812,"-0,8",40 livres le quintal
27,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarascon,9,Peaux de renard,Espagne,407,Nombre,3,1221,0,
