numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
19,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Amidon,Hollande,53421,livres,,,,
20,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Amidon,Espagne,2800,livres,,,,
21,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Drogueries et épiceries,Angleterre,295,livres,,,,
22,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Aloes,Hollande,100,livres,,,,
23,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Anis,Hollande,62,livres,,,,
24,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Antimoine verd,Hollande,50,livres,,,,
25,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Arsenic,Hollande,428,livres,,,,
26,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Azur,Hambourg,25970,livres,,,,
27,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Azur,Hollande,7798,livres,,,,
28,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Baleine taillée,Hollande,1056,livres,,,,
29,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Baleine en fanon,Hollande,2431,livres,,,,
30,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Balles de jonc,Espagne,600,douzaines,,,,
31,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Balles de palme,Espagne,670,douzaines,,,,
32,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Bacquet a jeter l'eau,Hambourg,40,barriques,,,,
33,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barbançons de terre de Grés,Hollande,286,livres,,,,
34,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barbe de baleine,Espagne,"832,5",tonneux,,,,
35,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Suede,218,nombre,,,,
36,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Norvège,632,nombre,,,,
37,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Göteborg,432,nombre,,,,
38,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Göteborg,120,nombre,,,,
39,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Hambourg,100,nombre,,,,
40,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Barres d´ansprect sans denomination et grandeur,Göteborg,72,nombre,,,,
41,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Bas de fil,Hollande,3,douzaines,,,,
42,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Bas de fil,Hollande,6,paires,,,,
43,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Balance de cuivre,Hollande,1,en nombre,,,,
44,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Bassins de cuivre pour l´entrepot pour Guinée,Hollande,500,en nombre,,,,
45,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,"Bassins de cuivre, jaune pour l´entrepot a la destination de la Compagnie des Indes",Hollande,7519,livres,,,,
46,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Bassins d'étain,Hollande,150,livres,,,,
47,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Batons de sapin,Hollande,24,en nombre,,,,
48,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Batons de sapin,Hollande,222,en nombre,,,,
49,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Batons de sapin,Hollande,72,en nombre,,,,
50,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Batons de sapin,Hollande,950,en nombre,,,,
51,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Beure,Hollande,386,livres,,,,
52,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Beure,Irlande,304917,livres,,,,
53,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Beure,Irlande,2436,livres,,,,
54,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,2,,Beure,Bruges,95,livres,,,,
55,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beure pour l´entrepot à destination des Isles,Irlande,304233,livres,,,,
56,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beure pour l´entrepot à destination des Isles,Hollande,1152,barriques,,,,
57,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beure pour l´entrepot à destination des Isles,Hambourg,333,barriques,,,,
58,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beure pour l´entrepot à destination des Isles,Bruges,10,barriques,,,,
59,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beure pour l´entrepot à destination des Isles,Bruges,1,quarts,,,,
60,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beuf fumé,Hollande,100,livres,,,,
61,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beuf fumé,Hambourg,142,livres,,,,
62,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beuf salé pour l´entrepot a la destination des Isles,Irlande,25624,barils,,,,
63,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beuf salé pour l´entrepot a la destination des Isles,Portugal,174,barils,,,,
64,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Beuf salé pour l´entrepot a la destination des Isles,Portugal,5,barils,,,,
65,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Blanc de céruse pour l´entrepot pour la Compagnie des Indes,Hollande,4458,livres,,,,
66,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Suede,4,cordes,,,,
67,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Norvège,4,cordes,,,,
68,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Suede,6,cordes,,,,
69,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Norvège,5,cordes,,,,
70,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Hollande,6,cordes,,,,
71,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois a bruler,Gherliem,8,cordes,,,,
72,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois Campeche,Hollande,57000,livres,,,,
73,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois Campeche,Hambourg,140265,livres,,,,
74,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois fustel,Hollande,300,livres,,,,
75,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois d´Inde,Hollande,1663,livres,,,,
76,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois rapé,Hollande,1186,livres,,,,
77,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois rapé,Hambourg,6123,livres,,,,
78,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois jaune,Hollande,825,livres,,,,
79,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois de Fernambourg,Hollande,12466,livres,,,,
80,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois de Fernambourg,Portugal,18982,livres,,,,
81,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois de sapin,Portugal,15184,livres,,,,
82,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois de santal,Portugal,15,livres,,,,
83,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bois de toctacanot,Portugal,24,douzaines,,,,doute sur la marchandise
84,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bottes a matelot,Portugal,20,paires,,,,
85,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,3,,Bottines,Portugal,6,paires,,,,
86,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Boulet de canon,Portugal,5320,barriques,,,,19700 livres
87,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Boulet de canon de divers calibres,Portugal,15730,barriques,,,,
88,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Grenade pour la Compagnie des Indes,Portugal,1000,barriques,,,,
89,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bourdille,Portugal,2280,pieces,,,,
90,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bouteille de verre,Hollande,200,en nombre,,,,
91,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bouteille de verre,Hambourg,400,en nombre,,,,
92,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bourre,Hollande,4159,livres,,,,
93,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Hollande,414,barils,,,,
94,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Suede,1376,barils,,,,
95,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Norvège,84,barils,,,,
96,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Norvège,1,quarts,,,,
97,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Göteborg,260,barils,,,,
98,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray gras,Hambourg,224,barils,,,,
99,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray sec,Hollande,100,barils,,,,
100,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bray sec,Hambourg,142,barils,,,,
101,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Brosseries,Hollande,2316,liivres,,,,
102,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Baume de Copahu,Hollande,10,livres,,,,
103,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Bois de santal,Hollande,15,livres,,,,
104,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Borax,Hollande,258,livres,,,,
105,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Brionne,Hollande,21,livres,,,,
106,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cabaret de sapin et de chesne,Hollande,50,en nombre,,,,
107,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cabaret de sapin et de chesne,Hollande,64,en nombre,,,,
108,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cabillauds,Hollande,185,barils,,,,
109,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cabillauds,Hollande,1,quarts,,,,
110,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Canette ou marbre,Hollande,892,livres,,,,
111,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Canette ou marbre pour la Compagnie des Indes,Hollande,40,livres,,,,
112,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cave de 15 flaçons,Hollande,6,en nombre,,,,
113,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 6 flaçons,Hollande,96,en nombre,,,,
114,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 6 flaçons,Hollande,126,en nombre,,,,
115,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 9 flaçons,Hollande,20,en nombre,,,,
116,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 9 flaçons,Hollande,6,en nombre,,,,
117,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 12 flaçons,Hollande,20,en nombre,,,,
118,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 12 flaçons,Hollande,12,en nombre,,,,
119,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Caves de 12 flaçons,Hollande,11,en nombre,,,,
120,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,4,,Cadenats,Hollande,162,en nombre,,,,
121,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Caffetiere de cuivre rouge,Hambourg,1,en nombre,,,,
122,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Cartes marine de peche,Hollande,219,barriques,,,,
123,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Céruse ou blanc de plomb,Hollande,20914,livres,,,,
124,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaise de commadité,Hollande,317,en nombre,,,,
125,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaises a roulleter les enfans,Hollande,12,en nombre,,,,
126,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaises a roulleter les enfans,Hollande,1,en nombre,,,,
127,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chandelle de suif,Irlande,829,livres,,,,
128,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chandelle de suif,Irlande,18921,livres,,,,
129,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chanvre,Hollande,40215,livres,,,,
130,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chanvre,Hambourg,990,livres,,,,
131,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Charbon de terre,Angleterre,1770,barriques,,,,
132,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Charbon de terre,Hollande,437,barriques,,,,
133,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaudron de cuivre,Hollande,1883,pieces,,,,
134,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaudron de cuivre pour l´entrepot de la Compagnie de Guinée,Hollande,500,pieces,,,,
135,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chausse pieds avec leurs terrases,Hollande,349,pieces,,,,
136,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chaise de poste,Hollande,1,en nombre,,,,
137,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Chevaux vieux,Angleterre,4,en nombre,,,,
138,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citrons,Lisbonne,6,caisses,,,,
139,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citrons verds,Espagne,108,milliers,,,,
140,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citrons,Lisbonne,100,en nombre,,,,
141,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citrons avarié,Espagne,1500,en nombre,,,,
142,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citrons avarié,Espagne,36900,en nombre,,,,
143,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Citron confits,Lisbonne,420,livres,,,,
144,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Canons de fusils,Bilbao,2,en nombre,,,,
145,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds petits à teste de cuivre doré,Hollande,10,livres,,,,
146,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Suede,8300,livres,,,,
147,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Norvège,2500,livres,,,,
148,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Göteborg,6400,livres,,,,
149,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Portugal,5200,livres,,,,
150,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Suede,3400,liivres,,,,
151,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Clouds de fer,Hollande,504,livres,,,,
152,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Cocos,Portugal,400,milliers,,,,
153,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Colle de poison,Hollande,5957,livres,,,,
154,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Coffre fort de fer,Hambourg,3,en nombre,,,,
155,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,5,,Coffre de sapin,Hollande,1,en nombre,,,,
156,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cordages,Hollande,53840,livres,,,,
157,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cordages,Hambourg,18755,livres,,,,
158,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cordages menus,Hambourg,503,livres,,,,
159,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cornaline pour la Compagnie des Indes,Hollande,460,en nombre,,,,
160,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cornichons,Hollande,4,pots,,,,
161,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Couteaux avec leurs guesnes,Hollande,1880,livres,,,,
162,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Couteaux flamans pour l´entreport a la destination de Guinée,Hollande,603,douzaines,,,,
163,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Creuset de terre,Norvège,500,en nombre,,,,
164,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Crin,Angleterre,674,livres,,,,
165,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Crin,Angleterre,1067,livres,,,,
166,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cristalin,Hollande,50,livres,,,,
167,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Criq pour la Compagnie des Indes,Hollande,36,en nombre,,,,
168,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cuir vert,Angleterre,8834,en nombre,,,,
169,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cuir de Roussy,Hollande,165,livres,,,,
170,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cuir de Roussy,Hambourg,855,livres,,,,
171,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,6,,Cuir de Roussy,Hambourg,1300,livres,,,,
